ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u38	The hon. Gentleman makes an important point, and responsible club ownership is important to all of us. The football authorities take it very seriously, and I am pleased that the owners and directors test has been strengthened. Following two debates here late last year, I asked the football authorities if there was a way of tightening this important test.
ParlaMint-GB_2015-01-15-commons.u39	Is not the importance of listening to fans and of supporter engagement shown by the welcome decision taken by the Cardiff City board to put Cardiff City back in blue? I was delighted to be there on Saturday to see the club beat Fulham 1-0—in their traditional blue colours.
ParlaMint-GB_2015-01-15-commons.u40	Blue is one of my favourite colours. [Hon. Members: “Hear, hear.”] Fans are the lifeblood of football and it is important that they are engaged with and listened to.
ParlaMint-GB_2015-01-15-commons.u41	8. What steps he is taking to increase investment in film, theatre and the arts in the UK.
ParlaMint-GB_2015-01-15-commons.u42	The Government have an excellent record of creating new opportunities for investing in the arts and creative industries. Following the success of UK film tax credits, which have generated billions in investment since 2010, we have introduced new tax reliefs for TV, video games, animation and theatres, and continue to invest in skills and innovation.
ParlaMint-GB_2015-01-15-commons.u43	Huddersfield Town, one of the most famous football clubs, plays in blue as well There are some very good things going on in the arts, such as the international film awards. But the community arts scene, certainly in places such as Yorkshire, is really feeling the pinch. A lot of our talent starts off in little community groups and grows but there is an absolute desert at the grass roots of the arts for lack of funding.
ParlaMint-GB_2015-01-15-commons.u44	First, I welcome the hon. Gentleman’s support for what has been achieved in the arts under this Government. He makes a good point. If I remember correctly, he raised recently the issue of social investment tax relief, which can help community arts activities as well as other charitable activities. He had called for an increase in the cap and he will know that the Chancellor announced just that in the last autumn statement. He can see from that that the Government are listening and doing what we can to help community arts.
ParlaMint-GB_2015-01-15-commons.u45	I congratulate the Government on their investment through tax credits and the wonderful boost that that has given to the UK film industry. Will he join me in celebrating the investment made by small cinemas such as the Ritz in Thirsk and the Palace in Malton to bring digital cinema to a wider rural community and giving people a great night out?
ParlaMint-GB_2015-01-15-commons.u46	I support everyone having a great night out and if the Government can help with that, it is a good thing. But seriously Mr Speaker, my hon. Friend is right to point out the support that the Government have provided to the film industry. Just in the last year, the Government have helped support over 300 films made in the UK with expenditure of almost £3 billion across the country, which is a good thing for us all.
ParlaMint-GB_2015-01-15-commons.u47	Does the Secretary of State agree that one way to increase investment in the creative industries is through retransmission fees? Where are we with the consultation on those fees?
ParlaMint-GB_2015-01-15-commons.u48	We will be launching a consultation within weeks on this issue. I have spoken about it before, the last time being at the Royal Television Society. I agree that it is an important issue that has not been looked at for years. It is about time we did.
ParlaMint-GB_2015-01-15-commons.u49	9. What progress he has made on improving mobile telephone coverage in (a) Northamptonshire and (b) England.
ParlaMint-GB_2015-01-15-commons.u50	Last month we reached a landmark agreement with mobile operators to deliver improvements across the UK by 2017, including in England. This locks in £5 billion of investment and each operator will cover at least 90% of the UK landmass.
ParlaMint-GB_2015-01-15-commons.u51	Not spots are particularly frustrating not only for those who live in isolated villages where mobile phone coverage is often essential, but for those who are on the move by road or by train. What is the Secretary of State doing to tackle the problem of not spots?
ParlaMint-GB_2015-01-15-commons.u52	My hon. Friend is right to raise the issue of trains and communications, which is why the Government have made a commitment to improve connectivity on trains. He may be aware that Network Rail is in the middle of a competition to work out the best solution to the problem. On Government support, my right hon. Friend the Secretary of State for Transport announced a few months back £53 million of funding for the programme, with money that Network Rail was supposed to return to the Government. I will also ask my right hon. Friend to give my hon. Friend an update.
ParlaMint-GB_2015-01-15-commons.u53	The Secretary of State has taken some bold steps to push mobile telephone companies to increase coverage in not spots. However, even in areas such as mine in Shoreditch, with mobile coverage, wi-fi and broadband, there is a real issue about planning permission for buildings that are tall enough to allow other technologies to flourish. Will he update the House on conversations he is having or will be having with the Secretary of State for Communities and Local Government about changing planning permission to allow these other technologies to flourish?
ParlaMint-GB_2015-01-15-commons.u54	The hon. Lady has raised an important issue. We are having ongoing discussions, and we have ongoing plans to improve the situation. As the hon. Lady may know, the deal that was announced last month with mobile phone operators included an agreement by the Government to give them access, at market prices, to Government-owned property on which we have the freehold, and I think that that is a positive step.
ParlaMint-GB_2015-01-15-commons.u55	It seems rather bizarre that commercial airlines flying over the Ribble valley are now able to use mobile phones, while, below them, rural parts of my constituency have no coverage whatsoever. Will the Secretary of State encourage mobile phone operators to use the new technologies that are available, to ensure that rural England has full coverage?
ParlaMint-GB_2015-01-15-commons.u56	My hon. Friend is right, but, as he will know, although the deal announced last month is voluntary, it is binding on each of the operators because of licence changes that are to be made. It will massively increase coverage throughout the United Kingdom, halving the number of what are known as partial not spots, and reducing the number of total not spots by two thirds. There will be improved coverage of data as well as voice.
ParlaMint-GB_2015-01-15-commons.u57	Members on both sides of the House have rightly pointed out that not spots are not only infuriating for individuals but bad for businesses, especially small businesses, in many cities as well as rural areas. Unfortunately, the Government left it until the dying moments of this Parliament before taking action. What the Secretary of State described a moment ago as a landmark agreement is falling apart. Will he confirm that mobile network operators have told him, as they have told us, that he has reneged on the promises that he made about the electronic communications code—the amendments to the Infrastructure Bill that he has tabled at the last minute are wholly inadequate—and that he cannot tell the taxpayer whether this will cost us all £1 billion in lost revenues to Ofcom? Is not the truth of the matter that we now need a Labour Government to do the job properly?
ParlaMint-GB_2015-01-15-commons.u58	Some things never change. I am afraid that the hon. Gentleman is clutching at straws. He has a reputation for opposing everything that comes before him, even if it is blindingly obvious that it will be great for everyone in the country. Given that he is new in his present role, having been kicked out of his old one, and that it is the start of a new year, we thought that he might have turned over a new leaf, but no such luck. I am sure, however, that he is intelligent enough to look at the deal carefully, and when he does so, he will see that it is a good result for everyone in the United Kingdom—including his constituents, who currently have some of the worst mobile phone coverage in the country.
ParlaMint-GB_2015-01-15-commons.u59	10. What assessment he has made of the effect of government spending on culture and the arts outside London.
ParlaMint-GB_2015-01-15-commons.u60	Normal service is now resuming The Government strongly support the fair distribution of funding for culture and arts throughout the country to increase opportunities for access and participation. We recently announced new cultural investment in the north of England. The Arts Council intends to build on its current trend of 60% grant in aid and 70% lottery investment outside London. That will, of course, include Hull, which will become the UK city of culture in 2017.
ParlaMint-GB_2015-01-15-commons.u61	Despite the continuing imbalance of arts funding in favour of London, I am pleased that Rosie Millard and Martin Green are to lead our preparations for 2017. They are doing an excellent job. Will the Minister tell me, however, what discussions he has had with the Secretary of State for Communities and Local Government about the disproportionate cuts that Hull has suffered under his regime—I believe that a further £24 million was cut in December—and about the impact that they will have on Hull’s ability to lead our national celebrations in 2017?
ParlaMint-GB_2015-01-15-commons.u62	The hon. Lady’s question raises the much wider issue of the work that the Government are having to do to clean up the chaos and mess left by the Labour Government and balance the books. It is highly hypocritical—that is, it is very odd to hear her mention this matter, given that Labour Members trooped through the Lobby with us to secure the cuts that were necessary to balance the budget in the next three years We cannot put up with the chaos that is emanating from the Labour Benches. Last week they were tweeting that they supported cuts in the arts, boasting about them, while at the same time pretending that they opposed them.
ParlaMint-GB_2015-01-15-commons.u63	Is my hon. Friend aware that Harlow is the cultural oasis of the east of England? We have the Gibberd gallery, the beautiful Parndon mill, the Harlow museum and much more besides, and we are also a sculpture town. Will he consider what he can do to support our beautiful town and culture and arts in Harlow?
ParlaMint-GB_2015-01-15-commons.u64	The first thing we need to do is designate my hon. Friend as a national treasure, and the second thing I am going to do is send the Secretary of State to Harlow. He will be visiting shortly.
ParlaMint-GB_2015-01-15-commons.u65	Well, the junior Minister clearly has a keen sense of his own power.
ParlaMint-GB_2015-01-15-commons.u66	12. What steps he is taking to support outdoor recreation.
ParlaMint-GB_2015-01-15-commons.u67	Via Sport England, we invest nearly £70 million each year in outdoor sporting activities, and through VisitEngland and VisitBritain we will be promoting visits to the great outdoors through our “Countryside is Great” campaign.
ParlaMint-GB_2015-01-15-commons.u68	Given the importance of tackling the increasing challenge of physical inactivity and given the potential of tourism in rural communities, does my hon. Friend agree that this is a good time to consider establishing a national strategy for outdoor recreation to sit alongside the Government’s successful sports strategy, to get more people active outdoors?
ParlaMint-GB_2015-01-15-commons.u69	I agree absolutely with my hon. Friend that outdoor recreation is fantastic for our country, and we very much appreciate the work he does in promoting the benefits. I have had several meetings across Government on this issue, and I am engaging with the sector more widely. I will present more on this vision soon, and will be happy to update him in due course.
ParlaMint-GB_2015-01-15-commons.u70	What are the Government doing to encourage more women and girls to get involved in outdoor recreation and sport? There is a particular problem of girls leaving school and never doing sport again.
ParlaMint-GB_2015-01-15-commons.u71	We are doing a lot to get girls participating in sport and outdoor activity—I am sure the hon. Gentleman has heard of the £10 million Sport England “This Girl Can” campaign, which was launched this week. It is a cutting-edge consumer campaign aiming to normalise sport and outdoor activity, and I think it will do very well in increasing participation, and also deal with the health and emotional well-being issues that we have got to get to grips with.
ParlaMint-GB_2015-01-15-commons.u72	Will the Minister join me in sending our support and condolences to Alex Thomson from Gosport, the yachtsman who was dramatically demasted last night while leading the Barcelona world race? Fortunately, none of the crew was hurt. In a place such as Gosport, where we have a world-class marine scene, he is one of our true champions.
ParlaMint-GB_2015-01-15-commons.u73	I am very sorry to hear about that, and my thoughts and prayers go to him and his family and friends.
ParlaMint-GB_2015-01-15-commons.u74	I join the Minister in welcoming the Sport England “This Girl Can” campaign designed to encourage more women and girls to get active, but in order to have a lasting impact we must inspire the next generation, so she must feel shamed by the Youth Sport Trust survey figures published yesterday showing a fall in the time spent by children doing sport in schools since 2010. It is too late to put things right at the fag-end of this Parliament, but is it not clear that this Government squandered a golden legacy in sport and failed to inspire the next generation?
ParlaMint-GB_2015-01-15-commons.u75	I cannot believe what I am hearing. We have more young people participating in sport now than we did when we bid for the Olympics in 2005, we invest £450 million in the school sport premium, which ignites an interest in sport from an early age, we invest £150 million in school sports, which brings competition back into schools, and we have nearly 17,000 schools participating, so I really do not recognise the very gloomy picture the shadow Minister is desperately trying to paint.
ParlaMint-GB_2015-01-15-commons.u76	13. What recent steps he has taken to tackle nuisance calls.
ParlaMint-GB_2015-01-15-commons.u77	In spring last year we published the first ever nuisance calls action plan, which includes both legislative and other proposals to tackle the problem, so we are taking measures. We have, for example, recently consulted on lowering—or, indeed, removing—the legal threshold for the Information Commissioner’s Office, and we will be publishing our response to that consultation very soon.
ParlaMint-GB_2015-01-15-commons.u78	I thank the Minister for that reply, but there is an insufficient sense of urgency on this. To some people these calls are not merely a nuisance; particularly for older people, they are a source of great distress, worry and anxiety, to the extent that some people will not answer their landlines at all, which is a safety issue in some cases. What are we doing to address the fact that existing regulations are not strong enough, which results in our getting all these robot calls and calls from people supposedly doing surveys? What are the Government going to do about that?
ParlaMint-GB_2015-01-15-commons.u79	I regularly meet a range of stakeholders involved in this matter. We have allowed the ICO and Ofcom to share information, and we are going to lower or remove the threshold for taking action. We have also massively increased the level of fines that can be levied. We work with telecoms companies on technology solutions and we have worked with the consumer group Which? on a range of reforms. Only yesterday, I met the hon. Member for Edinburgh West (Mike Crockart) to talk about how we can help vulnerable people with call-blocking technology, so we are engaged with this issue.
ParlaMint-GB_2015-01-15-commons.u80	The Minister referred to the nuisance calls taskforce report prepared by Which? on the Government’s behalf, which was published last month. He and I were at the report’s launch. Has he found its 15 recommendations useful, and if so, what plans does he have to implement them?
ParlaMint-GB_2015-01-15-commons.u81	We work closely with Which? on this issue, and I was delighted to see my hon. Friend at the launch of the report. It contains a number of recommendations, which we are looking at, and I am particularly taken by the idea of holding members of the board of a company responsible for this issue, so that someone is accountable. We will evaluate the recommendations and implement those that are suitable.
ParlaMint-GB_2015-01-15-commons.u82	14. If he will increase sources of private finance and sponsorship for museums and galleries.
ParlaMint-GB_2015-01-15-commons.u83	This Government have done more than any of their predecessors to cultivate philanthropy and corporate sponsorship in support of our cultural sector. I commend all those individuals, businesses, trusts and foundations that support museums and galleries across the country.
ParlaMint-GB_2015-01-15-commons.u84	Museums and galleries right across the country—not just those in London—have never been busier or more successful. Does the Secretary of State agree with the principle of more tax breaks to encourage philanthropic support, and should the magnificent approach taken by the British Museum be encouraged by introducing wider tax breaks elsewhere?
ParlaMint-GB_2015-01-15-commons.u85	The hon. Gentleman makes an important point. Tax breaks are part of the incentives and the action that the Government can take to encourage more giving. The cultural gift scheme is an example, as is the increase in the annual cap on tax relief that the Government have implemented. We have also simplified the gift aid scheme, but there is always more that we can do. If he has any ideas, I would be happy to listen.
ParlaMint-GB_2015-01-15-commons.u86	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-01-15-commons.u87	The year 2014 ended on a high note for the Department as we secured a landmark deal to improve mobile phone coverage right across the UK. The new year has also got off to a good start: official figures released this week show that Britain’s creative industries grew at a rate of almost 10% in 2013 and delivered 66,000 new jobs. This is further proof that culture has a vital role to play in the Government’s long-term economic plan.
ParlaMint-GB_2015-01-15-commons.u88	I thank my right hon. Friend for that answer. Superfast North Yorkshire has done a great job of rolling out superfast broadband across our county, making it one of the best connected in the country. I am now pressing for as many business parks as possible to be included in future plans. Does my right hon. Friend agree that it is vital for as many small and medium-sized businesses as possible to have access to superfast broadband so that they can conduct their business as efficiently as possible?
ParlaMint-GB_2015-01-15-commons.u89	My hon. Friend has taken a strong interest in this issue on behalf of his constituents and I agree with him wholeheartedly. He is right to praise Superfast North Yorkshire; the project is making excellent progress. Phase 1 is expected to complete in March this year, taking coverage in the county to 87%. Phase 2 will increase coverage to 89%.
ParlaMint-GB_2015-01-15-commons.u90	T4. When research by the Responsible Gambling Trust reveals that a third of fixed-odds betting terminal users have a problem with gambling, is it not time to end the £100 maximum stake, which means that a person in my constituency can spend his whole income in just four spins?
ParlaMint-GB_2015-01-15-commons.u91	I know that the hon. Lady is concerned about these issues, and so am I. The Responsible Gambling Trust report endorsed the precautionary approach that we took in April, when we introduced proportionate and measured reforms that gave local authorities more power. I can also tell her that I shall be meeting the chief executives of all the betting industry companies in a few weeks’ time to see what more they are prepared to do.
ParlaMint-GB_2015-01-15-commons.u92	T2. The Minister with responsibility for sport visited Osterley and Chiswick on Monday to meet some of Brentford football club’s community sports trust’s fantastic apprentices. Does the Secretary of State agree that apprenticeships in sport are incredibly valuable for building the knowledge and skills needed for a successful career in the industry, and that we should encourage even more of them?
ParlaMint-GB_2015-01-15-commons.u93	I know that Brentford is having probably one of its best years on the pitch. I am pleased to say that the club has done excellent work off the pitch too, which the Under-Secretary, my hon. Friend the Member for Maidstone and The Weald (Mrs Grant), went to see for herself. I agree with my hon. Friend the Member for Brentford and Isleworth (Mary Macleod) on the importance of apprenticeships in sport and the great opportunity they offer for individuals to develop important skills. That is why I am pleased with the support that Sport England already provides. Brentford FC is a good example to many others, showing what clubs can do to help their local community.
ParlaMint-GB_2015-01-15-commons.u94	T5. The Minister and I entertained one another in a debate on nuisance phone calls about 18 months ago, when his response was, “It’s okay, guys. I’m on top of this. Something’s going to happen really quickly.” Since then we have had an action plan and lots of talking, but nothing has changed. When will he commit to a communications Bill to deal with the problem?
ParlaMint-GB_2015-01-15-commons.u95	I remember our entertaining exchange, and I take exception to the accusation that nothing has happened. We have already passed one piece of legislation and we are about to put through some more legislation to bring about some of the changes that people have called for. We do a lot of work with companies and with telecoms companies, and we have made a real impact on nuisance calls.
ParlaMint-GB_2015-01-15-commons.u96	T3. What assessment has my hon. Friend made of the roll-out of superfast broadband in Mid Derbyshire, especially in Oakwood, Belper and Morley, where Morley school, for instance, cannot teach the national curriculum properly using the internet because of the unreliability? [Interruption.]
ParlaMint-GB_2015-01-15-commons.u97	Members on the Labour Front Bench are saying that the situation is absolutely fine and it is completely marvellous. I would not go that far, but that is a good assessment of our rural broadband programme. I know that in Belper, for example, at the end of last year 1,500 premises were connected, thanks to the rural broadband programme. I hear what my hon. Friend says about Morley school and I will be happy to engage with her on the specifics of that issue.
ParlaMint-GB_2015-01-15-commons.u98	T7. Superfast broadband seems to be a popular topic today. Does the Minister agree with the BT group strategy, policy and portfolio director that getting superfast broadband to 95% of the country might take until 2018? This was stated in an answer from the Department for Environment, Food and Rural Affairs on 3 December. The gap between superfast broadband availability—73%—and take-up is 21%, so there is a shortfall of 52%. Does the Minister agree that superfast broadband might be priced just a little too high? What is he doing to close the gap between the 21% and the 73%?
ParlaMint-GB_2015-01-15-commons.u99	Absolutely nothing.
ParlaMint-GB_2015-01-15-commons.u100	I do enjoy the running commentary that we get from the hon. Member for Rhondda (Chris Bryant) throughout questions. Like the Duracell bunny, will he ever run out of energy? It is really impressive In this country we have some of the lowest costs for superfast broadband, but I know that the hon. Member for Glasgow North West (John Robertson), along with the hon. Member for Rhondda, will welcome our fantastic advertising campaign for superfast broadband, which I hope will bridge the gap between availability and take-up.
ParlaMint-GB_2015-01-15-commons.u101	T6. There are too many rural communities in my South Downs constituency that have no broadband access. West Sussex county council’s plan to achieve 95% superfast coverage by 2017 is excellent, but is it not important to ensure that the remaining 5%, which will cover many rural areas, have digital access? Public subsidy should be directed at those areas first.
ParlaMint-GB_2015-01-15-commons.u102	We are doing well in my right hon. Friend’s part of the world. West Sussex will get 94% superfast broadband coverage by the end of phase 1. That is £12 million worth of investment. My right hon. Friend is an experienced parliamentarian and I take what he says very seriously.
ParlaMint-GB_2015-01-15-commons.u103	As we are well into the 100-year commemorations of the first world war, will the Minister assure the House, veterans in my area and my local armed forces network that she will ask Sky to reconsider the scheduling of the broadcast of matches on Remembrance Sunday, which has happened in Sunderland two years in a row, and instead schedule the games for the Saturday so as to respect the original intentions of that special day—remembering those who gave their lives for our country
ParlaMint-GB_2015-01-15-commons.u104	It is a very special day and it is important always to remember those who sacrificed their lives for our country. I am very happy to have a discussion with the hon. Lady about those issues.
ParlaMint-GB_2015-01-15-commons.u105	T8. I thank the Secretary of State very much for the focus that has gone on broadband in Cumbria. We have, however, faced a serious challenge with the European regional development fund. May I have his assurance that we will focus relentlessly on overcoming those problems to make sure that we can get the extension and deliver the broadband, as promised?
