ParlaMint-GB_2015-03-24-commons.u1	1. What progress he has made on the Northern Futures project; and if he will make a statement.
ParlaMint-GB_2015-03-24-commons.u12	5. What progress he has made on further devolution in England.
ParlaMint-GB_2015-03-24-commons.u13	This Government have a proud record of devolving power from central Government to the cities, towns and counties of this country: we passed the Localism Act 2011; we have initiated and negotiated 28 city deals; we are devolving at least £12 billion of central resources to local places through growth deals; and, with the Greater Manchester agreement, and agreements with other cities to follow, there is now unstoppable momentum to continue that success.
ParlaMint-GB_2015-03-24-commons.u14	I am grateful for that answer. Does my right hon. Friend agree that the constitutional reform priority should be to ensure a fair and balanced devolution settlement for every part of the UK and to introduce English votes for English laws?
ParlaMint-GB_2015-03-24-commons.u15	My hon. Friend is absolutely right. That is why the Leader of the House has made it very clear that the return of a Conservative Government will correct that injustice and there will indeed be English votes for English laws.
ParlaMint-GB_2015-03-24-commons.u16	As well as English votes for English laws and, indeed, devolution to our great cities, can my right hon. Friend assure me that a future Conservative Government will devolve more authority on service delivery to the great counties of England, which have a strong track record of democratic delivery? I welcome the growth deal from which West Sussex has benefited.
ParlaMint-GB_2015-03-24-commons.u17	Indeed I will. My hon. Friend was a distinguished leader of one such county. It is clear that the success of the city deals has introduced a model that other capable authorities can take up. I encourage all our county leaders to prepare their plans to take powers from central Government and to be in charge of those budgets that were previously tied up in Whitehall.
ParlaMint-GB_2015-03-24-commons.u18	The devolution proposals for Greater Manchester have been widely welcomed, but the proposal to appoint an interim mayor with no executive powers is less welcome. Does the Minister agree that it should be a priority to arrange for primary legislation so that Greater Manchester can have an elected mayor?
ParlaMint-GB_2015-03-24-commons.u19	I do think there should be an elected mayor for Manchester—that is exactly what has been agreed with every one of the Greater Manchester authorities. One of the consequences of the agreement with Greater Manchester is that it will have a directly elected mayor who will be a hugely important national and international figure, as befits that great city.
ParlaMint-GB_2015-03-24-commons.u20	Devolution of power and responsibility to Wales required an Act of Parliament and a referendum of the people, yet Manchester and elsewhere are seeing ad hoc devolution that heralds the break up of the NHS. Is it not time to do this properly, rather than play a political game in the run-up to an election?
ParlaMint-GB_2015-03-24-commons.u21	I am very surprised that the hon. Gentleman seems to be against the devolution that has been welcomed right across the country and that has led to the leaders of Cardiff approaching the Government to request a city deal. I will visit Cardiff later this week to begin negotiations. They will be very concerned to hear that the hon. Gentleman is against it.
ParlaMint-GB_2015-03-24-commons.u22	The population of Essex is more than double that of Cornwall, and the population of the six counties of the east of England is considerably greater than that of Wales, so may we have devolution to the powerhouse of the six counties of the east of England?
ParlaMint-GB_2015-03-24-commons.u23	Through the Government’s programme over the past few years, we have devolved—and we will complete the devolution of—£12 billion of resources that were previously administered by Ministers and officials in Whitehall to Essex and other great counties. That is work in progress, but I agree with my hon. Friend that we can and should go further.
ParlaMint-GB_2015-03-24-commons.u24	Can the Minister see the regions or cities of England one day having more devolution than Scotland currently has?
ParlaMint-GB_2015-03-24-commons.u25	The progress we have made in England has been significant. As the hon. Gentleman knows, we have also concluded a city deal with Glasgow. Some of the reflections I have heard from Scotland state that the Scottish Government have been a rather centralising Government and that they will look to the model of decentralisation that we have pursued in England to try to save them from that over-centralisation.
ParlaMint-GB_2015-03-24-commons.u26	3. What steps he has taken to uphold the integrity of voting in introducing individual electoral registration.
ParlaMint-GB_2015-03-24-commons.u27	Increasing the integrity of the electoral process is one of the fundamental reasons behind the introduction of individual electoral registration. Unlike the previous system, under which the head of the household registered people, people now have to register and have their entry verified against Government and local authority records. That is one way in which we are ensuring the integrity of the register. Furthermore, we have ensured that anyone wishing to vote by post or by proxy at the elections on 7 May must have been verified through IER. That safeguards the integrity not only of the register but of the ballot.
ParlaMint-GB_2015-03-24-commons.u28	There are almost 4,000 so-called red voters—I hope the colour is not symbolic—who were already registered in Gloucester before IER was introduced. They cannot vote by postal vote, but if they exist, they are entitled to vote in person. What steps has my hon. Friend’s Department taken to ensure that people do not impersonate others in polling stations?
ParlaMint-GB_2015-03-24-commons.u29	I thank my hon. Friend for a very good question. On the numbers of people, the number of voters carried forward from the last annual canvass who have lost their postal vote is actually very small—it is about 3% in total—and the remainder have been confirmed against Government records. This is in the context of an important safeguard that was introduced during the transition to IER, ensuring that no one registered to vote at the last annual canvass will lose their vote in May. I would add, however, that any attempt to impersonate someone at a polling station is a criminal offence.
ParlaMint-GB_2015-03-24-commons.u30	Order. We are immensely grateful to the Minister.
ParlaMint-GB_2015-03-24-commons.u31	Further action that we have taken is £500,000—
ParlaMint-GB_2015-03-24-commons.u32	Order. We are extraordinarily obliged to the hon. Gentleman. I was going to thank him for the notable comprehensiveness of his response, which is a polite way of exhorting him to resume his seat.
ParlaMint-GB_2015-03-24-commons.u33	Will the Minister tell the House what he believes has been the effectiveness of individual and continuous registration in Northern Ireland? Does he accept the importance and value of continuing the annual household canvass to achieve robust electoral registration?
ParlaMint-GB_2015-03-24-commons.u34	We have learned the lessons from Northern Ireland. One of the things we have preserved in the transition to IER is indeed the annual canvass. That is also why we have carried over people from the last annual canvass to ensure that no one who was registered to vote as at January 2014 will lose their right to vote come 7 May.
ParlaMint-GB_2015-03-24-commons.u35	Voting integrity is obviously important. There are real concerns that many students, particularly first-year students, will not get on the register. I have been trying to encourage them to register and to vote. What has the Minister done to make sure that they have a chance to vote?
ParlaMint-GB_2015-03-24-commons.u36	Ensuring that everyone who is eligible to vote is on the register and can exercise that right has been a priority of the Government throughout the transition to IER. We have made £500,000 available to the National Union of Students to run a programme to register students to vote. We are also working with universities so that they can provide data to local authorities, which can then chase up students not on the register to get them on to the register.
ParlaMint-GB_2015-03-24-commons.u37	Despite the warm words from the Minister, at the end of this Parliament there will be many millions who are entitled to vote but missing from the electoral register. The Government’s cack-handed and rushed move to individual electoral registration has made things worse. Fortunately, others are trying to repair the damage—Hope not Hate, Bite the Ballot, Operation Black Vote, the Daily Mirror, trade unions, Operation Disabled Vote, faith groups, the Labour party and many others. Will the Minister join me in thanking and commending all those working hard to ensure that all those entitled to vote are registered to vote?
ParlaMint-GB_2015-03-24-commons.u38	I will take no lessons from the right hon. Gentleman. The Labour party left office with 7.5 million people missing from the register. IER was Labour’s policy, and this Government have taken it forward. Of course the Government have worked with a whole series of groups, including private organisations such as Facebook, to promote registration. Indeed, national voter registration day saw 166,000 people register to vote. Operation Black Vote has received funding from this Government to get people on the register. You left the register with 7.5 million people missing; we are putting it right.
ParlaMint-GB_2015-03-24-commons.u39	Order. I have done no such thing.
ParlaMint-GB_2015-03-24-commons.u40	4. What plans he has to devolve powers to Cornwall.
ParlaMint-GB_2015-03-24-commons.u41	In January this year, I announced that we will devolve to Cornwall an extra £11.3 million from the local growth fund, bringing the total investment devolved to Cornwall to £60.2 million. I have made it clear that I would like to go much further and pass legislation in the next Parliament to allow the Cornish people to have a Cornish assembly with power over housing, health care and transport, if that is what the people of Cornwall want.
ParlaMint-GB_2015-03-24-commons.u42	I hope that my right hon. Friend does not think that I am damning him with faint praise when I say that he is the best party leader by far. He will therefore recognise that Cornwall will benefit a great deal from the proposed devolution-enabling Act. Does he agree that under those proposals Cornwall and places like it could redesign their planning and housing systems to put local need above speculators’ greed and the increase in second homes?
ParlaMint-GB_2015-03-24-commons.u43	As my hon. Friend rightly suggests, we should push ahead with devolution and decentralisation across the United Kingdom in the next Parliament, but not to a fixed blueprint. Some areas may want to go further and faster than others. If, in Cornwall, it is felt that a Cornish assembly, born out of the existing county council—it would not be yet another talking shop for politicians, and could even cut the number of politicians if it wished to—should have powers over planning, such as those that he suggests, I would hope that we would empower it in that way.
ParlaMint-GB_2015-03-24-commons.u44	13. The Plymouth and south-west peninsula city deal, which was announced recently along with the enterprise zone, will ensure that there is significant investment in Devon and Cornwall and that there are new jobs. Does my right hon. Friend share my concern that if, by some misfortune, the Labour party got into power, the focus would no longer be on Devon and Cornwall but elsewhere?
ParlaMint-GB_2015-03-24-commons.u45	My hon. Friend is right to say that the Labour party has never sought to look after the interests of the south-west, nor the interests of the national economy more broadly. Without a stronger economy, it is impossible to create a fairer society in which power is distributed to all parts of the United Kingdom, including the south-west.
ParlaMint-GB_2015-03-24-commons.u46	Last but not least, I call Debbie Abrahams.
ParlaMint-GB_2015-03-24-commons.u47	6. What steps he is taking to ensure that residents of Oldham East and Saddleworth constituency benefit from the Government’s constitutional and political reform proposals.
ParlaMint-GB_2015-03-24-commons.u48	The residents of the hon. Lady’s constituency will benefit from the biggest devolution of powers from central Government to local government for decades. The Greater Manchester city deal and the growth deal agreement will put the transport budget in the hands of the people of Manchester; see the building of 15,000 extra homes over the next 10 years; devolve the skills budget, securing more and better training; allow 100% of business rate revenue to be retained locally; and bring together £6 billion of health and social care budgets to join up services. That is all part of this Government’s northern powerhouse initiative.
ParlaMint-GB_2015-03-24-commons.u49	More than 112,000 people were made homeless in 2013, which was an increase of 26% on 2010. That can be directly attributed to the Government’s welfare policies, including their new sanctions regime, and to the lack of affordable housing. My office has been inundated with homelessness cases over the past few months. How does the Minister think the increase in homelessness will affect voter registration?
ParlaMint-GB_2015-03-24-commons.u50	The hon. Lady’s initial question was about how the Government’s policies on devolution and constitutional reform have benefited her constituents and I set that out in terms. I would have thought that she would want to recognise that, as did the hon. Member for Blackley and Broughton (Graham Stringer). The front page of the Manchester Evening News put it in this way: “We’re All Winners!” Part of the gain for Manchester is that local people can make more of the local decisions, including those on housing, as I mentioned in my previous answer.
ParlaMint-GB_2015-03-24-commons.u51	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-03-24-commons.u52	As Deputy Prime Minister, I support the Prime Minister on the full range of Government policy initiatives. I take special responsibility for the Government’s programme of political and constitutional reform.
ParlaMint-GB_2015-03-24-commons.u53	I thank my right hon. Friend for that answer. I urge him to intervene in the campaign to get the drugs that are needed for those with Morquio syndrome, Duchenne muscular dystrophy and tuberous sclerosis. The Prime Minister said that there should be continuity of treatment, yet we have found out that that will not be delivered by the Department of Health. Katy Brown, the mother of my six-year-old constituent Sam Brown, has said that that is at best “misleading, at worst underhand”. This situation is disgraceful. We need to fund those drugs now on an interim basis. Will my right hon. Friend speak to the Prime Minister and get it sorted this week?
ParlaMint-GB_2015-03-24-commons.u54	I pay tribute to my hon. Friend for the way he has sought to represent his constituent Sam Brown, and all the other children and their families who are—quite understandably—concerned about the continued provision of these drugs. As he heard from the Prime Minister when he raised the matter at Prime Minister’s questions two weeks ago, the understanding is that NHS England is conducting a review that will conclude by the end of next month. In the meantime, drug companies will continue with the provision of these drugs until the end of May, so that continuity is assured. Given my hon. Friend’s concerns, I will undertake to look urgently at the matter again.
ParlaMint-GB_2015-03-24-commons.u55	In an interview last week the Deputy Prime Minister pronounced that “the way in which politics works is bust” and that “Westminster is a joke”. When he said that, was he referring to himself?
ParlaMint-GB_2015-03-24-commons.u56	I wonder what answer I should give to that. No, of course not.
ParlaMint-GB_2015-03-24-commons.u57	He went on in that interview to say that he is now “more anti-establishment” than he was five years ago. Were those the same five years in which he took the ministerial car, the ministerial salary and the Tory Whip? Were they the same five years in which he trebled tuition fees, imposed the bedroom tax, put up VAT and cut taxes for millionaires? However he describes himself, the only thing people in this country will remember him for is giving a whole new meaning to the phrase, “Yes, Prime Minister.”
ParlaMint-GB_2015-03-24-commons.u58	I cannot blame the right hon. and learned Lady; she certainly finished in the style to which we have all been accustomed for the last five years by reading out pre-rehearsed questions. I think that the era of single-party government in this country is over. I know she does not like that idea and that the establishment parties—those Members sitting both behind me and in front of me—do not like it either, but I think it is over. This coalition Government have, in very difficult circumstances, presided over what is now the fastest growing economy in the developed world, with more people in work than ever before, and more women in work than ever before, after the absolute economic mess she bequeathed us. That is quite an achievement.
ParlaMint-GB_2015-03-24-commons.u59	T5. I welcome the focus that growth deals are giving to investment priorities in north-east Cheshire and across the country. What steps are being taken to help boost and support the life sciences corridor in Cheshire and across Manchester, and to help boost jobs in Macclesfield as well?
ParlaMint-GB_2015-03-24-commons.u60	I know that the Minister for Universities, Science and Cities was recently at Alderley Park, and I am grateful for my hon. Friend’s personal contribution to the Alderley Park taskforce. I am pleased that through the local growth deals Cheshire and Greater Manchester secured an allocation from the Government of £20 million towards their joint £4 million LEP life science investment fund. More broadly, we must build on strengths in the health care sector in the north of England. That is why in last week’s Budget £20 million was announced for the “health north” initiative, which will enable better care for patients and promote medical innovation in the north of England.
ParlaMint-GB_2015-03-24-commons.u61	T2. Through local growth deals and local enterprise partnerships the Government claim to be giving local communities greater control over spending priorities with one hand, yet they savagely make cuts with the other. That means a real failure to deliver projects in places such as West Lancashire that are on the edges of our cities, and they are missing much of the investment that could be made. In the final stages of this Government, will the Minister acknowledge that that has not been fair to all our communities?
ParlaMint-GB_2015-03-24-commons.u62	This is the second time the issue has been raised, and it would be so much easier to take seriously the hon. Lady’s concern about savings that have been asked of local government were it not for the fact that the shadow Chancellor has said that hundreds of millions of pounds would be asked of local government in further cuts if the Labour party won the next election. Which is it? Does the Labour party believe that further savings need to be made from local government, or not? Officially it says that those savings will need to be made, even in the next Parliament as we continue to balance the books, yet in this House the hon. Lady and her colleagues somehow think that no savings are required whatsoever. I am afraid savings will continue to be required until we have finished balancing the books and balancing them fairly.
ParlaMint-GB_2015-03-24-commons.u63	T6. Is the Deputy Prime Minister aware of representations that there should be a tax on family homes in London and the south-east to pay for nurses in Scotland? Does he agree that we need to have a fair Union and a strong Government, not a weak Government dancing to the tune of, and held to ransom by, the Scottish National party?
ParlaMint-GB_2015-03-24-commons.u64	I certainly agree that in the same way as it would be very ill-advised to put the UK Independence party in charge of Europe, it would be very ill-advised to put the SNP in charge of a country it wishes to pull apart On property taxation, as the hon. Gentleman knows we have a property tax system, the council tax, which rather eccentrically ends at a certain level. My party therefore believes it is logical to extend the principle of banded taxation for properties higher up the value chain, both here in the south-east and elsewhere.
ParlaMint-GB_2015-03-24-commons.u65	T3. Given the overwhelming dominance of London and the south-east in the unelected second Chamber, does the Deputy Prime Minister agree that an elected senate of the nations and regions would be a good way to give the regions of England a stronger say in how the country is run?
ParlaMint-GB_2015-03-24-commons.u66	Yes, that would be an excellent idea. I only wish the hon. Gentleman’s party had actually abided by his wisdom when we had the chance to vote for an elected second Chamber. For specious procedural reasons, the Labour party turned its back on its long-held traditional view in favour of democracy in the second Chamber. I agree that one of the virtues of an elected second Chamber is precisely that it would provide an accurate reflection of the regions and nations of the United Kingdom at the other end of the building.
ParlaMint-GB_2015-03-24-commons.u67	T7. Simon Stevens, the chief executive of NHS England, has said that by 2020 the NHS will need an extra £8 billion a year at the very minimum to provide the services we all need. Does my right hon. Friend agree that it is our duty as politicians to find that funding, and that any party going into this election saying that it will provide less than that is, no matter how it spins it, actually saying that it will underfund the NHS?
ParlaMint-GB_2015-03-24-commons.u68	My hon. Friend makes a very important point. Simon Stevens’s analysis of the financial needs of the NHS specified that by the end of the next Parliament there would be an £8 billion funding gap. That is not some sort of easy throwaway figure; it was identified on the basis of certain assumptions about considerable continued savings in the NHS. The Liberal Democrats have specified how we would find that £8 billion. It is now for other parties in the House to come clean on how they would find the money identified by Simon Stevens.
ParlaMint-GB_2015-03-24-commons.u69	T4. The Deputy Prime Minister and I have not always seen eye to eye, but as it is his last appearance in the Chamber I will go easy on this occasion. He failed to mention, when he answered Question 1, that Liverpool is a part of the northern powerhouse. What guarantees can he give that my city will have a seat front and centre at the top table of the northern powerhouse?
ParlaMint-GB_2015-03-24-commons.u70	I very much hope it is not the last time the hon. Gentleman and I interact across the Floor of the House of Commons—and in this configuration as well. Liverpool already has a seat at the top table of the Northern Futures and northern powerhouse initiatives. The significant rail and road transport projects, which were confirmed just last week, had Liverpool very much at their heart. They will lead to significantly improved road and rail connections from Liverpool to the rest of the north-west and to the rest of the country. The good thing is that those proposals were developed on a cross-party basis—of all parties—and in a consensus of both national Government and local government, including in Liverpool.
ParlaMint-GB_2015-03-24-commons.u71	T10. As someone who was initially sceptical about the longevity of the coalition Government, I am very proud of our achievements and very pleased with our successes. Consequently, I would award the current Government nine marks out of 10. How many marks out of 10 would the Deputy Prime Minister rate the current Government?
ParlaMint-GB_2015-03-24-commons.u72	I will leave the marking and the scores to other people. I look to hearing the scores that will no doubt be delivered by other, more critical voices shortly. I agree with my hon. Friend that the durability of the coalition Government was not widely predicted when we were formed. I remember, when the coalition started, reading almost daily portentous predictions that the coalition Government would not survive. We have survived for half a decade and we have done so in the national interest.
ParlaMint-GB_2015-03-24-commons.u73	T8. The Deputy Prime Minister promised in the coalition agreement to set a limit on the number of special advisers. There were 71 under Labour. There are 107 now, including 20 in his office, at a cost of £1,200,000. Does he believe in leading by exhortation rather than example?
ParlaMint-GB_2015-03-24-commons.u74	We have been more open and transparent about the employment of special advisers than any previous Government, and I have never hidden the fact that in a coalition Government of two parties, clearly both parties will wish to employ special advisers in order to facilitate the mechanics and workings of government.
ParlaMint-GB_2015-03-24-commons.u75	I call Mr Richard Graham. [Interruption.] Get in there, Mr Graham; your moment is now.
ParlaMint-GB_2015-03-24-commons.u76	T11. May I thank the Deputy Prime Minister’s office warmly for all its hard work in ensuring that growth deals for Gloucester and Gloucestershire have been delivered over the past five years, and may I exhort him to do more of the same in the next Parliament?
ParlaMint-GB_2015-03-24-commons.u77	I thank my hon. Friend. I agree that the growth deals have set an important precedent in handing more power, money and decision-making authority to local communities, and I hope it sets a trend that will not be reversed in the next Parliament.
ParlaMint-GB_2015-03-24-commons.u78	It is no surprise that the previous career of the hon. Member for Gloucester (Richard Graham) was as a Foreign Office diplomat. He is able to react to any situation, even when he is busily consulting his iPhone. We are deeply obliged to him.
ParlaMint-GB_2015-03-24-commons.u79	T9. I notice that the Deputy Prime Minister is responsible for building strategic relations with Europe. Given how weak our country is in Europe and NATO and how so many people compare this Prime Minister with Neville Chamberlain, is he proud of the job he has done promoting Britain in Europe?
ParlaMint-GB_2015-03-24-commons.u80	The hon. Gentleman gets very worked up. It is no secret that there are differences of opinion in this coalition Government on some of the big long-term issues concerning Britain’s future in the EU. My party will never argue for withdrawal from the EU, because we think it is in our overwhelming national interest to remain part of it. I would say this, however: political and diplomatic strength is directly related to economic strength, and, in my view, if we stay the course and finish the job—and finish it fairly—of fixing the finances and continuing to rewire the British economy, within a generation it could be the largest and most potent economy in Europe, which will deliver considerable clout to future generations.
ParlaMint-GB_2015-03-24-commons.u81	T12. Given that London’s economy is greater than Scotland’s and Wales’s combined, as we devolve power to Scotland and Wales and the northern powerhouse, what plans does my right hon. Friend have for making sure that devolution flows to London as well?
ParlaMint-GB_2015-03-24-commons.u82	I agree that the process of devolution and decentralisation not only to the different nations of the UK but to the different parts of England is an ongoing process that should benefit all parts of the country, including London. Just last week, announcements were made of the further devolution of powers to the London Mayor’s office, in addition to the considerable powers he already possesses. That could be built upon in the future.
ParlaMint-GB_2015-03-24-commons.u83	The Deputy Prime Minister’s proposals for the alternative vote system were roundly defeated in a referendum. Will he tell the voters whether he is now prepared to take no for an answer?
ParlaMint-GB_2015-03-24-commons.u84	I would like the hon. Lady to confirm—perhaps by raising a hand—which party had AV as its manifesto commitment in the last election. It was not the Liberal Democrats; it was not the Conservatives—oh, it was the Labour party’s policy. We put to the British people her party’s own policy, and she now wants me to disown it. Honestly, of all the topsy-turvy accusations I have had levelled at me, that really takes the biscuit.
ParlaMint-GB_2015-03-24-commons.u85	T13. For the last five years, I have tried to irritate the Deputy Prime Minister by asking him questions exposing Liberal Democrat failures, and he has always answered with good grace and good humour—although never the question I asked, of course—and I think that history will look on him as having been courageous in bringing his party into a national Government at a time of crisis. He should take great credit for that. My final question to the Deputy Prime Minister is simple: will he confirm whether he intends to serve another full term as Deputy Prime Minister?
ParlaMint-GB_2015-03-24-commons.u86	I have enjoyed answering—or in the hon. Gentleman’s view, not answering—his questions on many occasions and perhaps look forward to doing so again in the future. I would happily settle for two terms as Prime Minister.
ParlaMint-GB_2015-03-24-commons.u87	Because the Prime Minister has listed a number of people who might want his job and because a leadership contest might come much sooner than he wishes, would the Deputy Prime Minister like to indicate those of his colleagues who are likely to wish to replace him? One obvious candidate is not present at the moment.
ParlaMint-GB_2015-03-24-commons.u88	Er, no.
ParlaMint-GB_2015-03-24-commons.u89	T14. I warmly welcome the Government’s announcement on additional funding for childhood and adolescent mental health services. Will my right hon. Friend reassure me that we will never again see children and adolescents being held in police cells because there are insufficient in-patient beds? We need more tier 3 and tier 4 facilities for young people.
ParlaMint-GB_2015-03-24-commons.u90	I strongly agree. It is very good indeed that something close to a cross-party consensus has emerged over the last few years in favour of dealing with generations of discrimination—and it is discrimination—against mental health in the NHS and, within that, an almost institutionalised form of cruelty through which very vulnerable children and adolescents with serious mental health conditions have not been treated and cared for. This cannot be reversed and corrected overnight, but we can make a start. We have done that, and last week’s announcement in the Budget of a £1.25 billion investment in children and young adult mental health services will have a transformative effect on the tens of thousands of children who will now be better treated than they have been for a long time.
ParlaMint-GB_2015-03-24-commons.u91	My constituents, I am happy to say, voted for AV in the recent referendum, but they were not among the majority. Does the Deputy Prime Minister agree that with a five-party system at the UK level—and even more throughout the nations and regions of the UK—we need to look again at the electoral system and that this should be a priority for a constitutional convention hopefully set up under a Labour Government?
ParlaMint-GB_2015-03-24-commons.u92	One should not expect to ask a Liberal Democrat about electoral reform and fail to get a hearty answer—well, perhaps not a hearty answer, but the hon. Gentleman knows what I mean. The electoral system we have is woefully unrepresentative of the way people vote. As he rightly suggests, it is becoming ever more unrepresentative as the old duopoly of politics gives way to something much more fluid and plural. Our electoral system—and, indeed, the way in which we conduct our business here—is stuck firmly in the past. It is anachronistic; it will have to change; in my view, it will change one day.
ParlaMint-GB_2015-03-24-commons.u93	Is the Deputy Prime Minister as disappointed as I am that the groundbreaking devolution deal announced for West Yorkshire received a less than generous response from certain West Yorkshire council leaders?
ParlaMint-GB_2015-03-24-commons.u94	I agree. I was struck by the rather churlish and sour note coming from a number of Labour leaders in West Yorkshire about a deal that amounts to a very significant transfer of power, money and responsibility to Leeds and the west Yorkshire area. It was warmly welcomed by Roger Marsh, the chair of the local enterprise partnership. It would be much better if we could work on a cross-party basis to welcome rather than denigrate those steps towards further devolution.
ParlaMint-GB_2015-03-24-commons.u95	Only days ago, the Government appointed a Conservative Member of Parliament to the £45,000 a year job as chair of the National Heritage Memorial Fund. Today we learn that another Conservative MP is about to be appointed to another office of profit under the Crown. Is this not a flagrant example of jobs for the boys, and will the anti-establishment bit that is left in the Deputy Prime Minister condemn such appointments?
ParlaMint-GB_2015-03-24-commons.u96	I am not entirely sure which specific instances the hon. Gentleman alludes to, but everybody remembers the explosion in quangocracy under the Labour Government when legions of placemen and women were dotted around the country by the Labour party. In fact, many of them are still in post.
ParlaMint-GB_2015-03-24-commons.u97	The Government have devolved an awful lot of funding down to Labour-controlled west Yorkshire councils for their transport priorities. What can be done to make sure that we get some true devolution, so that the money can flow down to places such as Shipley for the much-need Shipley eastern bypass, and so that the money is not just kept by these Labour councils for pet projects in Labour heartlands?
ParlaMint-GB_2015-03-24-commons.u98	The hon. Gentleman makes a fair point. Every time we enter into local growth deals, particularly those that are centred on big metropolitan authorities and big urban areas, there is legitimate concern—which was reflected in his question—about the possibility that some outlying or linked rural communities will not get a slice of the pie. Growth deals should be constructed in a way that allows both rural and urban areas to be included at every stage.
ParlaMint-GB_2015-03-24-commons.u99	1. What steps the Crown Prosecution Service has taken in the last two years to ensure that prosecutors are able to prosecute stalking and harassment cases more effectively.
ParlaMint-GB_2015-03-24-commons.u100	The Crown Prosecution Service has taken a number of steps recently to ensure that that can happen. A joint police and CPS protocol on stalking was launched in September last year, and CPS legal guidance was revised to reflect that development. In addition, prosecutors have been given training on the new stalking offences.
ParlaMint-GB_2015-03-24-commons.u101	Can my hon. and learned Friend confirm that stalking and harassment online is taken as seriously as other forms of such behaviour?
ParlaMint-GB_2015-03-24-commons.u102	Yes, I can confirm that. Recent changes in the law that were introduced by the Criminal Justice and Courts Act 2015 will make it easier to prosecute those serious cases by extending the time limits on summary-only communications offences, and by allowing cases covered by section 1 of the Malicious Communications Act 1988 to be dealt with in the Crown court.
ParlaMint-GB_2015-03-24-commons.u103	I am pleased that this question has been asked, but I am rather concerned about the lumping together of general harassment and stalking. The Solicitor-General knows full well that stalking is a distinct offence and should be treated accordingly.
