ParlaMint-GB_2015-03-12-commons.u1	1. What steps she is taking to assist dairy farmers.
ParlaMint-GB_2015-03-12-commons.u20	I know that people are concerned about the challenges involved in the implementation of a discard ban. That is why we have had to start thinking about it at an early stage, and why we have issued the consultation in the way that we have. As for choke species such as hake, which is often cited in Scotland, we will be phasing in the ban over five years, and we will start with the species that define the fishery, so the ban on some of those species would not apply until a date closer to 2020.
ParlaMint-GB_2015-03-12-commons.u21	I believe that the discard ban is absolutely right, although it will obviously take some time to get its implementation right. What will be done about fish that are landed and may or may not be fit for human consumption, but could be used as fish food, or even for farming purposes?
ParlaMint-GB_2015-03-12-commons.u22	We are discussing that with processors and port authorities, but we believe that we have enough processing capacity to create fishmeal, although there may be problems with transport from the ports to the locations where the fishmeal is processed. We want to change fishing behaviour, and to reduce the amount of unwanted fish that is landed by means of more selective gears and changes in fishing patterns.
ParlaMint-GB_2015-03-12-commons.u23	I am sure that the Minister is aware of the regional discrepancy in net configurations. The Northern Ireland requirement is 300 mm, while the requirement in the Republic of Ireland is 80 mm, and there are different requirements in Scotland, Wales and England. Has the Minister discussed with regional authorities and the Government of the Republic the introduction of more uniformity in net configuration, in the context of the discard ban?
ParlaMint-GB_2015-03-12-commons.u24	I shall be happy to look into that. As the hon. Gentleman knows, the nephrops industry is particularly important in Northern Ireland, and we managed, against the odds, to secure an increase in the total allowable catch at the December Council. That will be good for the Northern Ireland fleet. Different countries take different approaches when it comes to technical measures; that is an important aspect of the devolved entity that we want the common fisheries policy to become.
ParlaMint-GB_2015-03-12-commons.u25	3. What assessment she has made of the role the public can play in supporting bees and pollinators.
ParlaMint-GB_2015-03-12-commons.u26	6. What assessment she has made of the role the public can play in supporting bees and pollinators
ParlaMint-GB_2015-03-12-commons.u27	In November we published the national pollinator strategy, a 10-year plan to help pollinators to thrive, which involves farmers, major landowners and the public. People can help in their gardens, schools or local parks by leaving areas wild for pollinators, or ensuring that food sources are available throughout the year.
ParlaMint-GB_2015-03-12-commons.u28	Will the Secretary of State update me on how the 2013 United Kingdom national action plan for sustainable use of pesticides is being reviewed, so that the use of pesticides by local authorities in particular can be reduced?
ParlaMint-GB_2015-03-12-commons.u29	We will update the action plan by 2017 in line with European Union requirements. Many local authorities are involved in our national pollinator strategy: Bristol, Wyre Forest and Peterborough are all taking measures to plant pollinator-friendly wild flowers.
ParlaMint-GB_2015-03-12-commons.u30	Last month, at the Stafford green arts festival, “There is no planet B”, I was presented with a book that contained a number of concerns raised by my constituents, including the threat to bees and pollinators. What news can I give them of the work being done across the country to protect and preserve pollinators, which are so essential for food production?
ParlaMint-GB_2015-03-12-commons.u31	My hon. Friend is absolutely right: pollinators are vital for our £100 billion food and farming industry, and are estimated to be worth £430 million to our economy in services alone. That is why we launched the national pollinator strategy, which will include a wild pollinator and wildlife element in the new countryside stewardship scheme. That means that farmers will have a strong incentive to help pollinators on their land.
ParlaMint-GB_2015-03-12-commons.u32	I am pleased to see that Network Rail has joined the Government’s strategy on pollinators, but is my right hon. Friend aware that its practice of removing all vegetation along the railway embankments destroys the habitats of bees and pollinators, and no assurances have been given to my constituents in Hampton-in-Arden that there will be an offset for this biodiversity loss?
ParlaMint-GB_2015-03-12-commons.u33	I thank my right hon. Friend for making that point. It is good news that Network Rail, the Highways Agency and other major organisations, including the National Trust, have signed up to the pollinator strategy, and I am certainly very happy to take up that specific point with Network Rail, because major landowners can do so much to make sure that areas are available for pollinators to thrive.
ParlaMint-GB_2015-03-12-commons.u34	4. What assessment she has made of trends in the performance of the Rural Payments Agency since 2010.
ParlaMint-GB_2015-03-12-commons.u35	Under this Government, the Rural Payments Agency has dealt with the historical issues of late payments to farmers, which were a feature under the last Government. This year it released payments to 97.4% of claimants within the first month, and 2013-14 was the agency’s most successful year to date, with more customers being paid on the first day than ever before, and with high customer satisfaction scores.
ParlaMint-GB_2015-03-12-commons.u36	I must declare my interest in farming. Will the basic payments system be ready by 15 May? Why are farmers expected to draw ineligible features, instead of satellite mapping being used? What sort of support is there if they make any errors in the process, so that they are not being set up to fail?
ParlaMint-GB_2015-03-12-commons.u37	There were three questions there, but at least each was brief.
ParlaMint-GB_2015-03-12-commons.u38	On the first point, I can report that over 75% of farmers are now registered on the system. Some of them are experiencing issues with the slowness of the mapping system, and we are working to address that. On my hon. Friend’s question about why they have to map, they have always had to map ineligible features—that is a requirement of the EU regulations—but they are entered on to the final application by digitisers, who check that the area is mapped correctly.
ParlaMint-GB_2015-03-12-commons.u39	Stephen Wyrill, national chairman of the Tenant Farmers Association, says that the Department’s online system for farmers to claim under the basic payment scheme is “heading for carnage”, and Guy Smith, vice-president of the National Farmers Union, says that its concern will turn to “justified alarm” if full mapping functionality is not operating by this weekend as promised. Many farmers depend for their survival on this payment. Can the Minister give an undertaking that all farmers will be able to make their claim online by 15 May?
ParlaMint-GB_2015-03-12-commons.u40	We have been working closely with the farming industry on this. Under this system, this was always going to be an iterative process. We wanted to put the system in place in stages and instalments. We have 75% of farmers on already, we are addressing the issue of the speed of the system, and we are looking at ways of expediting things for certain land types, so that they can bypass parts of the land eligibility criteria. I should also point out that we have a network of 50 digital support centres to help those farmers who require help.
ParlaMint-GB_2015-03-12-commons.u41	With 25% of farmers not yet registered and the deadline fast approaching, Farmers Weekly is reporting that only 236 farmers have gone for help to the 50 support centres, which is fewer than five per centre. Those who have registered—96% of them did so by phone, not online—are reporting that the online system has constant error messages and general slowness, that field information is not appearing, and that the mapping function does not work. Is the Minister planning a paper-based plan B, in case his online system collapses or is not fit for purpose?
ParlaMint-GB_2015-03-12-commons.u42	Our plan is to make the system work and to ensure that those farmers who need help can go into digital support centres. We anticipate that those centres will be busier in April, but we have ensured that they have sufficient capacity to upscale and to help farmers. It is important to recognise that about half of all farmers have only permanent pasture, and the requirement for them to map their details is lesser than it is for arable farmers. We are looking at ways of expediting this process.
ParlaMint-GB_2015-03-12-commons.u43	This Government should be hugely proud of the massive improvement in the Rural Payments Agency, compared with the chaos of a few years ago. We should also give thanks to its chief executive, Mark Grimshaw, for his work on making that happen. It is a fact that the IT systems will be critical in future. They will have to work, but we also need to enable farmers to use IT out in rural areas of the country that often have no access. The Minister will of course do everything he can to make the system work, but will he also redouble his efforts to persuade other Government Departments that rural broadband is absolutely critical to this important industry?
ParlaMint-GB_2015-03-12-commons.u44	Yes. We recognise the importance of rural broadband, which is why Broadband Delivery UK has invested hundreds of millions of pounds to bring broadband to rural areas. I know that my hon. Friend was involved in commissioning the Cap D system—the common agricultural policy delivery system—and he will recognise that we have ensured that it can operate at quite low speeds of around 2 megabits per second. That will ensure that most farmers are able to use it, but we have established the network of digital support centres for those who are not.
ParlaMint-GB_2015-03-12-commons.u45	5. What steps she is taking to ensure that her Department’s environmental key performance indicators are met.
ParlaMint-GB_2015-03-12-commons.u46	The core Department has reduced the size of its core estate to three properties and implemented measures such as LED lighting and improved insulation to reduce energy use. Carbon emissions, the quantity of waste we generate and the amount of water we use have reduced by 39%, 30% and 2% respectively. In the coming year, we are looking to use energy performance contracts to make our buildings more efficient and potentially to introduce renewable generation.
ParlaMint-GB_2015-03-12-commons.u47	The environment is clearly a key part of preventing and combating climate change, and that was one of the performance indicators. However, the Secretary of State has reduced from 38 to six the number of people working on climate change, and the Committee on Climate Change gave her Department a mere three out of 10. Does the Minister agree that in so trivialising climate change, the Secretary of State is putting at risk our long-term economic and environmental future?
ParlaMint-GB_2015-03-12-commons.u48	Mr Speaker, you will not be surprised to hear that I do not agree with the hon. Lady’s contention. I have a meeting this afternoon with my right hon. Friend the Secretary of State for Energy and Climate Change on the important work that we are doing on mitigation and adaptation. That remains a priority for this Government, which is why we are delivering on making a difference on this important range of issues.
ParlaMint-GB_2015-03-12-commons.u49	Could one of the Department’s environmental key performance indicators be the simplification of uplands entry-level stewardship agreements? I have several hill farmers who are struggling with unhelpful interpretations of those agreements by Natural England, and they need to be clarified and simplified.
ParlaMint-GB_2015-03-12-commons.u50	It is absolutely right that we should do all we can to ensure that these important new schemes are brought in properly, and that the existing schemes are functioning correctly. If my hon. Friend has particular concerns about the schemes, I would be happy to receive a letter from him that I can share with my colleague who deals primarily with these matters.
ParlaMint-GB_2015-03-12-commons.u51	The Select Committee on Environmental Audit has used a traffic light system to assess the Government’s performance over the past five years. On air pollution, it has given the Government a red light; on biodiversity and wildlife, it has given the Government a red light; and on climate change adaptation, flooding and coastal protection, it has also given the Government a red light. This Government were supposed to be the greenest Government ever, so why are they ending their time in office without being awarded a single green light?
ParlaMint-GB_2015-03-12-commons.u52	During my time in office, I have been happy to give evidence repeatedly to the Environmental Audit Committee, though I might disagree with some of its conclusions. I am happy to say that this Government are making improvements on air quality. There are issues with nitrogen dioxide, but they are being addressed at European level. We are improving our status in the important area of biodiversity in this country. We are improving our water quality. Across a whole range of areas, this Government are taking action to improve the quality of our environment and to establish, through the processes of the Natural Capital Committee, the importance of our natural capital now and in the future.
ParlaMint-GB_2015-03-12-commons.u53	7. How many flood defence schemes are planned to be built under the Government's flood defence programme.
ParlaMint-GB_2015-03-12-commons.u54	Our six-year flood defence programme, announced in December, includes more than 1,400 projects across the country. This £2.3 billion investment is a real-terms increase in capital spending and will mean that 300,000 homes are better protected.
ParlaMint-GB_2015-03-12-commons.u55	I thank my right hon. Friend for that. She will be aware of local authorities’ proposals to strengthen defences around the Humber estuary, and the autumn statement allocated £80 million for initial expenditure. Will she update us on when her officials will have made a full assessment of the proposals and when she will be able to make an announcement?
ParlaMint-GB_2015-03-12-commons.u56	I was delighted that in December we could announce £80 million for schemes on the Humber estuary, which will improve protection for more than 50,000 households. We are examining the ambitious proposals put forward by my hon. Friend, his colleagues and local authorities in the area, and we will publish the results in July.
ParlaMint-GB_2015-03-12-commons.u57	12. I am grateful to the Secretary of State for publishing the flood protection investment figures as official statistics, for which I asked in the House more than a year ago. They show, as I claimed, that over the past three years the Government have cut the amount spent on flood protection by £350 million, compared with the amount they inherited. The really interesting thing is that although the figures show the amount rising this year to £469 million, they show it falling immediately after the election to £370 million. Is that because the Government believe flood risks will fall by 20% next year—or is it just pre-election cynicism?
ParlaMint-GB_2015-03-12-commons.u58	Let us be clear: the amount we are spending in our six-year programme—£2.3 billion—is a real-terms increase on the capital expenditure this Parliament, which again is a real-terms increase from that in the previous Parliament. The result of that is we will end up reducing flood risk, including the impact of climate change, by 5%.
ParlaMint-GB_2015-03-12-commons.u59	My right hon. Friend will be aware that it is not just the sea we need to protect against, but flooding from excessive rain. What action is she taking to encourage the Environment Agency to ensure that drainage ditches are regularly dredged?
ParlaMint-GB_2015-03-12-commons.u60	First, we are putting additional funding into maintenance—an additional £35 million this year and next year for those types of activity. We are also running pilot projects so that local landowners and farmers can be involved in that work, as well as the Environment Agency. In addition, local environment agencies are spending more time now on issues such as dredging to make sure that that work happens.
ParlaMint-GB_2015-03-12-commons.u61	The residents of Morpeth in my constituency are delighted with the actions of the Environment Agency and the near completion of the flood alleviation scheme, but they are really concerned about flood risk insurance. What stage are we at in the discussions and negotiations on Flood Re and other affordable insurance schemes?
ParlaMint-GB_2015-03-12-commons.u62	We are on track for Flood Re to be established this summer—we are currently working on that. In the interim, we have the 2008 statement of principles, which will make sure that people in those areas do have flood insurance.
ParlaMint-GB_2015-03-12-commons.u63	I call Kerry McCarthy. She is not here.
ParlaMint-GB_2015-03-12-commons.u64	9. What assessment she has made of the lessons that can be learned from the experiences of other countries in dealing with bovine tuberculosis.
ParlaMint-GB_2015-03-12-commons.u65	The success of the bovine TB eradication policies pursued in countries such as Australia, New Zealand, the United States and the Republic of Ireland demonstrates the need to bear down on the disease effectively in both cattle and wildlife.
ParlaMint-GB_2015-03-12-commons.u66	I thank the Minister for his answer. Does he agree that lessons from Ireland, in particular, show that where there is TB in wildlife it must be tackled through culling as part of any comprehensive strategy to tackle TB? If that had happened years ago when TB was known to be moving towards Cheshire at the rate of 1 mile a year, Cheshire’s farmers would not be suffering the difficulties they are today. Does he also agree that this should not be such a political issue? It is about supporting our farmers and eradicating TB.
ParlaMint-GB_2015-03-12-commons.u67	My hon. Friend makes an important point: it is not possible to eradicate this disease without tackling the reservoir of the disease in the wildlife population. She rightly says that the previous Government put their head in the sand and did nothing. This is a slow-moving, difficult disease and it has to be hit hard and early, which the previous Government failed to do. At a recent NFU conference Labour confirmed again that, irrespective of the evidence and the advice of the chief veterinary officer, it would abandon the culls.
ParlaMint-GB_2015-03-12-commons.u68	Despite the Government’s protestations, the previous Labour Government killed more badgers than any other Government. [Laughter.] Yes. The £50 million trial over 10 years concluded that such action gave no meaningful contribution to the eradication of tuberculosis. The Government’s badger culls have not just been a disaster for wildlife, but come at a huge financial cost. In the first year of the culls, the Government spent £9.8 million. With Ministers proposing to extend the badger culls, possibly to 10 areas and after that to 40 areas, how much more can taxpayers expect to fork out for these ineffective and inhumane badger culls?
ParlaMint-GB_2015-03-12-commons.u69	The random badger cull trials that were carried out demonstrated incontrovertibly that, over time, the cull did lead to a significant reduction in the disease, which is why the experts in the Department for Environment, Food and Rural Affairs recommend a cull as part of the strategy. It is absolutely wrong for Labour to say that it will ignore the evidence and the advice of the chief veterinary officer. On the costs in the first year, the cull clearly had elements of analysis, post mortem, research and policing that will not be present when we roll it out more widely. We are committed to having a badger cull as part of our 25-year strategy.
ParlaMint-GB_2015-03-12-commons.u70	10. If she will take steps to increase the number of Natura 2000 sites in England.
ParlaMint-GB_2015-03-12-commons.u71	A review of the network of special protection areas classified under the wild birds directive is currently under way and will inform decisions on the need to classify further sites. The network of special areas of conservation designated under the habitats directive is essentially complete, but is continually under review to ensure that it remains sufficient. Further work has been undertaken to identify additional SACs for harbour porpoise and is expected to deliver later this year.
ParlaMint-GB_2015-03-12-commons.u72	I thank the Minister for his answer. In that review, will he consider extending the status of Natura 2000 to the area of outstanding natural beauty in the Chilterns, particularly as it has precious ancient woodland, really fragile chalk streams and the majestic sight of the successfully re-introduced red kites soaring over our Chiltern hills? Surely we should be a candidate for Natura 2000 designation.
ParlaMint-GB_2015-03-12-commons.u73	I can reassure my right hon. Friend that the work of the AONBs is very much recognised by Government. On considering further protections, we must look at the evidence on those particular species and take any decision very carefully. Natural England is considering designating more ancient woodland as sites of special scientific interest, which will increase the protection afforded to the best ancient woodlands above and beyond that which is already accorded to ancient woodlands through the national planning policy framework.
ParlaMint-GB_2015-03-12-commons.u74	11. What her policy is on repeal of the Hunting Act 2004.
ParlaMint-GB_2015-03-12-commons.u75	My support for fox hunting is well known. The Hunting Act was a mistake, and I strongly support repeal. Acknowledging the strong views on both sides of this debate, I am pleased that the Prime Minister has said that a Conservative Government will give Parliament the opportunity to repeal the Hunting Act on a free vote with a Government Bill in Government time.
ParlaMint-GB_2015-03-12-commons.u76	Despite Tory hysteria, the Hunting Act did not reduce the pageantry of hunting or result in the mass slaughter of horses or hounds. What it did do was reduce greatly the sadistic torment of the chase and the kill. Is the nasty party really going to campaign in the election to bring cruelty back into hunting?
ParlaMint-GB_2015-03-12-commons.u77	I am not prepared to listen to the advice of a party that has a shadow farming Minister who will not listen to the chief veterinary officer and who has said publicly that he will not follow his advice on animal welfare issues.
ParlaMint-GB_2015-03-12-commons.u78	Will my right hon. Friend join me in congratulating members of the Holcombe hunt, whose hounds have their kennels in my constituency, on maintaining their activities within the law since the hunting ban was introduced and preserving this most traditional of rural pursuits?
ParlaMint-GB_2015-03-12-commons.u79	I completely agree that hunting is important for rural communities. It is traditional and part of the fabric of our countryside.
ParlaMint-GB_2015-03-12-commons.u80	Why will the Secretary of State not recognise the huge opposition to the idea of repealing the Hunting Act? Instead of proposing yet more cruelty to animals, why will she not look at extending the Act to grouse shooting and hare coursing, which also are cruel and hugely opposed in this country?
ParlaMint-GB_2015-03-12-commons.u81	Our approach is that we will introduce a Government Bill in Government time to repeal the Hunting Act on a free vote.
ParlaMint-GB_2015-03-12-commons.u82	If that is indeed our approach, can the Secretary of State tell us why there has not been a free vote in this Parliament, as set out in the coalition agreement?
ParlaMint-GB_2015-03-12-commons.u83	I want to see repeal of the Act, and I am pleased to say that the Prime Minister has said that a Conservative Government will give the opportunity for that.
ParlaMint-GB_2015-03-12-commons.u84	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2015-03-12-commons.u85	The Government are delivering on their priorities of growing the economy and improving the environment. Since 2010, we have cut farm inspections by 34,000 a year. We have helped create 150,000 acres of priority habitats. We have planted more than 11 million trees. We have cleaned up more than 10,000 miles of river. We have reformed the common fisheries policy, invested £3.2 billion in our flood defences, providing protection to an additional 230,000 homes, and put in place a strategy to eradicate bovine TB. This is a record we can be proud of.
ParlaMint-GB_2015-03-12-commons.u86	Will the Secretary of State join me in applauding the work of the Forestry Commission to secure a criminal conviction against those who illegally felled more than 500 trees in Basingstoke in a failed attempt to establish a Traveller site? Will she look at ways to encourage the courts to use the fining powers that are available to them to help stop this sort of appalling environmental vandalism?
ParlaMint-GB_2015-03-12-commons.u87	I welcome the fact that the Forestry Commission’s enforcement action has been successful, and I applaud its exercise of these important powers. We take protection of our woodlands seriously, and no doubt the Commission will pursue the restocking requirements vigorously. It is for the courts to determine sentences, but I fully expect the restocking burden to act as a key deterrent.
ParlaMint-GB_2015-03-12-commons.u88	If the Government’s record in tackling lethal air pollution is as good as the Under-Secretary, the hon. Member for North Cornwall (Dan Rogerson), claimed earlier, why is Britain facing unprecedented fines and legal action in the European courts for failing on every single air quality measure?
ParlaMint-GB_2015-03-12-commons.u89	I am happy that the right hon. Gentleman is focusing attention on this. As he will no doubt be aware, one of the key factors is transport fuels, especially diesel, and the failure of vehicles to meet in real-world conditions what was shown by testing when they were approved for use. We must make improvements at the European level on vehicles standards and testing. We also make funds available to local authorities to help them take measures locally to deal with air quality. It is a crucial issue.
ParlaMint-GB_2015-03-12-commons.u90	T3. Will the Secretary of State confirm that her Department is on course to have cut red tape for farmers by cutting guidance by 80% and by reducing the number of farm inspections by 34,000 during this Parliament? When she is returned after 7 May, will she ensure that cutting red tape includes making it easier and cheaper for my Nottinghamshire farmers and riparian owners to maintain the streams and rivers that protect the countryside?
ParlaMint-GB_2015-03-12-commons.u91	I agree with my hon. Friend. We have seen a reduction of 34,000 farm inspections per year and an 80% reduction in red tape from DEFRA. That is vital for our £100 billion food and farming industry. A future Conservative Government would continue to bear down on red tape. We are considering pilots for landowners and farmers to manage water courses themselves, to get rid of a lot of bureaucracy.
ParlaMint-GB_2015-03-12-commons.u92	T5. I hope that the Minister’s office passed on notice of my question; I appreciate that it is quite obscure. Musicians face anxiety when they travel to the United States because if their instruments contain even small amounts of ivory they fall foul of the convention on international trade in endangered species regulations. Will the Minister assure me that CITES certificates will be recognised by the US authorities and, in the longer term, may we perhaps look at an exemption for vintage instruments? I think that mother of pearl as well as ivory is an issue.
ParlaMint-GB_2015-03-12-commons.u93	We are aware of these concerns and certainly want the US Government to recognise CITES musical instrument certificates, to ease the task of musicians travelling to the US with instruments that contain small amounts of legal ivory. Ultimately, these are matters for the US Government to determine. However, we intend to approach the European Commission and other EU member states to propose a joint approach to ask the US to clarify its position, with the aim of providing the reassurances the hon. Lady seeks.
ParlaMint-GB_2015-03-12-commons.u94	T4. So much done, so much still to do. Will my right hon. Friend commit to giving statutory status as consultees to water companies for fracking, major developments and houses and roads? In the time available, what will she look back on and see as her Department’s major achievement over the past five years?
ParlaMint-GB_2015-03-12-commons.u95	I certainly commit to my hon. Friend that we will ensure that there are proper environmental protections for water, as part of the Environment Agency’s work on protection for fracking areas. On the Department’s achievements, we have put food and farming at the heart of the long-term economic plan. We have seen food exports rise to £19 billion. That is vital for the one in eight people in this country who work in food and farming.
ParlaMint-GB_2015-03-12-commons.u96	May I ask the Secretary of State not to be too complacent about our streams and rivers in this country? Has she seen recent research? I have registered interests as the initiator of Greenstreams, which cleans up the rivers in my part of the world, and in environmental waste. Does she know that the old landfills are leaching tonnes of ammonia into our rivers every year? If we do not do something about it, the 27.5 tonnes of ammonia that go into one Oxford river every year will continue to do so, and that will happen all over the country.
ParlaMint-GB_2015-03-12-commons.u97	I thank the hon. Gentleman for his question. Since 2010, phosphates and sulphides in water have reduced. That is positive progress, but of course he is absolutely right: there is more to do. That is why we have just launched the water element of the countryside stewardship programme, which provides incentives to do just that.
ParlaMint-GB_2015-03-12-commons.u98	T6. With so many large infrastructure projects in the pipeline, what input has the Secretary of State had in looking at the cumulative environmental impact of projects such as High Speed 2 and airport expansion? How many meetings has she had with the Department for Transport and HS2 Ltd, and how regular are those meetings?
ParlaMint-GB_2015-03-12-commons.u99	Ministers, including my right hon. Friend the Secretary of State, have regular meetings throughout the year with Ministers from other Departments, and of course, at official level, we engage very strongly across Departments on such issues. Planning guidance on the need to protect our environment is absolutely clear.
ParlaMint-GB_2015-03-12-commons.u100	The Minister will be aware of the current price war in the supermarkets with regard to the price of a loaf of bread. Sainsbury’s is selling Hovis at 75p a loaf. What can Ministers do to ensure that that does not adversely impact people working in the baking industry?
ParlaMint-GB_2015-03-12-commons.u101	The supermarket adjudicator requires retailers to stick to the terms of contracts, not retrospectively to hit suppliers or unreasonably request them to take part in promotions. Through the groceries code and the adjudicator, we have measures in place to deal with the problems that the hon. Gentleman cites.
ParlaMint-GB_2015-03-12-commons.u102	T7. Shoreham in my constituency has a flourishing houseboat community, which adds to the colour of our town. Alas, it also adds to the colour of the water flowing into Shoreham harbour until high tide washes it away, as few boats have sewage tanks or are linked to drainage on the shore. Do the Government have any plans to tighten up on pollution from boats used as homes?
ParlaMint-GB_2015-03-12-commons.u103	The hon. Gentleman is absolutely right to highlight potential risks from sewage pollution in water. If the Environment Agency can demonstrate a problem, it can issue a notice within 3 nautical miles of an area of operation. Since 1994, all new recreational craft should be fitted with holding tanks that allow managed discharge. Larger vessels are covered by maritime conventions. If there are specific issues in his area and he would like to write to me about them, I will get him a more detailed answer from the agency
ParlaMint-GB_2015-03-12-commons.u104	We heard earlier of the broadband and other problems of those trying to access rural payments. I know personally the dire experience of broadband services across much of Northumberland, so three years after Labour’s universal broadband commitment would have come into force, will the Secretary of State admit that this Government have sacrificed the rural economy in order to subsidise a monopoly roll-out by BT of superfast broadband mainly in urban and semi-urban areas?
ParlaMint-GB_2015-03-12-commons.u105	During this Parliament, we have seen superfast broadband coverage rise from 43% to 80%, and we are seeing connectivity improving in rural areas and the gap between rural and urban areas close in terms of productivity and earnings, as well as better road connections, such as the dualling of the A11.
ParlaMint-GB_2015-03-12-commons.u106	I welcome the Secretary of State’s help for dairy farming through exports, public procurement and general support, but what talks has she had with the banks? I think milk prices will improve, but the banks need to support farmers in the meantime.
ParlaMint-GB_2015-03-12-commons.u107	My hon. Friend makes an important point. There will be short-term cash-flow pressures on farmers who are currently receiving low prices and in some cases have quite high costs. I have had a meeting already with the banks to discuss this and to encourage them to show forbearance. As the Secretary of State said earlier, we have also been encouraging HMRC to show forbearance to those farmers facing difficulties, and I will continue to monitor the issue closely.
