ParlaMint-GB_2015-11-10-commons.u1	1. What assessment he has made of recent trends in apprenticeship starts.
ParlaMint-GB_2015-11-10-commons.u32	Last week, Paul Everitt, the head of the aerospace trade body, ADS, said: “Loans for research and development are not appropriate and that kind of approach would put the UK at a disadvantage.” May I press the Secretary of State to answer the question of my hon. Friend the Member for Wrexham (Ian C. Lucas) and rule out replacing research grants with loans that will damage Britain’s ability to innovate and compete?
ParlaMint-GB_2015-11-10-commons.u33	I made a speech yesterday at the annual conference of Innovate UK in which I talked about the many ways to help the sectors. Grants, exports and skills are just some of them. One thing this Government will not shy away from is supporting that sector, and supporting innovation.
ParlaMint-GB_2015-11-10-commons.u34	3. What steps he is taking to support the manufacturing sector.
ParlaMint-GB_2015-11-10-commons.u35	The best way the Government can support manufacturers is by sticking to their long-term economic plan. That includes cutting red tape by a further £10 billion, creating 3 million apprenticeships, lowering corporation tax and devolving budgets and powers to local leaders.
ParlaMint-GB_2015-11-10-commons.u36	My constituency of Carlisle in north Cumbria has a strong and healthy manufacturing sector. I helped to promote the industry locally by organising a skills fair, which the Minister for Skills will hopefully attend next year. However, what assistance can the Government give to Cumbria to attract skilled workers not just from Cumbria, but from other areas to help complete large infrastructure projects such as the nuclear new build at Moorside?
ParlaMint-GB_2015-11-10-commons.u37	I commend my hon. Friend on his annual skills fair, which I know is already making a big difference to his constituents. He will be pleased to learn that the advanced manufacturing centre at Carlisle college will begin construction in 2016-17 with growth deal funding. There is no doubt that that will help to boost local skills.
ParlaMint-GB_2015-11-10-commons.u38	Does the Secretary of State accept that although it is important that employers have a leading role in the development of skills, it is also necessary that skills are transferable? Unless the FE sector is involved in the process of training people and giving them those skills, those skills will not necessarily be transferable.
ParlaMint-GB_2015-11-10-commons.u39	I agree about the importance of transferable skills. Our local area review of the FE sector up and down the country will look very closely at local needs, and at ensuring that skills are transferable.
ParlaMint-GB_2015-11-10-commons.u40	What steps is my right hon. Friend taking to protect British manufacturing from dumping on our market and maximising the effect of existing international rules?
ParlaMint-GB_2015-11-10-commons.u41	My hon. Friend knows that, when it comes to trade measures, action has to be taken by the European Union. I know that he has a particular interest in steel, and this is a hugely important issue about dealing with unfair trade. We discussed that at the emergency Council that I attended yesterday in Brussels. One thing that was agreed in the presidency conclusions was that the Commission should prioritise certain cases, and that certainly includes the steel industry.
ParlaMint-GB_2015-11-10-commons.u42	Last week in my constituency, the Mahle Group announced the loss of up to 200 highly skilled jobs in the manufacturing sector. The Scottish Government, devolved agencies and local authorities are already involved, but this is a classic example of a European-wide company shipping the process and jobs to another plant in the EU. What support can the UK Government provide, and what can they do both to stop such moves in the future and to encourage long-term investment in technology here?
ParlaMint-GB_2015-11-10-commons.u43	We can continue to make the UK as attractive as possible for manufacturers. What we have seen in the past five years is that output is up for the manufacturing sector, exports are up and jobs are up, and that is because of our long-term economic plan, which is bringing in tax cuts, investing in skills, cutting red tape and boosting exports.
ParlaMint-GB_2015-11-10-commons.u44	Will the Secretary of State bring forward details of the package of support that will be put in place to help those workers in the black country affected by the collapse of Caparo, including 54 in my constituency, so that the skills can be retained within the black country engineering sector?
ParlaMint-GB_2015-11-10-commons.u45	My hon. Friend is right to raise the issue. It is hugely important that workers who are affected by the crisis in the steel industry get whatever help can be provided. We have rolled out plans for support across the country, and we are talking to local leaders to see what more we can do.
ParlaMint-GB_2015-11-10-commons.u46	The official Opposition have had to drag the Government, kicking and screaming, to the House time after time to get them to stand up for British steelmaking. It is now almost two weeks since the Business Secretary finally went to Brussels to hurry along the European Commission on state aid approval, and yesterday he attended the EU Competitive Council. Although there were welcome pledges for the future, no action was agreed that will make a material difference to our steel industry now. How long must the industry continue to wait for the compensation package promised by the Prime Minister in 2011 to be paid in full? When will the Business Secretary get a grip, stop hiding behind the EU and do more to tackle the root causes of this crisis?
ParlaMint-GB_2015-11-10-commons.u47	It is a shame that the hon. Lady has to take that attitude. It would be better if she were a lot more constructive on this issue. I could point out that under 13 years of Labour we saw a 45% collapse in steel production and jobs halved—cut by more than 10,000—because of her Government’s policies. This Government are taking the issue seriously. This Government called for, and were granted, an emergency Council meeting at which we agreed on a number of actions. They will be published today and there will be further information in my written statement, which the hon. Lady can read.
ParlaMint-GB_2015-11-10-commons.u48	5. What progress he has made on introducing a market rent only option for pub tenants.
ParlaMint-GB_2015-11-10-commons.u49	The Government published a consultation on the introduction of the market rent only option on 29 October. Our proposals have been drafted to strike a fair balance between pub companies and tenants, and we look forward to hearing views from across the industry during the consultation period.
ParlaMint-GB_2015-11-10-commons.u50	The draft pubs code released by the Minister in late October was supposed to signal the end of the unfair practice of forcing tied tenants to buy their beer only from pubcos. In fact, the code seems to give tenants the freedom to buy on the open market only in exceptional circumstances. Does the Minister agree that the code will mean in practice that very few tenants will be free from the pubco profiteers?
ParlaMint-GB_2015-11-10-commons.u51	No, I am afraid that I do not agree with the hon. Lady’s assessment of the consultation at all. The clue is in the name: this is a consultation. We are therefore, quite rightly, publishing our proposals, and I look forward to representations from everybody, including the hon. Lady.
ParlaMint-GB_2015-11-10-commons.u52	I join the hon. Member for Sheffield, Heeley (Louise Haigh) and say that a number of pubs have closed in my constituency and those of my colleagues simply because property prices and rents are too high? I recognise that we need to keep the pubcos in business too, or we will not help anyone. Does my hon. Friend agree that exceptional circumstances would include any situation in which a pub would have to close because the rent was too high?
ParlaMint-GB_2015-11-10-commons.u53	This is all very useful and helpful, and I thank my hon. Friend for his contribution. I look forward to him putting his views into the consultation; a mix of views is critical to what I emphasise again is a consultation.
ParlaMint-GB_2015-11-10-commons.u54	Tenants’ groups and the Fair Deal for Your Local campaign have contacted me to say that they believe that the Department for Business, Innovation and Skills has acted in bad faith, and that the draft code of practice for pubs does not even abide by the legislation and entirely negates the market rent only option. They will be asking the Minister tomorrow to withdraw the code, which is entirely unacceptable, and engage with them to come up with something that accords with the will of the House as it was expressed last November.
ParlaMint-GB_2015-11-10-commons.u55	I am very disappointed to hear all that. Let me make it clear that I have stood up against planned closures of public houses in my constituency and railed against companies such as Greene King. [Interruption.] Yes, I have, and I have fought for other pubs. Hon. Members can look on my website for details. That is not the point. It is really important that we strike the right balance on this issue. I say to the hon. Gentleman that the parallel rent assessment provision, which I know he has not always been in favour of—I think he changed his mind at the last moment—is not in the code.
ParlaMint-GB_2015-11-10-commons.u56	You don’t know what you are talking about, Anna.
ParlaMint-GB_2015-11-10-commons.u57	Shouting from a sedentary position does not help at all. The new style of politics has not quite reached the Liberal Democrat Benches. The noble Lords have made their concerns very clear to Baroness Neville-Rolfe, and as a result of my conversations with her, that particular proposal will go into the second part of the consultation.
ParlaMint-GB_2015-11-10-commons.u58	The Minister’s so-called consultation scrapped the promised parallel rent assessment, so I am pleased to hear that she has put that back in. Will she do the same with all the provisions that were offered by Baroness Neville-Rolfe in the other House on 28 January and make sure that the vast majority of pub tenants are offered a fair deal when it comes to the market rent-only option? If she does not, she will be acting in bad faith and she will have betrayed the trust of thousands of pub tenants up and down the country.
ParlaMint-GB_2015-11-10-commons.u59	As I keep saying, it is a consultation so we will listen to everybody. It is important that we strike the balance fairly between both sides of the argument, and that we understand and accept that there has been a great deal of movement to the betterment of tenants over the past few years. We must recognise that. I know from my own constituency work that pub companies such as Punch and Greene King have hugely changed their views to the benefit of tenants, and that must be welcomed.
ParlaMint-GB_2015-11-10-commons.u60	6. What his priorities are for business in the Government’s negotiations for reform of the EU.
ParlaMint-GB_2015-11-10-commons.u61	We must empower businesses to compete more effectively by accelerating the integration of the single market, especially in the services, digital and energy sectors. We will do this by cutting red tape for business and pushing for more ambitious free trade agreements between the EU and the rest of the world.
ParlaMint-GB_2015-11-10-commons.u62	Does the Secretary of State agree that the best interests of business will be served by our being a member of a reformed and reforming European Union? That extends to our remaining in the single market. From my right hon. Friend’s vantage point as President of the Board of Trade, it is extraordinarily useful that the European Union can negotiate such good strong deals for us globally.
ParlaMint-GB_2015-11-10-commons.u63	My hon. Friend is right to highlight the importance of the need for EU reform, but many businesses believe that the costs of membership currently outweigh the benefits. As the Prime Minister said, in order for us to get the best deal, we must have the referendum and let the British people decide.
ParlaMint-GB_2015-11-10-commons.u64	Last week a group of senior business figures in the north-west said it was vital for jobs in our region that Britain stays in the European Union. Will the Government heed what they say and perhaps make it a priority in the negotiations that the £800 million of EU structural funds given to the north-West will continue?
ParlaMint-GB_2015-11-10-commons.u65	The one thing that businesses agree on is the need for reform. They are united in that, whichever business group one speaks to. If we can get those reforms, which I am confident about—and the Prime Minister has talked more about them this morning—we will see an even bigger boost to jobs and opportunities in Britain.
ParlaMint-GB_2015-11-10-commons.u66	Will the Secretary of State remind the House of the trade deficit that we have with the EU, and of the fact that the unreformed EU is clearly not working for British business?
ParlaMint-GB_2015-11-10-commons.u67	My hon. Friend is right to remind us of the current deficit. That is why one of the reforms that we want is a deeper and broader single market which includes digital and professional services, which Britain is very good at, alongside manufacturing, so that we can do more trade.
ParlaMint-GB_2015-11-10-commons.u68	Writing in The Telegraph, the Prime Minister’s potential successor as leader of the Tory party, the hon. Member for Uxbridge and South Ruislip (Boris Johnson), said that the Prime Minister was right “to unsheathe a section of the blade that might soon be used to cut the rope and set Britain free” from the EU. Has the Secretary of State made an assessment of the likely impact on Scottish business of Britain turning its back on its European trading partners, and does he think that is appropriate language from a man of such standing?
ParlaMint-GB_2015-11-10-commons.u69	I agree that we need reform. All Members on the Government Benches agree on the need to fight for that reform, which means cutting red tape and creating a deeper single market, more ambitious free trade agreements and fairness between the euro-ins and outs. I hope the hon. Lady will join us in fighting for that reform.
ParlaMint-GB_2015-11-10-commons.u70	A poll of Scottish business last month found that 82% of small and medium-sized businesses support the UK remaining in the EU. I dare say that those businesses value their ability to export more than £12.9 billion-worth of goods and services throughout the EU, creating wealth and jobs at home. Have this Government not lost all control of an exit agenda that was started only to appease right-wing Eurosceptic Back Benchers and may very well result in Scotland being dragged into delusional imperial isolation against its will?
ParlaMint-GB_2015-11-10-commons.u71	I welcome the hon. Lady to her new role, which I omitted to do earlier. She will know that one of the most important sectors in Scotland is the financial services industry, whether asset management or banking. That is one area where we could have deeper single market and do more trade with the rest of the European Union. If she supports that cause, then she will support our efforts to reform the EU.
ParlaMint-GB_2015-11-10-commons.u72	7. What estimate he has made of the number of students from India applying to study in the UK in each of the past three years.
ParlaMint-GB_2015-11-10-commons.u73	While overall international student numbers are up year on year, there were 16,000 Indian students in 2015—a decline of 13% over the past three years. However, it is worth stressing that India remains our second largest such market.
ParlaMint-GB_2015-11-10-commons.u74	The fact is that the numbers of students choosing to come here has declined by 53% in the past four years. There is clear concern that we need to do something about this so that Britain, rather than the United States or elsewhere, becomes the choice for Indians to study. What measures can my hon. Friend take on visas, changing times for study and the ability of students to work here?
ParlaMint-GB_2015-11-10-commons.u75	It is important that we clear up misperceptions in the Indian market about the openness of our offer. We are open to international students. There is no cap on the number of international students who can come and study here, or on the number who can come and stay here after they finish studying, provided that they get a graduate job. We want to make more Indian students feel welcome here, and that is what we will be doing during the visit of Prime Minister Modi later this week.
ParlaMint-GB_2015-11-10-commons.u76	The Minister says that we want to make more Indian students feel welcome here, but it is clear from the figures that they feel much more welcome in America, Canada and Australia—our competitor countries. Will this not have a substantial impact on Britain’s trade relations with India and other countries such as Pakistan where the figures have fallen, and what is he going to do about it?
ParlaMint-GB_2015-11-10-commons.u77	Overall international student numbers are up year on year. We have a competitive offer for international students. We have a world-class higher education sector, with 38 out of the world’s top 100 universities. It is not surprising that international students from all over the world want to come and study at our great universities.
ParlaMint-GB_2015-11-10-commons.u78	I alert the House to my interest in the register. When is the Minister’s Department going to show some leadership and get the Home Office to take students out of the migration figures? This Government are undermining the global reach of our universities, and America, Canada and Australia are benefiting.
ParlaMint-GB_2015-11-10-commons.u79	We have a competitive offer, as underlined by the fact that international student numbers are up by 3% to 4% year on year. We work closely together to ensure that our international offer is competitive. It remains competitive and will continue to be so. There is no cap on the number of international students coming to this country and no limit to the number who can go on to work in graduate jobs with a sponsored employer.
ParlaMint-GB_2015-11-10-commons.u80	8. What assessment he has made of the effectiveness of steps taken by UK Trade & Investment to encourage British exports.
ParlaMint-GB_2015-11-10-commons.u81	I am delighted to be able to report that UKTI has increased its effectiveness year on year since 2010. We have doubled the number of UK companies assisted on exports from 27,000 in 2010 to 55,000. This is working. We have secured an extra £60 billion in additional sales and a rise in exports of 9% for existing exporters and 46% for new exporters. I am also delighted that the life sciences are doing their bit. I recently signed a £2 billion trade deal with China, and there will be more announcements on Thursday with the Indian state visit.
ParlaMint-GB_2015-11-10-commons.u82	Britain brews the best beer in the world, and I know that the Minister wants to get our brewers exporting, but sadly they tell me that the performance of UKTI to date shows that it could not organise a party in a brewery. Will he sit down with UKTI and do all he can to help medium and family-sized brewers export across the world?
ParlaMint-GB_2015-11-10-commons.u83	May I pay tribute to my hon. Friend, who is a doughty champion for British beer and Burton brewers? He makes a very important point and I would be delighted to convene that meeting with UKTI. We need to roll out the barrel for British beer and I am delighted to say that my right hon. Friend the Secretary of State for Environment, Food and Rural Affairs and I have set out an ambitious food and agri-tech export plan, to ensure that the whole world experiences the benefits of British beer and food.
ParlaMint-GB_2015-11-10-commons.u84	The Northern Ireland agri-food industry depends on exports. With the Secretary of State for Environment, Food and Rural Affairs in China this week, what further steps will the Department for Business, Innovation and Skills take in accessing new market opportunities for British and Northern Ireland exports?
ParlaMint-GB_2015-11-10-commons.u85	The hon. Lady makes an important point. The Northern Ireland sector is a crucial part of the UK sector, and that is why we have set up the exports implementation taskforce. We are absolutely dealing with the points she has raised about Northern Ireland.
ParlaMint-GB_2015-11-10-commons.u86	22. My hon. Friend the Member for Burton (Andrew Griffiths) is absolutely right: small and medium-sized businesses are still not getting the traction they need from UKTI. Will the Minister do everything possible to help chambers of commerce to engage with one another so that we can hit our £1 trillion of exports?
ParlaMint-GB_2015-11-10-commons.u87	My hon. Friend makes an important point. Lord Maude is overseeing an important review of the way in which UKTI works, to make sure that we are developing a sector focus and a strategic market focus around the world. We are maintaining momentum—and we will improve on it in the years ahead—in order to hit that ambitious target.
ParlaMint-GB_2015-11-10-commons.u88	The deficit for which this Department is responsible is the trade deficit. The current account measures our ability to pay our way in the world and its deficit recently reached its highest point since the second world war. It is still at 3.6% of GDP. How on earth will refusing to have an industrial strategy help British exporters overcome the failure of this Government’s trade policy?
ParlaMint-GB_2015-11-10-commons.u89	The hon. Gentleman has picked the wrong Minister to talk about industrial strategy, seeing as I lead one of our most successful ones on life sciences. The Secretary of State’s speech yesterday made very clear our commitment to innovation, and this Department, though our investment in science and innovation, is leading in building a long-term economic plan for the science, industries and innovation of tomorrow. The hon. Gentleman can cite trade balance figures all he likes, but the truth is that we are in a global economy and we cannot control the rate at which other economies grow around the world.
ParlaMint-GB_2015-11-10-commons.u90	9. What steps he is taking to prevent businesses exploiting migrant workers.
ParlaMint-GB_2015-11-10-commons.u91	We are creating a director of labour market enforcement. This will strengthen our ability to find and stop exploitative employers, such as the 41 businesses in my hon. Friend’s constituency who have had their gangmasters’ licences refused or revoked.
ParlaMint-GB_2015-11-10-commons.u92	As my hon. Friend knows, Lincolnshire produces some of the finest food in the country, but some of its workers are affected by the issues under discussion. Does he agree that it should be as much down to supermarkets and consumers to make sure that everyone knows that the food we eat is produced in humane conditions?
ParlaMint-GB_2015-11-10-commons.u93	I absolutely agree with my hon. Friend. It is very important that supermarkets and other traders are as transparent as possible about the work they have done to ensure that nowhere in their supply chain is there any kind of slavery or other kind of labour exploitation. The Modern Slavery Act 2015 specifically requires them to make a statement of that kind.
ParlaMint-GB_2015-11-10-commons.u94	10. What assessment he has made of the adequacy of further education provision and funding in Sussex.
ParlaMint-GB_2015-11-10-commons.u95	An area review—the Sussex coast review of post-16 education and training—is taking place and it will recommend high-quality, sustainable and financially viable further education and sixth-form colleges through a reformed structure.
ParlaMint-GB_2015-11-10-commons.u96	Two FE colleges in my constituency—Worthing college and Northbrook college—are part of that review. They are good and improving colleges, providing valuable apprenticeships, training and education. They have already taken large cuts—there is much uneconomic provision—so can the Minister assure me that the area reviews are not just a cover for further, unrealistic cuts that will threaten their viability altogether? Why are sixth forms in schools not included in those reviews?
ParlaMint-GB_2015-11-10-commons.u97	I am glad to have an opportunity to reassure my hon. Friend. Regional school commissioners are absolutely required to be part of the area reviews. Those in some parts of the country have perhaps been surprised by that requirement, so I am happy to reassert it: they are employed by the Department for Education and are required to be part of those area reviews. The point of area reviews is to have strong, sustainable FE and sixth-form colleges that can take advantage of growing revenue streams such as the funding for apprenticeships.
ParlaMint-GB_2015-11-10-commons.u98	11. What proportion of businesses in England employ an apprentice.
ParlaMint-GB_2015-11-10-commons.u99	I am sorry to detain you yet further, Mr Speaker Data from the 2014 UK Commission for Employment and Skills employer perspectives survey showed that, in England, about 15% of establishments have offered formal apprenticeships. When we introduce the apprenticeship levy in 2017, we expect that percentage to increase significantly.
ParlaMint-GB_2015-11-10-commons.u100	Quite why the Minister supposes that I find it anything other than joyous to sample his mellifluous tones I frankly cannot fathom. I am not being detained by anybody; my duty is to be in the Chamber, and I shall always be here.
ParlaMint-GB_2015-11-10-commons.u101	The Apprenticeships Suffolk Business Service has been formed by the chamber of commerce and the county council, and it is already delivering many more apprenticeships. Will my hon. Friend do all he can to ensure that businesses themselves play the major role in increasing the number and quality of apprenticeships?
ParlaMint-GB_2015-11-10-commons.u102	I am really delighted that Suffolk authorities and the chamber of commerce have created that service. A number of authorities around the country have created similar things—apprenticeship hubs and the like—and such interventions by local authorities are incredibly worth while. My hon. Friend is absolutely right that, ultimately, we want employers to take control of this: we want employers to develop standards, as the hon. Member for Newcastle upon Tyne Central (Chi Onwurah) mentioned earlier, to control the funding and to ensure that more people get the opportunity of an apprenticeship.
ParlaMint-GB_2015-11-10-commons.u103	Can the Minister tell me three specific things that the Government are doing to encourage apprenticeships in construction, where there is a huge shortage?
ParlaMint-GB_2015-11-10-commons.u104	I am absolutely delighted to be able to tell the hon. Gentleman three specific things. First, we are introducing an apprenticeship levy. I would have thought that he might have taken the time to welcome it, because it will require larger employers to make a substantial investment in apprenticeships. Secondly, we have reformed the Construction Leadership Council under new leadership and charged it with taking a very active role in promoting apprenticeships in the sector. Thirdly, I regularly meet the new, very focused leadership team of the Construction Industry Training Board, and I have charged it with focusing on apprenticeships as the key method of delivering high-quality training and further skills.
ParlaMint-GB_2015-11-10-commons.u105	12. What steps he is taking to address the shortage of drivers in the road haulage industry.
ParlaMint-GB_2015-11-10-commons.u106	Mr Speaker, you can see why I was a little bit nervous about popping up again We are working closely with a group of leading sector employers to support the development of a new apprenticeship standard for heavy goods vehicle drivers. The standard will equip apprentices with the driving skills the road haulage industry needs.
ParlaMint-GB_2015-11-10-commons.u107	Could my hon. Friend name five—no, I will not go there Will my hon. Friend work with employers in the road haulage industry to try to incentivise driving as a career choice for young people?
ParlaMint-GB_2015-11-10-commons.u108	Yes, I absolutely will. There is a desperate need for more skilled drivers. It is actually a great opportunity for people who are in relatively low-skilled employment. We had a very interesting discussion in the Social Justice Cabinet Committee recently about this being an opportunity, as a very good kind of first employment, for ex-offenders. A Defence Minister has mentioned that it is a great opportunity for people leaving the forces. We need to do more on all sides in the Government.
ParlaMint-GB_2015-11-10-commons.u109	What more can the Government do to help haulage companies with the exorbitant fees of £3,500 that are charged to train for HGV licences?
ParlaMint-GB_2015-11-10-commons.u110	There is a convention, which we have stuck to for very good reasons, that we do not ask the taxpayer to pay for licences to practise a particular profession. We believe that doing so should be directly in the interests of both the employer and the employee who will benefit from having the licence. However, we are encouraging those companies to develop, and they are working on developing, an apprenticeship standard to include the whole of the rest of the training, which will of course receive substantial support from the taxpayer and from the apprenticeship levy.
ParlaMint-GB_2015-11-10-commons.u111	13. When he plans to bring forward proposals to improve access to finance for (a) the smallest businesses and (b) people who are self-employed.
ParlaMint-GB_2015-11-10-commons.u112	According to the latest SME Finance Monitor survey, net lending to smaller businesses has recovered substantially since 2014 and businesses are increasingly finding that banks are more willing to lend. In relation to Government assistance, we have provided finance help to small businesses—for example, through 32,800 start-up loans worth £176 million. Turning to the self-employed, Julie Deane, the founder of the Cambridge Satchel Company, is currently carrying out an independent review of self-employment, and I am sure we will welcome her recommendations. We of course need to do more to make sure that everybody knows about the brilliance of the financial tech sector.
