ParlaMint-GB_2015-09-14-commons.u1	1. What support his Department is providing to areas seeking a devolution deal.
ParlaMint-GB_2015-09-14-commons.u49	Child refugees orphaned or separated from their parents are arriving in Britain in unprecedented numbers because of the current crisis across the EU, but the Government have chosen to slash funding by 18% for gateway councils, such as Kent, Hillingdon and Croydon, which look after the highest numbers of them. What impact does he think this dreadful decision will have on the councils and, more importantly, the children affected?
ParlaMint-GB_2015-09-14-commons.u50	First, I am joined on the Front Bench by my hon. Friend the Member for Watford (Richard Harrington), whom the Prime Minister today appointed Minister for Refugees. He will sit on the Cabinet Sub-Committee looking to address these issues. I am sure the whole House will welcome his appointment Secondly, the hon. Gentleman attacked us over resources. I have a question to ask him about resources.
ParlaMint-GB_2015-09-14-commons.u51	Answer the question. What about the funding?
ParlaMint-GB_2015-09-14-commons.u52	We are familiar with the issue in Kent, because of what happened in Calais and all that was attached to that, and with our colleagues in local government we are looking carefully at the likely cost. That is one of the issues the Cabinet Sub-Committee will address, including with my right hon. Friend the Prime Minister.
ParlaMint-GB_2015-09-14-commons.u53	6. What support his Department has provided to communities on neighbourhood planning and community rights since May 2010.
ParlaMint-GB_2015-09-14-commons.u54	Up to March 2015, we provided nearly £50 million to help communities undertake neighbourhood planning and to access community rights and associated initiatives. We are going further and invested another £32 million in April to help even more communities take up their rights.
ParlaMint-GB_2015-09-14-commons.u55	Fylde communities such as Warton and Wrea Green in my constituency have submitted comprehensive local plans to the council. Does the Minister agree that it is important that when the council is finalising the local plan, it takes into account the neighbourhood plans and the wishes of my constituents?
ParlaMint-GB_2015-09-14-commons.u56	I concur completely with my hon. Friend’s view. Our planning guidance is clear that local authorities should work in collaboration with neighbourhood planning groups when neighbourhood and local plans are being developed at the same time. Local plans are also subject to at least two opportunities for comment by any interested party.
ParlaMint-GB_2015-09-14-commons.u57	A common complaint I receive from residents and communities in Doncaster is about the blight of empty properties. Some 3,800 homes are empty and over 1,000 have been empty for more than a year. That attracts vandalism and antisocial behaviour, and is a blight on property prices. Despite the best efforts of councils, including Doncaster Council, it is hard to get the owners of such properties to get them up to standard and filled with people living in them. Will the Minister agree to review the rights and powers of communities to tackle the scandal of empty homes, without imposing a cost on the taxpayer for the neglect of owners and landlords?
ParlaMint-GB_2015-09-14-commons.u58	I thank the right hon. Lady for her question. She will be a loss to the shadow Front Bench. Local authorities already have significant powers to bring empty properties back into use. They are incentivised by receiving the new homes bonus to get long-term empty properties back into use. They also have the power to change the council tax regime to charge more council tax on properties that stand empty for a long period. I suggest that she contact her local authority and ask what it is doing about this.
ParlaMint-GB_2015-09-14-commons.u59	23. Following a passionate local campaign, planning permission was recently rejected that would have seen the Ascot Tavern, a local pub in Cannock, demolished and replaced by yet another new supermarket. Local campaigners are looking at registering the pub as a community asset. What measures are the Government taking to assist and support communities who find themselves in that situation and similar ones?
ParlaMint-GB_2015-09-14-commons.u60	I welcome my hon. Friend’s interest in this important subject. We have removed permitted development rights from pubs that are listed as assets of community value. As was promised in our manifesto, we are committing £1.5 million to a pub loan fund to support community groups in taking ownership of their local pub. The My Community advice service also offers important advice and support to local groups that are looking to take on their local.
ParlaMint-GB_2015-09-14-commons.u61	7. If the Government will ensure that the statutory maximum for a disabled facilities grant increases in line with inflation.
ParlaMint-GB_2015-09-14-commons.u62	The Government have invested just over £1 billion in the disabled facilities grant since 2010. That has funded about 170,000 adaptations, helping thousands of disabled people to live safely at home.
ParlaMint-GB_2015-09-14-commons.u63	I thank the Minister for that answer, but a report and survey by Muscular Dystrophy UK that will be launched in Parliament this week show that thousands of people are being forced into tens of thousands of pounds of debt because the disabled facilities grant has not been increased since 2008 and just does not cover the cost of adaptations. Will the Minister be kind enough to meet me and representatives of Muscular Dystrophy UK to look at the report and see what the Government can realistically do to help all the people who so desperately need adaptations?
ParlaMint-GB_2015-09-14-commons.u64	I am not sure about my diary for this week, but I undertake to meet the hon. Lady and representatives from Muscular Dystrophy UK on this important issue. The Government are providing £220 million for the disabled facilities grant this year, which is a 19% increase on 2014-15. Where the cost of adaptations exceeds £30,000, local authorities are in a position to provide top-up funding. I hear what the hon. Lady says. A spending review will take place in a few weeks and I will listen to her comments and those of other Members.
ParlaMint-GB_2015-09-14-commons.u65	The disabled facilities grant has done wonderful work to support our disabled ex-service personnel. May I encourage the Minister and his colleagues to ensure that that continues for the rest of this Parliament?
ParlaMint-GB_2015-09-14-commons.u66	It is extremely important that the Government continue to support our armed forces personnel. In this country we hold dearly the work done by our armed forces, and as my hon. Friend says, it is extremely important that we continue to support them. I will take that into account, as will my right hon. Friend the Secretary of State, in the up-and-coming spending review.
ParlaMint-GB_2015-09-14-commons.u67	17. Given the Government’s dismal record of selling off council housing and extending it to housing associations, what steps is the Minister taking to ensure that our remaining council housing stock has adequate disabled provision and access for those who need it?
ParlaMint-GB_2015-09-14-commons.u68	Order. This is in reference to the disabled facilities grant, but I feel sure that the dexterity of the hon. Gentleman is boundless.
ParlaMint-GB_2015-09-14-commons.u69	You are right, Mr Speaker—it is a rather tenuous link but I will do my best. As I have said, the Government are providing significant funding to local authorities to provide disabled facilities grants, and there is no reason why they cannot use that for current council housing stock, or support housing associations with their stock.
ParlaMint-GB_2015-09-14-commons.u70	8. What steps his Department is taking to promote the building of affordable homes through the planning system.
ParlaMint-GB_2015-09-14-commons.u71	The national planning policy framework requires local planning authorities to meet their affordable housing needs for their area, and we are committed to delivering some 275,000 new affordable homes through to the end of this Parliament.
ParlaMint-GB_2015-09-14-commons.u72	In my constituency, over the past 18 months developer after developer has used the planning rules to get out of their obligations to build affordable homes, and more than 200 much needed affordable homes have been lost to my constituency during that period. When will the Minister get a grip and get developers to comply with their obligation to build affordable homes?
ParlaMint-GB_2015-09-14-commons.u73	The hon. Gentleman might wish to take up with his local authority the issue of the power to negotiate locally. We are delivering affordable homes at the fastest rate in just over two decades, and in his constituency the number of homes going forward has increased by 124% since 2010. He should be thanking the Government for the work we have done to support that industry.
ParlaMint-GB_2015-09-14-commons.u74	Will the Minister assure me that councils are being encouraged to build more affordable homes for sale, because much more homeownership is the priority of the British people?
ParlaMint-GB_2015-09-14-commons.u75	My right hon. Friend makes a good point, and one key focus of our manifesto this year was the starter homes project. I am proud that the Government will take forward the delivery of some 200,000 starter homes for first-time buyers at a 20% discount.
ParlaMint-GB_2015-09-14-commons.u76	But the increase in the definition of affordable homes is one reason why the Government can claim a massive increase in the building of such homes. In my constituency an affordable home requires people to be able to afford 80% of market rent, and people on average incomes cannot possibly afford that, even if they have a deposit.
ParlaMint-GB_2015-09-14-commons.u77	For good quality homes in the rental and ownership sectors the key is an increase in supply. I am pleased that in the hon. Lady’s constituency the number of starter homes has increased by 45% since 2010, and completions are up by 100% since 2010. We must build more homes—it is a shame that the previous Labour Government did not build them and that we started in 2010 with the lowest rate of house building since about 1923, which is what Labour left.
ParlaMint-GB_2015-09-14-commons.u78	Does the Minister agree that the rural starter homes programme will provide much appreciated assistance to young people so that they can afford to live in the areas where they grew up?
ParlaMint-GB_2015-09-14-commons.u79	Yes, my hon. Friend makes a very good point. The need for starter homes and affordable homes for people to purchase is as important in rural areas as it is in urban areas, and I am delighted that we will be able to take that project forward and see 200,000 starter homes delivered for first-time buyers across the country.
ParlaMint-GB_2015-09-14-commons.u80	12. What steps his Department has taken to stimulate the building of affordable housing; and what steps he is taking to help young people buy a home for the first time.
ParlaMint-GB_2015-09-14-commons.u81	We have already allocated £1 billion to our commitment to deliver a further 275,000 affordable homes by 2020. Since 2010, Government schemes such as Help to Buy and the right to buy have helped more than 230,000 people buy a home. As my hon. Friend the Minister for Housing and Planning said, we will build 200,000 starter homes exclusively for first-time buyers.
ParlaMint-GB_2015-09-14-commons.u82	In fact, the right-to-buy scheme has raised private rents and cut social housing supply, but the Government want to force housing associations to sell homes during a housing shortage. Should the Government not look at the example from north of the border and the Scottish Government? Scrapping the right to buy has seen nearly 35,000 social rented houses built since 2007.
ParlaMint-GB_2015-09-14-commons.u83	The residents of Scotland have the same aspirations as the residents in all parts of the United Kingdom. They want to own their own home, and the Government are committed to giving them the chance to realise that aspiration. We are doing that by extending the right to buy, and it is a matter of regret that in Scotland they are going the other way.
ParlaMint-GB_2015-09-14-commons.u84	What specific impact is the new homes bonus having on the building of homes across the country in order to meet local needs such as those of young people?
ParlaMint-GB_2015-09-14-commons.u85	First, the funds that come with the new homes bonus allow the financing of some of the infrastructure that is required—reasonably—when homes are built. Secondly, because of that, the plans that are coming forward for adoption by authorities have a significantly higher level of house building than was the case before the reforms were introduced.
ParlaMint-GB_2015-09-14-commons.u86	16. What assessment he has made of the reasons for changes in the level of rough sleeping since 2010.
ParlaMint-GB_2015-09-14-commons.u87	One person without a home is one too many. That is why since 2010 we have invested more than £500 million in local authorities and the voluntary sector to prevent and tackle homelessness in their areas.
ParlaMint-GB_2015-09-14-commons.u88	I was intrigued to hear the Minister mention earlier how dearly the Government hold those who serve in our armed forces. Ex-forces rough sleeping in London has risen elevenfold since 2010. Homes 4 Heroes does a brilliant job in my constituency supporting the ex-forces, but what specific measures does the Department have to prevent those leaving our armed forces from ending up on the streets, and to intervene when they are identified as rough sleeping?
ParlaMint-GB_2015-09-14-commons.u89	As I said earlier, this is an extremely important issue. Ministerial work is going on in relation to the military covenant, and my hon. Friend the Minister for Housing and Planning is part of that ministerial group. We are also supporting local authorities with programmes to help them with rough sleepers, both to help rough sleepers on the street so that they do not spend a second night out—that has been especially useful in London—and to work with other housing groups so that rough sleeping does not become entrenched. We are helping people to get off the streets, especially those with mental health issues.
ParlaMint-GB_2015-09-14-commons.u90	Will the Minister confirm that statutory homelessness acceptances are now lower than they were under the previous Labour Government?
ParlaMint-GB_2015-09-14-commons.u91	My hon. Friend is right. Statutory homelessness is now lower than in 26 of the last 30 years and less than half of what it was at its peak under the last Labour Government.
ParlaMint-GB_2015-09-14-commons.u92	20. Homeless people are 13 times more likely to be victims of crime than the general public and are more likely to suffer from serious health problems. Will the Minister explain his plans for the future of the homelessness prevention grant?
ParlaMint-GB_2015-09-14-commons.u93	I welcome the hon. Lady to the House. As she has identified, the homelessness prevention grant has been powerful in that councils have been able to use it to stop people becoming homeless. She will be glad to know that we are considering the future of the grant in the context of the upcoming spending review.
ParlaMint-GB_2015-09-14-commons.u94	On 12 October, I and other Members will be taking part in sleep out night. The Government are rightly proud of the resources they put into such projects during the previous Parliament. Will the Minister confirm that to tackle rough sleeping he will be putting in money and continuing to support the Homelessness Change and No Second Night Out projects, which do a huge amount to prevent rough sleeping?
ParlaMint-GB_2015-09-14-commons.u95	It is always good to see the interest my hon. Friend has in this particularly important issue. I can assure him that I realise the value of the No Second Night Out programme. In London, two thirds of rough sleepers come off the streets after a single night out as a result of the programme. As I said in the previous answer, the Government are currently undertaking a spending review. We are considering the merits of this important scheme as a part of that.
ParlaMint-GB_2015-09-14-commons.u96	Under Labour, rough sleeping went down by 75%. Since 2010, rough sleeping by young people in London alone has gone up by 123% and is about to get worse. Is the Minister so weak that he cannot persuade his Department for Work and Pensions colleagues that taking housing benefit away from 18 to 21-year-olds will have a catastrophic effect on vulnerable young people, or does he not care?
ParlaMint-GB_2015-09-14-commons.u97	I have said to the hon. Lady before that this Government have taken a different approach—a more honest and open approach—where we are actually calculating the number of rough sleepers properly. That did not happen when the Labour party were in government. On the welfare changes that the hon. Lady mentions, it is important to say that we have made it very clear that our proposals would protect vulnerable people in particular. This Government are on the side of people who want to get on and who aspire. We do not want young people to be trapped in dependency, as several generations have been hitherto. Obviously, the hon. Lady thinks that that is a good thing.
ParlaMint-GB_2015-09-14-commons.u98	I call Heidi Allen.
ParlaMint-GB_2015-09-14-commons.u99	I am surprised. Number 18, Mr Speaker.
ParlaMint-GB_2015-09-14-commons.u100	There is never any reason to be surprised in this place. We jog along as speedily as we can.
ParlaMint-GB_2015-09-14-commons.u101	18. What steps the Government are taking to reduce the difference in funding levels between urban and rural areas.
ParlaMint-GB_2015-09-14-commons.u102	Our reforms give all authorities substantial scope to increase revenues through promoting growth. I accept that most rural authorities face challenges in delivering services that other authorities do not. Consecutive local government finance settlements have delivered a steady reduction in the gap in spending power levels between urban and rural authorities.
ParlaMint-GB_2015-09-14-commons.u103	Still surprised, but delighted to be here. I thank the Minister for that answer. Cambridgeshire has a creative way for local authorities to look to bridge the funding gap. The level of economic growth is such that private investors now want to invest in our infrastructure and help us to build affordable housing. Will the Secretary of State or Minister meet me and business leaders from Cambridge to hear our case, because we have an innovative solution?
ParlaMint-GB_2015-09-14-commons.u104	I will certainly consider a meeting. My hon. Friend talks about promoting economic growth. The business rates retention scheme provides a strong incentive to local councils to reap the rewards of economic growth. Councils now benefit from nearly £11 billion under the scheme, which should deliver a £10 billion boost to national GDP by 2020. If we meet, we can discuss these matters in more detail.
ParlaMint-GB_2015-09-14-commons.u105	I welcome the Government’s announcement of the rural productivity plan over the summer. In particular, I praise the identification of improved local government as important to the economic regeneration of rural areas. Does the Minister agree that closing that gap—the Government have set out on a path to do that, albeit at an incredibly slow pace—is an important part of improving local government in rural areas?
ParlaMint-GB_2015-09-14-commons.u106	My hon. Friend has campaigned tirelessly on this issue for some time. As a result, he will know that the previous Government delivered a steady reduction in the so-called urban-rural gap in spending power levels. Consecutive settlements have helped to address the gap, and between 2012-13 and 2015-16 it has been reduced by £205 million. A great deal has been done, but there is still more to do.
ParlaMint-GB_2015-09-14-commons.u107	19. If he will make an assessment of the performance of the Planning Inspectorate in applying planning guidelines in recent appeals in Weedon Bec.
ParlaMint-GB_2015-09-14-commons.u108	Obviously, I cannot comment on specific planning appeals. However, the planning inspector will decide an appeal in accordance with the development plan and national planning policy, considering the evidence presented by all the parties in each specific case individually. The local decision is upheld in the majority of cases, with about two thirds of appeals being dismissed.
ParlaMint-GB_2015-09-14-commons.u109	Although I understand that the Minister does not want to comment on the two planning appeals in Weedon, in which the same information was fed in only for there to be two different results, with one being allowed and one dismissed, will he let the Planning Inspectorate know that the people of Weedon in my constituency and the local council do not appreciate its varied decisions? They would also appreciate it if he could offer the Planning Inspectorate some strong guidance on implementing localism.
ParlaMint-GB_2015-09-14-commons.u110	I appreciate my hon. Friend’s point on behalf of his community. There were two applications. I understand his point about their similarity, but every appeal has its own unique character, by definition. The planning inspectors need to consider them as individual cases. However, I appreciate his point about having consistent decisions.
ParlaMint-GB_2015-09-14-commons.u111	In Northamptonshire, the difference in decisions on appeal for very similar applications is remarkable. Is it not time we took a serious look at the Planning Inspectorate and did something about it?
ParlaMint-GB_2015-09-14-commons.u112	My hon. Friend is fighting hard for his constituents and planning is an emotive issue that people care passionately about. It shapes the future of the environments in which we live. Every planning application, no matter how silly it might seem, will have unique characteristics and will therefore potentially lead to different decisions.
ParlaMint-GB_2015-09-14-commons.u113	21. What steps his Department is taking to tackle rogue landlords.
ParlaMint-GB_2015-09-14-commons.u114	We have provided £6.7 million thus far to crack down on rogue landlords and have legislated to protect tenants from retaliatory eviction. I am determined to go further. We have recently published plans to blacklist and ban rogue landlords and to enable councils to impose civil penalties and to seek rent repayment orders in more circumstances.
ParlaMint-GB_2015-09-14-commons.u115	Does my hon. Friend agree that the approach of creating a register will simply create bureaucracy and drive up rents for tenants?
