ParlaMint-GB_2015-03-25-commons.u1	1. What steps he is taking to support small businesses through public procurement.
ParlaMint-GB_2015-03-25-commons.u14	I am very grateful for that answer, and I wish I believed it. Sadly, it was confirmed in a debate yesterday afternoon that despite this House overwhelmingly agreeing on 23 January last year that the papers would be released—and that Ministers would assist in getting the papers released—they have not been. The campaign has consistently met blockages. I am calling on the Minister to bring forward the release of these papers as quickly as possible and to stop the 43-year cover-up, which will see innocent men going to their graves as convicted criminals to protect the Tory Ministers of 40 years ago. It is a disgrace.
ParlaMint-GB_2015-03-25-commons.u15	I am afraid that the hon. Gentleman is unaware of the actual situation. The review of which he speaks is under way at present, but the papers—and the particular parts of those papers that were kept back on security grounds—have all been given to the Criminal Cases Review Commission, which has looked at them and is using them in the course of its review. There is no question of any injustice of the kind he describes occurring as a result of the lack of those papers being present. I, however, assure the hon. Gentleman that if I find myself in my current post after the election, I shall seek to expedite the review.
ParlaMint-GB_2015-03-25-commons.u16	The hon. Member for Blaydon (Mr Anderson) asked a serious question. This was an establishment stitch-up 42 years ago, and for 42 years it has been an establishment cover-up. Does the Minister not realise that there cannot possibly be any state security reasons why the records of an industrial dispute should not be made public?
ParlaMint-GB_2015-03-25-commons.u17	My hon. Friend is also suffering from a misconception. The bulk of the papers involved were released. The bits that were not released relate to security and make specific references to the security services and their activities. Those are being reviewed, and a decision will be made. He is absolutely right that the crucial point is that the people involved deserve justice, so the CCRC needs to see the unexpurgated version, and it has. It has been given full sight of all the papers.
ParlaMint-GB_2015-03-25-commons.u18	It is increasingly clear that there is simply no justification for the delay in the review or for the refusal to release the full papers about the case. The Minister may refuse to act, but a Labour Government will act. We will release those papers with the urgency that the situation demands. Justice delayed is justice denied. Why is he so determined to ignore the will of Parliament, ignore the public and ignore the urgency of the situation, and why will he not release the papers now?
ParlaMint-GB_2015-03-25-commons.u19	I am sorry that the shadow Minister wrote that question before she heard my previous answers. If, as I hope she will not, she finds herself a Minister after the election and has to make this decision—[Hon. Members: “Hear, hear.”] If she finds herself in that position, I hope that she will discover the truth, which I have already told the House—that the CCRC has already seen the papers, so there is no question of justice being either delayed or denied.
ParlaMint-GB_2015-03-25-commons.u20	3. What assessment he has made of the effectiveness of the work of the Government Digital Service in implementing the digital-by-default programme.
ParlaMint-GB_2015-03-25-commons.u21	The Government Digital Service has created the award-winning, world-leading gov.uk, the single web domain for Government information and services, and 25 major services have been redesigned to make them simpler, clearer and faster to use. That will not only provide savings to the taxpayer but improve delivery for the public, so that it is focused on user need, not Government convenience. In the next Parliament, we will deliver government as a platform, building common services such as a once-for-all payments platform.
ParlaMint-GB_2015-03-25-commons.u22	The Government Digital Service has been one of the current Government’s unsung success stories, improving the efficiency and effectiveness of public services and saving the taxpayer money. Will my right hon. Friend, on the occasion of his final Cabinet Office questions, accept my congratulations on the fantastic revolution in public services that he has led over the past five years?
ParlaMint-GB_2015-03-25-commons.u23	I am grateful to my hon. Friend for those kind words. There has been a great success with the Government Digital Service, which the Washington Post has hailed, stating that the UK has set “the gold standard of digital government” The Obama Administration and the Australian Government have created their own analogous organisations, explicitly modelled on what we have done.
ParlaMint-GB_2015-03-25-commons.u24	I do not know what the Minister is eating for breakfast this week, but you do not seem to be able to keep him down, Mr Speaker —I half expect him to announce a U-turn on his intended retirement before the week is out Is not the secret success of the Government Digital Service the confidence that it has given Departments to develop solutions in-house with an agility that was simply impossible in the days of lengthy contractual negotiations with large IT companies?
ParlaMint-GB_2015-03-25-commons.u25	My hon. Friend is completely right. From a time when British government was synonymous with failed IT projects, we have moved to being the world leader in digital government. There is still a huge amount more to do, but I am grateful to him for his support for our work.
ParlaMint-GB_2015-03-25-commons.u26	4. What savings have accrued to the public purse from the Government's reforms to trade union facility time.
ParlaMint-GB_2015-03-25-commons.u27	At the time of the last general election, there was no proper monitoring of trade union facility time in government. We now have controls in place that have saved the taxpayer some £26 million in the past year, and we have reduced the number of taxpayer-funded full-time union officials from 200 in May 2010 to just eight today.
ParlaMint-GB_2015-03-25-commons.u28	While I generally support the principle of the union movement—[Interruption.] Why is that surprising? I generally support the principle, but it is not for the taxpayer to fund. What was the cost of giving trade union representatives in the civil service taxpayer-funded time off when this Government came to power?
ParlaMint-GB_2015-03-25-commons.u29	Part of the problem was that it was not monitored, but the information we put together showed that the cost was £36 million, which we have cut to less than £10 million. There is a perfectly proper role for union officials to be embedded in the workplace, as they can resolve disputes and grievances quickly, but the situation was completely out of control and we have brought it under control.
ParlaMint-GB_2015-03-25-commons.u30	Will the right hon. Gentleman take this opportunity to thank those civil servants—mainly trade unionists—who have had to implement Government policies, particularly in the Department for Work and Pensions, such as referring people to food banks? Perhaps against their own judgment, they have had to implement austerity, which has done great damage to the people of this country.
ParlaMint-GB_2015-03-25-commons.u31	I point out to the right hon. Gentleman, for whom I have great respect, that the need for austerity was caused by the huge budget deficit that we inherited from the Government of which he was a part. We would rather have not had to do that, but I give credit to civil servants across the country who have done a huge amount. The civil service is smaller than at any time since the second world war, but it is doing more than it was before and productivity has improved dramatically.
ParlaMint-GB_2015-03-25-commons.u32	The Paymaster General has spent the last five years attacking civil servants’ facility time and check-off. We now learn, a week before Dissolution, that he is inserting a gagging clause into the civil service code. Why is it so necessary and urgent to change the civil service code now?
ParlaMint-GB_2015-03-25-commons.u33	The change to which the hon. Gentleman refers simply makes clear what was already the case. There will be considerable concern about whistleblowing, and we will do whatever is needed to ensure that we continue to be much more open about things that have gone wrong. Things are much less suppressed than they were when the Labour party was in power.
ParlaMint-GB_2015-03-25-commons.u34	5. What progress he has made on promoting digital inclusion.
ParlaMint-GB_2015-03-25-commons.u35	This is a devolved matter but in England and Wales more than 70 public, private and voluntary sector organisations now support activity under the digital inclusion charter, working together to help individuals, small businesses and charities to realise the benefits of being online. Later today the Government will launch the Digital Friends initiative that will call on civil servants to go out into their communities and teach digital skills to friends, family, neighbours, or colleagues who are offline.
ParlaMint-GB_2015-03-25-commons.u36	The Minister will be aware that, unfortunately, Glasgow has one of the highest levels of population who are offline. The Government have recently run a series of adverts on Glasgow radio stations about encouraging people to switch their electricity and gas suppliers, but they are asking people only to use the online route. What assessment has he made about how we can encourage digital inclusion and the appropriate way to target Government adverts?
ParlaMint-GB_2015-03-25-commons.u37	As I said, this is a devolved matter. The Scottish Government published their digital participation strategy in April 2014, led by the Cabinet Secretary for Culture, Europe and External Affairs, Fiona Hyslop MSP, and supported by a ministerial advisory group.
ParlaMint-GB_2015-03-25-commons.u38	6. What assessment he has made of the effect on local economies of the reduction of jobs in the civil service.
ParlaMint-GB_2015-03-25-commons.u39	Although the civil service is now at its smallest size since the second world war, officials have helped to deliver efficiency and reform savings of £11 billion in this financial year to January against a 2009-10 baseline. I pay tribute to the hard work and dedication of hundreds of thousands of civil servants up and down the country.
ParlaMint-GB_2015-03-25-commons.u40	Can the right hon. Gentleman explain why he shut an office in my constituency that I fought long and hard to maintain, given that people have more than met the targets they have been given on every occasion in every year? Will he personally—he has not got long to go—have a wee look at that and perhaps write to tell me why he shut that office?
ParlaMint-GB_2015-03-25-commons.u41	I am not sure which department the office is in, but every department must look to its efficiency and many are transforming what they do and delivering more and better for less. We have shown that that can be done, but there is much more still to do.
ParlaMint-GB_2015-03-25-commons.u42	With the news this morning that HSBC is choosing Birmingham over Singapore or Hong Kong, and that Jaguar Land Rover is opening a new plant in the Birmingham area, will my right hon. Friend pay tribute to the civil servants who enabled that to happen in a new, clean, civil service that is lean and effective?
ParlaMint-GB_2015-03-25-commons.u43	I pay warm tribute to what my hon. Friend has done to support the bringing of employment to the west midlands. He is a hugely energetic local Member of Parliament. Yes, the civil service does these things extremely well. It is a smaller civil service, but it is more effective than it was. I think its leadership would agree that there is still much more to do.
ParlaMint-GB_2015-03-25-commons.u44	My hon. Friend the Member for Central Ayrshire (Mr Donohoe) raised the issue of the Government closing down the Her Majesty’s Revenue and Customs office in his constituency. Why is the Minister closing down the HMRC office in my constituency, the Army recruitment centre in my constituency and the Crown courts in my constituency?
ParlaMint-GB_2015-03-25-commons.u45	As I said to the hon. Member for Central Ayrshire, every Department in Government has to look to its efficiency, make sure it can live within its means and do the job on behalf of the public. The civil service does not exist to provide employment; it exists to serve the public. We found that that can be done more efficiently and effectively, doing more and better for less. At the same time as employment in the public sector has fallen, it has risen in the private sector by 2.3 million.
ParlaMint-GB_2015-03-25-commons.u46	Does the Minister agree that in the parts of the United Kingdom where there has been an over-dependence on the public sector and large numbers of jobs in the civil service, such as in Northern Ireland where the Executive are trying to reduce the dependence on the public sector, central Government should support inward investment through the private sector?
ParlaMint-GB_2015-03-25-commons.u47	I completely agree with the hon. Gentleman. He is quite right to identify both the problem and the solution. The Northern Ireland economy will undoubtedly benefit from more private sector investment, from overseas or from within, with a smaller public sector.
ParlaMint-GB_2015-03-25-commons.u48	8. What steps he has taken to increase the accountability to Parliament and the public of senior civil servants.
ParlaMint-GB_2015-03-25-commons.u49	The Prime Minister can now exercise choice in making permanent secretary appointments. We have introduced fixed tenure for permanent secretaries. We publish their performance objectives, as well as improved management information, to allow them to be held to account. We have revised the Osmotherly rules to ensure that senior responsible owners are directly accountable to Parliament for project implementation and to allow former accounting officers to be called to Select Committees.
ParlaMint-GB_2015-03-25-commons.u50	Will the Paymaster General update the House on the role that Ministers might have in the performance review of permanent secretaries?
ParlaMint-GB_2015-03-25-commons.u51	We have now instituted a formal process where formal input must be provided by Ministers to the Cabinet Secretary and head of the civil service on the performance of their permanent secretaries. That input has to be taken into account as part of the end of year appraisal undertaken by the head of the civil service.
ParlaMint-GB_2015-03-25-commons.u52	Order. There are so many noisy private conversations taking place it is quite difficult to hear the Minister’s answer. Let us have a bit of order for the Chair of the Public Administration Select Committee of the House of Commons.
ParlaMint-GB_2015-03-25-commons.u53	At what may well be my right hon. Friend’s last appearance in the House of Commons at the Dispatch Box, may I remark that his five-year term as Minister for the Cabinet Office in charge of civil service policy for the Government will have truly left its mark not just on the civil service but on this House? His tenacity, commitment and sincerity are of great credit to him.
ParlaMint-GB_2015-03-25-commons.u54	I am extremely grateful to my hon. Friend for his kind remarks. I pay tribute to him for the way in which he and his Committee have held us to account for what we do. He has done that consistently and persistently. It has not always been comfortable, but that is what the House of Commons is for.
ParlaMint-GB_2015-03-25-commons.u55	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-03-25-commons.u56	My responsibilities are for efficiency and reform, civil service issues, public sector industrial relations strategy, government transparency, civil contingencies, civil society and cyber-security.
ParlaMint-GB_2015-03-25-commons.u57	I would like sincerely to thank my right hon. Friend and neighbouring Member of Parliament for all his assistance and advice over many years., Can he estimate the amount of taxpayers’ money that has been saved through efficiencies in his five years in the Cabinet Office
ParlaMint-GB_2015-03-25-commons.u58	In the course of this Parliament we have saved more than £50 billion through efficiency and reform savings. I am extremely grateful to my hon. Friend for the support he has given throughout the process. He is a completely brilliant local MP, and I am confident he will be back here after the election.
ParlaMint-GB_2015-03-25-commons.u59	With your permission, Mr Speaker, I would like to pay tribute to the right hon. Gentleman, given that this is likely to be his last appearance in this place. He has a long record of public service, which he has always pursued with principle, dignity and drive. Even when it has not served his own career, he has never been afraid to speak out, and I have always respected him for having a clear agenda. He is a moderniser and impatient for reform, and despite our disagreements, I am sure that Members on both sides of the House will want to pay tribute to his distinguished career Looking to his future, I wonder whether he wants to follow in the footsteps of his friend Michael Portillo. If so, I am happy to arrange some practice sessions for him cosying up on the sofa with my hon. Friend the Member for Hackney North and Stoke Newington (Ms Abbott). I wish him well with his future plans, albeit with me taking his place in the Cabinet Office, and I wondered whether he wanted to take this opportunity to tell us some of his fondest memories of this place.
ParlaMint-GB_2015-03-25-commons.u60	I am extremely grateful to the hon. Lady for her kind and warm words; they are hugely appreciated. We have pursued a difficult and often controversial agenda of reform, but one of things that has given it strength has been the robust support from her and her predecessors. Whatever the result of the election—I hope it will not be the one she foresees—this programme of reform must continue and be followed through.
ParlaMint-GB_2015-03-25-commons.u61	T2. In joining the tributes to my right hon. Friend for his sterling public service, may I ask what else he could have achieved in the past five years had he been a member of a real Conservative Government?
ParlaMint-GB_2015-03-25-commons.u62	That is a tempting question, but actually we have achieved a huge amount. I pay tribute to my right hon. Friend the Chief Secretary to the Treasury, who has worked closely with me and my officials on driving through this programme. It is hard to see how we could have done much more in that context.
ParlaMint-GB_2015-03-25-commons.u63	T4. Does the Minister agree that one of the great failures of this Government has been their inability to check the quality of private companies engaged to deliver our people’s public services? Has that not been one of the fatal policy weaknesses of this Government?
ParlaMint-GB_2015-03-25-commons.u64	We have improved the quality of the commercial directors and teams across Government so that we can monitor much better what is done than was the case under the hon. Gentleman’s Government, and I announced yesterday some principles for transparency that will take this process yet further. It is much better than it was, but there is still a lot to do.
ParlaMint-GB_2015-03-25-commons.u65	T3. My right hon. Friend has been an outstanding Minister on cyber-security. He recently visited Pakistan and met the chief of general staff in the Pakistan army. Did they discuss greater co-operation between our two countries on cyber-security and sharing the good practice he has developed in this area?
ParlaMint-GB_2015-03-25-commons.u66	I am grateful to my hon. Friend for his comments. Yes, we had a fruitful visit to Pakistan and are collaborating and co-operating with the Government of Pakistan in several important areas.
ParlaMint-GB_2015-03-25-commons.u67	T5. What assistance is the Minister for Civil Society giving to the National Citizen Service to maximise the number of students from disadvantaged backgrounds who participate in it so that they can play their full part in a programme that would benefit them more than those from more affluent areas?
ParlaMint-GB_2015-03-25-commons.u68	The hon. Gentleman’s interest in the NCS is welcome and I know is reflected in his constituency, where demand for the programme is high among pupils at Bulwell academy and Bluecoat Beechdale academy. I am delighted that the latest independent evaluation found that in 2013 16% of NCS participants were in receipt of free school meals, compared with about 7% of 16 and 17-year-olds in the general population.
ParlaMint-GB_2015-03-25-commons.u69	T6. The Cabinet Office has been relentless in reducing waste from public services. However, does my right hon. Friend share my concern that the hidden cost to the taxpayer, as well as the lack of local accountability, from doing away with the shire fire and rescue services and trying to create a national fire service as Labour proposes would be considerable?
ParlaMint-GB_2015-03-25-commons.u70	I share my hon. Friend’s view that the local accountability that comes with local fire services is extremely important. I would be very loth to see that change.
ParlaMint-GB_2015-03-25-commons.u71	Q1. If he will list his official engagements for Wednesday 25 March.
ParlaMint-GB_2015-03-25-commons.u72	I know the whole House will wish to join me in offering our deepest condolences to the families and friends of all those killed in yesterday’s Airbus crash in France. It is heartbreaking to hear about the schoolchildren, the babies and the families whose lives have been brought to an end. As the Foreign Secretary has said, it is very likely that some British nationals were involved. At this stage, three British nationals have been identified as having been on the flight. The Foreign Office is working urgently to establish whether any further British nationals were among those on board. We are providing consular assistance and will give further information as it becomes available. Our ambassador to France is at the crash site today. I spoke to Chancellor Merkel and Prime Minister Rajoy last night and made it clear that the UK is ready to offer any assistance we can. I expect to speak to President Hollande later today This morning, I had meetings with ministerial colleagues and others, and in addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2015-03-25-commons.u73	May I join the Prime Minister in expressing sympathies to all the families affected by yesterday’s tragedy In 2014, the number of people working on zero-hours contracts increased by 19%, unsecured borrowing rose by 9%, and the percentage living in relative poverty was at the highest level since 2001. Does the Prime Minister agree that on his watch the future of our young people is only getting darker?
ParlaMint-GB_2015-03-25-commons.u74	What has happened on my watch is that 174,000 more people are employed in Scotland. Zero-hours contracts account for one in 50 jobs, and it is this Government who have outlawed exclusivity in zero-hours contracts—after the 13 years of inaction from the Labour party. In the hon. Lady’s own constituency, the claimant count has fallen by 32% since the election. That is evidence that our economic plan is working in Scotland, as it is throughout the rest of the United Kingdom.
ParlaMint-GB_2015-03-25-commons.u75	One of the most disturbing scandals has been the infection of thousands of people across the nation with HIV and hepatitis C through contaminated blood. Today Lord Penrose publishes a report that follows nearly 25 years of campaigning by Members on both sides of this House to address the scandal. Will the Prime Minister, as the last act of his Government, ensure that there is a full apology, transparent publication and, above all, proper compensation for the families terribly affected by this scandal?
ParlaMint-GB_2015-03-25-commons.u76	My hon. Friend is absolutely right to raise this, with the Penrose report being published today. I can do all of the three things he asks for. I know that many Members on all sides of this House have raised the question of infected blood, and I have spoken about how constituents have been to my surgeries. While it will be for the next Government to take account of these findings, it is right that we use this moment to recognise the pain and the suffering experienced by people as a result of this tragedy. It is difficult to imagine the feelings of unfairness that people must feel at being infected with something like hepatitis C or HIV as a result of a totally unrelated treatment within the NHS. To each and every one of those people, I would like to say sorry on behalf of the Government for something that should not have happened No amount of money can ever fully make up for what did happen, but it is vital that we move as soon as possible to improve the way that payments are made to those infected by this blood. I can confirm today that the Government will provide up to £25 million in 2015-16 to support any transitional arrangements to a better payments system. I commit that, if I am Prime Minister in May, we will respond to the findings of this report as a matter of priority Finally, I know that Lord Penrose was unable to present the findings of his report today because of illness. I am sure the whole House would want to send him our very best wishes.
ParlaMint-GB_2015-03-25-commons.u77	Let me first say that I fully associate myself with the remarks that the Prime Minister has just made about the victims of infected blood. We undertake today to act on those recommendations as well. I also join the Prime Minister in offering my condolences to the families who lost loved ones in the devastating plane crash yesterday, especially remembering the three British victims. Our thoughts are with all the victims, their families and their friends On Monday, the Prime Minister announced his retirement plans. He said that it was because he believed in giving straight answers to straight questions. After five years of Prime Minister’s questions, that was music to my ears. So here is a straight question: will he now rule out a rise in VAT?
ParlaMint-GB_2015-03-25-commons.u78	In 43 days’ time, I plan to arrange the right hon. Gentleman’s retirement. But he is right: straight questions deserve straight answers, and the answer is yes.
ParlaMint-GB_2015-03-25-commons.u79	No one is going to believe it. No one is going to believe it because of the Prime Minister’s extreme spending plans, because his numbers do not add up, and because he promised it last time and he broke his promise. Now, if the Prime Minister is in the mood for straight answers, let us try him with another one. Can he confirm that a spending cut—[Interruption.]
ParlaMint-GB_2015-03-25-commons.u80	Order. The Leader of the Opposition will be heard. If we overrun, so be it; it does not matter to me. The right hon. Gentleman will be heard, and the Prime Minister will be heard, and every other Member will be heard.
ParlaMint-GB_2015-03-25-commons.u81	Can the Prime Minister confirm that the spending cuts that he plans in the next three years will be even greater than anything seen in the last five?
ParlaMint-GB_2015-03-25-commons.u82	The right hon. Gentleman is wrong about that, but look: straight answer from me, straight question to him. I have ruled out VAT. Will he rule out national insurance contributions? Yes or no?
ParlaMint-GB_2015-03-25-commons.u83	The Prime Minister will have plenty of time to ask questions after 7 May—and I am afraid to say that his own Office for Budget Responsibility has referred to “a much sharper squeeze on real spending…than anything seen over the past five years” Next question, and this should be an easier one. Five years ago, the Prime Minister promised to cut net migration to tens of thousands. Straight answer to a straight question: is that a broken promise? Yes or no?
ParlaMint-GB_2015-03-25-commons.u84	Let me give the right hon. Gentleman a second chance. I answered a very simple question about VAT. I ruled out an increase. Let me ask the right hon. Gentleman again: will he rule out an increase in national insurance contributions We all know that this is Labour’s jobs tax. This is Labour’s tax of choice. This is what Labour clobbers working people, families and enterprises with. So let me ask the right hon. Gentleman again—straight question, straight answer—will he rule it out?
ParlaMint-GB_2015-03-25-commons.u85	There is only one person who is going to raise taxes on ordinary families, and that is the Prime Minister—and he is going to cut the national health service. Moreover, he did not answer the question. Let me now ask him a question about the NHS. Five years ago, he promised no top-down reorganisation of the NHS. Now, this is an easy one: can he confirm that that is a broken promise? Yes or no?
ParlaMint-GB_2015-03-25-commons.u86	I will tell the right hon. Gentleman what is happening in the NHS. There are 9,000 more doctors, 7,000 more nurses, and 20,000 more bureaucrats. But we have heard it now: a clear promise on VAT from this side of the House, and no answer on national insurance from that side of the House. And it goes to a bigger point. The right hon. Gentleman has had five years to come up with an economic plan, he has had five years to work out some policies for the future of this country, he has had five years to demonstrate some leadership, and he has failed on every count.
ParlaMint-GB_2015-03-25-commons.u87	Nobody believes the right hon. Gentleman’s promises on VAT and nobody believes his promises on the national health service because he has broken his promises in this Parliament. Now, let us try him on one more: three years ago he cut the top rate of income tax. Can he rule out, under a Tory Government, a further cut in the top rate of income tax?
ParlaMint-GB_2015-03-25-commons.u88	The richest in this country are paying more tax under this Government than they paid under the last Government. We have set out our plans for tax cuts: if you are young and you work hard, you will get an apprenticeship; if you are a family, we will take you out of tax until you earn £12,500. I do not want to see middle-income families drawn into the top rate of tax. We have made our promises. Now, let the right hon. Gentleman make a promise: will he increase national insurance? Yes or no?
ParlaMint-GB_2015-03-25-commons.u89	Nobody believes the right hon. Gentleman’s promises. He has had five years of failing working families, with worse to come—more spending cuts, more tax cuts for the richest, more betrayal. This has been a Government of the few for the few. It is time for a better plan. It is time for a Labour Government.
ParlaMint-GB_2015-03-25-commons.u90	Well, we have seen it all: absolutely no ability to answer a question. This is a country where unemployment is falling; the economy is growing; the deficit is coming down; in our NHS, the operations are going up; there are more good school places for our children; living standards are rising; inflation is at zero; and there are record numbers in work—all of this could be put at risk by Labour. That is the choice in 43 days’ time: competence and a long-term plan that is delivering, instead of the chaos of economic crisis from Labour.
ParlaMint-GB_2015-03-25-commons.u91	Q3. Thirteen months ago, my constituent Leigh Smith tragically lost her three-month-old baby Beatrice due to a rare heart condition. In an effort to help other families avoid the grief and despair of losing a child, Mrs Smith wants all schools to install defibrillators and to teach life-saving skills. Will the Prime Minister offer his support to this vital cause?
ParlaMint-GB_2015-03-25-commons.u92	First, let me say to my hon. Friend and his constituent that there is nothing more heartbreaking than losing a child and we should do everything we can to help with this. The Chancellor announced in his Budget £1 million for defibrillators, including putting defibrillators into schools. I want to see a situation where community buildings, schools, pubs, village halls—all of them—have defibrillators, because we can save lives in this way, and particularly when we are saving such young lives, as in my hon. Friend’s constituent’s case, we must do better.
ParlaMint-GB_2015-03-25-commons.u93	Q4. May I start by expressing my condolences to the families of those who lost their lives in the tragic Germanwings air crash?There are not any in the Prime Minister’s constituency, there is just one in the Home Secretary’s seat, and yet there are 680 people seeking asylum in Rochdale, more than in the entire south-east of England. We are all proud of the assistance that this country offers to those in need, but public services in Rochdale are already stretched and this uneven dispersal of asylum seekers is not helping the situation. Does the Prime Minister accept that this is not fair on Rochdale, and what does he plan to do about it?
ParlaMint-GB_2015-03-25-commons.u94	I think the hon. Gentleman is absolutely right to raise this issue, that what we inherited was completely unacceptable. The numbers of asylum seekers are down by a third from the peak they reached under Labour. We are fast-tracking more cases and we are resolving more cases more quickly, but I have to say to him that the legislation governing the distribution of asylum seekers was put in place under the last Labour Government I have been following what the hon. Gentleman has been saying. He has sent some very good dispatches from the front in terms of knocking on doors in Rochdale, and this is what he says: “Any Labour politician that says to you they knock on a door and Ed Miliband is popular are telling lies.” He says that about his own side. He says: “You know, this north London elite view of the world just doesn’t play in Rochdale, Rotherham, Runcorn or anywhere else beginning with an ‘R’ outside the M25.” I would like to encourage him to do more interviews, because he could add Reading, Redditch, Redruth, Reigate, Rochford, Romford, Romsey, Rossendale, Rushcliffe, Rutland, Rye—and probably Rosyth too the way they are going.
ParlaMint-GB_2015-03-25-commons.u95	SNP gain!
ParlaMint-GB_2015-03-25-commons.u96	Q5. I don’t think so love. In May 2010, unemployment in South Derbyshire, an ex-mining area, stood at 1,540. Today it is almost a third of that, at 580. Does my right hon. Friend agree that the strong Conservative Government and a Conservative district council with a long-term economic plan are able to succeed in bringing jobs and growth where the Labour equivalent failed to do so?
ParlaMint-GB_2015-03-25-commons.u97	My hon. Friend is absolutely right; in South Derbyshire, since the election, the claimant count—the number of people claiming unemployment benefit—is down by 68%. Those are the statistics, but every one of those people is someone with a job, with a livelihood and with a chance to provide for their family. That is what this election is going to be about: for young people who want jobs, we are offering apprenticeships; for young families who want homes, we have got homes with Help to Buy; and for pensioners who want security, we have got the pension and the pension benefits guarantee. That is what is on the ballot paper and that is what I think people will choose at the next election.
ParlaMint-GB_2015-03-25-commons.u98	Following the publication of the Select Committee on Northern Ireland Affairs report on the disgraceful on-the-runs debacle yesterday, it has now been revealed that the man who went about distributing these letters to IRA fugitives, Gerry Kelly of Sinn Fein, has actually received the royal prerogative of mercy for certain crimes. Will the Prime Minister now list in the Library of the House all those other Sinn Fein members and leading republicans who have likewise received a royal pardon, so that republicans in Northern Ireland can know which of their great stalwart leaders have begged or asked for, or received, probably on bended knee, such a royal pardon and secondly, so that everybody in the country can know which Governments have been involved in such nefarious activities?
ParlaMint-GB_2015-03-25-commons.u99	I will look very carefully at the question the right hon. Gentleman asks and what more we can do to be transparent, because this Government, not least by holding the on-the-runs review, have been transparent. What I would say to him is that Governments in the past have had to make difficult decisions with respect to Northern Ireland to try to bring parties together and produce the peaceful outcome that we have today. That has involved difficult compromises and things that he and probably I have found, at times, deeply distasteful. None the less, sometimes, in the pursuit of peace, some of these things have to be done.
ParlaMint-GB_2015-03-25-commons.u100	Q6. May I congratulate my right hon. Friend and the Department for Transport on their securing a £50 million rail infrastructure improvement scheme in South West Trains, which feeds my constituency? However, we still need better infrastructure—additional track; flyovers and power supply—if we are to get longer trains and faster journey times to Weymouth and Portland. Will he meet me to discuss this further to see whether we can further boost the economy in South Dorset?
ParlaMint-GB_2015-03-25-commons.u101	I am always happy to meet my hon. Friend and discuss these issues. I believe this Government have done right by the south-west, not least with the announcement the Transport Secretary has made of an additional 57,000 seats on South West Trains every week from December and 1,400 extra car parking spaces at train stations across the region. We can have this strong transport investment, not just in the south-west, but right across our country, only because we have a long-term economic plan that is delivering the growth this country needs.
ParlaMint-GB_2015-03-25-commons.u102	Has the Prime Minister not put himself on a fixed-term contract? Is he not now concerned that it will be a zero-hours contract after 8 May?
