ParlaMint-GB_2015-03-05-commons.u1	1. What recent progress has been made by the Airports Commission.
ParlaMint-GB_2015-03-05-commons.u30	I completely understand the desire of my right hon. Friend for new rolling stock on that route and for improvements on the route overall. Norwich in 90, a very effective campaign, has been launched, and services to other towns are also quicker.
ParlaMint-GB_2015-03-05-commons.u31	Commuters from Colchester pay some of the highest fares in the country, and successive Governments have failed significantly to improve the railway infrastructure. Does the Secretary of State agree that without implementation of the East Anglia rail manifesto, whoever wins the Greater Anglia rail franchise will find difficulty in improving the service between Colchester and London?
ParlaMint-GB_2015-03-05-commons.u32	We have just seen the launch of the new east coast main line franchise. It is committed to reducing the cost of rail tickets, and I hope that anyone who competes for the East Anglia franchise will come forward with new ideas that will not only increase the capacity on that line and improve rolling stock, but look at the cost of tickets.
ParlaMint-GB_2015-03-05-commons.u33	5. What plans he has to improve railway stations to cater for increased rail traffic.
ParlaMint-GB_2015-03-05-commons.u34	To keep up with the unprecedented growth in rail traffic across the country since privatisation, including a 5% jump in passenger rail journeys last year, the Government have committed to significant investment in improving stations across the network by 2019. That includes £160 million in Access for All schemes, £100 million in station commercial projects, and £100 million for the station improvement programme.
ParlaMint-GB_2015-03-05-commons.u35	The Secretary of State recently had a chance to visit Gloucester and see the importance of an additional entrance and new car park at our train station, which will also be a catalyst for wider growth and regeneration. Will my hon. Friend confirm when she expects the Department’s negotiations with First Great Western on its franchise extension proposals, which include the improvements at Gloucester, to be completed?
ParlaMint-GB_2015-03-05-commons.u36	I thank my hon. Friend for his specific and helpful recommendations about the development of Gloucester station. He is a champion for rail travellers in his constituency. The Department is currently in negotiation with First Great Western about the new directly awarded contract that will provide services for three and a half years from September 2015. We carried out a public consultation last year, and I expect to conclude negotiations this month.
ParlaMint-GB_2015-03-05-commons.u37	The chaotic and dangerous scenes at London Bridge station come after the major disruption at Christmas. How can the Minister ensure that the whole rail sector works together to put the interests of passengers first?
ParlaMint-GB_2015-03-05-commons.u38	Although I am a strong champion of the unprecedented investment programme going on right across the country, including the rebuilding of one of the most complicated and busiest stations in Europe, that cannot be done at the expense of passengers. I have had several conversations with the chief executive of Network Rail—most recently before questions this morning—and we are in constant contact with the station management team. It will take a joined-up approach from operators, Network Rail and the British Transport Police, and the system is feeding that service to ensure that passenger safety and comfort is not compromised. Clearly nobody wants crowded platforms—but this is not crowd control; this is passengers trying to get home after a long day at work.
ParlaMint-GB_2015-03-05-commons.u39	Further to that point, we all want to see improvements to these stations, but the deplorable failure of Network Rail in what is, of course, a very complicated scheme in any event and the failure of the train operating companies to deliver new timetables within such constraints has led to inexcusable delays and inconvenience for my constituents. Will my hon. Friend consider giving all those people who have had to travel into London Bridge during this period compensation for the cost of their tickets to reflect the very serious conditions with which they have had to deal?
ParlaMint-GB_2015-03-05-commons.u40	I thank my right hon. Friend, who has been an assiduous commentator and critic of the current system. Like me, he is absolutely determined that this unprecedented investment is felt by passengers. That is why the Government are spending £38 billion on passenger improvements. I completely agree that a compensation scheme is required, and we are currently looking at providing one.
ParlaMint-GB_2015-03-05-commons.u41	Many stations in Yorkshire and the north will be affected by HS2. Has the Minister seen the startling information blogged this morning by Tom Edwards, the BBC transport correspondent, that evidence to the HS2 Committee suggests that hidden costs will raise the overall cost of the HS2 project from £50 billion to £138 billion? Are the Government misleading this country about just how much this folly of HS2 is going to cost?
ParlaMint-GB_2015-03-05-commons.u42	I am not sure that what the hon. Gentleman said is as closely related to the terms of the question as he would have wanted, but the Minister is a dexterous character.
ParlaMint-GB_2015-03-05-commons.u43	I did not see the information because I was on the phone to the chief executive of Network Rail. A budget is a budget. Unlike the hon. Gentleman’s Government, this Government have a track record of bringing in major infrastructure projects such as the Olympics on budget and on time.
ParlaMint-GB_2015-03-05-commons.u44	Travel to the west country is often massively disrupted by incidents between Reading and Paddington. Given the huge investment that has gone into Reading station, is it not possible to find alternative means of connectivity between Reading and London—Reading is virtually becoming a London station—so that people from the west country can get in and out of London perfectly easily?
ParlaMint-GB_2015-03-05-commons.u45	The hon. Gentleman—like me, he travels on that line—will have seen the many improvements to Reading station. It is not just a beautiful new station; there has been significant remodelling of the train paths, including a flyover of the freight line to reduce disruption for passengers. The hon. Gentleman will know that the Crossrail interchange, which will go to Reading, will lift about 10% of traffic off the rail network, giving passengers going to Reading a whole series of other options for connectivity right into central London.
ParlaMint-GB_2015-03-05-commons.u46	Rail passenger numbers have doubled compared with 20 years ago—thanks to record investment under the previous Labour Government, including in stations such as the magnificent St Pancras. [Interruption.] Conservative Members may not like it, Mr Speaker, but it is true. Government Members try to take credit for projects we began, such as Reading, but we should look at their broken promises and record of failure instead. They make the dodgy claim that they are electrifying 850 miles, but only 18 miles have been finished, while electrification costs have doubled, essential projects have been delayed and the Transport Select Committee has warned that vital schemes may never be delivered. Is it not time for a change of Government, so that passengers get the services they deserve?
ParlaMint-GB_2015-03-05-commons.u47	It’s the way the hon. Lady tells them. It is not 850 miles of electrification, but 889 miles—as opposed to the 10 miles delivered in the previous 13 years of supposedly record economic growth. I know that the hon. Lady is a frequent traveller from Nottingham station, which has benefited, of course, from £100 million-worth of investment under this Government. We will take no lessons from her.
ParlaMint-GB_2015-03-05-commons.u48	6. What steps he is taking to develop the north-south road network in Lincolnshire.
ParlaMint-GB_2015-03-05-commons.u49	It says here that strategic roads play a key part in driving economic growth in my Lincolnshire constituency and elsewhere. Most of the north-south roads in Lincolnshire are the responsibility of the local highways authorities. Nevertheless, equipped with our new statutory authority to ensure that route strategies are consistent and coherent with our national road strategy, I will make certain that my Department works with them and the local enterprise partnership to deliver optimal improvements. By the way, I think a meeting between the hon. Gentleman and me might serve that purpose
ParlaMint-GB_2015-03-05-commons.u50	I thank the Minister for his reply. I welcome his offer to meet me and other hon. Members from northern Lincolnshire to discuss the nature of the A15, which is a significant link from the developments on the Humber port down to Lincoln. It is a neglected road. The road system south of Lincoln is good; it is this bit of road that really needs looking at. I welcome the Minister’s offer and look forward to taking him up on it.
ParlaMint-GB_2015-03-05-commons.u51	I know the road well and I think there is a case for further improvements on the A15, A16 and A17 in Lincolnshire. Of course, the A15 is Ermine street, a Roman road. It seems to me we should be no less ambitious for our world than the Romans were for theirs.
ParlaMint-GB_2015-03-05-commons.u52	I welcome what the Minister has to say. As he will know, the A15 is a vital road for access to the port of Immingham in my constituency, the largest port in the country. It is Government policy to improve access to ports. Will he make that a major consideration when he meets me and the hon. Member for Scunthorpe (Nic Dakin)?
ParlaMint-GB_2015-03-05-commons.u53	I am conscious that Humberside MPs met, I think in 2013, to discuss just these issues in the Department. I was with my hon. Friend in his constituency very recently looking at transport matters. Actually, I think the Government can do better in co-ordinating the relationship between road investment and ports and other modes of transport. I think all Governments have neglected that and we can do more. I will certainly take up what my hon. Friend suggests.
ParlaMint-GB_2015-03-05-commons.u54	8. What steps he is taking to increase levels of cycling and walking.
ParlaMint-GB_2015-03-05-commons.u55	The Government are committed to increasing walking and cycling. We have more than doubled the funding compared with the previous Administration. We added a section to the Infrastructure Act 2015 that places a commitment on Government to produce a cycling and walking investment strategy. In addition, our funding for bike and rail has put us on track to triple the number of cycle places at rail stations.
ParlaMint-GB_2015-03-05-commons.u56	I am delighted that an excellent campaign forced Ministers to concede the cycling and walking strategy in the Infrastructure Act. When are we now going to get a strategy with proper resources and targets? When will Ministers implement the powers in part 6 of the Traffic Management Act 2004, so that councils outside London are finally able to enforce those powers against driving in cycle lanes?
ParlaMint-GB_2015-03-05-commons.u57	I am very proud of this Government’s record. Indeed, when we discussed this with officials on the Infrastructure Act they said, “But Minister, it doesn’t need to be in there. You are doing this already.” I said, “Put it in anyway to underline that fact.” I am very proud that, while we inherited £2 a head spending on cycling, we have increased that to £6 a head and in our cycling ambition cities we are already delivering £10 a head. However, I know that driving in cycle lanes is an issue of great concern to cyclists, whose safety is paramount.
ParlaMint-GB_2015-03-05-commons.u58	I suspect the Minister will be too busy in May to attend the Isle of Wight walking festival, but if he would like to see initiatives that really work to increase the level of cycling, and indeed tourism, may I invite him to attend the Isle of Wight cycling festival in September?
ParlaMint-GB_2015-03-05-commons.u59	I must make a terrible admission: I have never visited the Isle of Wight, but I now have two very good reasons for doing so.
ParlaMint-GB_2015-03-05-commons.u60	Thanks to this Government, more than £35 million is being invested in roads in Basingstoke to reduce congestion. Will the Minister explain what he will be doing to ensure that that important investment will also benefit cyclists?
ParlaMint-GB_2015-03-05-commons.u61	We have made it absolutely clear that all our new road schemes must be cycle-proofed to ensure that we do not have a situation where a new roundabout or bypass prevents cyclists from making their journeys too.
ParlaMint-GB_2015-03-05-commons.u62	Confidence in road safety is key to increasing rates of cycling and walking, but after decades of progress, last year saw three consecutive increases in road deaths. Answers to parliamentary questions have revealed a dramatic reduction in the number of prosecutions for dangerous drink-driving and mobile offences at the wheel. With the number of traffic officers down by 23% since 2010 and apparently two years without any at all in Devon and Cornwall, whether these things are the fault of Transport Ministers, Home Office Ministers or even the Prime Minister himself, is it not the reality that the Government have failed to protect front-line policing and keep our roads safe? Is it not right for the next Labour Government to reintroduce proper targets to cut the number of deaths and serious injuries on our roads?
ParlaMint-GB_2015-03-05-commons.u63	We do have targets for the Highways Agency network, which we have control over. Other roads are the responsibility of highways agencies. When I stood at the Opposition Dispatch Box five years ago and put it to the Labour Government that we should introduce drug-driving legislation, they said it was impossible. I am proud to say that on Monday this week we gave the police the tools they need to prosecute those who put other road users in danger by drug-driving, and we now have the legislation on the statute book to do that—something that Labour said was impossible.
ParlaMint-GB_2015-03-05-commons.u64	I note that the Minister has not been to the Isle of Wight, but has he been to Ribble Valley, where we have some of the best cycling areas and walking routes through some of the greatest beauty that one will find in England? Does he believe, like me, that if we can encourage more youngsters, in particular, to cycle and to walk, that could help with the problem of obesity, and that perhaps we could get Government, schools and local authorities working together to encourage people to have step monitors to give them some focus so that they can become healthier human beings?
ParlaMint-GB_2015-03-05-commons.u65	I have indeed been to Ribble Valley, which is a very beautiful part of the country despite not being in Yorkshire. It is very important that we get young people on their bikes. That is why I am delighted that we have delivered 1.6 million Bikeability places, mainly to young people, and we expect a further 280,000 places between April 2015 and March 2016.
ParlaMint-GB_2015-03-05-commons.u66	9. What recent progress his Department has made on the feasibility study on dualling of the A69.
ParlaMint-GB_2015-03-05-commons.u67	A round-table discussion was held with Transport for the North, local authorities and other interested stakeholders at the end of February 2015 regarding the scope of the northern trans-Pennine strategic study. That study will consider the possible dualling of the A69 or the A66, or both, and technical work will start in the summer of 2015.
ParlaMint-GB_2015-03-05-commons.u68	Dualling the A69 is needed for the long-term economic plan of the true north and is supported by all the local MPs and businesses, and by a number of petitions put forward by constituents of mine and constituents in Carlisle. My hon. Friend the Member for Carlisle (John Stevenson) and I were able to show those to the Under-Secretary, my hon. Friend the Member for Devizes (Claire Perry), last week, and I urge the Department to keep acting on them.
ParlaMint-GB_2015-03-05-commons.u69	You know, Mr Speaker, that Ruskin said that quality is never an accident and always involves intelligent effort, and my hon. Friend’s effort has been intelligence at its very height. He is right that this road, which runs alongside Hadrian’s wall, is an important route, for the reasons he gave—for the well-being of local people and the local economy. That is well understood by this Minister and by this Government.
ParlaMint-GB_2015-03-05-commons.u70	From the Romans to Ruskin: the right hon. Gentleman, who is, by common consent in the House, an extraordinary individual, never disappoints.
ParlaMint-GB_2015-03-05-commons.u71	10. What recent progress has been made on the proposed improvements to the A27 between Worthing and Lancing.
ParlaMint-GB_2015-03-05-commons.u72	Prior to the announcement of the road investment strategy in December 2014, I had the joy of touring the A27. Since then, the Highways Agency has started to realise our commitment to improve that road at Worthing and Lancing. To date, agency officers have held initial meetings with key stakeholders and begun work on the detailed traffic models required for this exciting scheme’s development.
ParlaMint-GB_2015-03-05-commons.u73	The Minister will recall that there was dancing in the streets back in December when the Secretary of State announced the enhancements to the A27 around Arundel and Worthing. That dancing has subsided a little as the feasibility studies go on. Will he update the House on progress, on when we will hear further news about the likely work, and on the possibility of including some tolling at pinch points and flyovers, including on the old Roman bit?
ParlaMint-GB_2015-03-05-commons.u74	It has been said, Mr Speaker, that I never disappoint, but I do sometimes surprise. I am delighted, therefore, to tell my hon. Friend that I will not merely update him on progress but can reveal that we will publish the feasibility study, a result of his efforts and our endeavour, immediately. I will let him have this report, which details exactly how we intend to move forward, shaped and informed by his efforts and those of his friends.
ParlaMint-GB_2015-03-05-commons.u75	11. What recent assessment he has made of the adequacy of compensation payments to passengers for delayed rail travel.
ParlaMint-GB_2015-03-05-commons.u76	It is absolutely right for passengers to be compensated when their journeys are delayed. The Government have introduced tough new measures to ensure that that happens, and compensation payments across the network have increased sixfold since 2011. As the hon. Lady will know, we are introducing a 30-minute “delay repay” scheme on lines that have not already been making payments—as well as other enhanced compensation opportunities—during franchising negotiations and, when we can, during existing contracts. However, recent estimates by Passenger Focus suggest that only 12% of passengers who are delayed by 30 minutes or more go on to claim compensation. I am determined to address that, and, as operators will know, I believe that they need to do much more in this respect.
ParlaMint-GB_2015-03-05-commons.u77	The right hon. Member for Mid Sussex (Sir Nicholas Soames), who is no longer in the Chamber, was entirely right to call for compensation for commuters who experience severe disruption because of the works at London Bridge. Overcrowding on trains from Lewisham is even more severe than normal, and is actually dangerous. How can a compensation regime that pays up only when services are delayed by 30 minutes or more be relevant to my constituents, who can barely get on to a train irrespective of whether it is late or not?
ParlaMint-GB_2015-03-05-commons.u78	I genuinely pay tribute to the hon. Lady, who is an assiduous campaigner for commuters in her constituency. It is very refreshing when Members in all parts of the House participate fully in the cross-party summits at which we hold the industry to account The hon. Lady is right. There is not adequate compensation under the scheme to cover the metro-style train journeys that many of her constituents take. As she will know, some operators which have similar service patterns, such as c2c, have introduced minute-by-minute refunds—or will be doing so—but I intend to continue to work on a compensation scheme specifically for those affected by the works at London Bridge.
ParlaMint-GB_2015-03-05-commons.u79	12. When he expects negotiations on the Great Western rail franchise to be completed.
ParlaMint-GB_2015-03-05-commons.u80	The hon. Gentleman will be pleased to learn that we expect to conclude negotiations with First Great Western and to finalise the second directly awarded franchise contract during this month, and expect the provision of services to start in September.
ParlaMint-GB_2015-03-05-commons.u81	I thank the Minister for that news. When I led a group of 10 Members of Parliament from both sides of the House to meet the Secretary of State before Christmas, we urged him to include in the new franchise local services on the existing line between Oxford and Bristol. Does the Minister accept that even a service between Swindon and Bristol would be a great start in relieving overcrowding on that part of the line, and would be a vital first step towards the reopening of the station at Corsham?
ParlaMint-GB_2015-03-05-commons.u82	The hon. Gentleman continues to make a persuasive business case for that new service. As a Nailsea girl who was lucky enough to go from Nailsea comprehensive to Oxford university, I can tell the hon. Gentleman that it would have been a great service for me. As he knows, the Secretary of State has invited Members whose constituencies are on the route to work with their local authorities and the local enterprise partnership to present a collective business case. He may be right in saying that, as a minimum, a westward service from Swindon would be helpful.
ParlaMint-GB_2015-03-05-commons.u83	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-03-05-commons.u84	My Department has continued to operate apace as we move towards the Dissolution of Parliament. Last week we introduced the new invitation to tender for the Northern Rail and TransPennine Express services, and transferred East Coast back to the private sector. That is a major step in a franchising transformation that places passengers at the heart of services We also continue to invest in our roads. Fifteen strategic road schemes have been completed since 2010, and a further 16 are under way. Because local roads are equally important, we have committed £6 billion to them, up to 2021, in addition to the 27% increase in funding that has taken place since 2010. Funds for cycling have doubled since 2010, and we are committed to a new long-term investment strategy.
ParlaMint-GB_2015-03-05-commons.u85	In my constituency and that of my right hon. Friend the Member for North Shropshire (Mr Paterson), there has been a decades-long campaign for a new bypass at Llanymynech, which lies between the two constituencies. Will the Minister join the Welsh Government in developing a scheme for that purpose?
ParlaMint-GB_2015-03-05-commons.u86	I am grateful to my hon. Friend for raising this issue. Such a scheme has been identified in the draft national transport plan for Wales as contributing to access to services. We will discuss the matter further with Welsh Government officials to assess their priorities, but no one could have campaigned harder for it to be examined than my hon. Friend.
ParlaMint-GB_2015-03-05-commons.u87	This week, following the Government’s privatisation of East Coast, Stagecoach released a trading update announcing that the privatisation would “significantly enhance” its profits. We know that the chief executive of Stagecoach, Martin Griffiths, is scraping by on £2.2 million a year—which, by the way, makes him eligible for the Government’s tax cut for millionaires, so his week is getting better and better. At the same time, Stagecoach is threatening to withdraw its buses from the north-east, simply because the local transport authority wants to do something about the fare rises and bus route cuts that have marked the Government’s failure and broken promises. When will Ministers condemn what Stagecoach is doing in the north-east? Do we not need a Government who deliver for the travelling public, not for the Stagecoach shareholders?
ParlaMint-GB_2015-03-05-commons.u88	What we need, and what we have, is a Government who are investing record amounts of money in our transport infrastructure—far more than the last Government invested in both capital projects and revenue projects. I can only take what was said in Transport Times by the editor, David Fowler, in his latest edition this week: “On rail franchising and speed cameras” Labour’s policies “seem to be going against the weight of evidence.” We have seen a dramatic improvement in our services, provided by the private sector. The Labour party is so opposed to the private sector and everything it stands for that it wants to destroy it, on the back of our seeing one of the most successful turnarounds of the rail industry in this country.
ParlaMint-GB_2015-03-05-commons.u89	T3. I am grateful to the Minister of State for meeting me to discuss problems at the A5 Wall island, but while he is considering it will the people’s Minister ask the Highways Agency to look at the other end of the A5, the congestion from Tamworth to the M42—congestion made worse by more traffic trying to merge on to the A5 from Pennine way?
ParlaMint-GB_2015-03-05-commons.u90	Every meeting I have had with my hon. Friend has been a joy, as was the one yesterday. I have diagrammatic and photographic representations of the issue he raises, which I will deliver to you, Mr Speaker, and make available to Members on request. I will send officials not only to look at the matters we discussed yesterday, but to look at the matter my hon. Friend raises today, to see what can be done, but I have to say I think we should act in accordance with his recommendations, because I know he always champions his constituents’ interests.
ParlaMint-GB_2015-03-05-commons.u91	T4. Fare evasion is obviously a serious issue for the rail industry, but I have seen a number of recent instances where train companies have over-zealously pursued minor cases against constituents who have either been given the wrong information or might have made an innocent error. What is the Minister doing with train companies such as Arriva to ensure that there is clarity for travellers and to make sure that the rules are applied reasonably?
ParlaMint-GB_2015-03-05-commons.u92	The hon. Lady raises an important point. I recently launched a public consultation on exactly this matter, and I have urged the train companies to pursue such cases where necessary—where there is genuine fare evasion—but to be much more sensible where there are genuine mistakes. She is welcome to make her views and those of her constituents known in that consultation, and I would like to make those changes.
ParlaMint-GB_2015-03-05-commons.u93	T5. Tactile indicator cones play a valuable role in making pedestrian crossings safer for all people, and especially those who are blind and partially sighted. Unfortunately in Wiltshire they cannot be sure of finding these cones at pedestrian crossings when they need them. Will the Government incentivise all local authorities to retrofit these tactile indicator cones to pedestrian crossings and open up our streets to everyone?
ParlaMint-GB_2015-03-05-commons.u94	Tactile cones are probably one of the best kept secrets of our transport system. If one feels underneath the box on a pelican or puffin crossing, there is a small cone which, if held, rotates when the lights turn to green. It is very helpful for people with vision problems. They were developed by the university of Nottingham and there are 10,000 out there, and I encourage local authorities to retrofit as many as possible.
ParlaMint-GB_2015-03-05-commons.u95	T6. In October last year the Prime Minister visited York and expressed publicly concern about congestion on the outer ring road, and in January a petition from business leaders in York asking for the dualling of the ring road was delivered to Downing street. What action has the Department taken since the petition arrived?
ParlaMint-GB_2015-03-05-commons.u96	I had a meeting with the chief executive of North Yorkshire county council, who works closely with City of York council, on addressing the problems on the northern ring road, and I hope that any scheme that is brought forward can also mesh in with the Hopgrove roundabout project which has already been announced. If City of York council wants to help the motorist it should think back to what it did on Lendal bridge and the atrocious way it persecuted motorists using that route.
ParlaMint-GB_2015-03-05-commons.u97	T8. I recognise this Government’s enormous investment in our railways, but I am keen to know when we might see some improvements to the London to Portsmouth line. It is still faster to get to Doncaster, which is twice as far.
ParlaMint-GB_2015-03-05-commons.u98	My hon. Friend will know that the Portsmouth to London line is not only hugely important for her constituents but a vital artery for people who are travelling up and down through the counties. One problem has been the inability to run longer trains into Waterloo station, where the “throat” has effectively been blocked for many years. We are now investing to increase platform lengths there, to unblock some of that complexity. Also, the draft Wessex route study is being undertaken right now to determine how faster trains can be run from my hon. Friend’s constituency.
ParlaMint-GB_2015-03-05-commons.u99	T7. I hope that the Minister will have been given notice by Baroness Kramer’s office that she is due to sign off £200 million-worth of funding for a bus rapid transit scheme in Bristol. I am very keen for the overall scheme to go ahead, but we have real concerns about one particular element of it in my constituency. Will the Minister tell me whether it is too late to seek alternatives to that element, which would ruin a wonderful community food project on my patch?
ParlaMint-GB_2015-03-05-commons.u100	If I am correct, the hon. Lady is talking about the opposition to the M32 bus-only junction. It is not for the Government to determine the design of the scheme, which is being promoted by the local authority as it knows the area best. Local authorities should listen to the campaigns led by local Members of Parliament relating to that scheme, to see whether the concerns can be addressed, but it would be difficult to change the scheme at this late stage and I know that the hon. Lady would not want to put it in danger of not being signed off in the next few days.
ParlaMint-GB_2015-03-05-commons.u101	T9. Ever since the Romans built the Fosse way and the Great North road through our town, road hauliers have been an integral part of Newark’s economy. However, those hauliers have had to compete with foreign competitors on an uneven playing field for too long. Will the Minister update us on the success of the HGV road user levy?
