ParlaMint-GB_2015-01-26-commons.u1	3. What recent assessment he has made of the effectiveness of the innovation fund for young people.
ParlaMint-GB_2015-01-26-commons.u12	8. What progress he has made on supporting people with a mental health condition to find work.
ParlaMint-GB_2015-01-26-commons.u13	The Government are committed to helping people with mental health problems into work. We are piloting a number of innovative approaches to employment support for those with mental health problems, and the Access to Work mental health support service can help people with a mental health condition who are absent from work or who are finding it difficult to get back into work.
ParlaMint-GB_2015-01-26-commons.u14	Mental health issues in Fylde are as serious as they are anywhere else, so what plans does the Minister have to support further people with mental health conditions throughout the Disability Confident campaign?
ParlaMint-GB_2015-01-26-commons.u15	I am pleased that my hon. Friend mentions the Disability Confident campaign. I have invited Members from both sides of the House to talk about Disability Confident at an event in the House on Wednesday. Specifically on mental health, I had the privilege last Thursday to visit the constituency of my hon. Friend the Member for Gloucester (Richard Graham) and to meet with the work coaches in the jobcentre and with those who have been on some of our pilot programmes to hear about the success we have had in encouraging people with a mental health problem to get back into work, or to avoid having one in the first place.
ParlaMint-GB_2015-01-26-commons.u16	Will the Minister join me in recognising the importance of the voluntary sector in helping those with mental health issues to get back into work? Organisations such as Relate in my constituency work tirelessly to improve mental health and provide vital counselling that allows people to get back into work and progress with their careers.
ParlaMint-GB_2015-01-26-commons.u17	I am happy to pay tribute to organisations such as the one my hon. Friend has just mentioned. The important thing is to have a proper partnership with Jobcentre Plus, voluntary and third-sector organisations, the NHS and employers working together to ensure that we stop people from falling out of work if they develop a mental health problem, and that they can get back into work if they do so.
ParlaMint-GB_2015-01-26-commons.u18	I cannot be the only person in the House today who finds it utterly heartbreaking when people come to their surgery unable to find work. Those people are often more than capable of working but, because of a fear of stigmatisation and an absence of support, they are unable to find that work. I praise the hon. Member for Fylde (Mark Menzies) for setting an example in this area. Following on from the good work of Waitrose and Tesco, can we not do more in this House to set an example, because we are after all a major employer?
ParlaMint-GB_2015-01-26-commons.u19	The hon. Gentleman is right. One thing we are doing through our Disability Confident campaign is ensuring that employers are aware not only of those with physical disabilities but of those with mental health problems. There was, for a period, a statutory bar on Members of Parliament serving in this House in this respect. When I was in Opposition I challenged the then Justice Secretary on the matter, and this Government have now delivered change to ensure that we set a good example. We now say that if someone has a mental health problem, they are just as capable as anyone else to work both as a Member of Parliament and as staff in the House.
ParlaMint-GB_2015-01-26-commons.u20	On that matter, the Minister of State wisely heeded the recommendation of the Speaker’s Conference on Parliamentary Representation, which enjoyed all-party support.
ParlaMint-GB_2015-01-26-commons.u21	Voluntary sector organisations working with the most vulnerable claimants are expressing concerns that people with mental illness are still over represented among those being sanctioned. Does the Minister accept that there is still a problem here, and what more can he do about it?
ParlaMint-GB_2015-01-26-commons.u22	Just before I answer the hon. Lady, let me say that I am happy to agree with you, Mr Speaker, that your conference showed great leadership, which we were happy to follow. I think that it is wise to acknowledge that from the Dispatch Box—[Laughter.] The Secretary of State says keep going. The hon. Lady makes a serious point about sanctioning. We have to make sure in the Department and Jobcentre Plus that if someone on employment and support allowance does not engage with the help they are given, we understand why they do not engage with it and then deliver proper support. Last week, when I was looking at the pilots, I was trying to see how we better engage with that mental health support to ensure that we give people the support both to stay in work, and to get back to work, if they have a mental health problem.
ParlaMint-GB_2015-01-26-commons.u23	I was delighted to welcome the Minister to the Olive Tree café which provides opportunities for more than 30 people to rebuild their confidence and skills. That has been achieved through a successful social enterprise. How can we share that best practice?
ParlaMint-GB_2015-01-26-commons.u24	My hon. Friend invited me to visit the Olive Tree café in his constituency on a day that I also spoke at a mindful employer event, which again focused on mental health, at the constituency of my hon. and learned Friend the Member for South Swindon (Mr Buckland). We can use our Disability Confident campaign to get those messages out there. My hon. Friend, by using the benefits of this House, has ensured that the message will be heard far and wide.
ParlaMint-GB_2015-01-26-commons.u25	In the past year, a number of people have written to me who are finding it hard to stay in work because they are getting very poor support in the workplace, and sometimes they are having difficulty accessing mental health support. What discussions has the Minister had with employers and his colleagues in the Department of Health about how we can tackle that? If those people cannot stay in work and become unemployed, they may have difficulty getting back into work again.
ParlaMint-GB_2015-01-26-commons.u26	The hon. Gentleman makes a good point, to which I would say two things in reply. First, people who are in work can be referred to the Access to Work mental health support service, to get support delivered to them to enable them to stay in work. Secondly, the NHS now recognises that it has an important part to play here, and for the first time we have set out access requirements for mental health services, which will start this April.
ParlaMint-GB_2015-01-26-commons.u27	Why is no help available to get people with mental health problems back on to employment and support allowance, when they have voluntarily come off ESA and gone on to jobseeker’s allowance, wrongly believing that they were fit to work, only to be sanctioned for failing to comply with their jobseeker’s agreement because of their mental illness?
ParlaMint-GB_2015-01-26-commons.u28	One of the things that our work coaches in the jobcentre are able to do is flex the claimant commitment people make according to the claimant’s health condition. What should happen in such cases is that, if the individual remains on JSA, their work coach can alter the conditions to deal with that. If the hon. Gentleman has specific examples where that has not happened, I would be delighted if he wrote to me so that we can look into those cases.
ParlaMint-GB_2015-01-26-commons.u29	Just at the time that many young people leave full-time education, those battling mental health problems are also having to navigate their transition from adolescent to adult mental health services. Is it not essential that those services are there to support them at the very time we are looking to them to embark on their working lives?
ParlaMint-GB_2015-01-26-commons.u30	My hon. Friend makes a good point, and we are doing several things in that respect. First, we are looking at properly joining up the education, health and care assessments people have at school and the disabled students’ allowance application made when they go to university. We are also working closely with the Department of Health to make sure that mental health services are properly integrated with the world of work.
ParlaMint-GB_2015-01-26-commons.u31	5. How many jobs were created in (a) Shipley constituency and (b) Yorkshire in 2014.
ParlaMint-GB_2015-01-26-commons.u32	In the year to September 2014, employment rose by 6,500 in Shipley and nearly 30,000 in Yorkshire.
ParlaMint-GB_2015-01-26-commons.u33	I congratulate my right hon. Friend on those great statistics. Late last year, I organised a jobs fair in Shipley that had employers there with more than 300 current vacancies. She will be aware that many Conservative MPs in Yorkshire have also held jobs fairs in their constituencies. Will she ensure that jobcentres always support jobs fairs, to ensure that as many jobseekers as possible come to them?
ParlaMint-GB_2015-01-26-commons.u34	I can absolutely give my hon. Friend that assurance. I congratulate him on holding a jobs fair. He is right to draw attention to the fact that Conservative MPs in Yorkshire have been putting the Labour MPs to shame for not holding as many job fairs. Because of those events and our welfare changes, and because of the success of our long-term economic plan, more jobs were created in Yorkshire last year than in the whole of France—something I am sure my hon. Friend is particularly pleased to hear.
ParlaMint-GB_2015-01-26-commons.u35	rose—
ParlaMint-GB_2015-01-26-commons.u36	The hon. Gentleman’s constituency is a considerable distance from Shipley and Yorkshire, but no doubt he will say he has a half-sister there, or something.
ParlaMint-GB_2015-01-26-commons.u37	I am an only child, Mr Speaker With regard to Shipley and Yorkshire, can the Minister say how many of the jobs she mentioned were part-time, on zero-hours contracts or on the minimum wage? If she is not sure of the figures, does she agree with me that a heck of a lot of jobs are in those categories?
ParlaMint-GB_2015-01-26-commons.u38	I thank the hon. Gentleman for asking that question, because I frequently hear the myths put about by the Opposition. I can assure him that 80% are full-time jobs and 75% are managerial and professional jobs. These are very good jobs for excellent people who are trying to support their families in Shipley and across the UK.
ParlaMint-GB_2015-01-26-commons.u39	6. What steps he is taking to improve job opportunities in (a) Huddersfield and (b) the northern region.
ParlaMint-GB_2015-01-26-commons.u40	As part of this Government’s long-term economic plan, we are committed to developing the northern powerhouse. We are investing heavily in infrastructure, science and technology, and culture to rebalance the economy by closing the long-term gap between the north and south—something the Opposition did not manage to do.
ParlaMint-GB_2015-01-26-commons.u41	Some of us are a little wary of short-term gimmicks, especially short-term jobs fairs. In Huddersfield we have had an Enterprise Foundation promoting small business start-ups that last, and it continues to be very effective. Has the Minister seen the Centre for Cities report, which shows clearly that the investment and job growth seem to be largely, though not entirely, in London and the south-east? If she looks at the report, she will see that it is the great northern industrial cities that have suffered over a number of years. What is she doing about that?
ParlaMint-GB_2015-01-26-commons.u42	Again, I am delighted to answer the question; again, the information was out of date. The information for that report closed in 2013 and covered the previous 10-year period, when the Government whom the hon. Gentleman supported were in office. The latest figures would show that 60% of jobs created are outside London and the south-east. I know that the hon. Gentleman, as the previous Chair of the Education Committee, takes a keen interest in opportunities for young people, so I hope he will welcome the latest announcement from Yorkshire Water that it will create 160 apprenticeships.
ParlaMint-GB_2015-01-26-commons.u43	Will the Minister join me in thanking Huddersfield job centre, which supported my jobs fairs in Holmfirth and Marsden last year, giving local people access to real jobs and apprenticeships? Will she note the 4,130 apprenticeship starts in my constituency since 2010?
ParlaMint-GB_2015-01-26-commons.u44	Indeed. I congratulate my hon. Friend’s local jobcentre and him on all the work he does. Those were over 4,000 apprenticeships in his constituency, but at the end of last year there were 2 million new apprenticeships for young people right across the country. That is why we have seen the biggest fall in youth unemployment since records began.
ParlaMint-GB_2015-01-26-commons.u45	Does my right hon. Friend agree that the best way to improve job opportunities for people in the north of England is for Government to reduce tax and red tape on businesses to give them the opportunity to create new businesses, and to ensure that the Government always make it pay to be in work, not on benefits?
ParlaMint-GB_2015-01-26-commons.u46	Once again, my hon. Friend speaks sound sense. That is exactly what this Government have been trying to do. We have been working with businesses, finding out what they need to expand and grow and to take on young people. As we have seen, growth is increasing. We are now growing faster than any other country in the G7. We know that not only are wages going up by 2%, but they are destined to go up by 3.4%, and inflation has fallen by 0.5%. If anybody had a long-term economic plan, it is this Government.
ParlaMint-GB_2015-01-26-commons.u47	7. What recent assessment he has made of take-up of the new enterprise allowance (a) nationally and (b) in the Dudley metropolitan borough council area.
ParlaMint-GB_2015-01-26-commons.u48	The new enterprise allowance supports jobseekers who want to set up their own business through mentoring and a weekly allowance. Through the scheme over 60,000 businesses have been started nationally, including 640 within the Dudley metropolitan area.
ParlaMint-GB_2015-01-26-commons.u49	The new enterprise allowance is one of the many ways that the Government are supporting people into self-employment and running their own businesses. Does my right hon. Friend agree that this support has been essential to the thriving business environment which has seen over 2,000 new businesses start up in my constituency, Stourbridge, since 2010?
ParlaMint-GB_2015-01-26-commons.u50	My hon. Friend is right. When any new business sets up, it needs support, mentoring and access to finance, all of which we are providing. With her background, she knows exactly how to set up a business; she set up her own and won awards for it, and her dad set up his own business in the 1930s which went on to be an incredibly successful manufacturing company. That is what we need to do—support people, provide access to finance and mentoring, and ensure that they have a good business plan. I thank my hon. Friend for that question.
ParlaMint-GB_2015-01-26-commons.u51	9. What assessment he has made of the views of Jobcentre Plus managers on the effectiveness of the Work programme.
ParlaMint-GB_2015-01-26-commons.u52	We have continued to drive improvements in providers’ results. Jobcentre Plus is integral to this, and we have implemented a closer working approach between jobcentres and providers. The evaluation indicates that the relationship between jobcentres and providers has strengthened over time—for instance, through the use of co-location and enhanced information sharing.
ParlaMint-GB_2015-01-26-commons.u53	The serious concerns of jobcentre managers expressed in a report published in December should come as no surprise to the Minister given the latest dismal figures showing that barely 7% of people on employment and support allowance have moved into sustained employment. What is the Minister going to do to tackle the problems that jobcentre managers identify, such as the lack of work placement opportunities, infrequent contact with participants, and lack of explanation to participants about why sanctions have been requested?
ParlaMint-GB_2015-01-26-commons.u54	First, I would like to remind everybody that the Work programme is the most successful scheme of its kind in getting people from long-term unemployment into work. Some 1.75 million people are now being helped and over 600,000 have got a job. In feedback, participants are saying that they are happy with the frequency of contact and think that that works with them and helps overcome the barriers to finding work. The number of people on ESA shows that it is actually performing well above what was expected. It was expected to apply to only one in 14 people and the figure is now one in 10. All the extra work that we have done on the communications between Jobcentre Plus and work providers is obviously showing results.
ParlaMint-GB_2015-01-26-commons.u55	What more can the Minister do to get a better relationship between jobcentres and Work programme providers so that they can provide a warm handover when claimants move into the Work programme and when they return from the programme at the end of their two-year period?
ParlaMint-GB_2015-01-26-commons.u56	My hon. Friend is right. This is all part of the Oakley review. It is about ensuring that communications are better, that that hand-holding is understood, that people get a copy of the claimant commitment, and that they can understand a good cause and work together. At the end of the day, we are trying to get some of the most vulnerable people, who have been unemployed for a long time, into work. What is needed is that communication and that support from Jobcentre Plus and prime contractors.
ParlaMint-GB_2015-01-26-commons.u57	My constituent, John McArthur, was laid off at the end of a temporary job that paid the national minimum wage. The DWP later tried to force him to work for the same company, in the same job, for six months. He subsequently got accused and lost his benefit. How can that sanction possibly be justified?
ParlaMint-GB_2015-01-26-commons.u58	This was a complicated case. I will obviously meet the hon. Gentleman to discuss it. His constituent had been laid off and then, as we were trying to support him back into work, he did work experience. It was in a different part of the business, and it was how we could best enable him to move from long-term unemployment into employment. If the hon. Gentleman would like to meet me, I am more than happy to do that, but I have already looked into this case.
ParlaMint-GB_2015-01-26-commons.u59	Will my right hon. Friend confirm that the Work programme has helped hundreds of thousands of people out of the misery of long-term unemployment and into sustainable work?
ParlaMint-GB_2015-01-26-commons.u60	My hon. Friend raises yet another good point. Under Labour, the number of people living in households where nobody had ever worked doubled. We therefore needed not only to do a lot of work to bring us back to the regular standards of what we had before Labour came into office, but to build on that to get more people into work. That is exactly right. We have helped hundreds of thousands of those people who were left unemployed for a long time.
ParlaMint-GB_2015-01-26-commons.u61	10. Whether universal credit will be available to migrants from the European Economic Area when it is fully rolled out.
ParlaMint-GB_2015-01-26-commons.u62	16. What recent steps he has taken to stop welfare tourism.
ParlaMint-GB_2015-01-26-commons.u63	Citizens of the European economic area who choose to come here without a job to start will not be able to access universal credit. We have introduced several restrictions to benefits to ensure that our welfare system focuses support on those who are contributing to the economy. These include strengthening the habitual residency test, banning access to housing benefit for new EEA jobseekers, and introducing a three-month residency requirement for income-based jobseeker’s allowance.
ParlaMint-GB_2015-01-26-commons.u64	The Secretary of State originally predicted that 1 million people would be on universal credit by April last year. The latest figure is 26,000. I understand that last October he predicted a figure of 100,000 by May—does he still believe that?
ParlaMint-GB_2015-01-26-commons.u65	The universal credit programme is working well. It is now completing its roll-out to all the areas in the north-west, to all singles, couples and families. In the next month, it will start rolling out across the country, and that will bring universal credit to more jobcentres. By the time that process is completed, one in three jobcentres will be running universal credit. The key thing is to make sure that we get this vital reform, which helps people to get back into work faster, that we land it correctly and safely, and that we learn the lessons of the past when things like tax credits, brought in under the previous Government, were absolute disasters wasting billions of pounds in lost money and fraud.
ParlaMint-GB_2015-01-26-commons.u66	Does my right hon. Friend agree that it is quite wrong for people who are working in this country on a temporary basis to be able to claim benefits for their dependants in their country of origin, when one considers the cost of those benefits in relation to the differences in the cost of living?
ParlaMint-GB_2015-01-26-commons.u67	Yes; changing that situation is something that the coalition has set out to achieve. I remind my hon. Friend that when we came to power, the last Government had pretty much left an open door for access to benefits. People were able to claim jobseeker’s allowance pretty much on arrival. There was a habitual residence test, but it was very weak. We strengthened it and stopped people claiming for more than three months. People will not be able to claim housing benefit and they must have a right of residence. If they do claim, they must show that they have a minimum earnings likelihood. Anything below that will not count as a job. We are tightening up the system after the mess that we were left by the last Government.
ParlaMint-GB_2015-01-26-commons.u68	Does the Secretary of State really feel that it is sufficient for people to have to work in this country for only three months before they can claim out-of-work benefits?
ParlaMint-GB_2015-01-26-commons.u69	I will take that as a peculiar compliment. We inherited a system in which people did not have to work for any time to claim jobseeker’s allowance. Within the existing rules, we will not pay for the first three months. If people are unemployed, they will be paid for three months. After that, they will be asked to leave. That is a much tighter position than the one we inherited. I, of course, would like to take it further. As the Prime Minister set out clearly in a recent speech, he believes that there should be years of contributions before someone is eligible to claim benefits, be they tax credits or jobseeker’s allowance. When the Conservative party gets back into power, we will implement that.
ParlaMint-GB_2015-01-26-commons.u70	I, too, welcome the Prime Minister’s announcement in November that a future Conservative Government will have the toughest regime in Europe on limiting migrants’ access to our benefits system. Will the Secretary of State outline for the House the steps the Government have already taken to ensure that migrants come here to work and contribute, and what he has done to deter people from benefit tourism?
ParlaMint-GB_2015-01-26-commons.u71	Exactly what I have mentioned. The mess that we were left by the last Government left little or no restrictions on anybody coming in, so the UK became a draw for people who wanted to claim benefits and be out of work, because it was a better option. We are tightening that up. We have stopped a number of things, such as housing benefit, and have shortened the time on jobseeker’s allowance. Tax credits are moving into line with that as well. As I said, when we are re-elected at the next election as a Conservative Government, we will tighten it up even more.
ParlaMint-GB_2015-01-26-commons.u72	11. What assessment he has made of the reasons for differences in the unemployment rate in the UK and in other European countries.
ParlaMint-GB_2015-01-26-commons.u73	The UK has the fifth lowest unemployment rate in the European Union, and unemployment has fallen by more than in any other G7 economy in the past year. Thanks to welfare reform and our long-term economic plan, businesses are creating jobs and 1.75 million more people are in work than in 2010.
ParlaMint-GB_2015-01-26-commons.u74	Does my right hon. Friend agree that the most recent EUROSTAT figures, which show that employment in the UK is rising at twice the rate of any other European nation, underline the importance of maintaining a benefits system in which people are always better off in work than not in work?
ParlaMint-GB_2015-01-26-commons.u75	Yes, I agree with my right hon. Friend. The reality of what he raises is exemplified by the fact that the Opposition still cleave to the idea that they would copy the French way of doing things in respect of the economy. It is worth reminding them that in France—this is the system that they think is really good—the employment rate is down at 64%, the unemployment rate is 10.3% and the youth unemployment rate is up at 25.4%, which are all massively worse than here in the UK.
ParlaMint-GB_2015-01-26-commons.u76	But it remains the case that youth unemployment here is much higher than in countries such as Germany, Austria and Norway. Does the Secretary of State agree that we will not tackle that until we tackle the scandal of the quality of technical and vocational education in our schools and colleges?
ParlaMint-GB_2015-01-26-commons.u77	I agree with the hon. Gentleman about the need to ensure that much greater emphasis is placed on vocational education in schools, including to get people ready for apprenticeships. The Government have done a huge amount towards that. There are 1 million new apprenticeships. The report that came out when we first arrived said that there had to be a greater emphasis on that. None the less, our youth unemployment rate is remarkable when compared with the average in Europe and, apart from Germany and Holland, is significantly lower than anywhere else.
ParlaMint-GB_2015-01-26-commons.u78	In May 2010, the claimant count in my constituency was 1,702. This month, it is 684. In a European context, will my right hon. Friend help me? Is that fall in unemployment in my constituency due to the increased vibrancy of a diversified rural economy such as mine, or the absence of a plan long terme économique elsewhere?
ParlaMint-GB_2015-01-26-commons.u79	My right hon. Friend puts his finger on it. The reality is that the Government have implemented a long-term economic plan. In that long-term economic plan, welfare reform plays a critical part in ensuring that people are ready and available for work. Our labour market is far more deregulated than that of many other countries in Europe. It is noticeable that today, in the light of the elections in Greece, everyone is talking about austerity, but the big problem in Greece, as in other countries, is that the labour market is so rigid that very few companies want to invest, because there is no flexibility whatever. That is why they come to the UK—this Government have a plan that works to help them to get profitability.
ParlaMint-GB_2015-01-26-commons.u80	Unemployment in the Kettering constituency has halved since May 2010. What does my right hon. Friend think would have happened to the rate of unemployment in Kettering had Her Majesty’s Government followed the economic policies of France, which apparently are a blueprint for Her Majesty’s Opposition?
ParlaMint-GB_2015-01-26-commons.u81	That is the point. Opposition Members do not like it very much, but let us follow that theme for a minute. The Leader of the Opposition extolled the virtues of the alternative to the long-term economic plan—the French plan, which was no economic plan as far as I understand it. We have now seen French unemployment go through the roof, employment rates fall and economic activity stagnate. London is now something like the sixth or seventh-largest French city because so many French people are coming to the UK because—we welcome them—they like to look for jobs.
ParlaMint-GB_2015-01-26-commons.u82	12. What recent estimate he has made of the number of people whose housing benefit has been reduced as a result of the social sector size criteria.
ParlaMint-GB_2015-01-26-commons.u83	17. What recent estimate he has made of the number of people whose housing benefit has been reduced as a result of the social sector size criteria.
ParlaMint-GB_2015-01-26-commons.u84	The latest published figures for August 2014 showed that the number of people affected by the removal of the spare room subsidy has fallen by 75,000. This follows a general downward trend, bringing the number of those affected down from 547,000 in May 2013 to 472,000.
ParlaMint-GB_2015-01-26-commons.u85	In the Wigan borough, 3,386 people have had their housing benefit reduced due to the bedroom tax. Wigan & Leigh Housing estimates that it will take over seven years to re-house those who wish to downsize. Many of those affected have contacted me because, despite working, they are struggling to pay bills and feed their family. What is the Secretary of State’s estimate of the average income of those subject to the bedroom tax?
ParlaMint-GB_2015-01-26-commons.u86	In previous speeches and today, the hon. Lady has talked about the fact that there are just not enough properties in her constituency to enable people to downsize. In fact, I understand that there are 2,700 people subject to the under-occupancy spare room subsidy, but something like 15,000 one and two-bedroom houses in the social sector properties in Wigan. There are many houses—many more than she might have laid out My point to the hon. Lady and the Opposition is that, in their opposition, they need to explain how they will afford it. The policy is saving some £500 million a year. It has already saved £830 million to date. They have no plans for substituting that, which means that their economic record is in tatters. After all, Labour, when in power, was the party that introduced that very policy for those in social sector private rented tenancies.
ParlaMint-GB_2015-01-26-commons.u87	Once in every generation, there is a tax so bad that the next generation looks back and asks, “Why did they do it?” Such was the poll tax, now the bedroom tax. Will the Secretary of State tell us how many victims of domestic violence liable to the bedroom tax have had their sanctuary rooms deemed as spare rooms?
ParlaMint-GB_2015-01-26-commons.u88	The hon. Gentleman knows that that is just another attempt to start scaremongering about the whole idea—[Interruption.] Yes, it is. What has been disgraceful about the Opposition is that they have spent their time scaremongering up and down the country about this issue. He knows very well that local authorities and the police work together, they have discretionary housing payments to deal with that matter at a local level and they can resolve it. More than £380 million has been granted to local authorities for discretionary payments I have looked at what the hon. Gentleman said previously about the number of houses available. He said that some 5,000 people are suffering due to the under-occupancy rules because they had nowhere to move, but I remind him that there are 63,500 one and two-bedroom properties in Birmingham. He yet again mis-states the reality, which is that this has to work. I remind him again that it was his Government who introduced this for the private-rented social sector.
ParlaMint-GB_2015-01-26-commons.u89	The Secretary of State is too complacent. The fact is that when a family pays the bedroom tax, the whole family suffers. The actual number of people affected is much higher than the numbers he quoted, at 750,000. Making families move is unkind, especially when it disrupts children’s education. There are not enough smaller properties, as colleagues have said, and people cannot move. So why did not the Government vote with Labour before Christmas to abolish the bedroom tax?
ParlaMint-GB_2015-01-26-commons.u90	The hon. Lady, like many on the Opposition Benches, is living in cloud cuckoo land. They invent a whole series of issues about this. First, we get these lines about the fact that evictions are up. In fact, evictions are a very small proportion and are down. They say that rent arrears are up, but they are stable and have not risen. They say that homelessness is up, but it is actually down. The reality is that every time the Opposition talk about this subject, they invent these issues. But never once in the whole of the time they were in government—or even now—did they bother to talk about the fact that their policies meant that house building fell to the lowest level since the 1920s and that many people live in overcrowded accommodation, thanks to Labour’s failure, its crashing of the economy and its shocking mismanagement of housing.
ParlaMint-GB_2015-01-26-commons.u91	13. What recent steps he has taken to support young people seeking employment or training.
ParlaMint-GB_2015-01-26-commons.u92	The youth claimant count is at its lowest level since the 1970s and this is due to the action that the Government have taken. Young persons entering a jobcentre will receive tailored support from their work coach and be directed to work experience, sector-based work academies or locally funded support.
ParlaMint-GB_2015-01-26-commons.u93	I am delighted to say that the number of 18 to 24-year-olds in Warwick and Leamington claiming JSA has fallen by 79% since April 2010. However, I recognise that there is still more work to do. Does the Minister agree that schools and businesses can develop strong partnerships, not least in terms of providing work experience? What incentives can the Government provide to encourage those relationships and highlight the benefits that they can offer?
ParlaMint-GB_2015-01-26-commons.u94	My hon. Friend is right—it is about building relationships between businesses and schools, and that is what we have done with some of the biggest businesses. We set up Movement to Work, which created 100,000 work experience schemes. Another scheme, Feeding Britain’s Future, provided another 15,000 work experience places and, in the west midlands alone, there are more than 16,000. Last week, my right hon. Friend the Secretary of State for Education created the new careers support scheme, which is also working with companies, schools and individuals.
ParlaMint-GB_2015-01-26-commons.u95	23. It lifts my heart to see so many more people in employment across Windsor and the country. All hon. Members share the vision of a country in which the circumstances of our birth do not determine where we end up. I commend the Secretary of State on his work on welfare reform, and does the Minister agree that we must continue to push on with those changes so that social mobility in Britain is boosted once again?
ParlaMint-GB_2015-01-26-commons.u96	My hon. Friend is right about social mobility. He is also the living embodiment of it, as he comes from a council estate in south London, son of a single mum with many mouths to feed. He then set up a multi-million pound business and won young entrepreneur of the year from Ernst and Young. The Government have provided support and encouragement, creating the sort of environment in which people like my hon. Friend can develop their businesses and employ other people.
ParlaMint-GB_2015-01-26-commons.u97	15. What plans he has to respond to the recent recommendations of the all-party parliamentary group on hunger and food poverty.
ParlaMint-GB_2015-01-26-commons.u98	The report is a serious contribution to an important debate, which recognises that the reasons behind the demand for emergency food assistance are complex and overlapping. I have already responded and will continue to review the recommendations and engage with the inquiry as it takes its proposals forward. That is an undertaking I gave at the last Question Time. My Department has already agreed to do more to raise awareness of short-term benefit advances, including advertising in jobcentres so that everyone can see it.
ParlaMint-GB_2015-01-26-commons.u99	The report showed that about a quarter of a million people last year used food banks because of benefit sanctions. I have a constituent who showed me evidence that he applied for hundreds of jobs, but, because he applied for one by handing in a CV in person rather than through the website, he was sanctioned for three months without money. Does the Secretary of State agree that that is completely outrageous?
