ParlaMint-GB_2015-02-12-commons.u1	Object Bill to be considered on Thursday 26 February.
ParlaMint-GB_2015-02-12-commons.u16	As we know, we are going to have increasing demand for engineers nationally over the next few decades, and this will be no more acute than in Basildon and Thurrock. Will my hon. Friend therefore work with me to explore the possibility of establishing a university technical college in Basildon to meet our local needs and to encourage and enthuse young people to look at engineering as a valued career?
ParlaMint-GB_2015-02-12-commons.u17	I would be delighted to do that. I know my hon. Friend has been leading the process of trying to set up a UTC in his constituency. I urge him to make contact with the excellent Baker Dearing Educational Trust, which developed the concept of the UTC and will provide invaluable advice on how to make sure that my hon. Friend submits a successful bid.
ParlaMint-GB_2015-02-12-commons.u18	The Minister will know that the largest manufacturing industry in the country is food and drink, and that it has one of the biggest export potentials. Will he recognise that engineering disciplines that are ancillary to that industry also have enormous potential, whether it be agricultural engineering, food processing, food storage requirements or food transport? Will he look at technical education from the point of view of where the export potential is, particularly in the developing world?
ParlaMint-GB_2015-02-12-commons.u19	Minister Nicholas Edward Coleridge Boles.
ParlaMint-GB_2015-02-12-commons.u20	Mr Speaker, thank you! You have slightly thrown me off my course I welcome what my hon. Friend has said, and I hope that he welcomes the announcement made by my right hon. Friend the Chancellor when launching our long-term economic plan for the south-west, in which he encouraged a proposal to come forward for a university technical college specifically focused on agriculture and related industries. I hope that my hon. Friend will be involved in promoting that.
ParlaMint-GB_2015-02-12-commons.u21	I apologise to the Minister, the full munificence of whose name I was simply seeking to capture for the edification of the House.
ParlaMint-GB_2015-02-12-commons.u22	This year, China will produce something like 2 million graduates in engineering and engineering-related subjects. Engineering firms in my constituency tell me how difficult it is to recruit engineers, particularly female ones, and that when they train them up, they often lose them to larger firms. What can the Minister do to make sure we have a better join-up between business requirements and education so that engineers stay in this country and produce for our economy?
ParlaMint-GB_2015-02-12-commons.u23	My hon. Friend is absolutely right about the desperate need for more engineers, but we have been making good progress. Since 2010, the number of people starting an engineering-related apprenticeship has gone up by 52%, and since 2013 the number of people starting an engineering degree has risen by 6.5 %. If we can get a better supply coming through the pipe, companies will be less inclined to poach from each other and will actually invest in developing the talent themselves through an apprenticeship.
ParlaMint-GB_2015-02-12-commons.u24	4. What steps he plans to take to safeguard the universal service obligation for the delivery of mail.
ParlaMint-GB_2015-02-12-commons.u25	The universal service obligation is not an optional extra—it is a fundamental duty enshrined in law and only Parliament could change that. In addition, it is the responsibility of the postal regulator, Ofcom, to ensure services are available throughout the UK at an affordable and uniform price, six days a week.
ParlaMint-GB_2015-02-12-commons.u26	I thank the Minister for that reply, but is it not time that we looked at how Ofcom carries out its remit, possibly through a judicial review of that remit? Ofcom has been dragged reluctantly to review the actions of the cherry-pickers such as Whistl, which wants to pick mail up in the 8% of the UK’s geographical area that covers 42% of the mail thereby undermining the ability of Royal Mail to deliver, yet Ofcom attacked the standard of wages and conditions of the Royal Mail workers rather than deal with the problem of cherry-picking of the universal service obligation, which could be irrecoverably damaged.
ParlaMint-GB_2015-02-12-commons.u27	There is agreement on both sides about the importance of the universal service obligation, and I do not think there is any evidence that the regulator is failing to fulfil its duty. It looked in detail at the case the Royal Mail put forward last summer and concluded that the market is operating as it should at the moment. It is committed to a further review later this year, and is also looking at the issue of access pricing. These issues are continually under consideration because the USO is so important.
ParlaMint-GB_2015-02-12-commons.u28	I am disappointed that you did not tell the House the middle names of this Minister, Mr Speaker, but perhaps we can look forward to that later. It is nearly 18 months since the botched privatisation of Royal Mail. There are reports almost weekly of its being under pressure from the impact of Amazon’s increased use of its own delivery network, and from rivals which are cherry-picking the most profitable services. As the Minister has just said, Ofcom recently concluded that other firms did not have to match Royal Mail’s costly standards in the delivery of the universal service obligation. Given that Labour warned time and again that privatisation would ultimately threaten the USO, and given that the National Federation of SubPostmasters called it a “reckless gamble”, will the Minister look again at the USO, and give a cast-iron guarantee that it will be secure under this Government?
ParlaMint-GB_2015-02-12-commons.u29	This Government have already given that cast-iron guarantee by legislating for it in the Postal Services Act 2011. Parliament has set it very firmly in stone. Unless the hon. Gentleman thinks that any future Labour Government would be minded to change the position, I hope that Members on both sides of the House can feel confident that the universal service obligation is secure As I said earlier, Ofcom, the regulator, has significant powers to obtain information from other operators in the market. It monitors operators’ plans regularly, and looks at the information every month. Operators must also inform the regulator of their future plans. That will remain under review, and a formal review will take place later this year. I think that what I have said should reassure the House that the universal service obligation is here to stay.
ParlaMint-GB_2015-02-12-commons.u30	Will the Minister help me by explaining why postal collections that used to take place at 4 pm now take place at 9 am?
ParlaMint-GB_2015-02-12-commons.u31	That is obviously a slightly different issue from the USO, but I can tell the hon. Gentleman that Royal Mail has reviewed the time of collections from post boxes in which fewer than 50 items of mail were being deposited each day, as part of an overall review of its service. In a positive move which I think Members should welcome, it has maintained all those collection points rather than decommissioning some of them, although collections will be less frequent. It has also ensured that there will be an alternative posting point within half a mile of post boxes from which there are fewer collections or an earlier final collection, from which mail will be collected later.
ParlaMint-GB_2015-02-12-commons.u32	5. If he will take steps to increase apprenticeship places and support small businesses through greater use of Government procurement.
ParlaMint-GB_2015-02-12-commons.u33	Under the industrial strategy, we encourage a long-term approach to procurement, including apprenticeships and other forms of training.
ParlaMint-GB_2015-02-12-commons.u34	May I point out, with respect, that the Labour Government used spending on public procurement to boost apprenticeship opportunities, especially in the case of big projects such as Crossrail and the London Olympics? Given that the European Union procurement rules do not prevent that, will the Secretary of State explain why Ministers are not supporting Labour’s plans to use public procurement to create new apprenticeship opportunities?
ParlaMint-GB_2015-02-12-commons.u35	I remind the hon. Gentleman that under the last Government the numbers of apprenticeship starts was half the number that we have seen in the current Parliament, and that these are also significantly longer and higher-level apprenticeships. As for procurement, if companies can build in apprenticeships—which we encourage them to do—that is of course desirable, but it is a very crude mechanism which adds to the barriers facing small business and the cost to the Government. The experience of trying to build conditionality into section 106 agreements suggests that many companies regard the process as token, and do not invest in sustainable apprenticeships.
ParlaMint-GB_2015-02-12-commons.u36	I recently visited Mathias & Sons, a work clothing manufacturer in my constituency. It is hoping to secure the contract to provide clothing for workers at the Hinkley Point C development. What can the Government do to ensure that important small businesses like that obtain contracts for such huge developments?
ParlaMint-GB_2015-02-12-commons.u37	I believe that congratulations are due to the hon. Lady, who has become engaged—perhaps this morning, but certainly recently As for procurement and Hinkley Point, the leading contractors have committed themselves to a substantial UK content, and we hope that that extends to apprenticeships. We are endeavouring to frame the pre-qualification questionnaires in such as way that apprenticeship training is encouraged in UK procurement.
ParlaMint-GB_2015-02-12-commons.u38	Big projects such as Crossrail and HS2 are UK-wide. What steps are the Government taking to ensure that businesses throughout the UK, including small businesses, have an opportunity to benefit from the procurement and Government spending that is associated with that type of work?
ParlaMint-GB_2015-02-12-commons.u39	I gather that senior politicians, including me, have been queuing to go down into Crossrail to admire its progress. One of Crossrail’s key achievements is to substantially advance apprenticeships and, above all, UK content; there is a wide distribution throughout the UK. If we can replicate the experience of Crossrail with other big infrastructure projects, that would be an admirable step forward Student Loans
ParlaMint-GB_2015-02-12-commons.u40	6. What assessment he has made of the sustainability of the student loan system.
ParlaMint-GB_2015-02-12-commons.u41	More students entered university this year than ever before in our history, with the biggest rise coming from the poorest areas. Universities will see their teaching resources grow from around £8 billion in 2011 to around £10 billion next year. Graduates are earning 40% more than non-graduates. The taxpayer gets £300,000 extra in tax receipts alone over the average graduate’s career. All this is why the OECD said last month: “England has got it right on paying for higher education. Among all available approaches, the UK offers still the most…sustainable approach to university finance.”
ParlaMint-GB_2015-02-12-commons.u42	In a recent parliamentary debate, the Minister’s predecessor, the right hon. Member for Havant (Mr Willetts), who I am delighted to see in his place, said that the system needed some tweaking. The public need to know what tweaking the Government have in mind. If the Conservatives are in power after the election—[Interruption.] I know it is unlikely but if that is the case will the Minister guarantee that there will be no increase in the fee cap, no decrease in the loan repayment threshold and no change in the interest rate on loans?
ParlaMint-GB_2015-02-12-commons.u43	Our universities need to benefit from the confidence and stability that our reforms have introduced. I am perfectly happy with all the arrangements that we have. The uncertainty comes from the Labour party’s proposals, about which the university vice-chancellors are deeply concerned. They said that they would mean “cuts to universities that would damage the economy, affect the quality of students’ education, and set back work on widening access to higher education” At a time when confidence is needed, the Labour party is proposing chaos.
ParlaMint-GB_2015-02-12-commons.u44	Actually, the UCAS figures published recently show that there are 7,000 fewer British applicants to our universities than there were in 2011. Figures from the Library show that we are wasting and writing off £1 in every £2 that we invest in the higher education system, and our students will not pay back their debts until they are in their 50s. We are educating fewer of our young people and we are wasting more of our money The Chancellor forecast that there would be 60,000 extra students this year, yet the UCAS data show that there are only 12,000 extra applicants for this September. Does the Minister want to explain to the House why, if his system is so good, he has just missed his growth target by an incredible 80%?
ParlaMint-GB_2015-02-12-commons.u45	That is total nonsense. We have more students than ever before in this country. We have been able to take the cap off the number of students able to go to university, a historic decision that implements the recommendation of the Robins report of over 50 years ago. In terms of putting people off going to university, the big concern of the vice-chancellors is that the Labour party’s proposals would specifically damage the prospects of poorer students and risk the quality of education for all. It is time that the right hon. Gentleman, who has failed to come up with a policy for all this time, said, weeks before the election, what Labour’s policy on higher education is.
ParlaMint-GB_2015-02-12-commons.u46	7. If he will review the use by banks of the enterprise finance guarantee scheme.
ParlaMint-GB_2015-02-12-commons.u47	The enterprise finance guarantee is an important part of our support for viable businesses looking to get access to finance where they do not have sufficient collateral or a track record. We regularly review its performance and have found that by increasing access to finance it helps jobs and growth.
ParlaMint-GB_2015-02-12-commons.u48	For over a year, I have written and tabled parliamentary questions asking for a review of the scheme. On 14 January, the Secretary of State met RBS. On 15 January, RBS announced a review of its scheme. Given that it controls about 40% of the enterprise finance guarantee scheme, that it is calling for a review and is looking at the matter internally, is it not about time that the Minister did that himself?
ParlaMint-GB_2015-02-12-commons.u49	We constantly review the scheme to ensure that we get the best possible deal. The majority of the enterprise finance guarantee goes through other banks, which, as far as we know, are performing impeccably. On the RBS aspect, we have met RBS to discuss that. It is reviewing the matter, and we will make sure that it works in the future. The big picture is that the scheme is working well and helping small firms to access finance.
ParlaMint-GB_2015-02-12-commons.u50	Following a year of my right hon. Friend the Member for Delyn (Mr Hanson) raising this issue, RBS has admitted that there has been mis-selling of the EFG scheme Rebuilding confidence in our banking sector will be one of the key tasks facing the next Labour Government. From interest rate swaps to tax evasion and now mis-selling of EFG loans, the Government have been slow to act and slow to investigate whether there are problems. Does the Minister now accept that only through investigating and repairing mis-selling in Britain’s high street banks will confidence in the sector return?
ParlaMint-GB_2015-02-12-commons.u51	The hon. Gentleman has a bit of a cheek, because the investigation required, and the sorting out of confidence in banks, was an enormous issue that we had to take on in 2010. We have regulated and passed legislation throughout this Parliament to ensure that there is more confidence in the banking industry. Of course, there is more to do, but considering how far we have come over the last five years, the hon. Gentleman ought to be saying we have done a good job and be helping us to do that.
ParlaMint-GB_2015-02-12-commons.u52	9. What steps he is taking to promote investment in innovation in the manufacturing sector.
ParlaMint-GB_2015-02-12-commons.u53	The regional growth fund provides support to key industries in England, creating and safeguarding jobs. I am pleased to announce today that regional growth fund support over the next two years will be expanded by nearly £300 million, including more than 60 new schemes. Some 90% of the funding announced today will go to projects and programmes in the manufacturing sector, helping companies to expand, develop new products and new markets and create long-term skilled jobs.
ParlaMint-GB_2015-02-12-commons.u54	Mr Barry Sheerman.
ParlaMint-GB_2015-02-12-commons.u55	You do not want to mention, Mr Speaker, that my second name is John, and when I was a young councillor with my first seat in Wales I went around with my full name of Barry John. May I say to the Minister, “Not bad, but not good enough”? Why can we not have up front, “Manufacturing, manufacturing, manufacturing”? We need a commitment to that across the parties in this House. We have just launched a cross-party manufacturing commission. Will the Minister support it, will he do something about it, and will he come tonight to the Institution of Mechanical Engineers’ manufacturing conference and hear me speak?
ParlaMint-GB_2015-02-12-commons.u56	Tempting though that invitation is, I am not sure I will be hearing the hon. Gentleman speak, although I enjoy his contributions in this House. Manufacturing has been enjoying a stunning revival during the last few years, and it is supported by the investments made through the local growth fund and the regional growth fund. Some £1.1 billion of funding has been put into manufacturing. Is there further to go? Of course, but this Government’s strategy is clear: by reviving the sectors in which we have strengths that are famous around the world, we can build the prosperity that will provide the security for our country for many years to come.
ParlaMint-GB_2015-02-12-commons.u57	Will the Minister confirm that when we talk about “tech” we mean not just the software, but the hardware as well, and that there are enormous prospects for British manufacturing, especially supported through the RGF, to be world leaders in the high-tech industries of the future?
ParlaMint-GB_2015-02-12-commons.u58	My right hon. Friend is absolutely right. He and I had the privilege to be at the Royal Society last night, where awards were presented for some of the key figures who are translating some of our most brilliant ideas into practice, especially in advanced manufacturing. Across all the sectors there is confidence that the prospects for this country are better than ever. That is a tribute in large part to the work that my right hon. Friend did in office.
ParlaMint-GB_2015-02-12-commons.u59	The steel unions, supported by steel employers, launched a “Stand Up for Steel” campaign after the debate in this Chamber on the future of the steel industry. With there still being uncertainty about the future of Tata long products, what are the Government doing to stand up for steel, a crucial part of our manufacturing industry that is famous for its innovation and crucial to the future success of this country?
ParlaMint-GB_2015-02-12-commons.u60	Anyone who was born on Teesside cannot fail to be aware of the importance of the steel industry. It is an important part of our industrial base, and this Government have made significant strides in supporting it. For example, we have reduced the energy costs that would otherwise have been incurred. The hon. Gentleman will know that my right hon. and hon. Friends have regular discussions with representatives of the steel industry and will continue to support it.
ParlaMint-GB_2015-02-12-commons.u61	The hon. Member for Somerton and Frome (Mr Heath) rightly said that the food and drink manufacturing sector was the largest manufacturing sector in this country. It employs 400,000 people and invests £1 billion in innovation. There is also huge opportunity for further growth through innovation, but the Food and Drink Federation’s calls for a food and drink manufacturing council, with collaboration between the industry and the Government to foster innovation, have fallen on deaf ears. The phrase “food and drink manufacturing” is not even mentioned in the Government’s agri-tech strategy. Why have the Government chosen to ignore this innovative and high-potential manufacturing sector, and how will the Minister make amends?
ParlaMint-GB_2015-02-12-commons.u62	We have not ignored it. In fact, I had the privilege of attending the Agri-Tech Leadership Council, which involved many of our key players across the food and drink industry and my colleague, the Under-Secretary of State for Business, Innovation and Skills, my hon. Friend the Member for Mid Norfolk (George Freeman) and the Minister in the Department for Environment, Food and Rural Affairs, Lord de Mauley. We met representatives of the industry precisely to plan and implement the strategy that the sector wants to put forward.
ParlaMint-GB_2015-02-12-commons.u63	10. What recent assessment he has made of the availability of finance for small firms and the level of lending by banks to small businesses.
ParlaMint-GB_2015-02-12-commons.u64	Gross lending by the banks to small and medium- sized businesses has increased by 25% over the last year, and recent net lending figures have been positive. This week, my right hon. Friend the Prime Minister announced Help to Grow, to boost scale-up finance, building on the success of our start-up loans.
ParlaMint-GB_2015-02-12-commons.u65	Fine words, but how does the Minister reconcile that with the Bank of England’s money and credit statistics, which say that lending to small businesses has fallen in the last quarter by £1 billion? Too many schemes and not enough action.
ParlaMint-GB_2015-02-12-commons.u66	On the contrary, the gross lending is up sharply—around a quarter over the past year—and there are also greater repayments as businesses that are becoming stronger are able to pay down some of their debts. That means that the net figure has been increasing in recent months. We need to look through the individual figures and see the bigger picture of the expansion. However, there is of course much more to do to recover from the banking crash that occurred in 2008.
ParlaMint-GB_2015-02-12-commons.u67	What progress are the Government making to bring justice and recompense to the thousands of small businesses that were mis-sold—and perhaps still are being mis-sold—interest rate swap agreements?
ParlaMint-GB_2015-02-12-commons.u68	I know about this issue very well, not only in a ministerial capacity but because Mr Ian Parker is one of the main advocates for a solution to this, and he is a constituent of mine. It is important to get to the bottom of this issue, but it is complicated. There is work going on across the Financial Conduct Authority and the Treasury, as well as the Department for Business, Innovation and Skills, to ensure that we get to the bottom of it and that people get appropriate recompense.
ParlaMint-GB_2015-02-12-commons.u69	11. What recent assessment he has made of the contribution of the UK’s EU membership to businesses and the UK economy.
ParlaMint-GB_2015-02-12-commons.u70	The European single market gives British firms access to 500 million consumers and, as our largest trading partner, is responsible for almost half of this country’s exports. A wide range of economic studies demonstrate the benefits to the UK economy from EU membership.
ParlaMint-GB_2015-02-12-commons.u71	It is my strongly held view that a UK exit from the European Union would be bad for British jobs, bad for British exports and bad for the British people. When did the Secretary of State last speak to the Prime Minister about the so-called negotiations with other European leaders about EU reform? Does he know what the deal-breaker is for the Prime Minister that would lead to the Prime Minister campaigning against our continued membership of the European Union?
ParlaMint-GB_2015-02-12-commons.u72	The Prime Minister and I discuss this frequently, and we agree that there needs to be significant reforms and improvements in the European single market, particularly moving on to a digital single market. The hon. Lady is quite right to say that our exit would be massively disruptive, and a lot of actual and potential foreign investors in this country are making it absolutely clear that they are alarmed by that possibility, should there be a change of Government.
ParlaMint-GB_2015-02-12-commons.u73	Can the Secretary of State tell us: how much this country has handed over in membership fees alone to the European Union since it became a member of the Common Market; what our cumulative trade deficit has been since we joined the Common Market; what our trade deficit was last year with the European Union; in how many years we have had a trade surplus with the EU since we joined the Common Market; what proportion of the world economy the EU made up when we joined the Common Market; and what proportion of the world economy the EU is today?
ParlaMint-GB_2015-02-12-commons.u74	That sounds like a request for an essay. It needs to be an extremely pithy one.
ParlaMint-GB_2015-02-12-commons.u75	I will do my best to answer the second, third and fourth of the hon. Gentleman’s six questions, which related to the trade deficit. Clearly, if we look at the trade deficit in terms of services as well as goods, and if we look at capital flows, including inward investment, the position is a very positive one. I do have to record—I am sure he is aware of this—the extreme alarm now being expressed in business circles about the possibility of a Conservative Government, creating a great deal of uncertainty in this area. There is uncertainty about a prolonged hiatus as the conditions which he is seeking have to be negotiated and uncertainty as to the different forms of exit, be it the Norwegian, Swiss or Turkish model. He will have to reflect with his colleagues on the damage now being done by that uncertainty.
ParlaMint-GB_2015-02-12-commons.u76	I note that the Secretary of State did not answer any of the questions asked by my hon. Friend the Member for Shipley (Philip Davies), because he is embarrassed by the answers he would have to give the House. It is my strongly held view that Britain would be better off out of the European Union, because we would be able to control our immigration and save the £10 billion a year membership fee. Given that we do have a massive and growing trade deficit with Europe—those countries sell us more than we sell them—is it not a complete myth that trade with Europe would stop were we to leave the EU?
ParlaMint-GB_2015-02-12-commons.u77	Of course it entirely depends what the alternative arrangements are, and I have never been terribly clear what those people who want to leave are actually seeking. If we had a Norwegian solution, we would still have the immigration movements. If we had a Swiss agreement, there would be a substantial degree of integration. I think that what many Members who want to leave the EU are asking for is an arrangement such as that prevailing with Turkey, under which there is minimal commitment to a single market but very few of the benefits of membership.
ParlaMint-GB_2015-02-12-commons.u78	12. What recent discussions he has had with the Secretary of State for Transport on the location of the UK’s first space port.
ParlaMint-GB_2015-02-12-commons.u79	I met Transport and Defence Ministers yesterday to discuss progress on delivering the UK’s first space port. They are both part of the cross-governmental team taking forward the national space flight agenda. The Government have undertaken a public consultation on the eight potential locations, including Machrihanish in the hon. Gentleman’s constituency, and the criteria that will be used to select the location of a UK space port. Our response to that consultation will be published shortly.
ParlaMint-GB_2015-02-12-commons.u80	I thank the Minister for that answer. A space port would be a great boost to the British economy. Machrihanish, with its 3 km runway and all the facilities of a Royal Air Force base, and being far from densely populated areas, is obviously the clear choice for the space port. I urge the Government to go on to the next phase of the decision-making process quickly and choose Machrihanish as soon as possible.
ParlaMint-GB_2015-02-12-commons.u81	I assure my hon. Friend that we will be taking the first part of his advice and proceeding quickly, but it would be wrong to pre-empt the outcome of that consultation and to nominate Machrihanish from the Dispatch Box today.
ParlaMint-GB_2015-02-12-commons.u82	I call Jesse Norman. He is not here—[Interruption.] Indeed—the exhortation from the hon. Member for Broadland (Mr Simpson) was, “Take his name, sergeant major.”
ParlaMint-GB_2015-02-12-commons.u83	14. What the Government’s policy is on the creation of the digital single market; and if he will make a statement.
ParlaMint-GB_2015-02-12-commons.u84	In homage to the elaborate nomenclature of the Minister for Skills and Equalities, which you have revealed this morning, Mr Speaker, let me quote our greatest romantic poet: “Nothing is so contagious as enthusiasm.” I can tell you, Mr Speaker, that our non-paper on the digital single market, which contains an enthusiastic vision for a digital single market, has gone down an absolute storm in Europe, partly because it is online, with interactive graphics.
ParlaMint-GB_2015-02-12-commons.u85	I welcome the progress we are making on creating a digital single market—and indeed the interactive graphics. Is the Minister aware that the business models of some of our most successful industries, particularly those in the audiovisual sector and sports rights, depend on territorial licensing? Will he confirm that the Government’s policy is to continue to support their right to do that?
ParlaMint-GB_2015-02-12-commons.u86	Let me say that “common sense in an uncommon degree is what the world calls wisdom.” That is Coleridge as well, but nobody understood. My hon. Friend has displayed immense common sense in pointing out that it is important that we stand up for the intellectual property rights of our very successful creative industries. It has to be said as well that we should be mindful of what the consumer now wants, which is to access content in a fair and reasonable way wherever they are based. So we need to work with industry and the consumer to achieve a happy result.
ParlaMint-GB_2015-02-12-commons.u87	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-02-12-commons.u88	My Department plays a key role in supporting the rebalancing of the economy through business to deliver growth while increasing skills and learning.
ParlaMint-GB_2015-02-12-commons.u89	The National Union of Rail, Maritime and Transport Workers recently reported that, due to the fall in oil prices, the terms and conditions of people employed in the oil industry have been reduced. Is the Minister aware of that and what steps is he taking to address that exploitation?
ParlaMint-GB_2015-02-12-commons.u90	The fall in the oil price has had a direct impact on those employed in the industry both in Aberdeen and across the whole country, and there is no doubt that it will continue to have an impact. Nevertheless, the safeguarding of jobs, in some cases with reductions of pay, is an important part of the response and we are working closely with the industry and other stakeholders to try to ensure that we get through these difficult times.
ParlaMint-GB_2015-02-12-commons.u91	T2. Further to the reply that my hon. Friend the Minister for Culture and the Digital Economy gave a moment ago, can he confirm that the Government’s position remains as set out in the response to the consultation on the review of EU copyright law—that any changes should be based on hard evidence? Perhaps I might ask him a second time to be a little clearer—just so that we can be absolutely certain that everyone is aware—that the Government support the right of territorial licensing, as the Prime Minister’s special adviser set out to the creative industries yesterday.
ParlaMint-GB_2015-02-12-commons.u92	Yes, that is the case. I should make it absolutely clear that the non-paper that we have submitted to the European Commission represents a vision for the digital single market. It is our firm belief that consumers should be able to access content in a fair and reasonable way wherever they are, but we do support the right of industries with internet protocol to sell territorial licensing.
ParlaMint-GB_2015-02-12-commons.u93	Following their “Maoist and chaotic” abolition of regional development agencies—the Business Secretary’s words not mine—the Government’s flagship regional growth policy this Parliament has been the regional growth fund, which was mentioned earlier. This might be our last Business, Innovations and Skills questions this Parliament, so can the Secretary of State tell me what percentage of those RGF moneys, announced to great fanfare, have actually made it to, and been drawn down by, the businesses concerned?
ParlaMint-GB_2015-02-12-commons.u94	I am going off later today to talk about the regional growth fund and its latest successes. Most companies that have received RGF awards are highly appreciative of them. The awards have been highly successful in attracting private investment, which might not otherwise have occurred, and a substantial amount of employment. Of course a significant percentage does not go through immediately because of due diligence. Many of the awards are not completed because the projects proceed anyway or are withdrawn, and that is a consequence of the very careful and prudential way in which we manage money under the regional growth fund.
ParlaMint-GB_2015-02-12-commons.u95	The fact is that hundreds of millions of pounds of RGF moneys are gathering dust and are nowhere to be seen by many of the businesses that they promised to help. The local enterprise partnerships that were put in place to do the job of the RDAs were left without appropriate budgets or powers, and the local enterprise zones, which we were told would create 54,000 jobs, have so far created less than a quarter of that sum. There has been a lot of grand talk from these Ministers on their plans to rebalance the economy, but as this Parliament comes to an end—never mind the chaos that the Secretary of State talked about—are not the words that best sum up delivery of schemes to boost regional growth, “utter incompetence”?
ParlaMint-GB_2015-02-12-commons.u96	If the shadow Secretary of State is so critical of the regional growth fund, is he proposing to abolish it? I suspect not. The reason why some money is not spent is that tests of due diligence have not been satisfied. I am sure that he will acknowledge the fact that, under the regional growth fund, public money is spent a lot more efficiently and effectively in drawing in private investment than ever happened under the regional development agencies, which were wasteful and ineffective.
ParlaMint-GB_2015-02-12-commons.u97	T3. Many people say that LEPs have been a huge improvement on the regional development agencies, but some small businesses that I talk to in Bristol are concerned that their priorities are not always reflected in local growth funds. Will the Minister work with his colleagues to ensure that the priorities of small businesses are reflected in LEPs, and that LEPs are not unduly influenced by major business interests
ParlaMint-GB_2015-02-12-commons.u98	It is very important that businesses have a strong voice in the leadership of the local economy. That is what they are achieving through LEPs and it has been one reason why more than 2 million new private sector jobs have been created during this period. My hon. Friend has been an active campaigner for projects in her local area with some success, and I know that she will continue to influence the business and the local authority participants in her LEP.
ParlaMint-GB_2015-02-12-commons.u99	T4. The Government have a target, signed off at the highest level, I believe, of achieving £1 trillion of exports by 2020, doubling the current figure in five years. When asked at the Business, Innovation and Skills Committee, a UK Trade & Investment representative described it as an “energising aspiration”. Is it an energising aspiration or is it a realistic, achievable target?
