ParlaMint-GB_2017-11-21-commons.u1	I call Mr Chris Bryant. Not here.
ParlaMint-GB_2017-11-21-commons.u19	I have made repeated representations, as the hon. Lady can imagine, to the Government of Burma, and particularly to Aung San Suu Kyi—I have now spoken to her three times—to urge the return of the refugees. We secured the first UN Security Council statement on Burma in a decade, and I know that is a subject in which you take a particular interest, Mr Speaker. Burma must heed these calls from the international community and take the necessary steps that we have set out.
ParlaMint-GB_2017-11-21-commons.u20	Three months on from the start of the current crisis, we all continue to be shocked and horrified by the tragic stories of the plight of the Rohingya people fleeing to Bangladesh and by the scale of the crisis. EU member states, as well as the US Congress, are reportedly considering reimposing some sanctions against Myanmar’s leaders. What discussions have Ministers had on that with EU member states, and what will be the Government’s position?
ParlaMint-GB_2017-11-21-commons.u21	I have indeed raised this already, as the hon. Lady can imagine, with our European friends and partners. At the Foreign Affairs Council on 16 October we got agreement around the table that we will suspend Burmese military visits and review all defence co-operation. We got a further agreement to consider additional measures if the situation does not improve, and we will indeed now be doing so.
ParlaMint-GB_2017-11-21-commons.u22	16. The UN has made it clear that Muslims in Rakhine state should receive a legal status that allows them to lead a normal life and, in time, be granted full nationality, with freedom of movement and access to labour markets, education and health services. Will my right hon. Friend continue to press those demands through the United Nations and directly with the Burmese authorities?
ParlaMint-GB_2017-11-21-commons.u23	My hon. Friend is absolutely right that that is critical. If those 608,000 people are to have any confidence about the prospect of their return, they must have clarity about their citizenship and their treatment when they come back to Burma and Rakhine. That is why the Annan plan makes it absolutely clear that there must be citizenship rights and investment in the development of equal treatment for all of Rakhine’s ethnic groups.
ParlaMint-GB_2017-11-21-commons.u24	21. This morning Amnesty International released a report highlighting repression of and rights violations against the Rohingya people every single day. Amnesty compares Myanmar to an open-air prison. Can the Minister tell us whether the Government will support sanctions against Myanmar? What discussions has he had about that with other member states?
ParlaMint-GB_2017-11-21-commons.u25	In answer to the hon. Member for Newport East (Jessica Morden), I detailed what we have been doing with our EU friends and partners. We have secured agreement to suspend military visits, and we will review matters with our friends and partners as things develop.
ParlaMint-GB_2017-11-21-commons.u26	I would have called the hon. Member for Cheadle (Mary Robinson) if she had been standing, but she was not, so I did not, but now she is, so I will.
ParlaMint-GB_2017-11-21-commons.u27	17. Thank you, Mr Speaker. Since the outbreak of the recent shocking violence in Rakhine more than 600,000 Rohingya refugees have crossed the border into neighbouring Bangladesh, where there is an urgent need for additional land for shelters to provide life-saving services and aid. In the light of the desperate situation, what support are the Government offering to the Bangladeshi Government so that refugees can have access to the basic essentials of existence, such as clean water, medicine and shelter?
ParlaMint-GB_2017-11-21-commons.u28	My hon. Friend is entirely right. The UK is one of the biggest participants, having been either the biggest or second biggest donor to the humanitarian crisis in Bangladesh. We should all congratulate the Government of Bangladesh on the forbearance and energy they have put into coping with this appalling crisis. The UK is contributing £47 million, which has helped to provide for 174,000 people. We have provided safe water and sanitation for more than 138,000, and emergency shelter for 130,000; we have provided aid, counselling and psychological support that will reach more than 10,000 women suffering from trauma and 2,000 survivors of sexual violence; and we have provided medical help for more than 50,000 pregnant women to give birth safely. That is a record of help and support for the crisis of which the whole House can be proud.
ParlaMint-GB_2017-11-21-commons.u29	There has been potent evidence of the fact that ethnic cleansing and genocide is taking place in Burma, so what actions or steps have our Government, with the United Nations, taken to bring about prosecution in the international courts of the Buddhist monks and the generals for carrying out ethnic cleansing?
ParlaMint-GB_2017-11-21-commons.u30	I agree very much with the hon. Lady that, unless the refugees are allowed to return, this crisis —this purge—will indeed satisfy the definition of ethnic cleansing. As for genocide, I am afraid we have recently received evidence of a very troubling kind, and we will make sure that such testimony of what has been taking place is collated and used so that the proper judicial authorities can determine whether it answers to the definition of genocide. As she will know, genocide is a strict legal term, and we hesitate to deploy it without a proper judicial decision.
ParlaMint-GB_2017-11-21-commons.u31	The Burmese military have produced an absurd report claiming that not a single innocent life has been lost and that they have not been involved in any violence against the Rohingya. Does my right hon. Friend agree that no whitewash report will cover up all the mounting evidence of the atrocities carried out against the Rohingya?
ParlaMint-GB_2017-11-21-commons.u32	I absolutely agree with my hon. Friend that it is vital that the Burmese Government acknowledge the scale of what is happening and the horror with which events are being greeted around the world. For many years, the world has looked to Aung San Suu Kyi as a great moral leader. We still salute her for her struggle for democracy in the face of the generals, but it is vital now that she stands up to condemn what is happening and brings the nation together. I am sorry to say that so far the Burmese Government have failed to do that.
ParlaMint-GB_2017-11-21-commons.u33	4. What assessment he has made of the obstacles to the implementation of the Colombian peace process.
ParlaMint-GB_2017-11-21-commons.u34	Significant progress has been made since the signing of Colombia’s historic peace agreement last November—the FARC has disarmed and is now a political party; and a temporary ceasefire has been negotiated with the National Liberation Army—but difficult challenges remain and it is vital that momentum continues, especially as the country prepares for elections next year.
ParlaMint-GB_2017-11-21-commons.u35	In the light of the current crisis in the implementation of the Colombian peace agreement, including the killings of former FARC combatants and social leaders, the changes to the special jurisdiction for peace and the lack of re-integration opportunities, will the Minister make urgent representations to the Colombian Government about their international obligations to implement the agreement as it was signed?
ParlaMint-GB_2017-11-21-commons.u36	We fully support the Colombian Government in doing their utmost to implement the agreement as was signed. We are concerned by increasing attacks on human rights defenders, which are interrupting the passage towards a lasting peace, but we are in no doubt that responsibility for the majority of such attacks lies with illegal armed groups.
ParlaMint-GB_2017-11-21-commons.u37	Does my right hon. Friend agree with the current and former Presidents of Colombia, Juan Manuel Santos and César Gaviria, that the continuing failed global policy of prohibition of drugs and the creation and sustaining of vast criminal enterprises serves to undermine the peace, stability and institutions of Colombia and its neighbours? Will the Government work to move towards an evidence-based policy response?
ParlaMint-GB_2017-11-21-commons.u38	My hon. Friend is absolutely right to point to the fact that drug smuggling and trading is becoming a main threat to the implementation of the peace agreement. I am reassured that the Colombian Government are investigating the deaths of several individuals who protested against coca eradication in Tumaco on 5 October.
ParlaMint-GB_2017-11-21-commons.u39	Will the Minister see what he can do to drive concerted European action to bring supportive pressure to bear on President Santos? The President’s legacy could be an implemented peace deal, but at the moment the legislative process to underpin the peace process simply is not there. We must have action in the last six months of his term.
ParlaMint-GB_2017-11-21-commons.u40	We are actively supporting the Colombian Government. We have provided almost £20 million from the conflict, stability and security fund. I am also proud that UK-led work has led to the UN Security Council resolutions to assist the peace-building process that we all want to see succeed.
ParlaMint-GB_2017-11-21-commons.u41	5. What steps he is taking to support a long-term political solution in Yemen.
ParlaMint-GB_2017-11-21-commons.u42	Only a political solution will bring the long-term stability that Yemen needs. Yemeni parties themselves must engage constructively with peace opportunities when they come along. The United Kingdom is playing a leading part diplomatically, at the UN and elsewhere, to try to bring other parties together so that we can see the political solution that is needed.
ParlaMint-GB_2017-11-21-commons.u43	Yemen is in the grip of a humanitarian disaster, with another 50,000 children expected to die before the end of the year because of famine and cholera, yet the UK’s arms sales to Saudi Arabia have been worth 18 times the aid given to Yemen over the past two years. What will the UK Government do to ensure that the blockade is lifted now and to contribute to Yemen’s reconstruction, rather than to its destruction?
ParlaMint-GB_2017-11-21-commons.u44	The efforts being made with the coalition are not only to give its members assurances about the security they need to ensure that there are no further missile attacks like the one on Riyadh on 4 November, but to seek to relieve the restrictions that are preventing humanitarian access from getting through. No one doubts the scale of the humanitarian crisis that already exists in Yemen and that faces its people if those restrictions are not lifted. The United Kingdom is working with others on both the security for the coalition in the area and the need to relieve the restrictions to make sure that humanitarian access can be given.
ParlaMint-GB_2017-11-21-commons.u45	18. The conflict in Yemen is clearly a proxy war between Saudi Arabia and Iran for achieving regional hegemony. Does the Minister agree that the UK should use all its diplomatic leverage with its allies and players in the region to de-escalate the conflict and get a genuine peace process under way in Yemen?
ParlaMint-GB_2017-11-21-commons.u46	My hon. Friend is right. A process is under way, led by the UN special representative, and we are supporting that. It requires both sides to recognise that there is no military answer to what is happening in Yemen. There has to be a political solution. We are working steadfastly through our ambassador in Yemen and through the UN to try to ensure that the parties get together to make sure that there is a political solution. We are doing everything we can because we recognise the urgency of the situation.
ParlaMint-GB_2017-11-21-commons.u47	The scale of the humanitarian crisis is truly frightening and the Saudi blockade could result in thousands of further deaths. A political solution is vital. Will the Minister tell us whether the Prime Minister has spoken to the Crown Prince of Saudi Arabia? If she has not, can she do so as a matter of urgency to get the blockade lifted?
ParlaMint-GB_2017-11-21-commons.u48	Ministers, including the Prime Minister, have spoken to the Crown Prince of Saudi Arabia. Repeated representations have been made by other Ministers since 4 November and continue to be made. We recognise the need for security for the coalition, but we also recognise the urgent need to lift the restrictions and make sure that humanitarian access is given.
ParlaMint-GB_2017-11-21-commons.u49	Does my right hon. Friend agree that the situation in Yemen very much points to the fact that we have a failed Iran policy? We have a capital in Tehran that is taking British hostages, that is developing missiles, that is threatening its neighbours and that is destabilising the region, and our policy is what? There is none.
ParlaMint-GB_2017-11-21-commons.u50	There is a significant policy in relation to Iran, which a number of different debates and conversations in this House have detailed. Work is going on to explore what opportunities there are for Iran to play a more constructive part in the region, but in relation to human rights sanctions, to criticism about its activities with terrorist groups in the area and to its ability to destabilise the region, the United Kingdom’s position is very clear. However, there is engagement with Iran, which is important both for the UK and for others. The policy of that constructive engagement is very clear.
ParlaMint-GB_2017-11-21-commons.u51	Yesterday, the Minister of State said that the Saudi blockade of Yemen did not breach international humanitarian law because it is intended to stop the smuggling of missiles to the Houthis. How does he respond then to the leaked briefing by the United Nations Panel of Experts on Yemen, which says that there is no evidence of such smuggling and that this is just another attempt by the Saudi coalition to justify obstructing the delivery of commodities that are essentially civilian in nature?
ParlaMint-GB_2017-11-21-commons.u52	I do not agree with the conclusion—[Interruption.] No, I do not agree with that UN assessment. It is perfectly clear that weapons and weapons parts have been smuggled into Yemen, and have been used to fire against parties to the coalition. We are quite sure that that is the case. However, the point is not only to give some security to those who do not want to see such missiles pointed at their airports, but at the same time to ensure that the coalition partners realise that the restrictions being put on entry to ports may not assist them in dealing with all the smuggling they are concerned about, but will certainly damage the humanitarian situation and make it worse. That is what we are trying to persuade the coalition partners to relieve.
ParlaMint-GB_2017-11-21-commons.u53	6. What steps he is taking to promote human rights in discussions with his counterparts in other countries.
ParlaMint-GB_2017-11-21-commons.u54	11. What steps he is taking to promote human rights in discussions with his counterparts in other countries.
ParlaMint-GB_2017-11-21-commons.u55	We defend human rights in a variety of ways. That involves not only funding human rights advocates and training judges and the police, but ourselves as Ministers raising directly with heads of states and our opposite numbers human rights issues across the world and across the continents.
ParlaMint-GB_2017-11-21-commons.u56	Last February, the Foreign Secretary said that he wished to be a champion of President Sisi of Egypt. With mass arrests, torture, disappearances and deaths in custody now the norm in Egypt, can the Minister tell the House what exactly the Government find to champion in Sisi’s record on human rights?
ParlaMint-GB_2017-11-21-commons.u57	We continue to raise very strongly with the Egyptian Government our concerns about these issues. The hon. Gentleman is absolutely right to raise them. There are some very troubling issues in Egypt. We continue to study them and we raise them with our US and EU partners all the way—[Interruption.] As the Foreign Secretary says, he raised it directly with President Sisi at his last meeting.
ParlaMint-GB_2017-11-21-commons.u58	Similar to the horrors that we witnessed last year in eastern Aleppo in Syria, today we are confronted with the brutal siege of eastern Ghouta by the Assad regime. What action will the Government take to protect civilians and to ensure compliance by reasonable actors with the human rights obligations, most particularly the Assad regime and its regime backers?
ParlaMint-GB_2017-11-21-commons.u59	We absolutely agree that the Assad regime is horrifying in the way in which it treats civilians. It has an extraordinary record of brutality and murder. We will document very closely the abuses that it has committed. We continue to call on it through every single channel not to conduct these operations, and we will make sure that people are held accountable for their crimes.
ParlaMint-GB_2017-11-21-commons.u60	Christian communities are under attack in a number of developing countries to which we give very large amounts of international aid, including Pakistan. What steps will the Government take to ensure that that aid is given on condition that these communities are protected?
ParlaMint-GB_2017-11-21-commons.u61	That is absolutely correct. Indeed, Christian communities and many other minority religious groups are increasingly under threat across the world. That is true of Christian communities in the middle east. It is true of Christian communities in Africa. It is true of Christian communities in Pakistan. We will support civil society organisations. In Pakistan, we support the rights of Christian communities, Shi’a minority communities and other groups. We continue to advocate for them with the Government of Pakistan, and we will continue that civil society support.
ParlaMint-GB_2017-11-21-commons.u62	19. This month, FIFA’s advisory board urged FIFA to press the Qatari Government on the impact of the kafala system on migrant workers building stadiums for the 2022 football World cup. Do Ministers support this call? Will they press the Qatari Government on this and other important human rights issues?
ParlaMint-GB_2017-11-21-commons.u63	We have looked seriously into this issue. We have pressed the issue with the Qatari Government, and we will continue to press exactly this issue with the Government of Qatar.
ParlaMint-GB_2017-11-21-commons.u64	20. What progress has been made in Sudan regarding the political situation and the human rights situation?
ParlaMint-GB_2017-11-21-commons.u65	We have a renewed dialogue with the Government of Sudan. As the hon. Gentleman will be aware, the US Government have now lifted sanctions in relation to Sudan. I met the Sudanese delegation in October as part of the renewed dialogue. We had a human rights workshop at the centre of that dialogue, and we continue to press with the special rapporteur on human rights for progress on exactly these issues.
ParlaMint-GB_2017-11-21-commons.u66	In August, the American Government withheld $290 million of military and economic aid from Egypt because of its recent track record on human rights. I thought I would never say this, but will the Minister ask the Secretary of State to learn some lessons from Donald Trump and to force President Sisi to clean up his act?
ParlaMint-GB_2017-11-21-commons.u67	We thank the shadow Minister very much for raising that issue. We agree very strongly that there are very disturbing signs in Egypt. That is why my right hon. Friend the Foreign Secretary raised this issue directly with President Sisi, and we will continue to do so on every occasion.
ParlaMint-GB_2017-11-21-commons.u68	7. What steps he is taking to raise the level of international protections for the Antarctic region.
ParlaMint-GB_2017-11-21-commons.u69	Maintaining the integrity of the Antarctic treaty is fundamental to protecting Antarctica. The UK’s leading role within the Antarctic treaty system has allowed us to push consistently for increased levels of protection for the continent’s vulnerable environment, and we are committed to continuing to do so.
ParlaMint-GB_2017-11-21-commons.u70	“Blue Planet II”, among other things, reminds us all of the very delicate and extremely vulnerable biodiversity of our deep oceans—particularly those around the Antarctic continent. Yet, when the nations of the world proposed there should be a marine protected area for the Weddell sea—an area seven times the size of Germany—that was resisted particularly by two nations, namely Russia and China. In the Secretary of State’s forthcoming visit to Russia, will he take the opportunity of pressing the Russians to support the rest of the international community in pressing for a marine protected area for the Weddell sea?
ParlaMint-GB_2017-11-21-commons.u71	I am very happy to put that on our agenda, but may I also reassure my hon. Friend that the UK is a co-proponent of the proposal to establish a marine protected area in the Weddell sea, and that is being developed by the European Union and its member states? British scientists are taking a leading role in preparing a final MPA proposal, which is to be presented to the Commission for the Conservation of Antarctic Marine Living Resources in October next year.
ParlaMint-GB_2017-11-21-commons.u72	The hon. Member for North Wiltshire (James Gray) mentioned “Blue Planet II”, and 12 million people watched it on Sunday. We want to know what the Government are going to do to protect the beautiful environment around South Georgia and the South Sandwich Islands. Will the Government now commit to establishing a marine sanctuary around this British overseas territory?
ParlaMint-GB_2017-11-21-commons.u73	This issue has been championed very much by my right hon. Friend the Member for Newbury (Richard Benyon). Indeed, it is not just in the Antarctic that the UK is championing marine protection. The UK is on track to deliver our Blue Belt manifesto commitment around the overseas territories. We will have protected 4 million sq km of ocean by 2020, and the South Georgia and the South Sandwich Islands were designated in 2012 as a sustainable use MPA covering 1 million sq km. The first formal review of that will take place next year.
ParlaMint-GB_2017-11-21-commons.u74	8. What recent discussions he has had with the Government of Spain on events in Catalonia.
ParlaMint-GB_2017-11-21-commons.u75	The Foreign Secretary met Spanish Foreign Minister Dastis, and I met Europe Minister Jorge Toledo, at the UK-Spain Tertulias conference in Bath on 3 November. The Prime Minister spoke to Spanish Prime Minister Rajoy by phone on 27 October. The Foreign Office is actively engaged with the Spanish Government through our embassy in Madrid and the Spanish ambassador in London, including when he and I met on 11 October.
ParlaMint-GB_2017-11-21-commons.u76	I think the whole House is united in our concern about events in Catalonia and how this has been handled over recent weeks. Scotland is of course no stranger to independence referendums. Does the Minister share my belief that the success of our referendum in 2014 demonstrates the importance of having such referendums conducted according to the rule of law and subject to the rules that were agreed by both sides beforehand?
ParlaMint-GB_2017-11-21-commons.u77	I absolutely agree with my hon. Friend. Catalonia is a matter for Spain in the same way as Scotland was for the United Kingdom. The Scottish referendum was a legal referendum following the signature of the Edinburgh agreement between the Scottish Government and the Government of the UK. The referendum in Catalonia was not legal in that way. We fully support Spain in upholding the rule of law and its constitution.
ParlaMint-GB_2017-11-21-commons.u78	The right hon. Gentleman makes the point about the Scottish referendum being a legal referendum, but Catalonia has had no legal routes from which to have a referendum. Will he put pressure on his Spanish colleagues to look at Scotland’s referendum as a shining example of how democracy can be respected, as well as the rights of the people of Catalonia?
ParlaMint-GB_2017-11-21-commons.u79	This is entirely a matter for Spain. It has rules under its own constitution that should be upheld and not challenged in an illegal way, as they have been in Catalonia.
ParlaMint-GB_2017-11-21-commons.u80	Whatever the rights and wrongs of the action that the People’s party took, does my right hon. Friend agree that the heavy-handed action of the Spanish police exacerbated matters? Does he take heart from news breaking in Spain at the moment that it now intends to give fiscal powers to Catalonia similar to those of the Basque country—something that has not been offered before?
ParlaMint-GB_2017-11-21-commons.u81	Of course no one wants to see violent scenes such as we saw on our televisions, but if there is to be progress on this and it is what the Spanish Government legally and properly decide to do, of course we will support any such legal democratic action.
ParlaMint-GB_2017-11-21-commons.u82	9. What recent discussions he has had with his EU counterparts on foreign and security policy co-operation after the UK has left the EU.
ParlaMint-GB_2017-11-21-commons.u83	The Government published a paper on 12 September which sets out our vision for a future partnership with the EU on foreign policy, defence and development. I am pleased to say that in my discussions with our EU friends since then, that paper has had a very good reception.
ParlaMint-GB_2017-11-21-commons.u84	The so-called future partnership paper on foreign and security policy published by the Brexit Department in September had plenty of positive things to say about the value of EU-UK co-operation. Will the Secretary of State therefore update the House on what progress, beyond the mighty fine warm words, has been made on the Brexit negotiations?
ParlaMint-GB_2017-11-21-commons.u85	If, by that, the hon. Gentleman means progress on the foreign policy and defence policy side, I must remind the House that that is not at the absolute centre of the negotiations, but it is widely understood that the UK, contributing as we do 20% of European defence spending and 25% of European aid spending, will be there in a supportive way whatever the outcome of the negotiations. As the Prime Minister has rightly said, our commitment to the defence and the security of Europe is—I think this is the word that was particularly warmly received by our friends and partners—unconditional, as it always has been and always will be.
ParlaMint-GB_2017-11-21-commons.u86	Foreign and security policy will remain as vital as ever when we leave the EU. Can my right hon. Friend confirm categorically that we will remain as committed as ever to European security after we leave the EU?
ParlaMint-GB_2017-11-21-commons.u87	We certainly shall. My hon. Friend asks an important question. The answer cannot be repeated too often, and it needs to be heard particularly in the countries that emerged from beneath the shadow of Soviet domination. They need to hear that we are there for the long term, as we are there on the borders of Estonia. We are committed, above all, to NATO, which is the guarantor of peace and stability in our continent. The UK, let the House never forget, is the second biggest contributor to the NATO alliance.
ParlaMint-GB_2017-11-21-commons.u88	22. EU funding has enabled an African Union peacekeeping force to play a vital role in helping to stabilise Somalia during its transition to democracy, but we cannot be complacent and it is essential for the Government to maintain some influence on EU policy in Somalia as we prepare to leave the European Union. What reassurances can the Foreign Secretary give us that this important issue will not be forgotten during the Brexit negotiations?
ParlaMint-GB_2017-11-21-commons.u89	The hon. Gentleman will recall that, earlier this year, in May, we held the Somalia conference, working with our European friends and partners particularly to make sure that the Somali central Government in Mogadishu collaborate more closely with the federal member states on a new national security architecture for Somalia, so that the fight against al-Shabaab can be prosecuted more successfully. That is the work we are doing with our European friends and partners, and that will continue under any circumstances.
ParlaMint-GB_2017-11-21-commons.u90	Is not that the point: we do not have to be inside the European Union to be concerned about and committed to European security, and we will remain as committed as ever even if we are outside the EU framework?
ParlaMint-GB_2017-11-21-commons.u91	My hon. Friend is exactly right. I have compared the support that we will offer in the future to a flying buttress, as it were, outside the main body of the cathedral but supportive of that cathedral. That is how the UK will continue to be, on an unconditional basis.
ParlaMint-GB_2017-11-21-commons.u92	Last week, Sir Simon McDonald told the Select Committee on Foreign Affairs that more civil servants—unelected bureaucrats, in the parlance of the Conservatives—would be sent to Brussels. Can the Foreign Secretary tell us how many of those officials will focus on foreign and security policy co-operation with the EU, how much it will cost and whether it will be part of the £40 billion settlement with the EU?
ParlaMint-GB_2017-11-21-commons.u93	I can tell the House—I am sure that all Members will be pleased to hear this—that we will be beefing up our representation in Europe. We will have 50 more posts, at least, in other EU capitals, and they will strengthen and intensify some bilateral relationships that, in my view, have been allowed slightly to ossify under the EU arrangements that we have pursued over the last 45 years.
ParlaMint-GB_2017-11-21-commons.u94	More Brussels bureaucrats with Brexit. Sir Simon McDonald did say that there was an initial Treasury pot—I will try to help the Foreign Secretary here—of £250 million. How much of that has the Foreign Secretary secured to go towards security policy co-operation—or has the Chancellor told him to “go whistle”?
ParlaMint-GB_2017-11-21-commons.u95	I do not think that the hon. Gentleman was listening to my last answer, because I said that the increased diplomatic representation that we would make in the rest of Europe would be dispersed not just in Brussels, but around the rest of the capitals. Of course, each and every one of those individuals will be working on our common foreign and security objectives, and making the case, which I made in an earlier answer, that our support for European defence and security is unconditional.
ParlaMint-GB_2017-11-21-commons.u96	It is now nearly 50 long years since the start of the troubles in Northern Ireland, and none of us who lived through that era ever wants to go back to it again. In February 2016, the Foreign Secretary gave his guarantee to BBC Northern Ireland that a vote for Brexit would leave arrangements on the Irish border, and I quote, “absolutely unchanged”. There were no caveats, and no “I hope that this will happen”; there was just an unequivocal commitment that nothing would change. Can the Foreign Secretary give us the same promises today?
ParlaMint-GB_2017-11-21-commons.u97	I think, if I may say so, that the right hon. Lady is right to ask that question. I was recently in Dublin talking to all the political groups there, and there is no question but that the issue of the border is very live in Irish politics. I repeated exactly the pledge to which she refers: there can be no return to a hard border. There can be no hard border. That would be unthinkable, and it would be economic and political madness. I think everybody, on both sides of this House, understands the social, political and spiritual ramifications of allowing any such thing to happen. That is why it is so important that we get on to the second phase of the negotiations, that we get sufficient progress at the European Council in December and that we are able to debate these issues properly.
ParlaMint-GB_2017-11-21-commons.u98	I thank the Foreign Secretary for that answer. No one will have missed the fact that, like on so many of his initial promises over Brexit, he has turned this from an unequivocal guarantee to an aspiration dependent on a successful deal—[Interruption.] I did listen to the right hon. Gentleman It seems to me that, like his jogging partner from The Sun, the right hon. Gentleman is now saying that it is up to the Irish to find a solution, but why should that be? It was his promise that border arrangements would not change, so it is up to him to make sure that that works. That is why I want to challenge the Foreign Secretary today. In September, he laid down four personal red lines for the Brexit negotiations. None of them related to the Irish land border, which is a crucial issue to 1.8 million of our own citizens and 4.8 million of our friends south of the border, so may I—
ParlaMint-GB_2017-11-21-commons.u99	Order. We are immensely—indescribably —grateful to the shadow Foreign Secretary, but I think she is approaching her peroration, with a question mark at the end of it. I am happy to indulge Front Benchers to a degree, but I want to accommodate Back Benchers. I am determined to get to the bottom of the list today, and I shall do so.
ParlaMint-GB_2017-11-21-commons.u100	Let me urge the Foreign Secretary to announce a fifth red line today by promising unequivocally what he promised last year—that Irish border arrangements will not change—and to say that if those arrangements do change, he will refuse to stay in the Government.
ParlaMint-GB_2017-11-21-commons.u101	If I may say so, I think the right hon. Lady prepared her supplementary question before she heard my first answer. There can be no return to a hard border. We do not want a hard border north-south, or indeed east-west.
ParlaMint-GB_2017-11-21-commons.u102	10. What recent discussions he has had with the Government of Israel on the status of Palestinian communities in area C of the west bank threatened with demolition.
ParlaMint-GB_2017-11-21-commons.u103	13. What recent discussions he has had with the Government of Israel on the status of Palestinian communities in area C of the west bank threatened with demolition.
ParlaMint-GB_2017-11-21-commons.u104	We are seriously concerned by the continued demolition of Palestinian property by the Israeli authorities, which causes unnecessary suffering and is harmful to peace. We regularly raise this issue, and our embassy in Tel Aviv most recently raised our concerns with Israel in a joint démarche with European partners on 2 November.
