ParlaMint-GB_2017-04-19-commons.u1	1. What assessment he has made of the contribution of Scotland to the future of the UK.
ParlaMint-GB_2017-04-19-commons.u12	What I see in my constituency is falling educational standards, with Scotland’s once-proud education system having the lowest international ratings ever. What I see is my constituents experiencing increasing waiting times for the health service and having to deal with inadequate infrastructure. I do not believe that the SNP Government in Scotland are focusing on the day job. They are focusing on their obsession—independence.
ParlaMint-GB_2017-04-19-commons.u13	Quotes about doing the day job when the Government are calling an early general election are a bit cynical. Let us rest on a neutral observer, not a Tory party research officer. What about the director of the Institute of Health and Society, who said: “Scotland is in a much stronger position than England with respect to both health and social care” He went on to say: “The problem is at the moment that the English government is not committed to a national health service” Is not that another example of the fact that the real alternative to the Tory UK Government is the progressive policies of the SNP?
ParlaMint-GB_2017-04-19-commons.u14	Absolutely not, and I look forward to debating these subjects over the next six weeks. The right hon. Gentleman was very careful not to mention education standards in Scotland, which the latest international figures demonstrate are the lowest ever on record. That is not a proud record of the Scottish Government. I look forward to holding them to account over the next six weeks.
ParlaMint-GB_2017-04-19-commons.u15	2. What assessment he has made of the effectiveness of the Joint Ministerial Committee in ensuring that the needs of all regions and nations of the UK are taken into account in negotiations on the UK leaving the EU.
ParlaMint-GB_2017-04-19-commons.u16	In our negotiations with the EU, we will be seeking the best deal for all parts of the UK. The Joint Ministerial Committee (EU Negotiations) was established to facilitate engagement between the UK Government and devolved Administrations, and has had regular substantive and constructive discussions.
ParlaMint-GB_2017-04-19-commons.u17	If the Secretary of State is so keen on and supportive of the JMC, why did the Government vote against putting it on a statutory footing for Brexit negotiations during the passage of the European Union (Notification of Withdrawal) Act 2017? Secondly, when was the last time a positive idea—I am sure that there have been many from the devolved Administrations—was taken on board to form part of the Brexit negotiations to improve the exit from the EU for the devolved nations?
ParlaMint-GB_2017-04-19-commons.u18	We have been very clear about “Scotland’s Place in Europe”, the Scottish Government’s contribution to the discussions. There have also been constructive contributions from the Welsh Government and the Northern Ireland Executive. They have set out many things that formed part of the White Paper and the Prime Minister’s speech. They will be part of the discussions as we negotiate our exit from the EU.
ParlaMint-GB_2017-04-19-commons.u19	The role of the machinery of government in helping to hold together the United Kingdom is an important issue. Does my right hon. Friend agree that a priority for the new Government should be to take a long, hard look at developing new ways of working between Ministers and civil servants across the devolved Administrations to strengthen our United Kingdom?
ParlaMint-GB_2017-04-19-commons.u20	I absolutely agree with my right hon. Friend, who has considerable experience. Despite what we hear at Question Time and in the media, the UK Government and the devolved Administrations are able to work together very closely and constructively on a range of issues. That is the element that we should support and promote.
ParlaMint-GB_2017-04-19-commons.u21	The Prime Minister told the Scottish Parliament that “now is not the time” when it wanted to let Scotland decide its own future and relationship with Europe, but now is the time for a screeching U-turn and this opportunistic general election. Does the Secretary of State therefore also believe that it is time for the Scottish people to reject the UK Government’s austerity obsession, their assault on the poor, the obnoxious rape clause, and their desire to drive Scotland over the cliff edge of their hard Brexit?
ParlaMint-GB_2017-04-19-commons.u22	I acknowledge that the hon. Gentleman is an expert on screeching, but the Prime Minister’s proposal to have a general election in six weeks’ time, to ensure certainty, clarity and security for the period of the Brexit negotiations, is different from a proposal to have a disruptive referendum campaign during the period of those negotiations.
ParlaMint-GB_2017-04-19-commons.u23	Common commercial policies for the UK to pursue as we leave the EU, for example in animal health and food safety, are as essential to Scotland as they are to Somerset. How can the JMC help to ensure that they will be adopted?
ParlaMint-GB_2017-04-19-commons.u24	I would certainly hope that the JMC(EN) will be involved in the discussion on the repatriation of important powers from the EU to the Scottish Parliament and the other devolved Administrations. I recognise more than anyone how important it is to have common animal welfare arrangements, as the main livestock market for my constituency is a mile south of the Scottish border in England.
ParlaMint-GB_2017-04-19-commons.u25	Scotland voted to remain in the EU and the single market, but the Scottish Government’s paper that would have kept Scotland in the single market and the UK was roundly ignored by a Tory UK Government intent on pursuing a reckless hard Brexit. Will the Secretary of State tell us what personal action he took to convince the Prime Minister to take account of the views of the people of Scotland, and can he provide an explanation for why he failed?
ParlaMint-GB_2017-04-19-commons.u26	I have been clear that “Scotland’s Place in Europe” did play an important part in the Government’s thinking—[Interruption.] Just so that the hecklers on the Opposition Benches are clear, the Government formally responded to the Scottish Government in relation to “Scotland’s Place in Europe”. Surprisingly, the Scottish Government asked us not to publish our response.
ParlaMint-GB_2017-04-19-commons.u27	In the Secretary of State’s assessment of the effectiveness of the Joint Ministerial Committee, did he share my conclusion that it would be much more effective if all parties were focused on building a strong UK after Brexit, not separatist agendas?
ParlaMint-GB_2017-04-19-commons.u28	As we head into unprecedented peacetime negotiations with the EU, it is vital that all parts of the United Kingdom pull together to take a Team UK approach. By doing so, we will get the best possible deal for Scotland and the whole UK.
ParlaMint-GB_2017-04-19-commons.u29	The JMC is supposed to be the platform through which the devolved Administrations have their voices not just heard but responded to. The Secretary of State paints a rosy picture, but he is not listening to those voices. Northern Ireland voices are not being heard at the moment, because they are not allowed to attend. From what we have heard this morning, the Scots are saying clearly that their voice is being ignored. The Welsh feel, at best, less than impressed. Will the Government give this body the teeth it needs, put it on a statutory footing and let it do its job properly?
ParlaMint-GB_2017-04-19-commons.u30	The purpose of the JMC is to bring together the UK Government and the devolved Administrations, and to work together to formulate our position as we go forward in the negotiations. I very much regret the fact that the Northern Ireland Executive have not been able to be politically present in recent times—we all want that situation to be brought to a conclusion—but the meetings have been robust and, I believe, certainly in terms of the actions that have flowed from them, constructive.
ParlaMint-GB_2017-04-19-commons.u31	4. What discussions he has had with the Scottish Government on their new tax powers.
ParlaMint-GB_2017-04-19-commons.u32	8. What discussions he has had with the Scottish Government on their new tax powers.
ParlaMint-GB_2017-04-19-commons.u33	The UK and Scottish Governments continue to engage closely on the devolution of new tax powers. The Scottish Government are now responsible for setting the rates and thresholds of income tax. It is of course incumbent on them to use their powers to make Scotland an attractive place to live and work.
ParlaMint-GB_2017-04-19-commons.u34	Now that the Scottish Government have unprecedented power to shape the economy of Scotland, will my right hon. Friend join me in calling on the Scottish National party to start delivering jobs and economic growth in Scotland, rather than focusing on a second independence referendum? [Interruption.]
ParlaMint-GB_2017-04-19-commons.u35	The shouts from Opposition Members just highlight the complacency of the SNP in relation to the Scottish economy, which contracted by 2% in the fourth quarter of 2016 while the UK economy grew by 0.7%. No Scot can be proud of that comparison.
ParlaMint-GB_2017-04-19-commons.u36	Does my right hon. Friend agree that it is terrible that middle earners in Scotland are being penalised £400 this year by the Scottish Government, and by up to £1,400 by 2020-21, compared with England, where we have higher tax thresholds to help hard-working families?
ParlaMint-GB_2017-04-19-commons.u37	My hon. Friend is right to highlight that point. I might not like the plans to make Scotland the most taxed part of the United Kingdom, but I acknowledge that that is a matter for the Scottish Government. They will have to account for their taxation policies, and the forthcoming general election will no doubt highlight these issues.
ParlaMint-GB_2017-04-19-commons.u38	The average band D council tax bill in Scotland is almost £400 lower than it is in England. Will the Secretary of State’s discussions consider how local authorities in England can learn from Scotland’s successes in providing local and national services while maintaining the lowest council tax rate in the UK?
ParlaMint-GB_2017-04-19-commons.u39	The hon. Lady may have spoken to the SNP press office, but she certainly has not spoken to councils throughout Scotland, which are uniform in their negativity in respect of the Scottish Government’s approach to local government funding.
ParlaMint-GB_2017-04-19-commons.u40	As a last act of kindness, and while he still has his seat and his position, will the Secretary of State address the closure of the Her Majesty’s Revenue and Customs office in my constituency, which threatens 1,000 job losses and a move to Edinburgh? A cross-party group of politicians, including members of his own party, has written to him, but he has ignored that. As his swansong, will he come to Livingston and save those jobs?
ParlaMint-GB_2017-04-19-commons.u41	As the hon. Lady knows, I have set out clearly, in correspondence with all who have been in touch with me, the rationale for the move and the changes in the arrangements for HMRC. Many of those changes were called for by Members on both sides of the House on the grounds of efficiency and effectiveness, but obviously no Members like to see significant changes in employment patterns in their constituencies, and I commend the hon. Lady for the way in which she has pursued the issue.
ParlaMint-GB_2017-04-19-commons.u42	5. What discussions he has had with Scottish businesses on opportunities for the private sector after the UK leaves the EU.
ParlaMint-GB_2017-04-19-commons.u43	7. What discussions he has had with Scottish businesses on opportunities for the private sector after the UK leaves the EU.
ParlaMint-GB_2017-04-19-commons.u44	The UK Government’s plan for Britain is intended to help businesses throughout the United Kingdom to trade beyond Europe, and to make Britain a leading advocate for free trade all over the world. Scotland Office Ministers have held more than 70 meetings with businesses across Scotland since last summer’s referendum, and only last month my right hon. Friend the Secretary of State for International Trade was in Glasgow to meet innovative Scottish businesses that are trading with the world.
ParlaMint-GB_2017-04-19-commons.u45	What steps is my right hon. Friend taking to support international trade and investment in the devolved nations?
ParlaMint-GB_2017-04-19-commons.u46	We in the Department for International Trade are clear about the fact that ours is a Department for the whole United Kingdom. All our services are accessible to companies in Scotland, England, Wales and Northern Ireland, including the GREAT campaign and its portal GREAT.gov.uk, and the Tradeshow Access Programme. In recent months, there have been major announcements about more overseas investment in all parts of the UK.
ParlaMint-GB_2017-04-19-commons.u47	Will my right hon. Friend tell us his view of the damage that would be caused to Scottish business if Scotland left the United Kingdom?
ParlaMint-GB_2017-04-19-commons.u48	My hon. Friend has hit the nail on the head. If Scotland were to leave the UK, the potential damage to Scottish business and Scottish trade would be huge. The Scottish Government’s own figures show that 64% of goods and services leaving Scotland go to the UK, whereas only 15% go to the rest of the EU. That is £49.8 billion versus £12.3 billion.
ParlaMint-GB_2017-04-19-commons.u49	What assessment has the Minister made of Scotland’s contribution to the EU single market?
ParlaMint-GB_2017-04-19-commons.u50	I think the hon. Gentleman is missing the point. The point, surely, is the centrality and importance of the UK single market as we go forward from here. I will give the House the figures again: £49.8 billion goes to the rest of the UK; only £12.3 billion goes to the EU. It is clear that the Union that matters most is the United Kingdom.
ParlaMint-GB_2017-04-19-commons.u51	The Secretary of State has said previously that he supports the European single market and that being part of the single market is clearly the best possible deal for Scotland. Will he tell his constituents whether he will now stand on a manifesto to take Scotland out of that single market?
ParlaMint-GB_2017-04-19-commons.u52	The Prime Minister and the whole Government are absolutely clear about the fact that our objective is to secure a comprehensive free trade agreement with the European Union as we leave the EU. That will be in the best interests of all parts of the UK, including Scotland.
ParlaMint-GB_2017-04-19-commons.u53	What assessment has my right hon. Friend made of the opportunities for increasing whisky exports across the world as part of a free trade agreement once we leave the European Union? [Interruption.]
ParlaMint-GB_2017-04-19-commons.u54	The hon. Gentleman was asking about whisky exports; let us hear the Minister.
ParlaMint-GB_2017-04-19-commons.u55	My hon. Friend raises a very important point. Whisky is a vital part of our export mix: whisky exports reached £3.999 billion in 2016—a big increase—and whisky has been at the heart of quite a few of our trade missions. Notably, when the Secretary of State for International Trade, the Prime Minister and I visited India in November, we took with us the Scotch Whisky Association, and we have seen big increases in exports to India.
ParlaMint-GB_2017-04-19-commons.u56	It is useful to have a bit of information, I find.
ParlaMint-GB_2017-04-19-commons.u57	Former Prime Minister David Cameron promised he would not resign if he lost the EU referendum; he reneged on that promise within hours. The current Prime Minister said on seven occasions that she would not call an early election; she reneged on that promise yesterday. Will the Minister, answering on behalf of the Secretary of State, give him the chance to break the mould and renew the commitment given to this House on at least three occasions that whatever support is put in place for businesses in the north-east like Nissan will be put in place for Scotland?
ParlaMint-GB_2017-04-19-commons.u58	We have been absolutely clear that our support for Nissan and the rest of the automotive sector will be enduring. That is the most important point, and I am sure it will be an important point in the general election campaign. I look forward to the Conservatives being competitive in the north-east in this coming general election, and we look forward to taking the fight to the official Opposition there.
ParlaMint-GB_2017-04-19-commons.u59	The question was whether the Secretary of State will renew the promise given to Scotland that it would have the same deal, and, if he will, will he tell the people in the oil and gas supply chain, given the report from Robert Gordon University which last week found that Brexit would cost them £200 million, that that money will be sorted and they will be looked after in the same way as Nissan—or will he ignore that and break another promise?
ParlaMint-GB_2017-04-19-commons.u60	I am certainly glad that the hon. Gentleman has raised the question of oil and gas in Scotland: I know that he and I will agree that what would be most disastrous for the Scottish economy, including the oil and gas sector, would be Scottish separation, leading to an overnight budget deficit of around 9% of GDP. That would be a disaster.
ParlaMint-GB_2017-04-19-commons.u61	6. What assessment he has made of the contribution of the UK single market to Scotland.
ParlaMint-GB_2017-04-19-commons.u62	9. What assessment he has made of the contribution of the UK single market to Scotland.
ParlaMint-GB_2017-04-19-commons.u63	10. What assessment he has made of the contribution of the UK single market to Scotland.
ParlaMint-GB_2017-04-19-commons.u64	11. What assessment he has made of the contribution of the UK single market to Scotland.
ParlaMint-GB_2017-04-19-commons.u65	Sales from Scotland to the rest of the UK are now worth nearly £50 billion, an increase of over 70% since 2002 and four times the value of exports from Scotland to the EU. There is no doubt that the United Kingdom is the vital Union for Scotland.
ParlaMint-GB_2017-04-19-commons.u66	Does my right hon. Friend agree that the best deal for Scotland is to stay part of the United Kingdom and to work with the UK Government to do all it can to support a new free trade agreement with the EU?
ParlaMint-GB_2017-04-19-commons.u67	I absolutely agree with my hon. Friend.
ParlaMint-GB_2017-04-19-commons.u68	The International Monetary Fund predicted dire consequences for the UK economy if we voted Brexit, yet it upgraded our growth yesterday, for the second time in three months, to 2%. Much of the confidence about the growth in the UK economy is deserved under the leadership of our Prime Minister. Does my right hon. Friend agree that when people look to buy British, as a quality marque “made in Scotland” is very important?
ParlaMint-GB_2017-04-19-commons.u69	Yes.
ParlaMint-GB_2017-04-19-commons.u70	My constituency has a long and proud tradition of textile companies, many of which trade with all parts of the United Kingdom. How will those companies be helped by Scotland leaving the hugely successful UK single market?
ParlaMint-GB_2017-04-19-commons.u71	Obviously, they will not, because, as my hon. Friend will know, in 2015 Scotland exported £49.8 billion to the rest of the UK, four times more than exports to the EU and three times greater than sales to the rest of the world.
ParlaMint-GB_2017-04-19-commons.u72	The benefits to Scotland of full access to the UK market are clear. Does my right hon. Friend agree that Scottish representation in this Parliament must focus on what benefits the whole of the UK single market?
ParlaMint-GB_2017-04-19-commons.u73	Absolutely. That is why I can confirm to my hon. Friend that when Ruth Davidson and the Scottish Conservatives go into the general election, it will be on the basis of keeping Scotland at the heart of our United Kingdom.
ParlaMint-GB_2017-04-19-commons.u74	12. Seventy-five per cent. of Canada’s exports go to the US, whereas only 63% of Scotland’s exports go to the rest of the UK. Canada is a successful, independent country. Does the Secretary of State agree that neighbouring countries can have close trading relations while still maintaining their sovereignty?
ParlaMint-GB_2017-04-19-commons.u75	Of course countries can have close trading relationships, but Scotland benefits from being part of the United Kingdom because there are no barriers to trade, and there is freedom of movement between Scotland and the rest of the UK. That is good for Scottish business and the hon. Lady should support it.
ParlaMint-GB_2017-04-19-commons.u76	15. The value of Scottish exports of food and drink has doubled in the past 10 years, to £5.5 billion in 2016. This week, the chief executive of Scotland Food and Drink, James Withers, said that he was afraid that the consequences of leaving the European Union without a trade deal would result in tariffs. Can the Secretary of State guarantee that the Scottish food and drink sector will not have to deal with such a situation?
ParlaMint-GB_2017-04-19-commons.u77	From my discussions with the Scottish food and drink industry, I understand that its greatest concern is that the Scottish National party would seek to drag Scotland out of the United Kingdom.
ParlaMint-GB_2017-04-19-commons.u78	Does the Secretary of State stand by his comments last year, when he said: “My role is to ensure Scotland gets the best possible deal and that deal involves clearly being part of the single market” Will he be honest with his constituents in a few weeks’ time? Will they be voting for an MP who supports being in the single market, or for one who wants to go along with a damaging hard Brexit, whatever the cost to families and businesses in his constituency?
ParlaMint-GB_2017-04-19-commons.u79	When I contest my constituency in the next general election, I look forward to knowing exactly what the SNP position is on the EU. Is it for taking Scotland back into the EU, or is it not? I hope we will find out in the next six weeks.
ParlaMint-GB_2017-04-19-commons.u80	The Tories’ strategy worked a treat against the Liberal Democrats in the south-west of England at the last election. Will the Secretary of State be urging his colleagues to export that strategy to Scotland in the coming election?
ParlaMint-GB_2017-04-19-commons.u81	Ruth Davidson has already made it absolutely clear that her stance in the forthcoming general election will be to stand up for Scotland’s membership of the United Kingdom and against a divisive second independence referendum.
ParlaMint-GB_2017-04-19-commons.u82	Q1. If she will list her official engagements for Wednesday 19 April.
ParlaMint-GB_2017-04-19-commons.u83	I am sure that Members across the House will wish to join me in offering our condolences to the families and friends of Andreea Christie, who died following the London attack, and of Chris Bevington, who was among those killed in the terrorist attack in Sweden. Our thoughts are also with the family and friends of Hannah Bladon, who was murdered in Jerusalem last week. This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2017-04-19-commons.u84	I would also like to join the Prime Minister in offering the condolences of the people of South Leicestershire and myself to the families of those individuals Strong countries need strong economies. Strong countries need strong defences. Strong countries need strong leaders. As the nation prepares to go to the polls, who else in this House, apart from my right hon. Friend, can provide the leadership that is needed at this time?
ParlaMint-GB_2017-04-19-commons.u85	My hon. Friend is absolutely right. There are three things that a country needs: a strong economy, strong defence, and strong, stable leadership. That is what our plans for Brexit and our plans for a stronger Britain will deliver. That is what the Conservative party will be offering at this election, and we will be out there fighting for every vote. The right hon. Member for Islington North (Jeremy Corbyn) would bankrupt our economy and weaken our defences and is simply not fit to lead.
ParlaMint-GB_2017-04-19-commons.u86	I concur with the condolences that the Prime Minister just sent to the families of the three people who so sadly and needlessly died. It is important that we recognise that as a cross-party proposal today, and I thank the Prime Minister for it We welcome the general election, but this is a Prime Minister who promised that there would not be one—a Prime Minister who cannot be trusted. She says that it is about leadership, yet she refuses to defend her record in television debates. It is not hard to see why. The Prime Minister says that we have a stronger economy, yet she cannot explain why people’s wages are lower today than they were 10 years ago or why more households are in debt. Six million people are earning less than the living wage, child poverty is up, and pensioner poverty is up. Why are so many people getting poorer?
ParlaMint-GB_2017-04-19-commons.u87	I point out to the right hon. Gentleman that I have been answering his questions and debating these matters every Wednesday that Parliament has been sitting since I became Prime Minister. I will be taking out to the country in this campaign a proud record of a Conservative Government: a stronger economy, with the deficit nearly two thirds down, a tax cut for 30 million people, with 4 million people taken out of income tax altogether, record levels of employment, and £1,250 more a year for pensioners. That is a record we can proud of.
ParlaMint-GB_2017-04-19-commons.u88	If the Prime Minister is so proud of her record, why will she not debate it? Wages are falling and more children are in poverty. Page 28 of the Tories’ last manifesto said: “We will work to eliminate child poverty” They only eliminated the child poverty target, not child poverty. In 2010, they promised to eradicate the deficit by 2015. In 2015, they promised to eradicate the deficit by 2020. Austerity has failed, so does the Prime Minister know by which year the deficit will now be eradicated?
ParlaMint-GB_2017-04-19-commons.u89	I know that it has taken the right hon. Gentleman a little time to get the hang of Prime Minister’s questions, but he stands up week in, week out and asks me questions and I respond to those questions. With a stronger—[Interruption.]
ParlaMint-GB_2017-04-19-commons.u90	Order. The Leader of the Opposition must be heard, and the Prime Minister must be heard.
ParlaMint-GB_2017-04-19-commons.u91	We have a stronger economy, with the deficit two thirds down, but people will have a real choice at this election. They will have a choice between a Conservative Government who have shown that we can build a stronger economy and a Labour party with an economic policy that would bankrupt this country. What voters know is that under Labour it is ordinary working people who pay the price of the Labour party. They pay it with their taxes, they pay it with their jobs, and they pay it with their children’s futures.
ParlaMint-GB_2017-04-19-commons.u92	Only this year the new Chancellor pledged to eradicate the deficit by 2022. I admire Tory consistency: it is always five years in the future. Another Tory broken promise The Prime Minister leads a Government who have increased national debt by £700 billion, more than every Labour Government in history put together. Debt has risen every year they have been in office. We know their economic plan was long term. Does she want to tell us how far into the long term it will be before we get the debt falling?
ParlaMint-GB_2017-04-19-commons.u93	The right hon. Gentleman stands up and talks about debt. This is a Labour party that will be going into the election pledged to borrow an extra £500 billion. What does that mean for ordinary working people? Well, I will tell him what it means. We know what Labour’s plans would entail because we have been told by the former Labour shadow Chancellor. He said that if Labour were in power, “you’d have to double income tax, double National Insurance, double council tax and you’d have to double VAT as well.” That is Labour’s plan for the economy.
ParlaMint-GB_2017-04-19-commons.u94	All her Government have delivered is more debt and less funding for schools and hospitals. Schools funding is being cut for the first time in a generation. The Prime Minister is cutting £3 billion a year from school budgets by 2020. She says that the Government have created a stronger economy, so why are there tax giveaways to the richest corporations while our children’s schools are starved of the resources they need to educate our children for the future?
ParlaMint-GB_2017-04-19-commons.u95	The right hon. Gentleman talks about levels of funding for schools and the NHS. There are record levels of funding going into schools and record levels of funding going into the NHS, but let us just talk about schools. It is not just a question of funding; it is actually a question of the quality of education provided in schools. Some 1.8 million more children are in good or outstanding schools under this Conservative Government, which is 1.8 million more children with a better chance for their future. What would Labour give us? It would be the same old one-size-fits-all, local authority-run schools: “No choice, good or bad, trust your luck.” We do not trust to luck, and we will not trust the Labour party. We will provide a good school place for every child.
ParlaMint-GB_2017-04-19-commons.u96	Many parents taking their children back to school for the summer term will receive a letter begging for funds to buy books and fund the school. The Conservative manifesto promised “the amount of money following your child into school will be protected.” It is not. It is another Tory broken promise For the first time in its history, NHS funding per patient will fall this year. The NHS has been put into an all-year-round crisis by this Government. Why are more people waiting in pain, with millions of elderly people not getting the care and dignity they deserve?
ParlaMint-GB_2017-04-19-commons.u97	I am proud of our record on the NHS. We saw more doctors, more nurses, more midwives, more general practitioners and more people being treated in our national health service last year than ever before, with record levels of funding going into our national health service. We can only do that with a strong economy. What do we know we would get from the Labour party? Bankruptcy and chaos.
ParlaMint-GB_2017-04-19-commons.u98	That is a very good reason for why we should have a debate about it, because it is another Tory broken promise. A broken promise of the Tory manifesto, which said that they would continue to “spend more on the NHS, in real terms” Say that to those waiting in A&E departments and to those who cannot leave hospital because social care is not available Is it not the truth that, over the last seven years, the Tories have broken every promise on living standards, the deficit, debt, the national health service and school funding? Why should anyone believe a word they say over the next seven weeks?
ParlaMint-GB_2017-04-19-commons.u99	I can assure the right hon. Gentleman that I will be out campaigning and taking to voters the message of not only the record of this Conservative Government, but, crucially, of our plans to make Brexit a success and to build a stronger Britain for the future. Every vote for the Conservatives will make it harder for those who want to stop me getting the job done. Every vote for the Conservatives will make me stronger when I negotiate for Britain with the European Union. And every vote for the Conservatives will mean we can stick to our plan for a stronger Britain and take the right long-term decisions for a more secure future for this country.
ParlaMint-GB_2017-04-19-commons.u100	Q2. For years I have been campaigning for fairer funding in Wiltshire schools. Will the Prime Minister please reaffirm her commitment to this and to a review of the pupil premium to encompass other forms of key disadvantage, such as being a young carer, having mental health problems and dealing with bereavement? In this way, we can create a country that will work for everyone.
ParlaMint-GB_2017-04-19-commons.u101	My hon. Friend raises a very important point, and I know she has campaigned long and hard in her constituency and worked hard for her constituents on this and other issues. We want to ensure that young people, irrespective of their background, have the opportunity to make the most of their talents, and the point of our reforms is to try to end the postcode lottery in school funding and to support our plan for a fairer society, where success is based on merit and not on privilege. She refers to the pupil premium, and that is of course worth £2.5 billion a year. It is an important part of our policy because it gives schools extra support for pupils from disadvantaged backgrounds, but I think it is right that schools are best placed to prioritise the needs of their pupils and can use their funding to ensure that they are supporting any pupil facing disadvantage, financial or otherwise.
ParlaMint-GB_2017-04-19-commons.u102	May I join in the condolences extended by the Prime Minister and the leader of the Labour party The tone and content of democratic debates, including in a general election, are very important to all of us, so does the Prime Minister agree that political opponents are not “saboteurs”, and that all elected mainstream parties and parliamentarians have a mandate and that that should be respected?
ParlaMint-GB_2017-04-19-commons.u103	In this House and in this Parliament it is right that we have proper debate and scrutiny of proposals put forward by the Government, and that arguments on both sides of the House are rightly challenged and those discussions take place. But I say to the right hon. Gentleman that what the British people—what the people of the United Kingdom—voted for last year was for the UK to leave the European Union. We have set that process in motion; there is no turning back. It is clear from statements made by the Scottish nationalists and others that they want to use this House to try to frustrate that process. I will be asking the British people for a mandate to complete Brexit and to make a success of it.
ParlaMint-GB_2017-04-19-commons.u104	It is disappointing that the Prime Minister did not take the opportunity to condemn intemperate language in describing other democratic politicians as—[Interruption.] There is heckling from the Government side, and I think the Prime Minister should take the opportunity to underline something that we should all agree on: that describing people in the way we have seen them described in some daily newspapers by some leading politicians is not acceptable Most people know that the reason we are having a general election is because of the woeful state of the Labour party. If the Prime Minister is so confident that her hard Brexit, pro-austerity, anti-immigration case is right, she should debate it with Opposition leaders during the campaign. We look forward to the straight fight between the Scottish National party and the Tories. Will the Prime Minister tell the people why she is running scared of a televised debate with Nicola Sturgeon?
ParlaMint-GB_2017-04-19-commons.u105	First, may I say to the right hon. Gentleman that one of the crucial things we have in this country that underpins our democracy is a free press? I believe that is important and I believe that people in this Chamber should stand up for the freedom of the press. As to the TV debates, I can assure him that I will be out there campaigning in every part of the United Kingdom, taking out there our proud record of a Conservative Government who have delivered for every part of the United Kingdom I might also suggest to the Scottish nationalists that now is the time for them to put aside—[Interruption.] Wait for it: now is the time for them to put aside their tunnel vision on independence and actually explain to the Scottish people why the SNP Government are not putting as much money into the health service as they have been given from the UK, they are not exercising the powers they have been given and Scottish education is getting worse. It is time they got back to the day job.
ParlaMint-GB_2017-04-19-commons.u106	Q4. I too welcome the announcement from the Prime Minister yesterday, and I look forward to the general election and to taking my positive message to my constituents in Cheadle in June. Over the past two years, I have pressed for first-class transport infrastructure for Cheadle, and this week I launched my transport survey so my constituents can have their say on what is needed to keep Cheadle moving and be at the heart of the northern powerhouse. Does my right hon. Friend agree that residents in Cheadle need to vote Conservative on 8 June to ensure that we get continued investment in transport and infrastructure, not only in Cheadle but across the north-west?
