ParlaMint-GB_2017-09-13-commons.u1	Object Bill to be read the Third time on Wednesday 11 October.
ParlaMint-GB_2017-09-13-commons.u69	The Government will always give their fullest possible backing to those brave men and women who have done, and continue to do, an outstanding job serving the community. As part of our work to implement the Stormont House agreement, the legacy institutions will be under a duty to behave in a manner that is balanced, proportionate and fair. We also have the aim of taking cases in chronological order. [Interruption.]
ParlaMint-GB_2017-09-13-commons.u70	I understand the sense of anticipation, but I remind the House that we are discussing the security situation in Northern Ireland. Out of respect for the people of Northern Ireland it would be good if there were some attention to the questions and answers.
ParlaMint-GB_2017-09-13-commons.u71	Will my hon. Friend join me in sending a message of support and thanks to the brave men and women of the Police Service of Northern Ireland who keep us safe in the light of the severe terrorist threat at present?
ParlaMint-GB_2017-09-13-commons.u72	Yes, I certainly do. I send the Government’s thanks and support to every member of the security services and the police force who keeps people safe in Northern Ireland and here.
ParlaMint-GB_2017-09-13-commons.u73	Will my hon. Friend update the House on efforts made through the “Fresh Start” programme to tackle the scourge of paramilitaries, who continue to exert control through fear and criminal behaviour?
ParlaMint-GB_2017-09-13-commons.u74	This Government have committed £25 million of funding to support the Northern Ireland Executive’s tackling paramilitarism programme. However, I return to the point that this reminds us why we need an Executive back up and running to keep people safe, on this most acute of issues.
ParlaMint-GB_2017-09-13-commons.u75	The Minister must be absolutely appalled by the report from the Northern Ireland Affairs Committee on the response by the Government to Libyan Semtex being used to murder people in Northern Ireland and here in GB. Will she commit to meet my colleagues and me to discuss this report and get a fresh start on dealing with this crucial issue?
ParlaMint-GB_2017-09-13-commons.u76	More broadly, this is a matter being taken forward by the Foreign Office, but I would be happy to meet, or indeed to arrange a meeting, with members of the Government to discuss the issues in more detail.
ParlaMint-GB_2017-09-13-commons.u77	Can the Minister tell us what steps the Government are taking to try to reassure communities that it is safe for them to come forward and work with the police? Surely working with communities is one of the best ways to improve the security situation in the whole of Northern Ireland.
ParlaMint-GB_2017-09-13-commons.u78	Yes, is the principal answer. It is crucial that people have the confidence to come forward to the Police Service of Northern Ireland, to ensure a safe and prosperous future for all parts of the community.
ParlaMint-GB_2017-09-13-commons.u79	Q1. If she will list her official engagements for Wednesday 13 September.
ParlaMint-GB_2017-09-13-commons.u80	I am sure that the thoughts of Members across the House remain with all those affected by Hurricane Irma, particularly in our overseas territories. I would like to update the House briefly. My right hon. Friend the Foreign Secretary has travelled to the overseas territories to see the recovery work at first hand and assess what more is needed. As I told the House last week, we had a Navy ship pre-positioned in the region and humanitarian experts on the ground to co-ordinate the UK response. Since Thursday Cobra has met regularly to co-ordinate the Government’s response, bringing together military, aid and consular effort, and today I am announcing an additional £25 million to support the recovery effort, further to the £32 million of assistance that I announced last week. We have now deployed over 1,000 military personnel to the region, with an additional 200 to arrive in the next few days, along with over 60 police. More than 40 tonnes of aid has now arrived. I am sure that Members across the House would like to join me in paying tribute to the hard work of the many people, military and civilian, who are doing an incredible job in difficult circumstances This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2017-09-13-commons.u81	I would like to echo the Prime Minister’s words of sympathy for the families, but especially the children, affected by Hurricane Irma Oxford West and Abingdon has a vibrant local economy, but, reliant on the university, science and car industries, it is set to shrink if we leave the single market and the customs union, risking thousands of local jobs. Is it not time that the Prime Minister was frank with people about the dangers of leaving and allowed them a say when we finally know the full facts?
ParlaMint-GB_2017-09-13-commons.u82	The hon. Lady’s view of what is going to happen when we leave the European Union is not the right one. If she is telling her constituents that, then she needs to think again. She needs to work with the Government to ensure that as we leave the European Union we get the deal that gives us access to the single market and enables us not just to have that access, but to do trade deals around the world and bring prosperity and jobs here to the UK.
ParlaMint-GB_2017-09-13-commons.u83	Q2. Many of my constituents feel that Yorkshire has not had its fair share of the transport infrastructure cake over recent years, especially compared with London and the south-east. Will the Prime Minister therefore promise to significantly increase the proportion of transport infrastructure that is spent in the north generally and Yorkshire in particular in this Parliament? Perhaps my right hon. Friend can start as she means to go on by ensuring that we get the much-needed and long-awaited Shipley eastern bypass.
ParlaMint-GB_2017-09-13-commons.u84	My hon. Friend never ceases to raise his constituents’ concerns in the House, as he rightly should, and he makes an important point. We are committed to ensuring that the whole country gets the transport infrastructure it needs. I reassure him that that is not about making a choice between north and south. We are carrying out one of the biggest investments in transport in the region for a generation, spending £13 billion—the largest in Government history—on northern transport in this Parliament. On the Shipley eastern relief road, I believe there is a decision to be taken by the local authority. We do want to see such improvements being supported, which is why we have allocated up to £781 million for the West Yorkshire Plus transport fund to deliver local priorities.
ParlaMint-GB_2017-09-13-commons.u85	I share the Prime Minister’s sympathy for all those affected by Hurricane Irma in whichever part of the Caribbean they have suffered. I hope the Prime Minister will be prepared to look carefully at the speed of our response to Hurricane Irma, and that, if demands are made in the next few days or weeks from any country affected, Britain will respond as generously as we can in helping people at what must be the most catastrophic time of their lives The situation facing disabled people in Britain is described by the United Nations Committee on the Rights of Persons with Disabilities as “a human catastrophe”. Does the Prime Minister think it was right that while her Government funded tax giveaways to the richest, disabled people have been hit hardest by the cuts her Government have made?
ParlaMint-GB_2017-09-13-commons.u86	On the UK response to Hurricane Irma, I assure the right hon. Gentleman that it was a speedy one. RFA Mounts Bay was already pre-positioned, as I have said, and it was able to go in immediately to Anguilla to make necessary repairs, such as ensuring that the hospital there could continue to operate. We recognise that the devastation that has taken place means there will be a significant need for reconstruction in those British overseas territories and in other Caribbean member countries and countries in the region that have been hit. There will be a point at which it is right to start the reconstruction work, and we will work with our overseas territories to ensure that those countries and their economies can be brought to life once again, enabling their people to have a good life On disabled people, we have seen during our time in government more disabled people get into the workplace, we have focused support to disabled people, crucially, on those who are most in need, and we have increased the overall support being given to disabled people. The picture that the right hon. Gentleman presents is, again, not a fair one.
ParlaMint-GB_2017-09-13-commons.u87	The United Nations committee says that the Government’s policies have caused “grave and systematic violations” of the rights of disabled people. We have seen punitive assessments and sanctions, cuts to disability benefits, and the bedroom tax that has hit disabled people, 4.2 million of whom now live in poverty. At the weekend, we were told that the public sector pay cap had been dropped. On Monday, the Prime Minister’s spokesperson said the pay cap would continue as planned, and yesterday we were told it was over, yet later we found out that police and prison officers still face a real-terms pay cut. Will the Prime Minister tell us what the position is at midday today?
ParlaMint-GB_2017-09-13-commons.u88	I remind the right hon. Gentleman that we spend more than £50 billion on benefits to support disabled people and people with health conditions. As a share of GDP, our public spending on disability and incapacity is the second highest in the G7. I suggest, therefore, that he thinks again on this matter On public sector pay, I said to the right hon. Gentleman only last week, I think, when questions were raised on the matter, that two further public sector pay review bodies—for prison officers and for police officers—were to report and the Government had to respond to them. They reported and made their recommendations, and as we have accepted the recommendations of the independent pay review bodies across the public sector, we accepted them for those two groups of workers. We also recognise, as I have said to him previously, that we need to balance out protecting jobs in the public sector, being fair to public sector workers, and being fair to taxpayers who pay for it, many of whom are public sector workers. There is a need for greater flexibility as we look at these issues of public sector pay in the future. We will be working on that in the lead-up to the Budget, and the remits for the pay review bodies for 2018-19 will be published in due course.
ParlaMint-GB_2017-09-13-commons.u89	Does the Prime Minister understand that inflation is now 2.9%, so anything less than that means that dedicated public servants are worse off again? They have been made worse off every year for the past seven years. Yesterday, the POA was not impressed either with the 1.7% offer, saying, “it is a pay cut. It is not acceptable.” As we discovered that prison officers and the police have been offered a slightly smaller real-terms cut in their incomes, there came the news that this would be funded by more service cuts. Can the Prime Minister guarantee that no more police or prison officers will be lost as a result of decisions that she has made this week?
ParlaMint-GB_2017-09-13-commons.u90	What the right hon. Gentleman fails to remind people is that these pay review bodies that have reported and recommended these sums of pay are independent bodies. They make a recommendation to the Government, and the Government have taken those recommendations. He has also failed to mention one or two other things: he has failed to mention the automatic pay increases over and above the 1% that many public sector workers get. Indeed, a calculation suggests that a new police officer in 2010, thanks to progression pay, annual basic salary increases and the increase in the personal allowance, which is a tax cut for people, has actually seen an increase in their pay of over £9,000 since 2010—a real-terms increase of 32%.
ParlaMint-GB_2017-09-13-commons.u91	There are 20,000—[Interruption.]
ParlaMint-GB_2017-09-13-commons.u92	Order. There is far too much noise in the Chamber. We will get through all the questions, however long it takes; it is just a bit tedious if it is disrupted by excessive noise.
ParlaMint-GB_2017-09-13-commons.u93	Thank you, Mr Speaker. There are 20,000 fewer police officers and 7,000 fewer prison officers than in 2010, 43% of police stations have closed in the past two years alone, and police budgets have been cut by £300 million, but the Chancellor is absolutely on the money on this one, literally. Last week, at the 1922 committee, he told Conservative MPs: “look at us, no mortgage, everybody with a pension and never had more money in the current account.” A Conservative Prime Minister once told Britain it had “never had it so good.” Now Tory MPs tell each other, “We’ve never had it so good.” Can the Prime Minister tell us what has happened in the last seven years to the average person’s bank account?
ParlaMint-GB_2017-09-13-commons.u94	I am very interested; the right hon. Gentleman is talking about ordinary people and the situation that they face, but this is his fourth question and he has not yet mentioned the employment figures today, which show unemployment at its lowest levels since the mid-1970s, and that employment—people in work; people taking home a wage, a salary, to support their family—is at record levels, the highest levels since records began.
ParlaMint-GB_2017-09-13-commons.u95	The only problem is that more people in work are in poverty than ever before. More are in insecure work, and more rely on tax credits and housing benefit to make ends meet. Consumer debt is rising by 10% as wages are falling. Household savings are lower than at any time in the past 50 years. That is the Conservative legacy A young woman called Aisha wrote to me last week. She says: “I have recently graduated from university, with a hefty amount of debt on my head” She goes on—[Interruption.] I really cannot understand why Conservative MPs do not want to listen to this question; however, I will persist. She goes on: “However I am scared about the futures of other young people. People who have always dreamed of being nurses no longer want to train to become one.” The Prime Minister’s Government, with the support of the Lib Dems, trebled tuition fees. This afternoon, will the Prime Minister take the opportunity to vote against another Tory hike in student fees?
ParlaMint-GB_2017-09-13-commons.u96	Once again, there are a few things about people’s circumstances that the right hon. Gentleman failed to mention—things that the Government have done, such as giving a tax cut to 30 million people. For a basic rate taxpayer, that means £1,000 more in their pocket. That is what sound management of the economy by a Conservative Government delivers for people The right hon. Gentleman talks about delivering for students. Let us talk about delivery and let us talk about promises that are made. He promised—
ParlaMint-GB_2017-09-13-commons.u97	Ah! [Interruption.]
ParlaMint-GB_2017-09-13-commons.u98	Order. There is far too much noise on both sides of the Chamber. I say in all candour and friendliness to the hon. Member for Brent Central (Dawn Butler), who is in a very animated state: I don’t know what you had for breakfast, but I think I ought to steer clear of it.
ParlaMint-GB_2017-09-13-commons.u99	The right hon. Gentleman promised workers that he would protect their rights and on Monday he let them down. He promised students that he would deal with their debt and he has let them down. He promised the British people that he would support Trident and he has let them down. He promised voters that he would deliver on Brexit and he has let them down. What people know is that it is only the Conservatives who deliver a better Britain.
ParlaMint-GB_2017-09-13-commons.u100	The Institute for Fiscal Studies reports that English graduates have the highest student debts anywhere in the world. The poorest students now graduate with an average debt of £57,000. Who is responsible for that situation but the Prime Minister’s party and the Liberal Democrats? We are in the middle of an economic slowdown. The Office for Budget Responsibility says that there is a growing risk of recession on the Prime Minister’s watch. Growth is slowing, productivity is worsening, wages are falling, jobs are becoming more insecure, personal debt is increasing, saving levels are falling, and homelessness is rising all over the country. It is forecast that by the end of this Parliament, 5 million children in this country—the fifth richest country in the world—will be living in poverty. Is it not true that not only is our economy at breaking point, but for many people it is already broken, as they face up to the poverty imposed by this Government?
