ParlaMint-GB_2017-11-07-lords.u1	To ask Her Majesty’s Government what progress has been made in eliminating Japanese knotweed.
ParlaMint-GB_2017-11-07-lords.u12	My Lords, is my noble friend aware that, although a duty is laid on councils and local authorities under the noxious Weeds Act to control other noxious weeds, not least ragwort, which is poisonous to horses, one can drive along the roads and motorways of this country and see ragwort growing at the sides? Councils do not comply with their duty under the law. When will something be done about that?
ParlaMint-GB_2017-11-07-lords.u13	My Lords, as we all know, ragwort is extremely toxic to animals and it is important that authorities and everyone should understand the issue of controlling it. Unfortunately, it is very widespread and I very much hope that authorities will adhere to dealing with ragwort.
ParlaMint-GB_2017-11-07-lords.u14	My Lords, I rise with some trepidation on this subject given that there are so many experts in your Lordships’ House, but I came across Japanese knotweed recently in a private burial ground in the London Borough of Enfield. I declare an interest because it is where members of my family are buried. I have written to Enfield Council asking what it will do about it, because it is growing wild and destroying graves. I have been told that it is not the council’s responsibility because it is private land. Will the Minister clarify whose responsibility it is? Is it the local authority’s when it is within the boundaries of the borough or the private landowner’s? What powers does the local authority have to issue enforcement on this?
ParlaMint-GB_2017-11-07-lords.u15	My Lords, there are community protection notices, which give local authorities and the police powers. I suggest that the noble Baroness considers that way forward.
ParlaMint-GB_2017-11-07-lords.u16	My Lords, is the Minister aware of Japanese seaweed? I do not think you can eat it, but it is a serious invasive species in our watercourses and rivers. What action will the Government take to try to control that?
ParlaMint-GB_2017-11-07-lords.u17	My Lords, there is a list of invasive species that we very much want to manage and control. The most important thing is biosecurity and awareness campaigns such as “Check, Clean, Dry”. We each have a responsibility to help deal with invasive species.
ParlaMint-GB_2017-11-07-lords.u18	To ask Her Majesty’s Government what steps, if any, they are taking to support the delivery of digital resilience programmes, such as Be Strong Online, in schools and elsewhere, to help young people to explore the digital world safely and to cope if they experience abuse online.
ParlaMint-GB_2017-11-07-lords.u19	My Lords, schools decide themselves which anti-bullying programmes to use. To help, we fund a number of organisations that provide support on preventing bullying, including the Diana Awards Anti-Bullying Ambassadors programme. Our internet safety strategy, published last month, sets out that we will consider the teaching of digital resilience in schools through the development of relationships education and PSHE. We are also consulting on the role that peer-to-peer learning can play in the delivering of innovative educational programmes.
ParlaMint-GB_2017-11-07-lords.u20	My Lords, the Be Strong Online initiative is a scheme whereby young people are trained as online ambassadors to help youngsters to cope with online abuse, through school lessons. The staff in schools are encouraged by what is happening. The scheme is asking for tangible and widespread support from the Government; online abuse and bullying are very serious issues.
ParlaMint-GB_2017-11-07-lords.u21	My Lords, I am not familiar with that programme, but if the noble Lord wants to write to me, I will look at it. This year, we are funding four programmes: the Diana Awards; Internet Matters; the Anti-Bullying Alliance; and the Anne Frank Trust.
ParlaMint-GB_2017-11-07-lords.u22	My Lords, did the Minister see the disturbing report at the weekend that there are now four suicides every week involving young people and children—a 14-year high? Has the Minister had a chance to look at the British Medical Journal study that found that suicide websites are more likely to be encouraging suicide, even glamorising it, than offering prevention or support? Will he look at the provisions of the Suicide Act 1961, which make it unlawful to incite, aid or abet suicide, and consider prosecuting those internet servers that continue to host suicide sites?
ParlaMint-GB_2017-11-07-lords.u23	My Lords, we have just published an internet safety strategy Green Paper. Initially, we are asking, on a voluntary basis, for a code of practice, as required by the Digital Economy Act. We will certainly look at the points the noble Lord has raised.
ParlaMint-GB_2017-11-07-lords.u24	My Lords, if I am not mistaken, this is the Minister’s first appearance at the Dispatch Box. I think we should welcome him and congratulate him on his appointment. Understandably, there is a great deal of focus on online issues —online bullying is a significant problem. However, offline bullying is also a significant problem. From personal experience, schools struggle to deal with that, partly because it is very hard for them to find the resources—over and above everything else they are required to do in the way of safeguarding—and to pay proper, detailed attention to both the sources and the effects of bullying in playgrounds, for example. Can the Minister say what more the Government can do to strengthen schools’ ability to deal with this problem?
ParlaMint-GB_2017-11-07-lords.u25	The Government want to help schools to deliver high-quality relationships education, ensuring that pupils are taught about healthy and respectful relationships. Of course, bullying is very much part of that, and it goes beyond online bullying. Schools are very aware of the problems and, having seen it at first hand, I agree with the noble Baroness.
ParlaMint-GB_2017-11-07-lords.u26	With what success is the bullying of gay pupils in our schools being combated?
ParlaMint-GB_2017-11-07-lords.u27	Between September 2016 and March 2019, the Government Equalities Office is providing £3 million for six projects that will support schools in England in preventing and responding to homophobic, biphobic and transphobic bullying.
ParlaMint-GB_2017-11-07-lords.u28	My Lords, that is an important part of education and PSHE. Can the Minister tell us when the consultation on PSHE will be concluded? Does he not agree that PSHE should be taught in all schools: maintained schools, academies and free schools?
ParlaMint-GB_2017-11-07-lords.u29	Recent changes to regulations have allowed the Secretary of State to require the teaching of PSHE in academies.
ParlaMint-GB_2017-11-07-lords.u30	I welcome the Minister in our first meeting at the Dispatch Box. I salute his sense of adventure in joining the Government in what may be politely described as interesting times. Surveys have revealed that parents are now more concerned about their children sexting than drinking alcohol and smoking, so the Government’s internet safety strategy Green Paper is certainly welcome. However, they need to spell out exactly who will pay the social media levy, how much they will pay and what it will be spent on. I realise these are questions for the future. The question of transparency for social media companies is also an issue. I want to ask the new Minister a question, but I will be happy if he wants to respond to me in writing. In May 2015, the noble Baroness, Lady Shields, was appointed Internet Safety and Security Minister—a post she held until June this year. If the Government are really serious about online safety, why has the noble Baroness not been replaced?
ParlaMint-GB_2017-11-07-lords.u31	I will have to respond to the noble Lord in writing, but to give some reassurance, the Digital Economy Act 2017 introduced requirements for online pornography provided on a commercial basis to be inaccessible to under-18s. The Internet Safety Strategy Green Paper, which we have just published, will also look at related issues.
ParlaMint-GB_2017-11-07-lords.u32	My Lords, will my noble friend accept that the problem goes way beyond direct abuse and bullying? Many children feel intimidated and coerced into using social media in the first place. They seem to have many more friends but many fewer relationships. Will he accept that there is a need to look at the research that says that children who manage to give up social media feel liberated and strengthened, emotionally, intellectually and socially, and that we should not restrict ourselves to the narrow point, important as it is, about direct abuse? There is an education programme the Government need to take responsibility for.
ParlaMint-GB_2017-11-07-lords.u33	My noble friend raises an important point. Parents need to be much more assertive in the way they manage their children’s use of electronic gadgets. In my case, I did not allow my children to use them until they were aged 13. That is something other parents should think about. Some of the studies we are funding this year, such as the Anne Frank Trust, help to develop a debate programme that encourages young children to think about the importance of tackling prejudice, discrimination and bullying.
ParlaMint-GB_2017-11-07-lords.u34	To ask Her Majesty’s Government whether the symptoms of neurotoxicity caused by prescribed prophylactic drugs are being addressed within veterans’ mental health diagnoses.
ParlaMint-GB_2017-11-07-lords.u35	My Lords, the majority of those serving in the Armed Forces have a positive experience, but it is our duty to make sure that veterans with physical or mental injuries continue to receive the best possible care. The Good Psychiatric Practice report from the Royal College of Psychiatrists states that clinicians must, “be competent in obtaining a full and relevant history that incorporates developmental, psychological, social, cultural and physical factors” Veterans, like all other patients, should be diagnosed in that way.
ParlaMint-GB_2017-11-07-lords.u36	My Lords, I am grateful to the Minister for that reply, but there is a very serious problem. I think particularly of the antimalarial Lariam, which is issued to members of the military without the normal warnings you get when given a drug. In some cases there are recognised psychotic results. Unfortunately, when these men become veterans they are referred to their GPs, who often have very little knowledge about the drug or its effects and who may well treat the patient for PTSD. Does the Minister recognise that there is a severe danger of these men being given drugs that will increase their psychosis and cause them to end up in prison?
ParlaMint-GB_2017-11-07-lords.u37	I reiterate the point I made in my Answer: NICE guidance on the treatment of post-traumatic stress disorder is clear that clinicians should take into account a range of factors when seeking to make a diagnosis. That should include the patient’s detailed case history, including medicines taken and under what circumstances. Regardless of whether the person is treated while serving or afterwards, that should be on their patient record, be accessible for anyone giving them direct care, and influence any prescriptions of treatments given. I also point out to the noble Countess that veterans’ issues are now in the training curriculum for all GPs. That came out of the Armed Forces covenant.
ParlaMint-GB_2017-11-07-lords.u38	My Lords, the treatment of veterans is clearly important, but so is prevention. Will the noble Lord confirm that for the drug the noble Countess referred to, whatever geographical area you are in in the world, there is always an alternative? Will he also confirm that the Surgeon-General told the Defence Select Committee last year that he could not guarantee that every member of the Armed Forces had a face-to-face risk assessment before the drug was given to them? Have the Government now ensured that face-to-face risk assessments take place?
ParlaMint-GB_2017-11-07-lords.u39	For the drug in question, Lariam is the brand name and mefloquine is the generic name. There are indeed alternatives available, and only 1% of antimalarial drugs prescribed to the Armed Forces are of mefloquine. There are instances when alternatives are not available, which may be because of a particular response to individual drugs or because the prescribing details are different—mefloquine is given on a weekly basis, for example—but the proportion is only 1%. The Defence Committee set out several recommendations, one of which was that there should be face-to-face risk assessments before prescribing. That figure is now up to 89% of the total; for the remaining 11%, the problem may be about recording rather than their not happening. The rate is much higher than it has been historically.
ParlaMint-GB_2017-11-07-lords.u40	My Lords, I was prescribed Lariam in 1985. When I came back from Kenya in 1986, I was specifically told that it was linked to suicide. When I became a Minister, I asked for this to be investigated, but unfortunately I was pushed off elsewhere before the results came in—it happens the whole time. Can my noble friend look again at this, because the threats from taking Lariam are often worse than the threat of getting malaria?
ParlaMint-GB_2017-11-07-lords.u41	I am glad to see that my noble friend is still in very good shape. It is important for me to point out that a link between mefloquine and severe and persistent psychiatric symptoms has not been established. What I can talk about is what the NHS is doing to make sure that there is proper treatment of and care for veterans and those serving in the Armed Forces. The MoD is now giving on a six-monthly basis a report to the House of Commons Defence Committee on its actions. As I said, that includes increased risk assessments and so on. This is constantly under review, not just in the government department but in the MHRA, which is the licensing authority with responsibility for drug safety.
ParlaMint-GB_2017-11-07-lords.u42	My Lords, the Lariam case is a severe one, and I understand that the manufacturers acknowledge the link on the packaging of the drug. More broadly, the Armed Forces covenant is an acknowledgment of the debt and duty that society owes to its veterans, but one challenge for those providing public services such as within the medical profession is to identify those who fall within the ambit of the covenant. Those who most need some of those resources and some of that help from public services are the least able to identify themselves. What are the Government doing to ensure that those who provide such services are fully aware of the status of those veterans?
ParlaMint-GB_2017-11-07-lords.u43	On the first point, there have been reviews at European level to improve the packaging and the patient information leaflets about any risk that might attend taking this drug or indeed any others. Status as a veteran is now recorded in the NHS and goes into the patient record.
ParlaMint-GB_2017-11-07-lords.u44	My Lords, the mefloquine help page for veterans and current serving officers is very good at explaining the signposting, but there is no mention in Meeting the Healthcare Needs of Veterans, which has not been updated since 2011. Only 2,000 GPs out of more than 50,000 have attended the day training course on working with veterans. Can the Minister ensure that at least one GP from every surgery has training, so that he or she can advise other GPs when they are helping to serve our veterans once they are back in the civilian workforce?
ParlaMint-GB_2017-11-07-lords.u45	The noble Baroness makes a good point. As I mentioned, that training is now in the curriculum, but of course that deals with the flow of new GPs as opposed to the stock of existing GPs. I shall certainly look at that and see what more can be done to make sure that GPs have up-to-date training.
ParlaMint-GB_2017-11-07-lords.u46	To ask Her Majesty’s Government, in the light of the publication of the report by the Industrial Strategy Commission on 1 November, what steps they are taking to improve the country’s productivity.
ParlaMint-GB_2017-11-07-lords.u47	My Lords, our Green Paper, published earlier this year, sets out how the industrial strategy will aim to maximise the UK’s earning power and productivity as we exit the EU and beyond. We are already taking major action to deliver our industrial strategy, including a £23 billion national productivity investment fund to drive improved productivity across the country. The White Paper, which will set out the plan for full and long-term delivery, is due to be published later this year.
ParlaMint-GB_2017-11-07-lords.u48	I thank my noble friend for his reply and I greet the commission’s report with enthusiasm. It suggests that there should be long-term investment in infrastructure, skills and education, but it takes a long time for those sorts of investments to improve productivity and, in the meantime, as we heard from the CBI yesterday, companies are holding back on investment because of concerns over Brexit. Will my noble friend tell me what predictions they are making for productivity in the short term as we go through the Brexit process?
ParlaMint-GB_2017-11-07-lords.u49	My Lords, we, too, welcome the Industrial Strategy Commission’s report. It is an independent inquiry, a joint initiative by the University of Manchester and the Sheffield Political Economy Research Institute, and as my noble friend will be aware, my right honourable friend the Secretary of State spoke at its launch. As I made clear in my original Answer, we will be publishing the industrial strategy later this year—I hope it will be by the end of this month—and if my noble friend will be patient, I think that when we produce that strategy she will see much there. As she will be aware, we have already made some fairly considerable announcements about investment: I mentioned the £23 billion national productivity investment fund which is there to drive improved productivity across the country, an area we certainly want to address.
ParlaMint-GB_2017-11-07-lords.u50	My Lords, I welcome the noble Lord back to the Dispatch Box in what I think is his fifth role since 2010, which must be a record of some kind. I was glad to hear him welcome the final report of the Industrial Strategy Commission, which makes very interesting reading and covers very interesting areas. One of its key recommendations to the Government is that health and social care should be at the centre of the industrial strategy. That may sound counterintuitive, but it makes the point that using the Government’s purchasing power to promote innovation in that sector and to increase productivity would be a good thing. Does the noble Lord agree with that, and will it appear in the industrial strategy?
ParlaMint-GB_2017-11-07-lords.u51	Perhaps I may correct one of the noble Lord’s statistics: it is only my fourth department since 2010. It is important to get these things correct. I am glad that the noble Lord, like the Government, welcomes the report; we will certainly take note of it. As I said, we are waiting for the industrial strategy to come out later this month, and I am grateful that he makes it clear that there are matters other than government spending which are important here, particularly in dealing with questions of productivity. We want to make sure that all levers that are available to the Government can be made use of. He mentioned purchasing. We will certainly make that clear, and I hope that other departments will do their bit. He mentioned purchasing within the health service, but there are other things that the Government can do as well, in relation to deregulation and trade policy, as well as procurement, which he mentioned.
ParlaMint-GB_2017-11-07-lords.u52	My Lords, I, too, welcome the Minister back to the Dispatch Box. His immediate predecessor gave those of us who are impatient for the industrial strategy White Paper a preview a couple of weeks ago. In that preview he identified three particular strands that will address the productivity issue that this commission has highlighted so well. One of those was skills, and in that he particularly highlighted apprenticeships. I am sure that the Minister has not had much time yet, but he will have noticed that the latest statistics from the manufacturing organisation, the EEF, show a 61% fall in the number of registrations for apprenticeships in the last quarter. Does he agree that this is not just disappointing, it is awful? Can he explain what the Government are doing to improve their lamentable performance over the apprentice levy, which is causing this problem?
ParlaMint-GB_2017-11-07-lords.u53	My Lords, I am not going to go into detail now but I am grateful that the noble Lord went to the meeting that my predecessor held and listened there. I agree that the figures are disappointing but again, if he can be patient and wait for the launch of the industrial strategy he will see what we are doing and what we are bringing together from all parts of the Government in this area.
ParlaMint-GB_2017-11-07-lords.u54	Does my noble friend agree that these productivity statistics can be a bit misleading? It has often been suggested that they fail to take full account of the impact of the digital revolution on production and economic activity. Does he also agree that the very high levels of employment that we are currently experiencing could in a sense be seen as a compensating asset in the overall low-productivity puzzle?
ParlaMint-GB_2017-11-07-lords.u55	My noble friend is right to stress that it is very difficult to measure productivity, but I think we all agree that our productivity levels are lower than those of a lot of other members of the G7 and that we want to do something about them. My noble friend is also right to say that there is the compensating factor—I am very grateful to him for underlining it—of record levels of employment in this country. We can be very proud of that.
ParlaMint-GB_2017-11-07-lords.u56	My Lords, among other matters, does the Minister consider that the availability of a virtually unlimited supply of hard-working and low-paid workers might be a disincentive to investment and therefore have some impact on productivity?
ParlaMint-GB_2017-11-07-lords.u57	Obviously the level of employees coming in from other countries has an influence on wages and employment in this country. The noble Lord is right to point that out.
ParlaMint-GB_2017-11-07-lords.u58	My Lords, there is substantial evidence that a large number of companies are using the new apprentice levy to train people already employed, often in mid-executive positions, rather than going out and finding young people and training them up as new apprentices, which is what one understood the scheme was for. Are the Government going to look into that and do their best to persuade companies that they should be training young apprentices as the first priority?
ParlaMint-GB_2017-11-07-lords.u59	The noble Lord is right to point that out. It is anecdotal evidence at this stage, but it is something that we should certainly look at.
ParlaMint-GB_2017-11-07-lords.u60	That the amendments for the Report stage be marshalled and considered in the following order: Clauses 1 to 12, Schedule 1, Clauses 13 to 17, Schedule 2, Clause 18, Schedule 3, Clauses 19 to 21, Schedule4,Clause 22, Schedule 5, Clauses 23 to 40, Schedule 6, Clauses 41 and 42, Schedule 7, Clause 43, Schedule 8, Clauses 44 and 45, Schedule 9, Clauses 46 to 59, Schedule 10, Clauses 60 and 61, Schedule 11, Clauses 62 to 66, Schedule 12, Clauses 67 to 71, Title.
ParlaMint-GB_2017-11-07-lords.u61	My Lords, I beg to move the Motion standing in the name of my noble friend Lady Sugg on the Order Paper.
ParlaMint-GB_2017-11-07-lords.u62	That the draft Order laid before the House on 20 July be approved.
ParlaMint-GB_2017-11-07-lords.u63	I beg to move that the draft Greater Manchester Combined Authority (Public Health Functions) Order 2017, which was laid before this House on 20 July 2017, be approved. The draft order we are considering today, if approved and made, will confer local authority public health functions on the Greater Manchester Combined Authority as agreed in the devolution deals, and support Greater Manchester’s programme of public sector reform The Government have, of course, already made good progress in delivering their commitment to implement the historic devolution deal with Greater Manchester. Since agreeing the first deal with Greater Manchester in November 2014, we have passed the Cities and Local Government Devolution Act 2016, followed by a considerable amount of secondary legislation for Greater Manchester, including: establishing the position of an elected mayor; new powers on housing, planning, transport, education and skills; transferring fire and rescue functions and assets; and setting out the operation of the police and crime commissioner function, which transferred to the mayor on 8 May The draft order we are considering today provides a further significant step for Greater Manchester. Greater Manchester has identified public sector reform and population health improvement as priorities. This draft order provides for the conferral of certain local authority public health functions on the combined authority. Once the order is made, the combined authority will be able to exercise those public health functions concurrently with the 10 metropolitan district councils in its area The main new function is conferral of a local authority’s duty to take such steps as it considers appropriate for improving the health of the people in its area. The effect of the order will be to treat the combined authority as if it were a local authority, with the same duty to improve population health and the same consequential requirements to comply with guidance and the NHS constitution, and with the ability to enter into partnership arrangements with local authorities and NHS bodies Conferral of local authority public health functions will enable a Greater Manchester-wide strategic leadership approach to the delivery of agreed public health functions and commissioning responsibilities—for example, public health intelligence, health needs assessment and health protection. It will support a Greater Manchester-wide approach to tackling health inequalities, variation in quality and service improvement to promote fair and equitable access and to achieve an upgrade in health outcomes for the population of the wider city. It will also support strengthened collaborative decision-making for population health through the identification of city- wide commissioning priorities and intentions, underpinned by shared principles and common commissioning standards —for example, commissioning for whole-system sexual health and substance misuse services. Finally, it will enable population health to be embedded across the city’s health, social care and wider public services through the Greater Manchester strategy and the population health plan Noble Lords will want to know that the statutory origin of the draft order before us today is in the governance review and scheme prepared by the combined authority in accordance with the requirement in the Local Democracy, Economic Development and Construction Act 2009. Greater Manchester published this scheme in March 2016 and, as provided for by the 2009 Act, the combined authority consulted on the proposals in the scheme The consultation ran from March 2016 to May 2016, in conjunction with the 10 local authorities in its area. The consultation was primarily conducted digitally, including promotion through social media. In addition, of course, respondents were able to provide responses on paper, and posters and consultation leaflets were available in prime locations across Greater Manchester. As statute also requires, the combined authority provided to the Secretary of State in June a summary of the responses to the consultation, and the Secretary of State concluded that no further consultation was necessary Before laying this draft order before Parliament, the Secretary of State has also considered the other statutory requirements in the 2009 Act. He considers that conferring these functions on the Greater Manchester Combined Authority is likely to improve the exercise of statutory functions in the area, and he has had regard to the impact on local government and communities, as he is required to do. Also, as required by statute, the 10 constituent local authorities and the combined authority have consented to the making of this order In conclusion, the draft order we are considering today, if approved and made, will confer local authority public health functions on Greater Manchester Combined Authority, enabling it to play a key role in improving the health of the population in Greater Manchester. I commend the draft order to the House.
ParlaMint-GB_2017-11-07-lords.u64	My Lords, first, I thank the noble Lord for his explanation of the order. As I am going to touch on oral health in Greater Manchester, I declare an interest as president of the British Fluoridation Society The order is unexceptional and we support it. It takes a sensible approach, enabling the combined authorities in Greater Manchester to undertake public health duties which at present fall just to individual local authorities. The Greater Manchester Health and Social Care Partnership has published a very interesting population health plan, which has a lot of very good things in it, and I commend the local authorities and the combined authority for what they are doing I mentioned my interest in oral health. It is well known that Greater Manchester has very poor oral health. It is also well known that, at a stroke, this could be dealt with by the introduction of fluoridation in the water supply in the north-west. All I would ask is that when the order has gone through, Greater Manchester be gently urged, through the Minister’s good offices, that an improvement in oral health be one priority that the combined authority—and indeed the mayor, who I know is a passionate believe in fluoridation—might take on. I hope the Government will encourage them in the right direction The order proposes that for some interventions, there can be reductions in visits to urgent care, a reduction in the number of people with chronic conditions, and that 700,000 people will be able to manage their chronic conditions more effectively. But of course, this takes place in the context of a very rocky position for the NHS and social care. The funding gap and the demographic pressures on the health service are severe. Inevitably, this is going to impact on the effectiveness of what Greater Manchester can do on health and social care as well as public health.
ParlaMint-GB_2017-11-07-lords.u65	I am very grateful to the noble Lord who has just spoken for setting out the fluoridation situation. I have written to the Mayor of Manchester on this very issue and sent him copies of all the Hansard replies over the years when I have asked what the difference is in health patterns between Manchester and Birmingham. The answer is always the dental situation. The general health in both the area that is fluoridated and the one that is not indicates no difference whatever. People who claim that fluoridation might be damaging to health have no foundation for that when the situation is the same in both cities What really alarmed me was when I read that Manchester was so desperately short of national health general anaesthetic beds for children in particular that it was having an effect on the whole bed supply, because so many children in Manchester required full clearance under general anaesthetic. It is hard to believe that it has reached a point where it is preventing other people having necessary operations. We also must not overlook the fact that those children will have been suffering considerable dental pain at the same time Another big pro for Manchester is that its water system is controlled by one large area, since it is large enough for that to be the case. In other local areas it might be that some very small local authority prevents the whole thing because its water would be taken into account when it was done. Greater Manchester is big enough to do this, though, and I hope it will. I am very pleased to hear that what the Minister said today is going to happen, and I am glad of the support of the Front Bench opposite.
ParlaMint-GB_2017-11-07-lords.u66	My Lords, I declare an interest as a member of Newcastle City Council and of its health scrutiny committee. I have served long enough to recall the original reorganisation of local government, combining public health services with social care, in the early 1970s. I congratulate the Government, the Mayor of Manchester and the combined authority on taking the issue forward in the way that the Minister described. Perhaps I should also declare a rather unfortunate interest as I myself am suffering from some oral problems—not, however, as a result of any lack of fluoridation in the north-east. In fact we have a very good record on that; it is one area in which we somewhat lead the way My noble friend referred in passing to funding. The public health budget is under great pressure. I hope that the Minister will be arguing the toss with the Chancellor for the forthcoming Budget and the following announcement of the local government finance settlement, which will come no doubt on Christmas Eve or thereabouts. It is crucial that this innovative approach by Manchester, but also the work done by authorities up and down the country under the present system, is adequately funded, and there is a real risk of serious problems arising unless that occurs In congratulating Manchester and the Government on this step, however, I ask the Minister what progress he anticipates being made on the rather more difficult area of combining health and social care provision in the way envisaged by the agreement and advocated by the Government across the whole policy field. That will be much more difficult than what is being carried through in Manchester under the terms of the order. The NHS structure is so complicated that it is difficult for local authorities to deal with it adequately now in one local authority area, let alone across a wider area. I cite as an example the difficulties that my authority and the area I represent in the city are having with the clinical commissioning group, which is a big, powerful body, one of several separate powerful bodies within the NHS, and has decided to close a surgery in an area of considerable social need, quite a distance down the hill, as it were, from other surgeries and where there is a growing population on a new housing development in the area This suggests that any further development of the combination of health with local services will need a review of how all the partners to that manage to co-operate. It will be very interesting to see what Manchester manages to achieve in that regard. My advice to my colleagues in Newcastle would be, frankly, while exploring options to wait and see what happens in Manchester and how it works out when that stage is reached. I appreciate that we are not at that stage yet, but it is necessary to flag up some of the potential difficulties that might have to be faced if we are to have really effective collaboration across the whole field of health and social care.
ParlaMint-GB_2017-11-07-lords.u67	My Lords, perhaps I may take this opportunity to question my noble friend on the fluoridation programme. I must declare an interest. I cut my legal teeth as a devil and an apprentice with Simpson & Marwick, and my devil master was the junior advocate in the fluoridation case brought by a pensioner who had dentures—she had none of her own teeth. She objected to the fluoridation programme to be carried out by Strathclyde regional council in the early 1980s. She won her case and Strathclyde regional council did not fluoridate the water supply at the time on the grounds that compelling evidence was led by the petitioner, Mrs McColl, to prove, among other things, that fluoride could be a carcinogen Has the Minister taken the time to consider such evidence, and can he assure the House that the level of fluoridation in the public water supply will not be such that any such fears will be raised in the fluoridation programme to be carried out by Greater Manchester council?
ParlaMint-GB_2017-11-07-lords.u68	My Lords, perhaps I may ask the Minister about infectious diseases and express my interest as a past chairman of what was the Public Health Laboratory Service and as a Mancunian. Infectious diseases know no boundaries, and it is important with any infectious disease outbreak, which may occur anywhere in the UK, that information is spread very easily to epidemiological centres and central laboratories, so that such outbreaks can be traced and checked. Is there anything in this agreement that will ensure that there is association, collaboration and co-operation with the central laboratory services?
ParlaMint-GB_2017-11-07-lords.u69	I thank noble Lords for their contributions and for their broad support for the order before the House today. As I outlined, it represents another significant milestone in the Government’s devolution agenda and I am glad that that has been welcomed across the House. I will try to respond to the various points that noble Lords have made Like the noble Lord, Lord Hunt, we support the idea of the population plan, which will clearly differ from place to place where there is this kind of devolution. I stress that an important and distinctive part of this plan is that it confers on the combined authority the same powers and responsibilities as a local authority. It is therefore about them acting concurrently, rather than in an overbearing way, or seeking to override I have been in your Lordships’ House long enough to know that fluoridation is an area of particular interest. I wonder only why it has taken so long for me to have to answer a question on it. This is a devolution deal, and it is therefore about those powers being taken locally and acting in concert. I do not think it is consistent with the idea of devolution for me to urge any combined authority to point in one direction or another, and it sounds like my noble friend Lady Gardner has been doing plenty of urging already. Any such move would have to be made in concert by all 10 of the local authorities and the combined authorities and be done through the usual processes of consultation and so on, with regard to all the responsibilities that attend on those public health powers. I hope that provides some reassurance to my noble friend Lady McIntosh.
ParlaMint-GB_2017-11-07-lords.u70	After the Strathclyde case and the ruling from Lord Jauncey, the then Conservative Government took legislation through both Houses of Parliament to make sure that fluoridation was legal and above board. That was based on evidence that has not been undermined since.
