ParlaMint-GB_2017-04-06-lords.u1	To ask Her Majesty’s Government what steps they are taking to curb the use of tax havens.
ParlaMint-GB_2017-04-06-lords.u17	My Lords, the noble Lord has given his usual charming and reasonable answers, if somewhat unconvincingly in some cases. However, I wonder whether the truth of the matter is displayed by his boss, Philip Hammond, who in an interview with a German newspaper in January said: “I personally hope we will be able to remain in the mainstream of European economic and social thinking. But … We could be forced to change our economic model, and we will have to change our model to regain competitiveness. And you can be sure we will do whatever we have to do” Is his boss threatening to turn Britain into a Cayman Islands-like tax haven?
ParlaMint-GB_2017-04-06-lords.u18	My Lords, we want to remain competitive in a world economy and to attract inward investment. Although we have reduced corporation tax since 2010, onshore corporation tax receipts have gone up by 50% since that date, despite the reduction in the rate. Reducing corporation tax encourages business investment and growth, and one estimate has shown that the cuts announced since 2010 amount to an estimated increase in GDP of 1.3%.
ParlaMint-GB_2017-04-06-lords.u19	To ask Her Majesty’s Government what plans they have to engage United Kingdom parliamentarians in the process and programme for the forthcoming Commonwealth Heads of Government Meeting in the United Kingdom, in particular with respect to the expansion and strengthening of international cultural, trade and investment initiatives.
ParlaMint-GB_2017-04-06-lords.u20	My Lords, this Government recognise the strong contribution of UK parliamentarians to Commonwealth activities, including on enhancing opportunities for trade and investment. We will engage closely with parliamentarians and other Commonwealth stakeholders, including the CPA UK, in designing and delivering an ambitious, creative and innovative Commonwealth summit. We want to make the most of all the Commonwealth has to offer and demonstrate a Commonwealth that is truly relevant for the 21st century.
ParlaMint-GB_2017-04-06-lords.u21	My Lords, I thank the Minister for that reply. The CHOGM summit provides a golden opportunity for all Commonwealth parliamentarians to demonstrate their commitment to democracy, transparency, the rule of law and human rights as laid down in the Commonwealth charter. Will the Minister, therefore, press the Government to support the CPA UK’s plan to hold a linked Commonwealth conference prior to CHOGM? Will she press for a parliamentary forum at CHOGM itself, following the example set by many international high-level meetings?
ParlaMint-GB_2017-04-06-lords.u22	The noble Lord raises important points, all of which we are very much taking into account, I assure him. Indeed, most recently I met Andrew Tuggey of the CPA UK to discuss what shape its plans might take—not only, of course, what deliverables there could be for the event itself, but the participation by CPA UK members more generally in the civil society events.
ParlaMint-GB_2017-04-06-lords.u23	My Lords, I declare an interest as chairman of the Commonwealth Enterprise and Investment Council. Is not one of the best ways of engaging parliamentarians up to CHOGM to boost the current Prime Minister’s trade envoys network, which is cross-parliamentary and has been very successful? Would not my noble friend the Minister agree that a dedicated Commonwealth trade envoy should be appointed, as suggested by the Maltese chair-in-office of the Commonwealth?
ParlaMint-GB_2017-04-06-lords.u24	Again, those are important points. On the trade envoys, eight envoys currently cover 10 Commonwealth countries. The programme has been recently reviewed and recommendations on the future direction of the programme, including suggested new markets, are with No 10 for consideration. We will certainly take the proposal for a trade envoy or ambassador into consideration.
ParlaMint-GB_2017-04-06-lords.u25	My Lords, does the Minister agree that parliamentarians across the Commonwealth should also be involved in campaigns for more openness, which should include science and law? This week there was a conference about the openness of legal aspects of the Commonwealth at the University of London.
ParlaMint-GB_2017-04-06-lords.u26	I am delighted that the noble Lord has raised this issue. We discussed it briefly outside the Chamber and I assure him that his views will be taken firmly into account.
ParlaMint-GB_2017-04-06-lords.u27	My Lords, would it not be plausible to make full use of the internet and to devise a website to allow for two-way exchanges of opinion among all parliamentarians around the whole of the Commonwealth?
ParlaMint-GB_2017-04-06-lords.u28	I assure the noble Viscount that, as part of the programmes that we are putting forward and consulting widely on, it is our intention to make the best use we can of the internet and all it can deliver. In some areas around the world, of course, it is more difficult to get the broadband speed. However he is absolutely right that modern communication is important. After all, we have to think of the young age of most people across the Commonwealth.
ParlaMint-GB_2017-04-06-lords.u29	My Lords, the first principle of the Commonwealth charter is democracy. Therefore my noble friend is undoubtedly right. The second concerns human rights. Will the Minister guarantee that the Government will put as a major theme the promotion not only of women’s rights but of those within the LGBT community?
ParlaMint-GB_2017-04-06-lords.u30	Again, that is a very important issue; “yes” is the answer to it. However, more particularly, we are working out our plans to ensure that important messages are delivered on LGBTI issues at the summit. I have already had discussions about this and I know that Kaleidoscope and the Commonwealth Equality Network are putting forward an agenda, and we want to see how that can feed into the work that we are doing.
ParlaMint-GB_2017-04-06-lords.u31	My Lords, I reinforce the remarks of the noble Lord, Lord Chidgey, and my noble friend Lord Marland. Does my noble friend agree that the pathway from here to the Commonwealth summit next April is an immensely important one and that we must do everything we can to strengthen it? Will she accept my very strong welcome for the decision of the Prime Minister to appoint a powerful Cabinet Office unit to carry this work forward? Does she agree with the comments of my noble friend Lord Marland that a network of 2.5 billion people using English as their working language is a fabulous potential opportunity for this country? Will she urge all concerned, especially some of the doubters about the potential of the Commonwealth, that they should look to the future of our service-based economy rather than harp on about the past?
ParlaMint-GB_2017-04-06-lords.u32	As always on Commonwealth matters, my noble friend makes the most important points and I can do no more than thoroughly agree with him.
ParlaMint-GB_2017-04-06-lords.u33	My Lords, will the Government ensure that educational exchanges at all levels are given a high priority?
ParlaMint-GB_2017-04-06-lords.u34	Indeed, my Lords. That is the reason the Commonwealth team is cross-departmental, which ensures that we can take all the issues into account.
ParlaMint-GB_2017-04-06-lords.u35	My Lords, my noble friend the Minister has outlined the design and creation of an appropriate programme. I declare an interest as the leader of a Commonwealth initiative on freedom of religion or belief. Will she consider meeting, as she has done in the past, parliamentarians and representatives from CPA UK, the Youth Parliament and the Commonwealth Youth Parliament so that everyone can play a part in designing the programme?
ParlaMint-GB_2017-04-06-lords.u36	My Lords, recently I met a representative of the Youth Parliament and discussed issues around the summit. I assure my noble friend that the important point she has made will indeed be taken into consideration. I am already holding a series of meetings, as are members of the Commonwealth team now based in the Cabinet Office.
ParlaMint-GB_2017-04-06-lords.u37	My Lords, one important consideration about trade which is often ignored is the need to ensure that we advocate strong minimum standards and support the International Labour Organization. I hope that the noble Baroness will be able to reassure the House that when we engage civil society in CHOGM, we will also include trade unions and the international trade union movement so that we can advocate strong labour standards.
ParlaMint-GB_2017-04-06-lords.u38	Yes, my Lords. Yesterday I had the privilege of being able to meet Owen Tudor, who heads the TUC’s international relations office, to discuss how his agenda and the decisions that might be made in June by TUC organisations can feed into the summit process.
ParlaMint-GB_2017-04-06-lords.u39	To ask Her Majesty’s Government what steps they are taking to encourage all sports governing bodies to increase the number of women on their boards and in senior posts.
ParlaMint-GB_2017-04-06-lords.u40	My Lords, in December 2015 the Government published their Sporting Future strategy, which stated that UK Sport and Sport England would agree to a UK sports governance code to strengthen existing commitments. The code for sports governance was published in October last year and requires each funded organisation to adopt the target of a minimum of 30% of each gender on its board. That will be in place by October this year. The new governance code will be mandatory for all sports bodies seeking public funding from April this year.
ParlaMint-GB_2017-04-06-lords.u41	I thank the noble Lord for that Answer. Can we have some enlightenment about what the Government are doing to make sure that there is not only an attempt to recruit but also a steady stream of candidates? Are we doing enough to identify women with the correct talents and letting them know that there is a pathway to go forward? If not, are these sports required to undertake the correct training?
ParlaMint-GB_2017-04-06-lords.u42	My Lords, Sport England is developing its future leadership programme, which will be launched later this year. Women are a priority group identified by Sport England for the scheme. It will identify suitable female candidates who will be given the chance to develop their leadership potential in sports organisations and succeed in senior leadership roles.
ParlaMint-GB_2017-04-06-lords.u43	My Lords, I declare an interest as an officer of the All-Party Parliamentary Group for Women’s Sport and Fitness. I congratulate the Government on the progress which has been made on this issue, but does my noble friend the Minister agree that we should give equal priority to those from BME and disability backgrounds to become members of British governing bodies of sport? At present they are severely and unacceptably underrepresented.
ParlaMint-GB_2017-04-06-lords.u44	My Lords, I agree with my noble friend. The figure of 30% for women is one thing, but the Sporting Future strategy also outlines the requirement for diversity in all areas and expects the sports national governing bodies to produce diversity programmes which should be published annually in order to report on progress.
ParlaMint-GB_2017-04-06-lords.u45	My Lords, I declare a number of interests in this area that are listed in the register. A number of governing bodies could do much better on this. The pipeline is incredibly important, but what are the Government doing to ensure ex-athletes—I declare an interest—have an opportunity to move on to boards? A number of athletes are on programmes. There could be training opportunities. It is not just sitting on boards and being chief execs and chairmen of governing bodies, but senior coaching roles, where we have a huge lack of women numbers.
ParlaMint-GB_2017-04-06-lords.u46	My Lords, I completely agree with the noble Baroness, who obviously knows about these things first hand. UK Sport is working to address this, but there are issues that have to be addressed. The main thing is there has been a sea change in attitudes towards diversity in general and women in sport in particular. The present Sports Minister deserves great credit for taking a very firm approach to this and making significant progress.
ParlaMint-GB_2017-04-06-lords.u47	My Lords, will the Minister reflect on the progress achieved in the run-up to the London 2012 Olympics in increasing participation, particularly among girls in school? I therefore invite him to take the opportunity of the Athletics World Championships, which will be held in London this summer, to declare once again the Government’s support and commitment to increasing participation in sport among schoolchildren, with a very particular focus on boosting participation among young girls.
ParlaMint-GB_2017-04-06-lords.u48	Again, I agree entirely with that. Key to our strategy is getting people involved in sport, but also activity in general, not just sport. We definitely want to include children at a younger age. As I said the other day, we have included children down to the age of five. We want to get all children and young people involved in activity.
ParlaMint-GB_2017-04-06-lords.u49	My Lords, the poor state of women’s representation on boards is not confined solely to sports boards. Last year, the number of women being promoted to boards of the UK’s largest companies slowed for the first time. Women’s representation on boards of all kinds is vital if we want a prosperous economy that works for everyone. What do the Government intend to do about this situation?
ParlaMint-GB_2017-04-06-lords.u50	My Lords, that really is not in the remit of the Department for Culture, Media and Sport, but I will refer the noble Baroness’s question to the relevant department.
ParlaMint-GB_2017-04-06-lords.u51	My Lords, will my noble friend say whether the Government intend to publish quotas for all categories, not just men and women but all those in between and people who do not feel comfortable with one or the other of those categories? It would be so unfair if we did not—would it not?
ParlaMint-GB_2017-04-06-lords.u52	I can be very clear to my noble friend: we do not intend to publish quotas.
ParlaMint-GB_2017-04-06-lords.u53	My Lords, will the Minister confirm that the Government are still very keen on more women in Parliament in both Houses, because they are half the human race? If we had that, we would have less hysterical politics.
ParlaMint-GB_2017-04-06-lords.u54	Again, I do not think that is within our remit, but the Government are keen to have more women in Parliament.
ParlaMint-GB_2017-04-06-lords.u55	My Lords, this Question is really about ensuring access to sport, particularly for women. While we have been discussing this Question on governance, we are seeing UK Sport reducing its funding for premier sports in areas where women have been involved. Has the Minister any further comment on the turning down of the recent appeals by synchronised swimming, badminton and handball, which has sent a very wrong signal to women?
ParlaMint-GB_2017-04-06-lords.u56	My Lords, I think the noble Lord is referring to Tokyo funding for elite sports. We had a debate on that. The Tokyo funding settlement for the next four years has been decided and is still on the same basis, which is to achieve the maximum number of medals. The decision has been made in line with that strategy. However, I said at the time that there is a debate to be had on whether that will be the correct approach in future and whether we should encourage people to take more active participation in sport below the elite level. That debate is to be had, but the strategy has been set for the next four years.
ParlaMint-GB_2017-04-06-lords.u57	To ask Her Majesty’s Government whether they will reconsider changes to bereavement benefits for parents with dependent children.
ParlaMint-GB_2017-04-06-lords.u58	My Lords, bereavement support payment is a new benefit intended to help people with the immediate additional costs of bereavement. It will not be taxed and is disregarded for income-related benefits, thus helping those on the lowest incomes the most. Those who need further support will be able to access better-placed areas of the welfare system for long-term, means-tested financial assistance.
ParlaMint-GB_2017-04-06-lords.u59	I thank my noble friend for his response and agree that the old system needed modernising and the new system has some advantages, but these reforms are designed to cut £100 million from welfare spending for bereavement. Within that reduced budget, bereaved partners without children will get more at the expense of those with young children, who will receive significantly reduced support which will stop completely after just 18 months. What is our national insurance welfare state for if not to support families properly in such tragic circumstances? Will my noble friend acknowledge the problems that this is likely to cause and relay concerns from across this House expressed in a cross-party letter to my right honourable friend the Secretary of State asking his department to reconsider these reforms by extending support for bereaved children beyond the inadequate 18 months?
ParlaMint-GB_2017-04-06-lords.u60	My Lords, I am aware of the letter that my noble friend refers to. My right honourable friend will answer it in due course. I can give an assurance that we have consulted on these matters—my noble friend will be aware of this because she was a part of it—legislated on them and consulted on them again. We made changes to the regulations before we introduced them and we have made a commitment in the impact assessment that there will be a further review. Nevertheless, I will convey my noble friend’s concerns to my right honourable friend, and I am sure that, his door always being open, he will be more than happy to see her.
ParlaMint-GB_2017-04-06-lords.u61	My Lords, I also signed the letter and was pleased to do so. There is genuine feeling around the House that the Government have made a mistake on this. What will happen in practice is that a six year-old who lost her father last year will be supported until she leaves school; if her father dies next year, that support will stop after 18 months. That cannot be right. I know that I gave the Minister a hard time a few weeks ago when the regulations were in Grand Committee, but I do not blame him; I know that he did not make the decision. I think that we are now at the point where the whole House recognises that the Government have made a mistake. These cuts were simply part of an attempt to cut £12 billion off social security. The House does not believe that the Government should be taking money away from bereaved children. Will he please tell his Secretary of State that?
ParlaMint-GB_2017-04-06-lords.u62	My right honourable friend will obviously listen to what the noble Baroness has had to say, but I reject her allegation that these are cuts. There will be no savings to the taxpayer in the first two years; thereafter, as was made clear in the impact assessment, there will be some savings. The important point to get over is that we have increased the initial payment, which was frozen by the previous Government in 2001 and remained frozen for many years, from £2,000 to £2,500. We then make payments for 18 months to those with children. Obviously, no element of money will resolve the problems that individuals who have lost one or other parent will have. This is designed to help with the immediate costs of that bereavement. That is why we think that, by increasing the initial payment, we have made a very real change and provided some support for those with children.
ParlaMint-GB_2017-04-06-lords.u63	My Lords, the DWP impact assessment taken from the consultation on the website suggests that bereavement benefits make up a tiny part of the welfare budget, accounting for 0.32% in 2016-17 and anticipated to fall to 0.27% by 2019-20. I totally support the Government in the need to reduce the welfare bill, but it should not be done here. If children are bereaved, there is no fraud; you cannot fake it, or even abuse the system. Are we not, as I fear, targeting the wrong area?
ParlaMint-GB_2017-04-06-lords.u64	My Lords, again I do not accept what my noble friend said. We have made changes to this because the old system of three benefits—bereavement payment, bereavement allowance, widowed parent’s allowance—was overcomplicated, had been in place, with minor changes, since around 1920 and needed change. We have made a change that provides extra support at the immediate moment that that support is needed and appropriate support for those with children. There are, as I said, no immediate savings to the taxpayer; there might be savings later but it is always important, in all matters relating to benefits, to keep an eye on the overall costs.
ParlaMint-GB_2017-04-06-lords.u65	My Lords, I too signed the letter to the Secretary of State. I fully accept that the system needed reform, but those of us who spend a lot of time looking after people in bereavement know that a widowed parent may sometimes have to spend several years giving considerable extra time, attention and care to the children. In practice, that may necessitate working only part-time for a number of years while children are still at home. Previously in this House there was an assurance that income-related benefits would be there to support such parents, but under universal credit that is not so simple. Can the Minister reassure us that bereaved parents will not be subject to the in-work conditionality requirements that apply under universal credit?
ParlaMint-GB_2017-04-06-lords.u66	My Lords, those requirements were explained, I think, by my honourable friend Caroline Nokes when the regulations were dealt with in the Commons. They are complicated but the simple fact is that universal credit and other income-related benefits are there to fill the gap after that 18-month period. We believe that, with a contributory benefit such as bereavement support benefit, it is quite right to make that very generous initial payment, to then provide some support for those with children for 18 months and thereafter to let people seek help from income-related benefits.
ParlaMint-GB_2017-04-06-lords.u67	My Lords, we understand the Government’s need to reduce the benefits bill; however, we believe that this is not the right place to do it. Given the spotlight that has recently been shone on the devastating impact of children suffering bereavement by the programme on Rio Ferdinand, I ask the Minister to talk to his colleague, the Secretary of State, and ask him to reconsider this policy and the devastating impact it will have.
ParlaMint-GB_2017-04-06-lords.u68	My Lords, I have been trying to explain that I believe that this benefit is an improvement in offering support at the initial stage, which is where it is important. I do not believe, and I do not think that the noble Baroness would believe, that any sum of money is going to deal with the problems of bereavement suffered by the surviving spouse or the children, but I believe that appropriate support ought to be offered for a period. That is what we have done, that is what we consulted on, that is why we made changes after that consultation, having listened to what people said, and that is what this new benefit will do. I think that that is the right way forward.
ParlaMint-GB_2017-04-06-lords.u69	To ask Her Majesty’s Government what assessment it has made of the potential impact of the adoption by the European Parliament of a resolution on the UK’s withdrawal from the EU on its ability to achieve the negotiating objectives set out in its White Paper.
ParlaMint-GB_2017-04-06-lords.u70	My Lords, I beg leave to ask a Question of which I have given private notice.
ParlaMint-GB_2017-04-06-lords.u71	My Lords, we note the European Parliament’s views on our upcoming negotiations and we shall carefully consider the content of the resolution. We recognise and respect the vital role that the European Parliament will play in our exit process and we shall stay engaged with it throughout that process.
ParlaMint-GB_2017-04-06-lords.u72	I thank the Minister for that. The significance of the resolution is that the European Parliament will base its decision on whether to grant—or, indeed, withhold—its consent to our withdrawal deal on whether its objectives have been met. In the light of that, I ask the Minister, first, whether she will give some thought to a Parliament-to-Parliament dialogue so that both bodies with a potential veto can discuss and debate the issues together? Secondly, what is the Government’s response to the resolution’s suggestion that an association might be appropriate for our future relationship with the European Union?
ParlaMint-GB_2017-04-06-lords.u73	I thank the noble Baroness for raising two important points. On the question of inter-Parliament relationships—between the Parliament of the United Kingdom and the European Parliament—the negotiating conduit is clearly from the UK Government to the European Commission. But it seems a perfectly healthy suggestion that the Parliaments should engage; and indeed that is for the Parliaments themselves to determine, as government does not control Parliament and nor should it do so. On the second important issue, it was helpful that the European Parliament recognised the importance of the citizenship issue. The Prime Minister has made it clear that in so far as citizenships are concerned, from the UK perspective we want to have that at the forefront of our negotiations. In relation to the European Parliament resolution, we certainly look forward to an early resolution of the issue of citizenships and citizenship rights.
ParlaMint-GB_2017-04-06-lords.u74	My Lords, speaking as one who sat through the entire three hours of the debate in Strasbourg yesterday, will the noble Baroness accept from me that the pervading feeling there was one of sadness? Is she aware that Michel Barnier suggested that the three conditions for successful negotiations were: first, unity, by which he meant success for both sides; secondly, to dispel uncertainty; and thirdly, the establishing of appropriate sequencing of the negotiations? Will the Government endorse that approach?
ParlaMint-GB_2017-04-06-lords.u75	I thank the noble Lord for his question. What was reflected in the European Parliament yesterday echoes much of what the United Kingdom Government have been saying. Quite simply, there is a mutual interest for the UK and the EU in conducting these negotiations in a harmonious, constructive and, yes, robust fashion. That means that there will be issues where firm positions have to be taken, but I very much hope that a mood of constructive concord will prevail. In so far as the particular points made by Mr Barnier are concerned, I am sure that all these matters are already in the mind of the UK Government and that they will pay close attention to those issues.
ParlaMint-GB_2017-04-06-lords.u76	My Lords, will the Minister agree that one part of the position endorsed by the European Parliament—which is to talk about sequential rather than concurrent negotiations on the new partnership—is thoroughly unhelpful? Will she recognise that there is broad support, I believe, in this House and in the other place for the Government’s view that the negotiation on all these matters should go ahead without further delay? If she does agree, will she tell us what the Government are doing to persuade the members of the European Council and the European Parliament to soften their unfortunate attachment to a sequential approach?
ParlaMint-GB_2017-04-06-lords.u77	I thank the noble Lord for his question. We are all aware that the backdrop to this is now a timeframe of two years. I think that that will focus minds, and I have noted with interest what he has said. There is a recognition that there is a complex and challenging negotiation ahead. There is a great deal of material to be debated, discussed, digested and, we hope, then agreed upon. That will require minds to focus within the timescale available. I am very grateful for the noble Lord’s observation and am sure that when he asks me what the Government will do, they will pay close attention to his wise words.
ParlaMint-GB_2017-04-06-lords.u78	My Lords, rather than the Government talking up their dangerous no-deal option, will they now accept that a timeframe of two years is completely unrealistic and that a transitional deal will obviously and inevitably be required? If they accept that, as they should, will they also acknowledge that the European Court of Justice will have authority over that transitional deal, as confirmed in the draft Council guidelines as well as in the Parliament’s resolution, so that the Government will be unable to fulfil their pledge to remove the UK from ECJ jurisdiction by March 2019 if they are to fulfil their aim of agreeing a trade deal? Will they now openly acknowledge that point so that there is no more disingenuous avoiding of it?
ParlaMint-GB_2017-04-06-lords.u79	I thank the noble Baroness for her question. The fundamental difference between the position of her party and the position of my party is that my party respects democracy and will abide by that referendum result.
ParlaMint-GB_2017-04-06-lords.u80	Oh!
ParlaMint-GB_2017-04-06-lords.u81	That is something which I believe is an alien concept to the Liberal Democrats Everyone is realistic about the timeframe pressure of two years. I do not agree that it is impossible to negotiate a sensible deal within that timeframe any more than I think the EU thinks it is impossible to do it. I think the EU is being constructive. The European Parliament debate and resolution show that the EU is being constructive. That is a great encouragement for the United Kingdom, and we will now proceed with these negotiations in a constructive and optimistic spirit.
ParlaMint-GB_2017-04-06-lords.u82	My Lords, does my noble friend accept that it is not just with the European Parliament that we need a constructive concord? We need constructive and intensified relations with the Parliaments of the other 27 members and, indeed, some of the local Parliaments as well. This is a major task, but in this digital age it is very much easier than it would have been in the past. Will she encourage all kinds of contact between our Parliament and the Parliaments of the other member states of the European Union?
ParlaMint-GB_2017-04-06-lords.u83	I thank my noble friend for his observation. It is a positive contribution. It should be made crystal clear that the conduit for the negotiations has to be between the United Kingdom Government and the EU Commission. That is the silo, if you like, for the negotiations. That does not prejudice the normal diplomatic discourse and the desirable conversations that will take place between the United Kingdom and other member states. That is an ongoing and healthy process, but we should be clear that the formal channel for the negotiations is between the UK Government and the EU Commission.
ParlaMint-GB_2017-04-06-lords.u84	My Lords, the Minister—
ParlaMint-GB_2017-04-06-lords.u85	My Lords, has the Minister had time to consider paragraph 29 of the European Parliament resolution, which calls for the relocation of the European Banking Authority and the European Medicines Agency from the United Kingdom to another country in Europe as quickly as practicable? Have the Government made any assessment of the impact of that?
ParlaMint-GB_2017-04-06-lords.u86	If I can recover from the stereophonic effect of the contributions from the Labour Benches, I thank the noble Lord for raising that issue. It is specific to the negotiations. I am certain that it will be discussed within the negotiations. It would be quite wrong for me to pre-empt an answer to that, and I am not going to do so.
ParlaMint-GB_2017-04-06-lords.u87	My Lords, in order to calm the rhetoric in the European Parliament, will my noble friend think of sending a certain United Kingdom Member of that Parliament a definition of the word “mafia” and a copy of How to Win Friends and Influence People?
ParlaMint-GB_2017-04-06-lords.u88	As ever, my noble friend seeks to pour oil on troubled waters. I am sure his comments will be noted.
ParlaMint-GB_2017-04-06-lords.u89	The Minister is right to say that it is for the two Parliaments to decide this matter, but in view of her special knowledge, will she accept a proposal that I have already made to the noble Lord, Lord Bridges, that the Government consider giving support to the idea of a model similar to the British-Irish Parliamentary Assembly, which could be very good for both Parliaments in building a positive relationship between the UK and the EU?
ParlaMint-GB_2017-04-06-lords.u90	That is among a number of very positive suggestions that have been made. I am sure that the Government are interested in and will listen to such suggestions and will give due consideration to such matters in future.
ParlaMint-GB_2017-04-06-lords.u91	That this House takes note of the Report from the European Union Committee Brexit and the EU budget (15th Report, HL Paper 125).
