ParlaMint-GB_2017-03-14-commons.u1	1. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u13	I thank my hon. Friend for his question and wholly endorse what he says. The Secretary of State and I saw at first-hand when visiting the new Siemens offshore wind blade turbine factory in Hull just what this technology and engineering can do to inspire, in particular, young people in the area about opportunities for employment in this exciting sector.
ParlaMint-GB_2017-03-14-commons.u14	Nuclear power is an important part of the transition to a low-carbon economy. Will the Minister update us on the small modular reactor competition?
ParlaMint-GB_2017-03-14-commons.u15	I congratulate my hon. Friend on her election to the Select Committee, and she is absolutely right: energy innovation is critical to both our future ability to reduce the cost of decarbonisation and unlocking the industrial opportunities inside the low-carbon energy sector. We are reviewing our plans in relation to our energy innovation portfolio. The nuclear industry is a very important part of those plans, and I hope we will have something to say very shortly.
ParlaMint-GB_2017-03-14-commons.u16	The Minister will be aware that we in the south-west do not share the Scottish National party’s negative view of the Hinkley Point power station project, but will he reassure me about what work the Government will do to ensure that young people have the skills to take the jobs that will become available in these industries?
ParlaMint-GB_2017-03-14-commons.u17	I thank my hon. Friend for correcting the impression that investment in new jobs in the nuclear industry is somehow bad news, given the commitment that 65% of the content of Hinkley should be supplied from this country. Just as important is the contribution it makes to upgrading our power infrastructure and making sure this country has the ability to access reliable low-carbon energy in the future.
ParlaMint-GB_2017-03-14-commons.u18	Last week, the Budget failed to stop the 800% rise in business rates for companies that have installed solar panels. This week, research published in the journal Nature Energy states that to achieve our targets set out in the Paris agreement we need to set out longer-term plans beyond 2050, yet the Government have now dithered for five years and still refuse to publish their own implementation plan, even up to 2030. How does the Minister propose to increase our low-carbon exports when he cannot even set out how we will achieve our medium-term climate targets?
ParlaMint-GB_2017-03-14-commons.u19	The hon. Gentleman accuses us of dithering, but our performance on emissions during the last Parliament was one of the most successful since 1990. He talks about delaying the emissions plan but he will know that the fifth carbon budget was set only last July. This country, and this Government, have a proud record of proving that we can reduce emissions while growing our economy, and we will continue to build on that.
ParlaMint-GB_2017-03-14-commons.u20	With more than 30 large wind turbines in the borough, Kettering is coming close to generating more green electricity than it consumes, but what incentives are there in the business rates and planning systems to reward housing developments and business start-ups that are low carbon?
ParlaMint-GB_2017-03-14-commons.u21	I thank my hon. Friend for pointing out how much progress we are making at the local level as well as nationally on the transition to green power. This has been facilitated by substantial investment through public subsidies and, as we look to encourage the deployment of renewable energy through competitive markets—preferably subsidy free—we are looking at what else we can do to facilitate that using the tools available to the Government.
ParlaMint-GB_2017-03-14-commons.u22	Our concern on Hinkley is that the Government appear to be stacking the deck in favour of nuclear power over the much cheaper renewable energy. The strike price for Hinkley was £92.50 in 2012, compared with a much lower £82.50 for onshore wind in 2015, yet in the value-for-money assessment the Government assume a £90 strike price for onshore wind. Why are they inflating the price for renewables in comparison to Hinkley?
ParlaMint-GB_2017-03-14-commons.u23	I hope that the hon. Gentleman does not want to give the wrong impression. He knows from his experience that one of the keys to a successful energy policy is diversity of supply. That is the key to energy security, which is the primary responsibility of every Government. Ensuring diversity of supply is absolutely evident in what we as a Government are trying to do.
ParlaMint-GB_2017-03-14-commons.u24	The Minister has completely missed the point of my question, which was about comparisons. The Government commissioned Frontier Economics to look at the whole systems impact of electricity generation models, yet despite repeated parliamentary questions and freedom of information requests the report has not been published. If the Government have nothing to hide, why are they hiding things?
ParlaMint-GB_2017-03-14-commons.u25	I am not aware of hiding anything. I am trying to make a point about diversity of energy supply. I would make a further point about prices, in answer to the hon. Gentleman’s question. One of the most encouraging things is the progress we have made in our policy structure on driving greater competition, through contracts for difference, in order to get better prices for consumers and for the taxpayer from the public subsidies that are available. I hope that that will be evident very soon in the results of the forthcoming auctions.
ParlaMint-GB_2017-03-14-commons.u26	2. What assessment he has made of the adequacy of levels of funding for the UK science base.
ParlaMint-GB_2017-03-14-commons.u27	We are committed to making the UK the global go-to nation for scientists, innovators and tech investors. That is why, as part of the industrial strategy, we have announced an increase of £4.7 billion in public research and development funds—the biggest increase in science support for 40 years.
ParlaMint-GB_2017-03-14-commons.u28	I welcome the Government’s recent £14 million investment to develop space technologies in Leicester, including the university-led national space park. What further steps could the Minister take to encourage the space industrial cluster in the midlands?
ParlaMint-GB_2017-03-14-commons.u29	The space industry has an important role to play in driving growth across the UK, and the Government are working closely with the sector to make that a reality. I am pleased that the Leicester and Leicestershire local enterprise partnership is grasping this opportunity. The Satellite Applications Catapult has funded a centre of excellence in the east midlands for the past three years, focused on linking industry to local and national expertise. In addition, the UK Space Agency is supporting business incubators in Leicester, Nottingham and Loughborough to develop innovative space start-ups.
ParlaMint-GB_2017-03-14-commons.u30	Page 98 of the Government’s industrial strategy talks about the importance of long-term institutions. Many of those who work in the science-based industries in Wirral and elsewhere feel that the single market is a long-term institution that has served them well. Has the Minister asked the Prime Minister to change course and keep our country in the single market?
ParlaMint-GB_2017-03-14-commons.u31	The UK is a powerhouse of academic research, and our collaborations with institutions in Europe and around the world are an important part of that success. Through the industrial strategy, we want to continue to play to our great strengths as a science and research powerhouse, and we will continue to welcome agreements to collaborate with our European partners on major science and technology programmes in years to come.
ParlaMint-GB_2017-03-14-commons.u32	Agri-science plays a vital part in the industrial strategy, but more could be done. Is the Minister aware of the excellent work of Harper Adams University in my constituency? It exports its excellence all over the world.
ParlaMint-GB_2017-03-14-commons.u33	I am aware of the excellent work undertaken by that institution in my hon. Friend’s constituency. Agri-tech receives considerable support through our public investment in R and D, and will continue to do so.
ParlaMint-GB_2017-03-14-commons.u34	The European Medicines Agency, which is based in the UK, is one reason why our pharma industry is so successful. What will happen to the agency when we crash out of the EU? What is the Science Minister doing to ensure that we have effective regulations that support our pharma industry?
ParlaMint-GB_2017-03-14-commons.u35	The right hon. Lady should wait until we have embarked upon the negotiations for our future relationship with European funding streams. We anticipate that we will continue to collaborate closely with our European partners, so that our scientists can develop institutions such as the one she mentions to the benefit of this country for years to come.
ParlaMint-GB_2017-03-14-commons.u36	Scientifica is a Wealden-based science and technology business that won the 2016 British Chambers of Commerce awards for business of the year and export business of the year, and I joined Scientifica members at the London Stock Exchange to open the markets yesterday. Will my hon. Friend join me in congratulating Scientifica on championing and promoting the best of British science and research?
ParlaMint-GB_2017-03-14-commons.u37	I am delighted to congratulate Scientifica. Companies such as that are doing brilliantly at exploiting the research that is undertaken in our science base to this country’s benefit and maximising the commercial opportunities arising from our significant public investment into R and D.
ParlaMint-GB_2017-03-14-commons.u38	Looking beyond the two-year period to when we exit the EU, will the Minister ensure liaison with the devolved Administrations—hopefully all fully restored before then—so that excellent facilities such as the science centres in Belfast and Londonderry can be availed of and replicated right across the UK to ensure that we get the maximum advantage?
ParlaMint-GB_2017-03-14-commons.u39	Through the creation of UK research and innovation, a UK-wide global funding and research agency, we will continue to ensure that excellent science and research are supported throughout the UK in the years to come.
ParlaMint-GB_2017-03-14-commons.u40	3. What steps his Department is taking to support the oil and gas sector.
ParlaMint-GB_2017-03-14-commons.u41	The oil and gas sector is important for the UK’s economy, for energy security and for jobs. That is why the Government have established the Oil and Gas Authority as a strong, independent regulator over the past two years, providing a £2.3 billion package of support to encourage investment and exploration in the UK. In the spring Budget last week, the Chancellor announced that the Government will consider how tax could be used to assist sales of late-life oil and gas assets in the North sea, helping to keep them productive for longer.
ParlaMint-GB_2017-03-14-commons.u42	Do this Government stand by or reject comments, which are in contrast to industry voices, made by the Scottish Conservatives’ energy spokesman, Alexander Burnett MSP, that the oil and gas industry does not need any help and that “People in Aberdeen are not asking for more at the moment”?
ParlaMint-GB_2017-03-14-commons.u43	I am unsure whether I entirely caught the hon. Gentleman’s remarks, but the Government have been clear in their support not just for the UK continental shelf and the companies on it, but for Aberdeen through the £250 million city deal.
ParlaMint-GB_2017-03-14-commons.u44	22. Is my hon. Friend aware that at this very moment crude is trading at just $48.31? Has he read the OECD report which states that and many other structural factors mean that an independent Scotland would have a worse debt to population ratio than even Greece?
ParlaMint-GB_2017-03-14-commons.u45	I am sure that my hon. Friend will understand that I will not comment on that specific economic issue. However, I admire his awareness of the oil spot price. The Government have managed to engineer a significant fall in oil and gas supply costs on the continental shelf—[Interruption.]
ParlaMint-GB_2017-03-14-commons.u46	Order. A cerebral Minister is at the box responding to a pertinent inquiry, and the hon. Member for Coatbridge, Chryston and Bellshill (Philip Boswell) is behaving in a mildly boorish fashion—very uncharacteristically. I am sure that this is an exceptional case.
ParlaMint-GB_2017-03-14-commons.u47	I am not sure that anyone can recover from the attribution of being “cerebral.” The way in which the Oil and Gas Authority has lowered costs on the UKCS is testimony to how competitive our economy can be in oil and gas, even when oil prices are falling.
ParlaMint-GB_2017-03-14-commons.u48	5. What steps he is taking to support growth in the UK space sector.
ParlaMint-GB_2017-03-14-commons.u49	The UK’s space sector is world leading. A quarter of the world’s telecommunication satellites are either built here or are built with key UK components. Our recently announced draft Spaceflight Bill will enable UK businesses to enter a global market worth an expected £25 billion over the next 20 years. Our industrial strategy will ensure that we build on that and continue to be a global leader in this very important sector.
ParlaMint-GB_2017-03-14-commons.u50	Many people think that my constituency, North Swindon, is out of this world, and they are not wrong, as we are home to the UK Space Agency. Will the Secretary of State therefore tell me how the upcoming Spaceflight Bill will enable the UK to build on its strengths in science, research and innovation?
ParlaMint-GB_2017-03-14-commons.u51	North Swindon has a stellar Member of Parliament, too. The space sector is one of our most important industries, and the Spaceflight Bill, in particular, will move us forwards and enable us to be in the business not only of manufacturing satellites but of launching them, which will give us further industrial opportunities from which not only Swindon but the whole UK can benefit.
ParlaMint-GB_2017-03-14-commons.u52	The collaborative approach of the UK aerospace sector is one of the lessons that the Government need to remember in the difficult years ahead. Will the Secretary of State please come to one of the most important aerospace sectors in the country in north-east Wales to see its excellent work and the potential threats to one of the most successful industries in our country?
ParlaMint-GB_2017-03-14-commons.u53	The hon. Gentleman is absolutely right. One of the reasons why the space and satellite sector has been so successful is the collaboration between the firms, the Government and the research institutions, which is the way forward. The Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Hereford and South Herefordshire (Jesse Norman), will visit north Wales and the facilities that the hon. Member for Wrexham (Ian C. Lucas) mentions, and I look forward to hearing all about it.
ParlaMint-GB_2017-03-14-commons.u54	18. As someone who has calculated inertia matrices and Hohmann transfers, I am pleased that the Government are focusing on this area. What assessment has the Secretary of State made of the capacity of the UK’s commercial space flight sector? What steps will he take to support it?
ParlaMint-GB_2017-03-14-commons.u55	I am glad that my hon. Friend is not questioning me on inertia ratios and matrices. The capacity is there, but it requires planning ahead. That is why the industrial strategy mentions the need to invest in science and research and development—it is important that we do that—and the need to look forward to make sure that we have the skills in the workforce to fulfil the order books. The purpose of having a long-term industrial strategy is so that we are prepared to reap those very opportunities.
ParlaMint-GB_2017-03-14-commons.u56	6. What support his Department is providing to small businesses as a result of the UK’s decision to leave the EU.
ParlaMint-GB_2017-03-14-commons.u57	9. What support his Department is providing to small businesses as a result of the UK’s decision to leave the EU.
ParlaMint-GB_2017-03-14-commons.u58	Small businesses are vital to the economy, and we are providing additional access to finance and support to help scale up businesses so that they are able to reap the benefits of future trade with the EU and the rest of the world.
ParlaMint-GB_2017-03-14-commons.u59	I wish everybody a happy Pi Day—“pi,” the mathematical version, not “pie,” the pork version The Conservative party broke its 2015 manifesto commitment by failing to consult the business community on the changes to national insurance for the self-employed. Will the Government now address the ongoing uncertainty that those changes could bring to workers’ rights, such as maternity and paternity pay, sick pay, annual leave and pensions?
ParlaMint-GB_2017-03-14-commons.u60	The Government are absolutely committed, as the Prime Minister has said on several occasions, to protecting workers’ rights as we leave the European Union. And not just to protect those rights but to enhance them, if necessary. She has set up the Taylor review to examine the details.
ParlaMint-GB_2017-03-14-commons.u61	I call Martin Docherty-Hughes. I am sad to note the rather uncharacteristic absence of the hon. Gentleman. We will do our best to bear up with such fortitude as we can muster.
ParlaMint-GB_2017-03-14-commons.u62	A number of small businesses in the oil and gas sector supply chain have been hit disproportionately by the oil price reduction. My hon. Friend the Member for Aberdeen South (Callum McCaig) and I held a meeting last week to encourage young businesses to access different methods of capital financing so that they can grow. What are the UK Government doing to encourage such businesses to access capital finance?
ParlaMint-GB_2017-03-14-commons.u63	Although support for businesses in Scotland is largely devolved, the British Business Bank funds a vast number of companies in Scotland. It has provided £415 million of finance for Scottish companies, including through start-up loans. In addition, more than 1,600 companies in Scotland benefit from the enterprise finance guarantee scheme.
ParlaMint-GB_2017-03-14-commons.u64	Small and medium-sized enterprises are the backbone of the south-west, and much effort is being put into upping productivity in the region. We in Taunton Deane welcome recent Government investment in a lot of infrastructure and the work that is being done on skills. However, to give us a real fillip, will the Minister, or perhaps someone else from the Department, agree to come to Taunton’s annual business conference on 6 June to give a boost to the things that the Government can help us with?
ParlaMint-GB_2017-03-14-commons.u65	I thank my hon. Friend for such a wonderful invitation. Although I have already been to the south-west, I am sure I can find an occasion on 6 June to do so again.
ParlaMint-GB_2017-03-14-commons.u66	Ooh!
ParlaMint-GB_2017-03-14-commons.u67	The hon. Member for Taunton Deane (Rebecca Pow) looks as though her cup has runneth over. What a happy day for her and, indeed, for Taunton Deane—not to mention the Minister.
ParlaMint-GB_2017-03-14-commons.u68	One advantage for small businesses of the United Kingdom leaving the EU is that the House will be free to repeal unwanted EU regulations. What steps is the Minister taking to consult small businesses so that she can identify those regulations?
ParlaMint-GB_2017-03-14-commons.u69	I assure my hon. Friend that we consult small businesses all the time. The Department for Exiting the European Union regularly engages with the Federation of Small Businesses. We will, in due course, ask that Department to hold a roundtable for small businesses to discuss the very issues that he raises.
ParlaMint-GB_2017-03-14-commons.u70	7. What steps he is taking to support small business growth.
ParlaMint-GB_2017-03-14-commons.u71	rose—
ParlaMint-GB_2017-03-14-commons.u72	Come on!
ParlaMint-GB_2017-03-14-commons.u73	I am glad that the hon. Lady is so keen to hear my answer to this question We support small business growth by ensuring that small businesses can access finance and wider support. The British Business Bank is already supporting more than 54,000 smaller businesses with £3.4 billion of finance, and I am leading a taskforce to enable SMEs to accelerate their growth potential and realise their growth prospects quicker.
ParlaMint-GB_2017-03-14-commons.u74	I know that Rugby is a great place to run a business, but many small businesses continue to tell me that an obstacle to their expansion is still a shortage of suitable industrial premises. At a time when our authority is preparing its local plan, what discussions has my hon. Friend had with her counterparts in the Department for Communities and Local Government to ensure that adequate land is allocated for the development of business units?
ParlaMint-GB_2017-03-14-commons.u75	We work closely with the Department for Communities and Local Government, and I recently co-chaired a successful roundtable with my hon. Friend the Minister for Housing and Planning and providers of finance. We will be having a further meeting, and I shall obviously consider the needs of businesses in Rugby for more space.
ParlaMint-GB_2017-03-14-commons.u76	Small businesses in Doncaster have expressed concern to me about how they can access apprenticeship schemes. Will the Minister work with the Department for Education and draw up a regional analysis—especially for Yorkshire and the Humber—of how small businesses can access those schemes effectively, particularly in the light of the apprenticeship levy?
ParlaMint-GB_2017-03-14-commons.u77	We will certainly talk to businesses in the Doncaster region, as well as to those elsewhere in Yorkshire, but I am delighted to say that only 1.3% of businesses will actually pay the apprenticeship levy. For all other businesses, particularly small businesses, the Government will fund 90% of training costs following the introduction of the levy proper next month.
ParlaMint-GB_2017-03-14-commons.u78	Last week’s announcement on business rates by my right hon. Friend the Chancellor will provide welcome relief to hundreds of independent small businesses in my constituency. Will the Minister join me in congratulating our tourist management organisation, Visit Bath, as it focuses more attention on the marketing of our independent small businesses in Bath in domestic and international markets, which will bring jobs and growth to my constituency?
ParlaMint-GB_2017-03-14-commons.u79	I absolutely join my hon. Friend in congratulating Visit Bath on all the trade and ideas that it brings to SMEs in his constituency.
ParlaMint-GB_2017-03-14-commons.u80	As chair of the all-party group on disability, I have been hearing from disabled entrepreneurs that they still have to face far too many barriers, including with regard to access to affordable loans, peer mentoring and information, even through the Government Gateway. What specific measures are the Government taking to support disabled entrepreneurs and what more can be done to address these very important issues?
ParlaMint-GB_2017-03-14-commons.u81	I thank the hon. Lady for her excellent question. I work closely with the Minister for Disabled People, Health and Work, who is leading huge initiatives to improve opportunities for people with disabilities. I will raise with my hon. Friend the specific question of entrepreneurs with disabilities.
ParlaMint-GB_2017-03-14-commons.u82	The truth is that the Government have to show a lot more love for small businesses to reinforce the truth that the Conservatives are the party for entrepreneurs. Will my hon. Friend start that by eliminating the time limits on the enterprise investment scheme for small businesses, and by finding a way, after we leave the EU, of reducing the compliance with regulations for small businesses to a single check mark?
ParlaMint-GB_2017-03-14-commons.u83	As my hon. Friend knows, I am a great lover of small businesses and entrepreneurs, and I think that I can speak for the rest of the Government in that regard. He knows that the EU governs time limits and caps on the EIS at the moment. What happens following the Brexit negotiations will be a matter for the Treasury.
ParlaMint-GB_2017-03-14-commons.u84	I do not think that small businesses are really feeling the love after last week’s Budget. A report by the Federation of Small Businesses entitled “37 problems and tax is one” states that the “proposed National Insurance tax grab on this group is an absolute kick in the teeth, just at a time when we need to create more entrepreneurs, not fewer.” The Minister says that the Government consult the Federation of Small Businesses, but perhaps they might listen to it in future and do what it suggests as well.
ParlaMint-GB_2017-03-14-commons.u85	The small business world must feel more love from this Government than it would from Labour, were it to take our place in government On the hon. Gentleman’s specific question, I know that the FSB lobbied hard on a number of points, including national insurance, business rates and the quarterly reporting of tax accounts. On the latter two, it was very pleased with what the Chancellor provided. With regard to national insurance, the hon. Gentleman knows that more than 60% of people who are self-employed will actually benefit from the changes mooted by the Chancellor last week.
ParlaMint-GB_2017-03-14-commons.u86	8. What steps he is taking to improve the UK’s energy infrastructure.
ParlaMint-GB_2017-03-14-commons.u87	Just yesterday I was a few miles away from my hon. Friend’s constituency in Carrington, opening a new combined-cycle gas turbine plant. A few weeks before that, I was in Folkestone to see the new interconnectors being built through the channel tunnel. Both schemes remind us of the Government’s commitment to the UK’s energy infrastructure, underscored by a capacity market and contracts for difference. We are also investing £320 million in new heat infrastructure, which underlines the size of our whole commitment.
ParlaMint-GB_2017-03-14-commons.u88	Base load energy supply is fundamental to delivering our energy needs. Solar and wind power do not provide base load, and there is a pressure not to increase the consumption of hydrocarbons, so does my hon. Friend agree that, in the absence of energy storage capacity, future investment must go to the nuclear industry, especially small modular reactors?
ParlaMint-GB_2017-03-14-commons.u89	As my hon. Friend knows, we are spending a great deal of time working with developers, with new investment, alongside the plans that are already being executed at Hinkley. Small modular reactors could be part of that conversation. However, there are many possible storage technologies that might come on stream over the next decade or two; undoubtedly, they will also be an important part of the picture.
ParlaMint-GB_2017-03-14-commons.u90	The country needs 21st century systems such as smart metering. Will the Minister update the House on the progress of the roll-out, and will he have a word with the energy companies to stop them blaming the Government for smart metering being part of the hike in energy prices that is ripping off the consumer?
ParlaMint-GB_2017-03-14-commons.u91	We are in no doubt at all about the need for energy companies to bear down on prices. As they will be aware, the costs of policy are a relatively small part of those prices.
ParlaMint-GB_2017-03-14-commons.u92	Tidal energy gives the UK an opportunity to provide a clean and predictable source of renewable energy. It is a sector in which we have world-leading business expertise in the Solent region. Will my hon. Friend consider giving tidal a higher priority in the UK energy strategy so that we can maintain our competitive edge?
ParlaMint-GB_2017-03-14-commons.u93	My hon. Friend will know that we are looking at tidal energy and related issues closely in the context of our consideration of the Hendry review.
ParlaMint-GB_2017-03-14-commons.u94	Following on from that question, will the Minister tell the House when a final decision will be made on the Swansea tidal lagoon?
ParlaMint-GB_2017-03-14-commons.u95	It is fair to say that we have stated that we will come to the House as soon we can and that the matter is presently under consideration.
ParlaMint-GB_2017-03-14-commons.u96	The Minister mentioned the capacity market. I am sure he will agree that the prime purpose of that market has been to procure new infrastructure capacity. Will he tell me how many new gas-fired power stations have been procured with the £3.4 billion that has been spent so far on the capacity market? What plans does he have to improve that number?
ParlaMint-GB_2017-03-14-commons.u97	rose—
ParlaMint-GB_2017-03-14-commons.u98	To be helpful, the answer is: one new power plant in King’s Lynn.
ParlaMint-GB_2017-03-14-commons.u99	Well, I am all in favour of the self-answering question, but I remind the hon. Gentleman that the last capacity market procured energy at a cost of £7 per kilowatt, which is cheaper than any conceivable alternative.
ParlaMint-GB_2017-03-14-commons.u100	10. What assessment he has made of recent trends in the number of people employed in the gig economy.
ParlaMint-GB_2017-03-14-commons.u101	With no common definition of the “gig economy”, numbers vary in terms of how many workers are involved in it. We have commissioned new research, to be published this summer, which will look at the number of individuals working through digital platforms in the UK and at their experiences.
ParlaMint-GB_2017-03-14-commons.u102	The number of freelancing moms has increased by 79% since 2008. Although I welcome the Government’s announcement that they will consult further in the summer on fairer maternity pay for self-employed moms, this was recommended 13 months ago. Why has it taken the Government so long to act on this crucial issue for these women when it took a stroke of a pen to increase their taxes?
ParlaMint-GB_2017-03-14-commons.u103	As I said in my previous answer on national insurance, the increase in taxes, which itself is under review, will be ruling out—[Hon. Members: “Ah!”] In terms of the maternity and paternity issues raised by the hon. Lady, I should hasten to add, the consultation will run its course this summer and she will have an answer before the end of the year.
ParlaMint-GB_2017-03-14-commons.u104	Does the Minister begin to understand the sense of grievance on the part of the growing army of the self-employed who are reluctant conscripts to self-employment in the gig economy? They work in a twilight world of insecurity without basic rights, but they will now have to pay more in tax although there was not one measure in the Budget to put the burden on the shoulders of those truly responsible: the Ubers of this world.
ParlaMint-GB_2017-03-14-commons.u105	The hon. Gentleman knows that the Taylor review is currently examining all the issues that he raises. I am very concerned about the plight of some low-paid workers—they may well actually be workers, rather than self-employed. That is up to the courts and the Government to conclude later this year, but I assure him that we take the issues he raises very seriously.
ParlaMint-GB_2017-03-14-commons.u106	11. What assessment he has made of the potential effect of the Government’s industrial strategy on the west midlands.
ParlaMint-GB_2017-03-14-commons.u107	13. What assessment he has made of the potential effect of the Government’s industrial strategy on the west midlands.
ParlaMint-GB_2017-03-14-commons.u108	Last week, we published the midlands engine strategy. It is further demonstration that this Government are committed to investing in the midlands, a region that has seen over 180,000 more people in employment since 2010.
ParlaMint-GB_2017-03-14-commons.u109	I thank the Minister for his reply. Telford is seeing increasing inward investment from businesses in the automotive supply chain such as Polytec and Magna’s Cosma, bringing real jobs and growth to Telford. Does he agree that Telford, with its reputation for innovation and advanced manufacturing, is set to play a key role in the midlands engine strategy, and will he congratulate those businesses on helping to build a successful future for Telford?
ParlaMint-GB_2017-03-14-commons.u110	I will indeed. My hon. Friend’s constituency, which includes Coalbrookdale, has a good claim to be the cradle of the first industrial revolution—[Interruption.] It is perhaps a disputed claim, but I think Abraham Darby, in 1709, was fairly early. However, now, Telford is at the heart of the fourth industrial revolution, as my hon. Friend says. The T54 site is proving to be a very important location for automotive sector supply chain.
ParlaMint-GB_2017-03-14-commons.u111	Does the Secretary of State agree that one pivotal thing that needs to be in an industrial strategy for the west midlands is closing the skills gap that has held back the west midlands for too long, so that areas such as the black country can continue to work to become leading specialists in things such as aerospace, automotive and advanced manufacturing, which are critical to the agenda of the Conservative candidate for west midlands Mayor, Andy Street?
ParlaMint-GB_2017-03-14-commons.u112	I agree with my hon. Friend—he is absolutely right. The reputation of the black country is very strong. There is the phrase “Made in the Black Country, Sold around the World”, but to fulfil that we need good skills. Andy Street, being a person of great business experience, is the best person available to bring that business acumen to bringing more businesses to the whole of the west midlands.
ParlaMint-GB_2017-03-14-commons.u113	Order. This is supposed to be about an industrial strategy, rather than an electoral strategy, but there you go.
ParlaMint-GB_2017-03-14-commons.u114	In passing, may I say that it was the black country that was the birthplace of the industrial revolution, not Coalbrookdale? However, on transport spending, which is key to the industrial strategy for the west midlands, when does the Secretary of State expect to persuade his colleague the Secretary of State for Transport to spend as much per capita in the west midlands as in London?
ParlaMint-GB_2017-03-14-commons.u115	The hon. Gentleman, who is an assiduous reader of these things, will see that, in the industrial strategy, we propose a commitment to upgrade infrastructure right across the country. I hope he will respond to that so that when we have the Budget later in the year, we will be in a position to make further such announcements.
ParlaMint-GB_2017-03-14-commons.u116	24. What role does my right hon. Friend see the self-employed, particularly those in my constituency, playing as the industrial strategy develops?
ParlaMint-GB_2017-03-14-commons.u117	The self-employed have an important role to play. One trend that colleagues on both sides of the House will know of is that the development of supply chains is one of the key sources of innovation in many industries. Within that, start-up businesses, including those run by the self-employed, can make a big contribution to making us attractive for jobs and new businesses.
ParlaMint-GB_2017-03-14-commons.u118	12. If he will make an assessment of the effectiveness of his sector-based approach in delivering the aims of the Government’s industrial strategy.
ParlaMint-GB_2017-03-14-commons.u119	16. What steps the Government is taking to ensure that all sectors of the economy benefit from its industrial strategy.
ParlaMint-GB_2017-03-14-commons.u120	We have had great success over the years in developing key sectors, including aerospace and the automotive sector. To build on this, we have set out proposals for new business-led sector deals in the industrial strategy. The first set of deals is already under development. We are taking steps to drive growth in sectors across the economy, including with funding for science, infrastructure and technical education.
ParlaMint-GB_2017-03-14-commons.u121	Does the Secretary of State share my concern that the implementation of an industrial strategy led by the big players will focus solely on the big players? What is he doing to ensure that the small and medium-sized enterprises in those sectors, which are often the engine rooms, get their fair say and their fair share?
ParlaMint-GB_2017-03-14-commons.u122	I assure the hon. Gentleman that that is not the case. I have regular discussions with the Federation of Small Businesses, the British Chambers of Commerce and smaller businesses right across the country. The supply chain, and making our country more attractive to supply chain businesses, are absolutely foundational to our industrial success, and that involves a particular regard for small businesses.
ParlaMint-GB_2017-03-14-commons.u123	Cyber-security is one of the most important sectors for this country’s growth, but the UK has the highest skills gap in cyber-security in the world. Does the Secretary of State think that the Government’s current commitment to educate 1% of our students in cyber-security by 2021 is anywhere near good enough?
