ParlaMint-GB_2017-10-24-commons.u1	1. What recent fiscal steps he has taken to reduce unemployment.
ParlaMint-GB_2017-10-24-commons.u16	2. Whether his Department has made an assessment of the potential merits of recommendations from the London Finance Commission on fiscal devolution for London.
ParlaMint-GB_2017-10-24-commons.u17	I thank my hon. Friend for his work on the London Finance Commission, which recommended giving London a wide range of additional powers. The Government have committed to continue to work with the Greater London Authority and London Councils to ensure that London has the powers it needs to maintain its status as a world-leading city.
ParlaMint-GB_2017-10-24-commons.u18	I am grateful for that response, but will my hon. Friend particularly and urgently consider whether an element of fiscal devolution—for example, a tourist levy or something similar—might be part of a robust funding package for Crossrail 2, which is a critical part of national infrastructure and will give a boost worth around £150 billion to the whole UK economy?
ParlaMint-GB_2017-10-24-commons.u19	As my hon. Friend is aware, the Department for Transport is scrutinising the business case for Crossrail and discussing it with Transport for London. It is right that the London region does not retain disproportionate amounts of revenue. Some of the recommendations in the commission’s report are very broad ranging.
ParlaMint-GB_2017-10-24-commons.u20	If the ministerial team are to deliver anything for the London Finance Commission, will the Minister at least talk to the commission about the difficulty, with Brexit coming, of recruiting anyone to come to live and work in London? The search for talent is very difficult indeed. No one wants to work in this financial capital because of Brexit—what is he going to do about it?
ParlaMint-GB_2017-10-24-commons.u21	The hon. Gentleman needs to question whether Labour Members are fully signed up to the recommendations of the London Finance Commission. For example, many of his colleagues on the Opposition Benches may not support the retaining of almost half of all stamp duty across England.
ParlaMint-GB_2017-10-24-commons.u22	3. What assessment he has made of the contribution of the UK internal market to the Scottish economy.
ParlaMint-GB_2017-10-24-commons.u23	The UK internal market benefits all the nations and regions of the United Kingdom. It is essential that no new barriers to living and doing business in the UK are created. Exports to the rest of the UK are vital to the success of Scotland’s economy, generating £50 billion in 2015. That compares with £12 billion of exports to the EU and £16 billion to the rest of the world and it accounts for 63% of Scotland’s total exports.
ParlaMint-GB_2017-10-24-commons.u24	Small and medium-sized enterprises make a vital contribution to local economies, so I am delighted that in East Renfrewshire the number of registered enterprises has gone up by 18% since 2010. Does the Chancellor agree that as those businesses look to expand from being local to national players, it is vital to maintain the integrity of the UK internal market? Any moves to fragment it would damage the Scottish economy, place huge barriers to trade on both sides of the border, and put that vital contribution he just outlined in jeopardy.
ParlaMint-GB_2017-10-24-commons.u25	I strongly agree with my hon. Friend that the fragmentation of the UK internal market would be damaging for the Scottish economy, particularly small businesses. This is not just an issue for Scotland, though. We all agree that protecting the UK internal market is in our shared interests, and the Government will work to make sure that there are no new barriers to doing business across the UK.
ParlaMint-GB_2017-10-24-commons.u26	Staying in the UK internal market while the UK crashes out of the EU is set to cost Scotland £30 billion over five years, according to research by the London School of Economics published today. Aberdeen is set to lose the most, at 7% of gross value added. Will the Chancellor be clear on behalf of his Government that no deal is not an option?
ParlaMint-GB_2017-10-24-commons.u27	As I have already said, the Government are preparing for all possible outcomes of the negotiations with the European Union, as any prudent Government would, but the Prime Minister has made it very clear that our strong preference is to achieve a deal, which is good for Britain and which protects British jobs, British businesses and British prosperity—by which I mean the jobs, businesses and prosperity of all of the United Kingdom.
ParlaMint-GB_2017-10-24-commons.u28	On that note, 56% of EU nationals in FTSE 250 companies are highly likely, or quite likely, to leave the UK before the conclusion of the Brexit negotiations. What is the Chancellor’s assessment of the impact on the Scottish economy of all of this talent leaving the UK?
ParlaMint-GB_2017-10-24-commons.u29	I am very confident that, whatever the outcome, all of this talent will not leave. The Prime Minister made it very clear yesterday that her top priority remains giving assurance to EU citizens living in the UK, which is why she is working hard to deliver a deal on citizens. It is the area in which our discussions with the European Union are most advanced. The hon. Lady has the Prime Minister’s personal commitment on the importance that she attaches to that area.
ParlaMint-GB_2017-10-24-commons.u30	Financial and accounting services amounted to Scotland’s most valuable export service in 2015. Of the £8.8 billion they were worth, £7.6 billion, or 86%, went to the rest of the UK. Does my right hon. Friend agree that conserving the UK internal market is vital to protect such an important sector of the Scottish economy?
ParlaMint-GB_2017-10-24-commons.u31	My hon. Friend is right to draw attention to the important role of financial services and insurance in the Scottish economy as a subset of the broader point that the internal market works extremely well for Scotland and is very important to Scotland’s exports. It would clearly be catastrophic for the financial and insurance services sector if businesses based in Scotland were no longer able to operate across the border into England.
ParlaMint-GB_2017-10-24-commons.u32	If I understand this correctly, we have Scottish National party members who understand the benefits of the European single market, but not the UK single market, and we have fanatics in the Conservative party who extol the benefits of the UK single market but who would happily drive a coach and horses through the European single market. Perhaps, in his characteristic fashion, the Chancellor can set out a slightly more grown up position and tell us how he will protect both in the interests of the British economy.
ParlaMint-GB_2017-10-24-commons.u33	The Government’s position is very clear: the benefits of the UK internal market are absolutely clear to all of us and we will not allow it to be compromised. In our negotiations with the European Union, we hope and expect to agree a deal that will allow British businesses to continue to enjoy the benefits of access to the European marketplace and European companies to continue to enjoy the benefits of access to the UK market.
ParlaMint-GB_2017-10-24-commons.u34	4. What recent investment the Government have provided for digital infrastructure.
ParlaMint-GB_2017-10-24-commons.u35	The Government are investing more than £1 billion to stimulate the market to build the next generation digital infrastructure that the UK needs for the future. This includes the £400 million digital infrastructure investment fund and the £740 million for full fibre broadband and 5G mobile. That is in addition to the Government-led £1.7 billion superfast programme, which will extend coverage to 95% of UK premises by the end of the year.
ParlaMint-GB_2017-10-24-commons.u36	The vast majority of my constituents in east Yorkshire and north Lincolnshire now enjoy superfast broadband, but a small number in rural areas still struggle with access to broadband and to good 4G, 3G or even 2G mobile coverage. What more can the Government do to give BT Openreach and the mobile networks a kick up the backside to make sure that we get the coverage that we are all paying for?
ParlaMint-GB_2017-10-24-commons.u37	The Government are working to continue their progress on the superfast broadband roll-out. We expect to reach 95% by the end of this year. We have already seen some changes from the internal reorganisation within British Telecom, separating out Openreach. The progress will be maintained through Government expenditure in that programme and in the digital infrastructure investment fund.
ParlaMint-GB_2017-10-24-commons.u38	The Office for Budget Responsibility has just reported on the poor productivity record in this country. Investment in broadband is crucial to improving that, so when will the Minister respond to the letter that I wrote to him on 1 September about broadband in Teesdale?
ParlaMint-GB_2017-10-24-commons.u39	I absolutely agree that broadband and digital progress are critical to the productivity of our economy. I am not aware of that letter. I will look into it with immediate effect, and I apologise for the delay.
ParlaMint-GB_2017-10-24-commons.u40	As the fourth industrial revolution accelerates, superfast broadband will be key to the productivity of our high-growth technology businesses. Will the Minister continue working with entrepreneurs and businesses to ensure that they get the broadband system that they need?
ParlaMint-GB_2017-10-24-commons.u41	I most certainly will continue to work on that. My hon. Friend has consistently spoken up on behalf of entrepreneurs and enterprise since he arrived in this House. The Government’s intention to pursue our broadband investment, whether it is superfast or full fibre, is right at the heart of our efforts to improve productivity.
ParlaMint-GB_2017-10-24-commons.u42	BT has received hundreds of millions of pounds from the Government for public investment in the digital network. But there are parts of my constituency—both rural and urban—where broadband coverage is still very poor, such as the town of Carrickfergus. BT refused to look at innovative ways of splitting the network. Is it not time that the Government looked to other bids for some of the money they are investing in broadband in order to ensure that there is better coverage?
ParlaMint-GB_2017-10-24-commons.u43	The hon. Gentleman makes an important point. All our constituencies have some areas that are not yet fully able to access the important benefits of broadband. I will discuss his points with my colleagues in the Department for Communities and Local Government, and report back to him.
ParlaMint-GB_2017-10-24-commons.u44	I am pleased that the Communities Secretary has been inspired by Labour’s fiscal credibility rule in relation to investment in infrastructure—including digital infrastructure and, recently, house building. But this does beg crucial questions. Does the Minister support his colleague’s bid to “borrow more to invest” or is it more a bid to steal the Chancellor’s job?
ParlaMint-GB_2017-10-24-commons.u45	I have already outlined the Government’s progress on broadband. The hon. Gentleman mentions, I think, some kind of speculative comment regarding the forthcoming Budget. The Chancellor has already answered that question.
ParlaMint-GB_2017-10-24-commons.u46	The digital infrastructure plans are wholly inadequate, as my hon. Friend the Member for Bishop Auckland (Helen Goodman) indicated. Is the Minister aware that productivity figures are at pre-crisis levels, and is he really aware that regional industries are up to seven times more productive than others? What is the digital investment strategy doing to close that shocking gap?
ParlaMint-GB_2017-10-24-commons.u47	The hon. Gentleman seems to have forgotten the announcement of the national productivity investment fund—a £23 billion pot of money for investment in infrastructure, including digital infrastructure, across the country. I have already mentioned the £400 million digital infrastructure investment fund and the £740 million for full-fibre broadband and 5G. We are already approaching the figure of 95% of UK premises having access to superfast broadband by the end of the year, and that puts us in a strong place for the future.
ParlaMint-GB_2017-10-24-commons.u48	5. What steps he is taking to reduce tax-related bureaucracy for small and medium-sized enterprises in the east midlands.
ParlaMint-GB_2017-10-24-commons.u49	The Government are committed to reducing the administrative burdens for small and medium-sized enterprises, including in the east midlands. That is why we delivered £272 million of net reductions in administrative burdens between 2011 and 2015, and why we continue to reduce unnecessary interaction with the tax system.
ParlaMint-GB_2017-10-24-commons.u50	We still have one of the longest tax codes in the world. I know that the Treasury is under constant pressure to bung extra pieces of money to particular interest groups, but may I suggest to the Minister that he sticks to his last on the Treasury Bench and argues the case for less taxation, simpler taxation and less debt? That is the best service we can give to the young and to businesses.
ParlaMint-GB_2017-10-24-commons.u51	My hon. Friend raises an important point about complexity, which is why we continue to work with the Office for Tax Simplification to ensure that our tax code is as simple as it can be. But there is no doubt that, in upholding our exemplary record of clamping down on avoidance, evasion and non-compliance— £160 billion of revenue from 2010 to 2015—we make no apologies for having a tax code that works to support our public services.
ParlaMint-GB_2017-10-24-commons.u52	Some 130,000 small and medium-sized businesses that export to Europe currently do not have to deal with any bureaucracy at our border to do so, but they could face such bureaucracy if the Minister’s colleagues have their way. Does the Minister think that that will be good or less good for British business?
ParlaMint-GB_2017-10-24-commons.u53	As the hon. Lady knows, we are in the middle of negotiations with our European partners. I am confident that, as the Prime Minister has expressed at every turn, we will secure a good deal for this country. In the context of our borders, that will mean that the situation will be as frictionless as possible, which will be good for trade, our country and our economy.
ParlaMint-GB_2017-10-24-commons.u54	Does the Minister agree that the Labour party’s plans to raise corporation tax would harm small and medium-sized businesses—
ParlaMint-GB_2017-10-24-commons.u55	Order. Just for the benefit of the hon. Gentleman, may I say that the Opposition’s plans for taxes are not a responsibility of the Government? This is a lesson we all have to learn; in my case I learned it early in my first Parliament, and the hon. Gentleman has learned that lesson today.
ParlaMint-GB_2017-10-24-commons.u56	Across the whole United Kingdom, and not just in the east midlands, small and medium-sized businesses have created not hundreds but thousands of jobs. Small and medium-sized businesses in my constituency tell me that they are over-regulated and that bureaucracy restricts their ability to employ more people. What is the Minister doing to address that?
ParlaMint-GB_2017-10-24-commons.u57	The hon. Gentleman is absolutely right about the critical importance of small and medium-sized enterprises. We have more than 5 million small businesses in our country, and they are right at the heart of generating the wealth that generates the taxes that support the public services we all wish to see thriving. I have already explained that we are working closely with the Office of Tax Simplification to make sure that, wherever possible, the Government get out of the way of business, rather than standing in its way.
ParlaMint-GB_2017-10-24-commons.u58	6. What progress he has made on closing the gender pay gap in the public sector.
ParlaMint-GB_2017-10-24-commons.u59	The gender pay gap in the public sector is 18.3%, which is a record low, and this compares to 24.5% in the private sector.
ParlaMint-GB_2017-10-24-commons.u60	I am grateful to my right hon. Friend for those comments. Will she explain how the new duty introduced by this Government, requiring public sector bodies to publish the differences between male and female pay, will support the trend of an ever-reducing gender pay gap, which is at a record low?
ParlaMint-GB_2017-10-24-commons.u61	The new duty we have introduced will mean more transparency, so we will be able to find out where the particular issues are in the public sector. Are there, for example, occupations such as engineering that are well paid and that women are less likely to go into, and what can we do to encourage women to apply for roles in them?
ParlaMint-GB_2017-10-24-commons.u62	Median public sector wages are £1,000 lower in real terms than they were in 2010. Does the Minister agree that it is about time that hard-working public sector workers got the pay rise they deserve?
ParlaMint-GB_2017-10-24-commons.u63	We have already been clear that the pay review bodies will have the remit to look at how high-quality public sector workers can be retained and recruited right across the board, whether they are teachers, nurses or police officers.
ParlaMint-GB_2017-10-24-commons.u64	The chief executive of Virgin Money, Jayne-Anne Gadhia, has this morning given evidence to the Treasury Committee on the Treasury’s women in finance charter—she is the Government’s women in finance champion. Ministers will know that one way of tackling the gender pay gap is to ensure that we have more women in senior roles, so will the Chief Secretary urge the Chancellor to reply to the letter I wrote to him last week about appointments to the Bank of England, where more senior women are needed, because the evidence this morning shows the importance of role models?
ParlaMint-GB_2017-10-24-commons.u65	First, I congratulate my right hon. Friend on her work to promote these issues that she did as Women’s Minister. It would be great to see other professions, such as legal services, looking at the success of the women in finance charter and seeing what they could do. I will urge my colleague to reply to my right hon. Friend’s letter asap.
ParlaMint-GB_2017-10-24-commons.u66	In addition to the gender pay gap, the disability pay gap remains extraordinarily high, yet disabled people are not mentioned in the Government’s industrial strategy. When will we harness the potential of disabled people in our economy and create policies that effectively show that?
ParlaMint-GB_2017-10-24-commons.u67	The hon. Lady is absolutely right to highlight the issue of making sure that disabled people have a full opportunity to participate in the economy. The fact is that we are missing out on huge amounts of talent—the talent of disabled people, women and older people—in our economy. We need to unleash that to help our country to become more productive, and also for the sake of those people, who have so much to contribute.
ParlaMint-GB_2017-10-24-commons.u68	7. What comparative assessment the Government have made of the level of spending on public services in the UK and other developed countries.
ParlaMint-GB_2017-10-24-commons.u69	Last year, public spending was 38.9% of GDP, which equates to about £28,500 per household. This is comparable with other leading countries.
ParlaMint-GB_2017-10-24-commons.u70	Does the Minister agree that it is due to this Government’s responsible management of the public finances that we are able to spend more on education than Germany and Japan, and more on defence and policing than any other European country?
ParlaMint-GB_2017-10-24-commons.u71	My hon. Friend is absolutely right. We spend more per student on education than Germany or Japan. Because of our management of the public finances, we have been able to push £1.3 billion more of education spending to the frontline, where it is going to make the most difference in classrooms.
ParlaMint-GB_2017-10-24-commons.u72	Is the Chief Secretary concerned by speculation that the Bank of England will increase interest rates by 0.25% in November, which would have an adverse effect on public spending?
ParlaMint-GB_2017-10-24-commons.u73	That is one of the reasons why we need to make sure that we are reducing our debt and reducing our deficit in order to reduce the interest payments that came as a result of the previous Labour Government leaving us with the highest deficit in history. We have an independent Bank of England, and it is very important that as a Government Minister I do not tell it what to do on interest rates.
ParlaMint-GB_2017-10-24-commons.u74	8. What recent assessment his Department has made of trends in the level of public sector pay since 2010.
ParlaMint-GB_2017-10-24-commons.u75	In 2010, there was a significant gap between wages in the public and private sectors whereby public sector workers received an average of 5.76% higher pay. Today, wages are comparable, and when we take into account more generous pension benefits, there is an additional 10% pension premium in the public sector.
ParlaMint-GB_2017-10-24-commons.u76	Last week, the rate of inflation was announced at 3%. Public sector pay rises are at 1%. Will the Chief Secretary confirm that that is a pay cut for millions of workers, and will she take this from me as a Budget representation: “Scrap the cap”?
ParlaMint-GB_2017-10-24-commons.u77	It seems that the right hon. Gentleman cannot take yes for an answer. There is not a public sector pay cap. We have said that individual Secretaries of State will be responsible for making proposals on their workforces dependent on specific circumstances. We are facing very different issues in the NHS and in the armed forces. What is important is that we look at the evidence and make sure that we can recruit and retain the best possible workers in the public sector, but we also need to make sure that we do not price out of the market people working in the private sector.
ParlaMint-GB_2017-10-24-commons.u78	Will the Chief Secretary urge her Cabinet colleagues, when they are making these decisions, to bear in mind that public sector pay rises must be fair not only to public sector workers, but to the five sixths of workers in the private sector who face the same pressures and challenges?
ParlaMint-GB_2017-10-24-commons.u79	My right hon. Friend is right. The fact is that we were left a legacy by a previous Government who spent money that they did not have. We have had to get the public finances back on track. We do recognise that there are areas in which we need to make sure that we can recruit and retain high-quality public sector workers, but we also need to make sure that we have a thriving private sector economy. That is why we have ended up with the lowest unemployment for 40 years.
ParlaMint-GB_2017-10-24-commons.u80	We know from the Resolution Foundation that this decade, from 2010, is the worst for wage growth in 210 years, so when will the Chief Secretary to the Treasury ensure that Departments are fully funded to scrap the cap?
ParlaMint-GB_2017-10-24-commons.u81	The reason we have not seen the wage growth that we want to see is that we have an issue with productivity in this country. In order to raise living standards for everybody, regardless of whether they work in business or in the public sector, we need to make sure that we raise productivity. That is why we are investing in infrastructure and skills—doing all the things that the previous Government did not do to make our country more productive.
ParlaMint-GB_2017-10-24-commons.u82	Can my right hon. Friend confirm, for the avoidance of doubt, whether there is a pay premium for the public sector over the private sector?
ParlaMint-GB_2017-10-24-commons.u83	There is not a pay premium. Public and private sector pay are roughly comparable, but in the public sector there is an average of 10% additional remuneration in terms of pension contributions.
ParlaMint-GB_2017-10-24-commons.u84	I hope that the whole House will join me in congratulating very warmly the right hon. Member for Tatton (Ms McVey) on her significant birthday today.
ParlaMint-GB_2017-10-24-commons.u85	I am older and, I hope, wiser. Like all the ladies who are at my age, I am just hitting my stride and coming of age.
ParlaMint-GB_2017-10-24-commons.u86	9. What investment his Department has provided for transport infrastructure projects in Cheshire in the last 12 months.
ParlaMint-GB_2017-10-24-commons.u87	I wish my right hon. Friend many happy returns of the day I confirm that the Government are taking big decisions for Britain’s future and investing in transport infrastructure in Cheshire and across the north. Just last week, my right hon. Friend the Secretary of State for Transport announced road investment of £65 million in Cheshire. That included £18 million of funding for five different local road schemes and £47 million for the Middlewich bypass. That is on top of improvements that the Government are already making to the M6, M62 and M56.
ParlaMint-GB_2017-10-24-commons.u88	I welcome the Minister’s reply. The Cheshire and Warrington local enterprise partnership has a bold agenda for increasing business in Tatton and Chester. The local plan has an equally bold agenda for increasing the number of houses, which will bring money to the Exchequer and help to meet the country’s housing need, but we have a significant need for the mid-Cheshire rail line. May I ask the Chancellor and his team to look at that for the forthcoming Budget?
ParlaMint-GB_2017-10-24-commons.u89	I will take that as a Budget representation. The basic point is that we are clearly very ambitious to unlock, through transport investment, both residential and commercial opportunity. That has been a feature of Government policies over the past few years, and I am sure that it will continue to be.
ParlaMint-GB_2017-10-24-commons.u90	In Cheshire and across the north, the reality is, as the Minister says, that infrastructure investment will unlock productive capacity. Does the Minister recognise that the disproportionate investment per head between the south-east and the rest of the country is unacceptable and must change?
ParlaMint-GB_2017-10-24-commons.u91	The hon. Gentleman’s assessment is simply mistaken: Government investment is broadly equal across the different regions of our country. I highlight to him that the central Government investment going into the north during this spending period is £13 billion, which is a record in British history.
ParlaMint-GB_2017-10-24-commons.u92	Order. As a very distinguished chartered surveyor, the hon. Member for The Cotswolds (Geoffrey Clifton-Brown) will know that the Cotswold is a very significant distance from the north or the north-west, but we will look forward with eager anticipation to hearing the hon. Gentleman at some later point.
ParlaMint-GB_2017-10-24-commons.u93	10. What recent progress has been made on reducing the deficit.
ParlaMint-GB_2017-10-24-commons.u94	15. What recent progress has been made on reducing the deficit.
ParlaMint-GB_2017-10-24-commons.u95	The Government have reduced the deficit by well over two thirds—from a post-war high of 9.9% of GDP in 2009-10 to a low of 2.3% of GDP in 2016-17. We have done that not out of some ideological obsession, but because the key challenge is to get debt falling to increase the resilience of our country so that if the need were ever to arise, we would have the capacity to support the economy against a future shock.
ParlaMint-GB_2017-10-24-commons.u96	I thank my right hon. Friend for that answer. May I make one simple request about the Budget: whatever measures he announces, he resists the temptation to pay for them by billing our grandchildren? Instead, will he continue the excellent work that has seen us slash by nearly three quarters, as a percentage of GDP, the record post-war deficit that we inherited from the Labour Government?
ParlaMint-GB_2017-10-24-commons.u97	Yes. It is not responsible to make so-called hard choices by loading the price on to the next generation and the generation after that. We have to make difficult decisions and we have to bear the consequences of those decisions. At £65,000 per household, our public debt is still far too high, so I can confirm to my hon. Friend that we will continue the plans that we have announced to reduce the deficit in a measured and balanced way to ensure that debt falls as a share of GDP.
ParlaMint-GB_2017-10-24-commons.u98	Despite this Government’s significant efforts to tackle the deficit by reducing tax avoidance, companies such as Microsoft and Apple are still saving hundreds of millions of pounds in corporation tax by booking sales in Ireland. Does my right hon. Friend agree that we need to continue to develop measures to make sure that companies that sell to UK customers pay tax in the UK?
ParlaMint-GB_2017-10-24-commons.u99	My hon. Friend puts his finger on an important problem. Corporation tax in the UK—in fact, in all countries—is levied on profits generated by the activities of companies within the territory. The big global digital companies present us with a new challenge of attributing profits effectively to individual jurisdictions. We are continuing to work with the OECD’s taskforce on the digital economy, and we are also looking carefully at ideas emerging within the EU for interim solutions pending a full international solution.
ParlaMint-GB_2017-10-24-commons.u100	Given that the previous Chancellor has now said that in 2008 the Labour Government “did what was necessary in a very difficult situation”, does the current Chancellor accept that the fact we have thousands of people going to food banks and desperately underpaid public sector workers is entirely the fault of Tory policy?
ParlaMint-GB_2017-10-24-commons.u101	No. Of course a Government need to be able to respond to an external shock, but a prudent Government have got the economy in good shape to respond before such a shock arises. The problem in 2008-09 was that the then Labour Government were borrowing tens of billions of pounds at the top of the economic cycle—grossly irresponsibly.
ParlaMint-GB_2017-10-24-commons.u102	The major cause of the deficit was of course the collapse in tax revenue following the global financial crisis in 2008, yet that is exactly what we will face again unless there is a transitional deal with the EU to allow our world-leading financial services sector—it contributes £66 billion a year in tax revenue—to operate legally within the single market. As my hon. Friend the Member for Nottingham East (Mr Leslie) has already said, we have been asking the Government all year to confirm that there will be a transitional deal. As today is the penultimate Treasury questions before the end of the year, the last Treasury questions before the Budget, and—if hon. Members have read the papers—perhaps the Chancellor’s last Treasury questions ever, will the Government promise UK-based firms a transitional deal guaranteeing market access before the end of this year?
ParlaMint-GB_2017-10-24-commons.u103	As I have already said, the Government have made it clear—the Prime Minister set this out in the Florence speech—that we want to agree an implementation period as part of a deal with the European Union. We are greatly encouraged by the fact that, at last week’s European Council, the 27 agreed to start internal preparatory discussions on guidelines in relation to an implementation period. We are confident that that will give British businesses confidence that we are going to provide them with the certainty they require.
ParlaMint-GB_2017-10-24-commons.u104	11. What assessment he has made of the effect of Government investment on infrastructure since 2010.
ParlaMint-GB_2017-10-24-commons.u105	14. What assessment he has made of the effect of Government investment on infrastructure since 2010.
ParlaMint-GB_2017-10-24-commons.u106	Infrastructure is at the heart of the Government’s economic strategy, and our investment will boost productivity and growth. Since 2010, more than £250 billion has been spent on public and private sector infrastructure.
ParlaMint-GB_2017-10-24-commons.u107	The biggest investments in transport infrastructure in generations, including the Ordsall rail curve in Greater Manchester, have been made possible by this Government. Will my hon. Friend commit to further investment in our rail network, particularly on local commuter routes through my constituency?
ParlaMint-GB_2017-10-24-commons.u108	My hon. Friend makes a good point. This Government have committed to the largest rail investment programme since Victorian times, including a £55.7 billion investment in High Speed 2. He will be aware of the Chancellor’s announcement in Manchester last month of £300 million to improve connectivity to High Speed 2 across the northern region.
ParlaMint-GB_2017-10-24-commons.u109	Will my hon. Friend confirm his commitment to the Tay cities and the Clackmannanshire and Stirling city deals, and will he commit to meeting the local leaders and me to discuss how we can deliver this transformational change for our region?
ParlaMint-GB_2017-10-24-commons.u110	The Government remain fully committed to agreeing both city deals, and to working constructively with the Scottish Government and local partners. I am, of course, very happy to meet my hon. Friend to discuss this further.
ParlaMint-GB_2017-10-24-commons.u111	A decent transport infrastructure is an essential platform for economic growth, but the Minister will be aware that public transport investment in the north-east is only £200 per head, whereas it is £2,000 per head in London. Will he now commit to investing in the north-east on the Tyne and Wear metro, and with public money, not some private finance initiative?
ParlaMint-GB_2017-10-24-commons.u112	The Government are committed to increasing infrastructure investment across all regions, including the north-east. Indeed, investment is 30% higher than it was under the Labour Government. It would be better for Opposition Members to recognise the record investment in infrastructure, which is driving productivity and growth.
ParlaMint-GB_2017-10-24-commons.u113	Will the Minister say how much investment is going to the west midlands, as it is very important to the British economy?
ParlaMint-GB_2017-10-24-commons.u114	The investment going to the west midlands as part of the midlands engine and through the devolution deal is part of wider investment—the £23 billion of investment that has been announced through the national productivity investment fund. The hon. Gentleman will be aware of the Secretary of State for Transport’s announcement on rail spending between 2019 and 2024, which includes the £24 billion announced just last week.
ParlaMint-GB_2017-10-24-commons.u115	12. What recent progress he has made on reducing the level of corporate tax evasion.
