ParlaMint-GB_2017-03-07-lords.u1	Hear, hear!
ParlaMint-GB_2017-03-07-lords.u12	My Lords, on this issue, Parliament sold that pass when it gave the people the decision about whether or not we stay in the EU. Parliament, having given that decision to the people, should accept in logic that the people should retain that decision-making at the end of the process as well as at the start of it. That is the nub of the argument I am making today The noble Lord, Lord Robathan, asked what the question would be about. It would be very straightforward: do you prefer the deal done by the Government or to remain within the EU? I found the Minister’s arguments in Committee unconvincing.
ParlaMint-GB_2017-03-07-lords.u13	The noble Lord, Lord Robathan, did not ask the question the noble Lord has just said he asked; he asked whether there might be a third referendum. If the noble Lord cannot give an answer to that, why will there not be a fourth referendum to decide which of the previous three referendums was the real thing?
ParlaMint-GB_2017-03-07-lords.u14	I would have thought that that is fairly clear. People voted to start the process and we get to the point where there is a deal. At that point, the people should decide, finally, on whether the deal is acceptable. There would be no need, no point, and no issue for having a third referendum after that second decisive referendum.
ParlaMint-GB_2017-03-07-lords.u15	Surely what we voted on was whether to leave or remain—nothing else.
ParlaMint-GB_2017-03-07-lords.u16	My Lords, people voted on 57 varieties of the future of this country. The vast bulk of people, as all the polls show, did not vote to leave the single market; now they are being told they have got to. The idea that the referendum vote reflected the settled will of 52% of the people on what they wanted our future relationship with Europe to be is, in my view, extremely simplistic. It is not borne out by conversations with individuals or the polling evidence. I do not believe that that vote should be the last word.
ParlaMint-GB_2017-03-07-lords.u17	Is it not at least equally simplistic to assume that, after long negotiations and if we have parted company, our European friends and neighbours would wish to have us back?
ParlaMint-GB_2017-03-07-lords.u18	My Lords, that will be part of the consideration at the time. All the evidence to date is that our European friends and neighbours are shaking their heads with disbelief at what we are doing and saying, “For goodness’ sake, why are you doing this?”.
ParlaMint-GB_2017-03-07-lords.u19	If all our European neighbours are shaking their heads and wondering why we are leaving, why then should they give us a good deal when they know that it might be overturned by a referendum and the UK might stay in the EU? Therefore, they would have no incentive to give us a good deal at all.
ParlaMint-GB_2017-03-07-lords.u20	My Lords, I think that our European friends and neighbours will negotiate in good faith—
ParlaMint-GB_2017-03-07-lords.u21	Oh!
ParlaMint-GB_2017-03-07-lords.u22	I must say that I find it deeply depressing, when we have been members of the European Union for these decades, that noble Lords on the other side should have such a difficult and unfriendly view of the people with whom we have been co-operating to solve common problems to the best of our abilities and against a background of hostilities in Europe which cost people, across Europe and in this country over the decades and centuries, millions of lives. I was attempting to say that I found the noble Lord’s arguments unconvincing and the arguments for giving the people a final say compelling, and therefore I beg to move.
ParlaMint-GB_2017-03-07-lords.u23	My Lords, I have added my name to this amendment and want to make three simple points First, the Government have consistently chosen to attribute to the referendum a wider mandate than the result justified. The majority by which people voted to leave the EU was a small one, and they gave no clues about how the withdrawal should be accomplished. The Government know nothing about the views on the withdrawal of the 28% of the electorate who did not vote. Two other groups—British citizens who live in the EU and 16 and 17 year-olds—were not given a chance to vote, and they are now expected just to accept what the Government negotiate. The latter group will be aged over 18 in 2019 when, on present plans, another cohort of 16 and 17 year-olds will have their views similarly ignored. In 2019, the Government will seek to impose, without any say, a withdrawal deal on a majority of the UK’s population who either voted to remain or who have given no consent to the terms of a deal that will have a huge impact on their futures Secondly, as the Government reveal more of their negotiating approach, the public is showing signs of not liking what it sees. This includes many who voted to leave the EU. Dissent is growing over the decision to rule out membership of the EEA and the customs union, despite the views of much expert opinion and promises given earlier by some politicians. The so-called “best deal for Britain” is looking decidedly second best because of the barriers, financial and administrative, to be erected where none exists at present. The refusal to grant those EU citizens working here a prompt right to stay, despite our economic dependence on them for several decades to come, looks to many like another own goal. The Government’s insistence that they can reduce net migration to tens of thousands does not seem to be believed even by the Brexit Secretary, let alone by much of the public. A level of public distrust is building before withdrawal negotiations have even started, and that distrust is being fuelled further by the Government’s reluctance to accept the constitutional need for Parliament to be fully involved in the decision-making process on withdrawal—something that I hope we can rectify with Amendment 3 My third and final point is about whether the Government really want a deal. I have to say that I thought the cat was let out of the bag last week by the Brexit Secretary when he told Cabinet colleagues to prepare for a hard Brexit so that in 2019 the Prime Minister can walk away from the EU negotiations without any deal at all. This will mean diverting large amounts of public expenditure away from our public services to pay for things such as new IT systems for customs declarations, a new immigration system and new air transport agreements. If that is where we end up in 2019, it seems that the public are entitled to have a say in whether that is a future they want to sign up for, irrespective of any narrow referendum vote three years earlier. The Government simply do not know what the majority of people expect will happen and there is growing public concern over the Government’s negotiating approach. That concern could be much greater when we reach 2019. The British people may well want to change their minds when they realise how adversely they will be affected by leaving the EU. We should provide them with an opportunity to do so by giving them the final say, as Amendment 1 would.
ParlaMint-GB_2017-03-07-lords.u24	My Lords, I agree with the arguments of the noble Lord, Lord Warner. I have added my name to this all-party amendment and if a vote is called, I will vote for it. What struck me about the referendum campaign as I knocked on hundreds of doors in the south Wales valleys, which are all traditional working-class Labour strongholds, is that the people who were voting leave were voting against something. They were voting against the European Union, but they were not voting in favour of anything. In part that is because they were not told by the leave leadership what the alternative would be. In fact, the leave leaders were deliberately unclear and disagreed with each other as to what it would mean. Some argued that it would be a future like Albania while others argued that it would be in the single market, which was again denied by others. In that sense, the leave campaign left the alternative deliberately ambiguous and now we are in a position, or we will be in the coming months, where that alternative will become clearer In every other referendum, including the Welsh referendum in 1997, which as a Minister I helped to organise and lead on behalf of Welsh Labour, it was very clear that you were voting either to establish a Welsh Assembly or for the status quo. The same applied in Scotland in 1997, as it did to the electoral reform referendum in 2011—you were either voting for the alternative vote or to keep the status quo, the first past the post voting system. It was similar in the Scottish independence referendum held in 2014. Everyone knew that, whichever way they voted, it was absolutely crystal clear what they would get. What was different about the referendum held on 23 June last year is that that was not the case. It was unlike any other referendum we have experienced where the consequences of voting for or against were clear to voters; this was not, so we are in a very different position I am not disputing the outcome on 23 June. This is not about re-running that referendum. This is about making sure that the democratic process remains democratic and that voters have the final say on the eventual negotiated outcome. It seems to me that a process which is started by a referendum should be completed by a referendum and voters should have a final say on the deal that is negotiated, if indeed any deal is negotiated, although the Prime Minister has made it clear that perhaps none will be and we will move into an even more uncertain future Perhaps I may quote in support of my remarks from the last Labour Party conference. Composite 1, moved by the TSSA union and seconded by Newcastle upon Tyne Central Constituency Labour Party, stated this—by the way, it was passed unanimously. I speak from the Labour Benches and I intend to remain on these Benches in the future, unless anyone questions that. The composite says that it, “recognises that many of those who voted to leave the EU were expressing dissatisfaction with EU or national policy and were voting for change, but believes that unless the final settlement proves to be acceptable then the option of retaining EU membership should be retained. The final settlement should therefore be subject to approval, through Parliament and potentially through a general election, or a referendum” That is Labour Party policy and I am speaking in favour of that policy.
ParlaMint-GB_2017-03-07-lords.u25	My Lords, it is always a pleasure to follow the noble Lord, Lord Hain. I remind him of one or two aspects of the Welsh devolution referendum. I was the leader of the Welsh Liberal Democrats from 1992 to 1997 and strongly supported devolution to Wales, as he did. It has worked extremely well. However, I remind him that nobody—certainly no Liberal Democrat I knew in Wales—envisaged that, if we did not like the way devolution was set up, we would have a second referendum. We would have considered that view completely idiotic and unconstitutional I have been on this side of the House for only the last two or three months, so my memory of being a Liberal Democrat is reasonably fresh. It is clear in my mind that at the time of the European referendum last year the starting point for Liberal Democrats was as follows: there would be one referendum. It was not suggested for one moment that there would be two, three or even four referenda. I see the logic of what the noble Lord, Lord Robathan, said earlier and think he was rather wrongly put down by the noble Lord, Lord Newby, because he made a perfectly fair point. It was envisaged by Liberal Democrats that there would be one referendum and that it would be in accordance with the law. The law provides that referenda are advisory and subject to parliamentary procedure thereafter. If a referendum result, for good reason, is rejected by Parliament then the result is rejected by Parliament. That is what Liberal Democrats expected—namely, the normal process. We would have heard had it been otherwise. I want to make two particular points, one tactical and the other constitutional.
ParlaMint-GB_2017-03-07-lords.u26	As I remember, to my cost, the noble Lord’s recollection of what positions Liberal Democrats took in the past has not always been entirely accurate. On this issue surely the difference is this. When the Wales referendum was put, it was put on a specific proposition, fully backed up with policy and detail. On this occasion, the proposition put to the British people was to leave or not. They decided to leave. That mandate is clear and the Government are entitled to enact it. But, unless the noble Lord might like to suggest what the mandate is for the particular form of exit the Government choose, there is no mandate to leave the single market, nor to leave the common customs union. Therefore, if there is no mandate for that, why have the Government chosen to use it and follow the most hard-line Brexit possible? If the noble Lord believes that there is a mandate for that, will he describe what it is, given that the majority of the people in this country in opinion polls have made it clear that they do not support this and the Conservative—
ParlaMint-GB_2017-03-07-lords.u27	Oh!
ParlaMint-GB_2017-03-07-lords.u28	I do not wish to stifle debate but the noble Lord should know that we are on Report, and the opportunity to interrupt a speaker is not an opportunity to make a speech.
ParlaMint-GB_2017-03-07-lords.u29	My Lords, as I think the noble Lord, Lord Ashdown, knows, I have enormous admiration for his skill and ability. He is at his best when he makes points with simplicity, but that point was not made with simplicity. I am totally confused by what he sought to say and I reject his argument completely. He knows perfectly well, as all the Liberal Democrats know, that what was put to the country was a referendum in the normal constitutional and legal form. No Liberal Democrat, least of all the noble Lord, Lord Ashdown—perhaps he was too busy eating his hat as a result of his comments on television during the general election—suggested for one moment that there was something different about the referendum that we faced last June. However, I am sure that noble Lords will want me to move on The truth of the matter is that we are facing this proposal for the second time—now rather better drafted, thanks to the intervention of the noble Lord, Lord Grocott—because unfortunately the Liberal Democrats do not like the result of last June’s referendum. Nor did I, but my advice to your Lordships’ House, for what it is worth, is: be careful what you wish for. The Liberal Democrats’ record on referenda ain’t so good. Noble Lords will recall the alternative vote referendum, as well as what happened in June. Indeed, I would say that Amendment 1 seeks to compress a huge quantity of extremely complicated issues into a simplistic binary question. It just will not work, and the Government do not need this kind of patronising advice in order to get on with the negotiations I now turn briefly to the constitutional issue. The noble Lord, Lord Newby, failed to answer the challenge from the noble Lord, Lord Grocott, as to whether it would be a binding or an advisory referendum. He sought to answer it by saying that he thought that, on balance, it would be a binding referendum. If that is the basis of this amendment, it is ridiculous, because there is no provision in the law for a binding referendum The whole debate we have been having in your Lordships’ House has been about how much respect we should pay to the referendum that took place last June. My answer is that we should pay a lot of respect to it. I do not want to leave the European Union, but I recognise that the referendum has taken us to Article 50, which we must get on with triggering as soon as possible. The Government know perfectly well what they have to do. They know that, if they produce a completely unsatisfactory result, they will face a Motion of no confidence in the other place and will fall. We can well do without messing around with the arrangements which should now be in action.
ParlaMint-GB_2017-03-07-lords.u30	My Lords, I have no wish to get involved in Liberal Democrat internecine warfare but I put my name to this amendment and I support many of the speeches that have been made in support of it My noble friend the Minister has done a very skilful job in getting the Bill to this stage in this House, but in Committee he told us to be in no doubt that this country was leaving the EU—no ifs, no buts, and with no idea of the terms. I admire determination but not when it is blind to changing circumstances. I cannot see why any Government would be so adamant about a course of action with no knowledge of the circumstances in which they might take that course We do not know what the world will look like in two years’ time. Economically and politically it is at some of the most uncertain stages that I have ever seen in my lifetime. In two years’ time, the EU, the world and our economy could look very different—and, I suspect, not for the better. At that stage, we will be able to look at the deal that our Government have negotiated or, as others have pointed out, at the no deal that they have been handed. Although I am not an advocate of government by referenda, in this situation, having started the process with a referendum, as the noble Lord, Lord Hain, pointed out, it seems to me that the only sensible way to bring the process to an end is to put the terms to the public. I have listened to the arguments of the noble Lord, Lord Carlile, and I do not dismiss the patronising advice that he gave the Liberal Democrats or those supporting this amendment, but I believe that the public need to see what is on offer During the course of this Bill, we have heard that, whatever people voted for on 23 June last year, it was not to get poorer. I cannot see that in the end the Government will be presenting them with a deal which does not mean that they get poorer. I believe that at that stage they should have a chance to vote on whether, having seen the future, it is the future that they really want.
ParlaMint-GB_2017-03-07-lords.u31	My Lords, there was a previous referendum on Europe in 1975. On that occasion, it was not taken as holy writ and as something that it was almost obscene to vote against. On the contrary, in 1979 the Labour Party said that it would ignore and vote against the referendum result—there were no difficulties there—and so did a very large number of Conservatives, headed by Mr Enoch Powell. Therefore, I cannot see why the advisory referendum of 1975, where the majority was 33%, should somehow be treated so casually, whereas this referendum, with a majority of, I think, 3.8%, is somehow treated reverentially, with the view that we should all genuflect before the will of the people I link this amendment with Amendment 3, which I shall also support. Amendment 3 confirms the view so wisely put by the Supreme Court that sovereignty in this country resides in the two Houses of Parliament. That was the view taken and it is the view that will be proclaimed in Amendment 3. Referendums are always advisory—they are to help Parliament in reaching a view. It is best to have an informed referendum. The last one was not in the least informed; it was a process of serial lying and deception, which added nothing to public understanding. As the facts emerge, I think that public understanding will change substantially We need to ask the view of the people again to assist Parliament when the facts are known—when the car workers at Vauxhall, the steel workers at Port Talbot and the car workers at Sunderland will be forming a view on employment, trade and Britain’s economic relationships with a wider world. It would also be when we have had an opportunity to have the views of young people, deprived of voting this time and whose futures are imperilled by this ill-informed, almost non-informed, decision Another referendum will not be taken in a one-world universe; it will be taken when the views on Brexit of those other 27 countries, views which are quite important, are also known. As I believe was the Labour Party in 1979 and 1983 in respect of the previous referendum, as well as a growing number of Conservatives, I am in favour of regarding the referendum that we had in June last year as ill-informed, or almost uninformed, guidance. I would prefer informed guidance and that is why I shall vote for this amendment.
ParlaMint-GB_2017-03-07-lords.u32	My Lords, I apologise to the House for not having been present at earlier stages of the Bill, for medical reasons beyond my control. The benefit for your Lordships is that I will not be on my feet for long I was disappointed to miss the excellent debates at early stages. What unites us in this House, across all Benches, is how seriously we take our role as scrutineers. On our best days, we approach each question not on the basis of tribe or loyalty, but on the strength of the argument and how it might work for the common good of the whole country. On these Benches, we are not a party, nor do we follow a Whip. Today will see a significant number of Bishops appearing, not because we hold ourselves out as constitutional experts but because we are deeply embedded in every local community in England. We may dress the same, but we have independent minds, as anyone observing church politics recently will be well aware. So I speak today not in a corporate but in a personal capacity. The referendum campaign and its aftermath revealed deep divisions in our society, as the noble Lord, Lord Hain, rightly commented—like him, this feels like the most divided country that I have lived in in my lifetime. Whatever the outcome of the next two years, our nation’s future, particularly for the most vulnerable, will be profoundly damaged if we arrive in 2019 even more divided, without a common vision to confront the opportunities and challenges before us. To meet these opportunities and challenges in every aspect of policy and every level of society, we must find a level of national reconciliation. So how we conduct this process is as important as the outcome. It would be dangerous, unwise and wrong to reduce the substance of the terms on which we exit the European Union to the result of a binary yes/no choice taken last summer, and the Government should avoid any inclination to oversimplify the outcome of the most complex peacetime negotiations probably ever to have been undertaken But neither is the complexity of a further referendum a good way of dealing with the process at the end of negotiation. It will add to our divisions; it will deepen the bitterness. It is not democratic; it is unwise. Even if circumstances change, as the noble Baroness, Lady Wheatcroft, rightly said they were likely to do—even if they change drastically—a dangerous and overcomplicated process is the result of a referendum It is beyond doubt that those bringing this amendment and others before this House today, and last week in Committee, are moved by legitimate and deeply principled concerns for our country. To challenge that, as has been done in the press, is entirely wrong. Similarly, those who have argued against amending the Bill have done so not from a deficit of care but from a concern for process and a legitimate desire to reach the best outcome Division of our country is not a mere fact to be navigated around like a rock in a stream but something to be healed, to be challenged and to be changed. During many years in which I have worked in countries in the midst of deep division—sometimes armed, sometimes merely civil—I have seen two cardinal errors made in seeking to bring reconciliation and building common vision. The first is to complicate the process; the second is artificially to simplify complicated substance. On this amendment, I fear we risk making the process too complex and the substance too simple. Although I fully understand the good intentions of those who tabled the amendment, for these reasons I will be unable to support it.
ParlaMint-GB_2017-03-07-lords.u33	My Lords, I support Amendment 1, but I believe we have Amendment 1 and Amendment 3 in the wrong order. If we pass Amendment 3, as I suspect may well happen, that would give Parliament the final say, which is certainly better than allowing the Government to walk roughshod over Parliament and decide for themselves. We cannot ignore the fact that the people, regrettably in my view, voted to leave the EU, although in doing so they did not have a clear view as to the alternative they were backing. If Parliament—or the Government for that matter—has the final say and the people who voted out last June do not like it, we could easily escalate the situation into an almighty crisis. That could be avoided by a confirmatory referendum. Let us imagine over the next two years that negotiations get nowhere and the Government resort to the WTO basis with no preferential access to the single market. Car factories start closing, as the noble Lord, Lord Morgan, mentioned. Financial services move to Paris or Frankfurt. The EU insists on a €30 billion payment, or whatever, from the UK. EU nationals start quitting key posts in the NHS and expats find that they have to start paying for their healthcare in the countries they live in, or lose pension increments that arise from the UK. At that point, many who voted out will start bleating, “This isn’t what we voted for”. At that point, the only way for the Government to hold their line is to be able to tell them, “Okay, you will get the final say, so let’s see what happens with the final package”. It is therefore in the Government’s best interest to have a confirmatory referendum. I believe that is a very good reason for backing the amendment.
ParlaMint-GB_2017-03-07-lords.u34	My Lords, I am unable to support the amendment. I say so with a heavy heart, but I am extremely conscious of the economic consequences, not least the ones the noble Lord just mentioned, of prolonged uncertainty. I will briefly sum up why. We have had uncertainty in this country from when the then Prime Minister made his Bloomberg speech, but more so since he started his negotiation. The negotiation took 14 months. We have had the referendum. That took four months to organise. So why are there noble Lords here who believe that it could be done in the space of an election campaign? The Electoral Commission’s role is such that it needs to take its time. We would probably run into a referendum around October 2019. If the result was that the country did not like what it got, there would have to be another negotiation, either to revoke Article 50 or to change the terms. That would bring us into the general election. If there is going to be a general election in 2020 anyway, there seems to me little value in having a referendum in early 2020 or late 2019 That is just the chronology. To imagine that our EU partners would hang around from 2015 to 2020 without making provisional plans for a 12.5% hole in their budget, or for a potentially dramatic change in the relationship of 65 million people with the single market, is somehow not to understand even the EU’s position. I say that advisedly. We have seen HSBC move 1,000 jobs. We have heard Mario Draghi telling us that euro clearing would have to move. We have heard the Irish Government tell us that they are preparing for companies to move their office space. We know that 1.1 million people are dependent on the financial services sector, and their jobs are in line at the moment. The idea that business will hang around for a further four years was rebutted in the evidence we took for the report of the EU Financial Affairs Sub-committee on Brexit and its impact on financial services. We were told in terms that uncertainty was extremely damaging to the sector and that people therefore wished to have a transition period Let me conclude with one or two points that relate directly to some of the remarks made by speakers in this debate. The noble Lord, Lord Hain, said that a process which is started by a referendum should end with one. I accept the logic of that. The process started with a referendum in 1975. Until last year, the people of this country who are 60 years old or under had not had a say in our future direction. I have to admit with a heavy heart that they did not go in the direction I wanted them to go in, which was to remain, but they made their choice. So the process did start with a referendum and it will end with one. I suspect that what the noble Lord is alluding to is a third and potentially a fourth referendum The noble Baroness, Lady Wheatcroft, said that we do not know what the world will look like in a couple of years’ time, and I agree with her completely. That is why I look forward to debating the amendments to come about whether Parliament should make an assessment I am in a place where I think that referendums are a dangerous tool. Direct democracy, in my opinion, is dangerous. Referendums should be used with great care and clarity. We cannot explain a complicated negotiation result in a referendum, as Mr Cameron found out to his cost.
ParlaMint-GB_2017-03-07-lords.u35	My Lords, I agree entirely with the noble Baroness that referendums are a bad idea, and I am surprised that everyone else in the Chamber does not agree, especially those on the Liberal Democrat Benches Nevertheless, we had a referendum and, as the most reverend Primate said, it was a binary choice: yes or no. People knew what they were voting for, and they voted to leave the EU. It is unbecoming and, if I may say so, patronising of people to attribute to the individuals of this nation the reasons for how they voted. Personally, in 1975 I voted to stay in and some 40 years later, with my experience of the EU, I voted to take back control of this country and put it in the hands of the British people. That is what I have done, and that is what I suspect that most people are expecting from us. It is patronising to suggest that people did not know what they were voting for The logic to which the noble Lord, Lord Newby, referred is this: what would happen if in a second referendum the people of this country rejected the Government’s negotiating position? No one has an answer to that, so I would say that there must be a third referendum, but I would not particularly want to get into that Finally, perhaps I may direct my friends on the Liberal Democrat Benches—I count them as friends and I hope that they count me as a friend from time to time—to an article published in the Times yesterday by a man called Edward Lucas, who outed himself as a Liberal Democrat—I did not realise he was until then—which suggested that this is part of reinvigorating the fortunes of the Liberal Democrats. I would say the contrary. The noble Lord, Lord Newby, suggested that there might be corrosive and justifiable anger, but the great British people have had their referendum and they do not want another one. So we should just ignore this amendment and carry on.
ParlaMint-GB_2017-03-07-lords.u36	My Lords, I came into this Chamber genuinely unsure about which way to vote and whether to support the amendment. My noble friend Lord Grocott may laugh, but it is a genuine feeling. He and I have known each other for a long time and I hope he will accept that, in relation to this particular amendment, it is a genuine feeling. I support Amendment 3 very strongly indeed I am not sure that the debate has helped me, because we have heard eloquent speeches on both sides, by my noble friend Lord Morgan and by the most reverend Primate the Archbishop of Canterbury. I intervened on the noble Lord, Lord Newby, because of my reservations about the referendum itself: the fact that 16 and 17 year-olds were not allowed to vote; that EU citizens were not allowed to vote; that there was no threshold; and the uncertainty about whether it was advisory or mandatory. All of that created a huge problem.
ParlaMint-GB_2017-03-07-lords.u37	It was an advisory referendum. There is no doubt about that.
ParlaMint-GB_2017-03-07-lords.u38	I agree. I share that view. However, some people tried to sow confusion and indicated that it had to be accepted. I say to my noble friend Lord Grocott that this is why we need to look carefully at what happens at the end of this long and complicated process As I say, I was not sure how to vote, but I am now convinced. The noble Lord, Lord Newby, answered my question. The form of the referendum, its timing, the question, the franchise and all of the other matters will be dealt with in a Bill which will come before this Parliament I also support Amendment 3 about parliamentary approval of any deal that is agreed. I envisage—I do not know whether my colleagues agree—that Parliament would then put the proposal to the referendum. That would be the question. So at that time, in that referendum, we would know what we were voting for, unlike the previous referendum. That has convinced me that the way forward is to combine the parliamentary consideration of the deal that is reached and come to some conclusion, and then put it to the people because they will have considered it already. That is the first thing that has convinced me to support this amendment The second thing is that I have become increasingly concerned at the tribalism of the Tories on this issue. They are sitting there supporting some kind of concerted campaign to push through the kind of hard Brexit that they want at any cost—and I mean at any cost. The more they do that, and the more they sit there jeering at our partners in Europe, dismissing them as if they were irrelevant in relation to this, the more I will be convinced that we need to make sure that their kind of hard Brexit—
ParlaMint-GB_2017-03-07-lords.u39	Does my noble friend agree, given what happened in Scotland, that every referendum is greeted with, “We will have to have another one because we do not like the result”? What happens if the second referendum is closer than the last one? Will there be a third referendum and a fourth referendum? It is an abrogation of responsibility.
ParlaMint-GB_2017-03-07-lords.u40	No. As my noble friend Lord Hain rightly said, in Scotland and Wales what was put to the people was absolutely clear. It was a specific proposal—there was no doubt about it—to set up a Parliament for Scotland and a Parliament for Wales. What we put at the last referendum was not as clear. We did not know the way forward; we did not know the options before us.
ParlaMint-GB_2017-03-07-lords.u41	Perhaps I may help. I think I am right in saying that all previous referenda have always been confirmatory. They agreed to what Parliament set before the nation. That was not the case, of course, in June of last year.
ParlaMint-GB_2017-03-07-lords.u42	I find myself, unusually, agreeing with the noble Lord, Lord Tyler. Having seen him on television recently, he has taken me by surprise. They have been confirmative and that is what we are talking about in this referendum. I think the noble Lord, Lord Newby, agrees that it will be a confirmatory referendum after Parliament has agreed or otherwise the proposal that comes from the Government in relation to Europe. On that basis I will back his amendment.
ParlaMint-GB_2017-03-07-lords.u43	My Lords, there are two scenarios vis-à-vis the attitude of the EU towards our leaving it. One is that it will be absolutely delighted that we are going. A thorn will have come out of its side once the UK has departed and it will be able to proceed with the federal dream it has always had. Therefore, it will want to quickly get on with an agreement and say goodbye to us. The other scenario is that the EU will regard the UK leaving as a hole in the head. As the noble Baroness, Lady Falkner, said, it will present it with an enormous budgetary problem. It will probably be contagious and will lead to other countries in the EU wanting to leave as well. The noble Lord, Lord Newby, says that we must trust the EU. Well, hold on. The people who run the EU are not renowned for being overtly democratic. Let us face it: they put the whole objective of the federal dream above all else. Therefore, they will say that we must go to any lengths that we possibly can to ensure that the United Kingdom stays in the EU How do you do that? You offer the most appalling deal known to man. Then, knowing that there is going to be a referendum, if this amendment is passed, you can confidently reckon that the British people will vote against that deal and the United Kingdom will stay in the EU. Does that not completely undermine the Government’s negotiating position once Article 50 has been triggered? This amendment should be opposed absolutely ruthlessly.
