ParlaMint-GB_2017-01-10-commons.u1	1. What recent assessment he has made of the security and humanitarian situation in Yemen.
ParlaMint-GB_2017-01-10-commons.u12	I can only guess that the hon. Gentleman’s question relates to the sale of cluster munitions, because he did not explain its context. Perhaps we can meet later so that he can ask me a fuller question. Alternatively, he can attend the debate on Thursday, when we shall doubtless discuss Yemen in more detail.
ParlaMint-GB_2017-01-10-commons.u13	Last month the Defence Secretary informed the House that the Saudi Government had given assurances that they would no longer use UK-manufactured cluster bombs. Has the Minister received confirmation from the Saudis that they have now disposed of their stocks of those weapons?
ParlaMint-GB_2017-01-10-commons.u14	They have confirmed that that is their intention, and I hope to be able to ensure that it has actually happened in time for Thursday’s debate. I can go further, and tell the House that, before the Prime Minister’s visit to Manama for the Gulf Cooperation Council conference, I invited all the GCC nations to sign the convention on cluster munitions so that they could join other countries around the world in condemning those horrific weapon systems.
ParlaMint-GB_2017-01-10-commons.u15	14. Fourteen million people in Yemen, more than half the population, are going hungry today. In the capital, Sana’a, residents have resorted to scavenging the rubbish dumps for scraps of food. What progress is the Minister making towards brokering a ceasefire so that the Yemeni people can get the help they need?
ParlaMint-GB_2017-01-10-commons.u16	What the hon. Gentleman has said returns us to the original question. It is vital for us to gain full access to Sana’a, but again, unfortunately, that is in the hands of the Houthis. We are unable to utilise the airport, which would be the best way to get aid into the country, because of disagreements that are taking place. The sooner we can get all parties back around the table—including supporters of Saleh—the sooner we can bring about a cessation of hostilities and get that important aid back into the country, including the capital.
ParlaMint-GB_2017-01-10-commons.u17	Let me begin by saying that I think it fitting for the House to welcome the fact that, whatever else 2016 brought, it was the first year in nearly four decades in which no member of our armed forces was killed in operations. Sadly, however, that is not because we live in a more peaceful world. In Yemen the conflict remains as fierce as ever, and the suffering of its children is worse than ever. As the Minister himself has said, it is the worst crisis in the world. One child is dying every 10 minutes from a lack of food I have here a copy of the United Kingdom’s draft United Nations resolution, which could bring an end to that conflict and allow the delivery of humanitarian relief. There is not a single word in that draft resolution with which any reasonable party could possibly disagree. Let me ask the Minister a simple question. Three months after the resolution’s first appearance, why is the UK still sitting on it?
ParlaMint-GB_2017-01-10-commons.u18	A UN resolution must be drafted in a way that makes it workable. That means that all parties must sign and agree to it, because otherwise it is just a piece of paper. If we are to ensure that the resolution can stand on the basis of what we are saying and can be enforced, the parties must get round the table and bring about a cessation of hostilities. The hon. Lady is right: we work towards the drafts, but we do not implement them until we are sure that the resolutions can work in practice.
ParlaMint-GB_2017-01-10-commons.u19	I thank the Minister for his answer, but I must tell him that we have heard all this before. I know that the Ministers do not listen to their ambassadors any more nowadays, but this is what our UN ambassador, Matthew Rycroft, said back in November when he was asked what it would take to achieve a permanent ceasefire: “The UK will continue to support efforts…including through the use—if necessary—of our draft Security Council resolution.” That was 50 days ago—50 days of continuing fighting—and we are still seeing the same old delaying tactics on the Government’s part. Let me ask the Minister again: when will the Foreign Secretary pull his finger out, present the resolution, and end what even he has acknowledged is a terrible proxy war?
ParlaMint-GB_2017-01-10-commons.u20	I am sorry to use these words, but the hon. Lady has just illustrated that she has no grasp of the United Nations process itself, or of what is taking place on the ground in Yemen; and to suggest that any member of the Government does not listen to our ambassadors is to disingenuously mislead the House. I invite—
ParlaMint-GB_2017-01-10-commons.u21	Order. Of one thing we should be clear: that the Minister has a grasp of parliamentary protocol. He cannot accuse somebody of disingenuously misleading the House; both words are wrong, and both must be withdrawn.
ParlaMint-GB_2017-01-10-commons.u22	I withdraw those remarks; if I add “inadvertently”, and say inadvertently disingenuously misleading the House, would that work with you, Sir?
ParlaMint-GB_2017-01-10-commons.u23	If somebody is disingenuous there can be nothing inadvertent about it, which I would have thought the hon. Gentleman was well-educated enough to recognise; do try to get it right, man.
ParlaMint-GB_2017-01-10-commons.u24	I think the point has been made, Mr Speaker, and I am sorry to test your patience, but it is important to understand that we take the words of, and work with, our ambassadors very seriously indeed. I spoke to Matthew Rycroft only a few days ago. We are the penholders on this matter at the UN Security Council, and I will make sure there is a phone call between him and the hon. Lady. He can explain the processes of the United Nations so that she becomes aware that we will not get a Security Council resolution passed until we get the cessation of hostilities in place.
ParlaMint-GB_2017-01-10-commons.u25	Progress, apart from anything else, has been glacial—far, far too slow—so we need to speed up.
ParlaMint-GB_2017-01-10-commons.u26	2. What recent representations the Government have made to authorities in northern Cyprus on the killing of George Low in Ayia Napa in August 2016.
ParlaMint-GB_2017-01-10-commons.u27	The Foreign Secretary raised this consular case in November last year, and our high commission in Nicosia is also raising this delicate matter, including in discussions with north Cyprus. We will continue to push to see those guilty of the murder of George Low brought to justice.
ParlaMint-GB_2017-01-10-commons.u28	I thank the Foreign Office for its hard work in trying to secure justice for both George Low and Ben Barker. Natural justice demands that people should not be able simply to walk away from custody when accused of murder, yet northern Cyprus has allowed this to happen with one of the suspects and it is feared that the second will soon follow. Please can the Minister reassure the victim’s family that every possible effort will be made to persuade northern Cyprus to allow decency to prevail and for these men to face trial?
ParlaMint-GB_2017-01-10-commons.u29	The House will not be aware of this, but I know my hon. Friend is. It has been a delicate and difficult case and I commend the work he has done, including in working with the families, and I can assure him that the Minister with responsibility for Europe and FCO officials are fully engaged to provide the necessary support to both families. My hon. Friend will realise that because this involves north Cyprus, we cannot speak too widely about what discussions have taken place, but we are working hard to ensure justice is seen to follow.
ParlaMint-GB_2017-01-10-commons.u30	The Minister is right that this has been a complicated case, but there have been far too many complicated cases involving British nationals in the various different parts of Cyprus. Does he agree that the truth of the matter is that until we get a proper settlement of Cyprus so we no longer have a divided island and a divided city, there will be no long-term justice either for the people of this country in Cyprus or for that matter for the people of Cyprus?
ParlaMint-GB_2017-01-10-commons.u31	I hope the former Minister for Europe will join me in congratulating the two leaders, who are coming together this week. My right hon. Friend the Foreign Secretary is going to Geneva to try to push forward what will be monumental discussions to finally provide that important solution. I hope that then cases such as this will be able to be resolved much faster.
ParlaMint-GB_2017-01-10-commons.u32	3. What reports he has received on the conditions in which political prisoners are held in Colombia; and if he will make a statement.
ParlaMint-GB_2017-01-10-commons.u33	13. What reports he has received on the conditions in which political prisoners are held in Colombia; and if he will make a statement.
ParlaMint-GB_2017-01-10-commons.u34	We are concerned by reports about the detention of human rights defenders and activists in Colombia, often held without trial or access to legal representation. Our embassy in Bogota closely follows specific cases. The Prime Minister raised our concerns about threats to human rights defenders with President Santos during the state visit in November.
ParlaMint-GB_2017-01-10-commons.u35	I thank the Minister for his answer, but, following the amnesty law passed by the Colombian Congress on 28 December, will the Minister urge the Columbian Government to release all civil society prisoners, as agreed, as soon as possible?
ParlaMint-GB_2017-01-10-commons.u36	We welcome the approval of the new amnesty Bill of course, and we believe it will lead to a benefit for all citizens and the wider region as part of the Columbian peace process. We look forward to all aspects of that law, particularly with regard to disarmament and reintegration.
ParlaMint-GB_2017-01-10-commons.u37	Happy new year, Mr Speaker The transition zones are an important, if not crucial, aspect of the peace agreement, yet we are hearing reports of work on living quarters not even having started, of food being so rotten that people are suffering from severe and possibly lethal food poisoning, and of the supply of water being very scarce. Given that the transition zones are where the FARC troops are supposed to be concentrated as an essential element of the peace agreement, will Her Majesty’s Government please put absolute pressure on the Colombian authorities to ensure that the zones are properly completed?
ParlaMint-GB_2017-01-10-commons.u38	We do of course raise these matters with the Colombian authorities on a regular basis. I take the point that the hon. Gentleman has made, and we will of course relay it back.
ParlaMint-GB_2017-01-10-commons.u39	The United Kingdom has supported the Colombian Government of Juan Manuel Santos throughout the difficult, recently concluded and very welcome peace process, and we have pledged our continuing support through the United Nations and the European Union. Will the Minister outline what specifically will be supported, and tell us whether the Colombian people and civil society will be included in the discussions on how the funds will be allocated?
ParlaMint-GB_2017-01-10-commons.u40	My hon. Friend is right to suggest that 2016 was an historic year for Colombia. The peace deal with the FARC ended the longest conflict in the western hemisphere. He asks about the range of support that we are providing for the peace process. It includes a contribution of £7.5 million to the UN trust fund, with more than £2 million dedicated to de-mining.
ParlaMint-GB_2017-01-10-commons.u41	According to a report from the Institute for Development and Peace Studies in 2016, there is now a paramilitary presence in 31 of the 32 Colombian departments. Will the Minister make urgent representations to the Colombian Government to ensure that the proliferation of paramilitaries and private armies is countered, and that the articles of the peace process are upheld?
ParlaMint-GB_2017-01-10-commons.u42	I can confirm that we are concerned by reports of violence against human rights defenders, which has increased in 2016. Those attacks have increased in areas from which the FARC is withdrawing, which is disturbing. We will of course raise these matters with the Colombian Government, particularly the importance of security in conflict-affected areas.
ParlaMint-GB_2017-01-10-commons.u43	4. If he will review the UK’s support for the Saudi-led coalition forces operating in Yemen.
ParlaMint-GB_2017-01-10-commons.u44	Despite signing the partnership for peace agreement, the Houthis invaded the capital, Sana’a, placed Ministers under house arrest, took over ministerial buildings and committed extra-judicial killings. The Saudi-led military coalition was formed, following the legitimate request from President Hadi as set out in United Nations Security Council 2216. It is in this context that the UK supports the military intervention.
ParlaMint-GB_2017-01-10-commons.u45	At a time when millions in Yemen are facing starvation, it beggars belief that the Saudi coalition is routinely targeting airstrikes at cattle markets, dairy farms, food factories and other agriculture infrastructure. Can the Minister explain why the coalition is doing that, and why we are supporting it?
ParlaMint-GB_2017-01-10-commons.u46	We are not supporting them doing that, as the hon. Lady can no doubt imagine. We are working closely with the Saudi Arabians and the coalition to ensure that the protocols and standards that they are using in sustained warfare meet the international standards that we would expect, were we to be involved ourselves. Much of the information that comes from the battlefield is very unclear indeed, but we are enforcing transparency in a way that the Saudi Arabians and many other members of the coalition have never seen before.
ParlaMint-GB_2017-01-10-commons.u47	Does my hon. Friend agree that, as the Saudi-led coalition intends to restore the legitimate Government in Yemen, it is clearly right and proper that we should support it?
ParlaMint-GB_2017-01-10-commons.u48	My right hon. Friend knows the region well and he is absolutely right. I want to make it clear, however, that the coalition has made errors. It has made mistakes. It has not endured sustained warfare in this manner before, and it is having to meet international standards as never before. It is having to provide reports when it makes mistakes, and it has never done that before. It has no experience of even writing reports. It wants to meet those standards and to work with the international community. We need to ensure that when errors are made, the coalition puts its hand up in the same way that we do and that the Americans did in Afghanistan only a few months ago.
ParlaMint-GB_2017-01-10-commons.u49	Given that Saudi Arabia has finally admitted to using illegal cluster bombs in Yemen, what consequence or sanction is being planned by the UK Government against Saudi Arabia for that clear breach of international humanitarian law?
ParlaMint-GB_2017-01-10-commons.u50	If I may attempt to correct the hon. Gentleman, those cluster bombs are not illegal, because Saudi Arabia has not signed up to the convention on cluster munitions. Therefore it is in its right—indeed, any country’s right—to use cluster munitions should it wish. As I mentioned earlier, I have encouraged Saudi Arabia to make sure not only that it has destroyed all the cluster munitions that we sold it in the past, but that it gets rid of its entire arsenal of cluster munitions and signs the convention.
ParlaMint-GB_2017-01-10-commons.u51	Has the Minister talked to the Saudi coalition about dealing with the long-standing threat from al-Qaeda and the growing threat from Daesh in Yemen, which threatens not just the Gulf but our security at home?
ParlaMint-GB_2017-01-10-commons.u52	In all our discussions with the Saudi Arabians and other coalitions that are learning how to conduct necessary warfare to the standards that we expect, we sometimes gloss over the fact that the absence of a solution allows the incubation of extremism in the form of Daesh, which is now present in the peninsular, and al-Qaeda. Until very recently, the port of Mukalla was completely run by that extremist operation. From our security perspective, more terrorist attacks are plotted in the peninsular by al-Qaeda than by any of its wings. Yes, it is very important that we work with our coalition friends to ensure that we defeat extremism in Yemen.
ParlaMint-GB_2017-01-10-commons.u53	May I endeavour to make a better case for Britain’s policy on the Yemen tragedy than the Minister made in his earlier replies? Will he now make clear the value to our security and to our dynamic aerospace industry of our relationship with the Saudis and the Gulf states? Will he also make clear the concern of the UK and the international community at the expansionist and subversive activities of the Iranian regime?
ParlaMint-GB_2017-01-10-commons.u54	There is nothing in that question with which I would disagree. Saudi Arabia is an important ally in the region. Its security and the region’s security is our security, too, but as the right hon. Gentleman also articulated, Saudi Arabia is unused to conducting such sustained warfare and it needs to learn. We are standing with Saudi Arabia to make sure it is learning lessons and to make sure that we work towards peace in Yemen, for all the reasons that we have discussed in the Chamber today.
ParlaMint-GB_2017-01-10-commons.u55	5. What recent discussions he has had with his counterpart in Israel on illegal settlements in the west bank.
ParlaMint-GB_2017-01-10-commons.u56	I spoke to the Israeli Prime Minister, Mr Netanyahu—he is also the Israeli Foreign Minister—on 23 December and raised the subject of illegal settlements. I probably spoke for a large majority of Members when I said that I am a strong and passionate supporter of the state of Israel, but I also believe that the continued expansion of illegal settlements in the west bank is by no means conducive to peace.
ParlaMint-GB_2017-01-10-commons.u57	I thank the Secretary of State for his response. Will he further advise us on what assessment his Government have made of the Israeli Government’s intent to comply with UN Security Council resolution 2334 on illegal Israeli settlements?
ParlaMint-GB_2017-01-10-commons.u58	That is clearly a matter for the Israeli Government, but I repeat our position that we believe—this is a long-standing view of the UK Government—that settlements in the west bank are illegal, and that the 20% expansion we have seen in those settlements since 2009 is a threat to the peace process. That was why we resolved as we did. Of course, there has been a certain amount of argument about that and a certain amount of push back from the Israeli Government, but the hon. Lady will find that there is a wide measure of international support for that view, which in no way diminishes this Government’s strong support for a Jewish homeland in Israel.
ParlaMint-GB_2017-01-10-commons.u59	Is there anything in the substantial analysis presented by Secretary Kerry on 28 December, following the adoption of Security Council resolution 2334, with which the Foreign Secretary does not agree?
ParlaMint-GB_2017-01-10-commons.u60	Let me repeat my point: John Kerry was completely right to draw attention to the illegal settlements and to the substance of resolution 2334. I remind the House that the UK was closely involved in its drafting, although of course it was an Egyptian-generated resolution. We supported it only because it contained new language pointing out the infamy of terrorism that Israel suffers every day, not least on Sunday, when there was an attack in Jerusalem. I was glad that the resolution identified that aspect of the crisis in the middle east, and John Kerry was absolutely right to point out the rounded nature of the resolution. May I pay tribute to John Kerry, who is shortly to step down as Secretary of State, for his tireless work for peace not just in Israel-Palestine, but across the wider middle east?
ParlaMint-GB_2017-01-10-commons.u61	I welcome the Government’s vote in favour of UN Security Council resolution 2334, not least because it stated that “the cessation of all Israeli settlement activities is essential for salvaging the two-State solution” Following the Foreign Secretary’s discussions in the past couple of days with members of the incoming Administration in the United States, does he think that that view is shared by President-elect Trump?
ParlaMint-GB_2017-01-10-commons.u62	I think it is a widespread view in Washington, and across the UN Security Council, that settlements are illegal, which was why the resolution went through as it did, without any opposition. To answer the right hon. Gentleman’s question directly, I think it is too early to say exactly what the Administration will decide on this matter, but he can rest assured that the British Government will continue to make the points that we have, not because we are hostile to Israel—on the contrary—but because we wish to support the state of Israel.
ParlaMint-GB_2017-01-10-commons.u63	Let me try to get this right: the British ambassador is summoned formally in Israel because of the way the UK voted at the UN Security Council; meanwhile, in the UK, an employee of the Israeli embassy is caught on film conspiring with a British civil servant to take down a senior Minister in the Foreign Secretary’s Department, the Chairman of the Foreign Affairs Committee and other Members of this House; and the Israeli ambassador makes a couple of phone calls and all is forgiven and forgotten. Can the Foreign Secretary enlighten us on the thinking behind all this?
ParlaMint-GB_2017-01-10-commons.u64	I certainly can enlighten the House, in the sense that, as my right hon. Friend points out, the Israeli ambassador made a very full apology for what had taken place and the diplomat in question no longer seems to be a functionary of the embassy in London. Whatever that person might exactly have been doing here, his cover can be said to have been well and truly blown, and I think we should consider the matter closed.
ParlaMint-GB_2017-01-10-commons.u65	Order. I am sorry, because these are very important matters, but I must say that progress is lamentably slow, so long questions will be cut off from now on, because there are people lower down the Order Paper who must be reached.
ParlaMint-GB_2017-01-10-commons.u66	But if a UK embassy official had been caught on film in Tel Aviv talking about “taking down” an Israeli Government Minister, they would have been booted out of the country without any further ceremony, so why did that not happen to Mr Masot? If the Foreign Secretary showed even a teensy-weensy bit of resolve in such matters, perhaps Israeli diplomats would not talk about him in such disparaging terms.
ParlaMint-GB_2017-01-10-commons.u67	The right hon. Gentleman seems, alas, to have been failing to pay attention to the salient point, which is that the Israeli diplomat in question is no longer doing his job in London—whatever his job is, he is no longer doing it in this city. The Israeli ambassador has made a full apology for the matter and I am happy to consider it closed.
ParlaMint-GB_2017-01-10-commons.u68	Will the Secretary of State agree to meet me and colleagues to discuss our grave concerns about resolution 2334, which my constituents believe will make peace in the middle east harder to achieve by imposing a complex set of preconditions that the Palestinians will use to avoid serious engagement in negotiation?
ParlaMint-GB_2017-01-10-commons.u69	I am very grateful for that question, and I am happy to offer exactly such a consultation with colleagues. I know that the Under-Secretary of State for Foreign and Commonwealth Affairs, my hon. Friend the Member for Bournemouth East (Mr Ellwood), has already undertaken to do just that.
ParlaMint-GB_2017-01-10-commons.u70	I am sure that the whole House will join me in condemning the horrific attack on Israeli soldiers in Jerusalem on Sunday. We will never achieve a lasting peace in the middle east until the state of Israel, its soldiers and civilians are free from the threat of terror. Nor will we achieve that lasting peace until all sides accept a two-state solution and a viable Palestinian state can be built, free from illegal settlements. In his allegedly frank discussions with the incoming Trump Administration on Sunday, was the Foreign Secretary frank about those points, too? If so, what response did he receive?
ParlaMint-GB_2017-01-10-commons.u71	The answer to the first question is yes, and the answer to the second is wait and see.
ParlaMint-GB_2017-01-10-commons.u72	I call Virendra Sharma. Not here. Where is the feller? I am becoming accustomed to having to say this every day; it is very unsatisfactory.
ParlaMint-GB_2017-01-10-commons.u73	7. What recent assessment he has made of the strength of diplomatic relations between Germany and the UK.
ParlaMint-GB_2017-01-10-commons.u74	First, let me repeat the condolences that we have offered, and that I am sure that many Members will want to join me in offering, to the people of Germany for the terrible attack that they sustained on 19 December. We continue to work with our German counterparts to strengthen security. We have superb relations with Germany, and it is vital, both as we go through the Brexit process and beyond, that we deepen and intensify that friendship.
ParlaMint-GB_2017-01-10-commons.u75	I associate myself with my right hon. Friend’s expression of condolence to the people of Berlin. Given that Germany is a net exporter to the United Kingdom and would not want its economy to be affected through the imposition of tariffs, what extra work is being done to build diplomatic relations for the benefit of future reciprocal free trade between our two countries?
ParlaMint-GB_2017-01-10-commons.u76	I am grateful for that question because, as my hon. Friend will know very well, a big operation is now going on. UK Trade & Investment and British diplomacy are pointing out the salient facts that German investment in this country is responsible for around 344,000 jobs here in the UK, and UK investment in Germany is responsible for 222,000 jobs. It would be the height of insanity to imperil either of those sets of investments.
ParlaMint-GB_2017-01-10-commons.u77	The Foreign Secretary speaks of our relationship with Germany as being very good and special. Is it not a fact that many leading Germans are concerned about Britain leaving the European Union and the impact that that will have on Europe’s security, particularly in terms of our commitment to NATO, given the instability we see in Russia?
ParlaMint-GB_2017-01-10-commons.u78	The hon. Gentleman asks an acute question. Of all the countries in the EU and the rest of Europe that care about our departure, I would say that it is certainly the Germans who have been most psychologically and emotionally affected by the 23 June referendum result. That is why the question by my hon. Friend the Member for Hazel Grove (William Wragg) is so apposite and why engagement is vital On NATO and our joint defence, the hon. Gentleman should not forget that we contribute 25% of the EU’s defence expenditure, and that will continue, because while we may be leaving the EU, we are not leaving Europe, and our commitment to Europe’s defence is undiminished.
ParlaMint-GB_2017-01-10-commons.u79	8. What recent assessment he has made of the strength of diplomatic and economic relations between countries of the Gulf Co-operation Council and the UK.
ParlaMint-GB_2017-01-10-commons.u80	Thanks to our historical connections and our shared economic and other interests, which include foreign policy, defence, security, trade and culture, we have exceptionally strong relationships with the Gulf Co-operation Council nations. That was reflected in the warm reception that the Prime Minister received when she attended the GCC summit in November and established a new UK-GCC strategic partnership.
ParlaMint-GB_2017-01-10-commons.u81	So does the Minister agree that Britain has a unique competitive advantage in securing a free trade agreement with the GCC due to those desired sectors and our long-standing friendship, as well as the GCC’s desire for economic diversification?
ParlaMint-GB_2017-01-10-commons.u82	My hon. Friend is absolutely right. One reason why the Chancellor was visiting the region only a couple of weeks ago was to enforce those exact points. I am sure that once the Brexit discussions have moved forward, one of the first areas with which we will consolidate a trade agreement will be the GCC nations.
ParlaMint-GB_2017-01-10-commons.u83	In December, the Foreign Secretary accused Saudi Arabia of “playing proxy wars” and destabilising the region. Soon afterwards, a spokesman for the Prime Minister said that that was not the Government’s view. Whose view was the Foreign Secretary expressing?
ParlaMint-GB_2017-01-10-commons.u84	Let me expand that out further to our relationship with the GCC nations. As I said earlier, those countries are advancing, but they are still very new. Saudi Arabia became an independent country in modern terms only in 1932. It is because of our close relationship with those countries in a wide variety of sectors and the trust that we have in them that we are encouraging them to advance in their governance systems.
ParlaMint-GB_2017-01-10-commons.u85	The diplomatic stature of the GCC has risen significantly in recent years, not least because of the wise guidance of the GCC Secretary-General, Abdullatif al-Zayani, who is a friend of the Minister and of mine. In view of the impasse in the middle east peace process and the GCC’s relationship with the Arab states and Israel, does he believe that the time is now right for the GCC and the Arab states to take some initiative to move the middle east peace process forward?
ParlaMint-GB_2017-01-10-commons.u86	I know that that is close to my right hon. Friend’s heart, and that he worked very hard on it when he was Minister for the middle east. He is absolutely right that, as the GCC grows in its prowess, strength and authority, it has an important role to play in what is arguably one of the longest-running concerns, which started with the occupation of the occupied territories more than 50 years ago. In the year that we mark the Balfour declaration, I hope that we will also make progress in this area.
ParlaMint-GB_2017-01-10-commons.u87	Is not one of the biggest challenges facing the GCC countries the conflict in Yemen, where they have in excess of 100,000 troops? They are up against a rebel group that has been involved in extra-judicial killings, that is trying to overthrow the country, and that is involved in torture. The Library briefing notes put the number of child soldiers in the rebel group at 30%. Is that not a disgrace? Is it not the biggest challenge facing the GCC countries, and should we not be supporting them?
ParlaMint-GB_2017-01-10-commons.u88	I agree that it is one of the biggest challenges for the GCC. We forget that this is its neighbourhood—its backyard. Those countries want regional security in the same way that we do—we want it near where we live, work and want to raise families. Exactly the same applies to the GCC nations, and it is something that I will explore more in the debate on Thursday.
ParlaMint-GB_2017-01-10-commons.u89	9. What recent discussions he has had with his EU counterparts on diplomatic relations after the UK exits the EU.
ParlaMint-GB_2017-01-10-commons.u90	We have regular consultations about the future shape of our diplomatic relations with the rest of the EU. The hon. Lady should understand that we may be leaving the EU treaties, but we are not leaving Europe. There will be plenty of ways in which we will continue to collaborate on all the issues that are vital to us, whether in the EU or out.
ParlaMint-GB_2017-01-10-commons.u91	I welcome that answer. Free movement is a key issue in discussions with our EU counterparts. Have the Government therefore considered that in order to get the best possible access to the European single market, we should propose a managed migration system that still gives preference to EU workers, welcoming those with high skills, but limiting the numbers of low and semi-skilled workers coming here to work?
ParlaMint-GB_2017-01-10-commons.u92	I hope that the hon. Lady will forgive me if I say that that would come under the category of our giving a running commentary on our negotiating position. We cannot do that—[Interruption.] The hon. Member for Islington South and Finsbury (Emily Thornberry) says that Brexit means Brexit, and she is perfectly right.
ParlaMint-GB_2017-01-10-commons.u93	I call a Kentish knight, Sir Julian Brazier.
ParlaMint-GB_2017-01-10-commons.u94	Thank you very much, Mr Speaker. Given the trade ties that my right hon. Friend has already mentioned and the fact that we are Europe’s largest defence contributor, does he agree that we should not have to make deals on immigration and free movement to secure a good trade agreement with our allies and friends in Europe?
ParlaMint-GB_2017-01-10-commons.u95	May I begin by congratulating my hon. Friend on his well-deserved knighthood in the new year’s honours list? He speaks very good sense. I think that I can agree with him completely without in any way being convicted of giving a running commentary on our negotiations, so I thank him very much.
ParlaMint-GB_2017-01-10-commons.u96	Never mind a running commentary, has the Foreign Secretary given any commentary at all to his own officials, such as Sir Ivan Rogers, who left the service saying that he had not been given any sense of the Government’s negotiating objectives? Will the Secretary of State perhaps speak to Sir Tim Barrow and give him a clue about what the Government intend to do?
ParlaMint-GB_2017-01-10-commons.u97	If the hon. Gentleman consults the speeches of the Prime Minister more closely, he will discover a wealth of information about our negotiating position, but since he has not bothered to do that, I do not propose to enlighten him now, except to say that Sir Ivan Rogers did an excellent job and always gave me very good advice. I think his reasons for stepping down early were persuasive. Sir Tim Barrow, as anybody who has worked with him will know—I think that people on both sides of the House will have done so—is an outstanding public servant with long-standing experience of UK representation in Brussels, and he will do a superb job in the forthcoming talks.
ParlaMint-GB_2017-01-10-commons.u98	I am sure my right hon. Friend will agree that not only are diplomatic relations important, but relationships between Members of this House and European partners have been important. Membership of the Council of Europe, of the NATO Parliamentary Assembly and of all-party groups has never been more important, so can he give an assurance that his Department will assist in every way in making sure that bilateral relationships that exist between Members of this House and Europe will be encouraged?
ParlaMint-GB_2017-01-10-commons.u99	Absolutely—I am very happy to give that assurance to my hon. Friend. As he will know, there are parliamentary bodies of one party or another that have links with sister parties across the continent, and we will do absolutely everything we can to promote that in the years ahead.
