ParlaMint-GB_2017-01-11-commons.u1	1. What recent assessment she has made of the effectiveness of her Department’s work in Tajikistan.
ParlaMint-GB_2017-01-11-commons.u12	Will the Minister ensure that human rights non-governmental organisations operating on the west bank continue to receive support from the British Government?
ParlaMint-GB_2017-01-11-commons.u13	We are absolutely focused on supporting NGOs, but above all we are focused on investment in health and education. It is getting the natural capital right, and providing opportunities and hope for the Palestinians, that will lead to security and stability for both sides in the conflict.
ParlaMint-GB_2017-01-11-commons.u14	Many of the demolitions occur because it is virtually impossible for Palestinians to obtain building permits. What legal support can the Department give to those who are contesting the process?
ParlaMint-GB_2017-01-11-commons.u15	As I have said, DFID is focusing on health and education, but the Foreign Office has legal support programmes. This issue goes to the heart of the Israeli planning system and involves controversies with the Israeli Attorney General. As my hon. Friend says, it is very difficult to obtain planning permission, which is one of the reasons why settlements are built and demolitions then take place.
ParlaMint-GB_2017-01-11-commons.u16	8. Among the buildings that the Israeli authorities have demolished are community facilities, some of which have been funded and developed with money from the Minister’s Department. I would welcome his statement, but I think that we need action rather than words. Has the time not come to send Mr Netanyahu the bill for the demolition of structures funded by the British taxpayer?
ParlaMint-GB_2017-01-11-commons.u17	The British taxpayer has not funded any structures that have been demolished by the Israeli Government. The European Union has funded structures that have been demolished by the Israeli Government, but so far it has not decided to seek compensation.
ParlaMint-GB_2017-01-11-commons.u18	Will the Minister confirm that DFID, notwithstanding the efforts of a senior Israeli diplomat to “take down” a Minister, will continue to fight against collective punishment, demolitions in the OPTs and the expansion of the illegal settlements?
ParlaMint-GB_2017-01-11-commons.u19	We are conflating two different issues here. As the Foreign Secretary said yesterday, the Israeli ambassador has already apologised for that incident, and the diplomat concerned has been removed from his post and sent home. I think I have dealt with the overall questions of settlements and demolitions in my answers to the other questions.
ParlaMint-GB_2017-01-11-commons.u20	I thank the Minister for his responses, but I would like him to be a bit clearer and tell us how DFID has supported those people who are now homeless due to the systematic policy of settlement expansion.
ParlaMint-GB_2017-01-11-commons.u21	The central story is that DFID is doing three types of things for Palestinian people. First, we are supporting Palestinian state structures, in particular health and education—doctors, teachers and nurses. Secondly, we are working on making sure that we can create a viable economy and employment, particularly through support to small businesses. Thirdly, we invest in human capital; in other words, we invest in making sure that the Palestinian people are educated, healthy and have opportunities for security and stability in the region in the short term. But in the long term there cannot be a two-state solution unless we address the needs of the Palestinian people.
ParlaMint-GB_2017-01-11-commons.u22	3. What steps the Government are taking to support people in Aleppo.
ParlaMint-GB_2017-01-11-commons.u23	What has happened in Aleppo is a tragedy and underlines the regime’s callous tactics of siege, starvation and indiscriminate bombardment. Through the UK’s humanitarian leadership and diplomatic efforts, we are doing all we can do to support the protection of civilians and, importantly, ensure that they receive the aid they so desperately need.
ParlaMint-GB_2017-01-11-commons.u24	I thank the Secretary of State for that answer. The UK committed £510 million in support at the London Syria conference in February last year. Is she on course to hit that target?
ParlaMint-GB_2017-01-11-commons.u25	I thank my hon. Friend for his question on this important issue, which gives me the chance to restate to the House the British Government’s commitment to, and long-standing support for, Syria. We have surpassed that pledge of £510 million made at the Syria conference last year. It is fair to say not only that the UK can be proud of its support, but that we have ensured that there is the right support in terms of humanitarian supplies and the focus for the region, while at the same time using our international convening power to work with others globally to ensure that we do everything we possibly can to support Syria and the region.
ParlaMint-GB_2017-01-11-commons.u26	At the world humanitarian summit in Istanbul last year, the United Kingdom committed to the centrality of protection as a fundamental principle. How has that guided DFID’s approach to the situation in Aleppo, and what lessons will we learn from the tragedy of Aleppo for future civilian protection?
ParlaMint-GB_2017-01-11-commons.u27	The hon. Gentleman makes an important point in relation to the conference last year and how the humanitarian community can come together and not just learn lessons, but understand ways of working in times of severe crisis and of conflict. There are a number of lessons we can learn, including on agencies working together, the pooling of resources, and making sure that Governments across the world are working together strategically in terms of both resource allocation and, importantly, our convening power—the leverage we all have collectively in the international space to challenge Governments where they are inflicting harm and causing grief and devastation, and to make sure that we stand shoulder to shoulder and are united in how we tackle the challenge.
ParlaMint-GB_2017-01-11-commons.u28	10. People give to Singing for Syrians because they know that 100% of the money they donate will be spent on prosthetic limbs and medical salaries in the region, as close to Aleppo as we can get it. What more can the Secretary of State do to ensure that DFID money is spent in the region and not wasted on advocacy and lobbying in the UK?
ParlaMint-GB_2017-01-11-commons.u29	First, I commend my hon. Friend on her work on, and leadership in, Singing for Syrians; it is an incredible organisation and has been very successful in raising important funds. On making sure that the money is not wasted and goes directly into the region and in-country, we not only support, fund and collaborate with trusted partners, but, importantly, measure the outcomes that we are delivering in these essential humanitarian policies.
ParlaMint-GB_2017-01-11-commons.u30	The Secretary of State is already talking about Aleppo in the past tense, but the besiegement is still happening right now, and the British Government must do more. What representations has she made to the Foreign Secretary about putting in place more and harder sanctions on Russia?
ParlaMint-GB_2017-01-11-commons.u31	The hon. Lady is absolutely right. The situation not only in Aleppo but in Syria full stop is beyond comprehension. She asks about representations. The Foreign Secretary and I work hand in hand on international issues, and the Government are calling for greater collaboration on access to humanitarian routes into besieged areas. This is not a case of one Department versus another; it is the voice of the British Government working together to make public representations and representations behind the scenes.
ParlaMint-GB_2017-01-11-commons.u32	Before the war, Aleppo had Syria’s largest population of Christians. Now it is estimated that 90% of them have fled. In Parliament today, Open Doors will launch its World Watch List, which shows that religious persecution is one of the key drivers of migration. What can my right hon. Friend’s Department do to help the poor, persecuted Christians of Aleppo?
ParlaMint-GB_2017-01-11-commons.u33	My right hon. Friend is absolutely right to highlight the plight of persecuted Christians, especially in the context of Aleppo and Syria. She asks what we can do. This is not just a matter for DFID; the whole Government must speak out on the issue and constantly make it clear that the persecution of minorities and religious groups is totally unacceptable. That is the right thing to do. We also need to make that case within the international community and work collaboratively with donor countries and other countries across the world.
ParlaMint-GB_2017-01-11-commons.u34	Following the announcement during the Christmas recess that DFID would be piloting the use of drones to deliver medical supplies in Tanzania and to map weather damage in Nepal, what discussions has the Secretary of State had with Ministers in the Ministry of Defence about how drone technology could be used to deliver aid or assess humanitarian need in Aleppo and other parts of Syria?
ParlaMint-GB_2017-01-11-commons.u35	The hon. Gentleman is right to highlight the fact that we have been innovating and looking at new technology in relation to aid provision via drones. A lot of work is taking place in that space, and we have had a number of debates in the House about other ways of delivering humanitarian assistance, particularly in besieged areas. In the specific context of besieged areas in Syria, work is taking place and there have been discussions. I can assure the House that we are actively pursuing this issue, not just in DFID but across the Government.
ParlaMint-GB_2017-01-11-commons.u36	The Secretary of State’s heart is very much in the right place, as we all know, but the fact is that the greatest humanitarian catastrophe of modern times is taking place in Aleppo, Raqqa and Mosul today. In contrast to the warm words that we have heard in the exchanges of the past few minutes, should we not now admit that there is precious little that we in the liberal west can do to alleviate the appalling circumstances in Aleppo unless we have the support of the United Nations and Russia?
ParlaMint-GB_2017-01-11-commons.u37	My hon. Friend makes an important point. In terms of the work that the Government are doing, we must never lose sight of the fact that we are leading in humanitarian assistance and support. People are in desperate need, and we have the right focus on giving them all the necessary support. The other point is diplomacy. It is the job of the Government to carry on putting on the pressure, and we must use all the avenues of international diplomacy to put that pressure on, where it is needed.
ParlaMint-GB_2017-01-11-commons.u38	I should like to focus on Idlib in north-western Syria, where civilians who have fled Aleppo are the main target of Government strikes. Will the Secretary of State tell the House how DFID is supporting those wounded and displaced civilians?
ParlaMint-GB_2017-01-11-commons.u39	I thank the hon. Lady for her focus on the humanitarian issue in Syria, which is of course associated with Idlib as well. She asks about the work that is taking place. There are extensive humanitarian efforts in terms of relief, food and shelter in what is a desperate situation. As she and the whole House will know, I have spent a great deal of time working with all the agencies that we are directly supporting and funding to ensure that supplies are getting through, and they are. I would add the caveat that this is taking place in a challenging environment and climate. We are getting supplies through, but it is increasingly difficult to do so.
ParlaMint-GB_2017-01-11-commons.u40	5. What steps her Department is taking to improve energy access in Africa.
ParlaMint-GB_2017-01-11-commons.u41	Access to energy is a prerequisite driver of economic growth and development. Over 620 million people in sub-Saharan Africa have no access to energy. When able to secure it, the world’s poorest people can pay up to 80 times what we pay. That is why the UK and this Department are playing a key role in providing both on and off-grid energy access, such as through the Energy Africa campaign, which will help to secure energy supplies for over 4.5 million of the world’s poorest people.
ParlaMint-GB_2017-01-11-commons.u42	I know from my visits to east Africa that providing access to reliable, sustainable, clean energy is crucial for economic growth and prosperity in Africa. Does the Minister agree that the CDC and its investment in Africa present one of the best opportunities to provide that?
ParlaMint-GB_2017-01-11-commons.u43	I absolutely agree that the CDC can play a key role. I am pleased that the House showed support for its work only yesterday in a debate led by the Minister of State, my hon. Friend the Member for Penrith and The Border (Rory Stewart), with support from the Secretary of State. A good example is Globeleq, in which the CDC has a majority stake, which will drive forward energy provision of 5,000 MW in Africa—1,000 MW can support 800,000 jobs. That is the scale of the difference we can make when and where we get this right, and that is why we are doing it.
ParlaMint-GB_2017-01-11-commons.u44	9. The German Government have called on the World Bank to focus all its work on climate and sustainability targets and to put an end to investments in obsolete, climate-damaging technologies. Given that the World Bank is the largest recipient of UK aid for energy, will the Government follow Germany’s example and use their influence to call on the World Bank to stop investing in fossil fuels?
ParlaMint-GB_2017-01-11-commons.u45	I have set out some of the reasons why energy supply is so important in driving development. Of course, it is also important that that supply is sustainable and environmentally friendly. In all the projects that DFID pursues, we seek to ensure that that is the case, including in our discussions with the World Bank. Given our contributions and their impact, we recognise that it is particularly important that the World Bank appreciates and works towards that agenda.
ParlaMint-GB_2017-01-11-commons.u46	6. What measures her Department plans to put in place to ensure that marginalised groups in middle-income countries are supported in the event of aid from her Department being withdrawn from those countries.
ParlaMint-GB_2017-01-11-commons.u47	Programme sustainability is crucial, and all DFID programmes are designed with long-term sustainability and impact in mind. No decisions have been made to exit countries in the context of my hon. Friend’s question. When and where that happens, we want to ensure that a positive legacy is left and that the “leave no one behind” agenda is adhered to, so that some of the poorest and most vulnerable people in the world receive the protection and support that they ought to be able to expect.
ParlaMint-GB_2017-01-11-commons.u48	The American Government operate the Global Equality Fund to ensure that marginalised groups are not left behind. Will my hon. Friend consider whether the UK should initiate a similar fund?
ParlaMint-GB_2017-01-11-commons.u49	My hon. Friend is absolutely right. Marginalised groups, particularly in countries that are not the poorest, are sometimes the most vulnerable. We rightly focus our efforts and attention on the world’s poorest countries with the largest number of people in greatest need of support, but other groups elsewhere also need support. We must always be aware of that and ensure that our programmes have a sustainable impact. I will be delighted to have further discussions with my hon. Friend about his idea.
ParlaMint-GB_2017-01-11-commons.u50	12. The Independent Commission on Aid Impact concluded in a recent report that there is“no central policy or strategy guiding the objectives of exit and transition”.Will the Minister publish a sustainable transition framework to ensure that no middle-income country is put at risk? If so, when will it be published?
ParlaMint-GB_2017-01-11-commons.u51	The Department will always consider what we need to do to ensure sustainable and long-lasting transition, and programmes must be designed in that way. That is a common thread that runs through every programme that DFID supports and every decision that Ministers make. We will continue to work in this area and are happy to consider further proposals for what might improve the quality of the work that is done.
ParlaMint-GB_2017-01-11-commons.u52	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2017-01-11-commons.u53	Whether by giving to Syrian refugees, providing access to food or clean water, or creating jobs across Africa, UK aid helps us to meet our obligations to the world’s poorest. Such investment is also firmly in Britain’s national interest because it tackles the root causes of global problems while focusing on delivering world-class programmes that deliver value for money for UK taxpayers.
ParlaMint-GB_2017-01-11-commons.u54	The Secretary of State has previously said that she is looking at allocating DFID funding to peaceful co-existence projects, including Save a Child’s Heart, whose valuable work brings Palestinians and Israelis together. Can she update the House on that very worthy project?
ParlaMint-GB_2017-01-11-commons.u55	I am pleased to confirm that we are indeed working on a range of co-existence programmes in Israel and the Occupied Palestinian Territories to support tangible improvements, as my hon. Friend the Minister of State has said. The programme is now in its final design phase and will be launched at the beginning of the financial year. [Interruption.]
ParlaMint-GB_2017-01-11-commons.u56	Order. I understand the air of anticipation in the Chamber just before Prime Minister’s questions, but I remind the House that we are discussing matters that affect the poorest people on the face of the planet. They should be treated with respect.
ParlaMint-GB_2017-01-11-commons.u57	The protection of civilians in Aleppo must remain our absolute priority, but if we are to provide food, water, shelter and humanitarian relief to civilians who, for four years, have faced the horrors of an inhumane war, we need to ensure that the ceasefire, although currently holding, remains more than a brief pause. Can the Secretary of State therefore say what efforts the Government are making to ensure that conflict does not reignite in Aleppo? What contingency plan does DFID have in place to continue providing aid to civilians should the conflict reignite? We must not see humanity in meltdown again.
ParlaMint-GB_2017-01-11-commons.u58	The hon. Gentleman is right that the UK will do everything it possibly can to support the current ceasefire and, importantly, to safeguard humanitarian support in the region, too. That is down to our diplomatic tools and diplomatic efforts, but, importantly, we are also making sure that all agencies work together to deliver the vital humanitarian support that is required.
ParlaMint-GB_2017-01-11-commons.u59	T3. No self-respecting Conservative believes that we should be judged simply on how much we spend on something. Spending a guaranteed amount of money each year on overseas aid leads to waste and excess such as the £1 billion spent each year on consultants. When can we get back to some common sense and stop spending more and more on overseas aid every year when the money could be much better spent at home?
ParlaMint-GB_2017-01-11-commons.u60	Like all Conservatives, I, too, want to focus on making sure that every penny of taxpayers’ money goes to helping the world’s poorest, which is exactly the mission of our Department. At the same time, my hon. Friend will know that overseas development assistance saves lives and transforms lives. He specifically refers to money spent on consultants, which is something that my Department is currently reviewing. [Interruption.]
ParlaMint-GB_2017-01-11-commons.u61	Order. The Secretary of State’s replies must be heard with courtesy. It is rather alarming when some of her own Back Benchers are not according her the proper respect. She must be accorded the proper respect.
ParlaMint-GB_2017-01-11-commons.u62	T2. We receive much lobbying on the Israeli and Palestinian need for delivery on the ground, but what is the Minister of State’s assessment of the effect of terrorism and how difficult it makes it to deliver on the ground to those in real need, whether it is education or humanitarian aid?
ParlaMint-GB_2017-01-11-commons.u63	The hon. Gentleman makes a fundamental point. We have talked a great deal about demolitions and settlements, but the only long-term stability in that region requires protecting the security of Israel as an absolutely essential plank, along with guaranteeing an autonomous, independent Palestinian state.
ParlaMint-GB_2017-01-11-commons.u64	T6. The most sustainable aid is aid through trade. Will the Secretary of State therefore ensure that, when we leave the European Union and the customs union, we give top priority and free access to our markets to exports from the poorest countries?
ParlaMint-GB_2017-01-11-commons.u65	My hon. Friend will know that our priority is, of course, economic development and making sure that, through our aid, we are delivering long-term sustainable economic development and prosperity in everything we do. He is also right to note that DFID is working across the Government as we leave the European Union to look at unilateral trade preferences and the work we can do to grow our trade footprint across the world.
ParlaMint-GB_2017-01-11-commons.u66	T4. Unlike the hon. Member for Shipley (Philip Davies), we in the Scottish National party welcome the fact that OECD data show that, last year, the UK was one of only six countries to meet the 0.7% aid target. That, of course, includes the Scottish Government’s international aid fund. What assurances can the Secretary of State give that her Government’s commitment to that target is unwavering and will continue to be fulfilled beyond the next general election?
ParlaMint-GB_2017-01-11-commons.u67	We have been unequivocal in our commitment to 0.7% and, in addition, it is a manifesto commitment. Let me restate again, for the benefit of the House, that the focus of my Department is on poverty reduction and on ensuring that that money is spent to drive taxpayer value and deliver programmes for the poorest in the world.
ParlaMint-GB_2017-01-11-commons.u68	I call Pauline Latham. The hon. Lady wanted to ask a question earlier. Is she no longer inclined to do so?
ParlaMint-GB_2017-01-11-commons.u69	I am here. Thank you very much, Mr Speaker. The Select Committee visited the Democratic Republic of the Congo last year and saw the amazing work done by the CDC, which is creating not only more energy for millions of people, but a lot of jobs. May we encourage the CDC to do even more schemes like that?
ParlaMint-GB_2017-01-11-commons.u70	I thank my hon. Friend very much for paying tribute to the incredibly important role of the CDC. By bringing the rigour of the private sector with the genuine values of the public sector, we have demonstrated in the DRC the ability to provide hydro power that benefits thousands of people. I also wish to pay testament to the Chair of the International Development Committee for his tribute to that project in particular.
ParlaMint-GB_2017-01-11-commons.u71	T5. Will the Secretary of State reconsider her Department’s decision to cut every single penny of spending on co-existence projects, which bring the Israelis and Palestinians together and lay the foundations for a peace process and two-state solution?
ParlaMint-GB_2017-01-11-commons.u72	I thank the hon. Gentleman for his question. He will have heard in the previous responses our commitment to co-existence programmes and how they will not just drive the right values, but help to bring the two communities together in a very constructive way—this is in addition to our focus on targeted spending on public schemes such as health and education programmes within the region.
ParlaMint-GB_2017-01-11-commons.u73	Q1. If she will list her official engagements for Wednesday 11 January.
ParlaMint-GB_2017-01-11-commons.u74	This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2017-01-11-commons.u75	A very happy new year to you, Mr Speaker, and I would like to extend that to everyone in this House It has been more than six months since the European referendum. Embarrassingly for the Prime Minister, the Scottish Government are the only Administration on these islands to have published a plan on what to do next. Has she read it yet? When will she be publishing her own plan?
ParlaMint-GB_2017-01-11-commons.u76	I join the hon. Gentleman in wishing everybody in the House, not only Members, but all the staff of the House, a very happy new year As I said to the Liaison Committee when I appeared in front of it before Christmas, I will, in a matter of weeks, be setting out some more details of our proposals on this issue. I would like just to remind the hon. Gentleman, when he talks about the Scottish Government’s plan, that of course it is his party, the Scottish nationalist party, that wants to leave the United Kingdom and therefore leave the European Union.
ParlaMint-GB_2017-01-11-commons.u77	Q3. Westinghouse’s Springfields site in my constituency employs more than 1,200 people in highly skilled jobs manufacturing nuclear fuel, which generates 15% of the UK’s electricity. Does my right hon. Friend agree that the nuclear industry is of crucial importance to the north-west economy? Will she continue to support the construction of a new generation of nuclear power stations to guarantee jobs in the region?
ParlaMint-GB_2017-01-11-commons.u78	I certainly agree with my hon. Friend that new nuclear does have a crucial role to play in securing our future energy needs, especially as we are looking to move to a low-carbon society. The industrial strategy that the Government will be setting out will have a strong emphasis on the role of regions in supporting economic growth and ensuring that the economy works for everyone. Like him, I very much welcome the proposals from NuGen and Toshiba to develop a new nuclear power station at Moorside in Cumbria. The Department for Business, Energy and Industrial Strategy continues to work closely with NuGen and other developers as they bring their proposals forward.
ParlaMint-GB_2017-01-11-commons.u79	I call Jeremy Corbyn Hon. Members: “Hear, hear!”
ParlaMint-GB_2017-01-11-commons.u80	Thank you, Mr Speaker. It is nice to get such a warm welcome, and may I wish all Members, as well as all members of staff in the House, a happy new year I hope the whole House will join me—I am sure it will—in paying tribute to 22-year-old Lance Corporal Scott Hetherington, who died in a non-combat incident in Iraq last Monday. I am sure the whole House will also join in sending its heartfelt condolences to the family and friends of seven-year-old Katie Rough, who tragically died in York earlier this week. I think it is right that we send condolences to her family Last week, 485 people in England spent more than 12 hours on trolleys in hospital corridors. The Red Cross described this as a “humanitarian crisis”. I called on the Prime Minister to come to Parliament on Monday, but she did not—she sent the Health Secretary. But does she agree with him that the best way to solve the crisis of the four-hour wait is to fiddle the figures, so that people are not seen to be waiting so long on trolleys in NHS hospitals?
ParlaMint-GB_2017-01-11-commons.u81	First, may I join the right hon. Gentleman in sending our condolences to the family of Lance Corporal Hetherington, who, as he said, died in a non-combat incident in Iraq? From everything I have seen and read about Lance Corporal Hetherington, he was a very fine young man. He delighted in being in the armed forces, and we are proud that such a fine young man was in our armed forces. I also join the right hon. Gentleman in expressing condolences to the family and friends of little Katie, who died so tragically The right hon. Gentleman talks about the pressures on the NHS, and we acknowledge that there are pressures on the national health service. There are always extra pressures on the NHS during the winter, but, of course, we have at the moment those added pressures of the ageing population and the growing complex needs of the population. He also refers to the British Red Cross’s term, “humanitarian crisis.” I have to say to him that I think we have all seen humanitarian crises around the world, and to use that description of a national health service that last year saw 2.5 million more people treated in accident and emergency than six years ago was irresponsible and overblown.
ParlaMint-GB_2017-01-11-commons.u82	Some 1.8 million people had to wait longer than four hours in A&E departments last year. The Prime Minister might not like what the Red Cross said, but on the same day the British Medical Association said that “conditions in hospitals across the country are reaching a dangerous level.” The Royal College of Nursing has said that NHS conditions are the worst ever. The Royal College of Physicians has told the Prime Minister that the NHS is “under-funded, under-doctored and overstretched.” If she will not listen to the Red Cross, who will she listen to?
ParlaMint-GB_2017-01-11-commons.u83	I have said to the right hon. Gentleman that I of course acknowledge that there are pressures on the national health service. The Government have put extra funding into the national health service. The fact is that we are seeing more people being treated in our NHS: 2,500 more people are treated within four hours every day in the national health service because of the Government putting in extra funding and because of the hard work of medical professionals in our national health service. It is not just a question of targets for the health service, although we continue to have a commitment to the four-hour target, as the Health Secretary has made clear. It is a question of making sure that people are provided with the appropriate care for them, and the best possible care for them in their circumstances.
ParlaMint-GB_2017-01-11-commons.u84	The right hon. Lady seems to be in some degree of denial about this. She will not listen to professional organisations that have spent their whole lifetimes doing their best for the NHS, but will she listen to Sian, who works for the NHS? She has a 22-month- old nephew. He went into hospital, but there was no bed. He was treated on two plastic chairs pushed together with a blanket. Sian says that “one of the nurses told my sister that it’s always like this nowadays” She says to us all: “Surely we should strive to do better than this.” Do the Prime Minister and the Health Secretary think that is an acceptable way to treat a 22-month-old child in need of help?
ParlaMint-GB_2017-01-11-commons.u85	I accept that there have been a small number of incidents in which unacceptable practices have taken place. We do not want those things to happen, but what matters is how you deal with them, which is why it is so important that the NHS looks into the issues when unacceptable incidents have taken place and learns lessons from them. I come back to the point that I was making earlier: the right hon. Gentleman talks about the hard-working healthcare professionals, like Sian, in the national health service, and indeed we should be grateful for all those who are working in the NHS, but on the Tuesday after Christmas we saw the busiest day ever in the national health service, and over the few weeks around Christmas we saw the day on which more people were treated in accident and emergency within four hours than ever before. That is the reality of our national health service.
ParlaMint-GB_2017-01-11-commons.u86	We all thank NHS staff and we all praise NHS staff, but the Prime Minister’s Government are proposing, through sustainability and transformation, to cut one third of the beds in all our hospitals in the very near future. On Monday, she spoke about mental health and doing more to help people, particularly young people, with those conditions, which I welcome, except that last night the BBC revealed that, over five years, there had been an 89% increase in young people with mental health issues having to go to A&E departments. Does she not agree that the £1.25 billion committed to child and adolescent mental health in 2015 should have been ring-fenced rather than used as a resource to be raided to plug other holes in other budgets in the NHS?
ParlaMint-GB_2017-01-11-commons.u87	If we look at what is happening with mental health treatment in the national health service, we see 1,400 more people every day accessing mental health services. When I spoke about this issue on Monday, I said that there is of course more for us to do—this is not a problem that will be resolved overnight. I have set out ways in which we will see an improvement in the services in relation to mental health, but it is about the appropriate care for the individual. As I mentioned earlier, that is not just about accident and emergency. When I was in Aldershot on Monday, I spoke to service users with mental health problems who said that they did not want to go to A&E. The provision of alternative services has meant that the A&E locally has seen its numbers stabilising rather than going up. It is about the appropriate care for the individual. We want to see that good practice spread across the whole country.
ParlaMint-GB_2017-01-11-commons.u88	Nobody wants people with mental health conditions to go to A&E departments—the A&E departments do not want them to go there. Under this Government, there are 6,000 fewer nurses and 400 fewer doctors working in mental health. It is obvious that these people will go somewhere to try to get help when they are in a desperate situation. Our NHS is under huge pressure. Much of that is caused by cuts to social care, which the Royal College of Physicians says “are pushing more people into our hospitals and trapping them there for longer.” Will the Prime Minister do what my hon. Friend the Member for Leicester South (Jonathan Ashworth) has called for and bring forward now the extra £700 million allocated in 2019 and put it into social care, so that we do not have this problem of people staying too long in hospital when they should be cared for by a social care system?
ParlaMint-GB_2017-01-11-commons.u89	The right hon. Gentleman asked me those questions in the last PMQs before Christmas. [Interruption.] He may find it difficult to believe that somebody will say the same thing that they said a few weeks ago, but we have put extra money into social care. In the medium term, we are ensuring that best practice is spread across the country. He talks about delayed discharges. Some local authorities, which work with their health service locally, have virtually no delayed discharges. Some 50%—half of the delayed discharges—are in only 24 local authority areas. What does that tell us? It tells us that it is about not just funding, but best practice. If he comes back to me and talks to me about funding again, he should think on this: we can only fund social care and the NHS if we have a strong economy, and we will only have that with the Conservatives.
ParlaMint-GB_2017-01-11-commons.u90	I am sorry to have to bring the Prime Minister back to the subject of social care, which I raised before Christmas. The reason I did so, and will continue to do so, is that she has not addressed the problem. The Government have cut £4.6 billion from the social care budget. The King’s Fund says that there is a social care funding gap of almost £2 billion this year Earlier this week, the Prime Minister said that she wanted to create a “shared society”. Well, we certainly have that: more people sharing hospital corridors on trolleys; more people sharing waiting areas in A&E departments; and more people sharing in the anxiety created by this Government. Our NHS is in crisis, but the Prime Minister is in denial. May I suggest to her that, on the economic question, she should cancel the corporate tax cuts, and spend the money where it is needed—on people in desperate need in social care and in our hospitals?
ParlaMint-GB_2017-01-11-commons.u91	The right hon. Gentleman talks about a crisis. I suggest he listen to the right hon. Member for Don Valley (Caroline Flint), a former Labour Health Minister, who said that, with Labour, “It’s always about ‘crisis...the NHS is on its knees’… We’ve got to be a bit more grown up about this.” And he talks to me about restoring the cuts in corporation tax. The Labour party has already spent that money eight times. The last thing the NHS needs is a cheque from Labour that bounces. The only way that we can ensure that we have funding for the national health service is with a strong economy. Yesterday, the right hon. Gentleman proved that he is not only incompetent, but that he would destroy our economy, and that would devastate our national health service.
ParlaMint-GB_2017-01-11-commons.u92	Q4. Cyber-bullying, sexting and revenge pornography are part of British teenage life today; so is a rapid increase in mental health problems among our teenagers. How is the Prime Minister helping to tackle the pressures that teenagers face in Britain today?
ParlaMint-GB_2017-01-11-commons.u93	My right hon. Friend raises an important point. One of the things I spoke about, when I spoke about mental health on Monday, was trying to ensure that we can provide some better training for staff and teachers in schools to identify the early stages of mental health problems for young people, so that those problems can be addressed. Something like half of all mental health problems start before the age of 14, so this is a real issue that we need to address. We are going to look at how we can provide that training. We will also review the mental health services provided for young people to ensure that we can identify what is working and make sure that good practice is spread across the country.
