ParlaMint-GB_2017-03-10-lords.u1	That the order of commitment be discharged.
ParlaMint-GB_2017-03-10-lords.u12	My Lords, I congratulate the noble Baroness, Lady Gale, on bringing forward the Bill and introducing it so admirably and comprehensively. Yesterday afternoon when I inquired in the Whips’ Office how many were down to speak in this debate, I was somewhat surprised and really rather shocked to find that there were in fact only five—now there are six—and that they included not a single male Temporal Peer. So I put my name down, because heaven knows this is a worthy and indeed compelling cause that is deserving of support no less from men than from women We all know the appalling prevalence still today of violence towards women, both domestic and in wider society. I sat as a judge at various levels for 28 years and therefore came across perhaps more than my fair share of this violence, particularly in my earlier years as a High Court judge sitting at the Old Bailey and then around the country on circuit—murder, rapes and all those dreadful sorts of offences I have few boasts to my name by way of legal achievement, few jewels in my judicial crown, but I can and do boast of being the first judge in this jurisdiction, in I think 1990, to rule that a husband is not permitted in law to have intercourse with his wife quite simply whensoever he chooses—in short, that there is such an offence as marital rape. That decision was said at the time to fly in the face of centuries of established legal principle but in fact, happily, it was upheld by both the Court of Appeal and indeed the Appeal Committee in your Lordships’ House Reading the excellent Dr Whiteford’s speech towards the end of the debate in the other place on Third Reading, I was struck by this passage, which, if your Lordships will allow me, I will quote: “On reflection, it strikes me powerfully that Parliament has frequently been left playing catch-up on progress for women: from those who campaign for women’s suffrage for more than a century before it was achieved to those trade unionists fought for equal pay for women years before the Equal Pay Act 1970 came into force and the women who, in the 1970s, set up refuges for women fleeing domestic abuse at a time when there was absolutely no support from the state or the authorities for women experiencing violence or coercive control from an intimate partner—a time when rape within marriage was not even a crime. Every step of the way, it is citizens who have driven progressive change. Sisters have had to do it for themselves”. —[Official Report, Commons, 24/2/17; col. 1334.] I thought it was time for a brother to enter the fray Of course I recognise, as Mr Nuttall and Mr Davies were at pains to emphasise in the debate in the other place, that there is all too much violence in society and in certain domestic contexts against men and boys too. The Istanbul convention and the Bill on their face appear to do nothing for them. But there can be no doubt, as the noble Baroness made plain in opening the debate, that it is women who suffer disproportionately. They suffer most from the hands of the opposite sex. There is absolutely no basis to suggest that advancing their cause, as the Bill proposes, will set back the cause of male victims. Quite the reverse: anything that raises the stakes, that raises the public’s awareness of and revulsion at violence generally in society, will redound to the advantage of all victims Of course I recognise that the Bill—and the Istanbul convention—does little of itself to alter the substantive law under which we seek to deter and control violence against women. To say it does nothing is something of an exaggeration: the convention requires that we broaden our extraterritorial jurisdiction so as to promote international co-operation in combating violence against women. That, indeed, is why the Bill was amended in the Commons: to recognise the need for some small further delay beyond even the years since we initially signed the convention. The delay is to identify precisely and then to satisfy that requirement for extraterritorial jurisdiction As Mr Nuttall himself said in the other place: “The purpose is to try to tie down the Government to doing something and to stop this matter from drifting on”. —[Official Report, Commons, 24/2/17; col. 1337.] As has already been noted, the other place voted to pass the Bill by 138 votes to 1. Your Lordships will readily agree that it would be nothing short of disgraceful and deeply damaging to the reputation of this House if we do not now ensure that it secures safe and speedy passage at all stages through our House. I therefore wish it God’s speed to secure its early passage if not in this Session, certainly in the next.
ParlaMint-GB_2017-03-10-lords.u13	We on these Benches also give our wholehearted support to the Bill. I have been following this issue for some while—indeed, I have participated in previous debate and tabled some Questions. I congratulate Dr Eilidh Whiteford in the other place and the noble Baroness, Lady Gale, on the hard work that they and others have done in getting the Bill so far, and the many agencies involved in getting it to us today, including IC Change. In the face of a number of cutbacks and closures of women’s services and refuges, we need a step change. Surely we should be giving a lead in this vital area. Violence against women—indeed, any violence—is a tragic evil: tragic because its effects can be so devastating, long lasting and widespread; and evil, not simply because it is violence, but because it is a violence which seeks to deny a fundamental human dignity, which I believe comes from being created in the image of God, given to all human beings. Whatever form that violence comes in—whether that be rape, forced marriage, psychological or political abuse—gender-based violence against women invariably attempts to reduce them to passive objects. It seeks to deny them the status of personhood As a safe place of counsel within every local community, the Church often finds itself on the front line, listening to the stories of women who have faced violence and do not know where else to turn. It is one of the greatest and hardest privileges of priesthood to listen to a woman telling her story of abuse. Indeed, sometimes it is a man, although it has rightly been pointed out that this is overwhelmingly an issue for women. We must not underplay that. Of course we want to make sure that men are given protection, but this must not distract us from this important Bill. We hear someone telling their story of abuse, sometimes tentatively for the very first time, sometimes only just beginning to realise that actually, for all sorts of social and familial reasons, they have colluded with it and are only now beginning to realise that it is simply wrong, and we then need to help them find the right sort of support, which is profoundly difficult, particularly in rural communities. I pay tribute to the many organisations working with churches and helping us up and down the country to respond to violence against women, those churches offering premises or funding for refuges and, in particular, the Christian charity Restored, whose work in training dioceses and clergy is invaluable The noble Baroness, Lady Gale, has already rehearsed some of the statistics, and I shall not repeat them, although I note how horrific they are when one pauses to look at what is still going on. I am also aware that there are other areas here which have not been picked up. In the past, I have tabled Questions about, for example, how many young women under the age of marriage in this country are being taken abroad, married and coming back to this country. It turned out that we have no idea how many such young women are coming back having been married under laws overseas—sometimes possibly polygamously; we simply do not know. A number of areas here are causing great concern In recent years, the Government have made substantial progress on legislating against gender-based violence, and I pay particular tribute to our Prime Minister, who I think all sides of the House will agree has worked tirelessly in both her current capacity and as Home Secretary to address many key legislative areas—legislation to combat forced marriage, female genital mutilation, modern slavery, coercive and controlling behaviour and stalking. The UK has one of the strongest legislative frameworks in the world. The Prime Minister’s work as Home Secretary to improve police reporting of and response to domestic abuse is also to be commended—indeed, celebrated. However, in that context, it is regrettable that the Bill is required, given Her Majesty’s Government’s repeatedly stated commitment to ratifying the convention. In answer to a series of Written Questions back in 2014, after the convention had come into force, the Government informed me: “Justice Ministers are currently considering the extent to which we need to amend the criminal law of England and Wales for compliance with Article 44 prior to ratification of the Convention”.—[Official Report, 27/11/14; col WA 3233.] Yet, three years later, it seems as though Justice Ministers are still “considering”. That delay in ratification is, ultimately, a failure in political will. If we were being charitable to Her Majesty’s Government, we could say that there have been one or two political distractions over the past year. However, I hope that the new reporting requirements contained in the Bill will encourage Her Majesty’s Government to throw their weight unreservedly behind the legislative changes required for ratification—particularly the issue of extraterritorial jurisdiction Not only will ratification of the Istanbul convention bolster the domestic framework for combating violence against women, acting as a tool by which civil society can hold the Government to account on the provision of resources to combat gender-based violence, but our ratification of the convention also has an international dimension. As the Joint Committee on Human Rights put it, “the delay in ratifying the Istanbul Convention could harm the UK’s international reputation as a world leader in combating violence against women and girls” Ratification of the convention would be the clearest signal of our commitment to ending the injustice of gender-based violence. It would commit us to sharing best practice internationally, and it would strengthen the Istanbul convention itself as a marker by which other countries might be held to account I sincerely hope that Her Majesty’s Government give this Bill a swift passage through your Lordships’ House, and that they follow the passage of the Bill with an equally swift timetable for ratification of the Istanbul convention.
ParlaMint-GB_2017-03-10-lords.u14	My Lords, I welcome today’s Second Reading and congratulate Dr Whiteford and her colleagues in the other place, and the noble Baroness, Lady Gale, for their persistence in getting us to this point. This pernicious abuse of women’s rights and human rights continues to plague our society. It is almost regarded as normalised behaviour in many households. Needless to say, it transcends all communities; shockingly, many women seem not to know still that it is against the law An internationally recognised provision would lend significant armoury to the many women human rights defenders, as well as instructing in no uncertain terms still largely male-led institutions that eradication of violence against women is as important a priority as providing education, health and housing. They would not be able to hide behind austerity measures and make women’s refuges and other services their first collateral. We should take pride in the UK in having secured some of the best policies and practices on domestic violence, including the introduction of new domestic abuse offences, protection orders and criminalising forced marriage—with which I do not agree, but it appears to be doing its job. Then there are the more vigorous laws on female genital mutilation. But we need to go further in providing absolute protection to those facing violence and seek to eliminate violence against women We have tolerated consecutive generations of violence plaguing women’s lives, with two women facing death each week. There are 1.2 million women victims, and more than 87,000 rapes are reported on top of 400,000 sexual assaults. God alone knows how many women are still not able to report these incidents. In addition, 11,900 children were raped last year. Twenty-nine per cent of all those statistics are from the BME communities. So despite all the progress of women’s emancipation, our daughters and granddaughters are still facing an insurmountable level of barbaric violence in our society, and we have to do everything we can to ensure that it does not continue The UK’s role in shaping the Istanbul convention was significant, so I do not understand how five years have since passed and we have not chosen to ratify it. I am glad to have arrived at this point, whereby government is prepared to work towards compliance. Ratification would indicate a powerful step towards empowerment of women and is certain to afford greater protection of women and girls suffering violence, as well as pushing for a more comprehensive response to addressing violence and giving victims and survivors rightful access to all the necessary specialist services. Ratifying the convention adds another layer of protection, enables local and international agencies to respond more comprehensively and offers parliamentarians a further instrument of accountability. Ratification would assist in harmonisation of laws and assist government and state agencies to respond within a comprehensive framework and set of policies which not only provide enhanced protection but also seek to empower women. Why would we not do it without any hesitation On the extraterritorial requirement, I was involved in the dowry inquiry led by Mr Virendra Sharma in the other place last year. A huge number of British citizens complained either that their marriages were not legally recognised in this country and that when they faced violence they had no recourse to law, or that the laws under which they were married in one country were not recognised in this country. That level of harmonisation would, I hope, be an integral part of this We have laws and are continuously improving on their implementation. The Istanbul convention can be another layer of safety. We are a signatory, and now need to show that we are serious about eradication of violence by ratifying it. I believe that, by ratification, we would demonstrate our total commitment to all men and women that violence in all its forms is not tolerable in our society today. Ratification embodies a cohesive and integrated approach, not only protecting women with laws but mandating institutions to provide the necessary services, so that women and girls can live free of fear of violence Finally, I am confident our ambition is safe in the hands of our current Prime Minister, and the Minister here, who has done much to advance the previous progresses made on this issue. But can the Minister say what the implication of the Brexit negotiation will be on the reporting requirement or signing up to the ratification?
ParlaMint-GB_2017-03-10-lords.u15	My Lords, I, too, thank Dr Whiteford, and I am sure that the noble Baroness did not mean to suggest that Scotland and Northern Ireland are not integral parts of the United Kingdom The noble and learned Lord, Lord Brown, has rightly reminded us that this is a people’s issue, not just a women’s issue; his crown is highly polished, and very bejewelled. I declare an interest as I was a member of the board and chair of the domestic violence charity Refuge. That was many years ago, but I still declare the interest because that experience was very vivid. Very recently, within the last few days, I have agreed to become a member of an advisory group for the organisation Voice 4 Victims It struck me that this debate might almost have been wrapped up with yesterday’s debate for International Women’s Day, on the UK’s role in promoting gender equality. Because of the importance of the exercise of the UK’s role, it would be very significant if the UK ratified the convention—or, I should say, it will be significant when it does Reports on violence against women often have a section headed something like, “What is violence against women and girls?”. Sadly, there are many women and girls who could testify. This week, a survey of laws in 73 countries found that there are bad laws underpinning what was described as a global “epidemic of sexual violence”. The aims of the convention—prevention, protection, prosecution and integrating policies—are so sensible as hardly to need any description. However, there have been only 10 ratifications so far I joined the board of Refuge on the day I was asked to come to your Lordships’ House 25 years ago. Attitudes in the UK have changed, but not as much as one might expect in a generation. They have often changed among senior people who have to deal with the issue—the police are one example—but less so in lower ranks. Some of us were privileged to hear DCC Louisa Rolfe from West Midlands Police talk about coercive control at a recent all-party group meeting. Her understanding and description were very impressive indeed. As I said, there have not been the changes one might expect in a generation. The importance of the issue is enormous, yet there is a lack of belief and understanding.
ParlaMint-GB_2017-03-10-lords.u16	I compliment the noble Baroness on raising the issue of people’s attitudes. I declare an interest: as a local councillor in Preston in the early 1970s, I was part of a group trying to establish refuge provision. I was invited to speak to senior members of Chorley Council. The then leader of that council finished the meeting by saying that he was absolutely appalled that men in Preston behaved like that—of course, they did not in Chorley. Another councillor came to speak to me and said that her son-in-law was a barrister and her daughter had complained of being a victim. The daughter’s father would not believe that a barrister could behave like that. Today’s debate demonstrates the wide range of backgrounds and areas that people come from.
ParlaMint-GB_2017-03-10-lords.u17	My Lords, I remind the House that if there are to be interruptions they should be kept very brief.
ParlaMint-GB_2017-03-10-lords.u18	My Lords, I am grateful for that intervention. I was about to say that one often hears, “It does not happen here”. The lack of understanding that what is happening is a crime is, sadly, shared among those who experience that crime I am a member of the Joint Committee on Human Rights, which in 2015 undertook an inquiry to examine progress towards ratification. The noble Baroness referred to that. Its report told your Lordships that, “the Convention would have a strong indirect effect on the UK legal system”, firstly in that it, “could be cited by the UK courts as persuasive authority”, and secondly through the role of the European Court of Human Rights, given that the Government are bound by its judgment and, therefore, “the terms of the Convention could have a strong indirect effect on the UK legal system” The report also commented on some of the evidence that the committee had obtained. Witnesses had told the committee that ratification would, “help the UK’s position internationally in tackling violence against women and girls and would encourage other countries to follow suit” The Bar Human Rights Committee of England and Wales said that ratification would emphasise the state’s positive duty and it would, “provide a further basis in law for those who wish to persuade the state to provide adequate and meaningful resources to construct an effective mechanism to protect women from gender violence and harm” That raises the question of whether there is a resource issue behind this which may not have been acknowledged in the same way as the concerns about the devolved institutions. I hope that the Minister will assure us that there is no resource component precluding ratification. The evidence from the Minister to the Committee referred to ratification being a matter for the devolved Administrations. Let us not seek to avoid any responsibility ourselves in that area. The Government’s response to the JCHR’s report emphasised their commitment to the convention but referred again to the devolved Administrations We have heard about the international context but, as we have also heard, this is not just a third-world issue. Real commitment would put all the mechanisms in place. It would be a considerable achievement of Her Majesty’s Government both to be able to ratify the convention and actually to ratify it. It would be a solid expression of our commitment to preventing and combating violence against women and domestic violence. It would put the country’s legislation where its mouth is. According to the JCHR, the UK is in a good position to ratify. The then Home Secretary showed her personal commitment and only a single legislative change is required Last year, the JCHR visited Strasbourg. I recall a member of the Council of Europe strongly emphasising the importance of the UK’s example. The context was different—we were talking about compliance with the judgment of the court on a different issue—but the message was the same: the example set by a country which is respected and whose respect needs to be maintained. We support the Bill from these Benches.
ParlaMint-GB_2017-03-10-lords.u19	My Lords, it is a pleasure and a privilege to make a brief response from the Opposition Front Bench. I congratulate my noble friend Lady Gale on bringing forward the Bill and on her excellent opening speech, which made a case so compelling that I challenge the Minister to resist it in any way at all. I also congratulate my noble friend on a political lifetime of campaigning for women and girls. She is an inspiration to so many of us on these Benches It has also been a delight to hear speeches from almost all around the House, particularly from the noble and learned Lord, Lord Brown, who has made such an important contribution to the legal position of women with his ground-breaking ruling. I commend him for turning out on a Friday, at the end of a long week, to speak up not just for his Benches but for men who support this. It has been a pleasure to hear speeches from the Liberal Democrat and Bishops’ Benches. I look forward to the Conservative Benches being just as encouraging when the Minister speaks Not only do I support the Bill but, I am pleased to say, it has the full support of the Official Opposition. The Labour Party has confirmed that in government we would ratify the Istanbul convention. The elimination of violence against women and girls should be a priority in any society. We are completely committed to ensuring that women and girls can live safe and secure lives wherever they live and whatever they choose to do. As my honourable friend Sarah Champion said in another place: “Ending violence against women and girls requires a radical, seismic, societal shift in power and attitudes”.—[Official Report, Commons, 16/1/16; col. 1113.] This Bill may be a small contribution but it is a very important one and shows the role our Parliament can play in tackling that challenge We heard a catalogue of appalling violence from the right reverend Prelate the Bishop of St Albans, the noble Baroness, Lady Uddin, and the noble and learned Lord, Lord Brown of Eaton-under-Heywood. I do not need to rehearse that but, as my noble friend Lady Gale said, we need to understand that this kind of violence perpetrated against women and girls is gendered violence. It is not an accident that such a disproportionate amount of it is directed against women and girls. The context in which that happens is global inequality—an inequality of power and access to the levers of power. We need to understand that there is a connection with that even in our own society. We have a female Prime Minister but there are only seven other women in the Cabinet and only 29% of MPs are women. We saw recently the celebrations following the by-election just before Christmas. The result of that by-election meant that, throughout our history, as many women had been elected to the other place as there were men sitting there on that day. In this House, only 26% of us are women Therefore, we are making real progress. However, the reality is that the context of this issue here and elsewhere around the world means that we have to take particular steps to address the challenges faced by women and girls. That is the context for this Bill. It is that which makes the Council of Europe Convention on Preventing and Combating Violence Against Women and Domestic Violence—the Istanbul convention—so important. As my noble friend Lady Gale said, it is a unique, ground-breaking piece of legislation which offers an international framework for tackling violence against women and girls We heard in the other place that the Government are committed to ratification of the Istanbul convention, which is very welcome. Therefore, I hope that they will give the Bill a fair wind and provide a timetable for ratification. I hope they will also tell the House what legislative changes will be needed to ratify it. I look forward to hearing about the ETJ raised by my noble friend Lady Gale. As the Bill will cut across devolved and reserved powers, can the Minister tell the House what discussions the Government have had with the devolved Administrations about implementing this This short Bill provides us with the steps that we need to take a key move forward in the battle to eliminate violence against women and girls. I hope very much that the House and the Government give it wholehearted support.
ParlaMint-GB_2017-03-10-lords.u20	My Lords, first, I wish to take a moment to thank the noble Baroness, Lady Gale, for taking this Bill through the House and for the very constructive conversation that we had this week about it. I single out for special praise the noble and learned Lord, Lord Brown, and the right reverend Prelate the Bishop of St Albans. It is always nice to hear men contribute to a debate that is mainly about women. I say at this juncture that the Government have given their full backing to the Bill and we wholly support its aim of ensuring that we deliver on our commitment to ratify the Istanbul convention We all recognise that violence is still far too prevalent in our society today, and that women still face a much higher risk of gender-based violence than men. Physical, sexual and domestic abuse affect women disproportionately: that is the stark reality, I am afraid. We also know that many of these crimes remain unreported—we talked about that at Question Time yesterday or the day before—leaving victims to suffer in silence and perpetrators escaping justice Our commitment to ratifying the Istanbul convention shows not only how seriously this Government are taking their responsibility to ensure that all victims are supported and that perpetrators are brought to justice but also our ongoing commitment to strengthening international co-operation in this field, which is vital This Government have put prevention at the heart of our approach. We have significantly strengthened the law since we first published our first call to end violence against women and girls—VAWG—strategy in 2010, as the right reverend Prelate the Bishop of St Albans pointed out. We have criminalised forced marriage and breach of a forced marriage protection order in England and Wales. The right reverend Prelate made an interesting point about forced marriage and girls being taken out of the UK for this reason. The joint Home Office and Foreign and Commonwealth Office Forced Marriage Unit provides support and advice to victims, those at risk and professionals. The FMU’s most recent statistics were published yesterday and show that in 2016 advice or support was provided in 1,428 cases; 371 of those, or 26%, involved under-18s. The unit handled cases relating to 60—
ParlaMint-GB_2017-03-10-lords.u21	I am sorry to break in but I think I made a slightly different point. However, I am very grateful to have those statistics and will ask for them each year. I think the point is that we have no proactive way of working out why, for example, people are going through immigration and seeing whether there is any way that we can find out more information about that. It is simply an unknown problem. That was what I was trying to push the Government on. Can the Minister comment briefly on that?
