ParlaMint-GB_2017-02-21-commons.u1	1. When he next plans to meet the US Secretary of State.
ParlaMint-GB_2017-02-21-commons.u17	But has policy triangulation not meant that the British Foreign Secretary is trying to anticipate what American policy will be and then to mimic it? Interpreting what American policy will be or who will be implementing it must be very difficult just now, so will he at least wait to see what the policy is before, for example, changing policies such as the two-state solution in the middle east?
ParlaMint-GB_2017-02-21-commons.u18	I am sure the right hon. Gentleman knows very well that the policy on the two-state solution in the middle east remains unchanged not only for Her Majesty’s Government, but, so too, to the best of my knowledge, for the United States’ Government, to judge by the recent press conference. For the guidance of the House, let me just say that it is my general impression that the policy of the United States is migrating ever more towards a position of congruence with our policy rather than the reverse.
ParlaMint-GB_2017-02-21-commons.u19	Was it the Foreign Secretary’s idea to offer a state visit to President Trump after seven days in office? Given that the Foreign Secretary once famously declared that he would not go to New York in case he was mistaken for Mr Trump, is there any chance that President Trump will not come to London on a state visit in case he is mistaken for the Foreign Secretary?
ParlaMint-GB_2017-02-21-commons.u20	I am embarrassed to say that I was mistaken for Mr Trump in—I think—Newcastle, which rather took me aback. It also happened in New York, which was a very humbling experience for me. I cannot say who was the exact progenitor of the excellent idea to accord an invitation to the President to come on a state visit, but the invitation has been issued. It is a wholly appropriate thing for the British Government to do, and it will be a great success.
ParlaMint-GB_2017-02-21-commons.u21	Does my right hon. Friend agree that when there is fresh fighting in Ukraine and when Russia continues to carry out large-scale exercises close to the borders of the Baltic state, some of them with nuclear capable equipment, there has never been a time in recent years when our relationship with America and keeping NATO together have been so important for Europe as a whole?
ParlaMint-GB_2017-02-21-commons.u22	My hon. Friend is completely right, which is why it was so important that our Prime Minister, on her very successful recent visit to the White House, secured from Donald Trump the 100% commitment to our NATO alliance, which has been the guarantor of peace in our times.
ParlaMint-GB_2017-02-21-commons.u23	We know that Trump’s Muslim ban adopts Daesh’s narrative, which is that it is the west against Islam. In fact, the Home Secretary said that it would bolster terrorists at home and abroad. What discussions has the Foreign Secretary had with the Home Secretary and the Secretary of State for Defence about the increased threat to UK national security as a result of Trump’s immoral and racist policies?
ParlaMint-GB_2017-02-21-commons.u24	We remain constantly vigilant against the terror threat as a result of all international policies, but, as I have said before, the seven countries in question were previously singled out by the Obama Administration for particularly tough visa restrictions. The hon. Lady will be aware that this Government have already signalled their disapproval of the ban to which Opposition Members are rightly objecting.
ParlaMint-GB_2017-02-21-commons.u25	Did Mr Tillerson quantify the length of the queue of countries seeking to do a free trade deal with the United States, and outline where Britain’s place was in that queue?
ParlaMint-GB_2017-02-21-commons.u26	Rex Tillerson was absolutely clear that he regards the relationship with the United Kingdom as one of pivotal importance for his country. Indeed, NATO is of pivotal importance for the safety not just of European countries, but of the United States. He was also clear, of course, that the UK will be at the front of the queue for a new trade deal.
ParlaMint-GB_2017-02-21-commons.u27	President Trump boasts of running a finely tuned machine, but the truth is that American policy is under review when it comes to all the world’s major crises—from Ukraine to Syria, and Afghanistan to North Korea. I hear from the Secretary of State that there is new thinking, but we have yet to see anything coherent coming out of America. The finely tuned machine has not so much stalled as not yet got going. The resulting vacuum is being filled by the Russians, with peace talks on Syria and Afghanistan taking place without US or UK involvement. Is the Secretary of State happy to keep waiting for President Trump’s cue or is he capable of thinking for himself? Will we see a British initiative in any of these countries; and, if so, where is he going to start and what is the plan?
ParlaMint-GB_2017-02-21-commons.u28	The finely tuned machine that is the Labour party is a fine one to offer any kind of political advice to the American Administration. As the right hon. Lady knows very well, the UK has, in fact, been in the lead in trying to find a solution in Yemen, and in trying to maintain the commitment to AMISOM, the African Union Mission in Somalia. She should recognise, in all fairness, that the current area of diplomacy being considered by the United States in respect of Syria is a course that the UK has principally advocated—one in which the Russians and the Iranians are separated in their interests, and we move towards a political solution and a transition away from the barbarism of the Assad regime.
ParlaMint-GB_2017-02-21-commons.u29	I have to say that if that’s a plan, I’m a monkey’s uncle. The fact is that the Government have been frozen out of negotiations on some of the most pressing issues we face. Take Afghanistan, where there have been 450 British fatalities over 15 years. The American army general on the ground, John Nicholson, describes the fighting as having reached a stalemate that may take several thousand more troops to break. In the meantime, Russian-led peace negotiations are going on in the absence of America, the United Kingdom and, in fact, every other NATO member, so I ask the Secretary of State again: when will we start seeing some leadership from this Government?
ParlaMint-GB_2017-02-21-commons.u30	If the right hon. Lady is referring to Russian-led peace talks in Afghanistan, I think she is in error. Perhaps she is talking about the Astana talks on Syria. It is strongly our view and the view of all Syria-supporting countries that those negotiations should resume as soon as possible in Geneva The right hon. Lady talks about the UK’s contribution to Afghanistan, and I think that she and the whole House can be very proud of the sacrifice made by those 456 British troops who lost their lives over the past 15 years. Hundreds of thousands of women in Afghanistan are now being educated as a result of the sacrifice made by British troops and the investment in that country by the British people. There are people who are now getting food, water and sanitation, which they would not otherwise have received.
ParlaMint-GB_2017-02-21-commons.u31	2. What steps he is taking to support the negotiations for a settlement to re-unite Cyprus.
ParlaMint-GB_2017-02-21-commons.u32	The Foreign Secretary and I took part in the Geneva conference on the Cyprus settlement on 12 January. We welcome the Cypriot leaders’ commitment to resuming political level talks next month. We are keen to maintain momentum and stand ready to bring negotiations to a successful conclusion.
ParlaMint-GB_2017-02-21-commons.u33	Will my right hon. Friend agree that third-country guarantees should have no place in a new settlement for Cyprus, because Cypriots should be able to determine their own future without the threat of external military intervention?
ParlaMint-GB_2017-02-21-commons.u34	It is up to the two sides to decide what future security arrangements they want for a united Cyprus that will enable both communities to feel secure. As a guarantor power, the UK is playing a supportive role and is open to any arrangement that is acceptable to the two communities.
ParlaMint-GB_2017-02-21-commons.u35	I thank the Minister for that reply. He will know that Northern Ireland has had a partnership Government who have moved forward, bringing communities together. What has been done to offer advice from Northern Ireland to bring forward a political process that works, especially in relation to gas and oil exploitation, which could benefit all of Cyprus?
ParlaMint-GB_2017-02-21-commons.u36	I think the example of Northern Ireland is an example to the whole world, and it has been of benefit in the likes of Nepal and Colombia. The issue of Cyprus is slightly different, but I hope that the lessons from Northern Ireland can be taken into account and that they can help inform the progress we would like to see in Cyprus.
ParlaMint-GB_2017-02-21-commons.u37	Does the Minister agree with the view of the all-party parliamentary group, which visited Cyprus last week, that the best hope for a solution is the dedication and courage of both Cypriot leaders, freely negotiating, and a realisation in the communities that the status quo of a divided Cyprus is untenable? Does he agree that we need to ensure that Turkey gets that when it comes to security and guarantees?
ParlaMint-GB_2017-02-21-commons.u38	My hon. Friend is absolutely right, and I think we all applaud the good faith and dedication of the two leaders, who are working tirelessly towards a solution. There are other ingredients that are necessary, such as the co-operation of the two main countries next door, Greece and Turkey, and—this is very important—successful referendums in each community.
ParlaMint-GB_2017-02-21-commons.u39	The last time negotiations in Cyprus seemed close to a deal, the effort collapsed when hackers broke into the UN’s computer systems and the documents were leaked to a pro-Russian Cypriot newspaper. The inflamed communal tensions that followed had a major role in scuppering the chance of a deal. What assurance can the Minister give that lessons have been learned from that experience and that proper safeguards are now in place to protect the negotiations from any undue influence from outside?
ParlaMint-GB_2017-02-21-commons.u40	We have a very close association with the UN special representative, Mr Espen Eide. I am confident that he will have thought of this possible intrusion into the successful negotiations, and I hope that those safeguards are properly in place.
ParlaMint-GB_2017-02-21-commons.u41	3. What steps his Department is taking to promote the Global Britain campaign.
ParlaMint-GB_2017-02-21-commons.u42	13. What steps his Department is taking to promote the Global Britain campaign.
ParlaMint-GB_2017-02-21-commons.u43	Global Britain is a programme to help to explain to the world, but also to the people of this country, what I think they do not often suspect, which is the full range of Britain’s military, cultural, commercial and diplomatic influence in the world. It is important to do that now, particularly as we make our Brexit—or Bre-entry into the world, as we should perhaps call it—to help people to understand that a more global Britain will be a more prosperous Britain.
ParlaMint-GB_2017-02-21-commons.u44	Will my right hon. Friend tell us how the various initiatives on building a global Britain as we leave the EU will help the people of the Yeovil constituency and the south-west of England?
ParlaMint-GB_2017-02-21-commons.u45	I am delighted to tell my hon. Friend that over the next 10 years we will, for instance, be spending £178 billion on defence—we are one of the few countries in NATO to contribute 2% of our GDP to defence. As a result, there will be more funds available, for instance, to support companies in Yeovil, such as the helicopter company Leonardo MW, which, as far as I know, builds Wildcat submarine-hunting helicopters, among other vital bits of kit.
ParlaMint-GB_2017-02-21-commons.u46	Does the Secretary of State agree that, in addition to defence spending, soft power—including the effective use of aid and increasing levels of trade and investment, which are helping businesses to find the most suitable partners—remains an essential part of the UK’s approach to boosting security in some of the more dangerous parts of the world?
ParlaMint-GB_2017-02-21-commons.u47	I quite agree. Perhaps I can just give Members one stunning fact, which should seldom be off their lips when selling UK universities, for instance, to the world: of the Kings, Queens, Presidents and Prime Ministers in the world today, one in seven was educated in this country, and London has more international students than any other city in the world.
ParlaMint-GB_2017-02-21-commons.u48	I think the Foreign Secretary’s brother probably told him that.
ParlaMint-GB_2017-02-21-commons.u49	Could we have a note of honesty in terms of an assessment of the nasty little hard Brexit campaign? Will the Foreign Secretary, instead of insulting the former Prime Minister, Tony Blair, as he did last week, take seriously the danger to this country of a hard Brexit? The people of this country did not sign a blank cheque, and they want a real vote on how good the deal is with Europe as we leave it.
ParlaMint-GB_2017-02-21-commons.u50	I do not think that anybody could seriously say that the former Prime Minister has been insulted by any remarks I made last week. What I was trying to get over was my strong feeling that the debate was had last year and everybody understands that we are going forward with a new approach for this country— a global approach. It will be a clean Brexit and, I think, a highly successful Brexit, as the Prime Minister has said.
ParlaMint-GB_2017-02-21-commons.u51	Given that a famine has just been declared in South Sudan, will the Foreign Secretary confirm that a truly global Britain will respond to such crises rather than siphoning off the aid budget on diplomatic empowerment funds?
ParlaMint-GB_2017-02-21-commons.u52	I am sure the hon. Gentleman is aware that the UK is one of the only countries in the world to contribute 0.7% of GNI to overseas development. We have a fantastic record not just in Sudan but across Africa. He is right to draw attention to the approaching famine in South Sudan. We have sent 400 troops to help deal with that emergency.
ParlaMint-GB_2017-02-21-commons.u53	4. What recent representations he has made to the Government of Iran on the imprisonment of dual British-Iranian citizens in that country.
ParlaMint-GB_2017-02-21-commons.u54	We remain deeply concerned about the UK consular cases in Iran and continue to raise them with the Iranian Government at every opportunity, including when I visited Tehran last month and when the Foreign Secretary met his counterpart, Javad Zarif, in the margins of the Munich security conference.
ParlaMint-GB_2017-02-21-commons.u55	I thank my hon. Friend for his answer. He is familiar with the case of Mr Foroughi, a 77-year-old father and grandfather to constituents of mine who has been detained in Iran’s notorious Evin prison for almost six years. Does my hon. Friend agree that at a time when Iran and the west’s relationships are under increasing scrutiny, the exercise of clemency in this case, and others like it, would demonstrate Iran’s commitment to constructive engagement with the international community?
ParlaMint-GB_2017-02-21-commons.u56	I wholeheartedly agree with my hon. Friend. I am grateful for the work that he has done in liaison with the family. I was able to meet Kamran Foroughi, the son, on 25 January. I spoke to Ambassador Baeidinejad about the case this morning and when I visited Tehran last month. I am pleased to see that Mr Foroughi is now going to receive the health test that he has been requesting, but my hon. Friend is absolutely right that there is a case for clemency there that I hope will be answered.
ParlaMint-GB_2017-02-21-commons.u57	Is anyone in the British Government able to make direct contact with the Iranian revolutionary guard, because they are the people who are arresting and falsely imprisoning our nationals? Surely if we are speaking only to the puppets in Tehran, no one from Britain is going to be safe to visit that country.
ParlaMint-GB_2017-02-21-commons.u58	I think we should be careful in the language we use. The Iranians, like those in many countries, do not recognise dual nationality, and therefore we have to conduct these matters with diplomacy. Our avenue with the Iranians, which was not there a couple of years ago, is through the Iranian Foreign Ministry and our interlocutors there. We have had communications from our Prime Minister, the Foreign Secretary, as I said, and now me, with our embassy opening as well.
ParlaMint-GB_2017-02-21-commons.u59	5. What discussions he has had with his EU counterparts on joint areas of working on science and technology.
ParlaMint-GB_2017-02-21-commons.u60	The Prime Minister made clear on 17 January the high priority this Government place on their science relationship with Europe. The Minister for Universities, Science, Research and Innovation, my hon. Friend the Member for Orpington (Joseph Johnson), is in regular contact on this issue with his European counterparts, including the European commissioner.
ParlaMint-GB_2017-02-21-commons.u61	Will my right hon. Friend confirm that there are no barriers to the UK joining future collaborative ventures, and that the UK intends to pursue those collaborative ventures with high-tech beacons around the world, including Hong Kong and Israel?
ParlaMint-GB_2017-02-21-commons.u62	The Government aim to secure the best possible outcome for UK science and research as we leave the European Union. The EU and the UK have publicly emphasised the importance of continuing to work together to produce high-quality research, so both at home and abroad we will remain at the forefront of science and research.
ParlaMint-GB_2017-02-21-commons.u63	In paragraph 10.14 of their White Paper, the Government tell us that they “would welcome agreement…with our European partners” on science and technology issues, but they give no indication of how that agreement will be achieved—no timetable, no detail and absolutely no guarantees. Will the Minister tell us what discussions have taken place, rather than simply telling us that the Government have had discussions?
ParlaMint-GB_2017-02-21-commons.u64	The Department for Business, Energy and Industrial Strategy leads on science, but this will be an essential part of the negotiations we conduct with the European Union after we have triggered article 50.
ParlaMint-GB_2017-02-21-commons.u65	17. May I ask the Minister to ensure that scientific co-operation in Europe is extended to the preservation of threatened species?
ParlaMint-GB_2017-02-21-commons.u66	I do not see why not, especially as my right hon. Friend the Foreign Secretary is living proof that the woolly mammoth can return from extinction.
ParlaMint-GB_2017-02-21-commons.u67	6. What steps his Department is taking to strengthen UK relations with other Commonwealth countries.
ParlaMint-GB_2017-02-21-commons.u68	The Government are committed to strengthening our Commonwealth engagement, in continuing the theme of global Britain, and we look forward to hosting the Commonwealth Trade Ministers meeting in March and the Commonwealth Heads of Government meeting in 2018.
ParlaMint-GB_2017-02-21-commons.u69	Can the Minister tell me how he believes the inaugural Commonwealth Trade Ministers meeting, to which he referred, can be used as an opportunity to promote the Commonwealth as a trading network?
ParlaMint-GB_2017-02-21-commons.u70	We should not forget that the network of 52 states is very important to Great Britain. It has a combined population of 2.2 billion people, including 1 billion people under the age of 25. In the post-Brexit environment, we are looking for trade deals. When we travel across Africa, and indeed the Commonwealth in general, the first question that is asked is, “What are the opportunities for Britain, now that you are liberated from doing business through Brussels?” The ministerial meeting that is coming up is a great opportunity for us to embark on looking towards the trade deals that we need for the future.
ParlaMint-GB_2017-02-21-commons.u71	Will the Minister join me in welcoming the cross-party majority in the vote on the EU-Canada trade deal? What priority is the Minister giving to completing that deal and ensuring that similar arrangements are made with our Commonwealth Canadian friends and cousins post-Brexit?
ParlaMint-GB_2017-02-21-commons.u72	The right hon. Gentleman makes an important point. We are contained until article 50 has gone through, but Canada is another example—along with the United States, of which the Foreign Secretary made mention—of where we can push forward trade deals to the benefit of the United Kingdom.
ParlaMint-GB_2017-02-21-commons.u73	I congratulate the Minister, who has responsibility for Africa, on visiting nine countries on the continent along with three other Ministers over the recess. May I encourage him not just to look at the existing Commonwealth and at bringing in old players such as Gambia, but to get Zimbabwe back and, off the back of Mozambique and Rwanda, perhaps to look at inviting the Ivory Coast?
ParlaMint-GB_2017-02-21-commons.u74	My hon. Friend, with his experience, is absolutely right. The Foreign Secretary has been to Gambia, Ghana and Liberia, and I was in Angola, the Democratic Republic of the Congo and Rwanda. Again, I stress the opportunities there. As we venture across Africa, there are huge opportunities for Great Britain to advance our trade deals post-Brexit.
ParlaMint-GB_2017-02-21-commons.u75	Does the Minister agree that increased assistance to promote democracy in countries such as Bangladesh is a vital part of strengthening ties between the UK and members of the Commonwealth?
ParlaMint-GB_2017-02-21-commons.u76	The hon. Gentleman is absolutely right. These are countries with which we have a history and a relationship. We are trusted, and through organisations such as the Westminster Foundation for Democracy, the British Council and our embassies, consulates and high commissions we can certainly do that work. We hope to embark on such projects with Bangladesh and other countries across the Commonwealth.
ParlaMint-GB_2017-02-21-commons.u77	With the Commonwealth encompassing 52 members and a third of the world’s population, is it not vital that we set out our stall for Britain by saying that we want a free trade deal with Commonwealth countries, and that the Government put forward a plan for achieving that—not least in tomorrow’s Westminster Hall debate on this subject, which I have secured?
ParlaMint-GB_2017-02-21-commons.u78	I am sure, after that advertisement, that Westminster Hall will be packed tomorrow. My hon. Friend is right: Commonwealth trade will surpass $1 trillion by 2020, and trade across the Commonwealth is estimated to be actually 20% cheaper because of common legal systems and language and, indeed, trust. Those are exactly the areas to which we need to aspire, given our leadership role in the Commonwealth.
ParlaMint-GB_2017-02-21-commons.u79	But 90% of those who live in the Commonwealth live in countries where homosexuality is illegal. Tanzania has, only this week, announced that it intends to publish lists of people in the public domain who are meant to be homosexual. That is a massive danger to those individuals, and it poses further risks to others because Tanzania is trying to close down all the HIV/AIDS units and to blame homosexuality for HIV. Do we not need to enter all our negotiations with our Commonwealth colleagues with our eyes wide open and making it very clear that we will not put up with this kind of thing?
ParlaMint-GB_2017-02-21-commons.u80	The hon. Gentleman makes a very powerful point. I will be visiting Tanzania soon, and I will certainly take that message with me. It is important to understand that, in the trade advances we are making across Africa, we do not miss the opportunity to raise delicate matters such as this, so that 21st-century standards can be met.
ParlaMint-GB_2017-02-21-commons.u81	7. What assessment he has made of the strength of UK relations with Japan.
ParlaMint-GB_2017-02-21-commons.u82	We maintain excellent relations with Japan. We have close defence co-operation, and the recent visit by RAF Typhoons was a very visible demonstration of that co-operation. Japanese businesses employ 140,000 people in the UK, which shows our strong economic ties.
ParlaMint-GB_2017-02-21-commons.u83	Does my hon. Friend agree that North Korea’s recent ballistic missile test, in violation of UN Security Council resolutions, shows how important it is that we maintain strong military and security relationships with our friends in Japan and South Korea, as well as strong trade relationships?
ParlaMint-GB_2017-02-21-commons.u84	The actions of North Korea are a direct violation of multiple Security Council resolutions and a threat to international peace and security, not least to our friends in Japan and South Korea. Last week, as the House will know, the North Korean ambassador was summoned to the Foreign and Commonwealth Office, where we made clear the UK’s concerns. Japan is of course our closest security partner in Asia, but we also enjoy close co-operation with South Korea, and we stand shoulder to shoulder with our allies.
ParlaMint-GB_2017-02-21-commons.u85	Does the Minister agree that the innovative technology sector is very important for trade between Japan and the United Kingdom, in which we in Northern Ireland excel? Will he ensure that the sector is promoted very heavily in Japanese-United Kingdom relationships for the benefit of the Japanese workforce, but particularly of those who are developing the sector here?
ParlaMint-GB_2017-02-21-commons.u86	As I have said, we of course enjoy very close trade relations with Japan. When I was in Japan last year, I met Japanese companies. The hon. Gentleman will be aware that the biggest ever acquisition in the UK out of Asia was the acquisition of ARM Holdings by SoftBank for £24 billion.
ParlaMint-GB_2017-02-21-commons.u87	Will the Minister engage with his Japanese counterpart to get the latest assessment of Japan’s attempts to resolve its dispute with Russia over the Kuril islands?
ParlaMint-GB_2017-02-21-commons.u88	We of course maintain close links with Japan—and, in fact, with all our allies—on matters related to security, and we continue to have dialogues across a range of issues, including those that my hon. Friend has raised.
ParlaMint-GB_2017-02-21-commons.u89	Last week, the Scottish Government’s external affairs Minister visited Japan to boost foreign investment, but the hard Tory Brexit is causing a cloud of uncertainty. Given the pending EU-Japan free trade agreement, will the isolationist hard Brexit agenda leave the UK trailing behind?
ParlaMint-GB_2017-02-21-commons.u90	Along with ministerial colleagues, I talk regularly to Japanese businesses to hear their views. May I just say that, since the date of the referendum, a huge amount of investment from Japan into the UK has been confirmed? I have referred to the ARM Holdings deal, but, as the hon. Lady will know, Nissan has reaffirmed the super-plant in Sunderland. If that is not a vote of confidence in the UK, I do not know what is.
ParlaMint-GB_2017-02-21-commons.u91	8. Whether he made representations on Israeli settlements in the Palestinian territories during the recent visit of the Prime Minister of Israel to the UK.
ParlaMint-GB_2017-02-21-commons.u92	Yes, indeed. I met Prime Minister Netanyahu and repeated the historic UK position, which is that we believe the settlements on the west bank are illegal and constitute a barrier to a peaceful settlement in the region.
ParlaMint-GB_2017-02-21-commons.u93	President Trump has caused great concern for peace in the middle east by dismissing a 20-year US commitment to a two-state solution. Will the Foreign Secretary confirm that the UK remains committed to a two-state solution and will redouble its efforts?
ParlaMint-GB_2017-02-21-commons.u94	Yes, I certainly can—and, if I may say so, I think the hon. Gentleman misrepresents what the US President said.
ParlaMint-GB_2017-02-21-commons.u95	21. Were the representations on settlements set in the context of Hamas fully restoring its military strength to levels before 2014—an illustration that peace does not entirely depend on this one issue?
ParlaMint-GB_2017-02-21-commons.u96	We are aware of the preparations being made by Hamas in Gaza and we remain very concerned about the situation. It underscores the reality that while Israel is of course at fault for the expansion of settlements in the west bank—we have made that absolutely clear—on the other hand nobody should underestimate the very real security threat facing Israel. We are firmly on the side of the Israelis as they face that threat.
ParlaMint-GB_2017-02-21-commons.u97	Is the Foreign Secretary aware that just two days ago dozens of stop-work orders, which are usually regarded as precursors to demolition orders, were distributed in the village of Khan al-Ahmar, including to a primary school that serves over 170 children from local Bedouin communities? He may or may not know that the school is being visited by a large number of hon. Members from this House, and that if demolitions take place there to make way for settlements the chances of a viable Palestinian state will disappear. Is he making representations on this matter, and what action will he take to ensure that Mr Netanyahu heeds those representations?
ParlaMint-GB_2017-02-21-commons.u98	I, of course, deplore demolitions, although, as the hon. Gentleman will appreciate, there is a difference between settlements and demolitions taking place in the west bank and demolitions within green line Israel.
ParlaMint-GB_2017-02-21-commons.u99	Does my right hon. Friend think that our opposition to settlements is somewhat diluted by treating all settlements equally? The Oslo accords and the late President Arafat recognised that there would be land swaps. Would it not be better, as the Prime Minister said, to concentrate on new settlements and leave the existing settlements for a final decision?
ParlaMint-GB_2017-02-21-commons.u100	The Government’s policy is unchanged. We regard settlements as illegal insofar as they are in occupied Palestinian territories. Members will be absolutely clear that sooner or later—I hope sooner rather than later—there will be a deal and an understanding that involves land swaps. As my right hon. Friend rightly says, we will have to show some sense when it comes to doing that deal.
ParlaMint-GB_2017-02-21-commons.u101	20. I am going to give the Foreign Secretary another opportunity to answer the question from the hon. Member for Birmingham, Northfield (Richard Burden). The Israeli civilian administration personnel and police arrived at Khan al-Ahmar and served 39 stop- work orders, including to a school. An entire community is about to be forcefully displaced. What representation has he made to his Israeli counterpart on this matter?
ParlaMint-GB_2017-02-21-commons.u102	I refer the hon. Lady to the answer I gave a moment ago. My hon. Friend the Minister will be going to Israel very shortly. When we have got to the bottom of the exact complaint she is making, I am sure he will raise it.
ParlaMint-GB_2017-02-21-commons.u103	Alongside concerns about the rearmament of Hamas and the rebuilding of its network of cross-border terror tunnels, does my right hon. Friend share the growing alarm at the new activities of Daesh in the Sinai desert, which, together with the activities of Hamas, point to the prospect of further violence in the region and a new wave of terror attacks on innocent Israeli citizens?
ParlaMint-GB_2017-02-21-commons.u104	My right hon. Friend is completely right. What he says underscores the need for a regional solution that brings together all the states surrounding Israel to do a deal that brings the Palestinians, finally, to the table, and brings concessions from the Israelis.
ParlaMint-GB_2017-02-21-commons.u105	Is not the truth of the matter that the Israeli authorities have at no stage over the years ever wanted a viable independent Palestinian state? President Trump’s inane comments have strengthened the ultras in Israel. What encouragement can one give to the Palestinian people in view of the continuing destruction of their homes and the building of settlements by Israelis?
ParlaMint-GB_2017-02-21-commons.u106	Every Israeli Prime Minister in the last 20 years has supported a two-state solution, and that is the right way forward. It is the policy of the UK Government and remains the policy of the US Government. The difficulty will be to get a deal that not only allows the creation of the Palestinian state that I think everybody wants to achieve, but protects the security of the state of Israel.
ParlaMint-GB_2017-02-21-commons.u107	But last week President Trump said very clearly on televisions across the world that he could “live with either one” of a two-state or one-state solution. I am sure the Foreign Secretary agrees it is deeply disappointing that the President could casually disregard so many years of international consensus on a possible peace agreement between Israel and the Palestinian people. Did Mr Netanyahu give any hint at his recent meeting with the Prime Minister that he too was prepared to live with a one-state solution? If so, what was her response?
ParlaMint-GB_2017-02-21-commons.u108	Let us be absolutely clear. As both the President and Prime Minister Netanyahu, and indeed the Palestinians, have said, there needs to be dialogue, but at the moment I do not think that the Palestinians are committing to dialogue in the way they could and should be. It takes two to negotiate. We have seen no progress over the last eight years. Let us not rule out the possibility of progress today.
ParlaMint-GB_2017-02-21-commons.u109	9. What plans he has for co-operating with EU countries on defence policy after the UK has left the EU.
ParlaMint-GB_2017-02-21-commons.u110	We are strongly committed to European scrutiny and will remain so after we leave the EU. NATO remains the cornerstone of our defence, and we will continue to play our full part in supporting European security, particularly in eastern Europe.
