ParlaMint-GB_2017-12-21-commons.u1	1. When she plans to announce her decision on a new location for Channel 4.
ParlaMint-GB_2017-12-21-commons.u27	The Minister will know from his time as a parliamentary candidate in Plymouth how important libraries are to social mobility in the city. The Conservative council in Plymouth has this year closed six of our libraries—two in the constituency I represent and four in the constituency in which the Minister stood. Will he spread some festive cheer and tell library users in Plymouth that there will be no more library closures in the new year?
ParlaMint-GB_2017-12-21-commons.u28	What I can say is that Plymouth City Council received £56,000 for cultural learning activities last summer, which saw 5,000 young people visit, and 3,000 were given healthy lunches, involving a collaboration with the Theatre Royal, Music Makers and the National Marine Aquarium, which represents the sort of grown-up thinking about the way libraries act in our constituencies across the country.
ParlaMint-GB_2017-12-21-commons.u29	Order. I congratulate the hon. Member for Kettering (Mr Hollobone) on his tie, which is as flamboyant as my own.
ParlaMint-GB_2017-12-21-commons.u30	Northamptonshire County Council is proposing to cut 28 of its 36 libraries. Will the Minister send in the Government’s libraries taskforce to see whether a county-wide libraries trust might be set up to save these vital public services?
ParlaMint-GB_2017-12-21-commons.u31	My hon. Friend makes a reasonable point. I will be visiting a number of libraries in the new year, following the seven I have already visited, with the new chair of the libraries taskforce, and I will be happy to engage with my hon. Friend and his local authority to see whether there are alternative ways forward.
ParlaMint-GB_2017-12-21-commons.u32	Ebenezer Scrooge, and indeed Charles Dickens, would recognise exactly the mood in this country at the moment, with libraries closing and children being unable to go there to do their homework or access computers. What kind of Britain is this, when we think of Dickens and Scrooge at this time of year, with this Government?
ParlaMint-GB_2017-12-21-commons.u33	I think that is an unfortunate characterisation of the hard work of thousands of librarians up and down the country and thousands of volunteers. Libraries are working hard to deliver a range of social outcomes, promoting literacy and digital skills, providing support for jobseekers, and career and business decisions are helped by library services. It is unfortunate that the hon. Gentleman takes such a downbeat view at this time of year.
ParlaMint-GB_2017-12-21-commons.u34	Mr Speaker, I am sorry that my tie has not caught your eye as well as the tie of my hon. Friend the Member for Kettering (Mr Hollobone), did but I will try harder in 2018 Does the Minister agree that all libraries can play a part in social mobility? Will he join me in thanking the volunteers of Colehill community library in my constituency for all their hard work? It is not just a traditional library; there is a jigsaw library and there are one-to-one computer sessions, and I have even held my surgery there.
ParlaMint-GB_2017-12-21-commons.u35	It sounds very exciting.
ParlaMint-GB_2017-12-21-commons.u36	I think that my hon. Friend’s tie is fantastic. I am very happy to pay tribute to his local library. We are seeing a range of models up and down the country delivering a range of outcomes appropriate to the needs of different communities, and Dorset is no exception.
ParlaMint-GB_2017-12-21-commons.u37	My tie is very plain, Mr Speaker I can announce to the House that over 100 libraries closed this year. Libraries are genuine engines of social mobility. Why are the Government content with that situation, because the Minister seems to be? Does he agree with the editor of Public Library News, who recently stated: “The example of other countries shows that the decline of the library in this country is not a natural thing: this is a man-made disaster, brought on by short-sighted but long-term cuts” He is right, is he not? And merry Christmas.
ParlaMint-GB_2017-12-21-commons.u38	Merry Christmas to the hon. Gentleman, and to you, Mr Speaker. The reality is that different library services tackle the provision they deliver for their local communities in different ways. There are clearly challenges in the libraries sector. I am working hard with the libraries taskforce, and with librarians across the country, to look at ways of delivering better services, and I will continue to do that. In many communities we are seeing more volunteers enthusiastically engaging with library provisions in order to deliver better services.
ParlaMint-GB_2017-12-21-commons.u39	4. If she will assume responsibility for ensuring the delivery of broadband in Scotland.
ParlaMint-GB_2017-12-21-commons.u40	Merry Christmas to you, Mr Speaker, and a happy Christmas to friends across the House, including the hon. Member for Weaver Vale (Mike Amesbury). In the past we decided to deliver broadband in Scotland through the Scottish Government. We provided additional funding in February 2014 to support further roll-out, but the Scottish Government have only just begun the procurement process using the funding and are not expecting to have an agreed contract until the end of next year—over three years behind Wales, England and Northern Ireland. In future, therefore, the Government will implement the new full fibre programme and the 5G programme directly with local authorities to ensure efficient delivery.
ParlaMint-GB_2017-12-21-commons.u41	I thank the Minister for his response and for his recent visit to my constituency. Given the Ofcom “Connected nations” report, which describes the situation he has summarised—the Scottish Government have not even started the second phase of delivery—will he confirm that his Department will work directly with local councils in Scotland to implement future phases of broadband roll-out?
ParlaMint-GB_2017-12-21-commons.u42	Yes, I will.
ParlaMint-GB_2017-12-21-commons.u43	Scottish Tory Back Benchers have agreed that clause 11 of the European Union (Withdrawal) Bill is flawed and amounts to a power grab. Is the situation with broadband not the same, and is it not time that the Minister worked with the Scottish Government instead of trying to bypass them?
ParlaMint-GB_2017-12-21-commons.u44	We have tried to work with the Scottish Government for years, but when the First Minister first took my hand on a cold Christmas eve, she promised me broadband was waiting for me. It is three years later and we are still waiting for the Scottish Government to get on with it.
ParlaMint-GB_2017-12-21-commons.u45	My constituency is on the southern side of the border, which is just a line on the map as far as they are concerned. North Northumberland is still struggling to get the broadband it needs so that my many small villages are not cut off. Will the Minister ensure that, in 2018, we will see progress there?
ParlaMint-GB_2017-12-21-commons.u46	Yes, absolutely, and increasingly we need to ensure that the delivery works on both sides of the border. Obviously, what matters is getting the roll-out of superfast broadband to everybody in the borders and throughout the country. No matter where the administrative boundaries are, what matters is getting broadband connections to people.
ParlaMint-GB_2017-12-21-commons.u47	In this the season of good will, will the Minister join me in congratulating the Scottish Government following last week’s announcement that, despite it being a reserved matter, they are to invest £600 million in rolling out 30 megabit superfast broadband across Scotland, with priority given to rural Scotland, thereby making Scotland a truly world-class digital nation by 2021?
ParlaMint-GB_2017-12-21-commons.u48	I will certainly join the hon. Gentleman in wishing a merry Christmas to everybody in the Scottish National party and the SNP Government in Scotland. I am delighted that, finally, three and a half years after being granted the money, they have got on with the start of the procurement, but it will take another year for the second phase of the roll-out to get going. He, and more importantly his constituents, will understand why we have grown tired of waiting for the Scottish Government and are getting on with delivering directly through local councils in Scotland in future.
ParlaMint-GB_2017-12-21-commons.u49	5. What recent assessment she has made of the effect on public libraries of changes to local authority budgets.
ParlaMint-GB_2017-12-21-commons.u50	Local authorities have a duty to provide a comprehensive and efficient service that meets local needs within available resources. The Government fully recognise the importance and significance of public libraries for local communities.
ParlaMint-GB_2017-12-21-commons.u51	I thank the Minister for that response. My local authority, Labour-run Rochdale Borough Council, has endeavoured to keep all our public libraries open, recognising their importance to our communities. They are much more than just books; they are information, support and advice centres. I hold surgeries at our libraries, as does the citizens advice bureau. What action will the Minister take to support such good practice and, in the face of further cuts, how will he ensure its sustainability?
ParlaMint-GB_2017-12-21-commons.u52	I was delighted to see that the Manchester combined authority, which includes Rochdale, received £250,000 from the libraries opportunities for everyone fund. I will continue to work with the libraries taskforce to extend benchmarks, toolkits and best practices, and to look at different models of delivering services to ensure that libraries continue to thrive, as we see in Rochdale.
ParlaMint-GB_2017-12-21-commons.u53	6. What recent assessment she has made of progress towards the target of 95% superfast broadband coverage.
ParlaMint-GB_2017-12-21-commons.u54	13. What recent assessment she has made of progress towards the target of 95% superfast broadband coverage.
ParlaMint-GB_2017-12-21-commons.u55	Superfast broadband is available to more than 94% of homes and businesses in the UK. We are confident that that will reach 95% by the end of the year. More than 4.6 million additional homes and businesses have superfast broadband available for the first time thanks to the Government’s superfast broadband programme.
ParlaMint-GB_2017-12-21-commons.u56	When it comes to broadband in rural Lincolnshire, there is not much of a season of good will. The fact is that even 150 years ago, the Post Office could roll out a universal service—it did not matter where people lived—but in many rural villages in Lincolnshire, including mine, the broadband is appalling. People are trying to do business in these villages, so will the Minister get his skates on and get BT to roll out broadband to them?
ParlaMint-GB_2017-12-21-commons.u57	My hon. Friend is quite right, and I have some Christmas cheer for people in Lincolnshire who want better broadband, because yesterday we announced that we are taking forward the legal guarantee for decent high-speed broadband under the universal service obligation. All I can say on this, Mr Speaker, is that all I want for Christmas is USO.
ParlaMint-GB_2017-12-21-commons.u58	Very well done.
ParlaMint-GB_2017-12-21-commons.u59	I am not sure how to follow that, Mr Speaker. A number of villages in my constituency, including Spinkhill, Renishaw and those bordering the Peak District national park, are suffering from similar issues to those that have just been raised. Will the Minister outline all the work the Government are doing to try to improve that?
ParlaMint-GB_2017-12-21-commons.u60	Of course, the USO for broadband will be UK-wide, so wherever someone lives in the UK they will have a legal right to high-speed broadband by 2020.
ParlaMint-GB_2017-12-21-commons.u61	The right hon. Gentleman makes it all sound very exciting, I must say. I obviously have not lived yet.
ParlaMint-GB_2017-12-21-commons.u62	Will the Minister join me in welcoming moves by the Advertising Standards Authority to ensure that providers advertise more accurate average broadband speeds rather than “up to” speeds? Will the Government push for that to be introduced immediately rather than next May, as currently proposed?
ParlaMint-GB_2017-12-21-commons.u63	Yes, I strongly agree with the hon. Gentleman that the promises made on broadband need to be based on what people actually get, and the end of these so-called “up to” speeds cannot happen too soon.
ParlaMint-GB_2017-12-21-commons.u64	Constituents in parts of my constituency, such as Cadney, Howsham and Cleatham, are getting very poor broadband services at the moment. Do they really have to wait until 2020 for the USO or will the Minister act more quickly?
ParlaMint-GB_2017-12-21-commons.u65	I would like it to be in place more quickly if possible, but I am not willing to commit to that because this area has been bedevilled in the past by people overpromising and underdelivering. If we can go faster, we will, but we will have it in place by 2020.
ParlaMint-GB_2017-12-21-commons.u66	8. What steps her Department is taking to tackle problems associated with online ticket sales.
ParlaMint-GB_2017-12-21-commons.u67	We are committed to cracking down on unacceptable behaviour in the ticketing market and improving fans’ chances of buying tickets at a reasonable price. We are strengthening the existing ticketing provisions in the Consumer Rights Act 2015, and we intend to introduce a new criminal offence of using automated software to buy more tickets than allowed. We also welcome the work of the Competition and Markets Authority in this area, as well as the industry’s own initiatives.
ParlaMint-GB_2017-12-21-commons.u68	Too many of my constituents will not be getting the tickets they had hoped for this Christmas as a result of mass harvesting by electronic bots. I welcome the Secretary of State’s commitment, but will she confirm when this new offence will be introduced and when my constituents will see changes?
ParlaMint-GB_2017-12-21-commons.u69	I sympathise greatly with my hon. Friend’s constituents and their concerns. At Christmas in particular, when parents, friends and family are looking to buy tickets for events, it can be very frustrating. That is why we introduced the offence in the Digital Economy Act 2017 and are committed to introducing these changes as quickly as possible, hoping to bring in secondary legislation in the spring.
ParlaMint-GB_2017-12-21-commons.u70	From Christmas goose to online ticket sales in fewer than 24 hours. I call Mr Clive Efford.
ParlaMint-GB_2017-12-21-commons.u71	Thank you, Mr Speaker. It is no good the Secretary of State coming here and wringing her hands; the Government had plenty of opportunity to put the restrictions in place to prevent the resale of these tickets online. The Government were warned about this and failed to act—small wonder since they had one of these online ticket touts on the board of directors giving them advice. It is time they stood up for consumers.
ParlaMint-GB_2017-12-21-commons.u72	I am slightly confused, Mr Speaker. We changed the law. We did something. We have acted on this and we will introduce the secondary legislation in the spring.
ParlaMint-GB_2017-12-21-commons.u73	9. What estimate she has made of the amount donated to support the victims of the Grenfell Tower fire; and if she will make a statement.
ParlaMint-GB_2017-12-21-commons.u74	The Secretary of State for Communities and Local Government made a statement to the House on Monday that set out the latest position on the £26 million raised in charitable funds, of which £20 million has now been distributed to survivors and next of kin.
ParlaMint-GB_2017-12-21-commons.u75	I thank my hon. Friend for that answer. Will she explain the criteria that are being used to distribute this much-needed money to the victims and survivors and whether there are any restrictions on its use by the survivors when they receive it?
ParlaMint-GB_2017-12-21-commons.u76	I will write to my hon. Friend with the specific details on the criteria. Of the £6 million that is still to be distributed, £2 million is being looked after by the charities for eligible individuals whose claims are in progress or who have not yet submitted a claim. The remaining £4 million will be allocated to longer-term support projects that will benefit the wider community.
ParlaMint-GB_2017-12-21-commons.u77	10. What steps her Department is taking to increase the number of public funding sources available to charities and voluntary organisations. Merry Christmas, all.
ParlaMint-GB_2017-12-21-commons.u78	That warms my heart—thank you Charities and voluntary organisations are receiving funding from Government through a number of programmes, including LIBOR fines, the tampon tax and, for youth organisations, the youth investment fund and the iwill fund in partnership with the Big Lottery Fund.
ParlaMint-GB_2017-12-21-commons.u79	Charities are set to lose a massive £250 million a year in EU funding, but the Government appear to have no plans to replace it. Will the Minister give charities some Christmas cheer and ensure that no charity loses out post-Brexit?
ParlaMint-GB_2017-12-21-commons.u80	I am discussing with the whole charity sector how we can look more closely at the EU funding that the hon. Gentleman refers to and what we will focus on in future. Those discussions have been taking place for some time, and we are already working with organisations, including in the voluntary sector, on how we will set up the framework.
ParlaMint-GB_2017-12-21-commons.u81	The Government have promised to repay the remaining £425 million borrowed from the national lottery to build the Olympic stadium, but at the current rate of repayment they will not pay it back for 30 years. Charities are struggling to house the homeless and feed the hungry this Christmas, and they need that money now. Will the Minister spread a little more Christmas cheer, back the Big Lottery Refund campaign and commit to repaying the money they owe during this Parliament?
ParlaMint-GB_2017-12-21-commons.u82	We are committed to repaying the funds that the hon. Gentleman refers to, but we are working hard to ensure that our charities across all sectors are well funded. He will be aware that we will be launching a civil society strategy in the new year, which will work across all Departments in Whitehall to ensure that the sector is well recognised and that we continue to fund it so that we get to the heart of the social issues that we face. Furthermore, we will shortly look at what to do with the next tranche of dormant assets, which will go to support many good causes such as those he refers to.
ParlaMint-GB_2017-12-21-commons.u83	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2017-12-21-commons.u84	I am delighted to be able to confirm to the House again that the Commonwealth Games Federation has this morning announced that the 2022 Commonwealth games have been awarded to Birmingham. Our commitments now come into effect, and I am sure that the games will demonstrate the very best of global Britain and Birmingham to the world. May I add my congratulations to all involved, particularly Mayor Andy Street and the Sports Minister, my hon. Friend the Member for Chatham and Aylesford (Tracey Crouch), who has done an incredible amount of work with her team to ensure that we secure this important event for Birmingham? Even better, thanks to our announcement yesterday that people have a legal right to demand high-speed internet in their home by 2020, more people across the country will be able to enjoy the games On the subject of sporting successes, I would like to congratulate Sir Mo Farah on being named BBC sports personality of the year and the England women’s cricket team—we will not mention any other cricket team—on being named team of the year. I am sure the House will agree that both accolades are very well deserved I have spent many an oral questions session telling Members that I cannot comment on the UK city of culture bids, given that one was from my local city, Stoke-on-Trent, so it is a great pleasure to finally be allowed to talk about the city of culture, although I am sad that it is not Stoke-on-Trent. I would like to congratulate Coventry on its success in being named UK city of culture for 2021, and my commiserations go to the unsuccessful cities Finally, I would like to wish you, Mr Speaker, and all Members of the House—[Interruption]—even the hon. Member for West Bromwich East (Tom Watson), a very merry Christmas. I take this opportunity to thank all the charities working so hard over Christmas and throughout the year for all that they do.
ParlaMint-GB_2017-12-21-commons.u85	Yes, and I think that the BBC overseas sports personality of the year is the inimitable and unsurpassable Roger Federer, my all-time sporting hero.
ParlaMint-GB_2017-12-21-commons.u86	May I take this opportunity to wish you, Mr Speaker, and the whole House, including all the members of staff here, a very merry Christmas and a happy new year I encourage people to visit places in my constituency such as the Derwent Valley world heritage site, which encompasses the Strutt’s mills in Belper, which won the first Great British high street award. We are working towards having a cycle way up the entire Derwent valley, to encourage international visitors to the area. Does my right hon. Friend agree that visitors would have an amazing visit if they came to the Derwent valley and other parts of Derbyshire rather than just staying in London?
ParlaMint-GB_2017-12-21-commons.u87	I have to agree with my hon. Friend. I know that part of the world very well, as I am sure you can imagine, Mr Speaker, and I agree, particularly about the use of cycling to get people to see these incredible parts of our country, the scenery, the UNESCO world heritage sites, and others. However, I would point out that you do not have to go to Derbyshire to enjoy the Peak district; you can also enjoy it in Staffordshire.
ParlaMint-GB_2017-12-21-commons.u88	Merry Christmas to you, Mr Speaker, and to one and all, in particular my opposite number, the Under-Secretary of State, the hon. Member for Chatham and Aylesford (Tracey Crouch), who it is a pleasure to serve opposite The Gambling Commission’s annual report confirmed that children as young as 11 are being introduced to forms of online gambling. The Gambling Act 2005 was introduced before many young gamers could trade in loot boxes. Right now, there is nothing to stop a child gambling away money for virtual prizes in video games. Can the Minister please tell me when the Government will look to close this loophole and put an end to loot box gambling?
ParlaMint-GB_2017-12-21-commons.u89	May I extend my Christmas festive wishes to the hon. Lady and to all those on the Opposition Front Bench? She raises an important point. The recent report by the Gambling Commission was an incredibly useful document. We are doing all we can to protect children and vulnerable people from the harm and risk of gambling. We are working with the Gambling Commission on these issues. It keeps the matter very much under review. It is an emerging issue in the market, but the Gambling Commission has strong powers to regulate gambling, and the convergence between gambling and video games is being monitored quite closely.
ParlaMint-GB_2017-12-21-commons.u90	T2. The opening of the Louvre in Abu Dhabi by President Macron last month demonstrated the power of culture to drive foreign and trade policy, but we all know that the glories of France are as nothing compared with the glories of our own country, so what can the Secretary of State and her Ministers do to advance British cultural diplomacy around the world, and might one element of that be our excellent cultural protection fund?
ParlaMint-GB_2017-12-21-commons.u91	My hon. Friend raises an excellent point. The cultural development and cultural protection funds are both top of my list. The cultural protection fund has done an enormous amount internationally. I would draw his attention to what has been highly successful diplomacy, including the V and A opening a new gallery in Shekou design centre in China earlier this month, which is one example of the advances we have made.
ParlaMint-GB_2017-12-21-commons.u92	T3. This week the German competition authority ruled that the collection and use of data by Facebook was abusive. Does the Minister agree?
ParlaMint-GB_2017-12-21-commons.u93	The hon. Lady raises an important question. Of course, competition rules are rightly decided on independently in this country, so she would not expect the Government to express a definitive view one way or the other, but the question she raises is a very interesting one.
ParlaMint-GB_2017-12-21-commons.u94	T7. Is my right hon. Friend aware that estimates show that something like over 1 million people will be watching their festive TV and films using illegal streaming devices? Does she agree that this does huge damage to our creative industries, and will she look at what more can be done to tackle it?
ParlaMint-GB_2017-12-21-commons.u95	My right hon. Friend again speaks with great knowledge and experience. He has very wise words for us—one very wise man in the Chamber at Christmas time is a start—and his points are well made. We want to ensure that content is protected and that those who provide and produce it are able to make the money that they should rightly make from it. We are working with the creative industries as part of the sector deal in the industrial strategy on how to protect content in the most effective way.
ParlaMint-GB_2017-12-21-commons.u96	T4. I am sure the Minister agrees that a vital aspect of creating a thriving and exciting community for all parts of the UK is safeguarding our national built heritage. In my city of Glasgow, the Glasgow Building Preservation Trust, of which I am a member, the renovation of the Fairfield Heritage Centre, in which I am involved, and the Springburn winter gardens project in my constituency could be threatened as we come out of the European Union, as European regional development funding is unavailable to safeguard these heritage projects. Can the Minister guarantee that any funding available to these projects will be safeguarded when European Union funding is no longer available?
ParlaMint-GB_2017-12-21-commons.u97	Order. Just as a general piece of advice to the House, may I say that the best way to cope with the additional time pressure in topical questions is not to blurt out the same number of words at a more frenetic pace, but to blurt out fewer words?
ParlaMint-GB_2017-12-21-commons.u98	I assure the hon. Gentleman that all my colleagues in the Department are working very hard to make sure that all funding is protected, as far as possible, beyond the changes following Brexit.
ParlaMint-GB_2017-12-21-commons.u99	As the Secretary of State is aware, Dundee city has put together a transformative bid to be the European city of culture. I desperately want Dundee—its bid will have clear benefits for all of Tayside—and the other cities to have a chance to test their bids. May I urge my right hon. Friend to find an alternative way of taking forward this contest so that all the time, money and, most importantly, vision for Dundee is not put to waste?
ParlaMint-GB_2017-12-21-commons.u100	My hon. Friend has been an absolute stalwart in campaigning for Dundee, both before the very disappointing announcement by the European Commission and since, and in finding a way of recognising the work that has been done. Dundee should be congratulated: it made a bid for city of culture in 2017, when Hull was given the award, and since then, the same team has worked together and really built up the Dundee waterfront, with the new V&A coming next year. We are working with Dundee and the other cities to find a way through this, but I once again commend my hon. Friend for her incredible work in promoting the bid.
ParlaMint-GB_2017-12-21-commons.u101	T5. The Prime Minister herself referred to allegations of police misconduct in her correspondence with the former First Secretary of State last night. Is it not high time that the Secretary of State commenced this unfinished business, and honoured the promise of a previous Conservative Prime Minister to get Leveson 2 under way?
ParlaMint-GB_2017-12-21-commons.u102	We have consulted on Leveson, and we will release the responses and our response to the consultation in due course. We are currently having conversations with all those involved to make sure we follow the proper process that is required before we can release the figures.
ParlaMint-GB_2017-12-21-commons.u103	I declare an interest as the chair of the all-party group on commercial radio. Will the Minister update the House on the long-awaited but positive deregulation plans announced this week? Commercial radio has long been struggling with outdated, old-fashioned restrictions, meaning that the industry has been unfairly treated.
ParlaMint-GB_2017-12-21-commons.u104	This week, we published the response to the consultation, which was incredibly warmly received. We will remove over 100 measures in the very outdated legislation on commercial radio to free up commercial radio stations to support their communities and to deliver for their audiences in the best way they see fit.
ParlaMint-GB_2017-12-21-commons.u105	T6. On the Minister’s current consultation on reducing the maximum stake on fixed-odds betting terminals, will she place in the Library the Treasury’s estimate of the fiscal impact of each of the four options being consulted on?
ParlaMint-GB_2017-12-21-commons.u106	The impact assessments, which we published alongside the Government consultation document on 31 October, have already been placed in the Library. I hope that answers the question posed by the right hon. Gentleman.
ParlaMint-GB_2017-12-21-commons.u107	The residents of West Oxfordshire have welcomed the recent announcement by the district council and Gigaclear on the roll-out of broadband. Will the Minister join me in pressing for real progress in 2018 not only on broadband, but on mobile signals, with which so many villages suffer problems, including in my constituency?
ParlaMint-GB_2017-12-21-commons.u108	Oh, yes. Tell me about it. My hon. Friend is completely spot-on. I pay tribute, at this Christmastime, to his personal leadership locally in delivering better connectivity across West Oxfordshire.
ParlaMint-GB_2017-12-21-commons.u109	Members on both sides of the House may enjoy many festive films over the Christmas period. The Secretary of State will be aware that there are plans for a new film studio in my constituency, but will she do everything possible to ensure that that studio and creative industries across the UK flourish post-Brexit?
ParlaMint-GB_2017-12-21-commons.u110	I absolutely agree with the hon. Lady. The creative industries are a real UK success story. They are growing much faster than the rest of the economy, and they make up a significant proportion of our economic value and our power in the world. We have a brilliant film industry in the UK, and I urge all hon. Members, if they have not yet done so, to go and see “Paddington 2” and “Star Wars” this Christmas, as they are both British-made films. I also welcome the initiative in her constituency. I assure her that we are working closely with the creative industries to make sure they are on the same secure footing post-Brexit as they are today.
ParlaMint-GB_2017-12-21-commons.u111	Since we are focusing on “Paddington 2” I should announce an interest because we are going this weekend—please don’t tell my son! “Paddington 1”, which we intend to watch on catch-up the day before, will be problematic because while some people are enjoying fibre lines and some have copper, we in some parts of Kent appear to have a hemp line that connects us to the rest of the internet.
ParlaMint-GB_2017-12-21-commons.u112	I am pretty sure that my hon. Friend’s son does not watch Parliament TV, so his secret should be safe—[Interruption.] Well, he certainly does not watch it yet. My hon. Friend makes the point that we need decent connectivity everywhere, and the Government are bringing in the universal service obligation to ensure that decent broadband can be available to everybody, fulfilling our manifesto commitment and delivering that by 2020.
