ParlaMint-GB_2017-12-19-lords.u1	That this House takes note of the Report of the Lord Speaker’s committee on the size of the House.
ParlaMint-GB_2017-12-19-lords.u17	My Lords, I add my immense thanks to the noble Lord, Lord Burns, and his committee for their impressive energy in producing this report. If I strike a discordant note in my analysis, it is not to belittle their commitment. I fear that this is yet another piecemeal effort to tackle the fundamental issue of Lords reform, as by following strictly their remit they have reported on the size of the House while ignoring its functions as a legislative assembly for the whole of the United Kingdom and the points made by the noble and learned Lord, Lord Hope The House is of course much too large with 798 Peers. How did this come about? It is substantially through the political incontinence of Prime Ministers Blair and Cameron in their exercise of patronage. Mr Blair recommended 374 Peers and Mr Cameron 245—a total of 619, which puts the reasons for our present membership in the right perspective. We read that more are on the way. If that is true this debate should not ignore that grim reality. I remember my struggle in primary school to calculate the end result of filling a tank with water while emptying it at the same time The report acknowledges that its success depends on undertakings by Prime Ministers, whoever they might be—even future ones, I suppose—agreeing to appoint no more new Members than there are vacancies. As no legislation is proposed this undertaking would be no more, at its very best, than some sort of emerging convention. But a convention is hallowed only by many years of acceptance. In the most unlikely event that I might be asked, as a law officer, to advise an incoming Labour Prime Minister I would advise him that this commitment is not worth the candle. His aim, in a House dominated by non-Labour Members, would be to get his legislation through and ease the task of his Chief Whip. While the House does not oppose legislation on manifesto commitments at Second Reading, I remind your Lordships that the implementation of devolution was delayed for 20 years through the passing of mere amendments in both the Commons and the Lords The basic difficulty for the committee was that there was neither the will nor the time to introduce legislation at present, hence the existence of hereditary Peers would be untouched. I hope I will be forgiven for saying that there is no place for hereditary membership in today’s legislative process. Paragraph 21 of the report concedes that, “the hereditary peers will make up a larger proportion of a smaller House” We would be going backwards. I note that there are 81 hereditary Conservative and Cross-Bench Peers, but only four Labour ones. The report also concedes that in its proposals only the party share of new appointments will vary. The reduction proposals are expected to result in Labour losing 38 Peers by 2022; the Liberal Democrats will lose only 18. That is the proposed immediate future of this House, following Mr Cameron’s appointment of 51 Liberal Democrat Peers under the coalition agreement to reflect, “the share of the vote … in the last general election” Surely, in 2017, that is crying out to be revisited for our present membership As only new Members would be affected by the proposals, it cannot be said that the proposals will, “affect all parties and Members equally”, for the present. The reports avers that the only way to reduce our membership is on an equal contribution basis. The guiding principles are treating Members fairly and no compulsory retirement of existing Members. I expect that the House would welcome this. How this will be done is not spelled out in the main proposals; the only guidance is the rejection of some of the ideas of the past—based on age, tenure or attendance—as they have the disadvantage of changing the balance of parties arbitrarily. It is helpful to know how the reduction will not be achieved, but it would be even more helpful to affirm proposals on how it will. Although reducing the size of this House is absolutely necessary, I regret that I cannot support the proposals, for all these reasons. They need further and long consideration by this House.
ParlaMint-GB_2017-12-19-lords.u18	My Lords, I join noble Lords in thanking the noble Lord, Lord Burns, for the thoughtful way in which he introduced his important report. In doing so, I declare my interests as chairman of the House of Lords Appointments Commission and of the Judicial Appointments Commission The task taken on by the noble Lord, Lord Burns, and his colleagues—looking at the size of this House—was inevitably going to be a very difficult, complicated and fraught matter. Yet it was vital for them to come to a practical solution that would deliver what was required: achieving a size for your Lordships’ House that would meet the important challenge of public perception—an issue touched on by many of those who have already contributed. Having initiated this process in a debate last year and having supported the establishment of the Lord Speaker’s committee to look at these matters, the reality is that there would be tremendous harm to the standing of your Lordships’ House if your Lordships were not able to reach a conclusion in supporting an essentially irrefutable argument: this House is too large and does not enjoy the respect of the public more generally. Whether or not that is fair, it is the held perception I will deal with issues in the report that touch on the work of the House of Lords Appointments Commission. I remind noble Lords that the commission was established in 2000 as an advisory body to the Prime Minister. As a non-departmental advisory body, it has continued its work since then with two principal remits: to make nominations to your Lordships’ House for independent Cross-Bench Peers—undertaking both an assessment of candidates’ suitability for service in your Lordships’ House and vetting checks—and to undertake vetting responsibility for all other nominations. In that regard, some 10% of party-political nominations made to the commission since 2015 failed to meet the vetting test and have not proceeded The Burns report suggests that we enhance the responsibilities of the House of Lords Appointments Commission in a number of respects. The first is that, beyond continuing our current nomination function for independent Cross-Bench Peers, the commission should facilitate the extended leave of absence that will be available to Peers nominated under the new scheme. The second is that it should, for want of a better description, keep the spreadsheet generated after every election, looking at the size of the House of Commons and the proportion of votes, and therefore the size of the political Benches for the forthcoming Parliament The third, as we have heard, is to provide a clear understanding for all those nominated to serve in the House of Lords of the commitment that would be required and the obligations that attend membership of your Lordships’ House. This is something that the commission pays special attention to with regard to Cross-Bench nominations. An analysis undertaken between October 2016 and January 2017 identified that of the 67 nominations by HOLAC since 2000, 90% participated in some way in that period, either through voting, contributions in the Chamber or work in committees Clearly, the commission would be happy to assist as requested in providing the narrative of the expectation of contribution and service once appointed to the House of Lords, but it would be vital that the political parties heard the response of each candidate to that description because, ultimately, so as not to fetter the Prime Minister or party-political leaders’ opportunity to make political nominations, they would have to be clear that the response received was suitable to those political parties Ultimately, under the scheme, beyond hereditary elections, there will be three routes to the Cross Benches: the independent nomination rate through the House Of Lords Appointments Commission, the appointment of Prime Minister’s exceptions—10 in any given five-year period—and a new judicial appointments route for Supreme Court justices on appointment to the Supreme Court. It would be essential to understand how the balance between those three routes will be achieved over any given Parliament. One of the important duties of the House of Lords Appointments Commission has been to try to achieve greater diversity in this House. Of the 67 nominations made since 2000, 37% have been of female candidates and 19% of members of ethnic minorities. It is essential that that ability to look more broadly at the membership of the House is not lost as we look at the different routes to contribute to Cross-Bench membership in future.
ParlaMint-GB_2017-12-19-lords.u19	My Lords, I warmly welcome the acumen of the Lord Speaker, who has focused on the vexed question of reducing the size of the membership of the Chamber and set the wheels in motion to create the all-party committee whose most relevant report we are considering today. The Lord Speaker is surely right when he says that the proposals put forward by the noble Lord, Lord Burns, and his colleagues give this House an important opportunity for reform. With a membership of more than 800, compared to the 650 MPs in the other place, we are perceived to be far too large and unwieldy. It cannot sit altogether comfortably that when legislatures around the world are listed by size, we come second only to the National People’s Congress of China Achieving the proposed reduction to 600 and keeping the total capped at that level will take time, but to reach these goals, I support the idea of limiting new Peers to a total of 15 years in the House and the adoption of an accelerated “two out, one in” programme It is also correct to propose that appointments should be shared between the different parties on the basis of the results of the most recent general election. With attempts at wider reform not currently on the political agenda, these are sensible suggestions and crucially can be undertaken by ourselves, without the need for legislation. However, the public might like to see the extent of the participation of each Member having a direct effect on their continuing membership of this House I should at this stage mention a former interest when I was an MP. I had been warned that I was in line to inherit a hereditary peerage if I outlived my uncle, the Earl of Selkirk. When he died, I was told that I was now barred from the House of Commons Chamber. I went to see the clerks in both Houses. Their advice was totally different. The clerk in the Commons said that if there was any possibility of me being a hereditary Peer, I could disclaim straightaway in order to vote on the looming Motion of no confidence in the then Prime Minister. But the clerk in the House of Lords, quite differently, said, “I have only one question to ask. Is this something you really want to do?” It was, and I remained an Earl for merely four days It was an honour and a great surprise of course to be asked to return as a life Peer in 1997. I recall that I was introduced by Lord Renton, the former MP for Huntingdonshire, who at that point was nearly 90. A few years later, when I became a Member of the Scottish Parliament, I asked a senior parliamentarian from this Chamber how my friend Lord Renton was getting on, as by this time he was heading for a century. The senior Member was full of compliments about Lord Renton and added what was clearly meant as a final accolade. He said, “Old age is just beginning to creep up on him”. The report before us does not advocate a compulsory retirement age. Happily, however, many noble Lords appear to be living very much longer, so if we do contemplate such an ageist move, we could possibly settle for a cut-off date of 100. However, having listened to the debate, I believe that the proposals put forward by the noble Lord, Lord Wakeham, capture a great deal more merit and would be much easier to implement This Chamber is a great national asset whose Members have a fund of expertise and acquired wisdom. That should not be lost or even squandered. However, we cannot be complacent. To borrow a quote from Benjamin Disraeli: “I am a conservative to preserve all that is good in our constitution, a Radical to remove all that is bad” I sincerely hope that this report will receive the backing of the Prime Minister and the party leaders. As the Lord Speaker said so appropriately, these proposals not only present us with a challenge but with an opportunity. While there is yet time, let us take that opportunity.
ParlaMint-GB_2017-12-19-lords.u20	My Lords, the more astute among you will recognise that I am not the noble Lord, Lord Brooke of Alverthorpe. With the agreement of the Clerk and the Whips, he and I have swapped places. I hope that not too many noble Lords will be disappointed. However, it allows me to follow my very old friend the noble Lord, Lord Selkirk—I must get his recently updated title right—and his witty and erudite speech I am afraid that I do not agree with the noble Lord in his wholehearted support for this report. That is in no way a criticism of the noble Lord, Lord Burns, and his committee. They were asked to ask the wrong question. Like my noble and learned friend, Lord Morris, the right question is, what is the function and purpose of this Chamber? In a bicameral legislature, the second Chamber has a particular role—to scrutinise legislation, challenge the House of Commons from time to time, to debate issues and question and challenge the Executive My ideal second Chamber—unlike the noble Lord, Lord Newby, of the Liberal Democrats’ ideal of a directly elected House, which I think would challenge the primacy of the House of Commons and create tremendous problems—is a senate of the nations and regions, an indirectly elected Chamber that represents all parts of the United Kingdom properly in this House. We will not get that until we have a Labour Government—and that may be sooner rather than later—but until then we have to carry out our function as best we can I do not think we can do that with such an imbalance in representation from the parts of the United Kingdom—as has already been mentioned by the noble and learned Lord, Lord Hope, and the noble Lord, Lord Empey. Scotland and Northern Ireland are not too badly represented but the regions of England are grossly underrepresented in this Chamber. I do not think that we are a properly representative Chamber, part of a legislature, when we have such poor representation from so many parts of the United Kingdom Of course, we have had a few recent appointments to this Chamber. That has made it worse because they have all been from London or the south-east of England, which already has well over half the representation. The problem is that many people do not consider a peerage as an appointment to the legislature but as an honour, as one up from a knighthood in the whole pecking order of honours. A lot of people are keen to get a peerage because it is an honour or a passport to some other appointments, not because they want to work as part of a legislature. The solution is to split it up and have two types of peerages—one that you might call an honorary peerage and the other a legislative peerage, with honours for those who want the title and deserve the title and the legislative peerage for those who want to work and carry out a legislative function. A very helpful Library briefing says that this can be done. It states that, “the Monarch is empowered to appoint life Peers outside of the Life Peerages Act 1958, and that Peers appointed in this way would not be entitled to a seat in the House of Lords. Accordingly, the committee encouraged the Government to pursue this option in tandem with their main proposals” I do not see why it cannot be the main proposal because it seems to me to be right. The problem is that some people consider the peerage an honour rather than an appointment Sadly, I think the report does not measure up to what I would like to see it do, which is to produce a representative—not just a smaller—Chamber that can carry out the appropriate function of the second Chamber of a legislature. I hope that when the Lord Speaker, the Government and others consider the outcome of this debate they will look at this as an alternative to the proposals put forward by the noble Lord, Lord Burns, and his committee.
ParlaMint-GB_2017-12-19-lords.u21	My Lords, most of us here are delighted that so far there is significant consensus on the Burns report. It clearly has not been an easy task and I add my congratulations to the noble Lord, Lord Burns, and the committee for their elegant compromise Reform of the House of Lords has been an ongoing process for the last 800 years or more. Restricting our view to the last 100 years or so, the Parliament Act 1911 was a significant milestone, as was the creation of life peerages in 1958. More recently, there was the House of Lords Act 1999, followed by the Royal Commission on the Reform of the House of Lords, chaired by the noble Lord, Lord Wakeham. Nor should we dismiss the many other changes since, notably the House of Lords Reform Act 2014 that enabled retirement and, under certain conditions, expulsion. As we know, that was preceded by a succession of Private Member’s Bills, including those from the noble Lord, Lord Steel, and my noble friend Lady Hayman. We have learnt that incremental change is more likely to succeed than attempts to introduce change by means of primary legislation. The coalition’s 2012 Bill for a largely elected House fell due to technicalities, but had there been the political will in the other place, those could surely have been overcome How does such consensus come about? Reviewing the last 10 years, and more, there has been a slow but inexorable build-up towards a critical mass of opinion. Of course, some of that has been driven by critical media, but efforts in this House—especially by the Campaign for an Effective Second Chamber and the many public statements, articles and views expressed by Members—have all contributed greatly to the majority consensus expressed in the debate almost exactly a year ago There is still some way to go. We trust that the scheme proposed by the committee will be agreed— and indeed maintained—by the current Government and future ones. By accepting the Burns report’s recommendations, it is hoped to establish a new convention that will become as embedded and respected as the other conventions that guide this House. Perhaps the widespread consensus will encourage some of us to do the decent thing and step down with dignity, after cumulative long years of public service. That may speed up the rate at which we reach the magic number of 600. As we all acknowledge, the House needs refreshing from time to time; an intake of Peers with differing sets of experience and expertise is always welcome. However, unless some of us are prepared to stand down as we approach our 80s, I fear that we will remain an oversubscribed House for some time to come Reform is by no means complete. As the House becomes more manageable and professional, it is to be hoped that other reforms—on the hereditary principle, the retirement age and limiting the appointment of new Peers to those who fulfil a clear gap in relevant expertise—will come about. That is what makes this House so valuable.
ParlaMint-GB_2017-12-19-lords.u22	My Lords, the Leader of the House was commendably frank in her speech in saying that the Government have no stomach for fundamental reform of this place. That is a pity. Like the noble Lord, Lord Foulkes, I hope that one day we will have a Government who will grapple with the need to cement our devolution settlements in this country and create a new upper Chamber, which could be a federal Chamber for the devolved Administrations. Bearing in mind the commission report of Mr Asquith’s Government and the committee report of Mr Attlee’s Government, the House of Commons does not wish to see another directly elected Chamber in the land. Nevertheless, a Chamber that is indirectly elected by the House of Commons and the other devolved institutions is surely long overdue. I would welcome that In the meantime, I warmly welcome the report of the noble Lord, Lord Burns. It is of course predicated entirely on the 2014 Act, whose provisions I introduced three times in this House over three Sessions on behalf of the Cormack-Norton committee, as noble Lords will remember. Thanks to Dan Byles MP in the House of Commons, that Act eventually became law and enabled Peers to leave this House, either voluntarily or through the House removing them. The minute the law was changed, I took the view that changes could be made thereafter by resolution of the House, which is why I welcome the general thrust of the Burns report. I congratulate the noble Lord and his committee on its excellence I hope that my noble friend Lord Newby is wrong when he postulates the possibility of the Prime Minister introducing a swathe of new Members in the new year; if that happened, I am afraid that it would drive a coach and horses through the committee’s recommendations. I very much hope that it will not happen. I have only one criticism to make of the report, which is that it will take too long to get the numbers down to 600. Need it take 11 years? I do not believe so. I echo what was said by the noble Lord, Lord Wakeham, about older Members retiring. I see no reason why we could not have an automatic clear-out of Members aged over 80 at the end of every Parliament. I see no difficulty in that. The House of Commons has a clear-out at a general election—why should this House not do the same? The age of 80 seems reasonable to me There are two objections to that proposal. One is that it is ageist. Is it ageist? In other public services, people retire at 60 or 70; the oldest age I could find was 75 for lord-lieutenants and deputy lord-lieutenants. An age of 80 and above, which is what my proposal suggests, seems generous and reasonable. The other objection to what I propose is the ad hominem objection. There is nothing to stop retired Members from going on the airwaves, giving lectures or writing to the newspapers. All they would do is stop being legislators, which seems utterly reasonable. The argument might be, “Oh, you can’t do that because you would lose Nigel Lawson”, to which I say, “Well, so what?”. You would also, as of next time round, lose David Steel—and that might be a very good thing.
ParlaMint-GB_2017-12-19-lords.u23	My Lords, it is a pleasure to follow the noble Lord, Lord Steel of Aikwood. The first sentence of the summary of the report lays out the challenge that the noble Lord, Lord Burns, and his committee faced: “exploring methods for reducing the size of the House” I do not know who the genius on the committee was who came up with the proposal, but he must have been creative with the use of figures, because the document is quite clear about how it can be done. The proposals themselves are clear, incremental and achievable. This further movement does without the need for legislation and, importantly, without any perceived threat to existing Members—although that might change when it comes to implementation. In so far as the proposals will reduce the size of the House, they will work; but how they may affect the functionality of the House will depend on the working practices of the new Peers I found the back-testing of the Burns proposals in a bar-chart construct most interesting. Going back to 1959 and working forward to 2017, it shows what the party composition would look like reflecting public opinion at general elections and that the proposal would work in a fair way, as stated in the report. The challenge of the report is mainly at the point of implementation, as many noble Lords have mentioned, but it is doable and a House of 600 can be achieved I turn to say a few words about the Cross-Bench component. The report says that the new Cross-Bench Members would number 134. This is not 20% of 600, which would be 120, but 23.3%, as it is now. Who are the Cross-Benchers? They may be appointed by the House of Lords Appointments Commission or from the judiciary; there are also 30 hereditaries. They may also be appointed by the Prime Minister at various times. But not insignificant are the numbers of those who leave their political party for whatever reasons—mostly because they do not agree with its principles—and join the Cross Benches. Initially, they sit on the Cross Benches; subsequently, they become Cross-Benchers. As this number is not insignificant, particularly in the recent past, whose numbers would they be counted among? If it is to be the number allocated to the Cross Benches, the Appointments Commission will have that many fewer to appoint. If they are to be non-affiliates, then the problem of how to deal with non-affiliates and those who move from their political party needs to be addressed. In my view, if you leave your political party and were appointed by that party then you must leave the House. That would be the obvious solution but it may hold problems I support the solution proposed and the House’s membership becoming 600. I note that by 2022 the Cross Benches will have to lose about 35 Peers, either through retirement or death. Looking at the past figure, that number is achievable and I shall do my bit to contribute.
ParlaMint-GB_2017-12-19-lords.u24	A doctor speaks.
ParlaMint-GB_2017-12-19-lords.u25	My Lords, I was not referring to death but more to longevity and retiring. I support the proposals.
ParlaMint-GB_2017-12-19-lords.u26	My Lords, in thinking about our future, it might be wise to remind ourselves of the words of another Burns: “O wad some Power the giftie gie us To see oursels as ithers see us It wad frae mony a blunder free us, An' foolish notion” I have said many times before that I love this place. I find that if you are not sure what you think about something, listening to a debate in this place will straighten you out. The debate the other day in the name of the noble Baroness, Lady Hollis, on universal credit was extremely moving as well as being informative, as was the debate moved by the most reverend Primate the Archbishop of Canterbury on education. What do they have in common? They were almost entirely ignored by people outside this House, which is portrayed as a load of people in pyjamas or strange outfits every time we appear in the newspapers. If we are to change the perception—because perception is everything in politics—we have to change ourselves. Along with everyone else, I pay tribute to the fantastic work that the noble Lord, Lord Burns, and his committee have done As some noble Lords may recall, in her latter years, Baroness Thatcher used to come to this House. Because she was a little frail, she needed someone to look after her. Her office would ring me up and she would say, “I am coming to the House this afternoon, would you like to look after me?” And I would drop everything and come. One day I said to her, “Margaret, you’ve done your bit for the country. People love to see you, but you don’t need to come here so often”. Whereupon she prodded me in the chest and said, “Michael, when we accepted appointment to this place it became our duty to attend. Now how often are you here when I am not here?”. I have never forgotten that. The size of the House is a problem, but so, also, are people who accept appointment to this place and do not take it seriously. To take it seriously, I am afraid that you have to come quite a lot. It is quite a complicated place to understand, which is why, down at the other end of the corridor, they have not a clue what we are about On the Burns report itself, I thought that it was almost impossible for that committee to produce a report that would carry support throughout the Benches, and I pay tribute to the noble Lord, Lord Newby, and to the Liberal Party—this may be a first. I thought that his speech was statesmanlike and the behaviour of his party entirely constructive, even though it is not to its advantage, and we should take a lead from that. By the way, if noble Lords ever want to solve a polynomial simultaneous equation, the noble Lord, Lord Burns, is clearly the man. He can take a whole load of complex variables and put them together in what is a brilliant report. Believe me, this is as good as it gets. As my noble friend Lord Cormack indicated, it is probably our last and only chance to reform ourselves Of course, as many noble Lords have already said, none of this will fly unless the Prime Minister actually gives an undertaking. Some have said that we cannot rely on convention, but this whole place has existed on that for 500 years—even where we sit is determined by convention. We are not a rules-based House. Yes, we can depend on convention, but it does require the Prime Minister to give a clear undertaking I notice that the Leader of the House spoke at the beginning of this debate and is not speaking at the end, and the Leader of the Opposition is speaking at the end of the debate and will no doubt respond to it. I say to my noble friend the Leader of the House, if I may borrow a phrase from a former Prime Minister, that the hand of history is upon her shoulder. She spoke at the beginning of this debate for the Government. I hope at the end of this debate, she will speak in her role as Leader of the House for the whole House and go to the Prime Minister and explain to her how important it is that she embraces the clear consensus that we are seeing across every corner of the House. Her moment has come, just as happened with a previous Leader, now the Marquess of Salisbury, then Lord Cranborne. The leader of our party in opposition wanted to have an elected House. He informed all of us of this notion by writing an article in the Daily Telegraph. Lord Cranborne, as he then was, defied him and ensured that we ended up with a compromise of the 92 hereditary Peers and the reform that was brought in by a Labour Government. So there is a precedent for leaders—even in opposition—of this House I look forward to the speech by my noble friend Lord Strathclyde, who, I understand, made it a condition of his continuing in succession to Lord Cranbourne, who was sacked for his pains—in earlier times his head would have been cut off—that those proposals were taken forward. That is why we are sitting here today with the opportunity to produce a reformed House that will be respected and held in high regard by the public who have sent us here.
ParlaMint-GB_2017-12-19-lords.u27	My Lords, the noble Lord, Lord Forsyth, is always a hard act to follow. I come to this debate somewhat from the outside but I have had a little to do—to a greater or lesser extent—with the structure of bodies in the public sector. I have set some up and dismantled some. Your Lordships’ House has always seemed to be effective, very often in spite of, rather than because of, its structure In contemplating an ideal second Chamber I would rather not have started from here, but we are not in the realms of Utopia and are strictly confined by the art of the possible. Within the art of the possible it is so desirable to limit our numbers that a very pragmatic solution must be worked out. We have agreed this. Even the reform of numbers is not at all an easy task and I congratulate the noble Lord, Lord Burns, on his elegant proposals. Not only do they fit the bill, they achieve the objective without transgressing other boundaries by leaving much to the discretion of party and other groups As we are in the realm of the practical, reasonable and feasible, on all these tests it seems to me that the noble Lord’s proposals pass muster. They are practical: they inexorably reduce numbers over time and maintain that reduction. They are reasonable: they leave to the parties who must go, but also reflect electoral decisions without destroying balance. This is particularly ingenious. They are feasible: all we need do is agree; no legislation is needed. They would serve our country better for the time being, which is what we must do. We have the privilege, among other privileges, of serving the public. It is to serve our country better that matters. I commend the proposals.
ParlaMint-GB_2017-12-19-lords.u28	My Lords, this report has my wholehearted support. It is a most thoughtful and imaginative piece of work. I am not one of those who appear able to contemplate with equanimity the ever-growing expansion of this House. Doubtless many of us would have preferred, to a greater or lesser degree, some difference in one or other of the several particular measures that together go to make the intricate overall solution proposed. Some might have preferred to end up with a House smaller than 600, some to have achieved a cap in a shorter time, some to have provided for longer than 15-year fixed-term appointments and so on I will make two comments on this. First, any such detailed considerations are surely for a future debate. Today is for determining the House’s support for or rejection of the report in principle. In any event, we need to bear in mind that any change to the proposed scheme has knock-on effects and that this has been unanimously hammered out by a most expert and experienced group—I have the highest regard for each one of them—after months of hard work. The plain fact is that unless a very substantial consensus in favour of this scheme is arrived at today by the House as a whole, none of this will happen and we will instead continue—probably indeed worsen—our present unsustainable position A substantial consensus is required, but, above all, this proposal will then require the support of 10 Downing Street. If we can get that now, it will not be easy for any of the Prime Minister’s successors to collapse the scheme later—certainly everybody would then know where the blame lay. To my mind, this is the best possible scheme for winning the Prime Minister’s support. It provides for much the same number, rate and nature of future appointments as in years past—certainly, if one puts aside the perhaps over-fecund years of Mr Blair and Mr Cameron. It allows both for refreshment of the House, including new Front-Bench appointments, and for its rebalancing by reference to the latest general election results. If there are to be significant changes to any of the pieces which go to make up this intricate jigsaw solution, I respectfully suggest that they be only changes suggested by No. 10 itself. If that is the price for winning the necessary consent to the constraints on the Prime Minister’s future prerogative powers of appointment that we now propose, so be it I know that one or two Members of your Lordships’ House are concerned at the 15-year fixed-term proposal on the basis that it may discourage youthful appointments of people who would then be left high and dry in their 50s or 60s. This is an overstated objection. Essentially, this is a House of elders, of people whose real value is their acquired expertise and lifetime experience. Generally, they should only rarely be appointed before they are around 50 or so. In that case, given that the scheme expressly provides for them to take a five-year sabbatical during their fixed term without it counting towards the 15 years, they would be upwards of 70 when their term ended. Surely if what they seek is essentially a political career, it is election to the Commons that they should be after and not appointment here Really, this is a once-in-a-generation opportunity to reduce and cap the size of this House. I respectfully urge your Lordships to seize it.
ParlaMint-GB_2017-12-19-lords.u29	My Lords, I played a small part when we last reduced the size of this House, then far more ambitiously than is proposed in this report and with surgical precision. As with all attempts to do anything surgically, it was pretty painful, but we got there in the end and remarkably quickly. I am sorry that the report has not taken up that precedent and suggested that all groups reduce their number by 20%. We could probably do it by the Summer Recess and then continue on our own way I have three reasons why I am concerned that the report will trigger a series of unintended consequences. The first is on the 15 years; the second is on the cap on the numbers; and the third is on the reduction of prime ministerial patronage. However, I want first to join all those who have congratulated the noble Lord, Lord Burns, and his team on creating a short and very readable report that genuinely tries to be imaginative I disagree that the problem is overcrowding in this House. At some key moments, particularly at Question Time, it feels overcrowded, but that has been true for most of the past 40 years. Our daily attendance is about 480. There have been only three Divisions in the entire history of the Lords where more than 600 Members have voted. The average vote is less than 400, all within this new limit of 600. If noble Lords cannot find a seat at Question Time, why not change it to 5.30 pm? That might reduce attendance. So, I do not believe that the case for overcrowding has been made Having been Conservative Chief Whip and Leader of the House, or the Opposition, for a total of 19 years, I know that many former Members of another place came here as Peers. I encourage them not to believe that the Lords is just like the House of Commons, only 20 years older. It is a very different House; it operates very differently and, apart from anything else, we are here for life. Yet the proposal for 15-year terms runs the danger of us becoming exactly that—an older version of the House of Commons. It will discourage Members aged under 50, perhaps even under 60, thus making us even older. Why would someone in their 40s join the House, only to leave 15 years later? Fewer Members would volunteer to join the Front Bench; both the Leader of the House and the Leader of the Opposition are considerably younger than the modal age of 75. Would they have joined if they could be here for only 15 years? If by chance a younger Member joined your Lordships’ House, might they then not use this House as a stepping stone to election to the House of Commons? We have always set our face against that in the past Take a Labour Peer, appointed in 1985, slogging away on the Opposition Front Bench. Just as the new dawn arose in 1997, they would start to pack their bags to leave two and a half years later. The 15-year terms of both my noble and learned friend Lord Mackay of Clashfern and the noble and learned Lord, Lord Irvine of Lairg, would have run out while they were Lord Chancellor. Although the noble Lord, Lord Burns, says that this can be extended, it would have meant that my noble and learned friend Lord Mackay of Clashfern would have gone in 1997. Just think of the wisdom and good sense that we would have missed On the cap and the limiting of prime ministerial patronage, this report is not just a simple method of reduction; it strikes at the very heart of constitutional powers. It may happen only rarely, but to remove the ability of the Prime Minister to threaten to increase the number of Peers could lead to an even more assertive House than we have today. We sit in a large and inexpensive House. A new, time-limited House would demand staff and salaries, and we have already heard that cry starting today. Most people know the Lords as a repository of good sense and wisdom—“elders”, the previous speaker called us. With our limited time here, we could concede that reputation to the House of Commons. Of course, we need restraint and responsibility. Prime Ministers Blair and Cameron showed too little but Prime Ministers Brown and May have, so far, presided over a declining House. In the last year for which figures are available, eight Peers were created and 31 left. If I extrapolate that over five years, we would drop by 115 and get to 650 in seven years. It is that responsibility and restraint that we should encourage, and we should do that starting today.
ParlaMint-GB_2017-12-19-lords.u30	To ask Her Majesty’s Government whether they plan to review their policy on capping domestic energy prices in the light of measures taken by the energy industry to change tariffs to help those most at risk, and to increase competition.
ParlaMint-GB_2017-12-19-lords.u31	My Lords, it is the Government’s intention to legislate, and a draft Bill is currently undergoing pre-legislative scrutiny by the Business, Energy and Industrial Strategy Select Committee. The Government will consider the committee’s report before making the final decision on introducing the Bill. The Competition and Markets Authority found a very significant detriment to consumers, and it will take meaningful and long-lasting reform to be assured that there is effective competition across the whole of the market.
ParlaMint-GB_2017-12-19-lords.u32	My Lords, I find that a very interesting Answer. When will Her Majesty’s Government look at what Ofwat has done for water consumers, to their benefit, and decide that Ofgem can do an equally good job? Surely Her Majesty’s Government can see that there may not be perfect competition, but there is certainly a lot of competition, with new entrants coming in all the time, and there is an extensive number of schemes to help the disadvantaged. How can a totally uncosted subsidy help when all it will do is disrupt the market even further, above and beyond what is already happening through the Government’s green taxes?
ParlaMint-GB_2017-12-19-lords.u33	My Lords, Ofgem does a very good job, just as my noble friend has made it clear that Ofwat does a very good job. We agree with Ofgem that the energy market is not working for all consumers, and we are determined to address the detriment suffered by those overpaying for their energy. Because the market is not working, we feel that it is necessary to consider introducing a Bill, which is why we have introduced the draft Bill and sent it to the appropriate Select Committee. When the committee has produced its report, we will consider the appropriate way forward and introduce legislation if necessary. That legislation will be temporary, and we hope that afterwards the market can work slightly better.
ParlaMint-GB_2017-12-19-lords.u34	My Lords, poor housing standards are the main cause of high energy bills. Could the Minister explain the thinking behind getting rid of the zero carbon homes standard?
ParlaMint-GB_2017-12-19-lords.u35	My Lords, the noble Baroness is quite right to say that bad insulation is not good for heating bills, so we would like to do better on that front. I would prefer to write to the noble Baroness in greater detail on the point she raised, but we are doing what we can to help all more vulnerable consumers with their heating bills. She will be aware of the warm home discount and the cold weather payments; and there is the winter fuel payment, which quite a number of noble Lords probably benefit from and which is worth up to £300 for a couple and £200 for an individual.
ParlaMint-GB_2017-12-19-lords.u36	My Lords, the noble Lord says that Ofgem is doing a good job, but over the last few years we have seen evidence that the industry raises prices as quickly as possible and reduces them—when the international market shows a reduction in prices—as slowly as they can. Has Ofgem not used all the powers it has to intervene in the market?
ParlaMint-GB_2017-12-19-lords.u37	My Lords, what I made clear in response to my noble friend’s supplementary was that I believe Ofwat has done a very good job. Ofgem can do a very good job, but we agree with it that the energy market is not working as it should, possibly for the reasons the noble Lord has pointed out. That is why we have brought forward a draft Bill and are looking at what it might do. We will respond after the BEIS Select Committee has produced its report on that Bill.
ParlaMint-GB_2017-12-19-lords.u38	My Lords, the Church of England has partnered with several organisations in an initiative called the Big Church Switch, which seeks to provide consumers with better prices from the UK’s cleanest energy suppliers, to make switching simpler and to protect the environment. What steps are Her Majesty’s Government and Ofgem taking to learn from such initiatives as this to enable consumers to make informed choices, both financially and environmentally?
