ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u38	Temporary accommodation ensures that no child is left without a roof over their head. Homelessness prevention is at the centre of our approach to protecting the most vulnerable. We are spending over £950 million until 2020 to prevent homelessness and rough sleeping, as well as implementing the most ambitious set of legislative reforms in decades with the Homelessness Reduction Act 2017.
ParlaMint-GB_2017-10-30-commons.u39	I asked the Minister what recent estimate he had made of the number of children in temporary accommodation. The answer is that there are more than 120,000—up 66% since his Government came to power. Why?
ParlaMint-GB_2017-10-30-commons.u40	The number of children in temporary accommodation is below its peak in 2006, but we are certainly not complacent. That is why we have put £402 million into the flexible homelessness support grant over the next two years so that local areas can plan strategically to reduce the number of people in temporary accommodation.
ParlaMint-GB_2017-10-30-commons.u41	Three and a half billion pounds has been spent on temporary accommodation in the private sector in the past five years. Most of the cost of this is found from the Department for Work and Pensions, even for households that work. Would this money not be better spent on building and letting council homes whose rent would be less than half that of expensive, poor-quality, temporary accommodation?
ParlaMint-GB_2017-10-30-commons.u42	That is exactly why we have introduced the flexible homelessness support grant and are devolving £402 million to local authorities over the next two years so that they can plan more strategically, as I said to the hon. Member for Luton South (Mr Shuker). The hon. Lady will be pleased to know that the use of temporary accommodation in her area is actually falling.
ParlaMint-GB_2017-10-30-commons.u43	The number of families in temporary accommodation in Croydon has doubled in seven years. Right now, two thirds of families in Croydon in local authority housing are in debt and at risk of eviction directly because of universal credit. How will the Minister stop more families in Croydon on universal credit becoming homeless and spending the winter months in temporary accommodation?
ParlaMint-GB_2017-10-30-commons.u44	The latest available figures show that the number of people in temporary accommodation in Croydon is actually falling. This Government have given £1 million to Croydon for the homelessness prevention trailblazer that it put in for. We have also given £870 million in discretionary housing payments to help people who have short-term difficulty in sustaining their accommodation.
ParlaMint-GB_2017-10-30-commons.u45	Wealden District Council has provided a stellar service supporting vulnerable children and homeless children. However, pressure at East Sussex County Council may lead to a change in service provision in rural areas like Wealden. Will my hon. Friend agree to meet me and Wealden Council to help it to continue to deliver superb children’s services?
ParlaMint-GB_2017-10-30-commons.u46	I hear what my hon. Friend says and I will certainly be willing to meet her. We will get that meeting into the diary.
ParlaMint-GB_2017-10-30-commons.u47	Child victims of human trafficking are the responsibility of local government, but adult victims of human trafficking are dealt with nationally. Would it not be a good idea to make child victims of human trafficking looked after nationally, which would also free up the money for local government to look after other children?
ParlaMint-GB_2017-10-30-commons.u48	My hon. Friend raises an important point. This is a very important issue that we are considering very carefully, particularly as we come up to the local government finance settlement. I certainly hear what he says, and no doubt his views will be considered as we take this area of policy forward.
ParlaMint-GB_2017-10-30-commons.u49	Northamptonshire has a disproportionately large number of unaccompanied asylum-seeker children, who are very expensive for the local authority to look after. Will my hon. Friend look at the local government funding formula to make sure that Northamptonshire is getting its fair share of resources?
ParlaMint-GB_2017-10-30-commons.u50	I am aware of the issues that my hon. Friend puts to the House, particularly those that relate to the motorway network that runs through Northamptonshire. He knows that we have undertaken to conduct a fair funding review to see how local government resource is distributed. We are still committed to that, and we will take the work forward shortly.
ParlaMint-GB_2017-10-30-commons.u51	Despite the shocking increases in homelessness overseen by this Government, the recent National Audit Office report found that the Department has not produced a strategy to tackle homelessness. When is it going to come up with a plan and publish it, so we can finally see some action for the 120,000 homeless children in Britain today?
ParlaMint-GB_2017-10-30-commons.u52	As the hon. Lady knows, the Government are doing a significant amount to change the culture across the country and make sure that we do far more in relation to prevention. Through the Homelessness Reduction Act 2017, we are confident that we are going to see significant progress. As I said at the start of this group of questions, we are putting £950 million into this up to 2020.
ParlaMint-GB_2017-10-30-commons.u53	5. What discussions he has had with newly elected mayors on delivering economic growth.
ParlaMint-GB_2017-10-30-commons.u54	8. What discussions he has had with newly elected mayors on delivering economic growth.
ParlaMint-GB_2017-10-30-commons.u55	14. What discussions he has had with newly elected mayors on delivering economic growth.
ParlaMint-GB_2017-10-30-commons.u56	I have met or corresponded with every metro Mayor in England during the last month. My right hon. Friend the Secretary of State is the midlands engine champion, and he chairs an inter-ministerial group to drive forward its growth.
ParlaMint-GB_2017-10-30-commons.u57	Does the Minister agree that one of the vital roles to be played by elected Mayors, such as Andy Street in the west midlands, is to focus on skills—particularly in areas such as the Black country, where we have a lot of young people without basic skills—to make sure that young people can take the opportunities and the jobs that are out there and drive economic growth?
ParlaMint-GB_2017-10-30-commons.u58	As my hon. Friend is aware, Andy Street is already playing a vital role in tackling the skills gap. My hon. Friend will also be aware that we are devolving the adult education skills budget from 2019 to support all our metro Mayors as they drive forward skills in their area.
ParlaMint-GB_2017-10-30-commons.u59	The Government’s devolution to city region Mayors has been a real success in the west midlands. Last month, Andy Street announced £2.1 million for the region’s creative and technology industries. Does my hon. Friend agree that devolution can bring only prosperity, jobs and a bright future to the people of my constituency and across Walsall?
ParlaMint-GB_2017-10-30-commons.u60	I agree with my hon. Friend that Andy Street is a prime example of how the leadership and accountability of metro Mayors drive forward our country’s economy. Only this month, he approved a bike-sharing scheme in the west midlands. Move over, Boris bikes; it is time for Street cycles.
ParlaMint-GB_2017-10-30-commons.u61	Does the Minister support the innovative work of Andy Street to boost the number of houses in the west midlands—absolutely key to economic growth—by intensifying the use of urban areas to take pressure off our green belt, particularly around Solihull?
ParlaMint-GB_2017-10-30-commons.u62	The Mayor of the west midlands, Andy Street, is determined to build the houses we need. We are supporting development across our country through the £2.3 billion housing infrastructure fund, and the outcome of the bidding process will be available shortly.
ParlaMint-GB_2017-10-30-commons.u63	The CBI, the Federation of Small Businesses, the TUC and many of the Minister’s colleagues in local government believe that there is a very strong economic case for a devolved settlement for One Yorkshire. When the Minister whiles away the wee hours working through his ministerial box, does he ever think that he might be on the wrong side of this argument?
ParlaMint-GB_2017-10-30-commons.u64	The Government have been absolutely clear, not least in the letter from my right hon. Friend the Secretary of State on 15 September, that we will not undermine or unpick the South Yorkshire devolution deal, which, after all, was legislated for by this House of Commons. However, I acknowledge that the hon. Gentleman and I have held recent discussions, which have been extremely helpful. We have also been clear that completion of the South Yorkshire deal does not preclude any other devolution discussions across Yorkshire.
ParlaMint-GB_2017-10-30-commons.u65	I am pleased that responsibility for the health and work programme has been devolved in Greater Manchester to the metropolitan Mayor, Andy Burnham, but may I ask the Minister whether the funding that has been made available—£52 million, including European structural fund money—will be continued beyond the period of the SF funding, with the Government making good that money? Will responsibility for the programme continue to be devolved to the Manchester Mayor?
ParlaMint-GB_2017-10-30-commons.u66	The Mayor of Greater Manchester, Andy Burnham—[Interruption.] We have to give Labour Members something to cheer about, don’t we? He is doing an exceptional job in driving forward Manchester and its economy. The hon. Lady will be aware that a recent guarantee was put in place for all European funding. What happens after that guarantee is ultimately a matter for this House.
ParlaMint-GB_2017-10-30-commons.u67	Far from being devolution to the street, this is more like a devolution cul-de-sac. Is it not the truth—[Interruption.] The Secretary of State can learn something from this. Is it not the truth that devolution has stalled? That is bad news for those with devolved settlements, but it is worse news for the 32 million people in England who do not have any devolution settlement whatever. When can we expect to see the framework for devolution in England?
ParlaMint-GB_2017-10-30-commons.u68	Some 33% of England now has an elected Mayor, and it is the Conservative party that is returning power back from London to our regions. Unlike the Labour party, which just wants to nationalise and centralise everything, I can say, like Citizen Smith, “Power to the people!”
ParlaMint-GB_2017-10-30-commons.u69	It is clear from what the Minister says that Andy Street is doing a grand job in the west midlands, but what about areas that do not have elected Mayors? Will the Minister assure me that they will be considered when the Government look at further devolution projects? We urgently need one in northern Lincolnshire.
ParlaMint-GB_2017-10-30-commons.u70	The Government’s manifesto committed to provide clarity about what devolution means for different administrations across England by setting out a clear devolution framework. As we set out the next steps on our industrial strategy, this is exactly what we intend to do, as well as clarifying things like town deals for places such as Grimsby.
ParlaMint-GB_2017-10-30-commons.u71	Bristol is the only city outside London to make a net contribution to GDP, but we need money to invest in infrastructure if we are to make the most of that economic contribution. We now have a bid in for £250 million from the housing infrastructure fund. May I urge the Minister and the Secretary of State, who is very familiar with Bristol and the needs of the city, to look at that seriously, because the only way we can unlock the investment is to have that money?
ParlaMint-GB_2017-10-30-commons.u72	The Mayor of the West of England, Tim Bowles, has worked closely with the Government in bringing forward his housing infrastructure fund bid. As I said in answer to an earlier question, decisions about that fund will be made shortly.
ParlaMint-GB_2017-10-30-commons.u73	6. What discussions he has had with Cabinet colleagues on recent trends in the number of people given custodial sentences for non-payment of council tax.
ParlaMint-GB_2017-10-30-commons.u74	It is for magistrates courts to decide whether a custodial sentence should be imposed for non-payment of council tax, taking account of the particular circumstances in each case. There has been a slight reduction in the number of such cases since 2009-10.
ParlaMint-GB_2017-10-30-commons.u75	I thank the Minister for his reply. Is it not time that the non-payment of council tax ceased to be an offence punishable by time in jail? How can it be right that anyone should have to do time for falling into debt?
ParlaMint-GB_2017-10-30-commons.u76	I certainly agree with the hon. Gentleman that people in genuine hardship should be supported. That is why there are over 4 million people on local council tax support scheme payments throughout the country. However, we also need to recognise that every penny of council tax that is not collected means higher council tax bills for law-abiding citizens who do pay. There needs to be a form of enforcement and sanction, but it needs to be used proportionately. As the hon. Gentleman will see, the number of people getting a custodial sentence is actually falling.
ParlaMint-GB_2017-10-30-commons.u77	Guidance to local authorities advises them to be sympathetic to those in genuine hardship. Does the Minister believe that a custodial sentence—with no right of appeal, no remission for good behaviour and no requirement for a pre-sentencing report—shows sympathy for those struggling to pay their council tax, and will it lead to more or fewer families being in genuine hardship?
ParlaMint-GB_2017-10-30-commons.u78	Council tax, in real terms, is 9.1% lower than it was in 2010. During the Labour Government of 1997 to 2010, the cost of council tax doubled. As I said to the hon. Member for Ealing, Southall (Mr Sharma), 4 million people receive council tax support, and we are clear—we published guidance in 2013—about good practice. We want to make sure that those in genuine hardship are supported and that enforcement is proportionate.
ParlaMint-GB_2017-10-30-commons.u79	7. What steps he is taking to encourage local authorities to work with voluntary and private sector partners to establish family hubs.
ParlaMint-GB_2017-10-30-commons.u80	I welcome the development of family hubs and we know that many areas are already moving towards this model of support for children and families. Local government and its partners understand the needs of their communities best, and they should be the ones to determine how they provide services for families.
ParlaMint-GB_2017-10-30-commons.u81	As we know, the wheels can fall off any family’s wagon at any point; family hubs can be an essential part of the solution, to improve the lives of children up to the age of 18. Does the Minister agree that more local areas should upgrade their children’s centres to family hubs so that we can do this essential work?
ParlaMint-GB_2017-10-30-commons.u82	I welcome my hon. Friend’s commitment to excellent services for children and families. Ultimately it is up to councils to decide on the best solution for their area, but it is important that the whole family has access to the right services to meet their needs.
ParlaMint-GB_2017-10-30-commons.u83	On that point, of the 120,000 children in temporary accommodation across 77,240 families, 28% are housed in boroughs other than their own, and the receiving boroughs often have no idea that those children—many of them vulnerable—have entered their areas. Will the Minister consider the suggestion of providing family hubs at large-scale temporary accommodation centres outside home boroughs?
ParlaMint-GB_2017-10-30-commons.u84	We are clear that when people are placed in temporary accommodation, access to things such as schooling is taken into account. We are also clear that when people are moved to a neighbouring or different borough, they should be informing the receiving borough and support should be given to those families. I am working to support London authorities that are working with the Greater London Authority to improve the procurement of temporary accommodation across London.
ParlaMint-GB_2017-10-30-commons.u85	It is good to hear Members on both sides of the House talking about the value of early intervention and family hubs. I ask the Minister to come to Manchester to see the early years delivery model, which is now transforming lives in those early years, working across the voluntary and private sectors. Critical to those family hubs is the support of the local authority. Does he agree that the slash and burn approach to early intervention moneys is putting children’s lives at risk?
ParlaMint-GB_2017-10-30-commons.u86	I am aware that under the northern powerhouse initiative we are putting £3.2 million into Manchester for early intervention. The next time I am in that neck of the woods I would certainly be keen to come and see what is working in Manchester. I can reassure the hon. Lady that the Government are committed to early intervention, both through children’s centres and the troubled families programme.
ParlaMint-GB_2017-10-30-commons.u87	Across swathes of England, children’s services are now in crisis. Seven years of Government funding cuts to services supporting families is failing children and driving councils to the financial brink. Only last week, a poll showed that the majority of councillors in the Minister’s party did not back the cuts. When will the Minister finally admit the growing emergency in children’s social care and take some action, ahead of the Budget, to deal now with this major crisis for councils?
ParlaMint-GB_2017-10-30-commons.u88	More than £200 billion is being given to local authorities up to 2020 to support local services. Children’s services and early intervention are among that funding stream. The Government are aware of the challenges in many areas with providing children’s services and safeguarding, and we continually look at ways in which we can support local government in that regard.
ParlaMint-GB_2017-10-30-commons.u89	9. What progress the Government have made on establishing a standardised assessment of housing need.
ParlaMint-GB_2017-10-30-commons.u90	On 14 September, we published a consultation that proposes a new standard approach to assessing housing need. The proposed approach will play a crucial role in helping to meet housing ambitions, reduce complexity and costs, and increase transparency.
ParlaMint-GB_2017-10-30-commons.u91	I thank the Minister for that answer. Understandably, more and more people want to move to Cornwall—after all, it is the best place in the UK to work, raise a family or retire—and that is putting unprecedented levels of demand on our housing stock. We currently have over 20,000 people on the housing register and young people are being priced out of ever owning their own home. Does the Minister believe that the approach he outlines will help to deliver more housing for local people in Cornwall?
ParlaMint-GB_2017-10-30-commons.u92	My hon. Friend is absolutely right. The starting point has to be an honest, open and consistent approach in assessing the number of homes an area needs. That is precisely what the new approach to housing needs assessment will deliver.
ParlaMint-GB_2017-10-30-commons.u93	My constituency is also a beautiful place to live, but homes are not being sold because they are under leasehold arrangements. Will the Minister let us know when his excellent consultation on the crackdown on unfair leasehold practices will announce its results, so our housing market can get moving again?
ParlaMint-GB_2017-10-30-commons.u94	The hon. Lady makes a very important point. We need to ensure fairness in the system, which is precisely why we launched the consultation. A very significant number of people responded to it and we will respond to it in due course.
ParlaMint-GB_2017-10-30-commons.u95	The housing need White Paper also covers viability assessments. Their use by developers is referred to in the consultation as gaming the system to avoid section 106 contributions, such as affordable housing. Does my hon. Friend agree that we need to look at whether the assessments are appropriate for the market today, or whether they should be scrapped completely?
ParlaMint-GB_2017-10-30-commons.u96	As my hon. Friend will know, we are consulting on proposed changes to viability assessments as part of the local housing needs assessment. The White Paper states that under our proposals we would expect assessments of affordable housing infrastructure needs to be considered at the plan-making stage, and that will ensure more certainty.
ParlaMint-GB_2017-10-30-commons.u97	My constituents in the villages of Kidlington, Yarnton and Begbroke find themselves in a perverse situation. Cherwell District Council is proposing to build 4,400 homes in the green belt between the villages to meet Oxford city’s unmet housing need. Due to the sequencing of the plans, however, that unmet need is now down to go under the new proposed assessment. In short, the districts are putting the cart before the horse. Will the Minister agree to meet me, so I can explain the situation more fully and reassure my constituents that their grave concerns about this plan will be heard?
ParlaMint-GB_2017-10-30-commons.u98	Of course I will meet the hon. Lady. We are committed to retaining the current green belt protections. There may be exceptional circumstances in which a local authority chooses to amend its green belt, but it has to take its local community with it.
ParlaMint-GB_2017-10-30-commons.u99	10. What steps the Government are taking to support the delivery of economic growth through the midlands engine.
ParlaMint-GB_2017-10-30-commons.u100	A strong midlands engine is vital to Britain’s economy. We have provided the midlands with £1.9 billion of local growth funding, and in March we launched the midlands engine strategy to drive economic growth and improve quality of life.
ParlaMint-GB_2017-10-30-commons.u101	Does my right hon. Friend agree that a clear focus of the midlands engine should be improving east-west connectivity—specifically, in relation to my constituency, a direct rail link to East Midlands airport and the new east midlands gateway?
ParlaMint-GB_2017-10-30-commons.u102	I agree with my hon. Friend that transport links are critical to the success of the midlands engine. Midlands Connect predicts that improving connectivity across the midlands can secure a £1 billion-a-year boost to the regional economy and create some 300,000 jobs. The recently commissioned east midlands gateway connectivity study will consider carefully how to achieve this, and it will be looking at the East Midlands airport.
ParlaMint-GB_2017-10-30-commons.u103	The Secretary of State has just said that transport links are essential if the midlands engine is to drive the economic growth we all want. Will he explain, therefore, why his colleagues will not allow the full electrification of the midland main line?
ParlaMint-GB_2017-10-30-commons.u104	The hon. Gentleman will know that under this Government, since 2010, this country has seen record investment in transport infrastructure, including in the midlands. That includes the recent announcement about the help the Government will provide in creating the midlands rail hub concept.
ParlaMint-GB_2017-10-30-commons.u105	From Tetney Lock to Chapel St Leonards, the coastline in my constituency is among the most beautiful in the midlands—and, dare I say it, in the country. Does my right hon. Friend share my hope, therefore, that the midlands engine will travel as far as the Lincolnshire coastline to invest in the vital infrastructure we need in our rural and coastal economies there?
ParlaMint-GB_2017-10-30-commons.u106	I agree with my hon. Friend on many fronts, including how beautiful her constituency is, and the midlands engine does indeed travel that far. She is right to raise the particular challenges faced by our coastal communities, which is why we are launching a fifth round of our coastal communities fund early next year. I urge her to get her application in.
ParlaMint-GB_2017-10-30-commons.u107	The midlands engine sits as a sister organisation to the northern powerhouse. In the light of the comments earlier, would the Secretary of State be willing to meet Yorkshire and the Humber MPs to discuss the future of devolution in the area, in order to drive economic growth in the region?
ParlaMint-GB_2017-10-30-commons.u108	I recently received a request to meet Yorkshire and the Humber MPs and local council leaders. I have accepted that request and look forward to the meeting.
ParlaMint-GB_2017-10-30-commons.u109	12. What plans he has to increase the number of affordable homes.
ParlaMint-GB_2017-10-30-commons.u110	The Government are investing more than £9 billion between 2016 and 2021 to deliver a wide range of affordable housing, including homes for social rent, to meet the needs of a broad range of people. We have also confirmed long-term rent certainty for social landlords, which will create a stable investment environment to support councils and housing associations.
ParlaMint-GB_2017-10-30-commons.u111	Local housing associations such as Saxon Weald in my constituency have welcomed recent Government announcements. What are the Government doing to help them to build more affordable homes?
ParlaMint-GB_2017-10-30-commons.u112	Part of the £9 billion I just noted is the £2 billion of additional funding that my right hon. Friend the Prime Minister announced, and that includes the clarity on rent. Housing association leaders I have spoken with are very positive about these measures, which will allow them to build additional affordable homes as well as improve current stock.
ParlaMint-GB_2017-10-30-commons.u113	Will the Minister read something of the history of Harold Macmillan? He was a Prime Minister who actually built houses. This Government are not building houses and certainly not building affordable houses. When will there be an imaginative plan to build houses?
ParlaMint-GB_2017-10-30-commons.u114	Almost 1 million homes have been built since 2010. The hon. Gentleman talks about our record. I can tell him that over the past six years more affordable homes have been built than were built in the first six years and the last six years of the last Labour Government. We will take no lectures from Labour on building affordable homes.
ParlaMint-GB_2017-10-30-commons.u115	Has the Secretary of State had any further talks with lenders? Housing in St Albans is some of the most unaffordable in the country, and trying to get mortgages or extended lending terms is very difficult for those struggling to get on the housing ladder.
ParlaMint-GB_2017-10-30-commons.u116	As my hon. Friend will know, we have announced an extra £10 billion for the Help to Buy scheme, and there are several other schemes in the market, but ultimately this is about making sure that more homes are built. That is what will drive affordability.
ParlaMint-GB_2017-10-30-commons.u117	The City of York consultation on the local plan closes tonight, but it has failed massively on the tenure needed in the city and is 5,800 short of statutory guidance. Will the Minister ensure that if guidance is set it is followed?
ParlaMint-GB_2017-10-30-commons.u118	We want to make sure that the right number of homes are built in the right places, and of course the plan will be assessed by an inspector.
ParlaMint-GB_2017-10-30-commons.u119	15. What plans he has to increase the number of homes constructed each year; and if he will make a statement.
ParlaMint-GB_2017-10-30-commons.u120	Our housing White Paper “Fixing our Broken Housing Market”, published in February, sets out how we will build the homes this country needs. Broadly speaking, we want to do this by diversifying those building homes, increasing build-out rates, supporting homebuyers and releasing more land.
ParlaMint-GB_2017-10-30-commons.u121	Some 4,500 homes have been built at Beaulieu Park in Chelmsford and another 5,000-plus are planned, but the roads are at capacity and we need a new railway station and a bypass. That is Essex’s No. 1 priority for the housing infrastructure fund. Will the Minister meet me to discuss this important infrastructure to unlock housing?
ParlaMint-GB_2017-10-30-commons.u122	My hon. Friend is a passionate supporter of new housing for her constituents, which is very welcome. Of course I will meet her . As she knows, I am not able to comment on any particular bids, but I can tell her that there has been a great deal of interest in the £2.3 billion for the housing infrastructure fund.
ParlaMint-GB_2017-10-30-commons.u123	18. Does the Minister agree that as we embark on a major housing programme we should be building the houses of the future, such as net zero energy bill homes, which are particularly helpful to people on low incomes because they do not have to pay gas and electricity bills?
ParlaMint-GB_2017-10-30-commons.u124	Yes, of course we should be doing precisely that. I should add, however, that since 2010 we have strengthened the energy requirements for new homes by 30%, which has reduced energy bills by an average of £200.
