ParlaMint-GB_2017-02-01-commons.u1	Object Bill to be read a Second time on Wednesday 8 February.
ParlaMint-GB_2017-02-01-commons.u21	May I agree with the Secretary of State in that we are very impressed with the strength of the Union, too––that is, the European Union? Beyond the common travel area, there appears to be a significant gap between the wishful thinking and the reality of movement of goods. What assessment has the Secretary of State made of the effect of exiting the customs union on the movement of goods and services between Northern Ireland and the Republic?
ParlaMint-GB_2017-02-01-commons.u22	As the hon. Gentleman will have seen, the Prime Minister’s speech underlined the clear desire of the Government in the negotiations ahead to get the best possible trading arrangements with the European Union and therefore we are reflecting on how we do that, whether that is some form of membership of a customs union or a bespoke customs agreement. He should be intent on our desire to get that deal and to see a frictionless border between Northern Ireland and the Republic of Ireland.
ParlaMint-GB_2017-02-01-commons.u23	I welcome the comments of the Secretary of State on having an election that produces parties that want to work together, because that is exactly what we want. When it comes to the common travel area, have we looked at the legal implications, not just within other Departments but in how it is respected by Europe itself? Does it really exist there? Do they see it as a law that stands in place?
ParlaMint-GB_2017-02-01-commons.u24	The hon. Gentleman may be interested to know that the ability for the Republic of Ireland and the United Kingdom to make arrangements in relation to the common travel area has been recognised in previous EU agreements. It is therefore that approach that we take in securing the future of the common travel area and underlining its importance to our European partners. I am positive that we can do that.
ParlaMint-GB_2017-02-01-commons.u25	2. What assessment he has made of the effect of the political situation on inward investment into Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u26	The economy in Northern Ireland continues to grow. Since 2010, there are 54,000 more people in work and, over the year, the employment rate has increased and the claimant count has now fallen for the ninth consecutive month. The Government are committed to working with the Northern Ireland parties to bring about political stability. This is key to bringing further growth and investment to Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u27	Some 33.4% of all exports from Northern Ireland go south across the border and 54.7% go to the EU. Leaving the EU will affect Northern Ireland more than any other region in the UK. The previous answer was pretty vague, so what specific steps will the Secretary of State take to ensure that those exports are protected in order to protect inward investment?
ParlaMint-GB_2017-02-01-commons.u28	The specifics of the mechanism are for the negotiation, but what we should understand is that Northern Ireland produces high-quality goods, has a high-skilled employment base and it will be successful. We will facilitate that.
ParlaMint-GB_2017-02-01-commons.u29	Does the Minister agree that news from Northern Ireland is seen, read and heard across the world? Is it not important, therefore, that the institutions get up and running again straight after the forthcoming elections to give confidence to potential investors right across the world that Northern Ireland is, indeed, a great place to invest?
ParlaMint-GB_2017-02-01-commons.u30	My hon. Friend, who is very wise on Northern Ireland issues and makes a massive contribution, is right. We can do much from Westminster, but it is the parties in Northern Ireland that need to take responsibility, come together and guide the economic growth that is so needed in Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u31	As the Secretary of State noted, there is an Assembly election that will be followed by negotiations on ministerial responsibilities, all in uncertain times. Can the Minister offer any assurances that austerity will not be the rock upon which peace founders? Will the funding for legacy issues be guaranteed in the new Assembly, and will funding for other policy imperatives be eased? Will he ensure that the Assembly can function properly in financial terms?
ParlaMint-GB_2017-02-01-commons.u32	The Government are committed to developing an economy that works for everybody in the United Kingdom. We are implementing an industrial strategy, which has a massive part to play in Northern Ireland. I welcome the consultation that has been launched, which includes Northern Ireland. The economy in Northern Ireland is strong. There is a desire between the UK Government and the Republic of Ireland to ensure that we have a constructive and positive relationship in the future.
ParlaMint-GB_2017-02-01-commons.u33	7. My hon. Friend will be aware that the main parties in Northern Ireland have endorsed the devolution of corporation tax powers to the Assembly, which would have a transformative effect on the economy of Northern Ireland. Does he agree that it would be a tragedy if the chance to do so were lost due to the lack of a functioning Executive and Assembly?
ParlaMint-GB_2017-02-01-commons.u34	The Government believe that reducing the rate of corporation tax to 12.5% in Northern Ireland could bring significant benefits for jobs, investment and growth. I hope that we can return to the wider progress we have proposed on this issue following the Assembly election and the formation of a new Executive.
ParlaMint-GB_2017-02-01-commons.u35	Does the Minister accept that, with unemployment in Northern Ireland at its lowest level since 2008 and Northern Ireland posting the highest increase in exports of any region of the United Kingdom last year, the Executive were making substantial progress in improving the economy of Northern Ireland over the previous two years?
ParlaMint-GB_2017-02-01-commons.u36	I recognise all those statistics. It is important that we constantly reiterate the positive position that Northern Ireland is in. Like me, Members of this House and the people of Northern Ireland want the Assembly to come back together and offer guidance and leadership to make sure that we grow the economy.
ParlaMint-GB_2017-02-01-commons.u37	Those of us on the Democratic Unionist Benches certainly share that aspiration. We want to see devolution up and running, and we want to see jobs and investment. The Minister will understand our frustration and the frustration—and, indeed, anger—of the people of Northern Ireland that the good progress we were making has been put in peril, as have jobs and investment, as a result of Sinn Féin’s decision to collapse the Executive and cause an unnecessary election. Will he commit to work, over the coming weeks and months, with those of us who are in this House to improve the situation for people’s jobs and investment into Northern Ireland?
ParlaMint-GB_2017-02-01-commons.u38	I am not going to get involved in the politics of Northern Ireland and why the Executive fell down. What is important is that the people of Northern Ireland want leadership from their politicians in Northern Ireland. What I can promise the right hon. Gentleman is that the Secretary of State and I will do everything to make sure that we have a strong Assembly that offers leadership in Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u39	May I start by asking the House to accept the Labour leader’s heartfelt apologies for his mistaken statement last week, when he said that a member of the Police Service of Northern Ireland had been killed? I am sure the House will agree that we all want to see the officer make good progress. We wish him and his family well There is no doubt that political instability worries businesses, but a much bigger day-to-day threat is the burden placed on business by the crushing cost of energy in Northern Ireland. Electricity generators are charging customers 58% more than the EU average, while pulling in gross profits of €900 million a year. Will the Secretary of State meet the energy regulator urgently to impress on it the need to rein in these fat cat profiteers?
ParlaMint-GB_2017-02-01-commons.u40	We will do everything we can to ensure that there is a good economic link between the Republic of Ireland and Northern Ireland. The common economic connector is an important part of that and we will work together to resolve that issue.
ParlaMint-GB_2017-02-01-commons.u41	4. What steps he is taking to ensure that the Northern Ireland Assembly will be consulted before the triggering of article 50.
ParlaMint-GB_2017-02-01-commons.u42	We are determined that Northern Ireland’s voice will be heard. All the devolved Administrations will be fully engaged in the process of preparing to leave the European Union. We will continue to consult the devolved Administrations, including through the Joint Ministerial Committee (EU Negotiations).
ParlaMint-GB_2017-02-01-commons.u43	Membership of the single market is obviously critical to Northern Ireland. Given the commitment to the common travel area, will the Minister tell us what blockages, apart from political ones, remain to Scotland and Northern Ireland remaining part of the single market?
ParlaMint-GB_2017-02-01-commons.u44	The Prime Minister was robust in her stance on wanting the freest and best possible trading arrangements with the European Union to allow UK companies to operate with and trade in the EU. I hope that the hon. Gentleman supports that.
ParlaMint-GB_2017-02-01-commons.u45	12. From his broad discussions with businesses, does my right hon. Friend agree that Northern Ireland remains a great place to do business and that we must all do all we can to ensure that that continues after we leave the EU?
ParlaMint-GB_2017-02-01-commons.u46	I agree that Northern Ireland is a great place to do business. There are some amazing companies, entrepreneurs and businesses there. That is why we want to see Northern Ireland continue to grow and flourish and have an Executive in place at the earliest opportunity.
ParlaMint-GB_2017-02-01-commons.u47	14. In his statement on 17 January, the Secretary of State said:“I will continue to have engagements across the community, with business, with the voluntary and community sector and more broadly, to ensure that we continue to listen to and reflect upon the views of people in Northern Ireland”.—[Official Report, 17 January 2017; Vol. 619, c. 782.]What meetings has he had with communities in Northern Ireland since then and what meetings does he plan between now and the Assembly election?
ParlaMint-GB_2017-02-01-commons.u48	We continue to have meetings with our community sector roundtable, and only last week I met representatives of the business community through my business advisory group. I am very clear about continuing to listen intently to views across Northern Ireland to help inform our approach as we look to the negotiations ahead with the EU.
ParlaMint-GB_2017-02-01-commons.u49	Sinn Féin’s decision unilaterally to collapse the Northern Ireland Executive means that they have excluded themselves from any discussions on article 50. Will the Secretary of State, along with the Brexit Secretary, continue to work closely with members of the Northern Ireland parties that attend this House, to ensure that our voice is heard deeply and fully in that important matter?
ParlaMint-GB_2017-02-01-commons.u50	The Joint Ministerial Committee met earlier this week in plenary session, and I was pleased to see representatives of the Northern Ireland Executive. We want that to continue. Obviously, in the House, I will continue to listen to the views of right hon. and hon. Members to ensure that we carefully reflect Northern Ireland’s voice.
ParlaMint-GB_2017-02-01-commons.u51	Although the foul, mephitic fug of Brexit has cast the land into shadow, life must go on. Further to the Secretary of State’s comments, he will accept that the JMC is currently the main body for consultation with the devolved institutions. Yet this body has no authority, no Standing Orders and no fixed rules. Will the Secretary of State commit to formalising the role of the JMC, the crucial body during the negotiations in these dark days?
ParlaMint-GB_2017-02-01-commons.u52	The Joint Ministerial Committee operates between each of the different nations of the UK and regulates those arrangements. We see it playing an important role, not only now, but in the future, with European negotiations being part of that, in seeking to ensure that the voice of the devolved Administrations is heard loud and clear and to get the best arrangements for all parts of the UK.
ParlaMint-GB_2017-02-01-commons.u53	5. What recent discussions he has had with the Northern Ireland Executive on the security situation in Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u54	I know that the House will join me in condemning the despicable shooting of a police officer in north Belfast on Sunday 22 January. Our thoughts are with the injured officer, who remains in hospital, his family and colleagues My officials and I have regular discussions with the Justice Minister, the Chief Constable, and partners as we work to keep the people of Northern Ireland safe and secure.
ParlaMint-GB_2017-02-01-commons.u55	My right hon. Friend will have the support of the whole House when he speaks so warmly of the police officer who was so brutally attacked only recently. I know the Secretary of State is working closely with the intelligence services, the military and the police to ensure security in the region. Will he please tell me a little more about what he is doing to take forward the security of an important part of the United Kingdom?
ParlaMint-GB_2017-02-01-commons.u56	I commend the work of the Police Service of Northern Ireland, the Security Service and other agencies to keep Northern Ireland safe. The level of threat in Northern Ireland is severe, as that appalling incident underlines. I will continue to work with all partners to secure the safe Northern Ireland we want. I spoke to the Chief Constable on that issue only this morning. [Interruption.]
ParlaMint-GB_2017-02-01-commons.u57	Order. May I gently remind the House—[Interruption.] Order. We are discussing the security situation in Northern Ireland—a matter of enormous importance and gravity. Perhaps we can respond accordingly.
ParlaMint-GB_2017-02-01-commons.u58	9. I join the Secretary of State in utterly condemning the disgraceful terrorist attack on a police officer in Northern Ireland. In that light, will the Secretary of State tell me and the House what response he will make to the Chief Constable’s comments in the Belfast Telegraph this morning, in which he talked about the need to ensure that more people from the community have the confidence to come forward and speak to the police and security services about these matters?
ParlaMint-GB_2017-02-01-commons.u59	I agree entirely with a number of the points the hon. Gentleman has made. This was an utterly despicable act and an attack on the whole community, and should be seen as such. The Chief Constable has made those points about people feeling confident in coming forward. There is an ongoing investigation—it is very live—and we are looking through our approach to confronting paramilitarism to see that people have confidence to come forward to give evidence. That is clearly work that needs to continue.
ParlaMint-GB_2017-02-01-commons.u60	10. What assessment has my right hon. Friend made of the current security situation in Northern Ireland?
ParlaMint-GB_2017-02-01-commons.u61	My hon. Friend will wish to know that we have a severe level of threat in Northern Ireland from terrorism. The appalling attack we saw on a young, brave police officer just in the past fortnight underlines the nature of that threat and the fact that there are those in Northern Ireland who would wish to commit acts of violence against the police, members of our armed forces and prison officers. We must be vigilant against that threat.
ParlaMint-GB_2017-02-01-commons.u62	rose—
ParlaMint-GB_2017-02-01-commons.u63	Does the hon. Member for South Down wish to contribute on this question?
ParlaMint-GB_2017-02-01-commons.u64	No, the next one.
ParlaMint-GB_2017-02-01-commons.u65	Well, we might not get there. We will see.
ParlaMint-GB_2017-02-01-commons.u66	May I join in the condemnation of the deplorable attack on the police officer? May I also use this occasion to pay a quick tribute to my constituent and opponent, and now fellow former Deputy First Minister Martin McGuinness, for the calibre and tenure of his service in our democratic institutions? I wish him well in his personal battle Does the Secretary of State recognise that, in meeting Executive Ministers, he would be meeting Ministers who have taken a pledge to uphold the rule of law, based as it is on the fundamental principles of fairness, impartiality and democratic accountability, including support for policing and the courts? Will he meet that same benchmark and remove the comments he has previously made—
ParlaMint-GB_2017-02-01-commons.u67	Order. Enough! We have got the gist.
ParlaMint-GB_2017-02-01-commons.u68	I am very clear on upholding the rule of law and seeing that we support our agencies, which have that independence to pursue evidence where they see it. Indeed, there is a very live ongoing investigation to get to the bottom of that appalling act and hold those responsible to account—it was an appalling act against a brave PSNI officer who was doing his duty, upholding the law and protecting the community.
ParlaMint-GB_2017-02-01-commons.u69	Is not the job faced by the police in Northern Ireland to keep people safe made harder by the tendencies of the Northern Ireland courts to let terrorists out on bail, sometimes only weeks after an original arrest?
ParlaMint-GB_2017-02-01-commons.u70	There are important issues that need to be examined and addressed in relation to the criminal justice system. Bail is one part of that, as are sentencing and the time it takes for cases to proceed. We will continue to work with the Executive to see that progress can be made.
ParlaMint-GB_2017-02-01-commons.u71	In dealing with—[Interruption.]
ParlaMint-GB_2017-02-01-commons.u72	Order. The hon. Lady can scarcely be heard by anybody, let alone the Minister.
ParlaMint-GB_2017-02-01-commons.u73	Thank you; that is very kind of you, Mr Speaker. I am very grateful indeed In dealing with the security situation in Northern Ireland, the Secretary of State will recognise how important it is that the Northern Ireland Office sends a very clear message that the rule of law prevails in Northern Ireland, so will he kindly take this opportunity to put on the record his full confidence in the independence and integrity of the Lord Chief Justice, Sir Declan Morgan, and indeed the Director of Public Prosecutions?
ParlaMint-GB_2017-02-01-commons.u74	I am very happy to do so in very clear and unequivocal terms: it is essential that we uphold the rule of law without fear or favour, and I absolutely support the work of the police and all those who are responsible for taking that forward and seeing that those who are committing the acts that we are discussing this morning are held to account and brought to justice.
ParlaMint-GB_2017-02-01-commons.u75	On Monday, I met a woman whose mother was killed 46 years ago and who asked me to ask the Secretary of State whether he understood that there can be no real peace unless we deal with the past. To that end and as a start, will the right hon. Gentleman commit to raise with the Irish Government the need to ensure the fullest possible public access to the papers relating to the Kingsmill murders and to deliver an effective route by which the families of those who lost loved ones at Ballymurphy can reach some form of closure?
ParlaMint-GB_2017-02-01-commons.u76	I thank the hon. Gentleman, and his message about the raw pain and emotion that continue to be felt by so many of those who were affected by the troubles is one that I equally recognise. It is important that we can make progress in relation to the Stormont House legacy bodies. We will continue to make representations to the Irish Government on a range of issues, and I note the specific point that he raises with me this morning.
ParlaMint-GB_2017-02-01-commons.u77	Q1. If she will list her official engagements for Wednesday 1 February.
ParlaMint-GB_2017-02-01-commons.u78	I am sure that the whole House will join me in offering our condolences to the families and friends of those who lost their lives and were injured in the gun attack in Quebec City on Sunday, and in paying tribute to our former colleague Tam Dalyell, who died last Friday. He was an outstanding parliamentarian, and I am sure that all our thoughts are with his friends and family This morning, I had meetings with ministerial colleagues and others. In addition to my duties in the House, I shall have further such meetings later today.
ParlaMint-GB_2017-02-01-commons.u79	I associate myself with the remarks made by the Prime Minister and the tribute paid to the victims in Canada and to the family of Tam Dalyell. North Devon is quite rightly concerned that the current review of health services across the county may result in the loss of some acute services at our hospital in Barnstaple. For some residents, the nearest alternative could be three hours away. Will my right hon. Friend assure me that she will listen carefully to those concerns, because I want to be able to say to North Devon that we are the party of the NHS?
ParlaMint-GB_2017-02-01-commons.u80	I thank my hon. Friend for his question. I can reassure him that this Government are absolutely committed to ensuring the best possible healthcare for patients right across the country. I recognise that concerns have been expressed locally about the North Devon district hospital. I understand that there are no specific proposals at the moment, but I know that the input of local communities will remain crucial throughout the process, and I can assure him that of course it is this party in government that is putting the extra funding into the NHS and showing how we value it.
ParlaMint-GB_2017-02-01-commons.u81	I join the Prime Minister in offering condolences to all those who died in the horrific attack, fuelled by hate, in Quebec, and we should send our solidarity to everyone in Canada on this sad occasion May I also associate myself with the Prime Minister’s tribute to the former Member for West Lothian, and later Linlithgow, Tam Dalyell? A Labour MP and former Father of the House, he doggedly fought to expose official wrongdoing and cover-ups, from the miners strike to Iraq. I am sure the Prime Minister would agree that Tam’s scrutiny and contributions made this House a better place, and may I recommend to all Members his autobiography “The Importance of Being Awkward”? [Interruption.] And I am quite happy to offer my copy to the Secretary of State for Brexit to have a good read of it. I am sure that he has probably already read it At last week’s Prime Minister Question Time, the Prime Minister told the House: “I am not afraid to speak frankly to a President of the United States”.—[Official Report, 25 January 2017; Vol. 620, c. 288.] What happened?
ParlaMint-GB_2017-02-01-commons.u82	First, let me say that I was not aware of Tam Dalyell’s book “The Importance of Being Awkward”, but given the number of resignations that the right hon. Gentleman has had from his Front Bench, I suspect that some of his colleagues have indeed read it I am pleased to say to the right hon. Gentleman that when I visited the United States, I was able to build on the relationship that we have with our most important ally and get some very significant commitments from President Trump. Crucial among those was a 100% commitment to NATO—NATO which keeps us safe and keeps Europe safe too.
ParlaMint-GB_2017-02-01-commons.u83	Downing Street has not denied that the Prime Minister was told by the White House that the Executive order on travel to the US was imminent, so let us be clear: was the Prime Minister told about the ban during her visit, and did she try to persuade President Trump otherwise?
ParlaMint-GB_2017-02-01-commons.u84	On the policy that President Trump has introduced, this Government are clear that it is wrong. We would not do it. In six years as Home Secretary, I never introduced such a policy. We believe it is divisive and wrong. If the right hon. Gentleman is asking me whether I had advance notice of the ban on refugees, the answer is no. If he is asking me if I had advance notice that the Executive order could affect British citizens, the answer is no. If he is asking if I had advance notice of the travel restrictions, the answer is, we all did, because President Trump said in his election campaign that he was going to do this. The question is how to respond. The job of Government is not to chase the headlines; the job of Government is not to take to the streets in protest; the job of Government is to protect the interests of British citizens, and that is exactly what we did.
ParlaMint-GB_2017-02-01-commons.u85	On the day after the Executive order was made to ban refugees and visitors from seven predominantly Muslim countries, why did the Prime Minister three times refuse to condemn the ban?
ParlaMint-GB_2017-02-01-commons.u86	I have made it very clear that we believe that this policy is divisive and wrong, and that it is not a policy that we would introduce. I have also made it very clear when asked about this that this Government have a very different approach to these issues. On refugees, this Government have a proud record of the support that we have given to them, and long may it continue.
ParlaMint-GB_2017-02-01-commons.u87	The Prime Minister said: “The United States is responsible for the United States’ policy on refugees.” But surely it is the responsibility of all of us to defend the 1951 refugee convention, which commits this country, the United States and 142 other states to accept refugees without regard to their “race, religion or country of origin.” President Trump has breached that convention. Why did she not speak out?
ParlaMint-GB_2017-02-01-commons.u88	First, I have made absolutely clear what the Government’s view on this policy is. Secondly, as I have just said, this Government and this country have a proud record on how we welcome refugees. In recent years, we have introduced a very particular scheme to ensure that particularly vulnerable refugees in Syria can be brought to this country, and something like 10,000 Syrian refugees have come to this country since the conflict began. We are also the second biggest bilateral donor, helping and supporting refugees in the region. That is what we are doing. I have said that the US policy is wrong. We will take a different view, and we will continue to welcome refugees to this country.
ParlaMint-GB_2017-02-01-commons.u89	I also wrote to the Prime Minister on this issue and received her reply this morning. I hold in my hand her piece of paper. She makes no mention of the refugee convention and does not condemn US action in that respect Last week, I asked the Prime Minister to assure the House that she would not offer up our national health service as a “bargaining chip” in any US trade deal. She gave no answer. She also refused to rule it out when asked in the US, so let me ask her a third time: will she rule out opening up our national health service to private US healthcare companies—yes or no?
ParlaMint-GB_2017-02-01-commons.u90	I could give a detailed answer to the right hon. Gentleman’s question, but a simple and straightforward reply is what is required: the NHS is not for sale and it never will be.
ParlaMint-GB_2017-02-01-commons.u91	I hope that that includes not having US healthcare companies coming in to run any part of our national health service President Trump has torn up international agreements on refugees. He has threatened to dump international agreements on climate change. He has praised the use of torture. He has incited hatred against Muslims. He has directly attacked women’s rights. Just what more does he have to do before the Prime Minister will listen to the 1.8 million people who have already called for his state visit invitation to be withdrawn?
ParlaMint-GB_2017-02-01-commons.u92	The right hon. Gentleman’s foreign policy is to object to and insult the democratically elected Head of State of our most important ally. Let us see what he would have achieved in the last week. Would he have been able to protect British citizens from the impact of the Executive order? No. Would he have been able to lay the foundations of a trade deal? No. Would he have got a 100% commitment to NATO? No. That is what Labour has to offer this country—less protection for British citizens, less prosperity, less safety. He can lead a protest; I am leading a country.
ParlaMint-GB_2017-02-01-commons.u93	Q2. Today it is inconceivable that somebody would be prosecuted based on who and what they are. Will my right hon. Friend join me in welcoming the posthumous pardon of some 49,000 men thanks to the Government’s Turing Bill which was enacted yesterday? Will she also encourage those who are still alive to come forward so that their injustices can be overturned?
ParlaMint-GB_2017-02-01-commons.u94	I am very happy to join my hon. Friend in welcoming an extremely important change in the law. We committed to it in our manifesto and have now delivered on it. Passing Turing’s law has been a long-standing commitment for the Government. It is momentous and takes action to right the wrongs of the past. Like my hon. Friend, I certainly encourage those still alive to apply to the Home Office to have their offences disregarded.
ParlaMint-GB_2017-02-01-commons.u95	We on the SNP Benches associate ourselves with all the comments thus far about the tragic deaths in Quebec City and about the passing of Tam Dalyell. Respect for him was held across the political parties and he served with great distinction for more than 40 years The Prime Minister had a successful international visit this last week—to Ireland. She spoke publicly about her commitment—this is important—not to have a hard border on these islands, to the continuation of free movement of peoples on these islands and to protect and enhance trade. Given that people will be watching this not just in Britain but in Ireland, will she take this opportunity to explain how she will deliver those sensible, important outcomes?
ParlaMint-GB_2017-02-01-commons.u96	Those are absolutely the outcomes that we want to see. I was very pleased to meet the Taoiseach and to discuss with him the joint intent that both his Government and mine have to ensure that we do not see a return to the borders of the past in Northern Ireland. We focus on the land border that is between Northern Ireland and the Republic of Ireland. Of course, the issue of movements from Ireland affects other places as well; it affects ports in Wales and Stranraer. Therefore, it is an important issue for us and we have agreed the work that we are going to do together to deliver what I believe will be as frictionless a border as possible. Also, one of the objectives that I set out in my plan for our negotiating objectives is to retain the common travel area.
ParlaMint-GB_2017-02-01-commons.u97	We on the SNP Benches very much welcome what the Prime Minister has just said on all those issues. Of course, we also welcome the intensifying of negotiations between the UK Government and the devolved Administrations ahead of triggering article 50. The Prime Minister has very helpfully explained that it is perfectly possible for parts of these islands to be in the single market, without hard borders, with free movement of people, while at the same time protecting and enhancing trade with one another. That is very, very welcome, so will she give a commitment to work with the Irish Government and a commitment to work with the Scottish Government to deliver all those things—or will we just have to get on with it ourselves?
ParlaMint-GB_2017-02-01-commons.u98	First, the right hon. Gentleman is right that following the meeting of the Joint Ministerial Committee plenary on Monday morning, we agreed to intensify discussion on issues related to the bringing back of powers from Brussels and where those powers should lie within the UK—to intensify that in the run-up to the triggering of article 50 and beyond the triggering of article 50 On the other question, the right hon. Gentleman really should listen to the answers that are given, because he is trying to imply something that is not there. [Hon. Members: “Oh!”] Yes. We are very clear that we want to see a frictionless border between Northern Ireland and the Republic of Ireland, but I am also clear that one of the objectives of our negotiation is to see as frictionless a border as possible between the UK and the rest of the European Union. Of course, if he is so worried about having a frictionless border between Scotland and countries in the EU, he should not want to take Scotland out of the EU by wanting to see it independent. [Interruption.]
ParlaMint-GB_2017-02-01-commons.u99	Order. We should not have to allow for the reaction from the SNP Benches to every answer before we proceed to the next question.
ParlaMint-GB_2017-02-01-commons.u100	Q4. EU nationals provide a vital and expert service in my local hospital in Basingstoke and, along with thousands of others, they face an uncertain future. I know that this is something that the Prime Minister wants to give priority to and to sort out. Will we be hearing more about it in the forthcoming White Paper?
ParlaMint-GB_2017-02-01-commons.u101	My right hon. Friend makes an important point about EU nationals. I would like to confirm my intention and expectation that we will be able to offer that reassurance to EU nationals living in the UK, but I also want to see reassurance offered to UK nationals living in the EU. I hope and will be working to try to ensure that this is an issue we can deal with at a very early stage in the negotiations. It was one of the objectives I set out in the plan. It will be referenced in the White Paper and I can inform my right hon. Friend and the House that that White Paper will be published tomorrow.
