ParlaMint-GB_2017-03-01-commons.u1	1. What recent discussions he has had with the Scottish Government on taxation powers.
ParlaMint-GB_2017-03-01-commons.u52	The Government are committed to getting the best deal for Scotland and the UK in the negotiations with the EU. The Joint Ministerial Committee on EU Negotiations was established to facilitate engagement between the UK Government and devolved Administrations and has had substantive and constructive discussions in monthly meetings since November.
ParlaMint-GB_2017-03-01-commons.u53	At the last meeting of the JMC, the Prime Minister committed to an intensified engagement with the Scottish Government on their EU proposals. Can he update the House on that process?
ParlaMint-GB_2017-03-01-commons.u54	When I appeared last week before the Scottish Parliament’s Culture, Tourism, Europe and External Relations Committee, I was able to tell it that in the two weeks since the plenary meeting of the JMC, six substantive meetings had taken place between senior officials so that both Governments could discuss the proposals set out in the document, “Scotland’s Place in Europe”. We regard this as a serious contribution to the debate and continue to engage with it.
ParlaMint-GB_2017-03-01-commons.u55	May I draw my right hon. Friend’s attention to the fact that the Public Administration and Constitutional Affairs Committee has been taking a great interest in the inter-institutional relationships within the UK, that we produced a report in December on this subject, which I commend to him, and that the main thrust of the recommendations are not about structures and institutions but about natural adversaries sitting down together and developing relationships and bonds of trust and understanding?
ParlaMint-GB_2017-03-01-commons.u56	Obviously, I very much take my hon. Friend’s work seriously. Despite what often appears in the media, it is possible for the two Governments to engage in a constructive way. We are already in agreement on many issues in the Scottish Government’s document.
ParlaMint-GB_2017-03-01-commons.u57	It is not just a matter of trying to keep the EU nationals who are currently in our health and social care service. The workforce is the biggest challenge that NHS Scotland faces, so will the Secretary of State support Scotland having the powers to attract EU nationals in future, not just keeping the ones who are here now?
ParlaMint-GB_2017-03-01-commons.u58	I have said previously from this Dispatch Box that I do not support the devolution of immigration powers to the Scottish Parliament, but I do support arrangements that will ensure that the vital workers needed in depopulating areas, skilled areas and in areas that rely on seasonal workers can come to Scotland.
ParlaMint-GB_2017-03-01-commons.u59	Earlier, the Secretary of State refused to confirm that Scottish fishing and Scottish agriculture would become the responsibility of the Scottish Parliament. When will his Department present to the Joint Ministerial Committee a list of powers that will be devolved to the Scottish Parliament after Brexit, or will he refuse to do so and simply follow instructions from No. 10?
ParlaMint-GB_2017-03-01-commons.u60	What I want to do and what I have attempted to do is engage in a constructive discussion and dialogue with the Scottish Government and the Scottish Parliament about how we repatriate powers from Brussels. I do not try to make a serious and wrong political point that this is an attempt to destabilise the Scottish Parliament, because I know that when the process is complete, the Scottish Parliament will have more powers than it does today.
ParlaMint-GB_2017-03-01-commons.u61	6. What assessment he has made of the importance of the UK single market to Scotland’s economy.
ParlaMint-GB_2017-03-01-commons.u62	7. What assessment he has made of the importance of the UK single market to Scotland’s economy.
ParlaMint-GB_2017-03-01-commons.u63	Sales from Scotland to the rest of the UK are worth nearly £50 billion, a figure that has increased by over 70% since 2002 and that is four times greater than the value of exports from Scotland to the EU. There is no doubt that the United Kingdom is the vital Union for Scotland’s economy.
ParlaMint-GB_2017-03-01-commons.u64	Does the Secretary of State agree that we must not create barriers or do anything to impede the functioning of the UK domestic market as we leave the EU, given its vital importance to the economy of Scotland?
ParlaMint-GB_2017-03-01-commons.u65	I could not agree more with my hon. Friend. I find it strange that those who make such a fuss about the EU single market seem to have a complete disregard for a market that is four times as large to Scotland’s economy.
ParlaMint-GB_2017-03-01-commons.u66	Given that Scottish whisky is the largest net contributor to the UK’s balance of trade and goods, is the Secretary of State encouraged by the fact that if we move from the single market to World Trade Organisation arrangements, Scottish whisky will have a zero tariff?
ParlaMint-GB_2017-03-01-commons.u67	It is important to note that there is a zero tariff for Scotch whisky under WTO rules. As to our future relationship with the EU, my right hon. Friend the Prime Minister has made it absolutely clear that we want to negotiate a free trade agreement with the EU, which would be enormously to the benefit of the Scotch whisky industry.
ParlaMint-GB_2017-03-01-commons.u68	All this UK single market business is quite interesting, but is the Secretary of State trying to suggest that a Brexitised isolated UK, desperate for friends and any trading partners, would not trade with an independent Scotland?
ParlaMint-GB_2017-03-01-commons.u69	What I am suggesting is that if an independent Scotland were to put up tariffs and barriers with its vital largest trading partner, which provides four times as much economic development as the EU, that would be a disastrous series of events.
ParlaMint-GB_2017-03-01-commons.u70	How is job creation in Scotland affecting the Scottish economy?
ParlaMint-GB_2017-03-01-commons.u71	It is vital that both the UK and the Scottish Governments work together to maximise the number of jobs created, but it is clear that the one thing the Scottish Government could do to help job creation in Scotland most is take the suggestion of a divisive independence referendum off the table.
ParlaMint-GB_2017-03-01-commons.u72	8. The Secretary of State previously told the Scottish Affairs Committee that he attends Cabinet Brexit meetings based on whether he thinks the agenda items are important to Scotland. Will he tell the House which Brexit policy areas he thinks are important to Scotland and which areas he thinks are not important?
ParlaMint-GB_2017-03-01-commons.u73	I also made it clear to that Committee that it was not appropriate to give a running commentary on the Government’s internal discussions on Brexit. What I am committed to do is delivering the best possible deal for Scotland in these Brexit negotiations.
ParlaMint-GB_2017-03-01-commons.u74	Q1. If she will list her official engagements for Wednesday 1 March.
ParlaMint-GB_2017-03-01-commons.u75	I am sure that the whole House will want to join me in wishing people in the UK, and across the world, a happy St David’s day. I am also sure that the whole House will want to join me in paying tribute to our former colleague, Sir Gerald Kaufman, who died over the weekend. He was an outstanding parliamentarian and a committed MP who dedicated his life to the service of his constituents. As Father of the House, his wisdom and experience will be very much missed right across this House. I am sure that our thoughts are with his friends and family This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2017-03-01-commons.u76	I associate myself with the Prime Minister’s remarks, and assure the many relatives and friends of our former colleague that they are very much in our thoughts and prayers at this difficult time Does my right hon. Friend believe that last week’s historic by-election victory in Copeland was an endorsement of her Government’s plans to maintain a strong economy, bring our society together and ensure that we make a huge success of leaving the European Union?
ParlaMint-GB_2017-03-01-commons.u77	I thank my hon. Friend for his question. First, I wish to congratulate my hon. Friend, the new Member for Copeland, and look forward to welcoming her to this House very shortly. My hon. Friend the Member for North West Leicestershire (Andrew Bridgen) is absolutely right that last week’s historic result in Copeland was an endorsement of our plans to keep the economy strong and to ensure that places such as Copeland share in the economic success after years of Labour neglect. It was also an endorsement of our plans to unite communities where Labour seeks to sow division and of offering strong, competent leadership in the face of Labour’s chaos.
ParlaMint-GB_2017-03-01-commons.u78	May I join the Prime Minister in wishing everyone in Wales, and all Welsh people around the world, a very happy St David’s day? May I also express the hope that, today, the workers at the Ford plant in Bridgend get the assurances that they need about their job security and their futures I echo the Prime Minister’s tribute to Gerald Kaufman, who served in this House since 1970 and was the longest serving Member. He started in political life as an adviser to Harold Wilson in the 1960s. He was an iconic, irascible figure in the Labour party and in British politics. He was a champion for peace and justice in the middle east and around the world. Yesterday at his funeral, Mr Speaker, the rabbi who conducted the service conveyed your message on behalf of the House to his family, which was very much appreciated. Afterwards, I spoke to his family and to his great nephews and great nieces and asked them how they would describe Gerald, and they said that he was an “awesome uncle”. We should remember Gerald as that, and convey our condolences to all his family Just after the last Budget, the then Work and Pensions Secretary resigned, accusing the Government of “balancing the books on the backs of the poor and vulnerable.” Last week, the Government sneaked out a decision to overrule a court decision to extend personal independence payments to people with severe mental health conditions. A Government who found £1 billion in inheritance tax cuts to benefit 26,000 families seem unable to find the money to support 160,000 people with debilitating mental health conditions. Will the Prime Minister change her mind?
ParlaMint-GB_2017-03-01-commons.u79	Let me be very clear about what is being proposed in relation to personal independence payments. This is not a policy change—[Interruption.] This is not a cut in the amount spent on disability benefits, and no one is going to see a reduction in their benefits from that previously awarded by the Department for Work and Pensions. What we are doing is restoring the original intention of the payment agreed by the coalition Government, and agreed by this Parliament after extensive consultation.
ParlaMint-GB_2017-03-01-commons.u80	Extensive consultation is an interesting idea, because the court made its decision last year, the Government did not consult the Social Security Advisory Committee and, at the last minute, sneaked out their decision The court ruled that the payments should be made because the people who were to benefit from them were suffering “overwhelming psychological distress”. Just a year ago, the then new Work and Pensions Secretary said: “I can tell the House that we will not be going ahead with the changes to PIP that had been put forward.”—[Official Report, 21 March 2016; Vol. 607, c. 1268.] The court has since made a ruling. The Prime Minister’s colleague, the hon. Member for South Cambridgeshire (Heidi Allen), said: “In my view, the courts are there for a reason. If they have come up with this ruling, which says that the criteria should be extended, then I believe we have a duty to honour that.” Is she not right?
ParlaMint-GB_2017-03-01-commons.u81	First, on the issue of these payments and those with mental health conditions, the personal independence payment is better for people with mental health conditions. The figures show that two thirds of people with mental health conditions who are claiming personal independence payments and in receipt of it are awarded the higher daily living rate allowance, compared with less than a quarter under the previous disability living allowance arrangements This is the second time that the right hon. Gentleman has suggested that somehow the change was sneaked out. It was in a written ministerial statement to Parliament. I might remind him that week after week he talks to me about the importance of Parliament; well, we accepted the importance of Parliament and made the statement to Parliament. He also referred to the Social Security Advisory Committee, and it can look at this matter. My right hon. Friend the Work and Pensions Secretary called the Chairman of the SSAC and spoke to him about the regulations on the day they were being introduced; he also called the Chairman of the Select Committee on Work and Pensions and spoke to him about the regulations that were being introduced; and he called both offices of the shadow Work and Pensions Secretary, but there was no answer and they did not come back to him for four days.
ParlaMint-GB_2017-03-01-commons.u82	Calling—[Interruption.] Calling the Chairs of two Committees and making a written statement to the House does not add up to scrutiny, and as I understand it no call was made to the office of my hon. Friend the Member for Oldham East and Saddleworth (Debbie Abrahams), the shadow Secretary of State The reality is that this is a shameful decision that will affect people with dementia, those suffering cognitive disorders due to a stroke, military veterans with post-traumatic stress disorder, and those with schizophrenia. Will the Prime Minister look at the effects of her decision to override what an independent court has decided, and think again?
ParlaMint-GB_2017-03-01-commons.u83	The issues and conditions that the right hon. Gentleman raises are taken into account when decisions are made about personal independence payments. The court said that the regulations were unclear; that is why we are clarifying the regulations and ensuring that they respect and reflect the original intention that was agreed by this Parliament If the right hon. Gentleman wants to talk about the support being given to people with disabilities, I say to him that this Government are spending more than ever in support for people with disability and health conditions, and we are spending more than ever on people with mental health conditions. What we are doing with personal independence payments is ensuring that those who are most in need get most support.
ParlaMint-GB_2017-03-01-commons.u84	The Government have overridden an independent court decision, and they should think long and hard about that. The Prime Minister’s hon. Friend, the right hon. Member for North East Bedfordshire (Alistair Burt), said this week that the Government have to “make it very clear that physical and mental health has the same priority” In 2002, the Prime Minister made a speech to the Conservative party conference. I remember it very well; I was watching it on television. She described her party as the “nasty party” and said: “Some Tories have tried to make political capital by demonising minorities” This week, her policy chair suggested that people with debilitating conditions were those who were “taking pills at home, who suffer from anxiety” and were not “really disabled”. Is that not proof that the “nasty party” is still around?
ParlaMint-GB_2017-03-01-commons.u85	My right hon. Friend has rightly apologised for the comments that he made, and I hope that the whole House will accept his apology. The right hon. Gentleman asks me about parity between mental health conditions and physical conditions. It is this Conservative Government who introduced parity of esteem in dealing with mental health in the national health service. How many years were Labour in government and did nothing about it? Thirteen years!
ParlaMint-GB_2017-03-01-commons.u86	It was a Labour amendment to the Health and Social Care Bill that resulted in parity of esteem being put on the face of the Bill. I am surprised that the right hon. Lady has forgotten that; she could have taken this opportunity to thank the Labour party for putting it forward. The Prime Minister made a speech earlier this year supporting parity of esteem for mental health, and I am glad she did so. However, 40% of NHS mental health trusts are having their budgets cut, and there are 6,600 fewer mental health nurses and 160,000 people with severe mental health conditions who are about to lose out on support. Can she not recognise that parity of esteem means funding it properly and not overriding court decisions that would benefit people suffering from very difficult conditions? We should reach out to them, not deny them the support they need.
ParlaMint-GB_2017-03-01-commons.u87	As I say, we are spending more than ever on mental health—£11.4 billion a year. More people each week are now receiving treatment in relation to mental health than previously. Is there more for us to do on mental health? Yes, there is. I have said that in this Chamber in answer to questions that I have received—
ParlaMint-GB_2017-03-01-commons.u88	Well, do it!
ParlaMint-GB_2017-03-01-commons.u89	The shadow Foreign Secretary shouts, “Well, do it” from her normal sedentary position—[Interruption.] We are doing it. That is why we are putting record amounts of money into mental health. That is why we are seeing more people being provided with mental health treatment every week under this Government. There is one thing that I know: if we are going to be able to provide that extra support for people with disabilities and health conditions and provide treatment for people with mental health conditions, we need a strong economy that enables us to pay for it. And the one thing we know about Labour is that they would bankrupt Britain.
ParlaMint-GB_2017-03-01-commons.u90	That is rich, coming from a Government who, by 2020, will have borrowed more and increased the national debt by the total borrowing of all Labour Governments The mental health charity Rethink has said: “The Government has spoken forcefully about the importance of parity esteem between physical and mental health, yet when presented with the chance to make this a reality...it has passed on the opportunity” As a society, we are judged by how we treat the most vulnerable. The respected mental health charity Mind has said: “This misguided legislation must be reversed” Will the Prime Minister look again at the decision of the court and its consequences, withdraw this nasty decision, accept the court’s judgment and support those who are going through a very difficult time in their lives? That is how we will all be judged.
ParlaMint-GB_2017-03-01-commons.u91	The way we are dealing with disability benefits is to ensure that payments are going to those who are most vulnerable. What we are doing in relation to personal independence payments is ensuring that the agreement of this Parliament is being put into practice. The right hon. Gentleman talks about funding and he talks about borrowing. I understand that today—[Interruption.]
ParlaMint-GB_2017-03-01-commons.u92	Order. We cannot have a constant debate while the Prime Minister is answering the question. The question has been put and was heard, and the answer must be heard without a constant hubbub in the background.
ParlaMint-GB_2017-03-01-commons.u93	The right hon. Gentleman talks about accepting the court’s decision and paying for that. When asked how Labour would pay for the increase if it was put in place, I understand that the Labour shadow Health Secretary said today, “Err, we’ve not outlined that yet.” That just sums up the Labour party and the Labour party leadership. After the result in Copeland last week, the hon. Member for Lancaster and Fleetwood (Cat Smith) summed up the by-election result by saying that it was an “incredible result” for the Labour party. I think that word describes the right hon. Gentleman’s leadership: incredible.
ParlaMint-GB_2017-03-01-commons.u94	Q3. On Monday, I chaired a seminar at the Royal Society looking at the priorities for the science community as we start our Brexit negotiations, and a report of the meeting will be launched here in Parliament on 21 March. While I of course understand that the Prime Minister may be too busy to attend, will she meet me once the report is published so that I can present to her in person the collective concerns of the science community, particularly those around collaboration and people?
ParlaMint-GB_2017-03-01-commons.u95	I thank my hon. Friend for raising that important issue, which he is right to raise. We want the UK to be the go-to place for innovators and investors across the world, and we want to secure the best possible outcomes for the UK research base as we leave the European Union. Indeed, one of the objectives that I set out for our negotiations with the European Union relates to science and research. We already are a leading destination for science and innovation, and we would welcome an agreement to continue to collaborate with our European partners. I am interested in what my hon. Friend has said, and I am sure that that report will be looked at carefully by my right hon. Friend the Secretary of State for Exiting the European Union.
ParlaMint-GB_2017-03-01-commons.u96	We on the SNP Benches join the Prime Minister and the leader of the Labour Party in extending our condolences to the family and friends of Sir Gerald Kaufman. We also extend our best wishes to the people of Wales on St David’s Day In Scottish questions just prior to PMQs today, Ministers were unable to answer basic questions about the Government’s plans for agriculture and for fisheries. Those are important industries for the rural economy and are devolved to the Scottish Government and the Scottish Parliament. With Brexit ending the role of Brussels in those areas, will all decisions about agriculture and fisheries be made at Holyrood—yes or no?
ParlaMint-GB_2017-03-01-commons.u97	The right hon. Gentleman knows well that we are discussing with the devolved Administrations the whole question of the UK framework and devolution of issues as they come back from Brussels. The overriding aim for everything that we do when we make those decisions is to ensure that we do not damage the important single market of the United Kingdom, a market which I remind the right hon. Gentleman is more important to Scotland than the European Union is.
ParlaMint-GB_2017-03-01-commons.u98	That is a very interesting answer because people in Scotland, including those working in the agriculture and fisheries sectors, were told during the Brexit referendum that farming and fisheries powers would be exercised fully by the Scottish Government and the Scottish Parliament. Judging by the Prime Minister’s answer, however, it seems that that will not be true. Will the Prime Minister confirm today—she has the opportunity—that it is her intention to ensure that UK Ministers will negotiate and regulate over large areas that impact on Scottish fisheries and agriculture post-Brexit?
