ParlaMint-GB_2017-12-05-lords.u1	To ask Her Majesty’s Government what actions they plan to take to tackle rural poverty.
ParlaMint-GB_2017-12-05-lords.u13	The answer to all these issues is a growing economy. Last year, we were the fastest-growing G7 economy. That is a very strong point. After all, it is through a growing and successful economy that we will do all the things that we want and need to do. That is why £70 billion is being devoted to low-income families and why we have record low unemployment. That is a very good thing.
ParlaMint-GB_2017-12-05-lords.u14	My Lords, with ever-increasing house prices in rural areas, local working families are priced out of the market. The right-to-buy scheme has not led to new housing replacing those sold. There are now large numbers of essential workers unable to afford to live in rural areas. Do the Government agree that it is time for them to provide homes for essential workers, such as care workers, teachers, nurses, firefighters and front-line police officers?
ParlaMint-GB_2017-12-05-lords.u15	My Lords, that is why I mentioned the £9 billion in the affordable homes programme scheme. We did this precisely because we want people working in the countryside to be able to ensure that communities tick and that they have affordable homes. Last week I was at a very interesting rural affordable housing development in Warwickshire—another fine example of the many sensitively built and small-scale schemes doing exactly what we need to do to keep villages vibrant.
ParlaMint-GB_2017-12-05-lords.u16	My Lords, while rural poverty is of course of immense importance, does the Minister not agree that as far as rural areas are concerned there is a comprehensive disadvantage? In almost any heading of amenity they come a long way down in the list. It is a question of not just poverty but a whole range of amenities.
ParlaMint-GB_2017-12-05-lords.u17	My Lords, as a Government we want to ensure that disadvantage is eradicated, but I am very proud of coming from a rural background. Rural areas are wonderful places to live, work and play. They are beacons of excellence in looking after our natural environment. In truth, unemployment, poverty and homelessness are lower in rural areas. I very much want us to ensure that all these indices are reduced wherever we are in the United Kingdom.
ParlaMint-GB_2017-12-05-lords.u18	To ask Her Majesty’s Government what response they have received from the European Union negotiating team to their proposals on the Irish border problem.
ParlaMint-GB_2017-12-05-lords.u19	My Lords, there is much agreement between the UK and the EU on the proposals for how to address the unique circumstances of Northern Ireland and Ireland in the light of the UK’s withdrawal from the European Union. We remain firmly committed to avoiding any physical infrastructure on the land border between Northern Ireland and Ireland. We welcome the Commission’s commitment to this in its guiding principles paper.
ParlaMint-GB_2017-12-05-lords.u20	My Lords, see how grateful the DUP is for the £1 billion of taxpayers’ money to keep Mrs May in power without any real mandate. Will the Minister please tell Mrs May what is now obvious: Brexit is becoming a total disaster and the PM must now save our country’s future and the precious Anglo-Irish agreement?
ParlaMint-GB_2017-12-05-lords.u21	I congratulate the noble Lord on having the foresight to get a Question on this on the Order Paper for today. He will be unsurprised to know that I do not agree with him. There was a referendum on the subject. We feel we have to respect the results of that referendum.
ParlaMint-GB_2017-12-05-lords.u22	My Lords, why was anybody surprised by yesterday’s negotiating car crash in Brussels? Unionists were quite legitimately always going to insist that they could not be put in a status distinct from the rest of the UK. At the same time, to maintain the Irish border as open as it has been alignment would be needed on trade, customs and regulation. Surely the answer is to apply that alignment across the UK, then the problem is solved.
ParlaMint-GB_2017-12-05-lords.u23	As the noble Lord is aware, we are leaving the customs union and the single market. Northern Ireland will be leaving them with us.
ParlaMint-GB_2017-12-05-lords.u24	Will the Minister agree that a lot of the problems yesterday stemmed from the fact that people were leaking inaccurate accounts of what was in the Government’s paper, and were not making it clear that the proposal for some form of regulatory alignment was heavily conditioned and of very limited application? If that information had been put into the public domain earlier in the day, would not things have gone much more smoothly?
ParlaMint-GB_2017-12-05-lords.u25	My noble friend speaks with great authority on this subject, having been one of the architects of the Good Friday agreement. We all know the political sacrifices he made to bring that about. I pay tribute to him for that. I do not think it would be helpful for me to go into a blow-by-blow account of whataboutery on the negotiations. We are only half way through the negotiations. We will come back and make a Statement when we have agreement, but at the moment this is an ongoing, delicate situation.
ParlaMint-GB_2017-12-05-lords.u26	My Lords—
ParlaMint-GB_2017-12-05-lords.u27	My Lords—
ParlaMint-GB_2017-12-05-lords.u28	My Lords, it is the turn of the Liberal Democrat Benches.
ParlaMint-GB_2017-12-05-lords.u29	My Lords, I had always understood that if you are not in the customs union you cannot have frictionless trade; there would have to be some form of documentation and checks. Will the Minister confirm that or explain to us what sort of magical technological solution there is that can provide frictionless trade without common membership of the customs union?
ParlaMint-GB_2017-12-05-lords.u30	My Lords, we have always been very clear that the unique circumstances in Northern Ireland require unique solutions. That is recognised by the European Commission and it is recognised by Ireland. Michel Barnier has said that. The model that we use for the Northern Ireland-Irish border will not necessarily be a precedent for what happens elsewhere.
ParlaMint-GB_2017-12-05-lords.u31	My Lords—
ParlaMint-GB_2017-12-05-lords.u32	My Lords—
ParlaMint-GB_2017-12-05-lords.u33	My Lords—
ParlaMint-GB_2017-12-05-lords.u34	My Lords, this really is not acceptable. It is the turn of the Cross Benches, then we will hear from the Labour Benches—but one Member of the Labour Benches.
ParlaMint-GB_2017-12-05-lords.u35	My Lords, as one living on the border with the Republic of Ireland, I ask whether the Minister is aware that most people in Northern Ireland welcome the Government’s proposals for maintaining the common travel area, for having no physical structures at the border and for 80% of our trade not to be controlled by customs. Can he confirm that, even today, in the context of membership of the European Union, Irish customs and United Kingdom customs operate not at the border but on either side of it?
ParlaMint-GB_2017-12-05-lords.u36	The noble Lord speaks with great authority on this subject and I know he has contributed a lot to the peace process over the years, which is something we want to maintain. There is a lot of truth in what he has said.
ParlaMint-GB_2017-12-05-lords.u37	My Lords—
ParlaMint-GB_2017-12-05-lords.u38	My Lords—
ParlaMint-GB_2017-12-05-lords.u39	Oh!
ParlaMint-GB_2017-12-05-lords.u40	My Lords, I am afraid, with that kind of approach, we will hear from the Conservative Benches.
ParlaMint-GB_2017-12-05-lords.u41	My Lords, is there not some confusion here between regulatory alignment and regulatory recognition? Is not the latter principle one on which there is perfect freedom for the whole United Kingdom, including Northern Ireland, to make arrangements for outside trade in due course for continuing the smooth and reasonably frictionless low or non-border controls in Northern Ireland? What is the problem?
ParlaMint-GB_2017-12-05-lords.u42	Of course, the wording is very important, but I am very clear that alignment is not the same as having no diversity.
ParlaMint-GB_2017-12-05-lords.u43	My Lords, does the Minister accept that nobody has asked him to give a “blow-by-blow account”, which is how he referred to the questions he had been asked? Noble Lords have asked him to give a straight explanation, first, of what went wrong and, secondly, of how the Government propose to rectify it.
ParlaMint-GB_2017-12-05-lords.u44	I thank the noble Lord for his helpful question. We are trying to reach agreement at the moment. This is an ongoing negotiation. We were always very clear that Monday was the first staging post towards this. I have no doubt that there will be further discussions towards the end of the week. When we have reached agreement, we will come back and report it to the House.
ParlaMint-GB_2017-12-05-lords.u45	My Lords, should we not heed the wise words of the noble Lord, Lord Trimble, but at the same time remember that in the referendum on 23 June last year a significant majority of the people of Northern Ireland voted to remain?
ParlaMint-GB_2017-12-05-lords.u46	The referendum was held on a UK-wide basis, and the people of the UK voted by a majority to leave the European Union.
ParlaMint-GB_2017-12-05-lords.u47	To ask Her Majesty’s Government what is the naval manpower ceiling required to ensure that all ships, air squadrons and submarines in the planned naval programme are fully staffed.
ParlaMint-GB_2017-12-05-lords.u48	My Lords, the Government are committed to investing in growing the Royal Navy for the first time in a generation, utilising the department’s whole-force approach to deliver defence needs. The naval service will continue to adapt to ensure that it has the correct number of personnel to operate, maintain and support all its ships, submarines and air squadrons. This whole force includes service personnel, the Royal Fleet Auxiliary, civil servants and contractors.
ParlaMint-GB_2017-12-05-lords.u49	My Lords, I thank the Minister for his Answer—I have to say that my flabber is totally gasted. The bottom line is that there is a real issue with manpower within the Royal Navy. A ceiling is needed which allows some flexibility to recruit people of various types so that you have a little bit of spare so that you can man ships. The fact that we have laid up one Type 45, one Type 23 and HMS “Ocean” and that we are swapping Royal Marines for sailors shows that there is a real problem within our manpower. Is there any intention at all to honour the pledge given by the coalition Government to up the number above 400 towards the 4,000 limit, so that we will then be able to man our ships? And why have we stopped production of the Royal Navy and Royal Marines monthly personnel statistics and the pocket brief, so that we cannot see what is happening?
ParlaMint-GB_2017-12-05-lords.u50	My Lords, statistics are published on a regular basis but it has been decided that there is very little virtue in doing it month by month. On the noble Lord’s first question, he will know that the 2010 SDSR predicated a manpower figure for the Royal Navy that has now been superseded by about 1,600 personnel. There will be 400 more, measured against the current complement, by 2025. So we can genuinely talk about a growing Navy. We can also talk about a growing budget. There has been huge investment in the Royal Navy in the past few years, and that has gone not only into personnel but into cutting-edge equipment as well.
ParlaMint-GB_2017-12-05-lords.u51	My Lords, is it not the case that members of the Royal Naval Reserve can very often be deployed in support of their regular colleagues in the Royal Navy, often in specialist roles, to the overall advantage of the system?
ParlaMint-GB_2017-12-05-lords.u52	My noble friend is absolutely right. The maritime and, indeed, the RAF reserves are often used to provide individuals and small teams for specific roles, and their training is designed to integrate them with the regulars. In fact, my noble friend may be interested to know that there are reservists already serving on the offshore patrol vessels, supporting regulars, at the moment.
ParlaMint-GB_2017-12-05-lords.u53	My Lords, as I am sure the Minister is aware, Plymouth—a city I know very well—is home to 700 Royal Marines. Speculation is rife in the city about a reduction in their numbers and their locations. What comfort can the Minister give those 700 Royal Marines about their future in the defence of our country?
ParlaMint-GB_2017-12-05-lords.u54	My Lords, I hope that the comfort that I was able to give the House in last week’s debate on the Royal Marines will have reassured many in Plymouth that there is no question of scrapping the Royal Marines. What is going on at the moment is a national security capability review, which is looking at numbers and capabilities and seeing how we can invest and spend our growing defence budget in the most intelligent way. But the ability to transfer personnel and equipment from ship to shore will remain highly relevant to the Royal Navy’s capabilities.
ParlaMint-GB_2017-12-05-lords.u55	My Lords, what is the Minister’s view of the evidence given yesterday to the Public Accounts Committee by officials from his department, who said that more should be spent on defence, not least because of the adverse impact of the depreciation of the pound on the defence budget?
ParlaMint-GB_2017-12-05-lords.u56	My Lords, the depreciation of the pound is certainly an issue that we are wrestling with. To a certain extent, the Ministry of Defence hedges against currency devaluation but we cannot do that indefinitely into the future. We are protected to a large degree at the moment. But it is one of the reasons why we need an NSCR exercise such as the one going on at the moment, which is about not only investing in capability wisely but doing it in a cost-informed way.
ParlaMint-GB_2017-12-05-lords.u57	My Lords, there has recently been good news about co-operation with the French on naval capability. Does the Minister anticipate any further developments of this sort, where we co-operate with our close allies?
ParlaMint-GB_2017-12-05-lords.u58	Yes, indeed. One of our objectives is to strengthen our bilateral relationships, not only with the French but with Germany and other countries in Europe. But, as the noble Lord will be aware, the UK and France have had a long history of working together on operations and exercises, and the Combined Joint Expeditionary Force is a realisation of the commitment made in the Lancaster House agreement for our forces to train and operate alongside each other.
ParlaMint-GB_2017-12-05-lords.u59	My Lords, following the Minister’s answer just a moment ago about foreign currency exposure and the procurement of military equipment, would it not be sensible—in the light of recent, rather uncomfortable experience—to extend the period of that hedging to cover the full delivery and payment period for the relevant project at the time when the contract is signed and the project is undertaken?
ParlaMint-GB_2017-12-05-lords.u60	Certainly, that idea is under consideration, but I am not qualified to make a judgment as to whether a particular form of hedging, or the timing of a hedging contract, is opportune. That is for more skilled minds than mine.
ParlaMint-GB_2017-12-05-lords.u61	My Lords, in all this talk about cuts and the debate last week on the Royal Marines, is there any saving grace for the most famous military band in the world, the Royal Marines Band? Has the band been ring-fenced to make sure that this nation does not lose such a valuable asset?
ParlaMint-GB_2017-12-05-lords.u62	My Lords, I am sure all noble Lords would agree that the Royal Marines bandsmen are the finest in the world, alongside those of the other Armed Forces. But on a more serious note, I emphasise to the noble Lord that the stories that have appeared in the press about what options may be on the table are pure speculation at the moment. No decisions have been taken on any of those options.
ParlaMint-GB_2017-12-05-lords.u63	To ask Her Majesty’s Government what action they will take to support political stability and peaceful development in Nepal following the general election in that country.
ParlaMint-GB_2017-12-05-lords.u64	My Lords, the completion of local, provincial and federal elections this year will be a landmark moment for Nepal, and it represents an important step in effective implementation of the constitution of 2015. I understand that turnout levels have been encouraging. The UK Government will work closely with the newly elected Nepali Government, as we have previously, to secure a lasting political settlement. This is a vital basis for future political stability and sustainable economic growth that will benefit the Nepali people.
ParlaMint-GB_2017-12-05-lords.u65	My Lords, I thank the Minister for her encouraging reply, especially regarding the election. She will know that Nepal is at last emerging from many years of conflict. It has had emergencies, political confusion and new Governments every year, for 26 out of 27 years. Will the Government therefore now stand by their 200 year-old friendship with Nepal and help that country towards national reconciliation, because many people have recent memories of the civil war? Will they help its people towards human rights, poverty eradication, political stability and the economic progress denied them for so long?
ParlaMint-GB_2017-12-05-lords.u66	I think there will be agreement across the Chamber with the noble Earl’s sentiments. One of the constructive ways in which the UK Government are helping is of course through DfID. The DfID Nepal office invested £96 million during 2016-17 and will have a budget of £92 million for this year. As the noble Earl will perhaps be aware, that office works across three broad themes: harnessing opportunities for transformational change; delivering immediate benefits for poor people; and safeguarding Nepal from future shocks and stresses by helping with reconstruction and climate change issues. That goes a long way towards helping at grass-roots level with the very issues that rightly concern the noble Earl. He mentioned the important matter of reconciliation. There is a Truth and Reconciliation Commission, established by the Government of Nepal, which we applaud. We support its objectives and hope that, when it finally reports, its report will be published.
ParlaMint-GB_2017-12-05-lords.u67	My Lords, I very much welcome the noble Baroness’s response and her mentioning of DfID’s programmes. DfID’s programme for governance support has been critical in ensuring that the elections take place, or have taken place, relatively violence free. But there have been reports of violence, particularly in the Terai region, including pre-election violence and human rights violations. Can the noble Baroness tell us whether the Government are concerned about these reports, and whether she will step up the programme of governance support through DfID to ensure that there is a sustainable democracy in Nepal?
ParlaMint-GB_2017-12-05-lords.u68	I thank the noble Lord, Lord Collins, for raising a very important point. Yes, we are concerned at the continued election-related violence, including the use of improvised explosive devices. The UK has issued a statement condemning the attacks and calling on all parties to mutually respect the freedom of peaceful expression and assembly, as laid out in Nepal’s laws and constitution. We also call on the security forces to comply with existing national and international standards when carrying out their duties. On the broader issue of human rights, the United Kingdom Government have been very prominent in urging Nepal to respect the need for a properly managed regime of human rights, and for tangible evidence that those are not only respected but implemented.
ParlaMint-GB_2017-12-05-lords.u69	My Lords, the 2015 constitution was welcome in every regard, except the provisions relating to freedom of religion or belief which, as my noble friend may be aware, were built upon in October by a law being passed that criminalises blasphemy in similar language to the laws in Pakistan and criminalises attempts to convert somebody. Will the Minister please outline what representations we have made to the Nepalese Government to ensure that religious minorities—Christians and Muslims, who are under increasing pressure—get to share in the development and prosperity that we are all hoping for for Nepal, particularly bearing in mind that the UK Government have invested £1 billion in a hydro-electric project in Nepal? I am sure our Christian and Muslim populations would be keen to see that everyone benefits from that investment.
ParlaMint-GB_2017-12-05-lords.u70	I thank my noble friend for her question. She raises an important issue and one that has invited considerable comment. During the drafting of the Criminal Code Bill 2014, to which my noble friend referred, our officials in Nepal met the Ministry of Law, Justice and Parliamentary Affairs to discuss the Bill and raise the need for compliance with international human rights standards, which include ensuring the protection of the right to change religion. The Minister for Asia, my right honourable friend Mr Mark Field, raised this matter with the Nepalese ambassador to London on 9 October 2017, and the British ambassador to Nepal raised it with the Nepalese Prime Minister on 16 October 2017.
ParlaMint-GB_2017-12-05-lords.u71	My Lords, more than 2 million Nepalese work outside the boundary of Nepal, maybe even more because of the porous boundary of the country. Many of these people send remittances home to alleviate their family’s poverty. The conditions under which these people are employed, particularly in Gulf countries, are very deplorable. What discussions have the Government had with those countries to ensure that the basic human rights of these workers are protected?
ParlaMint-GB_2017-12-05-lords.u72	The noble Lord raises an important point. Nepal is an independent, modern, free-standing democracy, as manifest by the recent and ongoing elections, and it is for Nepal to determine what it wishes to do in relation to its citizens who may be resident in other countries. The UK has always been vocal in urging respect for human rights, and we have been vigilant in condemning breaches of human rights wherever we have thought them to be occurring. The other aspect of the question raised by the noble Lord is in relation to the economy of Nepal, which is greatly dependent on remittances from its citizens coming back to the country. There is a desire to see the indigenous economy in Nepal broaden and grow. My noble friend Lady Berridge referred to hydropower, and that is certainly one of the untapped potential areas for development. The recent Arun III mega hydro project, which is shortly to start construction, is a very welcome indication of what is possible.
ParlaMint-GB_2017-12-05-lords.u73	My Lords, I will now repeat a Statement made in the other place earlier today by my right honourable friend the Home Secretary entitled “Report on Recent Terrorist Attacks”. The Statement is as follows: “Mr Speaker, I would like to make a Statement on David Anderson’s report published today on recent terrorist attacks in London and Manchester The attacks which took place this year shocked us all. Our thoughts remain with the victims of the attacks and all those affected by them. I am conscious that many will still be suffering acutely. However painful, it is essential that we examine what happened so that we can maximise the chances of preventing further attacks in the future At the outset, I would like to remind honourable Members of the context. Andrew Parker, the director-general of MI5, recently said that we are facing ‘a dramatic upshift’ in terrorist threats, and as the so-called caliphate has weakened, Daesh has increasingly turned its attention to encouraging people to launch attacks in their home countries. Indeed, there is simply more terrorist activity, partly inspired and also enabled by terrorist propaganda and instructional videos online. Plots are developing more quickly from radicalisation to attack, and threats are becoming harder to detect, partly due to the challenge of accessing communications that are increasingly end-to-end encrypted MI5 and Counter Terrorism Policing are currently running well over 500 live operations—a third up since the beginning of the year—involving roughly 3,000 active subjects of interest. In addition, there are more than 20,000 further individuals—or closed subjects of interest—who have previously been investigated and may again pose a threat. I would like to pay tribute to MI5 and the police, who work tirelessly to keep us safe. I can announce today that they have now disrupted 22 Islamist terrorist plots since the murder of Lee Rigby in May 2013, including nine since the Westminster attack in March this year I now turn to the reviews. Counter Terrorism Policing and MI5 have conducted a thorough review process. I received from them 10 highly classified documents which analyse the attacks and potential improvements to operational practices. In June, I commissioned David Anderson QC to provide independent assurance of, and external challenge to, the reviews. I am today placing a copy of his unclassified assessment of the reviews in the House Library, and copies will also be made available in the Vote Office David Anderson concludes that the reviews have been carried out in an ‘impressively thorough and fair’ manner, and he endorses, so far as he feels qualified to do so, the conclusions and recommendations. Based on the MI5 and police reviews, David Anderson explains that: ‘In the case of the Westminster attack, Khalid Masood was a closed subject of interest at the time of the attack. Neither MI5 nor the police had any reason to anticipate the attack’ Regarding the Manchester Arena attack, Salman Abedi was also a closed subject of interest at the time of the attack, and so not under active investigation. In early 2017, MI5 none the less received intelligence on him, which was assessed as not being related to terrorism. In retrospect, the intelligence can be seen to be highly relevant. Had an investigation been reopened at the time, it cannot be known whether Abedi’s plans could have been stopped. MI5 assesses that it would have been unlikely. Across the attacks, including Manchester Arena, David Anderson notes that MI5 and CT Policing got a great deal right. However, in relation to Manchester, he also commented that, ‘it is conceivable that the attack … might have been averted had the cards fallen differently’ In the case of London Bridge, Khuram Butt was an active subject of interest who had been under investigation since mid-2015. A number of different investigative means were deployed against him, but they did not reveal his plans. His two conspirators had never been investigated by MI5 or CT Policing. In regards to Finsbury Park, neither MI5 nor the police had any intelligence about this attack. Taken as a whole, MI5 and CT Policing conclude that they could not, ‘find any key moments where different decisions would have made it likely that they could have stopped any of the attacks’ None the less, they go on to make a total of 126 recommendations The recommendations made in the MI5 and police operational review fall into four broad categories. First, there needs to be a concerted effort to enhance MI5 and the police’s ability to use data to detect activity of concern, and to test new approaches in the acquisition, sharing and analysis of data Secondly, MI5 should share its intelligence more widely and work with partners such as local authorities on how best to manage the risk posed by closed subjects of interest in particular. We are considering undertaking multiagency pilots in a number of areas, including Greater Manchester, and I have already started discussing how to take this forward with Andy Burnham Thirdly, there should be a new approach to managing domestic extremism, particularly extreme right-wing groups, where their activity meets the definition of terrorism. Fourthly, there are a large number of detailed and technical changes which could be made to improve existing operational counterterrorism processes David Anderson ends his report with several reflections. First, intelligence is imperfect and investigators are making tough judgments based on incomplete information. This unfortunately means that not every attack can be stopped. As we do not live in a surveillance state, it will always be a challenge to law enforcement to stop determined attackers getting through. Despite this, we should remember that most attacks continue to be successfully disrupted. Lastly, David Anderson concludes that even marginal improvements are capable of paying dividends that could tip the balance in favour of the security forces in future cases I have discussed these reviews at length with David Anderson, and separately with Andrew Parker and the Metropolitan Police Commissioner, Cressida Dick, as well as their senior teams. I am grateful for all their work and am confident that they have asked the right questions and drawn the right conclusions. I am clear, as are they, that the implementation of the recommendations is crucial There will be those who seek to apportion blame for the attacks. We should be united in our clarity that it lies squarely with those whose cowardly acts killed 36 innocent people this year, and with those who encouraged them. At the same time, we must learn all that we can from these attacks, and make sure that our overall counterterrorism response is equal to the shift we have seen in the threat I turn now to the next steps. Bringing those responsible to justice is our priority. We must not do anything that jeopardises the criminal prosecutions that are being pursued in relation to Manchester and Finsbury Park. The coroners’ investigations will probe the matter further and independently assess the circumstances of the deaths. Inquests have already been opened into the attacks and suspended where criminal investigations are continuing. It is right that those inquests proceed wherever they can. If the coroners consider that they cannot fully deal with the relevant issues, that is the point at which to decide whether an inquiry is needed. We are ruling nothing out I welcome the Intelligence and Security Committee’s intention to make these attacks its top priority, and I have already discussed this with my right honourable friend the Member for Beaconsfield. As I outlined, implementation of the recommendations will be crucial. I have asked David Anderson to provide an independent stock-take of progress in a year’s time, but linked to implementation are resources. We will shortly be announcing the budgets for policing for 2018-19. I am clear that we must ensure that counterterrorism policing has the resources needed to deal with the threats we face Finally, these recommendations need to fit into the broader government review of our counterterrorism strategy. That review reaches well beyond MI5 and CT Policing to look at the whole-of-government response and at how we can work better with communities, the private sector and international partners. I conclude by thanking David Anderson for his independent assurance of these reviews. I again pay tribute to the excellent work of the police and MI5 I end as I started. The thoughts of everyone in this House and the other place are with the victims, their families and all those affected by the attacks. I commend this Statement to the House” My Lords, that concludes the Statement.
ParlaMint-GB_2017-12-05-lords.u74	My Lords, I thank the Minister for repeating the Statement made earlier in the House of Commons. We share the view expressed that responsibility for these awful incidents rests solely on the shoulders of the perpetrators. We all owe a debt of gratitude to our intelligence and security services and the police for the work they do seeking to protect us from acts of terrorism. Without their commitment and dedication, this country would not feel like a safe place to live. We know only too well from an act of terrorism here on our doorstep that their commitment and dedication can result in loss of life—in this instance, of a police officer doing his duty to the full. We should all be grateful to David Anderson QC for his report, although our first thoughts must be with the families and loved ones of those who died or suffered life-changing injuries in these awful incidents Those who have the burden of responsibility of protecting us are entitled to expect our full support. Her Majesty’s Inspectorate of Constabulary has recently reported that policing is under significant stress. Officer numbers have declined significantly since 2010 and further reductions in numbers of officers and police staff are on the way. A government claim that reserves totalling £1.6 billion are available to the police has been dismissed by Her Majesty’s Inspectorate, which said that not only was the figure £200 million less than the Government had claimed but also that two-thirds was already earmarked to be spent The chair of the National Police Chiefs Council has been quoted as saying, “We’ve made £1.6 billion efficiency savings in the last five years and predict we’ll save another £0.9 billion in the next five. This at a time when HMIC recognises policing is under significant stress from rising demand and reported crime that is increasingly complex with … budgets due to fall in real terms over the next three years”. The Metropolitan Police Commissioner has warned of cuts to officer numbers if her force has to make a further £400 million in savings because of budget pressures. The indicative profile of the counterterrorism police’s grant allocation over the next three years sees a reduction of 7.2% in its budgets. Can the Minister say what the Government now intend to do to address that situation in the light of the Anderson report and the continuing, indeed increased, terrorist threat The Anderson report refers to the work of M15 and counterterrorism police in improving their co-ordination and reliance on community policing, even though the Government have previously attempted to maintain, in the face of reductions in community and neighbourhood policing numbers, that counterterrorism and community policing are unrelated activities. What do the Government intend to do to bolster community policing, now that they have been told, not for the first time, that it is a vital part of counterterrorism activity, building confidence and trust among communities and securing crucial intelligence David Anderson has said that, in the case of the Manchester terrorist attack, MI5 and counterterrorism police, “could have succeeded had the cards fallen differently” How do the Government interpret that? We know that the police and security and intelligence services have more people who should be monitored than they can properly cope with. Do the Government intend to increase the resources available to address that reality Another area that is important in countering terrorism is the effectiveness or otherwise of border controls. Currently, scarce resources are available to be spent on telling people who have lived in this country for over 50 years that they face deportation before bundling them off to an immigration detention centre. On the other hand, resources are not available to prevent 11 people in a lorry from apparently being smuggled into this country undetected by border controls and found in a layby in Wiltshire only when they start banging on the side of the vehicle—11 people who could have constituted a terrorist threat. Is it not time that the Government had a hard look at not only whether they are providing sufficient resources to our hard-pressed security and police services to counterterrorist threats but whether they have their priorities right in how the resources available should be used? The Statement refers to the fact that the Government will shortly be announcing the budgets for policing for 2018-19. The Home Secretary has said that she is clear that we must ensure that counterterrorism policing has the resources needed to deal with the threats that we face. In the Statement, the Home Secretary also said: “I would like to remind honourable Members of the context. Andrew Parker, the director-general of MI5 recently said that we are facing ‘a dramatic upshift’ in terrorist threats” If the Home Secretary is to deliver on what she has said, and the Government with her, about the need to ensure that counterterrorism policing has the resources needed to deal with the threats that we face, it has to be very clear in announcing the budgets for policing for 2018-19 that no one will have any grounds for saying that the police and counterterrorism activity are being left underresourced.
