ParlaMint-GB_2017-11-28-commons.u1	1. What steps his Department is taking to support wage growth for low-paid workers.
ParlaMint-GB_2017-11-28-commons.u33	Would my right hon. Friend like to comment on the irresponsible scare stories put out by the BBC—first on Radio 4, then on “BBC Breakfast”, on its website and across all its media platforms—that up to 100,000 people on in-work universal credit would receive no benefits over the Christmas period?
ParlaMint-GB_2017-11-28-commons.u34	I think it is disgraceful that that fake news was put out on our national broadcaster, when universal credit is actually helping people get into work and earn extra money. It is particularly poor that some of the lowest-income people in our society have been unnecessarily worried when, in fact, under universal credit, everybody can receive an advance on their payment.
ParlaMint-GB_2017-11-28-commons.u35	Even after the Budget’s limited changes to universal credit, it will still make young single-parent families with school-age children £6,000 a year worse off—those are OBR figures. We should remember that without further action to stop that, the Government will push 1 million additional children into poverty. I would like to know what they will do about that.
ParlaMint-GB_2017-11-28-commons.u36	I can tell the hon. Lady that poverty and income inequality are, in fact, at a 30-year low, thanks to this Government’s policies. What universal credit does—rather than leaving people on the scrapheap, which is what happened under the Labour Government—is help people get into work. What we have seen is that the fastest growth in employment has been among the lowest-income people in our society.
ParlaMint-GB_2017-11-28-commons.u37	I welcome the changes in universal credit announced in the Budget speech. Did my right hon. Friend note that, in its Budget analysis, the Institute for Fiscal Studies described the changes in universal credit as “well targeted at those who find it difficult to cope with the six week wait”?
ParlaMint-GB_2017-11-28-commons.u38	My hon. Friend is absolutely right. What we have been doing is making changes to universal credit to make sure it works for absolutely everybody. We have rolled it out gradually to make sure it is effective, unlike the previous botched efforts of tax credits under the previous Labour Government. We have learned the lessons. We are helping more people get into employment. We have the lowest unemployment since 1975, and the people who have benefited most are the lowest earners in our society.
ParlaMint-GB_2017-11-28-commons.u39	Universal credit is being rolled out in Bishop Auckland over Christmas, affecting 10,000 households. On the Government’s figures, we know that it will take £20 million out of the local economy. Surely the Minister can see that that is bad for jobs and bad for local shops.
ParlaMint-GB_2017-11-28-commons.u40	With respect, I do not think the hon. Lady is taking into account the extra income that those families will earn because they are more likely to be in work under universal credit. That is where the benefit is. Rather than keeping people in a poverty trap, where they were losing £1 for every extra £1 they were earning, work always pays under universal credit, and people are able to earn the money they need to support their families.
ParlaMint-GB_2017-11-28-commons.u41	4. What recent investment the Government has made in major digital infrastructure.
ParlaMint-GB_2017-11-28-commons.u42	The Government are investing more than £1 billion to stimulate the market to build the next-generation digital infrastructure the UK needs for its future. At the autumn Budget, we launched a £190 million challenge fund for gold-standard full fibre broadband, provided £160 million to develop 5G networks and invested £35 million to improve mobile connectivity for rail passengers.
ParlaMint-GB_2017-11-28-commons.u43	Last week, I held a Westminster Hall debate on the Scottish Government’s catastrophic failure to deliver superfast broadband for rural communities across Scotland. In that debate, the Minister for Digital confirmed that millions of pounds of taxpayers’ money has not been released by the Scottish Government to help roll out superfast broadband. What discussions has my hon. Friend had with Ministers from the Scottish Government to ensure that money gets to where it needs to be—rural communities in need of better broadband service?
ParlaMint-GB_2017-11-28-commons.u44	The Government are supporting the roll-out of superfast broadband right across the UK, and that has included allocating more than £120 million to help the Scottish Government deliver 100% superfast coverage in Scotland by 2021. To be specific, the Minister for Digital discussed progress with the Scottish Government on 6 November and had further discussions this week.
ParlaMint-GB_2017-11-28-commons.u45	This is not good enough. If we are going to tackle the appalling productivity levels in our country, we need to invest in this sort of infrastructure, we need to invest in skills and we need to invest in top-class management. The Minister should get his act together and do it.
ParlaMint-GB_2017-11-28-commons.u46	I think the hon. Gentleman may have missed some of the announcements in the Budget. Perhaps I could highlight one in particular: the £740 million from the national productivity investment fund that has been allocated for digital infrastructure.
ParlaMint-GB_2017-11-28-commons.u47	The hon. Member for Mid Norfolk (George Freeman) is looking more upbeat than ever. Let’s hear the fella!
ParlaMint-GB_2017-11-28-commons.u48	Thank you, Mr Speaker; it is nice to be back. I welcome, on behalf of my constituents, the digital announcement in the Budget last week—and the sight of a grown-up team in charge of the economy, unlike the reheated Marxists opposite. On productivity, does the Minister agree that we need public sector leadership to create a private-public partnership on digital infrastructure? May I also welcome the announcement in the Budget of a public sector leadership academy, so that we can invest in our public sector leaders?
ParlaMint-GB_2017-11-28-commons.u49	My hon. Friend makes a typically insightful point. Digital improvement is one of the key drivers in improving our productivity, so I am happy to agree entirely with his wise points.
ParlaMint-GB_2017-11-28-commons.u50	When will local authorities be told the basis on which they will be invited to apply for the new money that the Government have earmarked? Will the Minister assure me that it will be distributed on the basis of an area’s need, and not just the population numbers?
ParlaMint-GB_2017-11-28-commons.u51	I will look into the point that the right hon. Gentleman raises and write to him with the answer.
ParlaMint-GB_2017-11-28-commons.u52	5. What recent assessment he has made of the effect of air passenger duty on smaller regional airports.
ParlaMint-GB_2017-11-28-commons.u53	The Government recognise the importance of regional airports, not least for the productivity of smaller local communities. That is why, despite the fact that there is no VAT on airline tickets or duty on aviation fuel, we have frozen the APD rate for long-haul economy flights, as was announced in the Budget.
ParlaMint-GB_2017-11-28-commons.u54	I thank the Minister for that reply. Many of the flights from our regional airports are internal domestic flights, on which passengers end up paying APD twice—on both legs of their journey. To support our smaller regional airports, will he consider cutting APD on internal flights by 50%, as I believe we will be able to once we leave the EU?
ParlaMint-GB_2017-11-28-commons.u55	My hon. Friend raises an interesting point. This is something that we have looked to address in the past. In 1998, the European Commission ruled that we were unable to do that under state aid rules, but of course once we have left the European Union, depending on the details of the agreement under which we do that, we may be able to revisit this.
ParlaMint-GB_2017-11-28-commons.u56	The Treasury’s own modelling shows that Newcastle airport in my constituency will be the most affected by the devolution of air passenger duty to Scotland, so what progress have the Government made on ensuring that any impact is mitigated for English regional airports?
ParlaMint-GB_2017-11-28-commons.u57	As I have said, in this Budget we have frozen APD for long-haul economy flights. That comes on the back of a number of actions that we have taken over the years to reduce APD. In 2014, we cut it and exempted children from it on economy flights. We will continue to review it, as we do all taxes, in the light of the issues that the hon. Lady has raised.
ParlaMint-GB_2017-11-28-commons.u58	In the light of the Chancellor’s very welcome announcement last week about a possible review of air passenger duty in Northern Ireland, will the Minister take account of the fact that all our airports—Belfast City, Belfast International and Londonderry—suffer a very serious disadvantage when competing with airports in the Irish Republic, which all have significantly lower APD, and review matters accordingly?
ParlaMint-GB_2017-11-28-commons.u59	I thank the hon. Gentleman for his question. In the Budget, the Chancellor made it very clear that we will have a full call for evidence and undertake a review of matters relating to both APD and VAT, and their impact on tourism, which we recognise is so vital to the Northern Ireland economy.
ParlaMint-GB_2017-11-28-commons.u60	6. What steps his Department is taking to support regional economic growth.
ParlaMint-GB_2017-11-28-commons.u61	11. What steps his Department is taking to improve regional productivity.
ParlaMint-GB_2017-11-28-commons.u62	The Government recognise the importance of closing the economic gap between regions of our country as an economic and social priority, and the industrial strategy is focused on doing that. If we eliminated just half of the productivity gap with London, we would add £300 billion to our gross domestic product; that is £4,600 for every man, woman and child in this country. That is why the Budget announced a raft of measures designed to move forward our progress on that.
ParlaMint-GB_2017-11-28-commons.u63	The economic case for a wider Yorkshire devolved settlement is compelling, so much so that in Yorkshire it is supported by the CBI, the Institute of Directors, the Federation of Small Businesses, the TUC and many of the Chancellor’s own colleagues in local government. Does he recognise the strength of the economic argument, and, if he does, can he speak to his colleagues in the Department for Communities and Local Government?
ParlaMint-GB_2017-11-28-commons.u64	The Government are committed to the Sheffield city region deal, which will bring £1 billion of new Government investment to the area. We recognise the debate that is going on about a possible wider Yorkshire-based deal and we are happy to consider that, if it can be done in a way that does not disrupt the existing deal that has been agreed for the Sheffield city region.
ParlaMint-GB_2017-11-28-commons.u65	The Bank of England deputy governor recently argued that Brexit could lead to a “sharp step down” in the UK’s productivity growth. That is likely to hit regions in different ways, and today the Social Mobility Commission talked about the “widening geographical divide”. What impact does the Chancellor believe the extra resources that he has talked about in the light of preparation for Brexit will have on tackling regional productivity issues and social mobility?
ParlaMint-GB_2017-11-28-commons.u66	We know some of the things that drive our low productivity performance. Regional differences are one of them, and others are low levels of capital investment in private businesses, relatively low levels of public infrastructure investment and poor skills. We set out in the Budget a raft of measures that will address all of them. The end result is that this Government, on average, over this Parliament will be investing £25 billion a year more in real terms than the Labour Government invested over their period in office.
ParlaMint-GB_2017-11-28-commons.u67	To encourage economic growth in Stoke, the local council is offering serviced plots of land to finance directors and managing directors to build big houses, bring their businesses and invest, creating more jobs and more economic growth. Does the Chancellor agree that that model could be followed elsewhere? Does he agree that it shows that, as in all other areas of social policy, self-build and custom house building has a great deal to offer, including for economic growth?
ParlaMint-GB_2017-11-28-commons.u68	My hon. Friend has been consistent in arguing the case for the promotion of self-build and custom house building, which has an important role to play in our ambition of delivering 300,000 new net additional homes a year by the middle of the next decade.
ParlaMint-GB_2017-11-28-commons.u69	Will my right hon. Friend join me in welcoming the potential for £40 billion of investment in the north-east of Scotland region oil and gas industry, as a direct result of the tax relief announced in the Budget, and could he encourage the SNP and Scottish Labour to get on board?
ParlaMint-GB_2017-11-28-commons.u70	I am absolutely happy to agree with my hon. Friend. The North sea as a basin is coming towards the end of its life, but none the less there are many billions of barrels of oil to be exploited there, involving very large amounts of economic activity in the region and potentially significant receipts to the Treasury. The measure that we have taken will stimulate economic growth in the region and, if all goes well, generate a windfall to the UK Exchequer.
ParlaMint-GB_2017-11-28-commons.u71	17. The Chancellor is right to say that poor productivity levels and regional variations in them are closely linked to skills and education, and he will know that that starts in the very earliest years of a child’s life. So will he look kindly on a bid he has had from Greater Manchester to boost school readiness in the early years? It is a small amount of money, but it could really innovate and transform these arrangements.
ParlaMint-GB_2017-11-28-commons.u72	I heard what the hon. Lady said, and my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones) tells me that he is meeting the Mayor of Manchester next week to discuss this issue.
ParlaMint-GB_2017-11-28-commons.u73	Thanks to this Government’s investment of £22 million pledged via the local enterprise partnership, Cheltenham can look forward with confidence to a cyber-hub, creating a centre of cyber-excellence in the home of GCHQ. Is that not exactly the kind of project that will drive opportunity and boost productivity in constituencies such as mine?
ParlaMint-GB_2017-11-28-commons.u74	It is. GCHQ is a world-class resource. The way it has engaged in seeking to use its expertise to create a world-class cyber-security business sector in the UK economy is exemplary, and we should encourage it.
ParlaMint-GB_2017-11-28-commons.u75	No wonder the hon. Member for Mid Norfolk (George Freeman) referred to a leadership academy; three quarters of the Cabinet are queuing up to get into it. What impact does the Chancellor think a £1 billion, two-year grant—equivalent, let us say, to the one he gave to Northern Ireland—would have on regional economic growth in, for example, the constituency of my hon. Friend the Member for Barnsley Central (Dan Jarvis) in the Sheffield city region?
ParlaMint-GB_2017-11-28-commons.u76	I do not like to blow my own trumpet, but on the whole I think my jokes were better than the hon. Gentleman’s. As I said to the hon. Member for Barnsley Central (Dan Jarvis), the Sheffield city region deal would bring £1 billion of new Government investment into the area, which will stimulate local economic growth and job creation, and support upskilling in the area and improvement of the infrastructure. Doing these deals around the country and making funds available to local authorities—they know best what is necessary for their areas —is the way to deliver enhanced economic growth.
ParlaMint-GB_2017-11-28-commons.u77	I will give the Chancellor another opportunity to answer a similar question in relation to improving regional productivity. What would be the impact in, let us say, the south-west region, in the constituency of his hon. Friend the Member for St Austell and Newquay (Steve Double), if the Chancellor provided for that area a £1 billion, two-year grant commensurate with that for Northern Ireland?
ParlaMint-GB_2017-11-28-commons.u78	There are many things in which we can invest in every region of the country, and I am pretty confident that I could take £1 billion to any region of the UK and invest it in a way that would enhance productivity and stimulate economic growth.
ParlaMint-GB_2017-11-28-commons.u79	7. What assessment he has made of the potential effect on the manufacturing industry of adopting the lesser duty rule.
ParlaMint-GB_2017-11-28-commons.u80	When we leave the European Union, we will ensure that we have a robust remedies regime in place. It will ensure that we have robust measures to take against dumping, excessive subsidy and import surges. Part of that will be a lesser duty rule, as we have with the European Union at present, to ensure that the measures we take are proportionate in protecting our producers at the same time as protecting the interests of consumers and other downstream businesses.
ParlaMint-GB_2017-11-28-commons.u81	I thank the Financial Secretary for that answer, but he will be beware that the provisions of the Taxation (Cross-border Trade) Bill will be some of the least generous in World Trade Organisation countries once we have left the European Union. Will he meet me and the British Ceramic Confederation, which genuinely wishes to work with him to make the Bill better, so that we can protect British manufacturing once we are outside the EU?
ParlaMint-GB_2017-11-28-commons.u82	Yes, I will.
ParlaMint-GB_2017-11-28-commons.u83	8. What steps he is taking to ensure that young people are not disproportionately affected by reductions in Government expenditure.
ParlaMint-GB_2017-11-28-commons.u84	Next year, we will start paying down the debt for the first time in 17 years, which will reduce the burden on future generations and help our young people.
ParlaMint-GB_2017-11-28-commons.u85	Today’s state of the nation report makes very clear the barriers to social mobility facing many young people in England. Given this Government’s record of cuts to social funding and school funding, raising tuition fees, high youth unemployment and failure to produce affordable housing for families and young people, these findings are not surprising. What action will the Minister take to combat the intergenerational divide for young people right across the country?
ParlaMint-GB_2017-11-28-commons.u86	I point out to the hon. Gentleman that youth unemployment rose under the previous Labour Government and was 20% when they left office. They let down young people, with stagnating standards in English and maths, rampant grade inflation and rising youth unemployment. Under this Government, we are increasing the number of apprenticeships, we have improved the school curriculum, we have brought in new academies and free schools, and youth unemployment is at its lowest level for over 13 years.
ParlaMint-GB_2017-11-28-commons.u87	Does my right hon. Friend agree that the railcard extension for under-30s announced in last week’s Budget will support young people by significantly lowering their commuting costs and encourage more of them into employment?
ParlaMint-GB_2017-11-28-commons.u88	My hon. Friend is right that that will of course help young people. We have introduced the stamp duty cut for first-time buyers, which will help many in their 20s and 30s to get on to the housing ladder for the first time. We are also putting new money into maths and computer science to help young people get the skills they need to succeed in the modern economy.
ParlaMint-GB_2017-11-28-commons.u89	9. What assessment he has made of recent trends in UK economic growth.
ParlaMint-GB_2017-11-28-commons.u90	The UK economy is fundamentally strong: we have seen 19 consecutive quarters of growth; unemployment is at its lowest level for 42 years; and the Office for Budget Responsibility forecasts that a further 600,000 people will be in work by 2022.
ParlaMint-GB_2017-11-28-commons.u91	Does my hon. Friend agree that it is only by investing heavily in productivity and infrastructure, such as the new junction 10 of the M6 in Walsall, that we can truly build a Britain that is fit for the future?
ParlaMint-GB_2017-11-28-commons.u92	I very much agree. It is for that reason that the Budget set out a devolution 2 deal with Andy Street, including £250 million for transport schemes such as junction 10 of the M6.
ParlaMint-GB_2017-11-28-commons.u93	To enable economic growth among small and medium-sized enterprises in Northern Ireland, they need superfast broadband. That is critical in bringing more jobs, more opportunities and better wages, and in balancing work and family life. Will the Minister outline what he will do to ensure that that happens?
ParlaMint-GB_2017-11-28-commons.u94	It is for investment of exactly the sort the hon. Gentleman mentions that we have invested in the national productivity investment fund, including a further £8 billion that was set out in the Budget.
ParlaMint-GB_2017-11-28-commons.u95	The Office for Budget Responsibility forecasts last week did show the UK economy growing over the forecast period, but only just. My hon. Friend will be aware that much of the economic growth has relied on household spending. Is he also aware of the Bank of England’s financial stability report, published this morning, which shows that household finances are starting to deteriorate somewhat? Can he provide confidence that the Government are aware of that and say what they are doing to help households maintain their balance sheets?
ParlaMint-GB_2017-11-28-commons.u96	I know that the Treasury Committee, which my right hon. Friend chairs, and the Financial Policy Committee keep that matter under constant review. It is always assessed in line with the cyclical buffers that the FPC sets for the banks.
ParlaMint-GB_2017-11-28-commons.u97	Will the Economic Secretary explain why the Government have decided to sell their shares in RBS now, at a loss of over £26 billion? The public bailed out RBS and have sustained its losses and paid its fines. Why, just as it appears to be on the brink of returning to profit, should the public not only miss out, but make a massive loss? Is it not the case that selling those shares and reclassifying housing association debt is the only way that the Government can claim that net debt is falling?
ParlaMint-GB_2017-11-28-commons.u98	The Government are not selling the shares now. The Budget set out our intention, which it has always been, to return the bank to the private sector and sell those shares by the end of 2018-19. I am sure the hon. Gentleman recognises that the balance sheet is half the size it was in 2008, when his party paid 502p a share. The bank is therefore in a very different place from the mess we inherited from the Labour party.
ParlaMint-GB_2017-11-28-commons.u99	10. For what reasons the national living wage does not extend to people under 25 years old.
ParlaMint-GB_2017-11-28-commons.u100	In the Budget, we announced the largest increases to the minimum wage youth rates in 10 years. On average, they increased by 4.9%, which was greater than the increase for the over-25s.
ParlaMint-GB_2017-11-28-commons.u101	I am afraid that the argument the Government have put forward blows a hole in the idea that they are building a country that works for everyone. The reality is that under-25s are not included in the national living wage. Why do we have state-sanctioned pay poverty under this Government and why, shamefully, are apprentices paid as little as £3.70 per hour under this Budget?
ParlaMint-GB_2017-11-28-commons.u102	As I have just pointed out, younger workers are getting a bigger rise than those over the age of 25. The reason there is a lower rate is that it is vital to ensure that young people get into work, get work experience and build up their skills. We do not want to end up where we were at the end of the Labour Government, with 20% youth unemployment and young people losing out on opportunities for life.
ParlaMint-GB_2017-11-28-commons.u103	12. What plans the Government have to invest in major infrastructure projects during the 2017 Parliament.
ParlaMint-GB_2017-11-28-commons.u104	15. What plans the Government have to invest in major infrastructure during the 2017 Parliament.
ParlaMint-GB_2017-11-28-commons.u105	We are expanding the national productivity investment fund to provide £31 billion of investment. That includes a £1.7 billion transport fund to transform our great cities and a more than doubling of the housing infrastructure fund to £5 billion. We have published the “National Infrastructure and Construction Pipeline” and are delivering the largest rail modernisation since Victorian times, the biggest road investment programme since the 1970s and two of the largest engineering projects in Europe—Crossrail and HS2. Taken together, that means that the Government will invest, on average, £25 billion more per annum in real terms than was invested during the 1997 to 2010 Government.
ParlaMint-GB_2017-11-28-commons.u106	I welcome the investment in infrastructure, in particular in the Oxford to Cambridge corridor, which will bring significant benefit to my area. It is important that when we plan more houses, we get the infrastructure in place before the housing. Does the Chancellor agree with that proposition?
ParlaMint-GB_2017-11-28-commons.u107	I agree with my hon. and learned Friend. The Cambridge-Milton Keynes-Oxford corridor has the potential to be a globally significant growth corridor, and I agree with the National Infrastructure Commission that to realise this potential we need a joined-up plan that covers jobs, homes and infrastructure. Local and national Government must work together, with developers and investors, to align the delivery of these elements and ensure that infrastructure is in place to support housing growth in the corridor.
ParlaMint-GB_2017-11-28-commons.u108	Over the last few months, we have seen many accidents on the main artery through my constituency, on the A38. I am currently working with partners to ensure the much-needed urgent improvements on the road. Will the Treasury make sure that the extra investment in our roads can enable this work to get under way?
ParlaMint-GB_2017-11-28-commons.u109	Yes, we have committed to investing over £2 billion in the strategic road network in the south-west, including the first steps towards transforming the A303-A358 route and upgrading sections of the A30. Safety is one of the Government’s top priorities, and improvements to strategic roads with safety concerns, such as the A38, will be considered for inclusion within the portfolio of schemes in the second road investment strategy.
ParlaMint-GB_2017-11-28-commons.u110	The Chancellor will know that even after the Budget the south-east and London will still receive a disproportionate share of infrastructure spending. Will he undertake to give an annual report to Parliament detailing both the spending and the likely economic impact of that spending across different regions?
ParlaMint-GB_2017-11-28-commons.u111	I am certainly happy to look at the information we hold and whether it could be presented in a way that satisfies the hon. Gentleman’s requirements. It is a legitimate question. Much of this infrastructure investment will have an impact across the country. For example, investment in HS2 will benefit parts of the north of England far more than many of the areas through which the railway will run.
ParlaMint-GB_2017-11-28-commons.u112	With all this money swilling about for major infrastructure investment, will the Chancellor explain why the rail funding formula has been ignored and Scotland’s rail budget has been cut by £600 million over the next investment period?
ParlaMint-GB_2017-11-28-commons.u113	As I understand it—I will correct myself if I am wrong—the allocation to Scotland in Network Rail’s control period 6 investment programme is exactly proportionate to the overall England, Wales and Scotland budget.
ParlaMint-GB_2017-11-28-commons.u114	19. In advance of the huge numbers of additional houses expected to be built in Medway by 2035, plus the additional traffic that will come with the new Thames crossing, and given the congestion issues already facing commuters and trade across north Kent, will the Chancellor outline plans to boost investment in the region’s strategic transport network?
ParlaMint-GB_2017-11-28-commons.u115	Yes, we do have plans, of course, for investment in the region, including the lower Thames crossing project, but I recognise the challenge that my hon. Friend presents. If there is to be a significant expansion of housing in the region, it is essential that the strategic infrastructure be put in place, and it will be essential that we capture uplifted land value to finance it. My right hon. Friend the Secretary of State for Communities and Local Government will bring forward proposals in due course to ensure that we can capture land value uplift for that purpose.
ParlaMint-GB_2017-11-28-commons.u116	In the last year, the British Government have disgracefully reneged on a promise to electrify the main line to Swansea, and there was no announcement on the Swansea bay tidal lagoon in last week’s Budget, so what specific infrastructure projects in Wales are the British Government investing in?
ParlaMint-GB_2017-11-28-commons.u117	The hon. Gentleman says the Government have reneged on a promise to electrify the railway. What passengers care about is the quality of service, the frequency of service, the reliability of service and the speed of the service, and train technology has moved on, such that all those requirements can be met with the new hybrid trains being deployed on that network.
ParlaMint-GB_2017-11-28-commons.u118	13. What assessment he has made of the effect on the economy of an increase in the number of start-ups.
ParlaMint-GB_2017-11-28-commons.u119	The UK is a world-leading place to start a business. Start-ups create jobs, attract investment and bring innovative products and services to market. The UK’s small and medium-sized enterprises have created 2 million new jobs since 2010. We want our start-ups to grow and succeed in the new economy, and that is why the Chancellor announced at the Budget a comprehensive package to unlock over £20 billion of new investment in innovative businesses.
ParlaMint-GB_2017-11-28-commons.u120	Start-ups and small businesses, including those in my constituency, form the backbone of local economies. I shall be visiting some of them this weekend as part of Small Business Saturday. Can my hon. Friend update the House on what more is being done to support micro and small businesses?
