ParlaMint-GB_2021-01-19-commons.u1	What steps he is taking to ensure his Department prioritises poverty-focused aid.
ParlaMint-GB_2021-01-19-commons.u12	I thank the hon. Gentleman for his question and he is right to raise it. We have shared guidance and scientific background with the Government of Sri Lanka on how the UK has ensured that burials can continue to operate in a safe format within the World Health Organisation guidelines. We also discussed, via my colleague Lord Ahmad, the importance of minority rights with the Sri Lankan Foreign Minister in November. Our high commissioner to Sri Lanka has raised forced cremation several times with the Sri Lankans—most recently, just over a week ago. We continue to speak with Sri Lanka, and have done so within the last week, and with Geneva regarding its commitment to upholding this resolution. We are certainly committed to it, and we will continue that dialogue.
ParlaMint-GB_2021-01-19-commons.u13	What assessment he has made of the effect of events at the US Capitol building on 6 January 2021 on the state of democracy worldwide.
ParlaMint-GB_2021-01-19-commons.u14	What recent discussions he has had with the US Administration on reports of the (a) detention and (b) assault of journalists covering the rioting in Washington, D.C. on 6 January 2021.
ParlaMint-GB_2021-01-19-commons.u15	The resumption of Congress and the certification of Joe Biden’s victory on 7 January sent an essential message that the democratic will of the US people cannot be challenged by a violent minority.
ParlaMint-GB_2021-01-19-commons.u16	In the wake of what happened on Capitol hill, politicians around the world looked on in condemnation at the incendiary language of Mr Trump—without regretting how close a relationship they had formed with the President. Sadly, though, the same cannot be said for political figures in this Government. So I must ask the Foreign Secretary whether he and his party regret cosying up to Trump, kowtowing to him and legitimising him and his racist, climate change-denying rhetoric, or will they remain eclipsed by any populist leader who comes along?
ParlaMint-GB_2021-01-19-commons.u17	I am afraid that the hon. Gentleman’s assertion and caricature are very far from the truth. We made it clear that the scenes by a small but ugly minority in Washington were disgraceful. We also made it clear we had full confidence in the system of checks and balances in the US to provide a definitive result and a smooth transition. We look forward to working with the new Administration.
ParlaMint-GB_2021-01-19-commons.u18	There were 342 assaults on journalists in America last year and there have been 13 further this year. Will my right hon. Friend work with the new Administration in America to protect the rights of journalists around the world, and also call on social media companies to do more—[Interruption]—not just to tackle harmful disinformation, but to make sure that social media platforms are not used to incite attacks against journalists?
ParlaMint-GB_2021-01-19-commons.u19	I thank my hon. Friend. I do not know whether that bell came from his end or our end, but in any event it certainly added a bit of flourish to his question.
ParlaMint-GB_2021-01-19-commons.u20	It’s Amazon.
ParlaMint-GB_2021-01-19-commons.u21	It’s Amazon, is it? Okay. Thank you, Mr Speaker, as ever My hon. Friend is absolutely right. The press must be allowed to cover events without fear or denial of access. We have discussed our concerns about the violent events that we saw at official level, but also at ministerial level. I have done that myself. I can assure him no British journalists were detained. Of course, working with Canada and others, we have a media freedom coalition, and we certainly look forward to co-operating with the US and many others to pioneer that work through our global leadership year in 2021.
ParlaMint-GB_2021-01-19-commons.u22	Today, we all utterly condemn the lawless and violent storming of the US Capitol on 6 January, with the FBI identifying the involvement of far-right activists and domestic terrorists. It is clear that, week after week, President Trump’s behaviour, undermining the electoral victory of President-elect Biden, played a key role in inciting the mob. Does the Foreign Secretary believe that this violent episode has damaged democracy, and what urgent steps can be taken to mend the sense that our Government were lukewarm around the election time and failed to uphold the sense of democracy that we all deeply care about?
ParlaMint-GB_2021-01-19-commons.u23	I say to the hon. Lady that the UK was not lukewarm, and she must have missed the Prime Minister’s statement in which he was very clear that what President Trump should have done—[Interruption.] We do not conduct diplomacy by Twitter, unlike the hon. Member for Wigan (Lisa Nandy). We were absolutely clear about it. At the same time, we are also confident in the US system of checks and balances, and we are very much looking forward to working with the new Administration.
ParlaMint-GB_2021-01-19-commons.u24	What diplomatic steps he is taking to bring Iran back into compliance with the Joint Comprehensive Plan of Action.
ParlaMint-GB_2021-01-19-commons.u25	We are very concerned about Iran’s continued systemic non-compliance with its nuclear commitments, and we have made that clear with our E3 partners, including recently at the ministerial meeting of the joint comprehensive plan of action.
ParlaMint-GB_2021-01-19-commons.u26	Recent confirmation from the International Atomic Energy Agency that Iran has resumed enriching uranium to 20% purity at its Fordow facility is enormously concerning, and it is arguably the most significant breach of the JCPOA. Will the Foreign Secretary confirm that his Department will press the new Administration under President-elect Biden to rejoin the deal, and put much-needed pressure on Iran to return to compliance?
ParlaMint-GB_2021-01-19-commons.u27	My hon. Friend is right about the risk from the now systemic serial non-compliance from Iran. On 21 December we held a ministerial meeting of the JCPOA ministerial commission, which was an opportunity to set out clearly our position, not just the UK, but with our French and German partners. It is welcome that President-elect Biden and the new Administration have talked about coming back to the JCPOA, and enhancing and strengthening it, and that will be one of the early topics of conversation that we have with the new Administration.
ParlaMint-GB_2021-01-19-commons.u28	I hope the whole House will join me in welcoming the newest member of the Foreign Affairs Committee, and congratulate my hon. Friend the Member for Rutland and Melton (Alicia Kearns) on the birth of her second child, which I have just heard about. Before the Secretary of State joins me in offering such congratulations, will he also give some thought to the approach of the new Biden Administration on the Iran deal? He will have read in the Foreign Affairs Committee’s report, which was expertly helped by my hon. Friend the Member for Rutland and Melton, the various thoughts that we put down, including looking at how we can work with regional partners and allies who are deeply concerned by the change of Administration, and perhaps a change of tone in the White House. How will my right hon. Friend ensure that the Biden Administration, the UK Administration, and our friends and partners in the region work together to ensure that we stop this malevolent dictatorship expanding its evil reach any further?
ParlaMint-GB_2021-01-19-commons.u29	I thank the Chair of the Select Committee, and pay tribute to my hon. Friend the Member for Rutland and Melton (Alicia Kearns). I congratulate both parents on their new child—a very happy moment. We are obviously putting a lot of thought into how we engage with the new Administration, including on Iran. The E3 unity that we have shown throughout is a value of strength, and a lever for the United States and the new Administration. My hon. Friend will also be aware that there is a window of opportunity between now and the Iranian presidential elections in early June, to try to make some definitive progress. Against that timeframe we ought to be able to focus minds.
ParlaMint-GB_2021-01-19-commons.u30	What recent steps the Government have taken to help ensure equitable access to covid-19 vaccines for people living in the global south.
ParlaMint-GB_2021-01-19-commons.u31	What recent steps the Government have taken to help ensure equitable access to covid-19 vaccines for people living in the global south.
ParlaMint-GB_2021-01-19-commons.u32	What recent steps the Government have taken to help ensure equitable access to covid-19 vaccines for people living in the global south.
ParlaMint-GB_2021-01-19-commons.u33	What diplomatic steps the Government are taking to support the development and distribution of covid-19 vaccines (a) in the UK and (b) throughout the world.
ParlaMint-GB_2021-01-19-commons.u34	What diplomatic steps the Government are taking to support the development and distribution of covid-19 vaccines (a) in the UK and (b) throughout the world.
ParlaMint-GB_2021-01-19-commons.u35	The UK is committed to rapid equitable access to safe and effective vaccines through multilateral collaboration. We are combining our diplomatic influencing, development expertise, and money to tackle covid-19 and secure vaccines. The UK is a founding member, and one of the largest donors to the COVAX advance market commitment. We have committed £548 million to this international initiative for global equitable access, which through match funding has encouraged other donors to commit an additional $1 billion.
ParlaMint-GB_2021-01-19-commons.u36	The world is on the brink of a “catastrophic moral failure” according to the head of the World Health Organisation. Unless there is a collaborative global approach, the pandemic and the ensuing human and economic suffering will merely be prolonged. Does the Minister therefore agree that any hoarding of vaccines by richer nations is unforgivable and unconscionable, and that we must all work collectively for the betterment of all humanity by simultaneously helping people within our nation while helping to provide for those who are less affluent than us?
ParlaMint-GB_2021-01-19-commons.u37	The hon. Gentleman makes a really important point and I am sure that that is why he will agree with me that the COVAX AMC is such an important tool and facility for us to help developing countries. This particular facility will support access to covid-19 vaccinations for up to 92 developing countries. This will contribute to the supply of 1 billion doses in 2021 and the vaccination of 500 million people. Let me be clear, Mr Speaker: the UK is at the forefront of multilateral efforts to ensure equitable global access through the COVAX facility.
ParlaMint-GB_2021-01-19-commons.u38	Yesterday, the director of the World Health Organisation stated that 39 million vaccine doses had been administered in 49 higher income countries, whereas in one poor country just 25 doses had been given—not 25 million, not 25,000, just 25. Does the Minister agree that global equality on the vaccine roll-out should not just be a moral imperative but a strategic one to stop the spread of the virus? If she does agree, why do her Government not support calls for pharmaceutical companies to waive intellectual property rights and openly share technology through the World Health Organisation covid technology access pool?
ParlaMint-GB_2021-01-19-commons.u39	When it comes to vaccines, we have been very clear that we support equitable access. This is a global pandemic. This is a virus that respects no boundaries and no barriers. That is why we are working and leading the way at the forefront of multilateral efforts to ensure we get equitable access through this really important COVAX facility.
ParlaMint-GB_2021-01-19-commons.u40	I want to press the Minister further, because none of us is safe until all of us are safe. Clearly, with the threat of the spread and the mutation of the virus we are all at risk until the world is vaccinated. Will the Minister say specifically what work her Government have done to overcome intellectual property rights to ensure the manufacture of the vaccine in the global south and ensure that those countries that currently cannot get access to the vaccine can distribute it locally?
ParlaMint-GB_2021-01-19-commons.u41	The UK believes that a robust and fair intellectual property system is a key part of the innovation framework that allows economies to grow and become innovators, while enabling society to benefit from knowledge and ideas. We believe that non-exclusive voluntary licensing has advantages over compulsory licensing, because it creates a sounder basis for long lasting beneficial relationships and incentives to create and commercialise new inventions such as those life-changing vaccines.
ParlaMint-GB_2021-01-19-commons.u42	I thank the Minister for her answer. What steps is her Department taking to ensure that the poorest and most disadvantaged countries have access to vaccines?
ParlaMint-GB_2021-01-19-commons.u43	I think this goes to the heart of this particular question today. Our commitment will support access to covid-19 vaccines for up to 92 developing countries by contributing to the supply of 1 billion doses in 2021. That is only possible through the COVAX AMC facility, which we have been leading on from the front with our big commitment of £548 million to that facility and the encouragement of others to step up to the mark and reach the $1 billion target, too.
ParlaMint-GB_2021-01-19-commons.u44	The Minister has set out how important it is for people around the world to be vaccinated against covid-19 and reminded us about the UK’s strong record of supporting vaccination in the developing world. Is she confident that we will be able to continue to meet our international commitments on vaccination if we reduce our levels of aid from 0.7% of GDP?
ParlaMint-GB_2021-01-19-commons.u45	I know that my hon. Friend takes a keen interest in international development. The seismic impact of the pandemic on the UK economy has forced us to take tough but necessary decisions, including our temporary reduction of ODA from 0.7% to 0.5% of gross national income. We will return to that level as soon as the fiscal situation allows, but let me reassure him that we will remain a world-leading aid donor, spending that 0.5% percent of GNI. When it comes to our commitment, particularly on vaccines and vaccinations, I point to the Gavi vaccine summit, which the Prime Minister hosted in the early part of last year. At that summit the UK Government committed to £1.65 billion over the next five years to support Gavi, the Vaccine Alliance. That will immunise 300 million children and save up to 8 million lives.
ParlaMint-GB_2021-01-19-commons.u46	I echo the concerns of colleagues across the House that vaccine nationalism is dangerous and self-defeating. This is not an Olympics; it is a global problem that we must deal with on a multilateral basis. I pay tribute to what the UK has done in donating to the COVAX system. There is still a $4.3 billion dollar shortfall to this and, as we have heard, nobody is safe until everybody is safe on a global scale. What plans are there to convene a Gavi II summit to bring international donors together to work with colleagues across the world to make sure that nobody gets left behind in this? And would she condemn colleagues in her Government who are indulging in vaccine nationalism and pretending that one country is doing better than another, when we really are facing a common challenge?
ParlaMint-GB_2021-01-19-commons.u47	This is a global pandemic and I commend the work of the Government in the vaccination programme that we have. I look to my constituency and the tremendous work that Walsall Manor Hospital and the Oak Park centre are doing. Alongside that, let me reassure the hon. Gentleman that we are absolutely committed to equitable access. The global Gavi summit that we held earlier last year was just one example of the leading part that the UK Government are taking when it comes to the fight against the covid-19 pandemic.
ParlaMint-GB_2021-01-19-commons.u48	The longer the pandemic rages, the more damage will be done to ordinary families around the world who are suffering from a crisis they did not create. We have an opportunity to save countless lives and livelihoods here in the UK and abroad by playing our part in co-operating with other countries and using our influence to bring them together. As we have seen during the pandemic, the Government have consistently struggled with transparency and accountability, so will the United Kingdom fulfil the ask made yesterday by the director general of the World Health Organisation and make public all bilateral contracts that they have signed for covid-19 vaccines, including on volumes, pricing and delivery dates, so that we can deal with production bottlenecks and ensure equitable access to the vaccine, giving us all the best chance of beating this deadly virus?
ParlaMint-GB_2021-01-19-commons.u49	I do not accept the hon. Lady’s assertions when it comes to transparency. We, the UK, are absolutely at the forefront of multilateral efforts on ensuring equitable global access. If we look at what the UK Government have done, we see that we have contributed to CEPI—the Coalition for Epidemic Preparedness Innovations—in the early part of this pandemic and to FIND, the Foundation for Innovative New Diagnostics. We have contributed to Gavi and to the COVAX AMC. This is all about helping the world’s poorest. We have also flexed a lot of our normal aid work to help countries that are suffering from the pandemic, because we know that, as well as the primary impact of covid-19, there are many secondary impacts.
ParlaMint-GB_2021-01-19-commons.u50	The Minister is right that vaccines alone are not enough, and she is aware that the International Development Committee has just done an inquiry on the secondary impacts, which show that developing countries are suffering economically through their healthcare and through gender inequality. What efforts and preparations are being made by FCDO to prevent there being a development mountain to climb after the pandemic subsides?
ParlaMint-GB_2021-01-19-commons.u51	I recognise the work of the IDC and I am very pleased that its work is continuing. Let me just reiterate that when it comes to covid-19, the UK and the FCDO remain at the forefront. With the funds that we have, we continue to support the world’s poorest, and we will continue to focus on the bottom billion. Yes, it is about working with the development world, but it is also about working, where we can, with the public sector and the private sector. I look to the example of Oxford-AstraZeneca. The UK Government invested £84 million in helping to develop that vaccine, and we are now rolling it out. We have committed to the AMC, and we are absolutely committed to helping the world’s poorest.[Official Report, 25 January 2021, Vol. 688, c. 2MC.]
ParlaMint-GB_2021-01-19-commons.u52	What steps he is taking to ensure UK science and technology plays a role in international development.
ParlaMint-GB_2021-01-19-commons.u53	Scientific advances funded by the UK have helped drive reductions in extreme poverty, declines in childhood mortality and increases in life expectancy across the developing world. Our investments, including in affordable rapid diagnostic tests for covid-19 and the world’s first child-friendly antimalarial drug, are delivering benefit to hundreds of millions. We will continue to leverage UK and global scientific excellence and invest in cutting-edge technology and research to provide solutions to critical development challenges.
ParlaMint-GB_2021-01-19-commons.u54	The Government are doing extremely well in rolling out the vaccine in the UK. The AstraZeneca vaccine in particular is potentially deployable in developing countries. Will the Minister say at what point we will pass vaccines that we have ordered that greatly surpass the need of our population to COVAX? Does he agree that it is vital that, in advance of that, we do everything in our power to develop healthcare infrastructure in developing countries, without which a credible vaccine roll-out is just not possible?
ParlaMint-GB_2021-01-19-commons.u55	I thank my right hon. Friend for his question. I agree that we should be incredibly proud of the work that we have done with regard to the vaccine I have had meetings with my Philippine counterparts on vaccines, alongside AstraZeneca. We are supporting equitable access through our funding for the COVAX facility. We are one of the largest donors to the COVAX advance market commitment to support access for 92 developing countries; we have committed £548 million. COVAX’s partners, which include Gavi, the World Health Organisation and UNICEF, have huge experience in supporting developing country immunisation systems and the programming of immunisation. We expect the initial roll-out to COVAX AMC countries to start in the first quarter of this year.
ParlaMint-GB_2021-01-19-commons.u56	What progress the Government have made through international co-operation on tackling antimicrobial resistance.
ParlaMint-GB_2021-01-19-commons.u57	The UK is a global leader in promoting action on antimicrobial resistance. It is an international priority. We helped achieve the 2016 UN political declaration on AMR, and UK aid contributes significantly to AMR efforts around the world. This includes our flagship Fleming fund, which builds capacity on AMR in lower and middle-income countries, focusing on investments in water, sanitation and hygiene; healthcare facilities; and broader health systems strengthening.
ParlaMint-GB_2021-01-19-commons.u58	A leading Oxford-based professor of microbiology today described covid as “the short, sharp earthquake” and antimicrobial resistance as “the massive tsunami in the background.” On the basis that AMR in pigs and chickens has trebled in developing nations since 2000, will my hon. Friend press for more action to limit the unnecessary use of antibiotics in humans, pigs and chickens?
ParlaMint-GB_2021-01-19-commons.u59	This is a really important point. My hon. Friend has taken a keen interest in this topic for some time in this place. We absolutely recognise the risks to human health of the inappropriate use of antimicrobials in agriculture and food production, as seen through our national action plan. The vast majority of global antimicrobial use, as he will probably be aware, is in agriculture. We are a major funder of the Consultative Group for International Agricultural Research, which supports low and middle-income countries in controlling agriculture-associated AMR risks and is working to understand how antimicrobials are used, by whom and how that contributes to the misuse of antimicrobials.
ParlaMint-GB_2021-01-19-commons.u60	What recent assessment the Government has made of the (a) political and (b) humanitarian situation in Yemen.
ParlaMint-GB_2021-01-19-commons.u61	What recent discussions he has had with the US Secretary of State on that Administration’s proposed designation of Houthis as a terror group.
ParlaMint-GB_2021-01-19-commons.u62	What support the UK is providing to the UN’s work to secure peace in Yemen.
ParlaMint-GB_2021-01-19-commons.u63	The UK remains deeply concerned by the ongoing conflict and humanitarian crisis in Yemen. We welcome the positive steps towards implementation of the Riyadh agreement, including the formation of a new inclusive Yemeni Cabinet. We condemn in the strongest terms the Houthi attack on Aden airport, which killed over 25 civilians, and we call on the Houthis to cease such attacks and demonstrate a renewed commitment to the political process As my right hon. Friend the Foreign Secretary warned in September, Yemen has never looked more likely to slide into famine. We are using our £214 million in aid funding to help around 500,000 vulnerable people each month and to enrol 25,000 children into malnutrition prevention programmes. While we share the US concerns about the Houthis’ continual attacks on civilians in Yemen and cross-border attacks into Saudi Arabia, we do not intend to proscribe the Houthis at this time, but we will keep this under regular review.
ParlaMint-GB_2021-01-19-commons.u64	The crisis in Yemen is of great concern to all of us, and it is perfectly clear that Iran is exploiting the conflict for its own ends. Reports of Iran sending advanced unmanned aerial vehicles to the Houthis will no doubt only inflame tensions further. Does the Minister agree that until Iranian aspirations for regional dominance are curtailed, this conflict and many others will continue and more lives will sadly be lost?
ParlaMint-GB_2021-01-19-commons.u65	We must see an end to Iran’s destabilising influence in Yemen, which has stoked further conflict. We have raised this issue directly with the Iranian Government. Iran’s provision of weapons to the Houthis is in contravention of UN Security Council resolution 2216 and the UN Security Council embargo on the export of weapons by Iran. We remain deeply concerned at Iran’s political, financial and military support to a number of militant and proscribed groups in the region, and we will continue working with international partners to dissuade Iran from proliferation and wider destabilising actions.
ParlaMint-GB_2021-01-19-commons.u66	Mark Lowcock, the UN under-secretary-general for humanitarian affairs and emergency relief, has clearly stated that the US’s designation of the Houthis as a terrorist group will push Yemen into a famine on a scale not seen for 40 years and that only a reversal of the US decision will fix this, so could I ask the Minister what the UK Government are doing to avert this catastrophe and get the US Administration to change their mind?
ParlaMint-GB_2021-01-19-commons.u67	Following President Trump’s Administration’s decision to designate the Houthis as a foreign terrorist organisation, we have requested that the US put in place comprehensive exemptions to limit the humanitarian impact and the impact on commercial imports and the UN peace effort. Our priority is to support the UN peace effort, and my right hon. Friend the Foreign Secretary will engage with the incoming US Administration on this and a number of other important bilateral issues.
ParlaMint-GB_2021-01-19-commons.u68	Salford is home to one of the UK’s oldest Yemeni communities, as well as charities providing humanitarian relief to the region, and they fear that the US designation will have a devastating impact, as humanitarian access and the ability of food supplies and other goods to reach Yemeni civilians will be severely obstructed. I welcome the comments that the Minister has just made, but will he go one step further? Will he contact President-elect Biden and ask him to revoke the designation when he starts in office?
ParlaMint-GB_2021-01-19-commons.u69	My right hon. Friend the Foreign Secretary will no doubt engage at the earliest opportunity with the incoming Administration in the White House. I have made it clear that we have already requested the US to put in place comprehensive exemptions to facilitate humanitarian support. We will continue to work both bilaterally with the US and internationally through the UN and others to protect the people suffering in Yemen, to prevent famine where we can and to work with all parties involved to bring this extended conflict to a conclusion.
ParlaMint-GB_2021-01-19-commons.u70	As we have heard, from today President Trump and Mike Pompeo have designated the Houthis as a foreign terrorist organisation. That will make peace in Yemen more difficult to achieve and could now lead to the starvation of more than 1 million people, yet our Government have said and done little, and even abstained at the United Nations Security Council. Why have the Government failed to condemn this obviously dangerous step? Will they now join us in calling on Joe Biden to reverse this decision as quickly as possible?
ParlaMint-GB_2021-01-19-commons.u71	The idea that the UK has not been active on this issue is self-evidently nonsense. My right hon. Friend the Foreign Secretary and I have discussed the issue with each other, and with the international community through the UN. We have provided significant amounts of humanitarian support to Yemen. We have lobbied to ensure that humanitarian access remains. This is a genuine global tragedy, and I am incredibly proud of the work that the UK Government have done, both on their own and in conjunction with the international community, to bring this terrible, terrible conflict to a conclusion.
ParlaMint-GB_2021-01-19-commons.u72	What recent assessment he has made of the political situation in Ethiopia.
ParlaMint-GB_2021-01-19-commons.u73	The British Government remain concerned at the continued conflict in the Tigray region of Ethiopia, and I urge both sides to end fighting, protect civilians and allow unfettered humanitarian access. The Foreign Secretary has stressed those points directly to Prime Minister Abiy, and to Deputy Prime Minister Demeke when he visited the UK recently.
ParlaMint-GB_2021-01-19-commons.u74	Mrs Peta Benson, a constituent of mine, has supported an orphanage in Tigray for years. Like many, we are extremely worried by the reported appalling humanitarian crisis that conflicts have brought to the region. Can my hon. Friend tell me that every effort is being made by the British Government to calm those hostilities and further de-escalate civil war in that region of Ethiopia?
ParlaMint-GB_2021-01-19-commons.u75	I thank my hon. Friend for his activity on this issue and can reassure him that we are making such efforts. I certainly underlined the need to end the fighting and prioritise the protection of civilians when I spoke to the Ethiopian Finance Minister last month, and I have also raised the issue of the conflict with regional leaders in the past few weeks. The Foreign Secretary and I will continue to raise these points, and I thank my hon. Friend for the contribution he is making to the debate.
ParlaMint-GB_2021-01-19-commons.u76	What steps he is taking to tackle global malnutrition.
ParlaMint-GB_2021-01-19-commons.u77	The UK has invested £3.7 billion in tackling malnutrition since the nutrition for growth summit in 2013. The UK has reached 55.1 million children, women and adolescent girls through our nutrition programmes from 2015 to 2020. I was really pleased when the Foreign Secretary appointed the UK’s first special envoy for famine prevention and humanitarian affairs last year, announcing alongside that £119 million to address food insecurity and a £30 million partnership with UNICEF to address acute malnutrition.
ParlaMint-GB_2021-01-19-commons.u78	It was excellent to see UK leadership on global nutrition acknowledged by world leaders at the Canada nutrition for growth event in December, which launched 2021 as a year of action for nutrition. That could hardly be more timely, given that covid-19 is causing rates of malnutrition worldwide to rise for the first time in decades. So nutrition must be central to my hon. Friend’s new Department’s objectives for aid spending. For example, it is impossible to meaningfully progress girls’ education while rates of malnutrition among girls are on the rise. Will the Government therefore urgently review their commitment to tackle malnutrition as part of their participation in the year of action?
ParlaMint-GB_2021-01-19-commons.u79	I know my right hon. Friend has taken a keen interest in this and has been trying to get a question at Foreign, Commonwealth and Development Office orals for some time. It is evident that good nutrition underpins education and health outcomes, and adult learning, in developing countries. That was the rationale for the UK playing a lead role on nutrition over the past decade. The prevention and treatment of malnutrition remain key to achieving the Government’s commitment to ending the preventable deaths of mothers, newborns and children. The Department is, of course, beginning a rigorous internal prioritisation process in response to the spending review announcement, and we will update on the implications of that for nutrition as soon as is feasible.
ParlaMint-GB_2021-01-19-commons.u80	What assessment he has made of the effect of the death of Kashmiri citizens Abrar Ahmad Khan, Imtiyaz Ahmad and Abrar Ahmad Yousuf on human rights in that region.
ParlaMint-GB_2021-01-19-commons.u81	What steps he is taking to support human rights in Kashmir; and if he will make a statement.
ParlaMint-GB_2021-01-19-commons.u82	We are aware of reports that an Indian soldier has been charged after the deaths of three Kashmiri men. We welcome assurances from the Indian Government that their army is committed to ethical conduct, and that disciplinary action will be undertaken in accordance with Indian law where necessary. Where we have concerns about human rights in Kashmir we will continue to raise them with the India and Pakistani Governments.
ParlaMint-GB_2021-01-19-commons.u83	Three young Kashmiris working as labourers were abducted and brutally murdered by an army counter-insurgency officer. Illegal weapons were strapped to their bodies and they were wrongly branded hardcore terrorists. I know the Minister shares my concern that horrific abuses in Kashmir are not new or uncommon, but as our country continues to chart a new course internationally, can he tell us what the Government are actually doing to protect human rights in Kashmir and why the Secretary of State, sat next to him, lacks the courage to speak out against injustices around the world?
ParlaMint-GB_2021-01-19-commons.u84	The hon. Lady, I know, is very passionate about this area and speaks on behalf of many of her constituents who have an interest in Kashmir. I can assure her that the Foreign Secretary has spoken directly with his counterpart as recently as December on this issue. India and Pakistan are long-standing important friends of the UK. We encourage both to engage in dialogue and find lasting diplomatic solutions to maintain stability in the region. It is not for the UK to prescribe a solution or act as a mediator; it is for India and Pakistan to find a lasting political resolution on Kashmir.
ParlaMint-GB_2021-01-19-commons.u85	A Kashmiri man showed me footage of his home in Kashmir on fire, purportedly after being shelled by India. I have provided to the Government some evidence that cluster munitions were used by India against another village in Kashmir. These things really matter to my constituents. After the pandemic, people in Wycombe could easily be in their homes in Kashmir. Is it not time to take seriously a UN report on the human rights situation on both sides of the line of control, to have a co-ordinated international effort to put UN human rights inspectors on both sides of the line of control and then to move forward with a new human rights framework for the UK, which can reassure diaspora communities such as mine in Wycombe that the UK is standing up for their human rights when they are in the countries from which their families and their ancestors hail?
