ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u34	I fully appreciate—this is our key message as a Government—that jobs and employment are a No. 1 priority. That is exactly why my right hon. Friend the Chancellor extended the furlough scheme. I am in constant conversation with him about how better to provide support for our economy under this distress.
ParlaMint-GB_2021-02-09-commons.u35	Businesses are facing a £50 billion bombshell in less than two months as Government support packages are due to end, and there is still no clarity about the future. The Secretary of State must realise that the Budget is too late. Businesses are making decisions now about their future and that of their workers. The CBI director general said a week ago: “Businesses are currently completely in the dark when planning for the weeks and months ahead and this is hindering investment.” The Secretary of State’s job is to stand up for our businesses, so can he explain to them why, yet again, they are being left completely in the dark?
ParlaMint-GB_2021-02-09-commons.u36	What I will explain is the fact that, in four weeks in the job, I have seen 200 business leaders. I meet the BROs—the business representative organisations —constantly, and I am in constant dialogue with them to ensure that the Government provide the support. We have provided £280 billion so far, which is beyond any precedent that we have seen. We are in constant conversation not only with our stakeholders but with the Chancellor of the Exchequer.
ParlaMint-GB_2021-02-09-commons.u37	Excuses are no substitute for a plan. Businesses need clarity and certainty, and they are not getting it from the Government. Let me turn to another critical issue facing them. We want them to succeed in our new trading relationship with the EU, but according to Make UK, 60% of manufacturers are experiencing disruption, the fashion industry says it faces “decimation”, and hauliers are warning of a permanent reduction in trade. What personal, tangible action is the Business Secretary taking to get a grip and deal with the mountains of red tape now facing our businesses?
ParlaMint-GB_2021-02-09-commons.u38	Of course, Mr Speaker, you will remember that, ahead of the Brexit deal, we were told that there was never going to be a deal and that we were going to crash out with no deal. We were told all sorts of scare stories about what would happen with Brexit. I fully accept that there are issues on the border, and I fully accept that many of the business leaders I have spoken to have raised issues, but I think the situation is far better with a deal—ask Nissan in Sunderland—than was the case, certainly, only three months ago.
ParlaMint-GB_2021-02-09-commons.u39	I have been listening closely, and so far the Secretary of State has failed to give a long-term commitment to the furlough scheme, he has failed to provide any certainty whatsoever on business rates, and he has failed to back support for the excluded. As was just referred to, businesses are not just dealing with the damage caused by the pandemic; they are also facing the chaos of Brexit. Exports from the UK to the EU are reportedly down by 68%, and just 10,000 out of 50,000 customs agents are in place. Can the Secretary of State confirm just how bad things need to be before his Government set aside their dogma and instead ask the EU for a grace period in order to protect Scottish businesses?
ParlaMint-GB_2021-02-09-commons.u40	I remind the hon. Gentleman that the Brexit debate is over; he, for his own purposes, wants to rekindle this. The business leaders I have spoken to have been extremely grateful for the fact that we got a deal, which he and others opposed—they also predicted that we would not get one. We are moving forward with an active plan and active engagement with the economy. Some £280 billion has been proffered so far. That is a picture that he fails to recognise.
ParlaMint-GB_2021-02-09-commons.u41	It is probably helpful to advise the Secretary of State that in Scotland the Brexit debate is far from over—in fact, we are just getting started. But I will take it from his answer that there will not be any grace period for Scottish businesses. However, there is one area where I hope he can provide some positive news: in relation to the North sea transition deal. The perfect storm of the pandemic and price crashes has seen 12,000 jobs associated with the North sea go already—and sadly, more are expected to follow. Can the Secretary of State confirm that he still expects the deal to be signed by the end of March, as his predecessor stated in the House? Will he agree to meet me and my colleagues in the city to discuss this hugely important matter?
ParlaMint-GB_2021-02-09-commons.u42	The hon. Gentleman is quite right. He will be courteous enough to acknowledge that, as Energy Minister, I was directly involved in the conversations ahead of the North sea transition deal. I was very much in favour of bringing forward the completion of the deal. I am hopeful that we can manage to reach a really good deal, in which the sector accepts the need for decarbonisation very quickly.
ParlaMint-GB_2021-02-09-commons.u43	The UK is a key player in supporting the research happening in developing countries that will be essential to putting an end to the pandemic and allowing our businesses to recover. Is the Secretary of State aware of the devastating blow that overseas development aid cuts will be to businesses and could be to our position as a global science leader, sending a message that the UK is not a reliable partner in long-term science advancement and business across the world?
ParlaMint-GB_2021-02-09-commons.u44	I do not accept that any change in overseas development aid money will undermine our position as a global science superpower. As I said earlier, the science community around the world has been extremely impressed with how we are proceeding with the vaccine roll-out and the great innovation that takes place in this country.
ParlaMint-GB_2021-02-09-commons.u45	What steps his Department is taking to support the hospitality industry during the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u46	As part of the Government’s unprecedented package of business support, worth £285 billion, hospitality businesses have access to the coronavirus job support scheme, grants, loans, reduced VAT, a business rates holiday and a moratorium on commercial evictions. We keep those and all support under review.
ParlaMint-GB_2021-02-09-commons.u47	I draw the House’s attention to my entry in the Register of Members’ Financial Interests It is Heart Unions Week, and I am pleased that Unite the union has published a hospitality and tourism recovery plan that outlines how the Government could safeguard jobs, protect working standards and rescue the sector. Does the Minister agree that it is important that the Government should work closely with trade unions and hospitality businesses to create a sector recovery strategy and that extending the job retention scheme, introducing rapid testing for hospitality staff and creating a hospitality commission to retrain workers would provide the sector with certainty to help bounce back better?
ParlaMint-GB_2021-02-09-commons.u48	I thank the hon. Lady. We work with the sector and also with trade unions; I am in constant discussions with them about their various sectors. Yes, it is important that we work together with the hospitality sector on reopening it, allowing it to recover and growing its resilience. I am talking not just about the support; given the 12.3 million vaccinations that have gone out to date, we will soon be able to reopen the hospitality sector and allow it to bounce back.
ParlaMint-GB_2021-02-09-commons.u49	What steps his Department is taking to support the luxury textile sector during the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u50	My hon. Friend will be aware of the great support that the Government have already given. The Government continue to offer unprecedented support through packages for businesses worth more than £280 billion. That includes loan schemes, grant funding, tax deferrals, the self-employment income scheme and, of course, the coronavirus job retention scheme. All have been designed to be accessible to businesses in most sectors and across the UK.
ParlaMint-GB_2021-02-09-commons.u51	I am grateful for that response. As the Minister will know, the damaging tariffs from the US-EU trade dispute are punishing textile mills in my borders constituency. Textile bosses tell me in no uncertain terms that these tariffs are going to cost us jobs and investment. Will the Minister agree to meet me and representatives from the textile sector in my constituency to discuss opportunities to support them during this difficult time?
ParlaMint-GB_2021-02-09-commons.u52	My hon. Friend has been a huge champion for Scottish textiles, and we are working hard to de-escalate the dispute and get punitive tariffs removed. Either I or the Secretary of State would be very happy to meet him and representatives from the textile sector in his constituency. I know that the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Sutton and Cheam (Paul Scully)—the Minister for small business—continues to engage with stakeholders from across the retail and consumer goods sector.
ParlaMint-GB_2021-02-09-commons.u53	What recent steps he has taken to strengthen and update his Department's guidance to employers on covid-secure working.
ParlaMint-GB_2021-02-09-commons.u54	We keep the safer workplaces guidance under continuous review. Public Health England and the Health and Safety Executive advise that the guidance remains robust on the basis of current scientific advice.
ParlaMint-GB_2021-02-09-commons.u55	The answer that the Minister has given does not reflect the situation facing a lot of my constituents who work at the Driver and Vehicle Licensing Agency in Swansea. If the Government themselves cannot put in place suitable infrastructure to protect employees and substantially change their practices at the DVLA, how can they expect other companies to do so? Will he commit to speaking to his Secretary of State about the issue?
ParlaMint-GB_2021-02-09-commons.u56	I regularly speak to the Secretary of State about such issues. In the event of a workplace outbreak, businesses should follow the advice outlined in their action card guidance, and that includes departments such as the DVLA. The guidance is designed by the Department of Health and Social Care for specific out- break situations, and businesses should contact their local PHE health protection team if necessary.
ParlaMint-GB_2021-02-09-commons.u57	“The effects are non-permanent or reversible, non-progressive and disability is temporary” Those are the words of the Minister for Employment in justifying why covid-19 has not been categorised as a “serious” workplace risk. Some 112,000 British citizens are dead, tens of thousands are experiencing long covid, and many more have permanent damage to vital organs, but only 0.1% of complaints result in an enforcement notice. This is serious, and re-categorisation is urgently needed. The UK continues to suffer the highest covid death toll in the world, but with such a disregard for workplace safety, is it any wonder?
ParlaMint-GB_2021-02-09-commons.u58	We work with Public Health England and with the Health and Safety Executive to ensure that we have the best safer workplace guidance, and if there are specific examples where that is not working, I would be happy to take that on board, but with 12.3 million first-dose vaccinations undertaken to date, hopefully we can get through this period and have even safer workplaces as the economy comes back to normal.
ParlaMint-GB_2021-02-09-commons.u59	What steps his Department is taking to achieve net zero emissions by 2050.
ParlaMint-GB_2021-02-09-commons.u60	What steps his Department is taking to achieve net zero emissions by 2050.
ParlaMint-GB_2021-02-09-commons.u61	We are matching the UK’s world-leading net zero ambition with world-leading action. The Prime Minister’s 10-point plan for a green industrial revolution will accelerate our path to net zero with £12 billion of Government investment, including a commitment to power every home in the UK with offshore wind by 2030. In December, we published the energy White Paper and we will publish our net zero strategy ahead of COP26.
ParlaMint-GB_2021-02-09-commons.u62	I thank the Minister for her statement. Could she expand on some of the points she makes, particularly the support that small businesses in towns such as Warrington might expect to receive to reduce their carbon emissions and contribute to net zero targets at a time when many are concerned about the costs of day-to-day business in the light of covid?
ParlaMint-GB_2021-02-09-commons.u63	We recognise the challenges that SMEs are facing and we want to work with businesses to build that green recovery, so we are offering up to £6 million with a boost in SMEs’ access to energy efficiency competitions to develop green solutions. Through the SME net zero working group, we are hearing from businesses how we can go even further to support them. Financial savings are available to businesses taking steps to achieve net zero, and I would encourage SMEs to sign up to the Race to Zero campaign.
ParlaMint-GB_2021-02-09-commons.u64	A year ago, the UK airline industry committed to net zero carbon by 2050. What support and assistance has the Department been providing to this important sector, which is suffering loss at the moment, so that it can contribute in the future?
ParlaMint-GB_2021-02-09-commons.u65	The Government are backing the airline sector to achieve net zero, committing £3.9 billion, with industry, to fund aerospace research and development from 2013 to 2026. This includes the FlyZero project, to study in depth the potential for zero emission aircraft. We are also investing £125 million in the future flight challenge, to enable the use of new forms of green and autonomous aircraft.
ParlaMint-GB_2021-02-09-commons.u66	With reference to recent flooding in Skewen, what recent discussions he has had with representatives of the Coal Authority on the safety of old mine workings.
ParlaMint-GB_2021-02-09-commons.u67	First, I wish to offer my sympathies to all the families affected in the Skewen floods. My officials have been updated by the Coal Authority on the flooding in Skewen on a regular basis and on the work that it and local partners are doing to support the community, remediate the site and allow people to return safely to their homes. I will be meeting people from the Coal Authority shortly to discuss its work and the investments it is making to reduce the risk of this ever happening again.
ParlaMint-GB_2021-02-09-commons.u68	My constituents in Skewen have been devastated and traumatised by the flooding that ripped through their homes on 21 January. The disused mine workings that caused this incident are the responsibility of the Coal Authority and, ultimately, of the UK Government. Will the right hon. Lady therefore ensure that the Government fill the gaps not covered by insurance and provide financial support to those who are not insured? Does she agree that not a single Skewen resident should be left out of pocket by this terrible flooding?
ParlaMint-GB_2021-02-09-commons.u69	The hon. Gentleman is a wonderful advocate for his constituents, and I hope very much to be able to visit Skewen with him and talk personally to those affected. The Coal Authority does not have liability for flooding; flooding, whether from a river, stream or groundwater, is mainly dealt with through insurance, and I know that the Welsh Government emergency grant equivalent of the Bellwin scheme for those affected by flooding in England provides a higher sum. So I look forward to working with him and to hearing directly from his constituents as soon as we can arrange this.
ParlaMint-GB_2021-02-09-commons.u70	What assessment he has made of the capacity of the UK to produce green hydrogen.
ParlaMint-GB_2021-02-09-commons.u71	The UK has expertise and assets to support both green and blue hydrogen. Our twin-track approach to enable both routes, in line with our 2030 5 GW ambition, will drive cost-effective supply volumes in the 2020s, while scaling up green hydrogen.
ParlaMint-GB_2021-02-09-commons.u72	My right hon. Friend is right to talk about both forms of hydrogen. Ideally, of course, we would all be using entirely green hydrogen—as she knows, there are problems with the renewable transport fuel obligation, which I hope she will be able to sort out—but blue hydrogen is going to be part of what we need in the coming decades. What steps is she taking to ensure that we provide the right support for the carbon capture that must, by definition, go alongside the production of blue hydrogen so that it is genuinely a net zero fuel?
ParlaMint-GB_2021-02-09-commons.u73	We are committed to making the UK a global leader in developing carbon capture and hydrogen production, so we are supporting both through new commercial frameworks and financial support, via our £1 billion for a carbon capture and storage infrastructure fund and £240 million for our net zero hydrogen fund.
ParlaMint-GB_2021-02-09-commons.u74	I welcome the Prime Minister’s 10-point plan announcement of the proposal to develop 5 GW of low-carbon hydrogen production capacity by 2030 and, as the Minister has mentioned, the £240 million net zero hydrogen fund to support that. Is it her intention to deploy that fund to support the production of green hydrogen and not to use any part of it to support production capacity consisting of grey or blue hydrogen?
ParlaMint-GB_2021-02-09-commons.u75	I thank the hon. Gentleman for his support for the 10-point plan, which I think the whole House believes is the right way forward. The £240 million net zero hydrogen fund is, of course, only one element of this, and we are supporting innovation, heat trials, standards, business models and a revenue mechanism to stimulate that private sector investment which is so important. This is going to put the UK firmly at the front of the pack. We will be setting out much more detailed work later in the year when I publish the hydrogen strategy.
ParlaMint-GB_2021-02-09-commons.u76	What steps his Department is taking to reduce the use of dismiss and re-engage tactics by employers.
ParlaMint-GB_2021-02-09-commons.u77	What steps his Department is taking to reduce the use of dismiss and re-engage tactics by employers.
ParlaMint-GB_2021-02-09-commons.u78	As I made clear to the hon. Member for Stockport (Navendu Mishra), the use of threats of firing and rehiring as a negotiation tactic is completely unacceptable. We expect all employers to treat employees fairly and in the spirit of partnership. Laws are in place to ensure fair treatment in respect of employment contracts and redundancy matters.
ParlaMint-GB_2021-02-09-commons.u79	Heathrow firefighters, engineers, campus security, baggage handlers, terminal operators and more are taking strike action today against disgraceful fire and rehire abuses by management that have resulted in pay cuts of up to 25% for thousands. Ministers may call these tactics unacceptable, but with greedy bosses and shareholders using covid as a cover for long-held plans to slash wages, what steps are they actually taking to stop Heathrow exploiting its workers in this way?
ParlaMint-GB_2021-02-09-commons.u80	As previously mentioned, the Department has engaged ACAS to hold discussions to generate valuable evidence about the use of fire and rehire. The Government will communicate our response to the evidence in due course.
ParlaMint-GB_2021-02-09-commons.u81	Warm words from the Minister, but fire and rehire is an outrageous tactic that is sadly growing in popularity. The latest large company to jump on the bandwagon is Tesco, where staff at the Livingston depot are facing pay cuts of between £4,000 and £13,000 a year—this while profits are soaring thanks to these same essential workers who have worked tirelessly throughout the pandemic to keep families fed. When will the Government do what it takes to stop Tesco and other rogue bosses ripping off their workers? Or will they just wring their hands and wait for a report that they will simply ignore? We want action, Minister.
ParlaMint-GB_2021-02-09-commons.u82	Having worked for a retailer—Sainsbury’s—for 13 years, I would like to acknowledge the hard work that we know all the people in retail do. However, I reiterate that the Department engaged ACAS to hold discussions in order to generate valuable evidence on the use of fire and rehire.
ParlaMint-GB_2021-02-09-commons.u83	What recent discussions he has had with representatives of the automotive sector on the adequacy of Government fiscal support for that sector.
ParlaMint-GB_2021-02-09-commons.u84	Since becoming Secretary of State, I have met a number of representatives of our highly successful automotive sector to discuss future opportunities for the UK and to emphasise our Government’s commitment to the continued growth of the sector.
ParlaMint-GB_2021-02-09-commons.u85	As the Secretary of State will know, a decision is due soon on whether a new vehicle will be built at Vauxhall Motors in Ellesmere Port. Does he agree that if the Government are truly ambitious about investment in the post-Brexit world, securing green growth and the levelling-up agenda, they will do everything in their power to make sure that we get the right decision for the Ellesmere Port plant?
ParlaMint-GB_2021-02-09-commons.u86	I recognise the importance of the Ellesmere Port plant locally and fully appreciate the work that the hon. Gentleman has done to keep it open. I want to see its future secured. We are committed to ensuring that the UK continues to be one of the best global locations for automotive manufacturing. I am happy to meet the hon. Gentleman, should he wish, and I have met representatives from Vauxhall as well.
ParlaMint-GB_2021-02-09-commons.u87	What steps his Department is taking to help businesses support victims of domestic abuse.
ParlaMint-GB_2021-02-09-commons.u88	What steps his Department is taking to help businesses support victims of domestic abuse.
ParlaMint-GB_2021-02-09-commons.u89	Our recent report on workplace support is clear that employers’ policies can play a significant role in helping victims of domestic abuse. We will work with employers to support that role and encourage good practice, which includes employers signing up to the Employers’ Initiative on Domestic Abuse and managers downloading the Bright Sky app by Hestia.
ParlaMint-GB_2021-02-09-commons.u90	Domestic abuse is a heinous crime that destroys lives and families, and it is vital that every part of society works together to prevent it from happening. Will my hon. Friend confirm that his Department is working with businesses to help to build their awareness of domestic abuse and ensure that they notice the warning signs and help workers to access the support that they may need?
ParlaMint-GB_2021-02-09-commons.u91	My hon. Friend has been a huge champion of tackling abuse, both here in this country and internationally. As set out in our recent report on workplace support, we will work across Government to raise awareness with businesses and victims’ representatives. From a business point of view, it tackles the £1.9 billion productivity stretch, and employers have a duty of care, just as with bullying, stress and mental health. Clearly, wider awareness can save lives.
ParlaMint-GB_2021-02-09-commons.u92	Several organisations in Wakefield, including Penny Appeal, have joined the Employers’ Initiative on Domestic Abuse, which empowers businesses to take positive action for their employees affected by domestic abuse. This is a crucial step in providing support at a time when the levels of domestic abuse have sadly risen. Will my hon. Friend kindly outline what additional steps his Department is taking to help businesses supporting victims of domestic abuse?
ParlaMint-GB_2021-02-09-commons.u93	The Employers’ Initiative on Domestic Abuse has 500 members so far signed up to it, covering 6 million employees. What we can do is work with other colleagues across the House to make sure that we get more signatories to the initiative and more support for employers, as well as employees, and that we can signpost the support where appropriate.
ParlaMint-GB_2021-02-09-commons.u94	What assessment he has made of the safety of gas and electricity meter readers during the national covid-19 lockdown that has been in place since January 2021.
ParlaMint-GB_2021-02-09-commons.u95	We have introduced safer working guidance so that workers, including gas and electricity meter readers, can continue to work safely during national restrictions. This guidance is kept under constant review and updated in line with the latest scientific evidence.
ParlaMint-GB_2021-02-09-commons.u96	Meter readers can visit between 50 and 200 properties a day, sometimes more in large cities. A large majority of these meter readers and their unions, such as the GMB, do not believe that it is right to enter those properties and put themselves and others at risk for the sake of someone getting an accurate gas or electric meter bill. Will the Minister listen to meter readers up and down the country and call for an end to internal meter readings during lockdown, to protect both meter readers and householders?
ParlaMint-GB_2021-02-09-commons.u97	There was an extensive series of engagements to support the drafting process for the safer working guidance, with more than 1,000 users responding. The safer working guidance has had 3.3 million views, and the evidence shows that it is working well and supporting those who are doing the incredibly important work of keeping utility services going. My door is always open, and I would be very happy to discuss any concerns with the hon. Gentleman and his constituents.
ParlaMint-GB_2021-02-09-commons.u98	What plans he has to support the development of the renewable energy sector.
ParlaMint-GB_2021-02-09-commons.u99	What steps his Department is taking to support the renewable energy sector.
ParlaMint-GB_2021-02-09-commons.u100	What steps his Department is taking to support the renewable energy sector.
ParlaMint-GB_2021-02-09-commons.u101	The UK is a major global market for renewables, and we have world-leading ambitions for deployment. We aim to deliver up to double the renewable capacity at the next contracts for difference round at the end of this year, compared with the last round. We are spending £160 million to support new port and manufacturing infrastructure needed to achieve our 40 GW offshore wind ambition, which will secure local jobs and benefits.
ParlaMint-GB_2021-02-09-commons.u102	We all know how essential it is to provide our industries with renewable energy at an affordable cost, but it is also essential for the transportation of energy through the national grid so that firms in my area such as CF Fertilisers do not face even greater costs. What will the Minister do to ensure that there is a first-class regulatory environment for all energy transportation, including a fair system for shorthaul gas still being considered by Ofgem?
ParlaMint-GB_2021-02-09-commons.u103	We have ambitious targets for future decarbonisation and the systems that will go with it. We will be publishing an industrial decarbonisation strategy in the very near future, which will help to support businesses as we look at all the issues that the hon. Gentleman raises.
ParlaMint-GB_2021-02-09-commons.u104	I declare an interest. I have been listening to too many Elon Musk conversations on what is now all the rage, which is the Clubhouse app. What support can be provided to help Bolton to explore green technology opportunities, especially electric vehicles, boosting our local job market and future growth?
ParlaMint-GB_2021-02-09-commons.u105	I am delighted to see my hon. Friend championing the north-west and the opportunities that our green industrial revolution will bring to his area. The north-west is incredibly well placed to benefit from our £1 billion commitment to become a world-leading sector in technology to capture and store harmful emissions away from the atmosphere. We have also launched the green jobs taskforce, which will help us to develop plans for green jobs, including in the new green automotive sector across all regions, and we advise on what support will be needed for people who are in those transitioning industries.
ParlaMint-GB_2021-02-09-commons.u106	Can the Minister comment on the opportunities for companies in Clwyd South and elsewhere in Wales offered by the latest £11 million round of the UK Government’s energy entrepreneurs fund, which is dedicated to driving forward new clean technologies?
