ParlaMint-GB_2021-02-01-commons.u1	What steps his Department is taking to make the most effective use of the defence estate.
ParlaMint-GB_2021-02-01-commons.u28	I, too, send my best wishes to Captain Sir Tom Moore for a speedy recovery I have long been a supporter of the military covenant, and the local authorities in my constituency are among the first to adopt it, but the Minister will know that the director general of the Royal British Legion told the Committee considering the Overseas Operations (Service Personnel and Veterans) Bill that the six-year longstop will breach the military covenant. Why does he think they say that?
ParlaMint-GB_2021-02-01-commons.u29	I was Minister on that Bill Committee, and the person to whom the hon. Gentleman refers actually supports the legislation. It does not breach the armed forces covenant. We are clear that that legislation gives our soldiers more rights and protects them in a better manner for the intricacies of modern warfare. Those who continue to peddle untruths about that Bill are doing quite a serious disservice to those who need to be protected from vexatious claims when they serve this nation on operations.
ParlaMint-GB_2021-02-01-commons.u30	I am sure that the Minister will agree that local authorities play an important role in implementing the national covenant. In Sheffield, extra priority is given to ex-servicemen when it comes to the right to social housing. There is also a wraparound service that includes employment and skills, and mental health. All that is overseen by a council-appointed ex-servicemen’s champion, Councillor Tony Damms, who works with local charities, the Soldiers, Sailors, Airmen and Families Association, and the Sheffield and district ex-service associations; they all work closely together. I am sure that the Minister will agree that charities and the council working together in that way is a model for the implementation of the national covenant.
ParlaMint-GB_2021-02-01-commons.u31	I pay tribute to Tony and to many like him across the country who work tirelessly in the endeavour of veterans’ care. I am clear that the future of veterans’ care is a blended model between statutory and voluntary provision, where there is a role for everybody, and we mark ourselves by the key questions: “How do you access that care? Does everyone leaving who needs it know where to turn?” Until we get there, we continue to need people such as Tony. It is a team effort, and we will get there in the end.
ParlaMint-GB_2021-02-01-commons.u32	Part of the armed forces covenant is, of course, to look after war widows, including an estimated 265 who lost their war widow’s pension on cohabitation or remarriage and have not been able to benefit from the change in the law preventing that from happening in the future. I know that the Minister and the Secretary of State personally have been fighting with the Treasury to find a way to settle this debt of honour. In the light of the latest knock-back, what further plans do Ministers have to try to make good their promise to look after those war widows, who have sacrificed so much?
ParlaMint-GB_2021-02-01-commons.u33	I thank my right hon. Friend for his tireless campaigning on this issue. The Secretary of State has taken a personal lead and has recently written to Mary Moreland. As a result, the Department is currently considering how we can best support those represented through her War Widows Association, and, indeed, what that support might actually look like.
ParlaMint-GB_2021-02-01-commons.u34	I have been speaking to a number of local authorities about their commitment to the armed forces covenant. We already know that many local authorities do a really great job of supporting service personnel, veterans and their families, but having the covenant in law will enhance those responsibilities. When there are more legal responsibilities, will Government funding to local authorities follow?
ParlaMint-GB_2021-02-01-commons.u35	The Department is looking to issue in due course statutory guidance on how precisely these matters will be achieved. The key thing is that the legislation is very clear that it does not specify outcomes, but simply ensures that a set of principles is adhered to. That is what the armed forces covenant was always about; it was designed never for advantage, but to prevent disadvantage. That is what this Bill does. It is carefully calibrated to ensure that we raise the floor so that the experience for veterans, the serving community and their families is equal across the nation.
ParlaMint-GB_2021-02-01-commons.u36	What steps he is taking to improve cost controls within the defence equipment programme.
ParlaMint-GB_2021-02-01-commons.u37	What steps he is taking to improve cost controls within the defence equipment programme.
ParlaMint-GB_2021-02-01-commons.u38	We are implementing changes through the acquisition transformation scheme to improve cost controls. Through the outline strategic case, we are ensuring that the right expertise is brought together at the outset, so that projects are properly risk assessed and, with the right commercial expertise available, set up for success.
ParlaMint-GB_2021-02-01-commons.u39	The National Audit Office recently concluded that for the fourth year in a row the defence equipment plan remains unaffordable. While the extra money for defence is to be welcomed, how will the Minister ensure that the investment does not simply disappear into a black hole but delivers on the new capabilities we need as a nation to deal with emerging security threats?
ParlaMint-GB_2021-02-01-commons.u40	The hon. Gentleman’s point is very wise and we would endorse it. We need to invest in the right capabilities to meet the threats of the future. it is good to hear someone on the Labour Benches speaking sense. We agree that that is exactly where our funds should be directed—to meet the threats of the future. That is being undertaken through the integrated review, which is a cross-Government review. More information will be coming out in due course, but we are very focused on it.
ParlaMint-GB_2021-02-01-commons.u41	The defence equipment plan has seen escalating costs over time, and agreeing priorities has proved to be difficult. The NAO says that industry has a prioritised list of funding options following a multi-criteria decision analysis exercise. This sounds worth while, if a bit of a mouthful, so will the Minister commit to publishing that list of priorities?
ParlaMint-GB_2021-02-01-commons.u42	The hon. Gentleman needs to look to the outcome of the integrated review that will take place in due course, which will set out the overarching strategic priorities for the Government in meeting the needs of this country across a broad spectrum of foreign affairs and defence. It is from that strategic set of decisions that we need then to ensure that our procurement follows.
ParlaMint-GB_2021-02-01-commons.u43	What steps his Department is taking to ensure that British industry can supply the defence equipment needed to meet future threats.
ParlaMint-GB_2021-02-01-commons.u44	The MOD has been leading work to review our defence and security industrial strategy across Government, and we expect to publish the findings of this work in the spring. In our strategy we are aiming to ensure that we can access the industrial capabilities that we need to meet current and future threats to our national security.
ParlaMint-GB_2021-02-01-commons.u45	That is good to hear. The national shipbuilding strategy reflects the strategic importance of ship systems and the supply chain that provides them. The Secretary of State will be familiar with the world-beating electric power and propulsion systems produced by General Electric in my constituency of Rugby. Will he confirm that those are considered strategic national assets and that they will be included in the Government’s thinking on the forthcoming fleet solid support ships programme?
ParlaMint-GB_2021-02-01-commons.u46	I can certainly confirm that I recognise that many of the benefits of naval procurement are seen in the supply chain; General Electric and other systems providers play a hugely important role as part of the UK’s shipbuilding enterprise. I am committed to maximising the benefits to UK industry in all our defence procurement, within the regulations.
ParlaMint-GB_2021-02-01-commons.u47	The extra funding is welcome and promises an overdue upgrade of Britain’s defence and defence industry. The Secretary of State talks about the rise in capital funding but not the real cut in revenue funding over the next four years. This year’s defence equipment budget is £16.4 billion, of which over half is revenue-based equipment support. How on earth has he agreed to this cut, and how is he going to meet the future threats to this country and fix the black hole in the budget by cutting day-to-day defence spending?
ParlaMint-GB_2021-02-01-commons.u48	It is great hearing the right hon. Gentleman trying to turn a £16 billion or a £24 billion increase in defence spending into a cut and finding any way, across the budget, to get in the word “cut” so that no doubt at the next election he can claim that somehow we have cut defence spending despite the £24 billion increase over the next four years. We are planning to spend £186 billion on equipment and support between 2018 and 2028. Of course we have to balance revenue spending and capital spending in terms of the resource departmental expenditure limit throughout the process. The reason our Army and our armed forces are different in size from what they were 20, 30 or 40 years ago is defined not just by the threat but by the equipment we have available. The proportion of our RAF that is unmanned, which will grow, of course means fewer people flying aeroplanes. That is the nature of things. If one looks at the US air force, one will see that pattern over the past 15 to 20 years It will be quite easy and perfectly straightforward to try to find the right balance, as long as we are defined by the threat and the ambition we need to meet. Some of the money that we have received—the right hon. Gentleman is absolutely right—is not going to buy new shiny toys in some areas; it is about fixing some of the current problems in infrastructure and so on to ensure that we are more efficient and more productive.
ParlaMint-GB_2021-02-01-commons.u49	I appreciate the Defence Secretary wanting to downplay the real difficulties he faces, but we were told by his predecessor in 2012 that the black hole has “been eliminated and the budget is now in balance”,—[Official Report, 14 May 2012; Vol. 545, c. 262.] yet less than a decade later the National Audit Office says that for the fourth year running the equipment plan is unaffordable and the black hole is as high as £17 billion. On the integrated review, where he promises answers to these difficult questions, may I urge him not to repeat the mistakes of past Conservative defence reviews by trying to balance the books off the back of forces personnel, industry investment and equipment support?
ParlaMint-GB_2021-02-01-commons.u50	Since taking my post as Defence Secretary I have been absolutely determined to ensure that the figures that both we and the Treasury use are absolutely of the highest quality and transparency If the right hon. Gentleman reflects on the NAO’s 1998 report, he will see the same systematic problems in the management of the defence budget: phantom efficiency savings that turned out to have already been spent by other people have been a significant problem in defence for 20 to 30 years. It is not just a governing party problem. All of that has meant that when we publicise the integrated review, we will start from a baseline where we can all be transparent about our figures and trust the figures we are putting before it. I will not indulge in fantasy savings or phantom programmes. I will not allow the services to procure equipment that has a balloon payment at the end, in 10 or 20 years’ time, when it becomes somebody else’s problem.
ParlaMint-GB_2021-02-01-commons.u51	I join the Secretary of State and others in wishing Captain Sir Tom Moore a speedy recovery. He has become a living symbol of the very British spirit that we need to get us through this pandemic, and we all wish him well May I press the Government on when the integrated review will be published and warn against suggestions that our infantry might be cut by up to 10,000 personnel? If this pandemic has taught us anything, it is the value of spare capacity and the built-in resilience to deal with the unexpected. With that in mind, I invite the Defence Secretary to look at deploying RFA Argus, our hospital ship currently alongside in Plymouth, and other military assets to assist with the international roll-out of vaccines to developing countries. The UK set an example by stepping forward during the Ebola outbreak, and we should do so once again with covid-19.
ParlaMint-GB_2021-02-01-commons.u52	I thank my right hon. Friend for his question. HMS Argus has literally just returned from giving assistance in the Caribbean; she has been helping the populations there deal with the initial outbreak and all the problems. She was involved in dealing not only with the covid outbreak, but with security and making sure that the borders and so on were kept from immigration pressures as well On the broader issue of the integrated review, I know I have come to this Dispatch Box on a number of occasions to say it was going to be on a certain date. It will be in the spring. Obviously covid has taken its effect. The No. 1 priority of the Government is dealing with covid and delivering a covid response. That does not prevent defence, with a multi-year settlement, setting out and driving forward, in conjunction with the Foreign Office, a plan to ensure that when the review is launched, everyone will be able to see it. I am determined that it will be done this spring, because it is important not just domestically, but for our international allies to understand the direction of travel on our defence.
ParlaMint-GB_2021-02-01-commons.u53	What discussions he has had with the (a) Prime Minister and (b) Home Secretary on securing UK citizenship for UK armed forces veterans arriving in the UK from Hong Kong via the new British National (Overseas) immigration pathway.
ParlaMint-GB_2021-02-01-commons.u54	There have been no discussions on this matter. British national overseas status holders who serve in our armed forces already have the option either to apply for British citizenship while serving or to settle in the UK on discharge. BNO veterans who have not pursued these routes and choose to apply under the new BNO route will be on a pathway to settlement in the UK and can then apply for British citizenship.
ParlaMint-GB_2021-02-01-commons.u55	During the handover of Hong Kong to China in 1997, the existing immigration rules meant that only 159 of the 654 soldiers who had served in the British armed forces in Hong Kong and applied to live in the UK were successful at the time. With the opening of the new settlement scheme for British nationals overseas, many of those veterans are keen to escape the crackdown of the Chinese Government on Hong Kong. Can the Defence Minister confirm that he will defend their right to UK citizenship in any consultations on the matter with Cabinet colleagues?
ParlaMint-GB_2021-02-01-commons.u56	The hon. Member raises a good point and a good question. These negotiations are ongoing at the time. We are very clear, though, that those who have served in the armed forces should suffer no disadvantage because of their service, and that of course extends to those who apply for BNO residency, should they be eligible.
ParlaMint-GB_2021-02-01-commons.u57	What steps his Department is taking to further enshrine the armed forces covenant into law.
ParlaMint-GB_2021-02-01-commons.u58	As committed to in the Queen’s Speech, last week measures to further incorporate the armed forces covenant into legislation were introduced in the Armed Forces Bill. The Bill requires those public bodies in scope to consider the principles of the covenant when developing policy and making decisions in health, housing and education—areas that are fundamental to service life.
ParlaMint-GB_2021-02-01-commons.u59	I thank my hon. Friend for his response, and I am very pleased with that support for the family, which is very much in the spirit of our military covenant. What duty will be applied to education, and what support measures are in place for the children of our military families to support their learning in schools both while the parent is serving and later when a veteran?
ParlaMint-GB_2021-02-01-commons.u60	I pay tribute to my hon. Friend for her tireless campaigning on this issue. Registered service children in the annual school census in England receive the £310 service pupil premium per child per year up to year 11. Since 2016, registered service children, even if their serving parent has left the armed forces, continue to receive the SPP for up to six years while they attend state schools in England.
ParlaMint-GB_2021-02-01-commons.u61	One of the ways that enshrining the covenant in law could deliver more for our armed forces is on housing. Surveys continue to show low levels of satisfaction with maintenance, and the Government renegotiate the rents on some accommodation. Will the Minister provide an update on the arbitration process for Annington Homes, and can he assure those living in service family accommodation that he will not bring back a deal that hikes up their rent?
ParlaMint-GB_2021-02-01-commons.u62	We are currently in the process, as the hon. Member knows, of resolution in that case, and I am not going to comment on it in a public forum, but my hon. Friend the Minister for Defence Procurement will write to him this afternoon.
ParlaMint-GB_2021-02-01-commons.u63	What recent assessment he has made of the effectiveness of the treaty on the prohibition of nuclear weapons.
ParlaMint-GB_2021-02-01-commons.u64	What recent assessment he has made of the effectiveness of the treaty on the prohibition of nuclear weapons.
ParlaMint-GB_2021-02-01-commons.u65	The Government have been clear that we will not sign the treaty on the prohibition of nuclear weapons. We welcome the US offer to extend the new START—strategic arms reduction treaty—with Russia, and we would support that treaty and its robust verification mechanisms continuing.
ParlaMint-GB_2021-02-01-commons.u66	The Secretary of State will be aware of the deep disappointment and frustration felt across Scotland and much of the UK because the UK Government did not join 85 other countries and sign up to the treaty on the prohibition of nuclear weapons on 22 January. Can he explain why the UK has failed to support this treaty, and how this is consistent with its strategic objectives and obligations under article VI of the nuclear non-proliferation treaty to make attempts in good faith to move towards the eventual abolition of nuclear weapons programmes?
ParlaMint-GB_2021-02-01-commons.u67	The Government did not sign up to it because we do not think it is an effective way of dealing with this. We do think that the nuclear non-proliferation treaty is a more effective way of reducing both the spread and, indeed, the number of nuclear weapons on the planet, and that is why we favour gradual multilateral disarmament negotiated through a step-by-step approach.
ParlaMint-GB_2021-02-01-commons.u68	It seems as if global Britain is running in the opposite direction of global consensus on this issue. Rather than just hoping that nuclear weapons will never be used and working for some eventual point in the future when they might be eradicated, why will the Government not take the bold steps of signing this treaty and, for that matter, removing Trident from the shores of this country?
ParlaMint-GB_2021-02-01-commons.u69	It may have missed the hon. Gentleman’s attention that other countries, those much less democratic and with much less regard for human rights, are working in the other direction and developing nuclear weapons. One reason we felt that nuclear weapons are important to the United Kingdom, when other regimes such as, potentially, North Korea and others develop them, is as a deterrent. We will continue to believe that, and seek ways to reduce nuclear holdings around the world in a multilateral, not a unilateral way. If I think that some of those adversaries care about some of those countries having nuclear weapons or not, the world might be slightly different, but it is not. We should be careful and protect our friends. We are a provider of a nuclear deterrent for NATO and for Europe. That has kept the peace for 50 years, despite some very aggressive nuclear powers.
ParlaMint-GB_2021-02-01-commons.u70	What steps he has taken to help ensure that defence procurement contributes towards the UK meeting its net zero carbon emissions target.
ParlaMint-GB_2021-02-01-commons.u71	Sustainability is considered at all the appropriate stages of the acquisition lifecycle, from setting requirements to disposal. In addition, we are improving sustainability in the defence estate, which offers a significant opportunity for the future.
ParlaMint-GB_2021-02-01-commons.u72	We face a climate crisis, and we must build back greener out of the pandemic. Will the Government undertake to do more to increase investment in research and development in low-emission planes and ships, working in collaboration with the civil sector? Will he meet me and Airbus, and others, to discuss the opportunities to boost innovation and production of non-military planes and ships—like the US does with Boeing—to help us meet our net-zero obligations? Will he boost exports, so that defence expenditure can be used to defend us against climate change?
ParlaMint-GB_2021-02-01-commons.u73	We are focused on the Government’s world-leading commitment to net zero 2050, and defence will, without doubt, play its part. A lot of work is ongoing regarding how we can increase our activity in that sphere, but we have discussions with commercial entities and throughout the MOD about how we can tackle carbon emissions throughout the armed forces. That includes, recently, clearing MOD planes to use up to 50% sustainable aviation fuel. That is a good step in the right direction, and others will undoubtedly follow.
ParlaMint-GB_2021-02-01-commons.u74	What plans he has for the contribution of soft power to the UK’s international defence engagement.
ParlaMint-GB_2021-02-01-commons.u75	Our armed forces are a force for good, providing security, humanitarian assistance, peacekeeping and defence engagement across the globe. They have a proud track record on the frontline of our national response to humanitarian disasters the world over, from Ebola in west Africa to hurricane seasons in the Caribbean.
ParlaMint-GB_2021-02-01-commons.u76	As chair of the British Council all-party group, I suggest that soft power can pay for itself many times over by building links and improving trust and understanding, all of which makes conflict less likely. As the Government assess our international engagement, does my right hon. Friend agree that soft power must be a consideration alongside traditional hard power? Will he assure me that he will make the case for soft power when it comes to the Government’s integrated review?
ParlaMint-GB_2021-02-01-commons.u77	I congratulate my hon. Friend on his work on the British Council all-party group. The British Council is an outstanding institution around the world—indeed, in my opinion there is not enough of it around the world. The integrated review will enhance defence engagement, ensuring that our armed forces are more forward, present, and active around the world, and involve changes to operational development structures, defence diplomacy and allowances. I completely agree that alongside hard power must come soft power. It can be delivered by the military, as well as by those excellent non-governmental organisations, and organisations such as the British Council. The best way to not get into a conflict is to avoid one in the first place by understanding each other’s issues, and by helping nations and people’s economies to build. That is the first way to go.
ParlaMint-GB_2021-02-01-commons.u78	What progress is being made on the development of the Dreadnought class nuclear submarine; and when he plans for the first of that class to enter service.
ParlaMint-GB_2021-02-01-commons.u79	The 2020 annual update to Parliament on the United Kingdom’s future nuclear deterrent provides progress details on the Dreadnought submarine programme. The programme, underpinned by around 30,000 defence nuclear enterprise jobs across the United Kingdom, remains on track to deliver the first of class in the early 2030s. The programme will sustain thousands of jobs across the United Kingdom, including in Scotland.
ParlaMint-GB_2021-02-01-commons.u80	I thank my right hon. Friend for that answer. We live in uncertain times and should always maintain peace through strength, of which the nuclear deterrent is the best example. Will he join me in thanking all those involved in both delivering the Dreadnought programme and operating the Vanguard boats with such dedication and skill in the intervening period until they are replaced?
ParlaMint-GB_2021-02-01-commons.u81	Continuous at-sea deterrence has kept us safe for more than 50 years. I recognise and thank all the personnel involved and their families for the tremendous sacrifices they make, and I am proud of all our Royal Navy and industrial partners for delivering this very important Government commitment.
ParlaMint-GB_2021-02-01-commons.u82	What support his Department has provided to the overseas territories during the covid-19 pandemic.
ParlaMint-GB_2021-02-01-commons.u83	The armed forces have provided a range of support to the British overseas territories throughout the covid-19 pandemic where it has been requested. That has included support to local government and civil authorities in their response, through the provision of defence planners, the deployment of critical care teams, the provision of food and medical supplies, and, more recently, logistical support with vaccine delivery.
ParlaMint-GB_2021-02-01-commons.u84	I was pleased that in January the Royal Air Force made two deliveries of life-saving covid-19 vaccines to Gibraltar. Can my hon. Friend confirm how many doses our armed forces have helped deliver to the British overseas territories so far?
ParlaMint-GB_2021-02-01-commons.u85	Defence has to date delivered 10,725 doses of the Pfizer vaccine to Gibraltar, as mentioned by my hon. Friend. Further deliveries are planned to the Falkland Islands and Gibraltar by the end of today, of 6,825 Pfizer doses and 3,000 AstraZeneca doses respectively. Defence is scoping the delivery of 65,850 further vaccine doses to Ascension Island, Gibraltar and the Falklands throughout February, and of course we stand ready to support vaccine delivery to all the British territories overseas.
ParlaMint-GB_2021-02-01-commons.u86	What steps his Department is taking to ensure that armed forces personnel continue their professional development during the covid-19 pandemic.
ParlaMint-GB_2021-02-01-commons.u87	The Government remain committed to ensuring that the professional development of our armed forces personnel continues during this difficult time. The safety of our workforce and their families is paramount. Measures including social distancing and, where appropriate, testing regimes have supported the continuation of prioritised face-to-face training. Alongside that, innovative ways of working and use of virtual platforms has enabled remote delivery of other professional development activity, including for those transitioning to civilian life or undertaking professional qualifications.
ParlaMint-GB_2021-02-01-commons.u88	More and more women are pursuing careers in the armed forces. Will my hon. Friend look at how their personal development can be encouraged by ensuring that the remaining gendered rank titles are updated to reflect the modern make-up of the services?
ParlaMint-GB_2021-02-01-commons.u89	My hon. Friend makes a very valid point, and this former rifleman rather agrees. The issue of gendered rank titles is something that the chiefs have been considering. Diversity and inclusion leads are working collaboratively across the services to develop an inclusive language guide for release in the spring. That guide is informed by the wider work that NATO has done to produce gender-inclusive language manuals.
ParlaMint-GB_2021-02-01-commons.u90	What recent procurement decisions his Department has taken.
ParlaMint-GB_2021-02-01-commons.u91	What recent procurement decisions his Department has taken.
ParlaMint-GB_2021-02-01-commons.u92	What recent procurement decisions his Department has taken.
ParlaMint-GB_2021-02-01-commons.u93	I am pleased to report that throughout the covid pandemic, Defence has continued to maintain a steady drumbeat of orders. Those include recent orders to enhance F-35, a project that particularly benefits the north-west of England, and the next generation munitions solution, which saves £563 million over the course of its contract and supports jobs in Glascoed, Tyne and Wear, and Stoke-on-Trent.
ParlaMint-GB_2021-02-01-commons.u94	Beautiful Hastings and Rye has a number of excellent small to medium-sized manufacturing businesses serving the defence industry. What steps is my hon. Friend taking to ensure that, as part of defence procurement and the levelling-up agenda, those small companies are given the opportunity to benefit from any increase in defence procurement spending, thereby increasing jobs and helping to turbo-charge our local economy?
ParlaMint-GB_2021-02-01-commons.u95	My hon. Friend has already discussed the brilliance of her small and medium-sized enterprises with me in the past, and I expect I will be hearing a lot more about them in the future. The good news is that with our SME action plan in place, which I would encourage them to look through, SMEs are now accounting for nearly 20% of all defence procurement expenditure. With a £24 billion investment in defence to come forth, there is plenty for them to go at.
ParlaMint-GB_2021-02-01-commons.u96	What progress has been made with the upgrade of the British armoured vehicle capability? What are the Government doing to ensure that those contracts are fulfilled by British-based manufacturers such as David Brown Santasalo, which is based in my constituency?
ParlaMint-GB_2021-02-01-commons.u97	It was a great pleasure for me and the Secretary of State to join my hon. Friend in visiting David Brown last year to discuss its vital work on Type 26 frigates not only for us, but our allies. Investment in UK armour, as I think my hon. Friend knows, is ongoing with the Boxer programme and Ajax. Other projects are also under active consideration.
ParlaMint-GB_2021-02-01-commons.u98	So many industries have been hit hard by the pandemic, including aerospace and engineering companies in Wolverhampton North East. I am delighted to hear about more and more procurement contracts. What steps is the Minister taking to start as many of those contracts as quickly as possible, so that we can really help our industrial economic recovery?
