ParlaMint-GB_2021-02-03-commons.u1	What steps his Department is taking to support Welsh businesses.
ParlaMint-GB_2021-02-03-commons.u12	I received the hon. Lady’s letter about this particular constituent only last night. I am very happy to meet her and to see if we can resolve her constituent’s particular problems; that letter is already receiving the urgent attention that it deserves. I would challenge her on the readiness point that she makes more generally, given the numerous levels of engagement that I and other Government colleagues conducted in the run-up to the end of the transition period; and given the reaction since then from businesses and stakeholders across Wales. They are generally supportive of the fact that a deal has been reached and of the opportunities that it presents, and now actually want to get on with a positive relationship with the EU and the other countries with which we deal.
ParlaMint-GB_2021-02-03-commons.u13	What discussions he has had with the Minister for Vaccine Deployment on the delivery of covid-19 vaccines to Wales.
ParlaMint-GB_2021-02-03-commons.u14	What discussions he has had with the (a) Minister for Vaccine Deployment, (b) Secretary of State for Defence and (c) Welsh Government on the delivery of covid-19 vaccines to Wales.
ParlaMint-GB_2021-02-03-commons.u15	I have regular discussions with the Minister for Vaccine Deployment, the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi), as well as Defence Ministers and the First Minister of Wales, on the delivery of covid-19 vaccines. Rapid vaccine roll-out is key to us getting back to normality.
ParlaMint-GB_2021-02-03-commons.u16	The work being done in Wrexham to manufacture the vaccine is quite literally saving lives in my constituency of East Surrey. Will the Secretary of State join me in extending our thanks to all those workers and the supply chain for the vital work that they are doing to protect the nation?
ParlaMint-GB_2021-02-03-commons.u17	I am delighted to join my hon. Friend in that tribute. The Prime Minister and I visited Wockhardt in Wrexham a few weeks ago to see the fantastic work that it is doing. Hers, like so many stories, is a story of a successful Union. As we all know, the vaccine roll-out is not a competition between Governments; it is a competition between Government and covid, and the Union is central to that.
ParlaMint-GB_2021-02-03-commons.u18	The logistical expertise of Her Majesty’s armed forces is second to none. What role are defence personnel playing in the vaccine roll-out in Wales?
ParlaMint-GB_2021-02-03-commons.u19	The short answer is: a pivotal role. It has been a joy to behold the unbelievable enthusiasm, dedication and professionalism in Wales and across the rest of the UK from servicemen and women. We are regularly receiving requests from the Welsh Government for additional support, and we turn that support around in Cardiff just as soon as we can.
ParlaMint-GB_2021-02-03-commons.u20	The mid-February target to vaccinate Joint Committee on Vaccination and Immunisation priority groups 1 to 4 involves offering a dose to all those who are considered clinically extremely vulnerable. What discussions is my right hon. Friend having with the Welsh Government regarding the accuracy of data being used in relation to this group?
ParlaMint-GB_2021-02-03-commons.u21	As my hon. Friend might imagine, there are regular discussions across all levels of government around data accuracy and the progress that we can make with this particular challenge. He is right to point out that it is, of course, a devolved issue. We are trying to ensure that we can find solutions to issues of a more permanent nature—perhaps persistent data problems, for example—but the ambition remains to get absolutely everybody in those cohorts done within the timescale, and we are currently on target to achieve that.
ParlaMint-GB_2021-02-03-commons.u22	What recent discussions he has had with (a) the Welsh Government and (b) Cabinet colleagues on the UK shared prosperity fund.
ParlaMint-GB_2021-02-03-commons.u23	What recent discussions he has had with the First Minister of Wales on the UK shared prosperity fund.
ParlaMint-GB_2021-02-03-commons.u24	My right hon. Friend the Secretary of State has regular discussions with the First Minister and Welsh Ministers on a range of issues, including the UK shared prosperity fund. The Government will continue to engage with the Welsh Government as we develop the fund’s investment framework for publication.
ParlaMint-GB_2021-02-03-commons.u25	From the figures that I have seen, the British Government may have conflated overrun spend from the previous convergence period for this financial year with the actual allocation of new money. Under the previous scheme, Wales would receive nearly £400 million per annum. Is not the reality that the Minister is unable to guarantee that the shared prosperity fund, when fully operational, will match that level of investment? Why will he not just admit that the communities that both the Secretary of State and I represent in Carmarthenshire are about to get fleeced?
ParlaMint-GB_2021-02-03-commons.u26	The figures will show that on average Wales is receiving £375 million a year. What the hon. Gentleman may be referring to is the fact that over a number of years to follow there will still be some money coming to Wales from the European Union. Of course, it is absolutely right that that money should be counted towards the £375 million total, and the Government will guarantee to ensure that the amount of money to be spent in Wales in future will be exactly the same, or higher, than the amount that was spent previously.
ParlaMint-GB_2021-02-03-commons.u27	Britain has left the European Union. The transition period has come to an end. There is no new money coming from the structural funds. Given that the Government announced the shared prosperity fund back in 2017, can the Minister at least tell us the timetable for the introduction of the new fund?
ParlaMint-GB_2021-02-03-commons.u28	We have already made it very clear and demonstrated that the amount of money that is going to be spent in Wales when the SPF comes in will be identical to or higher than the amount of money that was spent in Wales that came from the European Union. There has been absolutely no secrecy about that. The way in which the fund will be managed is subject to discussions at this very moment, and I would expect full details to be publicised over the next few months.
ParlaMint-GB_2021-02-03-commons.u29	Many of my constituents are very sorry to see the hundreds of millions of pounds of EU funding that Wales received in recent years come to an end. Our departure from the EU made this inevitable, and of course I accept this, but they also believe that the Welsh Government should have full autonomy over their part of the shared prosperity fund, and I agree, so can the Minister provide some evidence that this working together is taking place?
ParlaMint-GB_2021-02-03-commons.u30	I am sure that the hon. Lady’s constituents will be delighted to know that hundreds of millions of pounds will continue to be spent in Wales, and continue to be spent where it is most needed. I am sure that her constituents would be rather disappointed that we already know from the Audit Wales report that some of the money that has gone into, for example, pillar 2 agricultural funding has not been well spent. I urge her to recommend to her constituents that they look at the dossier presented by my hon. Friend the Member for Montgomeryshire (Craig Williams), which demonstrates that millions of pounds of European Union money that was handled by the Welsh Government was misspent. When that money becomes British taxpayers’ money, all partners in British Government, including the Welsh Government and local authorities with growth deals, will want to make sure that it is properly spent, and I am sure that her constituents will agree.
ParlaMint-GB_2021-02-03-commons.u31	What recent discussions he has had with the Secretary of State for Work and Pensions on support for people in Wales whose employment has been adversely affected by the covid-19 outbreak.
ParlaMint-GB_2021-02-03-commons.u32	I have regular discussions with my right hon. Friend the Secretary of State for Work and Pensions on our support for people affected by covid-19. The UK Government have funded the furlough of 8,900 employees and provided over £17 million to the self-employed in the hon. Lady’s own constituency.
ParlaMint-GB_2021-02-03-commons.u33	The pandemic has exposed inadequacies in our welfare system to act as a safety net, from the insufficient level of statutory sick pay to the damaging impact of the two-child benefit limit on families. The idea of a universal basic income is gaining increasing traction as a solution to many of these issues, and there is increasing support in Wales and elsewhere for a UBI pilot funded by the UK Government. Will the Minister express his support for such a pilot and call on the UK Government to fund it?
ParlaMint-GB_2021-02-03-commons.u34	The UK Government have already provided £5 million of extra funding to the Welsh Government to ensure that they have adequate funds to support businesses and individuals who have been affected by the covid pandemic, and of course the Welsh Government also have tax-raising powers. The reality is that this Government have spent hundreds of billions of pounds supporting businesses and individuals throughout this country, such is our commitment to ensuring that no one is left out as a result of the impact of this terrible pandemic.
ParlaMint-GB_2021-02-03-commons.u35	The last year has been immensely challenging for many Welsh families, who have seen their lives completely upended by the virus. Despite welcome progress on vaccinations, the pandemic is not going away overnight, and many still feel grave uncertainty about the future of their jobs and their family finances, so why do the Government think that now is the time to cut universal credit by £1,000 a year, hitting more than 200,000 Welsh families who are doing their best to get by?
ParlaMint-GB_2021-02-03-commons.u36	I have not yet been promoted to the Treasury, and I cannot possibly predict what might happen in the Budget that may or may not come in a few months’ time. Perhaps the hon. Lady knows something that the rest of us do not, but I can tell her that the Government have been steadfast in their commitment to supporting all those who have been left out. May I just point out that we will come through this crisis quickly as a result of the Government’s wise decision not to take part in the European Union vaccination scheme, which is why we have now vaccinated 14% of the population of the United Kingdom?
ParlaMint-GB_2021-02-03-commons.u37	Anyone who took the initiative and started their own business within a year of the pandemic hitting was completely shut out of the self-employment income support scheme when it was announced last March. Many turned to universal credit as their only option. Now, nearly a year on, and with last year’s tax returns submitted to HMRC, will the Government think again, close the gaps in support and give the newly self-employed the help that they deserve?
ParlaMint-GB_2021-02-03-commons.u38	The hon. Lady knows very well that I am not responsible for the policies of the Treasury, but I simply point to the fact that we have provided more than £9.3 billion of additional support through the welfare system for people affected by covid, including the £20 a week increase in the universal credit standard allowance. The Government’s commitment to supporting all those who have been affected by this pandemic is very clear to all.
ParlaMint-GB_2021-02-03-commons.u39	What recent discussions he has had with the Welsh Government on the adequacy of the fiscal settlement.
ParlaMint-GB_2021-02-03-commons.u40	We have provided £16.8 billion to the devolved Administrations to fight coronavirus, including £5.2 billion to the Welsh Government and £8.6 billion to the Scottish Government. We have also secured vaccines for all four nations, demonstrating the importance of the Union and how we are stronger together.
ParlaMint-GB_2021-02-03-commons.u41	The fiscal settlement of this disunited kingdom means that the Treasury continues to impose unfair, unreasonable and inexplicable limits on the devolved nations’ borrowing powers. That has meant that at every step throughout the covid crisis, the devolved nations have had to wait for the Treasury to announce financial support before they could do the same. The next challenge is climate action, and with evidence from the Dasgupta review and the Committee on Climate Change showing how far we still have to go, will the Government now ensure that the devolved nations are fully equipped to meet this challenge by devolving borrowing powers?
ParlaMint-GB_2021-02-03-commons.u42	I would have thought that the Scottish people, with their reputation for understanding the importance of money, would be quite pleased that the UK Government have provided £8.2 billion of extra funding for the Scottish Parliament, rather than expecting it to borrow money and pay it back at some point. I suggest that the hon. Gentleman might like to familiarise himself with the report from the London School of Economics this morning, which suggested that independence for Scotland would end up costing every Scottish taxpayer thousands of pounds a year, in addition to the £8 billion that they would have lost as a result, as the UK Government would not have provided that extra money to the Scottish Parliament.
ParlaMint-GB_2021-02-03-commons.u43	What steps he is taking to promote exports of Welsh lamb around the world.
ParlaMint-GB_2021-02-03-commons.u44	The UK Government have taken significant steps to support and promote Welsh lamb exports around the world. That includes securing a tariff-free, quota-free deal with the EU and securing the protection of the Welsh lamb geographical indicator as part of the Japan deal.
ParlaMint-GB_2021-02-03-commons.u45	Rules on international trade require sanitary and phytosanitary rules to be based on risk and science, so will the Government put immediate pressure on the European Union to lift the unreasonable compliance requirements it is imposing on British food exports? They are disproportionate, given that our food standards and rules are among the very toughest in the whole world.
ParlaMint-GB_2021-02-03-commons.u46	My right hon. Friend is absolutely right, particularly in her last point, and I can offer that guarantee. We are in regular contact with our colleagues in the EU about this specific point, and there are meetings later this week involving the Chancellor of the Duchy of Lancaster on this and related issues.
ParlaMint-GB_2021-02-03-commons.u47	Lamb exporters in west Wales have raised concerns about the delays they are facing at EU ports, reporting that some shipments have been held by customs officials for two to three days because of to the supposed issues with animal export health certificates. Can the Secretary of State enlighten us as to whether he expects an urgent resolution to this problem?
ParlaMint-GB_2021-02-03-commons.u48	I do not know how “urgent” would be defined in the EU at the moment, but certainly there is an urgency to resolve some of these problems. As I have mentioned, there are some teething issues that can be resolved quite quickly. If there are longer-term structural issues, they need to be looked at in more detail. I have sheep farming interests in my constituency, as does the hon. Member, and it is worth pointing out that there are some big opportunities across the rest of the world that we should be exploring, rather than necessarily just concentrating on some of the difficulties with the EU.
ParlaMint-GB_2021-02-03-commons.u49	Welsh lamb is a premium product that is wanted across the world. Welshpool livestock market, which is usually the heart of my farming community, is quieter because of covid, but the sheep meat prices are still robust. Will the Secretary of State meet me, farmers and slaughterhouses in Montgomeryshire to discuss the health certificates and the wider SPS issues on the EU border, which are clearly out of order?
ParlaMint-GB_2021-02-03-commons.u50	I am always happy to meet my hon. Friend and his constituents; I used to live in his constituency, so I know some of them quite well. He is right to raise this issue. One of the companies in question is meeting the Cabinet Office later this week; that is progress. I am delighted that Welshpool mart has done some good business. I see that lamb prices have increased by around 17% in 2021, and consumer spending was £652 million, but the rest-of-the-world opportunities that I mentioned—particularly the Gulf, the middle east and the US, once we get the small ruminant rule resolved—will help the lamb industry across Wales and the UK.
ParlaMint-GB_2021-02-03-commons.u51	What steps he is taking to employ more apprentices in the Wales Office.
ParlaMint-GB_2021-02-03-commons.u52	The Wales Office recognises the importance of apprenticeships and the opportunity they provide. We have funded dedicated apprenticeship roles since 2011 and continue to be fully committed to the apprenticeship scheme.
ParlaMint-GB_2021-02-03-commons.u53	Will my right hon. Friend outline what progress the Welsh Government have made towards meeting the public sector apprenticeship target of 2.3%, and what progress frontline services in Wales such as the police have made on offering apprenticeships to their employees?
ParlaMint-GB_2021-02-03-commons.u54	I am delighted that my right hon. Friend has raised this point. The public sector apprenticeship target is applicable only to bodies in England, but he raises a critical point about devolution. We are concerned that, for example, Welsh police forces are paying into the apprenticeship levy scheme but not getting anything out of it because the Welsh Government do not support police apprenticeships. I suggest that it would be very interesting for his Committee to look at why Welsh forces are paying in but getting nothing out the other end by way of apprenticeships.
ParlaMint-GB_2021-02-03-commons.u55	What assessment he has made of the effect of the EU-UK trade and co-operation agreement on Wales.
ParlaMint-GB_2021-02-03-commons.u56	We have agreed a deal that provides Welsh business with exceptional access to the EU market. It is the first time ever that the EU has agreed a zero-tariff, zero-quota deal.
ParlaMint-GB_2021-02-03-commons.u57	Getting the Brexit deal across the line before the end of the year was important, and huge credit is due to the Government for securing it, but we have a serious situation emerging at Welsh ports, with freight levels way down on where they should be. Will my right hon. Friend work urgently with ministerial colleagues, HMRC and trade bodies to find simpler solutions to the problem of checks and paperwork, which risks making the UK land bridge more costly and less attractive for trade between Ireland and the continent?
ParlaMint-GB_2021-02-03-commons.u58	As my right hon. Friend knows, I am in touch with Pembroke, Fishguard and Holyhead about this issue, and we are trying to make a distinction between what we can assign to covid changes in business and the other, more permanent factors that he refers to. There are some complications to do with port infrastructure, which is the responsibility of the Welsh Government. We have meetings tomorrow to try to push the Welsh Government to get that process under way more quickly. We have discussions with road hauliers about the land bridge. I assure him that we want this business to return to as near as possible as soon as possible, and I am happy to work with him and others to achieve that goal SPEAKER'S STATEMENT
ParlaMint-GB_2021-02-03-commons.u59	Before we come to Prime Minister’s questions, I want to express, on behalf of the whole House, our deep sadness at the death of Captain Sir Tom Moore. His dignity and determination in raising money to support NHS charities caught the nation’s mood at the most difficult time. He exemplified the best of our values. I know the whole House will want to join me in sending our condolences to his family and his many friends. I invite Members to join me for a minute’s silence to commemorate Sir Tom’s life, and to pay our respects to those who have lost their lives as a result of covid and their families and friends.
ParlaMint-GB_2021-02-03-commons.u60	If he will list his official engagements for Wednesday 3 February.
ParlaMint-GB_2021-02-03-commons.u61	Captain Sir Tom Moore—or Captain Tom, as we all came to know him—dedicated his life to serving his country and others. His was a long life lived well, whether during his time defending our nation as an Army officer or, last year, bringing the country together through his incredible fundraising drive for the NHS that gave millions a chance to thank the extraordinary men and women of our NHS who have protected us in this pandemic. As Captain Tom repeatedly reminded us, “Please remember, tomorrow will be a good day”. He inspired the very best in us all, and his legacy will continue to do so for generations to come. We now all have the opportunity to show our appreciation for him and all that he stood for and believed in, and that is why I encourage everyone to join in a national clap for Captain Tom and all those health workers for whom he raised money at 6 pm this evening This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2021-02-03-commons.u62	I certainly echo those words about Captain Tom, a decent and inspiring man The Social Democratic and Labour party has warned for the last five years about the destabilising impact Brexit would have on Northern Ireland, though we take no pleasure in the disruption or in the injury some feel to their British identity. The last few days have seen a rash decision—thankfully withdrawn—by the European Commission, which was condemned by all parties here and both Governments and which, unfortunately, was followed by sporadic criminal behaviour and threats. Will the Prime Minister, in affirming the rule of law in Northern Ireland, consider seriously the impact of their words, and work together through the available structures to ensure that the new arrangements work for everybody in Northern Ireland?
ParlaMint-GB_2021-02-03-commons.u63	I certainly agree with the hon. Lady that it was most regrettable that the EU should seem to cast doubt on the Good Friday agreement and the principles of the peace process by seeming to call for a border across the island of Ireland. I can tell her that we will work to ensure that there are no such borders—we will respect the peace process—and, indeed, no barriers down the Irish sea, and that the principle of unfettered access across all parts of our United Kingdom is upheld.
ParlaMint-GB_2021-02-03-commons.u64	I join the whole House in paying tribute to Captain Sir Tom Moore, who was indeed an inspiration to all of us, a beacon of light at a time of darkness and a true gentleman I am sure my right hon. Friend is aware that my ten-minute rule Bill would increase the maximum penalty for death by dangerous driving to life imprisonment. The policy and the Bill have cross-party support. The policy has Government support; the Bill does not. The Government say they will introduce the policy in their sentencing Bill, of which we have as yet seen no sign. So, will the Government now give Government time to my Bill to ensure that this necessary change is put on the statute book as soon as possible?
ParlaMint-GB_2021-02-03-commons.u65	I am very grateful to my right hon. Friend, and she is absolutely right to campaign for punishments that fit the crime; we are therefore bringing forward exactly those changes in our forthcoming sentencing Bill. Our proposals will, I believe, go as far as, if not even further than, those that she wants by raising the maximum penalty for causing death by careless driving when under the influence of drugs or alcohol, and they will tighten the law for those who cause serious injury by careless driving.
ParlaMint-GB_2021-02-03-commons.u66	May I join you, Mr Speaker, and the Prime Minister in sending my condolences to the family of Captain Sir Tom Moore? He perhaps more than anyone embodied the spirit of Britain; he will be sadly missed, and I welcome the initiative that the Prime Minister spoke of for a clap this evening. Our thoughts are also with the family of Maureen Colquhoun, the first openly lesbian MP and a great champion of women’s rights Let me pay tribute to our NHS and all those on the frontline who are delivering the vaccine. Today we are likely to hit 10 million vaccinations, which is remarkable. The biggest risk to the vaccine programme at the moment is the arrival of new variants, such as the South African variant. On that issue, the Government’s own scientists in the Scientific Advisory Group for Emergencies said two weeks ago that “only a complete pre-emptive closure of borders or the mandatory quarantine of all visitors upon arrival can get close to fully preventing new cases or new variants.” That is pretty clear, so why did the Prime Minister choose not to do the one thing that SAGE said could prevent new variants coming to the United Kingdom?
ParlaMint-GB_2021-02-03-commons.u67	Actually, SAGE did not recommend a complete ban and says that a travel ban should not be relied upon to stop the importation of new variants, but we do have one of the toughest regimes in the world. Anybody coming from South Africa not only has to do a test before they come here, but anybody now coming from South Africa—a British citizen coming from South Africa now—will find themselves obliged to go into quarantine for 10 days, and will have an isolation assurance agency checking up on them. It is illegal now to go on holiday in this country; it is illegal to travel from South Africa or all the countries on the current red list, and we will be going forward with a plan to ensure that people coming into this country from those red list countries immediately have to go into Government-mandated quarantine hospitality.
ParlaMint-GB_2021-02-03-commons.u68	I am intrigued by the Prime Minister’s answer. I do not think he disputes what SAGE’s view was—that only a complete closure or comprehensive quarantine of all arrivals will work. He does not seem to dispute that; he says it simply was not a recommendation. I ask the Prime Minister to publish the full SAGE minutes so we can see what was said in full; or, if there is some other advice, perhaps he can publish that. The situation is this: we know that the South African variant is spreading across England, and measures are in place to try to deal with that. We also know that other variants are out there in other parts of the world. Just as a matter of common sense, is the Prime Minister really saying that quarantining all arrivals would make no difference to fighting new variants of the virus, or is he saying that quarantining all arrivals at the border would make a difference but it is too difficult?
ParlaMint-GB_2021-02-03-commons.u69	This is the right hon. and learned Gentleman who only recently said that quarantine measures are “a blunt instrument” and whose shadow Transport Secretary said that quarantine should be “lessened”. We have one of the toughest regimes in the world. When the right hon. and learned Gentleman calls for a complete closure of borders, or suggests that that might be an option, he should be aware that 75% of our medicines come into this country from the European continent, as does 45% of our food, and 250,000 businesses in this country rely on imports. It is not practical completely to close off this country as he seems to be suggesting. What is practical is to have one of the toughest regimes in the world and to get on with vaccinating the people of this country, which is what we are doing.
ParlaMint-GB_2021-02-03-commons.u70	What the Prime Minister says about the Labour position is complete nonsense; he knows it. It is 3 February 2021; with new variants in the country, our schools are shut and our borders are open. Everybody knows there are exceptions whatever the quarantine regime. Everybody knows that. That is not what this question is about The position is this: 21,000 people are coming into this country every day. The Prime Minister’s new border arrangements are still weeks away from being implemented and will only affect direct flights from some countries. We know from the first wave of the pandemic that only 0.1% of virus cases came from China, where we had restrictions, whereas 62% came indirectly from France and Spain, where there were no restrictions. Why does the Prime Minister think that the variants of the virus will behave differently and arrive in the UK only by direct flights?
ParlaMint-GB_2021-02-03-commons.u71	The right hon. and learned Gentleman cannot have it both ways. He simultaneously says that he wants the borders to be kept open for freight reasons or to allow businesses to carry on as now—I think that was what he was saying—while calling for tougher quarantine measures, which is exactly what this Government imposed as soon as we became aware of the new variant I repeat what someone has to do if they want to come into this country from abroad. Seventy-two hours before they fly, they have to get a test. They have to have a passenger locator form; they are kicked off the plane if they do not have it. They then have to spend 10 days in quarantine. If they come from one of the red list countries, they have to go straight into quarantine. All that, of course, is to allow us to get on with the vaccination programme. If we had listened to the right hon. and learned Gentleman, we would still be at the starting blocks, because he wanted to stay in the European Medicines Agency and said so four times from that Dispatch Box.
ParlaMint-GB_2021-02-03-commons.u72	Complete nonsense. Don’t let the truth get in the way of a pre-prepared gag: the Prime Minister knows that I have never said that, from this Dispatch Box or anywhere else, but the truth escapes him. He describes the current arrangements. If they were working, the variant—the single biggest threat to the vaccine system—would not be in the country Let me turn to another area where the Government have been slow to act: the cladding crisis. This is affecting millions of people, and I cannot tell the Prime Minister how anxious and angry people feel about it. It is now three and a half years since the Grenfell tragedy, which took 72 lives. Can the Prime Minister tell the House and the country why, three and a half years on, there are still hundreds of thousands of people living in homes with unsafe cladding, and why millions of leaseholders are in homes that they cannot sell and are facing extortionate costs?
ParlaMint-GB_2021-02-03-commons.u73	In respect of the right hon. and learned Gentleman’s last answer, may I advise him to consult YouTube, where he will find an answer The right hon. and learned Gentleman raises a very important point about cladding and the predicament of some leaseholders—many leaseholders—and he is absolutely right that this is a problem that needs to be fixed. This Government are getting on with it. On 95% of the high-rise buildings with unsafe ACM cladding, work is either complete or under way to remove that cladding. I very much appreciate and sympathise with the predicament of leaseholders who are in that situation, but we are working to clear the backlog, and I can tell him that my right hon. Friends the Chancellor and the Communities Secretary will be coming forward with a full package to address the issue.
ParlaMint-GB_2021-02-03-commons.u74	Whatever the Prime Minister claims is being done is not working, because this is the situation. Through no fault of their own, huge numbers of people, especially leaseholders, are stuck in the middle. They are living in unsafe homes. They cannot sell and they are being asked to foot the bill. That is the situation they are in. Take, for example, Will Martin. He is a doctor who has a flat in Sheffield. He has been spending his days on the frontline fighting covid in the NHS. He spends his nights worrying about the £52,000 bill that he now has to pay for fire safety repairs. He does not want future promises, Prime Minister. He does not want to hear that it has all been sorted when he knows that it has not. He wants to know, here and now: will he or will he not have to pay that £52,000 bill?
ParlaMint-GB_2021-02-03-commons.u75	We are determined that no leaseholder should have to pay for the unaffordable costs of fixing safety defects that they did not cause and are no fault of their own. That is why, in addition to the £1.6 billion we are putting in to remove the HPL—high-pressure laminate—cladding, we have also set up a £1 billion building safety fund that has already processed over almost 3,000 claims. I sympathise very much with Dr Martin, the gentleman the right hon. and learned Gentleman mentions, and I hope very much that his particular case can be addressed in the course of the forthcoming package that will be produced by my right hon. Friends.
ParlaMint-GB_2021-02-03-commons.u76	There are thousands and thousands of people in exactly the same position. I spoke to leaseholders caught in the middle of this on Monday. One of them was Hayley. She has already gone bankrupt, Prime Minister. She is 27. She bought a flat, she has lost it and she is now bankrupt. It is too late for her. Those leaseholders I spoke to had three very simple asks. This is what they want: immediate up-front funding for unsafe blocks; a deadline of next year to make buildings safe; and protection for leaseholders. We put those forward for a vote on Monday. The Prime Minister says he is determined to do something about it. What did he do? He ordered his MPs to abstain. If the Prime Minister is serious about moving this forward and ending this injustice, will he commit today to those simple asks from leaseholders?
ParlaMint-GB_2021-02-03-commons.u77	We are getting on with the job of helping leaseholders across the country by remediating their buildings. In addition to the funds I have already mentioned, I can tell the right hon. and learned Gentleman that we are also introducing a £30 million fund to install alarms and other interim measures. We are making it very clear to the mortgage industry that they should support people living in such accommodation, and making it clear to all sectors in the industry that people living in such homes should not be tied up in the whole EWS1 process. That will benefit about 450,000 homeowners. I think he is right to raise the problem, but we are getting on with addressing it We are getting on with addressing the fundamental problem that afflicts this country and that is the covid pandemic. That is why I am pleased we have now done 10 million first vaccinations across the country. I repeat, Mr Speaker, that had we listened to the right hon. and learned Gentleman we would be stuck at go. He is shaking his head, but he can check the record. Several times he said that this country should remain in the European Medicines Agency. If he wishes he can, on a point of order, correct me. He said it was wrong just now. I think he should study the record and he will find that that is exactly what he did We want to get this country safe again. We want schools to come back. The right hon. and learned Gentleman continues to refuse to say that schools are not safe. On the contrary, he spends his time looking at Labour focus groups, who tell him that he should stop sitting on the fence—
ParlaMint-GB_2021-02-03-commons.u78	Order. In fairness, Prime Minister, we have to be somewhere near the question that was asked. I do not want you to go around answering every problem and issue. There are a lot more questions that will allow you to do that and the first one is from Marco Longhi.
