ParlaMint-GB_2020-05-20-commons.u1	What recent discussions he has had with the Scottish Government on the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u17	It is so disappointing to see the Secretary of State and his “better together” shadow in the House of Commons in London today. Their Government are telling them to stay at home and not to travel unnecessarily, but there they are in the House of Commons today. The Secretary of State is right that virtual proceedings allow Scottish Members of Parliament to work from home, so why are the Government pulling the plug on the virtual proceedings today? He is the voice of Scots in the Cabinet. What is he doing to ensure that Scots’ voices continue to be heard in the House of Commons on behalf of our constituents and to allow us to do our work?
ParlaMint-GB_2020-05-20-commons.u18	The hon. Gentleman might be jumping the gun on that, because discussions are ongoing between the Whips Office and the House authorities. I want to make it clear to him that we are not going to put anyone at risk. However, we have to recognise that if we are asking schools to go back and the public to go back to work, we should lead by example, and we should return to a covid-safe—I emphasise that: covid-safe—working environment.
ParlaMint-GB_2020-05-20-commons.u19	What recent discussions he has had with the Education Secretary in the Scottish Government on the effect of the covid-19 outbreak on Scottish universities.
ParlaMint-GB_2020-05-20-commons.u20	Higher Education in Scotland is, for the most part, a devolved responsibility. However, the UK Government very much recognise the difficulties faced by students, staff, and institutions across the UK, and we are working closely with the sector. The Department for Education has been engaging closely with ministerial and official colleagues in Scotland to discuss a range of higher education areas affected by the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u21	Further and higher education needs to adapt to the long-term consequences of covid-19 in much the same way as our schools and other public services do. Although the crisis has taught us how well long-distance learning can be employed, will my right hon. Friend agree to discuss with the Scottish Government how such lessons can be implemented in the future to provide valuable education and, importantly, value for money for undergraduates and postgraduates?
ParlaMint-GB_2020-05-20-commons.u22	I thank my hon. Friend for his question. The Department for Education has been engaging closely with ministerial and official colleagues in Scotland to discuss a range of higher education areas that are affected by covid-19. I am also pleased to say that the Under-Secretary of State for Scotland, my hon. Friend the Member for Moray (Douglas Ross), is meeting Universities Scotland’s funding policy group later this week.
ParlaMint-GB_2020-05-20-commons.u23	We now come to Chris Elmore in his new role on the Front Bench.
ParlaMint-GB_2020-05-20-commons.u24	Scotland’s 19 universities are not immune to the financial hardship caused by the pandemic. They currently face immediate in-year losses of £72 million, and Universities Scotland anticipates that 18 of Scotland’s 19 universities will go on to report deficits in this financial year. May I press the Secretary of State further on what work he will do as part of a UK Government working with the Scottish Government to ensure that any detrimental impact to universities across Scotland is dealt with and that universities are supported and helped in relation to the pandemic?
ParlaMint-GB_2020-05-20-commons.u25	Funnily enough, I have spoken to the Education Secretary on that very subject. The UK Government are providing considerable funds to support research by Scottish universities, as indeed they do for other universities in the UK. Regarding the shortfall for universities, which I believe has been highlighted, I am told that that is largely due to the policy of the Scottish Government over the past 10 years of giving free tuition to Scottish nationals and charging English students and overseas students more. I have to say that that element of the budget is, and always has been, devolved and it is absolutely the responsibility of the Scottish Government to rectify that problem.
ParlaMint-GB_2020-05-20-commons.u26	What recent discussions he has had with Cabinet colleagues on co-ordinating a UK-wide response to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u27	What recent discussions he has had with Cabinet colleagues on co-ordinating a UK-wide response to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u28	What recent discussions he has had with Cabinet colleagues on co-ordinating a UK-wide response to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u29	What recent discussions he has had with Cabinet colleagues on co-ordinating a UK-wide response to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u30	I have regular discussions with all my Cabinet colleagues on the covid-19 outbreak, including on the co-ordination of a UK-wide response. The Government are absolutely committed to a UK-wide approach and we will continue to work together with the devolved Administrations to ensure a co-ordinated approach across the UK, while respecting the devolution settlements.
ParlaMint-GB_2020-05-20-commons.u31	Because of the actions taken by this UK Government, the Scottish Government will receive more than £3.7 billion in extra Barnett funding to help deal with the covid-19 outbreak. Does my right hon. Friend believe that this demonstrates the importance of tackling the pandemic as one United Kingdom, and that it is in the best interests of all four nations to work together as we emerge from this crisis?
ParlaMint-GB_2020-05-20-commons.u32	As my hon. Friend correctly points out, Scotland has been allocated a total of £3.7 billion in extra funding so far, and, yes, I agree with him on the one United Kingdom approach.
ParlaMint-GB_2020-05-20-commons.u33	In places such as Carlisle and south Scotland, we have a substantial amount of cross-border activity, including travel to work. Does the Minister agree that it would be far better to have a UK-wide policy on movement rather than having the Scottish Government causing unnecessary confusion, which does not help people in this part of the country?
ParlaMint-GB_2020-05-20-commons.u34	Yes, absolutely.
ParlaMint-GB_2020-05-20-commons.u35	As we know, different parts of the United Kingdom are experiencing this pandemic at different rates, so it is right to be flexible and to move at different speeds, as we have seen. But will my right hon. Friend confirm that he remains fully committed to working constructively with the Scottish Government, so that we can, as he says, get through this crisis together as one United Kingdom?
ParlaMint-GB_2020-05-20-commons.u36	I can confirm to my hon. Friend that we are absolutely committed to working constructively with the Scottish Government on all fronts.
ParlaMint-GB_2020-05-20-commons.u37	Does the Secretary of State agree with Adam Marshall, director general of the British Chambers of Commerce, has said: “We need to see the whole of the UK moving together—the alternative for business is additional confusion and cost. Avoiding divergence for the sake of politics is important.” Does the Secretary of State agree?
ParlaMint-GB_2020-05-20-commons.u38	I do not know if the Secretary of State could hear that—if not, we will move on.
ParlaMint-GB_2020-05-20-commons.u39	I think my hon. Friend said, “avoiding divergence for the sake of politics”, or something, towards the end. If that is indeed what he said, I completely agree with him.
ParlaMint-GB_2020-05-20-commons.u40	What discussions he has had with the Scottish Government on the rescheduling of COP26 to be held in Glasgow in 2021.
ParlaMint-GB_2020-05-20-commons.u41	The decision on a revised date for COP26 in 2021 will be taken by the COP Bureau of the United Nations framework convention on climate change, in co-operation with the UK and Italy.
ParlaMint-GB_2020-05-20-commons.u42	As a man born and bred in Glasgow, I welcome the fact that COP26 is going to be hosted there. However, the original plan included a proposal to house 30,000 delegates in cruise liners docked in the Clyde. Not only was that ludicrously expensive, but the pollution from the diesel from those vessels would have sent entirely the wrong message from the COP. What assurance can the Minister give that more suitable accommodation is now being prepared?
ParlaMint-GB_2020-05-20-commons.u43	Clearly, decisions will continue to be taken on COP26 when it is rescheduled. The point about the 30,000 delegates is important, because that will make COP26 in Glasgow—a UK-secured summit—the biggest-ever summit, delegate-wise, in the United Kingdom, and that is something we should celebrate. We will continue to work on the valuable point that the hon. Gentleman has made. Glasgow will be ready to host this outstanding international conference.
ParlaMint-GB_2020-05-20-commons.u44	What progress his Department has made on delivering growth deals for every region in Scotland.
ParlaMint-GB_2020-05-20-commons.u45	I am pleased to confirm that we have agreed a city or growth deal for each of Scotland’s seven city regions. We have also agreed, or are in the process of agreeing, growth deals for Ayrshire, Borderlands, Argyll and Bute, Falkirk, the Islands, and my own home area of Moray. Together, this will mean that a city or growth deal will be part of every area of Scotland.
ParlaMint-GB_2020-05-20-commons.u46	I thank my hon. Friend for his reply and for his Department’s excellent work in delivering these growth deals for Scotland. But does he agree that we now need a growth deal for the whole United Kingdom based on free enterprise, an export boost from new free trade deals, and locking in some of the productivity gains we have made during this crisis on a transition to a more digital and cashless economy?
ParlaMint-GB_2020-05-20-commons.u47	I do agree that as we come out of this pandemic we have to ensure that steps are taken to protect and restore people’s livelihoods, which are clearly at the forefront of everyone’s minds at the moment, because a strong economy is the best way to protect jobs and fund vital services that are required. I am certain that city and growth deals in Scotland and across the UK will play their part in helping to achieve this.
ParlaMint-GB_2020-05-20-commons.u48	Sam Tarry has withdrawn, so we go to the substantive question from Jacob Young.
ParlaMint-GB_2020-05-20-commons.u49	What steps he is taking to support the oil and gas industry in Scotland.
ParlaMint-GB_2020-05-20-commons.u50	In my role in the Scotland Office, along with the Minister for Business, Energy and Clean Growth, there is regular UK Government engagement with the Oil and Gas Authority and with the wider industry to discuss the significant levels of Government support available to it as part of our unprecedented package of support to business.
ParlaMint-GB_2020-05-20-commons.u51	This is an extremely difficult and uncertain time for oil and gas companies in Scotland and across the UK. I am sure my hon. Friend shares my concern about the impact this uncertainty is having on thousands of people who work in the sector, so will he outline what support is available to British oil and gas workers, and will he work with the sector to prevent job losses during this pandemic?
ParlaMint-GB_2020-05-20-commons.u52	I am grateful to my hon. Friend for that question. This is an issue that has been raised in my own constituency. People in Moray travel around the world working in the oil industry. Clearly, the coronavirus job retention scheme is open to the oil and gas industry. Oil and Gas UK has reported that about 30% of respondents to its recent business survey said that they were successful in securing that funding. I would encourage others to look at that as an option to protect their workforce.
ParlaMint-GB_2020-05-20-commons.u53	What recent discussions he has had with the Minister for the Cabinet Office on strengthening the four-nation approach to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u54	What recent discussions he has had with the Minister for the Cabinet Office on strengthening the four-nation approach to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u55	What recent discussions he has had with the Minister for the Cabinet Office on strengthening the four-nation approach to the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u56	I have regular discussions with the Minister for the Cabinet Office and the Scotland Office is in regular dialogue with Scottish Government Minsters to ensure that the most effective measures are put in place in all parts of the United Kingdom. Throughout the covid-19 outbreak, we have been committed to a four-nations approach.
ParlaMint-GB_2020-05-20-commons.u57	From the Secretary of State’s comments earlier, we know that the Government accept that coronavirus will affect different places differently. What discussions has the Minister been having with other Ministers about getting an official, sub-regional transmission rate—a sub-regional R rate—for the whole United Kingdom to enable authorities in different parts of the country to respond in the way that helps them locally?
ParlaMint-GB_2020-05-20-commons.u58	There have been ongoing discussions about this. As the Secretary of State said—indeed, the Prime Minister included it in the UK Government document—not only will different nations of the United Kingdom come out of the pandemic at different rates, but different regions of England may also come out of the pandemic at different rates. It is right that this Government are committed to supporting everyone, no matter where they live, to have the best chances to come out of coronavirus and its effects. We will continue to do that as a Government, in dialogue and constructive discussion with the devolved Administrations.
ParlaMint-GB_2020-05-20-commons.u59	Is the Minister aware of a survey by the charity Radiotherapy4Life, which says that there may be between 2,500 and 7,000 avoidable cancer deaths in Scotland as a result of deferred treatments for cancer patients as a consequence of the NHS focusing on the covid-19 response? Will he work with his counterparts in the four nations to put the case to prioritise advanced radiotherapy by seeking to increase funding, and to remove bureaucratic barriers and restrictions to modernising radiotherapy and encouraging the use of advanced radiotherapy?
ParlaMint-GB_2020-05-20-commons.u60	The hon. Gentleman raises an extremely important point. We have to make it clear in Scotland, Wales, England and Northern Ireland that our NHS remains open. That message has been loud and clear. Cancer patients should be aware that we will do everything we can across the four nations of the United Kingdom to get the treatment they need and deserve, but the ultimate message is, yes, coronavirus has an impact on our NHS. Because of the actions of the Government and the public, we have been able to suppress the covid outbreak to ensure that we have not breached capacity, but we cannot allow important medical matters to go untreated for too much longer. That message is heard loud and clear throughout the Government.
ParlaMint-GB_2020-05-20-commons.u61	When the Prime Minister ditched “Stay at Home” for “Stay Alert”, he did not appear to have been too alert to the fact that the other three nations were not with him. Is it not time to re-establish the four-nation approach as soon as possible?
ParlaMint-GB_2020-05-20-commons.u62	I think we have seen a slight divergence in some areas, but together the four nations continue to work strongly in lockstep to ensure that we can beat coronavirus and save not only lives, but livelihoods. I am encouraged that Scotland will shortly announce similar measures to the rest of the United Kingdom to release some of the restrictions that are in place, but it is important that these decisions are taken in the devolved Administrations where public health is devolved to the respective Governments.
ParlaMint-GB_2020-05-20-commons.u63	What steps he is taking to ensure that the procurement of personal protective equipment in response to the covid-19 outbreak operates effectively between the UK and Scottish Governments.
ParlaMint-GB_2020-05-20-commons.u64	The UK Government are working tirelessly to procure PPE both internationally and domestically for UK-wide distribution. This is in addition to the Scottish Government’s own procurement processes. We are working with the devolved Administrations to ensure that the different parts of the UK do not compete against one another in the international market, and that the Foreign and Commonwealth Office can make a single approach to foreign Governments.
ParlaMint-GB_2020-05-20-commons.u65	The lack of PPE is a scandal. It is part of the reason for the high mortality rate in care homes across the UK. What discussions has the Minister had with the Scottish Government to ensure that nations are not competing against one another for the vital PPE that our essential frontline workers need?
ParlaMint-GB_2020-05-20-commons.u66	As I said in my opening remarks, the UK Government are committed to ensuring that we work as a United Kingdom, and the Foreign and Commonwealth Office has taken a lead on this issue to ensure that that can happen. I have had regular discussions with Donald Macaskill of Scottish Care about PPE, but also about the outstanding work that our care workers are doing in care homes and around the community across Scotland and the whole of the United Kingdom; they deserve our praise for what they are doing.
ParlaMint-GB_2020-05-20-commons.u67	What steps he is taking to ensure the equitable distribution of imported personal protective equipment to Scotland.
ParlaMint-GB_2020-05-20-commons.u68	We are working closely with the devolved nations to ensure that supplies of PPE, both domestic and imported, are distributed equally across the four nations. As I mentioned in my previous response, we are also working to ensure that different parts of the UK do not compete against one other when procuring PPE internationally.
ParlaMint-GB_2020-05-20-commons.u69	Despite the England-only designation of some PPE imports, the grassroots medical association EveryDoctor has been collating a range of data on PPE availability, and anecdotal evidence suggests that the Scottish Government’s system of procurement and distribution of PPE for Scotland’s NHS has been more efficient and effective from its perspective than that experienced by frontline medical staff in the English NHS. Can the Minister advise the House of what discussions he has had—
ParlaMint-GB_2020-05-20-commons.u70	Order. I think we’ve got the question. I call the Minister.
ParlaMint-GB_2020-05-20-commons.u71	I have had regular discussions with the Scottish Government about procuring PPE. Of course, it was the Scottish Government who had a delivery into Prestwick airport of PPE that was not properly labelled, which sat in the airport unable to get out into the care homes to protect the people we needed it to get to. The four nations across the United Kingdom continue to prioritise this issue. It is important for our NHS workers, our careworkers and Scotland and the United Kingdom as a whole.
ParlaMint-GB_2020-05-20-commons.u72	If he will list his official engagements for Wednesday 20 May.
ParlaMint-GB_2020-05-20-commons.u73	One hundred and eighty-one NHS and 131 social care workers’ deaths have sadly been reported involving covid-19. I know that the thoughts of the whole House are with their families and friends This morning I had meetings with ministerial colleagues and others. In addition to my meetings in this House, I shall have further such meetings later today.
ParlaMint-GB_2020-05-20-commons.u74	The Government keep saying that this virus does not discriminate, but that is not true. Office for National Statistics figures show that black people, African and African Caribbean people are four times more likely to die from covid-19. The figure is also disproportionately high for Bangladeshi, Pakistani or Indian communities. What is the Prime Minister going to do now about this,- and will he act now to ensure that African, Asian and minority ethnic communities in Leicester East and across the country are supported in the next phase of this virus?
ParlaMint-GB_2020-05-20-commons.u75	Yes. As the hon. Lady may know, we are looking at all the comorbidities associated with the coronavirus and all the reasons why people might be disproportionately affected. A rapid review is now being conducted by Professor Fenton, who will report at the end of the month about particularly vulnerable groups. We will take steps to ensure that they are protected where that is appropriate.
ParlaMint-GB_2020-05-20-commons.u76	Today I submitted a formal expression of interest for a new rail line between Consett and the Metrocentre, connecting my constituency to the heart of the north-east in Newcastle. As part of the levelling-up agenda, may I ask the Prime Minister for his support for this scheme, as my constituents have supported him and me?
ParlaMint-GB_2020-05-20-commons.u77	I congratulate my hon. Friend on his imagination and his plan for a new railway. It is entirely in keeping with our infrastructure revolution, and I can assure him that my right hon. Friend the Secretary of State for Transport will be getting back to him. I note that Nexus has already identified several possible extensions of the Tyne and Wear Metro scheme, which may be of advantage to his constituents.
ParlaMint-GB_2020-05-20-commons.u78	Last Friday, the Health Secretary said: “Right from the start we’ve tried to throw a protective ring around our care homes.” That caused quite a reaction. Yesterday, it was flatly contradicted by the chief executive of Care England. He was giving evidence to the Select Committee on Health and Social Care, and he said that we should have been focusing on care homes from the start and that despite what is being said, there were cases of people who either did not have a covid status or were symptomatic who were discharged into our care homes. The Government advice from 2 to 15 April was: “Negative tests are not required prior to transfers/admissions into” care homes. What is protective about that?
ParlaMint-GB_2020-05-20-commons.u79	As the right hon. and learned Gentleman knows full well—of course he is right to draw attention to what has happened in our care homes, and we mourn the loss of every victim—no one was discharged into a care home this year without the express authorisation of a clinician, and they have the interests of those patients at heart. As I said to him last week—he does not seem to have remembered—actually, the number of patients discharged from hospitals into care homes was 40% down in March on January. The guidance was changed to reflect the change in the epidemic, and that guidance was made available to care homes—and, of course, since the care homes action plan began, we have seen a sharp reduction in the number of deaths in care homes. Indeed, since I last stood before the House, the number of deaths in care homes has come down by 31%. I think he should pay tribute to all those who have helped to fight that epidemic across the NHS and across our local services.
ParlaMint-GB_2020-05-20-commons.u80	I think the Prime Minister rather missed the point. The question was whether people were tested going back into care homes. The chief executive of Care England says that because they were not, people who had no covid-19 status or who were symptomatic were discharged into care homes. That is a very serious issue that requires an answer Yesterday, the chief executive of Care England, in his evidence, was also asked when routine testing would start in care homes. This is the answer he gave yesterday: “I think the short answer is that we’ve had the announcement, but what we haven’t had is delivery, and we are not really clear when that will arrive.” This is the chief executive of Care England in his evidence. Even the Government’s Command Paper, published last week and introduced by the Prime Minister to this House, says within it—[Interruption.] The Health Secretary says, “He’s wrong.” I am quoting the Government’s paper. It says that “every care home for the over 65s will have been offered testing for residents and staff” by 6 June That is from the Prime Minister’s Command Paper. That is over two weeks away. What is causing the continued delay in routine testing in our care homes?
ParlaMint-GB_2020-05-20-commons.u81	I am afraid the right hon. and learned Gentleman is simply in ignorance of the facts. The reality is that already 125,000 care home staff have been tested, 118,000—[Interruption.] Perhaps he did know that. One hundred and eighteen thousand care home workers have been tested, and we are absolutely confident that we will be able to increase our testing, not just in care homes but across the whole of the community. Thanks to the hard work of my right hon. Friend the Health Secretary and his teams, we will get up to 200,000 tests in this country by the end of this month. The right hon. and learned Gentleman may know this—perhaps it is one of those international comparisons he hesitates to make—but actually this country is now testing more than virtually any other country in Europe.
ParlaMint-GB_2020-05-20-commons.u82	Again, the question was when would routine testing start, and the chief executive of Care England, who knows what he is talking about, gave evidence yesterday that it has not. [Interruption.] If the Prime Minister is disputing the evidence to the Select Committee, that is his own business. [Interruption.]
ParlaMint-GB_2020-05-20-commons.u83	Order. Secretary of State for Health, please. I do not mind you advising the Prime Minister, but you do not need to advise the Opposition during this. [Interruption.] Sorry, do you want to leave the Chamber? We are at maximum numbers. If you want to give way to somebody else, I am more than happy.
ParlaMint-GB_2020-05-20-commons.u84	To assure the Prime Minister, I am not expressing my own view; I am putting to him the evidence of experts to Committees yesterday Testing was referred to by the Prime Minister. That on its own is obviously not enough. What is needed is testing, tracing and isolation. At yesterday’s press conference, the deputy chief scientific adviser said that we could draw particular lessons from Germany and South Korea, which have both had intensive testing and tracing. The number of covid-19 deaths in Germany stands at around 8,000. In South Korea, it is under 300. In contrast, in the United Kingdom, despite 2 million tests having been carried out, there has been no effective tracing in place since 12 March, when tracing was abandoned. That is nearly 10 weeks in a critical period without effective tracing. That is a huge hole in our defences, isn’t it, Prime Minister?
ParlaMint-GB_2020-05-20-commons.u85	I must say that I find it peculiar, because I have given the right hon. and learned Gentleman repeated briefings on this matter. He is perfectly aware of the situation in the UK as regards testing and tracing in early March. It has been explained many times to him and to the House. I think his feigned ignorance does not come very well. However, I can tell him that today I am confident that we will have a test and trace operation that will enable us, if all the other conditions are satisfied—it is entirely provisional—to make progress. I can also tell him that we have already recruited 24,000 trackers, and by 1 June we will have 25,000. They will be capable of tracking the contacts of 10,000 new cases a day. To understand the importance of that statistic, I remind the right hon. and learned Gentleman that today the new cases stand at 2,400. We are making vast progress in testing and tracing and I have great confidence that by 1 June, we will have a system that will help us greatly to defeat this disease and move the country forward. I therefore hope that he will abandon his slightly negative tone and support it.
ParlaMint-GB_2020-05-20-commons.u86	Thirty-four thousand deaths is negative. Of course I am going to ask about that, and quite right too. The Prime Minister says “feigned ignorance”, but he knows that for 10 weeks there has been no tracing, unlike in Germany and South Korea. Tracing is critical—there is no getting away from that. The Prime Minister knows it is vital—he made a great deal of it in his speech to the nation Sunday week ago. He said, “we cannot move forward unless we satisfy” the tests that he has set, one of which is a “world-beating” test and trace system. World-beating. Leaving aside the rhetoric—“effective” will do—there now appears to be some doubt about when the system will be ready. This is the last Prime Minister’s questions for two weeks. Can the Prime Minister indicate that an effective test, trace and isolate system will be in place by 1 June—Monday week?
ParlaMint-GB_2020-05-20-commons.u87	The right hon. and learned Gentleman seems to be in the unhappy position of having rehearsed his third or fourth question but not listened to my previous answer, brilliant forensic mind though he has. He has heard that we have growing confidence that we will have a test, track and trace operation that will be world-beating, and yes, it will be in place by 1 June To repeat the figures, since the right hon. and learned Gentleman has invited me to do so, there will be 25,000 trackers, who will be able to cope with 10,000 new cases a day. That is very important because currently new cases are running at about 2,500 a day. They will be able to trace the contacts of those new cases and stop the disease spreading. I hope very much, notwithstanding the occasional difficulty of these exchanges—and I totally appreciate the role that the right hon. and learned Gentleman has to fulfil—that he will support us as we go forward, that he will be positive about the test, track and trace operation and that we can work together to use it to take our country forward. That is what the people of this country want to see.
ParlaMint-GB_2020-05-20-commons.u88	I am very happy to work with the Prime Minister on that. He knows that from our previous exchanges Every Thursday, we go out and clap for our carers. Many of them are risking their lives for the sake of all of us. Does the Prime Minister think it is right that careworkers coming from abroad and working on our frontline should have to pay a surcharge of hundreds, sometimes thousands of pounds to use the NHS themselves?
ParlaMint-GB_2020-05-20-commons.u89	I have thought a great deal about this, and I accept and understand the difficulties faced by our amazing NHS staff. Like the right hon. and learned Gentleman, I have been a personal beneficiary of carers who have come from abroad and frankly saved my life. I know exactly the importance of what he asks. On the other hand, we must look at the realities. This is a great national service—it is a national institution—that needs funding, and those contributions help us to raise about £900 million. It is very difficult in the current circumstances to find alternative sources, so with great respect for the right hon. and learned Gentleman’s point, I think it is the right way forward.
