ParlaMint-GB_2020-09-02-commons.u1	What recent assessment he has made of the strength of the economy in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u43	I also thank the Secretary of State for all he has done with regard to the victims’ pension fund. May I ask him to outline what steps have been taken to claw back the money from Sinn Féin that was spent on the court case that took place solely because of Sinn Féin’s refusal to do the right thing and appoint a Minister to oversee the fund. Sinn Féin should pay the legal fees.
ParlaMint-GB_2020-09-02-commons.u44	The court was clear that the Executive, through their action of not designating, or refusing to designate, a Department, which was down to the Deputy First Minister, were acting illegally. The hon. Gentleman puts forward an interesting proposal, which I am sure that the Finance Ministry, in terms of wanting to make sure that Northern Ireland’s finances are well spent, will consider properly.
ParlaMint-GB_2020-09-02-commons.u45	What recent discussions he has had with Cabinet colleagues on the effect on the Northern Ireland economy of the UK leaving the EU.
ParlaMint-GB_2020-09-02-commons.u46	What assessment he has made of the potential benefits to the Northern Ireland economy of the proposals set out in the Government’s July 2020 UK internal market White Paper.
ParlaMint-GB_2020-09-02-commons.u47	By the end of this year, the process of transition to our new relationship with the EU will be completed. I and colleagues across the Cabinet are determined to ensure that Northern Ireland benefits fully from the opportunities that that will bring.
ParlaMint-GB_2020-09-02-commons.u48	I am sure that all in business will welcome the announcement from the Secretary of State that there will be guidance given to all those trading in Northern Ireland by 1 November, but can he explain to the House how one formulates guidance for the implementation of a deal that has not yet been done, or will that guidance be written on the presumption that there will be no deal?
ParlaMint-GB_2020-09-02-commons.u49	As we did with the guidance that we outlined just before the House broke for the summer recess, we have done it in conjunction with our partners in businesses across Northern Ireland through the business engagement forum that we have put together. We are consulting with businesses about what they need to live on the protocol, and that protocol does give confidence to businesses about what will be in place next year.
ParlaMint-GB_2020-09-02-commons.u50	Does my right hon. Friend recognise that the UK internal market is the cornerstone of simplicity in terms of uncertainty over attracting investment to all parts of the United Kingdom, and any detractors from the Government’s plan and policy to maintain the integrity of the UK internal market would be undermining the potential investment in their community.
ParlaMint-GB_2020-09-02-commons.u51	Absolutely right. My right hon. Friend makes a hugely important point. The UK internal market Bill will outline that integral structure of the United Kingdom as one customs union and one single market, which will give confidence to businesses and investors to the benefit of all our economies.
ParlaMint-GB_2020-09-02-commons.u52	What recent discussions he has had with the Irish Government on the operation of the border between Northern Ireland and the Republic of Ireland after the end of the transition period.
ParlaMint-GB_2020-09-02-commons.u53	I and ministerial colleagues speak regularly with our counterparts in the Irish Government. The protocol itself provides for a practical solution that avoids a hard border on the island of Ireland in all circumstances, including in the event that we do not agree a free trade agreement, while ensuring that the UK, including Northern Ireland, can leave the EU as a whole.
ParlaMint-GB_2020-09-02-commons.u54	I am very grateful to the Secretary of State. He will know that small and medium-sized enterprises with business across the border are in a state of uncertainty at the moment, given what is potentially going to hit them in four months’ time. Given that, the trader support service announced last month is particularly welcome. What discussions has he had with trade organisations in Northern Ireland about the trader support service? When does he anticipate the service actually providing services to SMEs?
ParlaMint-GB_2020-09-02-commons.u55	My right hon. Friend is absolutely right. We—not just myself, but ministerial colleagues—have had continual engagement with businesses. The Business Secretary and the Chancellor of the Duchy of Lancaster have both been in Northern Ireland engaging with businesses and representative organisations, as has my hon. Friend the Minister of State, Northern Ireland Office. We will continue to do that and we aim to have the scheme running in September.
ParlaMint-GB_2020-09-02-commons.u56	If he will hold discussions with the Northern Ireland Executive on implementing exemptions from covid-19 quarantine rules for international film and TV productions in Northern Ireland similar to those recently implemented in England.
ParlaMint-GB_2020-09-02-commons.u57	Self-isolation exemptions have been in place since 5 July for the whole of the United Kingdom for all international cast and crew working on qualifying TV and film productions. We have worked closely with the Northern Ireland Executive and the film and TV industry, which has been a major success in Northern Ireland and represents a significant part of its economy estimated to be worth £270 million a year. This has seen important projects such as “The Northman” and “Line of Duty” restart filming, bringing significant investment to Northern Ireland’s economy.
ParlaMint-GB_2020-09-02-commons.u58	Does my hon. Friend agree that the quarantine exemption arrangements could be the catalyst for reigniting the Northern Ireland film industry, where 49 locations were used for “Game of Thrones”, including Winterfell. Although the days of House Stark have passed, I hope that the exemption will allow for Northern Ireland to continue to be a beacon for the film industry across the world.
ParlaMint-GB_2020-09-02-commons.u59	My hon. Friend is absolutely right. As I said, over the summer we introduced the exemptions. We absolutely recognise what a crucial and important sector this is, and the benefits of its success can be seen across Northern Ireland, not least for the tourism industry. Local success stories such as “Game of Thrones” and “Derry Girls” benefit every part of Northern Ireland. Programmes such as “The Fall” have firmly established Northern Ireland as an ideal destination for film and TV projects. The restart of filming in significant projects shows that the industry can continue to achieve global success.
ParlaMint-GB_2020-09-02-commons.u60	What assessment he has made of the future of the aerospace sector in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u61	What discussions he has had with the Secretary of State for Business, Energy and Industrial Strategy on support for the aerospace sector in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u62	The Government recognise that this industry is key to Northern Ireland’s economic success, with the sector in Northern Ireland valued at over £1.8 billion. Like many sectors, aerospace has come under immense pressure during the pandemic. That is why we put unprecedented support in place through the job retention scheme and the Bank of England’s covid corporate financing facility. Last week, I met Bombardier at its Shorts site and Stratospheric Platforms to discuss the challenges and opportunities for developing the sector and how the UK Government can support their success.
ParlaMint-GB_2020-09-02-commons.u63	Ministers seem to be doing little more than shrugging their shoulders as the UK’s world-leading aerospace sector goes to the wall. When will they step in with sector-specific support?
ParlaMint-GB_2020-09-02-commons.u64	The UK Government have made available £2.1 billion to the UK aerospace sector through the covid corporate financing facility and additional flexibility for UK export finance, which is supporting £3.5 billion of sales in the next 18 months. I continue to work closely with my colleague the aerospace Minister, the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi). I am determined that we do support businesses in Northern Ireland, as across the UK.
ParlaMint-GB_2020-09-02-commons.u65	I trust that the Minister’s visit to Bombardier last week was successful. He knows how important aerospace is to the Northern Ireland economy, but he also knows that there is a cliff-edge coming in the job retention scheme and in the support for our aerospace sector in particular. He also knows that should redundancies continue and the situation gets worse, the skills will be lost and they will not come back. The time is coming. Talk is talk. We need to see action. We need to see a bespoke package of support for aerospace in Northern Ireland and across the United Kingdom.
ParlaMint-GB_2020-09-02-commons.u66	I absolutely sympathise with the point the hon. Gentleman is making, and the crucial importance of this sector and its skills to his constituency. The covid-19 outbreak has seen a severe impact on aviation and aerospace industries around the world. The UK Government have provided significant support to the sector, including the business interruption scheme and the job retention scheme. The Chancellor has confirmed that that commitment remains in place until October, but one of the things I discussed with Bombardier on my visit last week is the vital importance of maintaining that skills base. That is a point I will absolutely take to colleagues across government.
ParlaMint-GB_2020-09-02-commons.u67	What recent assessment he has made of the security situation in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u68	The threat from dissident republican terrorism continues to be severe in Northern Ireland. The Government’s first priority is to keep people safe and secure across the UK. Terrorism, paramilitary violence and criminality have no place in Northern Ireland. They must not hold us back from progress towards a peaceful and prosperous future. As I said earlier, thanks to the hard work and professionalism of the Police Service of Northern Ireland and its partners, 10 people have recently been arrested and charged with a range of terrorism offences under the Terrorism Act 2006. Those arrests are the biggest step in tackling violent dissident republicans in Northern Ireland in a generation, and I thank the PSNI for its work.
ParlaMint-GB_2020-09-02-commons.u69	What action have the Government taken to protect those who provided security in Northern Ireland, in both the police and military, from vexatious historical accusations?
ParlaMint-GB_2020-09-02-commons.u70	I thank my hon. Friend for her question. We as a Government are clear: we will put an end to vexatious claims against our brilliant armed forces. We are also determined to address the legacy of the troubles, as I set out in my written ministerial statement on 18 March, and we will deliver on that.
ParlaMint-GB_2020-09-02-commons.u71	Order. That is the end of Northern Ireland questions, so we now come to Prime Minister’s questions. As we await that, may I wish the Leader of the Opposition a happy birthday?
ParlaMint-GB_2020-09-02-commons.u72	  If he will list his official engagements for Wednesday 2 September.
ParlaMint-GB_2020-09-02-commons.u73	This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2020-09-02-commons.u74	Three weeks ago today, the community in my constituency of West Aberdeenshire and Kincardine, and indeed I think the entire country, was rocked by the events on the railway line just south of Stonehaven: the tragic events in which three men—Brett McCullough, Chris Stuchbury and Donald Dinnie—tragically lost their lives. I am sure my right hon. Friend and indeed the whole House will join me in sending our deepest condolences to the family and friends of those three men today, as well as our thanks and heartfelt gratitude to the incredible men and women of our emergency services and multiple agencies who worked in incredibly difficult conditions to help the survivors from that incident The interim report is on the desk of the Transport Secretary as we speak, and I know that the full report will take time to run its course, as is only right, but what assurances can my right hon. Friend give my constituents that the serious questions that they have will be answered, that any recommendations will be implemented and that the Government will do everything they can to prevent an accident like this from ever happening again?
ParlaMint-GB_2020-09-02-commons.u75	I thank my hon. Friend, and I know the whole House will want to join me in sending our condolences to the family and friends of Brett McCullough, Donald Dinnie and Christopher Stuchbury. I would like to join my hon. Friend in paying tribute to the extraordinary work of the emergency services and the public for the bravery that they showed. Britain’s railways are among the safest in Europe, partly because we take accidents like this so seriously, and therefore we must ensure that we learn the lessons of this tragic event to make sure that no such incident recurs in the future.
ParlaMint-GB_2020-09-02-commons.u76	Can I join the Prime Minister in those comments about the tragic events of just a few weeks ago? Can I also begin by paying tribute to John Hume, who passed away during recess? John was a beacon of light in the most troubled of times. He will be seriously missed Let me start today with the exams fiasco. On the day that thousands of young people had their A-level grades downgraded, the Prime Minister said, and I quote him: “The exam results…are robust, they’re good, they’re dependable” The Education Secretary said there would “absolutely” not be a U-turn; a few days later—a U-turn. We learned yesterday that the Education Secretary knew well in advance that there was a problem with the algorithm, so a straight answer to a straight question, please: when did the Prime Minister first know that there was a problem with the algorithm?
ParlaMint-GB_2020-09-02-commons.u77	Perhaps I could begin by congratulating the right hon. and learned Gentleman on his birthday? I say to him, on the exams and the stress that young people have been through over the summer, that both the Secretary of State for Education and I understand very well how difficult it has been for them and for their families, going through a pandemic at a time when we have not been able, because of that pandemic, in common with most other countries in the world, to stage normal examinations. As a result of what we learned about the tests—the results—that had come in, we did institute a change. We did act. The students, the pupils of this country now do have their grades, and I really ask the right hon. and learned Gentleman whether he will join me in congratulating those pupils on their hard work, and whether he agrees with me that they deserve the grades they have got.
ParlaMint-GB_2020-09-02-commons.u78	I have already expressed congratulations to all those students and I do so again, but I want to go back to my question, which the Prime Minister avoided. I know why he avoided it, because he either knew of the problem with the algorithm and did nothing, or he did not know when he should have. Let me ask again: when did the Prime Minister first know that there would be a problem with the algorithm?
ParlaMint-GB_2020-09-02-commons.u79	As the right hon. and learned Gentleman knows perfectly well, Ofqual made it absolutely clear time and again that in its view the system that was in place was robust. Ofqual is, as he knows, an independent organisation and credit had to be given to its views. All summer long, he has been going around undermining confidence and spreading doubts, in particular about the return to school in safe conditions—[Interruption.] It is absolutely true. And today is a great day because the parents, pupils and teachers in this country are overwhelmingly proving him wrong and proving the doubters wrong, because they are going back to school in record numbers, in spite of all the gloom and dubitation that he tried to spread. It would be a fine thing if, today, after three months of refusing to do so, as pupils go back to school, he finally said that school was safe to go back to. Come on!
ParlaMint-GB_2020-09-02-commons.u80	The Prime Minister is just tin-eared and making it up as he goes along. I am surprised—[Interruption.] The Education Secretary stood at that Dispatch Box yesterday and acknowledged that Labour’s first priority has been getting children back to school. That has been our first priority. I have said it numerous times at this Dispatch Box, and the Prime Minister knows it very well. He is just playing games The Prime Minister is fooling nobody. Even his own MPs have run out of patience. The vice-chair of the 1922 Committee, the hon. Member for Broxbourne (Sir Charles Walker), has said that the Government are “saying one thing on Monday, changing its mind on Tuesday, something different presented on Wednesday.” That sounds familiar doesn’t it? Another of his MPs, who wisely wants to remain anonymous, is perhaps in the Chamber today. He or she said—[Interruption.] I am speaking for you, because this is what was said by his own MPs. He or she said, “It’s mess after mess, U-turn after U-turn…It’s a fundamental issue of competence, God knows what is going on. There’s no grip.” His own MPs are right, aren’t they?
ParlaMint-GB_2020-09-02-commons.u81	This is a Leader of the Opposition who backed remaining in the EU and now is totally silent on the subject. Now he has performed a U-turn. He backed that, and perhaps he still does. This is a Leader of the Opposition who supported an IRA-condoning politician who wanted to get out of NATO and now says absolutely nothing about it. This is a Leader of the Opposition who sat on the Front Bench—
ParlaMint-GB_2020-09-02-commons.u82	Order. I think that questions are being asked, and we do need to try to answer the questions that have been put to the Prime Minister. It will be helpful to those who are watching to know the answers.
ParlaMint-GB_2020-09-02-commons.u83	I think it would be helpful to all those who are watching to know—
ParlaMint-GB_2020-09-02-commons.u84	Order. Prime Minister, I think I will make the decisions today. Come on!
ParlaMint-GB_2020-09-02-commons.u85	Mr Speaker, if I may say so, I think it would be helpful to all those who are watching to know that this Opposition, and this Leader of the Opposition, said absolutely nothing to oppose the method of examinations that was proposed and, indeed, they opposed the teacher accreditation system that we eventually came up with. Is he now saying that those grades are not right, or is this just Captain Hindsight leaping on a bandwagon and opposing a policy that he supported two weeks ago?
ParlaMint-GB_2020-09-02-commons.u86	The problem is that he is governing in hindsight, as well as making so many mistakes Mr Speaker, before I go on, the Prime Minister said something about the IRA, and I want him to take it back. I worked in Northern Ireland for five years with the Police Service of Northern Ireland, bringing peace. As Director of Public Prosecutions, I prosecuted serious terrorists for five years, working with the intelligence and security forces and with the police in Northern Ireland. I ask the Prime Minister to have the decency to withdraw that comment It is the same every time: pretend the problem does not exist, brush away scrutiny, make the wrong decision, then blame somebody else. This has got to change, because the next major decision for the Prime Minister is on the furlough scheme. The jobs of millions of people are at risk. The longer he delays, the more they are at risk, so will he act now, finally get this decision right and commit to extend the furlough scheme for those sectors and those workers that desperately need it?
ParlaMint-GB_2020-09-02-commons.u87	What we are doing in this Government is getting our pupils back to school, in spite of all the doubts that the right hon. and learned Gentleman has tried to sow, and we are getting people back to work. What he wants to do is extend the furlough scheme, on which this country has already spent £40 billion. What we would rather do is get people into work through our kick-start scheme, which we are launching today—£2 billion to spend to support people, young people in particular, to get the jobs that they need. He wants to keep people out of work in suspended animation. We want to move this country forward. That is the difference between him and us.
ParlaMint-GB_2020-09-02-commons.u88	There was a question about the allegation regarding Northern Ireland, and I was very concerned—that was the point I was making. I think that, in fairness, I am sure you would like to withdraw it.
ParlaMint-GB_2020-09-02-commons.u89	Mr Speaker, I am very happy to say that I listened to the protestations of the right hon. and learned Gentleman, and I think they would have been more in order, throughout the long years in which he supported a leader of the Labour party—
