ParlaMint-GB_2020-12-08-commons.u1	What steps his Department is taking to increase prison capacity.
ParlaMint-GB_2020-12-08-commons.u14	The terms of reference for the Government’s review of the Human Rights Act 1998, which were announced yesterday, include the relationship between domestic courts and the European convention on human rights. But of course human rights themselves, as opposed to the Act, are not a reserved matter, and Scotland’s courts play an important role in supervising human rights protections under the Scotland Act 1998. So can the Lord Chancellor give me a cast-iron guarantee that the British Government are not planning to interfere with the competence of the Scottish Parliament in respect of human rights and the jurisdiction of Scotland’s separate legal system in enforcing human rights protections?
ParlaMint-GB_2020-12-08-commons.u15	I am happy to assure the hon. and learned Lady that the terms of reference have been carefully couched to make it clear that we have distinctive contexts and natures in each of the jurisdictions, and that they will be considered where that is necessary. I am also content that where there are particular questions on devolved matters or of a devolved nature, the independent review will be approaching or inviting engagement from all appropriate parties. Of course, it is only the first stage in making recommendations. I can assure her that any proposals that will come forward will of course involve the fullest consultation with the devolved Administrations and, indeed, of course the fullest respect for the devolved settlement.
ParlaMint-GB_2020-12-08-commons.u16	Can I welcome the tone of my right hon. and learned Friend’s statement and his very clear commitment to supporting the independence of the judiciary? That is an absolute and fundamental principle of our constitution, and should never be undermined by anyone. Can I also welcome the terms of reference of the review, which are balanced and measured in relation to the Human Rights Act and, in particular, the quality of the panel that has been appointed? I happen to have known Sir Peter Gross throughout my professional career, and he is known as both a man and a judge of the highest independence and integrity, as are the other members of the panel. Perhaps my right hon. and learned Friend can reassure us that they will have a completely free hand to act as they think is appropriate within the terms of reference, without any pressure on their independence from any quarter.
ParlaMint-GB_2020-12-08-commons.u17	My hon. Friend the Chair of the Justice Committee is absolutely right to highlight the impeccable credentials of the chair, Sir Peter Gross, not only as a distinguished former Lord Justice of Appeal, but of course as the judge responsible for international relations: he understands very well the issue of judicial diplomacy, which is very much at the heart of this review. I am glad that the geographical representation also includes an academic from the Republic of Ireland, because it is my fundamental belief that we need to look at the position in all parts of our islands to respect not only the human rights settlement, but the Belfast agreement.
ParlaMint-GB_2020-12-08-commons.u18	The independent review of the Human Rights Act will have an enormous impact on the basic rights and freedoms that British citizens enjoy. The Government caused outrage by failing to publish submissions to the independent review of administrative law. Transparency and accountability are fundamental parts of our democracy. Will the Secretary of State guarantee that both the submissions to the human rights review and the review itself will be published in full?
ParlaMint-GB_2020-12-08-commons.u19	I think perhaps the right hon. Gentleman is to be forgiven for his descent into hyperbole when it comes to the ambit of this review. It is all about the mechanism, and comments about fundamental rights being affected are way wide of the mark. First, with regard to the process in the review, it is a matter for the review as to what precise submissions it publishes, but I can assure him that the outcome of the review and the Government’s position will of course be published in full, so that he will be able and others will be able to digest it and we will be able to debate the matter.
ParlaMint-GB_2020-12-08-commons.u20	What progress he has made on tackling backlogs in HM Courts and Tribunals Service.
ParlaMint-GB_2020-12-08-commons.u21	What progress he has made on tackling backlogs in HM Courts and Tribunals Service.
ParlaMint-GB_2020-12-08-commons.u22	What steps his Department is taking to reduce the backlog of court cases that has accumulated as a result of the covid-19 outbreak.
ParlaMint-GB_2020-12-08-commons.u23	Justice systems around the world have been profoundly affected by the coronavirus pandemic, but I am pleased that the court system in England and Wales has been among the world’s leaders in recovering from that pandemic. Magistrates court disposals are now exceeding receipts, and 260 Crown Court jury rooms are operating—more than we had before the pandemic. Substantial additional resources, both people and money, have been put into the system, to ensure that our recovery continues to be world-leading.
ParlaMint-GB_2020-12-08-commons.u24	The Lowry theatre in Salford is being used as a nightingale court, which I think is a good idea and model because it brings income to a venue that has been hit hard by the crisis. However, it is one of only 16 courts that were up and running by the end of November, and the chief executive of the Courts Service has said that we need 200 to clear the backlog. What number does the Minister think we now need to clear the backlog?
ParlaMint-GB_2020-12-08-commons.u25	As the hon. Gentleman says, 16 nightingale courts are up and running, and the Ministry of Justice has secured a total of just over £110 million in additional funding from the Treasury, to support not just those nightingale courts, but many others as well. We intend to open further nightingale courts in the future. I am glad that the hon. Gentleman welcomes the use of the Lowry theatre—we all do—and as I said, up to 260 Crown Court jury rooms are now open and operational, which is more than we had before the pandemic.
ParlaMint-GB_2020-12-08-commons.u26	The backlog for individual cases in employment tribunals has already passed the post-2008 financial crisis record, with 37,000 workers in the queue. Analysis by Citizens Advice suggests that if that continues to grow at the current rate, the number of outstanding claims could pass 500,000 by spring. When will the Minister take action at the scale necessary, and stop the Chancellor’s jobs crisis becoming a justice crisis, by targeting much needed support to employment tribunals?
ParlaMint-GB_2020-12-08-commons.u27	As I said, we are putting a great deal of extra resources into the justice system, including employment tribunals, to ensure that we recover from coronavirus. There is £110 million in total extra this year, and a further 1,600 staff of Her Majesty’s Courts and Tribunals Service across the entire system. The hon. Lady mentions employment tribunals, and I am pleased to report to the House that since the beginning of October, disposal rates in the employment tribunals have been running at 740 a week. That is higher than the level of disposals pre-pandemic, which was 718 a week. We hope and expect that that recovery will continue.
ParlaMint-GB_2020-12-08-commons.u28	There has been a welcome focus from the Department on domestic violence and sexual assault cases, including the landmark recent Domestic Abuse Bill. We know that a delay in bringing those types of cases to court can lead to a significant increase in attrition rates, and therefore convictions. Will Ministers focus particularly on bringing those types of cases to court quickly, and will they meet me and the Kent police and crime commissioner, Matthew Scott, to discuss what more we can do?
ParlaMint-GB_2020-12-08-commons.u29	My hon. Friend is right to draw attention to that important area, and it is certainly a matter that Ministers are mindful of and focused on. The judiciary decided early on in the pandemic to prioritise domestic violence protection orders, so that even when much of the court system had stopped functioning in the immediate aftermath of the first lockdown, DVPOs continued. As judges consider which cases to list, they are mindful of my hon. Friend’s point about protecting vulnerable witnesses and victims. In addition, we have committed £28 million extra to support domestic abuse services, and we have provided £800,000 to the finding legal options for women survivors project, which provides free legal support to victims—my hon. Friend the Member for Cheltenham (Alex Chalk) has been leading on that work. I would be delighted to meet my hon. Friend and the Kent police and crime commissioner, Matthew Scott, who is doing a fantastic job for the people of Kent, and I look forward to that meeting happening in the near future.
ParlaMint-GB_2020-12-08-commons.u30	I am sure there must be a link to the question there somewhere.
ParlaMint-GB_2020-12-08-commons.u31	The Lord Chancellor was keen to talk up his court successes in his statement on Thursday, yet the situation remains dire in many parts of his Department, according to answers to my written questions. The number of effective trials was down from 19,000 in 2010 to 12,000 last year, and that was before covid; expenditure on recorder sitting days has halved from £19 million to less than £10 million since 2018; and disposals in care proceedings within the legally required 26 weeks have collapsed to just 34%. This is about people’s lives, so will the Minister outline when victims, witnesses and families will get the court system they desperately need and justice will be properly served?
ParlaMint-GB_2020-12-08-commons.u32	The shadow Minister makes reference to a reduction of trial numbers last year. Of course, that is because crime is significantly down since 2010, when Labour left office. If there are fewer crimes being committed, there will be fewer trials in consequence; that is a symptom of success. The outstanding case load in 2019 was in fact at a 10-year low As I have said already, we are fully committed to making sure that the justice system recovers from the pandemic. That is why we have more Crown court jury trial rooms open now than we did before the pandemic, we are consulting on having extended operating hours to allow more cases to be heard, we have put £110 million of extra money in, we have recruited 1,600 extra staff—[Interruption.] It is working, as evidenced by the fact that there are more magistrates court trials now than there were before the pandemic and disposals are exceeding receipts. We will continue this work and make sure that the recovery in this jurisdiction continues to lead the world.
ParlaMint-GB_2020-12-08-commons.u33	What discussions he has had with Cabinet colleagues on bringing forward legislative proposals to strengthen sentencing to tackle homophobia in football.
ParlaMint-GB_2020-12-08-commons.u34	All hate crimes, including where motivated by homophobia, are unacceptable. The courts already have powers to treat hostility based on sexual orientation as a factor that aggravates the seriousness of an offence. However, hate crime laws in England and Wales are complex and are spread across different statutes. That is why the Government gave a commitment to carry out a comprehensive review of hate crime legislation. That review is currently under way.
ParlaMint-GB_2020-12-08-commons.u35	I am grateful to the Minister for his answer and in particular for the review being done by the Law Commission at the moment, which is looking specifically at the incidence of homophobic abuse in sports grounds. As the Minister will know, the Football (Offences) Act 1991 defines “racialist” abuse—that is the word it uses, which shows how old the Act is—but not homophobic abuse. Clearly, there is no space for abuse of any kind in a sports environment. In particular, match day stewards and officials seem unclear of their powers in these situations.
ParlaMint-GB_2020-12-08-commons.u36	I thank my hon. Friend for the work that he has done on this issue. It has been noted and appreciated. He is absolutely right; from memory, it is question 57 of the Law Commission’s review of this precise issue. I hope that that work progresses. The extraordinary thing about football is that so much of an advance has been seen in respect of racism, yet homophobia still seems to exist, although I have to say that there is much better work going on in the women’s game than the men’s. The men need to catch up.
ParlaMint-GB_2020-12-08-commons.u37	What steps the Government are taking to respond to covid-19 outbreaks in prisons.
ParlaMint-GB_2020-12-08-commons.u38	Throughout the pandemic, we have worked really closely with Public Health England to respond to any outbreaks in prison and to keep our staff and those in our custody safe. We are taking a number of measures, which include compartmentalisation—keeping separate the vulnerable, those who are symptomatic and those who are coming into prisons from outside—as well as increased testing and more use of personal protective equipment, including face masks, where it is appropriate.
ParlaMint-GB_2020-12-08-commons.u39	During these tough times of covid, health and safety is more important than ever. Will the Minister consider introducing a hotline for staff so that they can report health and safety breaches, particularly around the covid question but in other regards as well, given that prisons are a difficult place to work?
ParlaMint-GB_2020-12-08-commons.u40	I thank the hon. Lady very much for her suggestion. There are a number of hotlines available to staff. We work very closely with the unions on a local level, as well as a national level, but I am very happy to take away her suggestion to see whether it is necessary.
ParlaMint-GB_2020-12-08-commons.u41	What progress he has made on tackling racial disparity in the youth justice system since the publication of the Lammy review in September 2017.
ParlaMint-GB_2020-12-08-commons.u42	What progress he has made on tackling racial disparity in the youth justice system since the publication of the Lammy review in September 2017.
ParlaMint-GB_2020-12-08-commons.u43	What progress he has made on tackling racial disparity in the youth justice system since the publication of the Lammy review in September 2017.
ParlaMint-GB_2020-12-08-commons.u44	We have taken important action across the review recommendations. For the three recommendations specific to youth, we have promoted parental and community involvement in referral order panels and evaluated an update of the Youth Justice Board’s ethnic disproportionality toolkit. Beyond that, we have now ended automatic disclosure of youth cautions on criminal records. We have put equalities plans in all young offenders institutions and are piloting the Chance to Change alternative to charge, which was one of the recommendations of the review. However, there is no quick fix and more work will continue to be done.
ParlaMint-GB_2020-12-08-commons.u45	With fewer than half of the Lammy review’s recommendations having been enacted and with many others from many other reviews into deaths in custody still outstanding, what can the Secretary of State do to assure black, Asian and minority ethnic communities that the Government are not just dragging their feet on racial disparity in the justice system?
ParlaMint-GB_2020-12-08-commons.u46	I can assure the hon. Gentleman that that is far from the case. Indeed, 16 recommendations have been completed. There are two recommendations that we did not take up, but of the 17 that are still in progress, we aim to complete 11 within six to 12 months. I am being told that the further six will take slightly longer. That is not good enough for me and I will be going back to my officials to make sure we make earlier progress. I can assure him that, as overall numbers go down in the youth estate, what concerns me is that we are still seeing a disproportionate number of BAME children being held in custody, even though the overall numbers are now dramatically fewer. There is clearly more work to be done on that front.
ParlaMint-GB_2020-12-08-commons.u47	The Lammy review was published in 2017 and it said that racial inequality and unfairness runs rife throughout our country’s justice system. At that time, zero Supreme Court judges were black. That number is still zero. In fact, not a single Supreme Court judge is from a black, Asian and minority ethnic background. Why does the Secretary of State think that is and what are his Government doing to change it?
ParlaMint-GB_2020-12-08-commons.u48	Like the hon. Lady, I want to see far more people from a diverse and BAME background in the senior judiciary. The truth is that the senior judiciary is often a product of the supply into the legal professions some 20 or more years ago, when we know things were not as promising when it comes to diversity as they are now at the Bar, in solicitors’ practices, or for legal executives and Government lawyers, for example. However, we cannot use that as an excuse, which is why I am working hard with the senior judiciary and the chair of the Judicial Appointments Commission, as part of the Judicial Diversity Forum. We are meeting again this week and in my convening role I am pushing all sides, the Bar Council and the Law Society, to come up with more plans and more engagement, so we can help and support BAME candidates ahead of any application processes to level that playing field.
ParlaMint-GB_2020-12-08-commons.u49	In a 2020 update on progress against the Lammy review, the Secretary of State said: “It is crucial, if everyone is to have confidence in our system, that the people working in it reflect the diversity of Britain today.” Yet in written answers to my hon. Friend the Member for Hove (Peter Kyle), the Ministry of Justice confirms that there are zero BAME staff working for the Youth Justice Board outside London. What is the Secretary of State going to do to make sure the system reflects the communities those people are serving?
ParlaMint-GB_2020-12-08-commons.u50	I am grateful to the hon. Gentleman. I know the new chair of the Youth Justice Board, Keith Fraser, will be particularly concerned about that figure. I reassure the hon. Gentleman that in many other areas we are seeing BAME representation higher than the national average. For example, there is an extremely encouraging figure for the probation service. I will look at that particular issue and discuss it with the chair of the YJB, because clearly he feels strongly about BAME issues and he will want to take appropriate action to see what we can do to improve that.
ParlaMint-GB_2020-12-08-commons.u51	In 2016, 22% of kids sentenced were black and minority ethnic. Now, it is 27%. Some 41% of youth prisoners were black and minority ethnic. Now, it is over half. The proportion of black and minority ethnic young people subject to the use of force in youth prisons has gone up from 41% to 48% since the Lammy review. This Government have been in power for 10 years. It has been two years since the Lammy review. It is not that not enough progress has been made; things are going backwards. Why should anybody have faith that this lot can sort it out?
ParlaMint-GB_2020-12-08-commons.u52	With respect to the hon. Gentleman, he is just wrong about that—totally wrong. In the last 10 years, there has been a fall of 83% in the number of children receiving a caution or a sentence, and last year there was a fall of 19%. That means in actual numbers of lives and families, the number of children and BAME children affected is reducing. I accept the point about disproportionality—I acknowledged it earlier—but it is a calumny to say that the Government are inactive or uninterested in the issue. We have made incredible progress in 10 years. The child population in our young offender institutions or other institutions is now down to about 500. That is a generational low, and he should pay tribute to the Government for presiding over such dramatic change.
ParlaMint-GB_2020-12-08-commons.u53	What steps his Department is taking to improve access to child trust funds for parents of young adults with learning disabilities.
ParlaMint-GB_2020-12-08-commons.u54	As a young person turns 18, the contents of their child trust fund belong to them and them alone, whether or not they have a learning disability, which is an important point of principle, but for those loving parents who, for good reason, want legal authority to access those funds, we want to make the process more cost-effective and more straightforward. As a result, fees can now be waived in appropriate cases and we have set up a working group to work quickly alongside the judiciary to review the process, with a view to streamlining it while maintaining vital safeguards.
ParlaMint-GB_2020-12-08-commons.u55	I thank the Minister for that answer, the work that he is doing on this issue and the letter he wrote to me this week about my constituents who are affected. As he knows, around 200,000 disabled children could be affected by this in the coming eight years, unable to access their Government-backed child trust fund, so I urge him to continue the good work that he is doing and to really make sure that applications to the Court of Protection are the least onerous possible for the parents of these disabled children.
ParlaMint-GB_2020-12-08-commons.u56	I thank my right hon. Friend for raising that issue on behalf of his constituents. He makes an incredibly important point. We have a duty to make sure that the rights of those individuals are maintained, but it is also important that, when there are loving parents and all they want to achieve is the best for their children, they are able to access that money in the interests of their children with the minimum of fuss, the minimum of bother and, frankly, the minimum of expense.
ParlaMint-GB_2020-12-08-commons.u57	What progress he has made on implementing the female offender strategy.
ParlaMint-GB_2020-12-08-commons.u58	What progress he has made on implementing the female offender strategy.
ParlaMint-GB_2020-12-08-commons.u59	The female offender strategy launched an ambitious programme to improve outcomes for female offenders and make society safer by tackling the causes of offending. It will take several years to deliver, but, two years on, we are making good progress. We have invested over £5 million in 30 women’s services across England and Wales, and we are in the process of allocating a further £2.5 million to increase the financial stability of those providing these important services.
ParlaMint-GB_2020-12-08-commons.u60	Under the Bail Act 1976, the courts can remand an adult to prison for their own “protection” or a child for their own “welfare”. This even happens when the criminal charge cannot result in a conviction. We are restricting a person’s liberty—usually someone with complex mental health needs, and often women—because of the failure to provide the appropriate treatment, care or support in the community. Will the Minister support the repeal of this outdated, offensive and draconian power, which is contrary not only to human rights, but to human decency?
ParlaMint-GB_2020-12-08-commons.u61	The hon. Member will know that we are looking at the Mental Health Act 1983 provisions and reviewing them. We never think that it should be appropriate to use prison as a place of safety. Combined with that, we recognise the need to tackle mental health issues in all those who come through the justice system, particularly women, because women have a high incidence of mental health needs. We will be looking carefully at how we can commit further funds to ensure that women and men get the services they need to help to turn their lives around.
ParlaMint-GB_2020-12-08-commons.u62	We know that the majority of women sentenced for non-violent crimes are given short prison sentences, which are totally ineffective in rehabilitation but can split up families, put children into care and lead to eviction from the home—all things that we should not want to happen. Women’s centres are successful, as we know in Greater Manchester. They are cost-effective, but also much better in human terms and better for society. Can the Minister guarantee that we will enhance the investment in those centres and get women who should not be in prison out of prison and into the kind of care that makes a difference to them and to society?
ParlaMint-GB_2020-12-08-commons.u63	The hon. Member makes a very important point: we need to ensure that we support women not only in custody, but outside it. He will have heard me mention that we are in the midst of a £2.5 million funding exercise, in which some of the money will go to community centres. However, we are doing other things as well, such as improving pre-sentence reports to ensure that women get the right order and go into the community, not into custody, where that is appropriate. He will also have heard me announce recently our first residential women’s centre, which will be in Wales and which we are progressing with. It is for those women who are on the cusp of custody, but whom we do not want to put in custody where we can avoid that, so that they can instead be ordered by the court to go into a residential women’s centre, which will better look after their needs.
ParlaMint-GB_2020-12-08-commons.u64	The female offenders strategy published in 2018 by the then Justice Secretary and Prime Minister got it right. One woman in every three in prison self-harms. They are twice as likely as men to have mental health needs and more likely to have drug problems. According to those Ministers, short-term prison sentences “do more harm than good”, but last year, half of all women’s sentences were of less than three months, and the plan is to increase the women’s population by 40%. Why have these Ministers so quickly abandoned the promises made by their predecessors?
ParlaMint-GB_2020-12-08-commons.u65	I refute the claim that we are changing our policy in any way. As the police are funded to search out and investigate further crime with our 20,000 additional officers on the beat, it is inevitable that some further women will go to prison as a result, and it is our obligation to ensure that there is a safe place for them to go. We, too, are concerned about women coming through short sentences, but the judiciary makes those independent decisions on short sentences, and we are ensuring that when people do come through on short sentences, they will have specific probation officers looking after them in the new, reformed probation system to ensure that those women, and men, get the support that they need.
ParlaMint-GB_2020-12-08-commons.u66	What assessment his Department has made of the potential merits of criminalising the desecration of a corpse.
ParlaMint-GB_2020-12-08-commons.u67	The bodies of those who have died should be treated with dignity and respect. Where that does not happen, the criminal law can intervene and there are a number of offences that may apply: preventing the lawful burial of a body, outraging public decency, perverting the course of justice, removing human tissue without consent and so on. We will of course keep the law under review.
ParlaMint-GB_2020-12-08-commons.u68	I thank the Minister for that reply. I am supporting the campaign of the mother of Helen McCourt, whom we know in this place for successfully campaigning on Helen’s law, but who is equally determined, while understanding the points the Minister has made, to see further reform so that the criminal justice system adequately reflects how we would feel if one of our loved ones was desecrated after death. Will he agree to meet me and discuss with Helen McCourt’s mother further steps we might be able to take?
ParlaMint-GB_2020-12-08-commons.u69	I am grateful to my hon. Friend for raising that excellent point and for paying tribute to Mrs McCourt, whose brave campaign has led to Helen’s law, as he rightly indicates, getting on to the statute book, having recently received Royal Assent, in large part because of her campaigning activity. We keep the matter under review, and I would be delighted to meet him, as he suggests.
ParlaMint-GB_2020-12-08-commons.u70	What steps his Department is taking to tackle drug use in prisons.
ParlaMint-GB_2020-12-08-commons.u71	What steps his Department is taking to reduce drug dependency in prisons.
ParlaMint-GB_2020-12-08-commons.u72	Justice colleagues work closely with our Health partners, and since April 2018 a national partnership agreement on prison healthcare in England has been in place. Tackling drugs is a priority within that agreement. In April last year, we published the national prison drug strategy, which focuses on three strands: tackling drugs in prison by restricting supply, reducing demand and helping to ensure that we turn people’s lives around by building recovery from drugs and substance misuse.
ParlaMint-GB_2020-12-08-commons.u73	I know that the Lord Chancellor and his Department have previously made known their support for the Prisons (Substance Testing) Bill, led by my right hon. Friend the Member for Chesham and Amersham (Dame Cheryl Gillan). Given that the Bill would make such a difference in this area, will my hon. and learned Friend reaffirm that support today and give an indication of the timescale according to which we might expect the legislation to appear?
ParlaMint-GB_2020-12-08-commons.u74	I am so glad that my hon. Friend has raised this question, because we wholly support the Bill introduced by my right hon. Friend the Member for Chesham and Amersham (Dame Cheryl Gillan). It is going to help us to tackle illicit substance misuse and help people to get their lives back on track by identifying who is taking drugs and how we can better support them. I am pleased to note that the Bill is scheduled for consideration on Report and Third Reading on 22 January, and, should it receive Royal Assent, we will be implementing the provisions at the earliest opportunity.
ParlaMint-GB_2020-12-08-commons.u75	As the Minister will be aware, it is equally as important to ensure that there is proper rehabilitation and support on substance dependency when people are released from prison. That is equally important in ensuring that we break the cycle of reoffending, but, far too often, arrangements are not in place adequately to support people once they are released. What can she do to reassure me that the Government are taking this issue seriously and will put in place better arrangements to support substance misusers with dependency issues once they are released from prison?
ParlaMint-GB_2020-12-08-commons.u76	My hon. Friend raises a really important question. We are doing a number of things, and I shall highlight two of them. First, as I mentioned, in relation to our probation services, we are getting that help to people earlier, so that a probation officer will be working with a prisoner on his or her release at an earlier stage, so as to help them to get that support organised in the community. The second thing that we are doing, working closely with NHS England, is rolling out our Reconnect service. That service links up the healthcare in the prison with the healthcare in the community, which are not always aligned. The Reconnect service is being rolled out across the country.
ParlaMint-GB_2020-12-08-commons.u77	What plans he has to reform the sentencing regime for 17-year-olds.
ParlaMint-GB_2020-12-08-commons.u78	I thank my hon. Friend for his correspondence regarding the reforms in the sentencing White Paper. All offenders, including 17-year-olds, who commit the most serious offences and who pose a risk to the public should serve time in custody that reflects the seriousness of their offending. To reduce the gap between the sentencing of older children and younger adults for murder, we plan to replace the blanket starting point of 12 years for murder committed by a child with a sliding scale to reflect age and the severity of the offence.
ParlaMint-GB_2020-12-08-commons.u79	Young Ellie Gould was brutally murdered in her own home in Calne in my constituency last year. Her assailant, Thomas Griffiths, was given a sentence of 12 and a half years because he was 17. The sentence was further ameliorated by the fact that he did not bring the weapon to the murder scene, but picked up a kitchen knife at the scene. He was 18 when he was convicted and given 12 and a half years. I very much welcome the fact that the Minister is considering this matter. Does she not agree that 12 and a half years for a crime of that sort committed by a boy aged 17 years and eight months is woefully inadequate? He should have got the 15 to 25 years he would have got had he been an adult.
ParlaMint-GB_2020-12-08-commons.u80	I cannot begin to imagine what Ellie Gould’s parents must have been through. In addition to the point that I made about introducing a sliding scale to reflect age and severity, I want to make it clear that we are considering a particular minimum threshold for those who are 17. My hon. Friend mentioned the knife already being present at the scene of crime, in the home. He will know that the Sentencing Council has produced guidelines for judges on domestic abuse, which outline that the domestic setting of the offending behaviour makes it more serious. As he knows, these are matters that we are looking at in our sentencing White Paper.
ParlaMint-GB_2020-12-08-commons.u81	What steps the Government are taking to increase the use of community sentence treatment requirements.
ParlaMint-GB_2020-12-08-commons.u82	My hon. Friend is right to raise community sentence treatment requirements as an important area to push, expand and develop. The Government firmly believe that, where someone has mental health problems, or drug or alcohol addiction causing the offending behaviour, treating the causes of the offending is very often a much better sentence than a short custodial term in terms of rehabilitation and reducing reoffending. So we certainly intend to expand the roll-out of these. They operate already in 14 areas and we intend to make sure that half the country is covered for mental health treatment through CSTRs by 2023-24. We are looking at other ways in which we can speed up the roll-out even further.
ParlaMint-GB_2020-12-08-commons.u83	The new probation system is set to be in place in the next few months, with unpaid work and key programmes to stop criminals reoffending to be delivered by Her Majesty’s Prison and Probation Service from next June. Seetec has recently been awarded a Ministry of Justice contract for a co-financing organisation activity hub in the south-east region, to deliver support to help offenders reintegrate back into society. The hub will be based in Chatham, with a satellite provision in my constituency at St Leonards-on-Sea. Can my hon. Friend confirm that there is still a role for the private sector in offender rehabilitation, even if not by community rehabilitation companies?
ParlaMint-GB_2020-12-08-commons.u84	My hon. Friend asks a good question. CRCs are being transitioned out and the probation service will take over organising this activity, but within that there will be opportunities for private sector, or indeed charitable sector, organisations to bid to provide certain kinds of activity and certain kinds of rehabilitation work via the dynamic framework. We envisage eventually spending about £100 million a year on procuring these services via the dynamic framework. Any organisation, such as the one she mentions, that has something to offer and can help with rehabilitation is, of course, strongly encouraged to bid for those services to make sure we are drawing on the full range of available services as we try to rehabilitate offenders and build a better life for their future and protect our constituents as well.
ParlaMint-GB_2020-12-08-commons.u85	We are not going to Greater Manchester, as we have him here—welcome, Andrew Gwynne.
ParlaMint-GB_2020-12-08-commons.u86	If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2020-12-08-commons.u87	Justice is a vital public service and a cornerstone of our success as a society, which is why the Chancellor of the Exchequer announced huge investment in the system as part of his recent spending review. Part of that money will go towards the recovery and restoration of justice from the effects of covid-19, notably in the Crown courts, and to support victims as they make their difficult journeys through the system, including the family courts and tribunals. The spending review announced £105 million for the maintenance of courts and tribunals, and there was also £4 billion to build back better in the prison estate, with 18,000 additional places in the pipeline plan for the mid-2020s, helping us to deliver modern, green prisons that can be launching pads for rehabilitation. We are moving at pace with the first of our new prisons, HMP Five Wells, which is opening in 2022, while continuously increasing resources for the maintenance of our existing prison estate. This investment continues to deliver on the Government’s crime agenda, keeping the public safe, delivering a green revolution and bringing our prisons into the 21st century.
