ParlaMint-GB_2020-06-03-commons.u1	2. What assessment he has made of the role of the Union during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u21	The point the hon. Gentleman makes is interesting, because of course a number of the companies to which he refers are UK-wide companies. It is a UK-wide issue that we are looking at, and it will require co-operation between the UK Government and the Welsh Government in the areas that are devolved and the areas that are clearly reserved. Currently, that co-operation and collaboration has been, by and large—probably eight times out of 10—as positive as the hon. Gentleman would hope, and as businesses and individuals would hope. We will of course continue that collaboration. We are now into the recovery period, hopefully—touch wood—and that will clearly test that collaboration, but at the moment I have confidence that it can work.
ParlaMint-GB_2020-06-03-commons.u22	A few days ago, Wales finally joined the UK portal for covid test applications—some five weeks following its launch. Perhaps because of such delays, north Wales remains an outlier in new case numbers. Will my right hon. Friend join me in calling on the Welsh Government to get a grip on controlling outbreaks, mostly relating to care homes and hospitals?
ParlaMint-GB_2020-06-03-commons.u23	My hon Friend clearly has considerable and detailed knowledge of this pandemic and the problems in his area. I hope he will be relieved to hear that I have a call this afternoon with the First Minister to discuss, among other things, exactly the point my hon. Friend raises, because the statistics show that north Wales is currently an uncomfortable outlier compared with what is going on throughout the rest of the UK and particularly Wales.
ParlaMint-GB_2020-06-03-commons.u24	As the Secretary of State knows, the Welsh Labour Government have given an extra £2 billion to support businesses that are affected by the pandemic—the most generous package anywhere in the UK—and, crucially, they are not giving a penny of that public money to companies that are based in tax havens, thus doing right by the taxpayer and right by the companies that do pay their fair share. Will the Secretary of State commit to persuading the Chancellor to do the same thing?
ParlaMint-GB_2020-06-03-commons.u25	I feel I ought to point out that the £2.2 billion to which the hon. Lady refers is in fact money that has been provided courtesy of the Barnett formula because Wales is a member of the Union. Not only that, but on top of that £2.2 billion is probably a similar amount of money, taking it up to between £4 billion and £5 billion of support that UK Government intervention has provided to businesses, individuals and taxpayers in Wales. In case I have not mentioned it before, I should say that I did have a conversation on this very point with Ken Skates, the Minister in the Welsh Government. He explained to me the logic behind what they were trying to do but also pointed out that it relates to a tiny proportion of the companies under consideration. As a general rule, the idea that he and the hon. Lady have come up with sounds good and looks good, but in fact it refers to very few businesses that are actually situated in Wales.
ParlaMint-GB_2020-06-03-commons.u26	Well, indeed, Mr Speaker, I think the Secretary of State makes the point very clearly that a UK-wide attack would have a lot more effect. But anyway, looking beyond the current covid challenge, Welsh businesses, farmers and universities all deserve to know now what funding will be in place in January when the structural funds come to an end. With barely seven months to go, when will the Government publish the detail of the shared prosperity fund so that people in Wales can prepare?
ParlaMint-GB_2020-06-03-commons.u27	The hon. Lady will be aware that, if the shared prosperity fund was an important future issue for the economic prosperity of Wales before, it is even more so now. I think that we all acknowledge that. There are regular discussions with Jeremy Miles in the Welsh Government and relevant Ministers in the UK Government to prepare for that. As she knows, Government policy is very clear on this. The project is on time and on schedule, and more details will be shared with her colleagues in Cardiff as and when the relevant decisions are made. At the moment, though, there is no change to Government policy in this regard.
ParlaMint-GB_2020-06-03-commons.u28	5. What assessment he has made of the effectiveness of intergovernmental relations between the Government and (a) the Welsh Government and (b) other devolved Administrations in responding to the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u29	13. What assessment he has made of the effectiveness of intergovernmental relations between the Government and (a) the Welsh Government and (b) other devolved Administrations in responding to the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u30	We have worked hand in hand with the devolved Administrations since the start of the outbreak, including through the Cobra ministerial committees and the ministerial implementation groups. We have noted 112 engagements in total since 23 March and the number continues to rise.
ParlaMint-GB_2020-06-03-commons.u31	I want to associate myself with the point made by the right hon. Member for Preseli Pembrokeshire (Stephen Crabb) because there is a danger that the wind-down of the furlough scheme will have an impact on the hospitality and tourism sector in Wales. Given that that is a policy that will be directed from London, does it not make the case for the devolution of fiscal powers, so that the Welsh Government can continue to support businesses for so long as is necessary?
ParlaMint-GB_2020-06-03-commons.u32	The UK Government have already made it very clear that they are supporting Welsh businesses. We have had the coronavirus business interruption loan scheme, the large business scheme, the furlough scheme, the self-employed scheme and there are other schemes as well. We have shown, at all times, the flexibility and the commitment to support industry, including the tourism industry, and I welcome the interactions that I have had with members of the Scottish Government, as well as with the Welsh Government.
ParlaMint-GB_2020-06-03-commons.u33	From the outset of this pandemic, the UK Government said that they would take a four-nation approach, which surely requires transparency over how decisions are made. But two unilateral decisions have been made in the past week without consulting or forewarning the Welsh Government: first on shielding advice; and secondly, on university numbers, which affects Glasgow Central, as it does Wales. So how can the UK Government claim to be respecting that four-nation approach? Is it not less hand in hand than thumbing a nose?
ParlaMint-GB_2020-06-03-commons.u34	I am reliably informed that, in actual fact, there has been a great deal of consultation with the Welsh Government on university numbers and, of course, shielding is a devolved matter and the hon. Lady surely would not expect us to trample all over the devolution settlement. But it is important to say that the people of the United Kingdom—Wales, Scotland, Northern Ireland and England—expect politicians to put aside political grandstanding at the time of this crisis and work together, and the UK Government are committed to doing that.
ParlaMint-GB_2020-06-03-commons.u35	Office for National Statistics figures show that the number of people claiming jobseeker’s allowance and universal credit in Dwyfor Meirionnydd has increased by 124% since the start of lockdown. This is the biggest increase in any Welsh constituency. A pattern is appearing across Wales and the UK, with regions heavily dependent on tourism and hospitality seeing a desperate increase in unemployment. We will see a corresponding increase in rural poverty if these businesses are left defenceless and facing a three-winter scenario. Will the Minister commit today to working with the Welsh Government to create a tailored long-term package to guarantee the long-term future of the Welsh tourism and hospitality sector?
ParlaMint-GB_2020-06-03-commons.u36	I thank the right hon. Lady for the question. It is quite obvious that the lockdown will have a huge impact on our economy and it will increase unemployment figures. That is why the UK Government are committed to coming out of lockdown as quickly as it is safe to do so, and I hope that the Welsh Government and members of Plaid Cymru will also support that. I said earlier on that we look forward to rolling out a red and green carpet for visitors from across the United Kingdom, and we want to make absolutely certain that we do not see signs going up in parts of rural Wales saying, “English people are not welcome here”. We welcome tourists from all parts of the United Kingdom and beyond to see what Wales has to offer. I hope the right hon. Lady will talk to members of local authorities across north Wales to emphasise that message.
ParlaMint-GB_2020-06-03-commons.u37	I think some more specific support would have been more useful than political points. The Minister says that both Governments will work together, but we know that this week’s student number controls announcement in response to the covid-19 pandemic was brought out without any consultation whatsoever with the Welsh Government. Given his role in the Government and his role representing Wales, what is he doing to protect the interests of the Welsh higher education sector from such potentially damaging effects and decisions made by his Government?
ParlaMint-GB_2020-06-03-commons.u38	I discussed this very issue with my officials this morning. I am assured that there was consultation between the Wales and the UK Government and that this is a UK-wide scheme that is being put in place to protect universities and to stop people poaching students from each other across the United Kingdom. I can only say once again that the UK Government are completely committed to consultation with Welsh Government. We have made it clear that Welsh Government Ministers are welcome at Cobra meetings and the ministerial implementation groups, and we have actually asked if we could attend Welsh Government meetings in the same way; thus far we have not had a response. If the right hon. Lady can put pressure on her friends in the Assembly to allow UK Welsh Government Ministers to attend Welsh Government meetings, we would be happy to do so.
ParlaMint-GB_2020-06-03-commons.u39	The First Minister and members of the Welsh Government have been closely involved in all aspects of the UK Government’s coronavirus response, but despite this the First Minister has been continually critical of the UK Government. Can my hon. Friend put these criticisms to bed and outline just how engaged the UK Government have been with the Welsh Government?
ParlaMint-GB_2020-06-03-commons.u40	As I have already mentioned, we have had 130 meetings at which Welsh Government Ministers have been present, and we very much hope that the Welsh Government will take a similar view of the importance of having UK Government representation at their meetings. We look forward to invitations coming to me and my right hon. Friend the Secretary of State for Wales from the Welsh Government shortly.
ParlaMint-GB_2020-06-03-commons.u41	I thank the Secretary of State and the Minister for their mature approach to the Welsh Government and for engaging on so many levels. My hon. Friend was right to outline tourism as important to Wales. As we come out of the lockdown, the language and the relationship between the two Governments working together is key for my constituents and the tourist industry. Will he meet me and push the Welsh Government to work together on coming out of lockdown?
ParlaMint-GB_2020-06-03-commons.u42	I would be delighted to meet my hon. Friend to talk about how we can support tourism after the crisis is over. We will be meeting with many other representatives of industry groups, including the automotive, defence and aerospace sectors, to discuss how we can support them as well.
ParlaMint-GB_2020-06-03-commons.u43	Transport is an important area of intergovernmental relations between the Welsh and Westminster Governments. Would the Minister agree that both Governments’ transport investment plans are of even greater importance as we come out of the crisis, and would he meet me to discuss the need in Clwyd South for projects such as step-free access at Ruabon station?
ParlaMint-GB_2020-06-03-commons.u44	I would be delighted to discuss step-free access at Ruabon station with my hon. Friend, and I hope that I will be able to give him news of much greater rail and road infrastructure projects that will be on offer to Wales once the crisis is over.
ParlaMint-GB_2020-06-03-commons.u45	6. What discussions he has had with the Welsh Government on the deployment of military personnel to Wales in response to the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u46	I regularly discuss with the Welsh Government the vital role of the UK’s armed forces in supporting Wales in its fight against covid-19. Whether it is getting personal protective equipment to those who need it, establishing testing sites or driving and decontaminating ambulances, the response of our servicemen and women is testament to how strong we are as members of the United Kingdom.
ParlaMint-GB_2020-06-03-commons.u47	I thank the Secretary of State for that answer. Our armed forces have been active in all corners of the United Kingdom during this crisis. We see this particularly clearly in my own constituency, where the Royal Air Force’s transport fleet is based. Would the Secretary of State agree that in the dedication and reach of our armed forces we see the perfect illustration of what our family of nations, this Union, can achieve?
ParlaMint-GB_2020-06-03-commons.u48	My hon. Friend makes a really good point really well. There are so many examples of where this is the case. In Wales alone, the armed forces have done one fifth of our ambulance shifts and decontaminated more than 2,000 ambulances, without seeking praise, reward or recognition; it is just part of what the armed forces do, and they do it in a fantastically clear, brave and professional manner. The idea that that service could be provided in a broken-up United Kingdom is a complete fantasy. I wish that some of the separatist noises we occasionally hear in the Chamber would recognise that.
ParlaMint-GB_2020-06-03-commons.u49	There can be no doubt about the importance of the military in terms of supporting the people of Wales during the pandemic, so can I press the Secretary of State to do all he can, in his discussions with the Secretary of State for Defence, to ensure that the base in Brecon is kept in Wales?
ParlaMint-GB_2020-06-03-commons.u50	Indeed, the military footprint, as it is called, is incredibly important for lots of reasons, economic reasons being high amongst them. I have regular conversations with the various brigadiers and individuals based in Brecon and elsewhere across Wales, and they are as enthusiastic about the hon. Gentleman’s comments as I am. It is a shared ambition to ensure that we deliver on our military footprint.
ParlaMint-GB_2020-06-03-commons.u51	7. What comparative assessment he has made of the effect of covid-19 lockdown policies in Wales and England on their respective economies.
ParlaMint-GB_2020-06-03-commons.u52	There is no doubt that covid will have an enormous and detrimental impact on the Welsh economy. The Government are doing everything they can to support business and individuals through the pandemic and to ensure that the economy recovers as quickly as possible. I am confident that our policies are the right ones to defeat this virus and to save jobs in Wales.
ParlaMint-GB_2020-06-03-commons.u53	I thank the Minister for that response. Although our efforts are rightly focused on tackling the coronavirus pandemic, we also need to continue building on our cross-border economic activity; that is now more important than ever. What initiatives has the Department put in place to strengthen the economic links between Wales and the north-west of England?
ParlaMint-GB_2020-06-03-commons.u54	It is heartening that the Welsh Government have adopted a number of UK-wide programmes, such as the UK-wide coronavirus testing portal. A UK-wide, Union approach is key as we move to the next phase, and it is disappointing that sometimes the Welsh Government have taken a little time to come on board with UK-wide schemes. On testing, England has tested around two and a half times per head more people than Wales. I look forward to closer co-operation in future.
ParlaMint-GB_2020-06-03-commons.u55	I am thinking in particular, as we move into the next phase of the covid-19 crisis, about the steel industry, especially in south Wales. Of course we know how vital it is for jobs and livelihoods across the UK, but especially in Newport West, in places such as Island Steel. What discussions has the Secretary of State had with his Cabinet colleagues about the steps that the UK Government plan to take to protect the UK steel industry?
ParlaMint-GB_2020-06-03-commons.u56	The hon. Lady makes a very important point; the steel industry is vital to the UK and to Wales, and the Secretary of State and I have had discussions with the sector. We have, as she is aware, already put in place a range of schemes, which companies such as Tata and Celsa are taking advantage of—the coronavirus large business interruption loan scheme, the VAT deferral, the covid corporate financing facility and so on—but we will be very happy to have further discussions about specific proposals that could help that industry.
ParlaMint-GB_2020-06-03-commons.u57	This week is National Volunteer Week. Will the Secretary of State join me in thanking the hidden heroes in my constituency of Ynys Môn and all across Wales—five-year-old Alfie Pritchard making rainbows, Stayce Wheeler sewing? Can we please thank those people, who are working so hard to protect the vulnerable at this exceptional time?
ParlaMint-GB_2020-06-03-commons.u58	I absolutely support the hidden heroes—and the not-so-hidden heroes. I have been delighted to take part in the clapping every Thursday for the NHS and for all members of the emergency services.
ParlaMint-GB_2020-06-03-commons.u59	9. What recent discussions he has had with representatives of industry in North Wales.
ParlaMint-GB_2020-06-03-commons.u60	I have had regular discussions with businesses from north Wales, including a recent webinar with the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi), and the Welsh Government Minister responsible for the economy and transport. Earlier this week I had a wide-ranging and useful meeting with the North Wales Economic Ambition Board.
ParlaMint-GB_2020-06-03-commons.u61	I thank the Minister for his reply. Obviously, what happens in north Wales matters to people in the Wirral. The Welsh Government take a social partnership approach, involving employers and trade unions in the situation that we face. So in all those meetings that the Minister has just described, can he tell me—does he take that same social partnership approach?
ParlaMint-GB_2020-06-03-commons.u62	I am very pleased to say that I do, and it may surprise the hon. Lady—I was cut short earlier—that one of the very useful meetings that I had was with the trade union representatives from across Wales, and I was delighted with their very constructive approach. They are as keen as we are to see Welsh businesses up and running as quickly as possible.
ParlaMint-GB_2020-06-03-commons.u63	10. What recent discussions he has had with the Chancellor of the Exchequer on financial support for people in Wales affected by the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u64	I have had regular discussions with my right hon. Friend the Chancellor of the Exchequer to ensure that the right financial support is available to people in Wales, and across the United Kingdom, to help people through the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u65	The UK Government want to tax the one-off thank you payment that the Welsh Government are going to make to carers in Wales. As the Secretary of State goes out and claps on a Thursday evening, he should ask himself—or maybe explain to the people of Wales, especially if he refuses to stand up for the people of Wales, allowing his Tory Government to short-change the Welsh carers who have looked after our most vulnerable—what is the point of his role?
ParlaMint-GB_2020-06-03-commons.u66	If there had been a little bit of earlier consultation, we might have been able to advise the Welsh Government on how that problem could have been overcome. We have made some suggestions to them about how that gift to care workers is properly made, without the need for primary legislation, which is where we are at the current time. I also urge the hon. Lady, if she is concerned about the matter, to make sure that everybody in the care sector receives a similar act of generosity from the Welsh Government.
ParlaMint-GB_2020-06-03-commons.u67	We have now come to an end. I am going to suspend for a minute to allow those who do not need to be in the Chamber to make way for those who need to come in.
ParlaMint-GB_2020-06-03-commons.u68	Q1. If he will list his official engagements for Wednesday 3 June.
ParlaMint-GB_2020-06-03-commons.u69	Tomorrow, I will open the global vaccine summit; the UK-hosted, virtual event will bring together more than 50 countries, as well as leaders of private sector organisations and civil society, to raise at least $7.4 billion for Gavi, The Vaccine Alliance. Tomorrow’s global vaccine summit should be the moment when the world comes together to unite humanity in the fight against disease This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2020-06-03-commons.u70	As the Prime Minister obfuscates over his adviser, the real scandal of the coronavirus pandemic has been exposed in the Public Health England report published yesterday on inequality and poverty. If you are black or Asian, if you are poor, if you have a low-skilled job, the mortality risk is up to double that of the rest of the population, with the poorest having the greatest exposure, risk and fate. Now the Government are seriously increasing that exposure and risk with their easement announcements. Why will the Prime Minister not publish a full health and economic risk assessment for scrutiny, to protect us all from this deadly virus?
ParlaMint-GB_2020-06-03-commons.u71	I thank the hon. Lady for her question. This Government commissioned the review from PHE and we take its findings very seriously, because there obviously are inequalities in the way the virus impacts on different people and different communities in our country. The Minister for Equalities, my hon. Friend the Member for Saffron Walden (Kemi Badenoch) will be looking at what next practical steps we need to do to protect all our country from coronavirus.
ParlaMint-GB_2020-06-03-commons.u72	In the past few weeks, Blackpool has been inundated with visitors, and the images of people not social distancing and leaving our beach strewn with litter have angered my constituents, at a time when they are doing the right thing and following the Government’s advice. The fact that Blackpool has one of the highest local infection rates in the nation has only served to heighten these fears. What assistance are the Government providing to areas such as Blackpool to deal with the influx of visitors, at a time when local services are already under pressure?
ParlaMint-GB_2020-06-03-commons.u73	My hon. Friend well represents Blackpool and his constituents, sticking up for the interests of Blackpool. In addition to the £3.2 billion we are already giving to local councils to help combat corona, Blackpool is receiving another £9 million, as well as the funding from the high street funds and the town fund to deal with the particular problems he rightly identifies.
ParlaMint-GB_2020-06-03-commons.u74	May I start by expressing shock and anger at the death of George Floyd? This has shone a light on racism and hatred experienced by many in the US and beyond. I am surprised the Prime Minister has not said anything about this yet, but I hope that the next time he speaks to President Trump he will convey to him the UK’s abhorrence about his response to the events This morning, The Daily Telegraph is reporting that the Prime Minister has decided to take “direct control” of the Government’s response to the virus, so there is an obvious question for the Prime Minister: who has been in direct control up till now?
ParlaMint-GB_2020-06-03-commons.u75	Let me let me begin by associating myself absolutely with what the right hon. and learned Gentleman had to say about the death of George Floyd. I think that what happened in the United States was appalling and inexcusable. We all saw it on our screens. I perfectly understand people’s right to protest at what took place, although obviously I also believe that protests should take place in a lawful and reasonable way On the right hon. and learned Gentleman’s more polemical point, let me just say that I take full responsibility for everything that this Government have been doing in tackling coronavirus, and I am very proud of our record. If you look at what we have achieved so far, it is very considerable. We have protected the NHS. We have driven down the death rate. We are now seeing far fewer hospital admissions. I believe that the public understand that, with good British common sense, we will continue to defeat this virus and take this country forward, and what I think the country would like to hear from him is more signs of co-operation in that endeavour.
ParlaMint-GB_2020-06-03-commons.u76	The Prime Minister asks for a sign of co-operation—a fair challenge. I wrote to him, as he knows, in confidence two weeks ago, to ask if I could help build a consensus for getting children back into our schools. I did it confidentially and privately, because I did not want to make a lot of it. He has not replied This is a critical week in our response to covid-19. Whereas “lockdown” and “stay at home” were relatively easy messages, easing restrictions involves very difficult judgment calls. This is the week, of all weeks, where public trust and confidence in the Government needed to be at its highest. But as the director of the Reuters Institute, which commissioned a YouGov poll this weekend, said, “I have never in 10 years of research in this area seen a drop in trust like what we have seen for the UK government” How worried is the Prime Minister about this loss of trust?
ParlaMint-GB_2020-06-03-commons.u77	I am surprised that the right hon. and learned Gentleman should take that tone, since I took the trouble to ring him up, and we had a long conversation in which I briefed him about all the steps that we were taking. He did not offer any dissent at that stage—he thoroughly endorsed our approach, and I believe that he should continue to endorse it today. I think that he is on better and firmer ground when he stands with the overwhelming majority of the British people who understand the very difficult circumstances we are in and who want clarity across the political spectrum but who believe that we can move forward, provided that we continue to observe the basic rules on social distancing, on washing our hands and on making sure that when we have symptoms, we take a test and we isolate. I think everybody understands that. That is why the incidence of this disease is coming down, and his attempts to distract the public from that have not been successful, because they continue to pay attention to our guidance.
ParlaMint-GB_2020-06-03-commons.u78	The Prime Minister challenges me on the offer I made to him. This was a confidential letter. I think the best thing I can do is put it in the public domain, and the public can decide for themselves how constructive we are being Two weeks ago today at the Dispatch Box, the Prime Minister promised: “we will have a test, track and trace operation that will be world-beating, and yes, it will be in place by 1 June.”—[Official Report, 20 May 2020; Vol. 676, c. 568.] But it is not, and a critical element—the ability of local authorities to respond to local spikes—is missing. As one council leader put it to us, “We are weeks away from having this fully up and running. We simply were not given enough warning.” [Interruption.] The Prime Minister mutters that it is not true. Dido Harding, the Prime Minister’s own chair of the track and trace system, has said that this element will not be ready until the end of June. The Prime Minister must have been briefed on this problem before he made that promise two weeks ago, so why did he make that promise?
ParlaMint-GB_2020-06-03-commons.u79	I am afraid that the right hon. and learned Gentleman is casting aspersions on the efforts of the tens of thousands of people who have set up the test, track and trace system in this country from a standing start. We now have 40,000 people engaged in this. As he knows, thousands of people are being tested every day. Every person who tests positive in the track and trace system is contacted, and then thousands of their contacts—people they have been in contact with—are themselves contacted. I can tell the House that at the moment, as a result of our test, track and trace system—which, contrary to what he said, was up and running on 1 June as I said it would be—and the efforts of the people who set it up, thousands of people are now following our guidance, following the law and self-isolating to stop the spread of the disease.
ParlaMint-GB_2020-06-03-commons.u80	I welcome that news from the Prime Minister. He did not put a number on those who have been traced, but, as he knows, the number of people testing positive for covid-19 every day is only a fraction of those actually infected every day. According to the Office for National Statistics, the number actually infected every day is between 7,000 and 9,000. Assuming that up to five contacts need to be traced for every infected person, the system probably needs to reach 45,000 people a day, so there is a long way to go; and I am sure that if it is 45,000 a day, the Prime Minister will confirm that in just a minute. But the problem when the Prime Minister uses statistics is that the UK Statistics Authority has had concerns on more than one occasion. In a strongly worded letter to the Health Secretary yesterday, the chair of the UK Statistics Authority said that the statistics “still fall well short of…expectations. It is not surprising that given their inadequacy data on testing are so widely criticised and often mistrusted.” Can the Prime Minister see how damaging this is to public trust and confidence in his Government?
ParlaMint-GB_2020-06-03-commons.u81	I must say to the right hon. and learned Gentleman that I really do not see the purpose of his endless attacks on public trust and confidence, when what we are trying to do is to provide—I think this is what the public want to hear from politicians across all parties—clear messages about how to defeat the virus. Test and trace is a vital tool in our armoury, and, contrary to what he says, we did get up to 100,000 tests a day by the end of May and to 200,000 by the beginning of this month. That was an astonishing achievement, not by the Government, but by tens of thousands of people working to support the Government; I think that he should pay tribute to them and what they have achieved.
ParlaMint-GB_2020-06-03-commons.u82	The Prime Minister is confusing scrutiny for attacks. I have supported the Government openly and I have taken criticism for it—but, boy, he has made it difficult to support this Government over the last two weeks Another critical issue on trust and confidence is transparency about decision making. On 10 May, the Prime Minister said on the question of lifting restrictions: “If the alert level won’t allow it, we will simply wait and go on until we have got it right.” At the time that he said that, the alert level was 4, and the R rate was between 0.5 and 0.9. We are now three weeks on and some restrictions have been lifted, so can the Prime Minister tell us: what is the alert level now and what is the R rate now?
ParlaMint-GB_2020-06-03-commons.u83	The right hon. and learned Gentleman knows perfectly well that the alert level does allow it. Indeed, he did not raise that issue with me when we had a conversation on the telephone. He knows that the reason that we have been able to make the progress that we have is that the five tests have been fulfilled. Yes, the alert level remains at 4, but as the Scientific Advisory Group for Emergencies will confirm, we have managed to protect the NHS, and we have got the rate of deaths and the rate of infections down. The personal protective equipment crisis; the difficulties in care homes; the question of the R figure—they have been addressed. The question for him is whether he actually supports the progress that we are making because at the weekend he was backing it, but now he is doing a U-turn and seems to be against the steps that this country is taking.
