ParlaMint-GB_2020-11-03-commons.u1	What plans he has to raise the mandatory retirement age for magistrates.
ParlaMint-GB_2020-11-03-commons.u19	I can assure the hon. and learned Lady that the information about the serious allegations about the attack has been communicated to the appropriate Ministers and that everything that I have done and will continue to do is entirely consistent with my duty. Although, sadly, it might be the province of previous and current Prime Ministers to make provocative and sometimes lively comments about the legal profession, it is not the job of the Lord Chancellor to police every jot and tittle. I will continue to make sure that we get the tone of the debate right and that where we can improve on our language, we will do so.
ParlaMint-GB_2020-11-03-commons.u20	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u21	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u22	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u23	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u24	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u25	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u26	What steps his Department is taking to reduce reoffending.
ParlaMint-GB_2020-11-03-commons.u27	Reoffending is a complex issue, so we need to take a wide-ranging approach. That is why we will invest £20 million in the prison leavers project to test new solutions. We are also making sure that our new prisons have rehabilitation right at their heart. Our programme to build 10,000 additional places, plus two new jails at Wellingborough and Glen Parva, will deliver improved security and better training facilities to help offenders to find employment on release.
ParlaMint-GB_2020-11-03-commons.u28	May I be the first of the magnificent seven to thank my right hon. and learned Friend for that answer? Reoffending rates have historically been too high, as many of us are aware from our time in court as advocates or on the magistrates bench. Does he agree that working with organisations and businesses such as the Gelder Group at HMP Lincoln, which has been involved in delivering meaningful training courses to equip those spending time at Her Majesty’s pleasure with useful skills, is the right way to provide inmates with a positive restart to their lives after jail time?
ParlaMint-GB_2020-11-03-commons.u29	My hon. Friend, who has considerable experience of the justice system in a former capacity, is right to highlight the work of organisations such as the Gelder Group and its great work in delivering training to prisoners in his county. He is also right to identify how transformative training and work can be for serving prisoners and those who are released, which will take a cross-government approach as well. I was delighted to hear recently about the great work of Agile Homes at Her Majesty’s Prison Leyhill, which is not only training men to build homes but helping them to save for their own homes in future through work.
ParlaMint-GB_2020-11-03-commons.u30	I thank my right hon. and learned Friend for his commitment to the investment in the prison leavers scheme. He will know, however, that not all schemes provide rehabilitation and training. Some schemes, such as the so-called Nottingham Knockers scheme, send out men and ladies who are released prisoners to sell overpriced goods to embarrassed customers, providing humiliation but no training. Will he make sure that the investment in the prison leavers scheme has the element of training and rehabilitation that is needed, so that ex-prisoners can have successful lives thereafter?
ParlaMint-GB_2020-11-03-commons.u31	My hon. Friend makes a powerful point. Without that specialist support, there is a real problem that such matters might become counterproductive. Nottingham Knockers-type activities, as described, are not part of a recognised rehabilitative scheme, so I urge the public to be vigilant. When it comes to authorised schemes, we anticipate spending more than £100 million a year on accredited services.
ParlaMint-GB_2020-11-03-commons.u32	Social media use in prisons essentially amounts to prisoners reoffending before they have even been let out. It sends a poor message about our criminal justice system that could lead to more reoffending. Will the Lord Chancellor commit to doing everything he can to ensure that those who use social media in prison are robustly punished, and will he be open to increasing and reviewing sentences rather than just giving in-house slap-on-the-wrist punishments?
ParlaMint-GB_2020-11-03-commons.u33	My hon. Friend is absolutely right to talk about the potential impact and the shock that can be caused to members of the public if people who are known to be in custody are communicating and using social media, and prisoners who break the rules should face consequences. The internal adjudication system allows the removal of privileges, stoppage of earnings and confinement to cell, and more serious breaches can be referred to the independent adjudicator, but some crimes committed in prison are clearly so serious that governors will continue to refer those matters to the police.
ParlaMint-GB_2020-11-03-commons.u34	Does my right hon. and learned Friend agree that prison education in itself is crucial to reducing reoffending?
ParlaMint-GB_2020-11-03-commons.u35	My hon. Friend makes an important point, because the evidence is that the completion of any prison education reduces reoffending by 7.5%. We plan to strengthen rehabilitation further by creating a prisoner education service that will be focused on work-based training and skills. The Prison Service’s new future network is doing great work to build partnerships between prisons and employers to ensure that prisoners are job ready on release.
ParlaMint-GB_2020-11-03-commons.u36	Reoffending rates in the Black Country currently stand at around 30%, and it is clear that we need to take a local stakeholder approach. What work is my right hon. and learned Friend doing with local stakeholders in the Black Country to ensure that we can bring reoffending down? Will he meet me to discuss a long-term strategy to tackle reoffending in the Black Country?
ParlaMint-GB_2020-11-03-commons.u37	I am grateful to my hon. Friend, who speaks with knowledge on this subject, and I would like to thank him and the Mayor, Andy Street, for their continued work on helping to tackle reoffending. We know that offenders typically have complex needs, and the community sentence treatment requirement programme, which went live in the Black Country in June this year, aims to improve access to appropriate mental health and substance misuse services as part of community sentences. Of course I would be happy to meet my hon. Friend to discuss this and other issues relevant to West Bromwich in detail.
ParlaMint-GB_2020-11-03-commons.u38	What assessment has my right hon. and learned Friend made of the likely impact of the reduction of rehabilitation periods on reducing reoffending?
ParlaMint-GB_2020-11-03-commons.u39	My hon. Friend speaks with continuing passion on behalf of his constituents in Blackpool, and he knows that when it comes to improving rehabilitation, employment is a key factor. Reducing the length of time that offences need to be disclosed for most jobs will improve job prospects for people with previous convictions. It not only supports them but protects the public by decreasing the likelihood of reoffending, as there are few better crime-fighting tools than a regular pay cheque.
ParlaMint-GB_2020-11-03-commons.u40	In my constituency, Jackie Blackwell, the CEO of the citizens advice bureau, and her team provide support for offenders and their families as they transition out of prison. How is the Lord Chancellor supporting charities such as Fine Cell Work and the Irene Taylor Trust, and Jackie and her team, in this vital work?
ParlaMint-GB_2020-11-03-commons.u41	I pay tribute to my hon. Friend for her passionate work in this area and her advocacy on behalf of the people of Anglesey-Ynys Môn. I recognise the value that organisations such as the ones she mentions can bring to supporting offenders and families through a challenging time. Our grants programme supports the piloting of new rehabilitation services and the further development of current programmes. I am delighted to be able to say that Ynys Môn’s citizens advice and the Irene Taylor Trust have both benefited from our grants programme, and I look forward to seeing the contributions they make to supporting prison leavers as they make the transition towards a new life.
ParlaMint-GB_2020-11-03-commons.u42	What risk assessments are conducted prior to the transfer of people convicted of sexual offences to open prisons.
ParlaMint-GB_2020-11-03-commons.u43	Access to open prison conditions is not a right, and there is no automatic progression. It is based on a detailed risk assessment. To be considered for open conditions, an individual must generally have served two to three years and have that time left to serve to the earliest release. In addition, a thorough risk assessment must be completed, considering the likelihood of the individual absconding and the risks to the public, as well as whether they are overall suited to the open estate.
ParlaMint-GB_2020-11-03-commons.u44	I ask this question on behalf of my constituent, who I will call Elizabeth. For a decade, she was subjected to brutal abuse by a grooming gang in Rotherham. Because of her tenacity, she managed to secure convictions, including one for an individual for nine years for two counts of child rape against her. After two and a half years, she discovered that he had been downgraded to an open prison. Neither Elizabeth nor the police were consulted about this or notified as part of a risk-assessment process, so one wonders whether it is just prison conduct that contributes to risk assessments. More concerningly, he is potentially up for weekend release, although that is not going to happen because of covid. In Elizabeth’s own words, how effective does the Minister think the release on temporary leave system is? I would appreciate a direct answer.
ParlaMint-GB_2020-11-03-commons.u45	I am very grateful to the hon. Lady for raising this important and tragic case. She has written to me about it, and I hope that she has had the content of my letter back. I know that the service has already apologised to her constituent, and I apologise on its behalf, for not contacting her before the referral to open conditions. The victim liaison officer has made the offender manager aware of conditions that should be imposed on any release on temporary licence and so those will be taken into account should there be any ROTL granted. I am happy to continue to discuss this case with the hon. Lady at any opportune moment.
ParlaMint-GB_2020-11-03-commons.u46	What lessons his Department has learned from the (a) implementation and (b) effect of the covid-19 lockdown in prisons.
ParlaMint-GB_2020-11-03-commons.u47	In March, we faced 2,500 to 3,500 deaths in our prisons, according to Public Health England’s worst-case scenario, and we took decisive action to implement national restrictions to protect our staff, prisoners and the NHS. As the pandemic continues, and in line with the overall Government position, we have now developed a more localised approach, which allows governors to operate regimes that are proportionate to the risk in their local area. Throughout the pandemic, we have continued to recognise the importance of prisoners’ wellbeing and mental health, and we have responded accordingly. We will be thinking again in line with the new national restrictions that will be imposed on Thursday.
ParlaMint-GB_2020-11-03-commons.u48	Given the likelihood that prisoners will continue to suffer extreme restrictions, resulting in possible damage to mental health, for the whole of this winter and beyond, will the Minister guarantee that additional phone credit for prisoners and free access to video calls for families will continue for the duration of the pandemic?
ParlaMint-GB_2020-11-03-commons.u49	I am grateful to the hon. Lady for highlighting the measures we put in place during the last wave; as I said, we are very conscious of the impact on reduced liberties in prison. We did make available 1,200 handsets and £5 extra phone credit, and, as she mentioned, we rolled out video calling. Of course, we will continue to consider whether those are appropriate in the next phase of this pandemic.
ParlaMint-GB_2020-11-03-commons.u50	Between today and Christmas, thousands of people will be released from prison, many of whom will have spent the past six months locked in cells for 23 hours a day, with education impossible, rehabilitation disrupted and mental health problems rising. They will be released with no job, money or second chance and an increased risk of reoffending. So, Minister, when will we have an action plan, learning the lessons from past months and providing prisoners with support, which, in turn, keeps our communities safer?
ParlaMint-GB_2020-11-03-commons.u51	I am grateful for the hon. Lady’s question, but I would like to challenge her position, because we already have an action plan. We have had the roll-out of a national framework to position 3—many prisons are already operating that. It rolls out the lifting of a number of restrictions, so that we have increased social visits across the estate, as well as offender management and a number of other measures. We are, of course, now reassessing the position and we will be having an action plan, following the imposition of further national restrictions on Thursday.
ParlaMint-GB_2020-11-03-commons.u52	What steps he is taking to improve the capability of prisons to test for the use of illicit substances among prisoners.
ParlaMint-GB_2020-11-03-commons.u53	My hon. Friend is right to highlight the impact of drugs in our prisons, because there is a link between drugs and violence and assaults. That is why we in Government are supporting the Prisons (Substance Testing) Bill, promoted by my right hon. Friend the Member for Chesham and Amersham (Dame Cheryl Gillan). The Bill had its Second Reading last month and will ensure that we can extend the range of substances that can be tested automatically, so that we can respond quicker to new formulations of psychoactive substances.
ParlaMint-GB_2020-11-03-commons.u54	I am grateful for that answer. What support can be provided for prisoners to ensure that they can recover permanently from drugs misuse?
ParlaMint-GB_2020-11-03-commons.u55	We are taking a number of approaches, of which I shall name just one: the rolling out of the NHS Reconnect service, which ensures that those having treatment in prisons can continue that treatment when they go into the community on release. The service includes assistance in making referrals and also provides peer mentoring services. It will ensure that, as my hon. Friend said, offenders permanently stay off drugs on their release.
ParlaMint-GB_2020-11-03-commons.u56	What steps he is taking to help ensure access to justice.
ParlaMint-GB_2020-11-03-commons.u57	What steps he is taking to help ensure access to justice.
ParlaMint-GB_2020-11-03-commons.u58	What steps he is taking to help ensure access to justice.
ParlaMint-GB_2020-11-03-commons.u59	Access to justice is a fundamental right and the Government are committed to ensuring that individuals can get the timely support that they need to access the justice system. In 2018-19, we spent £1.7 billion on legal aid for those who needed it. In response to the destruction caused by covid-19, we have introduced measures that include scheduling more than 100 additional Saturday court sittings each month; providing funding to not-for-profit providers of specialist legal advice, such as law centres; and rolling out the cloud video platform to enable remote hearings in all civil, family and criminal courts.
ParlaMint-GB_2020-11-03-commons.u60	The Government have failed to provide any significant additional support for legal aid practitioners. The breaking point for many firms is likely to come in 2021, especially as the volume of completions in the Crown court remains low. Many legal aid firms and practitioners urgently need financial support to survive, so will the Government announce new measures to support legal aid lawyers over the second national lockdown?
ParlaMint-GB_2020-11-03-commons.u61	Legal aid lawyers do a magnificent job of ensuring access to justice. I am pleased that the Government have been able to roll out support through furlough and so on, but it is also important that in this second lockdown the courts are continuing. It is really important to note that the magistrates courts are dealing with more cases than they are receiving, and the Government have accelerated CLAR 1, the first criminal legal aid review, which means that defence solicitors, for example, are being paid to review unused material—something that did not happen under a Labour Government.
ParlaMint-GB_2020-11-03-commons.u62	We know that too often the courts are clogged up partly because too little has been done to minimise crime in the first place, which is why it is astonishing that in Cambridgeshire the number of police community support officers is to be halved, particularly at a time when they have a key role to play in covid compliance. Will the Minister join me in condemning those cuts and demanding that they be withdrawn?
ParlaMint-GB_2020-11-03-commons.u63	I am grateful to the hon. Gentleman for his question, but I hope he will welcome the fact that this Government are recruiting an additional 20,000 police officers. It is those officers who will crack down on crime and ensure that people who rob innocents and cause violence end up getting their just deserts.
ParlaMint-GB_2020-11-03-commons.u64	Court users deserve the fullest protection from covid while they access justice, as do the staff who serve them, yet there have been an alarming number of outbreaks at courts and tribunals throughout the country, including at Manchester magistrates court and others near my constituency. Does the Minister agree that by failing to consult properly with the staff union, the Public and Commercial Services Union, over risk assessments, the courts service risks making a bad situation much worse?
ParlaMint-GB_2020-11-03-commons.u65	I pay tribute to the staff of Her Majesty’s Courts and Tribunals Service whom I had the privilege of meeting when I went to Isleworth Crown court. It is the staff who are keeping courts running in extremely difficult circumstances: they are the ones who have ensured that the perspex is there, that the jury retirement rooms are properly socially distanced and that the jury assembly points are well administered. I pay tribute to them for what they are doing, and it is a testament to their achievements that the courts will continue to do what they do best: dispensing justice in our country.
ParlaMint-GB_2020-11-03-commons.u66	Equality before the law is a fundamental right, but for the vast majority of people in the country who are not eligible for legal aid, that right does not actually exist. Facing a difficult winter, even greater numbers will find themselves trapped in the justice gap of being forced to choose between legal representation and the basic essentials, as 94% of working single parents—mainly women—already do. What is the Minister going to do to ensure that the rights that we hold dear actually exist in practice?
ParlaMint-GB_2020-11-03-commons.u67	The hon. Gentleman is absolutely right that ensuring access to justice is of fundamental importance, which is why, when we saw that the law centres, for example, were going to have difficulties during this pandemic, we answered the call and provided them with the funding. I was also able to speak to a great number of them to reassure them about the work that they were able to continue doing. That was the right response to take, and we are proud of the actions that we took.
ParlaMint-GB_2020-11-03-commons.u68	If he will bring forward a strategy to support victims affected by court delays as a result of the covid-19 outbreak.
ParlaMint-GB_2020-11-03-commons.u69	If he will bring forward a strategy to support victims affected by court delays as a result of the covid-19 outbreak.
ParlaMint-GB_2020-11-03-commons.u70	If he will bring forward a strategy to support victims affected by court delays as a result of the covid-19 outbreak.
ParlaMint-GB_2020-11-03-commons.u71	We continue to make significant progress on criminal courts’ recovery. Since August, magistrates courts have consistently completed more cases than they are receiving. In the Crown court, millions of pounds have been invested in perspex screens, technology and Nightingale courts to enable thousands of hearings to be listed each week. Significant progress, too, has been made to accelerate the roll-out of the section 28 pre-recorded cross-examination service to support alleged victims to give their best evidence.
ParlaMint-GB_2020-11-03-commons.u72	Rape is a violent and devastating crime, putting enormous pressure on its victims, who may view the trial of their rapist as a second violation. Across the north-east, rape victims are waiting months and months for their trials to start and Northumbria police and crime commissioner Kim McGuinness tells me that that is putting enormous strain on their mental health. What support is the Minister providing, specifically to victim support organisations such as the sexual exploitation hub in my constituency, and what is he doing to make sure that more trials can take place?
ParlaMint-GB_2020-11-03-commons.u73	The hon. Lady is absolutely right to raise this point, and I am grateful to her for doing so. We take this extremely seriously. Of the £76 million that we allocated to victims’ organisations, a full £20 million was rolled out through PCCs to provide the community support that she refers to, but that did not emerge from a clear blue sky. We were also providing money for independent sexual violence advisers to support victims as they progress through the criminal justice system. The critical thing is to keep the courts going during this pandemic. That is what we are doing when others might not have done, and we are proud of what Her Majesty’s Courts and Tribunals Service is providing.
ParlaMint-GB_2020-11-03-commons.u74	In Hull North, levels of antisocial behaviour in areas such as Orchard Park, Beverley Road, Pearson Park, Princes Avenue and Kingswood have been growing, and the perpetrators behave as if they were beyond the reach of the justice system and the law. What discussions has the Minister had with his counterpart in the Home Office about a specific strategy for communities where antisocial behaviour is growing to work with victims affected by court delays, and will he meet me to discuss what more can be done?
ParlaMint-GB_2020-11-03-commons.u75	I am grateful to the hon. Lady for her question. Let the message go out in Kingston upon Hull that people who want to perpetrate antisocial behaviour should understand that the courts are operating, that the police are there to make arrests and that justice will be done. That is what is being delivered during this pandemic, thanks to the hard work of plenty of people. On her final point, of course, I would be delighted to meet her to discuss this matter further.
ParlaMint-GB_2020-11-03-commons.u76	I hope the Minister will meet with me as well to discuss this matter. The delays, as my colleagues have already said, have meant that victims of serious violent crime, such as rape, sexual abuse and other kinds of crime, are facing a double threat: first of the crime and then of the delay. That is causing huge trauma. In the context of half a million unheard cases, can the Minister specifically state how many of the 200 additional court venues have been provided and how much additional funding has been provided to deal with the additional crisis caused by coronavirus?
ParlaMint-GB_2020-11-03-commons.u77	Let me deal with this point about courts. Because so much money has gone into providing perspex and so on, the number of courtrooms available for trials is higher than the baseline. That is important. Even before this pandemic, we had increased by 50% the amount of funding that was going into rape support centres, because we recognised the importance of providing that support. We will continue to support individuals through independent sexual violence advisers and through providing that capacity in our court system so that victims can get the justice they deserve.
ParlaMint-GB_2020-11-03-commons.u78	The court backlog is not just a number; it is a tragedy for every victim who is awaiting justice. The Tory PCC for Hertfordshire wrote to Ministers back in June to say that victims were pulling out of trials and that criminals were walking away scot-free as a result. How many crimes need to go unpunished before Ministers will come before the House with a plan backed up by targets and resource so that criminals are brought to justice?
ParlaMint-GB_2020-11-03-commons.u79	I regret that the hon. Gentleman has not read the plan that has been published, because if he had, he would know that in the magistrates courts the backlog is being eroded, because disposals have exceeded receipts since the end of July, and that the number of trial courts is higher than the baseline. If he had read the report, he would know that. This Government are keeping courts running and ensuring that justice will be served.
ParlaMint-GB_2020-11-03-commons.u80	What assessment he has made of the effect of the Government’s three-tier local covid-19 alert levels on the operation of the courts.
ParlaMint-GB_2020-11-03-commons.u81	We have made a very careful assessment of the safety of all our court buildings. I am pleased to say that courts across the country are opening and operating regardless of the tier they may have been in previously and regardless of the altered circumstances that are commencing on Thursday. The courts are open, they are operating, and justice is being done.
ParlaMint-GB_2020-11-03-commons.u82	In firebreak Wales, the justice system has had to operate under really difficult circumstances lately, and I pay credit to those who have worked so hard to adapt. However, figures shared with me by the chief constable in Gwent point to significant delays in first hearings and a 57% increase in witnesses being supported locally. To help deal with this, will the Government prioritise hearings for the most serious crimes before they get lost in another backlog?
ParlaMint-GB_2020-11-03-commons.u83	I share the hon. Gentleman’s thanks to HMCTS staff and the judiciary and magistrates who have been keeping our courts running in what have been difficult circumstances. The cases that are prioritised are decided by the judges, who take responsibility for listing. However, cases such as domestic violence protection orders, which are often very urgent, are certainly being prioritised, and the most serious cases, particularly where there are vulnerable victims—we have heard about rape cases already this morning—are being listed at the earliest possible opportunity As the Under-Secretary, my hon. Friend the Member for Cheltenham (Alex Chalk), said, in the magistrates court we are now disposing of more cases than are being received. That has been the case since the end of July, so the outstanding caseload is coming down. As for Crown court jury trials, we now have more Crown court courtrooms for jury trials open and operating than was the case before the pandemic, so we are expecting similarly encouraging progress to start feeding through with regard to those trials as well.
ParlaMint-GB_2020-11-03-commons.u84	In recent times we have seen outbreaks of covid in different courts around the country, despite the claims and answers to my parliamentary questions that everything possible is being done to keep them safe. The Government have been found out and hit with fines by the Health and Safety Executive for what can only be described as a catalogue of failures at Westminster magistrates court, including risk assessment found not to be suitable and sufficient. Then there were issues with social distancing, staff training and management arrangements. Can the Minister put his hand on his heart and honestly say that other courts would not fail the HSE test, and will he agree that it is now time to work with staff representatives to put things right, and carry out the national risk assessment demanded today by the Criminal Bar Association?
ParlaMint-GB_2020-11-03-commons.u85	A huge amount of work has happened over the past six months to risk-assess different courts, working with Public Health England and Public Health Wales, and talking to union representatives as well. That is how we have got almost every court in the country now up and running in a socially distanced way. For example, we have installed perspex screens to make sure that jurors are separated from one another, and we are making sure that there are jury retiring rooms where jurors can space out. There is extremely frequent cleaning happening throughout every courtroom. What is important is that justice is done, justice is delivered, and it is done safely, and that is precisely what is now happening.
ParlaMint-GB_2020-11-03-commons.u86	What progress he has made on the implementation of the female offender strategy.
ParlaMint-GB_2020-11-03-commons.u87	The female offenders strategy launched two years ago recognises a different approach to female offenders, and we are making good progress. We initially invested £5.1 million in funding to 30 women’s services across England and Wales, and we are currently in the process of allocating a further £2.5 million for this year to improve women’s centres’ financial viability.
ParlaMint-GB_2020-11-03-commons.u88	There are over 2,200 more women in prison compared with 25 years ago, and 82% have been sentenced for non-violent offences. A second lockdown will hit them hard, so can the Minister confirm what steps are being taken to give women in prison virtual access to their children? How many pregnant women are currently in custody? How many women have been released as part of the early release scheme?
ParlaMint-GB_2020-11-03-commons.u89	We are very conscious of the impact of lockdown on our female estate, and we will be looking very carefully, as we look at the new framework for the new provisions on Thursday, at how we can in particular protect women in the female estate, recognising the significant mental health issues they face. We are very conscious of the need to ensure family contact, and all our female estate have access to virtual calls. The hon. Member is aware, I hope, of our recent mother and baby unit review in relation to operations to look after pregnant women and women with young children on the estate. That is currently in a consultation phase. We have set out a number of measures, including personalised access and plans to help those across our female estate who are pregnant or who have dependants.
ParlaMint-GB_2020-11-03-commons.u90	  If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2020-11-03-commons.u91	Throughout the pandemic, dedicated public servants across the justice system have continued delivering vital services. We have implemented contingency measures to ensure that hearings could continue safely and securely, and we now have 16 Nightingale courtrooms. We have also implemented a national framework for dealing with covid in our prisons and secured greater access to testing in order to manage outbreaks As the Prime Minister outlined at the weekend, it is now necessary for England to enter into a new set of national restrictions so that we can stem the spread of the virus, protect our NHS and save lives, but essential public services will stay open and that of course includes courts and prisons. We are well prepared to respond to the current restrictions, having acquired valuable knowledge from the first wave of the virus, with contingency plans in place to manage risks throughout the winter. I am sure the whole House will want to join me in expressing gratitude to all our justice heroes working in prisons, probation and the courts, who will continue to go the extra mile.
ParlaMint-GB_2020-11-03-commons.u92	Can the Justice Secretary give an example of a military operational decision that has been changed as a result of court action or the threat of court action, and an example of a vexatious claim that has not been dismissed by the courts, with costs?
