ParlaMint-GB_2020-07-21-commons.u1	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u30	Wolverhampton North East is home to aerospace companies that have seen an unprecedented and sudden collapse of demand. Collins Aerospace is now sadly considering mass redundancies. What further support can the Government offer to limit job losses in Wolverhampton?
ParlaMint-GB_2020-07-21-commons.u31	We work with the whole aerospace industry. I am the co-chair of the Aerospace Growth Partnership. As well as access to the furlough scheme and the corporate finance scheme, the Secretary of State announced yesterday £400 million in further funding for research and development support for the sector to get to that Jet Zero flight. The Future Flight Challenge is already investing £300 million. We continue to work with the sector to make sure that those skill sets, that ecosystem that has been so brilliant at delivering an incredible industry in the UK, are maintained for the next three to five years, which is the timeline by which the sector looks to recover.
ParlaMint-GB_2020-07-21-commons.u32	I thank the Minister, on behalf of my office, for his kind words.
ParlaMint-GB_2020-07-21-commons.u33	Thank you, Mr Speaker, for facilitating these virtual questions for the past few weeks, and long may they continue Although yesterday’s announcement was welcome, the Minister and I both know that nearly all the projects have been a long time in coming—from well before the current coronavirus crisis—so, in that sense, the funds announced yesterday were already priced in by the sector. In order to protect the aerospace jobs of today, as others have asked, which are highly skilled and in areas of the country that can ill afford to lose them, we really do need further urgent action today. Will the Minister say more than he has so far, which has been warm words but not much real action, to reassure those working in aerospace that their jobs will be protected in the coming months and years?
ParlaMint-GB_2020-07-21-commons.u34	I take issue with “warm words and no action” as £8.5 billion has been put to work to protect jobs and to protect the sector. It is great to see that, this week, Airbus has shown confidence in the UK with confirmation that the wings for its latest aircraft, the A321XLR, will be built in the UK at Broughton. That demonstrates our engagement not just with Airbus, but with Bombardier and with other major players in the market and, of course, the supply chain as well. We continue to put the support in place and to look at further support as we progress through the economic recovery.
ParlaMint-GB_2020-07-21-commons.u35	What support his Department is providing to (a) the beauty sector and (b) other sectors that remain fully or partially locked down as a result of social distancing measures.
ParlaMint-GB_2020-07-21-commons.u36	Further to the Prime Minister’s announcement on 17 July, I am delighted that all close contact services will be able to resume from 1 August. We have taken a phased, cautious approach to reopening our economy, guided by the scientific and medical advice.
ParlaMint-GB_2020-07-21-commons.u37	The close contact sector of the theatre is the one that I want to ask about, Minister. What action can the Government take to support local theatres such as Jacksons Lane, Upstairs at the Gatehouse and the Park Theatre? My constituents work in those theatres and, sadly, redundancy notices are going out. What can be done to save these jobs and protect another highly skilled sector?
ParlaMint-GB_2020-07-21-commons.u38	I totally understand, as Minister for London, that many theatres in the middle of London also require that support, but for provincial theatres around the country, we really do need to make sure that we can attract audiences back. That is why we are looking forward to working with theatre groups to have pilots for events so that when they are able to open, people can come safely and enjoy the performances that they have to offer.
ParlaMint-GB_2020-07-21-commons.u39	What support his Department is providing to the retail and hospitality sectors as covid-19 lockdown restrictions are eased.
ParlaMint-GB_2020-07-21-commons.u40	Through the Business and Planning Bill, we are simplifying reliefs and the costs to cafés, pubs and restaurants of obtaining a licence to allow for outdoor dining. The Chancellor has also announced a six-month temporary VAT rate reduction from 20% to 5% for the hospitality, accommodation and attraction sectors. Both these measures should help to provide a welcome boost for business.
ParlaMint-GB_2020-07-21-commons.u41	My constituency is known for its culinary delights such as the fantastic Butterfingers Deli, and Balti Bazaar in Lye, not forgetting its equally fantastic independent local pubs. Does my right hon. Friend agree that it is crucial that we encourage customers to get back to our pubs and restaurants to support our local economies and get our economic engines firing again?
ParlaMint-GB_2020-07-21-commons.u42	My hon. Friend is absolutely right. We need to get out there supporting our pubs and restaurants. The Eat Out to Help Out scheme operating during August is another great incentive to support participating restaurants, cafés, pubs and other food establishments. Al fresco dining midweek in balmy August weather should be a must for all of us.
ParlaMint-GB_2020-07-21-commons.u43	I call the Chair of the Select Committee, Darren Jones.
ParlaMint-GB_2020-07-21-commons.u44	Hospitality workers who, in normal times, rely on tips as a significant part of their income have been especially hit, not just because their workplaces have been shut but because furlough payments have not recognised tip-based income. The Government have committed to bringing forward legislation to ensure that hospitality staff can keep their tips; indeed, it was a Conservative party manifesto commitment. When will that legislation be brought to the House?
ParlaMint-GB_2020-07-21-commons.u45	The Chairman of the Select Committee raises a very important point. As he knows, we have had to bring forward a number of emergency Bills. However, I recognise the point he is making, and we will look to see the earliest point at which we might be able to bring that forward.
ParlaMint-GB_2020-07-21-commons.u46	What steps his Department is taking to ensure a (a) green and (b) resilient economic recovery from the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u47	What plans he has to promote a green economic recovery after the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u48	What plans he has to promote a green recovery from the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u49	What plans he has to promote a green recovery from the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u50	The Prime Minister has made clear our intention to build back greener. We are taking action to deliver on that commitment, including through a commitment of over £3 billion to reduce emissions from our buildings across the UK, £800 million to promote carbon capture from power stations and industry, and a further £100 million being invested in R&D in direct air capture technologies.
ParlaMint-GB_2020-07-21-commons.u51	I am delighted that the Chancellor focused on creating green jobs in his summer economic update. Does my right hon. Friend agree that launching a multi-billion pound drive to improve the energy efficiency of homes will not only be good for creating jobs and driving us towards our net zero target but will save people money on their energy bills?
ParlaMint-GB_2020-07-21-commons.u52	My hon. Friend is exactly right. Our £3 billion investment in energy efficiency could support up to 140,000 green jobs. The £2 billion green homes grant will upgrade over 600,000 homes, saving households up to £600 a year on their energy bills.
ParlaMint-GB_2020-07-21-commons.u53	I agree that it is great to have jobs created. Insulating homes creates jobs across all regions of the UK, yet right now it is having the opposite effect. Labour has been contacted by insulation businesses who are experiencing cancelled work as clients now want to wait until September, when green homes grant money is available. Will the Minister fix this problem, and fix it now, by stating that jobs done in July and August can claim green homes grant funding in September?
ParlaMint-GB_2020-07-21-commons.u54	The hon. Lady asks a very pertinent question. The Chancellor set out a £3 billion programme, and of course it will take time before that money is fully deployed. As well as the green homes upgrade, we have committed £320 million to the heat networks investment project, which is very relevant to the kind of work that she has described.
ParlaMint-GB_2020-07-21-commons.u55	With the Government having committed to invest in the bioscience sector in York, making it the heart of the green new deal, they are now trying to make that conditional on a local government reorganisation that is not only deeply unpopular but is also, frankly, unworkable. In the light of comments that York’s economy will be the second-worst hit in the country, with unemployment rising to as high as 28%, will the Minister instead now bring forward that investment, to prevent mass unemployment in my city, to prevent unnecessary economic pain and to kick-start investment in green-collar jobs?
ParlaMint-GB_2020-07-21-commons.u56	As the hon. Lady knows, we are absolutely committed to creating green-collar jobs. Today, we have 460,000 of those jobs across the UK; by 2030, we have stated our commitment to have 2 million such jobs. No one can deny our commitment to creating green jobs. I would further add that we are also committed to making the UK a science superpower, and we will make innovation central to our green recovery. That is absolutely front and centre of what the Government are trying to do.
ParlaMint-GB_2020-07-21-commons.u57	Commenting on his own report back in 2017, Charles Hendry said, “the evidence is clear that tidal lagoons can play a cost effective role in the UK’s energy mix” This Government still have not managed to back the oven-ready pathfinder tidal energy project in Swansea bay. When will they recognise the opportunities, the new green jobs and the inward investment support that tidal power can bring to Swansea, Wales and the rest of the UK?
ParlaMint-GB_2020-07-21-commons.u58	We are absolutely committed, as the hon. Lady knows, to tidal power and all forms of marine power. There was a specific issue with the Swansea bay tidal lagoon project, which was that it was felt not to be economical. That was a specific, project-based, single incidence where we did not feel that it was value for taxpayers’ money.
ParlaMint-GB_2020-07-21-commons.u59	All we have right now, as far as energy efficiency for homes is concerned, is an announcement of a one-year scheme to provide vouchers for energy efficiency improvements in mostly lower priority properties, with no detail yet as to how that will work. The Minister simply did not answer the question from my hon. Friend the Member for Lewisham East (Janet Daby) about businesses in the field who are telling us that jobs are being lost now, because people are cancelling work in anticipation of those details, if and when they come out What we need for green recovery is a long-term programme that develops jobs and skills and really contributes towards low carbon energy efficiency improvements across all homes in England and Wales. When does the Minister intend to provide details of how the short-term plan will work and what is he doing to establish a proper long-term home energy efficiency programme on the back of that plan?
ParlaMint-GB_2020-07-21-commons.u60	Obviously, the hon. Gentleman and I will have slightly different views of what the Government are doing. I was surprised to hear him dismiss the £3 billion commitment. I remind him that green homes grants will deliver improvements to more than 650,000 homes, supporting 140,000 jobs in 2020-21. These are significant strides and a huge amount of money has been committed to that programme.
ParlaMint-GB_2020-07-21-commons.u61	What steps he has taken to ensure that the indoor air quality of offices, shops, restaurants and bars is adequate to help prevent the spread of covid-19 among workers and customers.
ParlaMint-GB_2020-07-21-commons.u62	The Government have provided clear advice on ventilation in our safer workplaces guide. We are led by the science in that work and, as the scientific and medical advice changes, the guidance will be updated to reflect that.
ParlaMint-GB_2020-07-21-commons.u63	The Minister should know that the science now shows that indoor air pollution dramatically increases coronavirus infection and death rates, and that masks inhibit the transmission of the virus. Will he today press to follow France’s lead to make compulsory mask-wearing the law in all indoor environments accessible by the public, and include indoor air pollution in the terms of the Environment Bill in September, in order to save lives and protect our NHS?
ParlaMint-GB_2020-07-21-commons.u64	As I said in my earlier answer, we are guided all the time by science and evidence and, as the science and evidence changes, we will calibrate our policy responses to that effect.
ParlaMint-GB_2020-07-21-commons.u65	What steps his Department is taking to encourage home working; and if he will make a statement.
ParlaMint-GB_2020-07-21-commons.u66	Around 90% of employees already have a statutory right to request homeworking as well as other forms of flexible working. We are now encouraging employers and employees to discuss how work can be done safely at home or in a covid-secure workplace.
ParlaMint-GB_2020-07-21-commons.u67	Well, a recent survey has shown that two thirds of people would prefer to work from home either full time or part time, rather than work all the time at the places they worked from pre-covid. With this change in attitudes, which means we will end up with less pollution and probably a better standard of living, what can the Government do, and what can she do, to encourage this type of working for those who want it?
ParlaMint-GB_2020-07-21-commons.u68	When he said “she”, I am sure he meant the Minister.
ParlaMint-GB_2020-07-21-commons.u69	I am sure that my hon. Friend did not. We are aware of the wider benefits of flexible working. Nearly half of employees have worked from home during covid-19. Most employees already have the right to request flexible working, which employers can reject only for really sound business reasons. In our manifesto, we committed to take it further, and we will be looking at it in the light of covid.
ParlaMint-GB_2020-07-21-commons.u70	What recent discussions he has had with the Chancellor of the Exchequer on increasing support for businesses in Scotland.
ParlaMint-GB_2020-07-21-commons.u71	What discussions he has had with the Chancellor of the Exchequer on increasing support for businesses in Scotland.
ParlaMint-GB_2020-07-21-commons.u72	What discussions he has had with the Chancellor of the Exchequer on increasing support for businesses in Scotland.
ParlaMint-GB_2020-07-21-commons.u73	The Secretary of State and I hold regular discussions with the Chancellor of the Exchequer on the issue of business support, including on the schemes available to support Scottish businesses affected by the covid-19 pandemic.
ParlaMint-GB_2020-07-21-commons.u74	We are still waiting on the promised aviation sectoral support. Indeed, far from support, in my Adjournment debate the Minister essentially said that workers should be grateful that Rolls-Royce offered voluntary redundancy. Moreover, the Government have not acted to stop companies such as Menzies Aviation and Centrica following the deplorable fire-and-rehire tactics employed by British Airways, which are now being enforced. Will he tell the House whether he thinks it fair that an employer can force an employer on to reduced terms and conditions or face redundancy? Why is that illegal in so many European countries?
ParlaMint-GB_2020-07-21-commons.u75	We are in constant conversation with Rolls-Royce and other employers, quite rightly. The sector will be impacted for between three and five years. It is right that companies should be able to right-size their businesses and, as the Secretary of State referred to, have a constructive dialogue with their employees about how they arrive at that right size. The Government’s position is to support the industry with more than £8.5 billion of support through the covid pandemic.
ParlaMint-GB_2020-07-21-commons.u76	Businesses in Scotland have thrived under devolution with the support of the Scottish Government, who are better able to provide tailored policies specifically for Scotland. An independent economics research organisation based at the University of Warwick published figures just yesterday that show that Brexit had already cost Scotland an estimated £736 a head last year alone. With uncertainty over future funding streams such as the so-called prosperity fund, which we were promised details of two years ago, how does he think that the greatest threat to devolution in its history—the current power-grab by Westminster—presents continued membership of the United Kingdom for business and the people of Scotland as a good option?
ParlaMint-GB_2020-07-21-commons.u77	I have weekly calls with my counterparts in the devolved Administrations, including the Minister for economy and fair work in Scotland. The most successful market is the UK internal market—that is without doubt. That is what the Scottish Government should support. It is a shame that my officials, working with officials from Northern Ireland and, of course, Wales, can move forward, yet the Scottish Government chose to withdraw their officials back in March. I urge my colleague from the SNP to ask the Scottish Government to reintroduce those officials to the system. We would thrive as a United Kingdom.
ParlaMint-GB_2020-07-21-commons.u78	To protect and rebuild the local economy of Aberdeen and the north-east of Scotland, we need huge investment from the UK Government in the hydrogen economy, carbon capture and underground storage, and an energy transition zone all through an oil and gas sector deal. Will the Minister confirm that his Government intend to sign off an oil and gas sector deal this calendar year—yes or no?
ParlaMint-GB_2020-07-21-commons.u79	It is a manifesto commitment of this Government to deliver an oil and gas sector deal, and we are working with the sector. My brilliant colleague, the Minister with responsibility for energy, has been engaging constantly with the sector to ensure it can take the opportunities that are before it in offshore wind generation and all sorts of other areas. Of course, hydrogen will be incredibly important to the energy White Paper, which we will publish in the autumn, as the Secretary of State set out.
ParlaMint-GB_2020-07-21-commons.u80	What steps he is taking to increase the level of investment in research and development throughout the UK.
ParlaMint-GB_2020-07-21-commons.u81	The Government are committed to making the UK a world-leading science superpower, and are increasing Government spending on R&D to £22 billion by 2024-25. We have announced seven successful projects from all four nations of the UK, which will receive £400 million of funding through our strength in places fund. Our ambitious R&D roadmap commits us to publishing a place strategy in the autumn that goes even further.
ParlaMint-GB_2020-07-21-commons.u82	Thank you, Mr Speaker, for all the work you have done to keep people like me engaged in the parliamentary process The Minister has a business background, so does she not realise that if she could persuade the Chancellor of the Exchequer to follow Mrs Thatcher’s example and introduce a windfall profit tax on people who have made a lot of money—the gambling industry and companies such as Amazon—that could be ploughed into research and development? Universities will go through a tough time in the coming months and years, so let us put real resources into research and development as never before.
ParlaMint-GB_2020-07-21-commons.u83	I add my thanks to your team, Mr Speaker The hon. Gentleman will be aware that we have a taskforce that has been looking into how to support universities. It has enabled us to set up a stability fund, which will enable R&D to continue in our institutions. In addition, in the roadmap, which contains the place strategy, we are talking about lots of levelling up. We are making sure we have the opportunity to take this forward and become the science superpower that we all want to be.
ParlaMint-GB_2020-07-21-commons.u84	What steps he is taking to help the events sector recover from the covid-19 pandemic.
ParlaMint-GB_2020-07-21-commons.u85	As the Prime Minister announced last week, from 1 October the Government intend to allow audiences to return to stadiums around the country. Conferences and other business events can also recommence in a covid-19 secure way, subject to the outcome of pilots.
ParlaMint-GB_2020-07-21-commons.u86	The Government are really missing the point on this. The thing about events, meetings, conferences, exhibitions and wedding receptions is that they are organised and regulated, and yet they are more constrained at the moment than pubs and restaurants. Rather than talk about pilots and permitted venues that are not defined in the guidance, will the Government look at a faster and fuller opening of the sector before October?
ParlaMint-GB_2020-07-21-commons.u87	We took evidence from a number of areas, including the wedding industry, and we have the “Safer Events: A Framework for Action” White Paper. All those people will feed into that discussion. Weddings are essentially parties, and we need to ensure that they can be regulated in a covid-19-secure way. I will meet the wedding industry associations again tomorrow to continue discussions in this area.
ParlaMint-GB_2020-07-21-commons.u88	What steps he is taking to secure the future of UK research and development.
ParlaMint-GB_2020-07-21-commons.u89	The Government are now implementing their ambitious R&D roadmap, published earlier this month, reaffirming our commitment to increasing public R&D spending to £22 billion by 2024-25 and ensuring the UK is the best place for scientists, researchers and entrepreneurs to live and work.
ParlaMint-GB_2020-07-21-commons.u90	I appreciate the recent announcements, but can the Minister reassure us that all universities will be able to access those loans, with freedom to invest in line with local priorities? Will she take a look at the proposals from the new Whittle laboratory in Cambridge, which needs to match the already secure £23.5 million in private sector funding to develop the first long-haul zero-carbon passenger aircraft?
ParlaMint-GB_2020-07-21-commons.u91	I give my assurance that one of the things we are addressing in the roadmap is ensuring that we become a science superpower. Within that, we are levelling up across the whole of the country. I am committed to making the workplace diverse and ensuring that we have a culture that embraces that throughout the whole of country. We will ensure that UK scientists are appreciated and rewarded.
ParlaMint-GB_2020-07-21-commons.u92	What assessment he has made of the effect of winding down the coronavirus job retention scheme on employment levels.
ParlaMint-GB_2020-07-21-commons.u93	The Government have provided unprecedented support to businesses and individuals. We are doubling the number of jobcentre work coaches, spending £32 million to recruit National Careers Service careers advisers and creating hundreds of thousands of new subsidised jobs for young people throughout the UK.
ParlaMint-GB_2020-07-21-commons.u94	I thank the Minister for her answer, but my question is about the job retention scheme and employment levels. Given that some employers will be paid to retain workers who are never going to be made redundant, some of the job retention bonus scheme will be a dead loss. Would it not be a more effective use of public money to use some of these funds to continue to pay the wages of workers hardest hit and to provide some support to some of the 3 million households that have been excluded throughout this crisis from any help from this Government?
ParlaMint-GB_2020-07-21-commons.u95	We are giving a whole range of support to everybody, as the hon. Member will know, through a lot of schemes. In fact, 9.4 million jobs have been supported through the coronavirus job retention scheme. As the scheme winds down, we will be making it more flexible so that people can return to work part time. We are also offering £1,000 to employers for each furloughed employee who is kept on until the end of January 2021.
ParlaMint-GB_2020-07-21-commons.u96	What steps his Department is taking to support (a) vaccine manufacturing and (b) UK life sciences.
ParlaMint-GB_2020-07-21-commons.u97	What steps his Department is taking to support (a) vaccine manufacturing and (b) UK life sciences.
ParlaMint-GB_2020-07-21-commons.u98	The Government are investing £93 million to set up the UK’s first dedicated Vaccines Manufacturing and Innovation Centre in Harwell. We are also investing £38 million in a rapid deployment facility, which will allow vaccine manufacturing at scale to commence from later this year.
ParlaMint-GB_2020-07-21-commons.u99	The Government have stated that they are interested in creating a sovereign manufacturing capability in the north. An opportunity exists in Ulverston in my constituency to build a bioscience cluster, with deep collaboration with local universities. Using this site for therapeutic vaccine manufacturing would enable partnership with GlaxoSmithKline, which is already based in Furness, and it would preserve and create local jobs and skills, and be a great result for the north and the UK as a whole. Would my right hon. Friend meet the key partners to this project to see whether we might be able to take it forward?
ParlaMint-GB_2020-07-21-commons.u100	I want to confirm that the Government of course continue to consider the options to ensure that we have sufficient vaccine manufacturing capacity in the UK. I will ask the vaccine taskforce to follow up on that issue with my hon. Friend.
ParlaMint-GB_2020-07-21-commons.u101	For many of my constituents who work in Greater Manchester life sciences and in the Cheshire life sciences corridor, the Government’s drive to increase research and development into vaccines is really important. Recognising the importance of this to our local economy, what are the Government doing to increase and develop the strengths of life sciences in the Greater Manchester area?
ParlaMint-GB_2020-07-21-commons.u102	I can confirm to my hon. Friend that, of course, the Government strongly support the growth of the life sciences sector in the north-west, which employs about 26,000 people. We have made a significant strategic investment in the Medicines Discovery Catapult at Alderley Edge to boost R&D.
ParlaMint-GB_2020-07-21-commons.u103	What support his Department is providing to businesses to help them operate in a covid-secure way.
ParlaMint-GB_2020-07-21-commons.u104	What steps he is taking to help all businesses reopen in a covid-secure way.
ParlaMint-GB_2020-07-21-commons.u105	In consultation with businesses, business representative groups, trade unions, Public Health England and the Health and Safety Executive, my Department has published comprehensive workplace guidance to ensure businesses can operate in a covid-secure manner, keeping both their workers and customers as safe as possible.
ParlaMint-GB_2020-07-21-commons.u106	I thank my right hon. Friend for his reply, and welcome the work that he and his Department are doing to help businesses during this challenging time. However, what support is being given to the self-employed across the country?
ParlaMint-GB_2020-07-21-commons.u107	As my right hon. Friend will know, 2.7 million self-employed people have accessed over £7.8 billion of grants from self-employed income support scheme. The scheme has been extended, and individuals will be able to claim a second and final grant when the scheme reopens for applications on 17 August.
ParlaMint-GB_2020-07-21-commons.u108	I thank the Secretary of State for finding a way to reopen the beauty sector, which employs so many women across the country. When I paid a visit to the Malvern Spa to celebrate its reopening last weekend, I was told that it has capacity now for only 15 spa days, rather than 40, because of the square footage rules that his Department has set out. Will he look urgently at reviewing those, because it is a very spacious premises?
ParlaMint-GB_2020-07-21-commons.u109	I thank my hon. Friend for her acknowledgement of the work we have been doing. The key has been to open businesses safely and securely in a cautious and phased manner, and we will continue to do that.
ParlaMint-GB_2020-07-21-commons.u110	If he will make a statement on his departmental responsibilities.
