ParlaMint-GB_2020-07-20-commons.u1	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u32	Does the Secretary of State agree that the provision of appropriate community spaces and opportunities in town centres can be crucial to social cohesion? During decades of austerity, our communities have lost so much of their town centres. Will the Secretary of State tell me what steps are being taken to ensure that any town centre regeneration plan is drawn up with the help of the community members so that communities are prioritised and benefited, including through jobs and social spaces?
ParlaMint-GB_2020-07-20-commons.u33	I agree that we need to invest in our town centres and our high streets. The Government had begun that work even before the pandemic created so much additional economic disruption. The towns fund and the high streets fund are important initiatives that will help local communities to set a course for the future, with investment in infrastructure, in town centre regeneration, in skills, and in culture, and local people are at the heart of each and every one of those town deals or high street bids.
ParlaMint-GB_2020-07-20-commons.u34	What infrastructure projects the Government are supporting in (a) Northamptonshire and (b) England to enable more housing to be built.
ParlaMint-GB_2020-07-20-commons.u35	The Government are investing around £150 million in infrastructure projects in Northamptonshire, unlocking the development of more than 19,000 homes in Corby, East Kettering, and at the A43, for instance. The Government are supporting schemes with almost £80 million, which will together unlock more than 12,500 homes. That is part of more than £10 billion of investment in new infrastructure for housing across England.
ParlaMint-GB_2020-07-20-commons.u36	That is wonderful news from the Secretary of State, but he missed out one constituency in Northamptonshire and that was Wellingborough. We are planning to build lots of new houses at Wellingborough North, but to realise the full potential of that housing, we must have the Isham bypass. Why can we not get that bypass? It seems to be held up by red tape, so does the Secretary of State agree that the Isham bypass would be an excellent project for the Prime Minister’s Project Speed? Let us get the bypass built.
ParlaMint-GB_2020-07-20-commons.u37	We want to fast-track major building projects in all parts of the country to fuel the economic recovery and to create jobs, and Project Speed is just one part of that. With respect to the Isham bypass, I understand the Department for Transport has prioritised the project for major road network funding. Northamptonshire County Council is due to submit an outline business case later this year. The council has had to amend the route, and will require fresh planning permission and legal orders, but the Department for Transport’s officials are in touch with the council to discuss how best the scheme can be taken forward. Obviously, if there is anything my Department and officials can do to assist my hon. Friend, we will do it.
ParlaMint-GB_2020-07-20-commons.u38	When the Government plan to bring forward legislative proposals for the renters reform Bill.
ParlaMint-GB_2020-07-20-commons.u39	We are committed to bringing forward legislation to deliver a better deal for renters, including repealing section 21 of the Housing Act 1988 as a priority. This will represent a generational change to tenancy, so it is only right that such legislation is considered and balanced to achieve the right outcomes for the sector, for tenants and, of course, for landlords.
ParlaMint-GB_2020-07-20-commons.u40	The economic consequences of covid-19 could continue for years to come. Given the Secretary of State’s commitment that “no one should lose their home as a result of the coronavirus”, does the Minister agree that it is about time this Government looked at the measures the Welsh Labour Government are putting in place to protect renters from eviction by unscrupulous landlords?
ParlaMint-GB_2020-07-20-commons.u41	I am obliged to the hon. Lady for her question. This Government have brought forward an unprecedented array of measures to support tenants through the coronavirus epidemic. We have protected 8.6 million households because of our actions: we have increased the local housing allowance to the 30th percentile; we have given local authorities £500 million of crisis grants; and we have introduced the furlough scheme, which the shadow Chancellor, in a moment of lucidity, described as a “lifeline”. This Government are acting, and will continue to act, for tenants.
ParlaMint-GB_2020-07-20-commons.u42	The evictions ban ends on 23 August and the Government could have already brought in this Bill, raised LHA temporarily to average rents, scrapped section 21 or given courts discretion in arrears cases, but they have not done any of those things and thousands of people are struggling with rent now. So will the Minister guarantee to honour the words of the Secretary of State in March: no one should lose their home as a result of the coronavirus” Yes or no?
ParlaMint-GB_2020-07-20-commons.u43	I know that the hon. Lady is coming under pressure from her extreme left wing to, in essence, write off all rents. I am not entirely sure who that is expected to help—it certainly will not help those people who are working very hard to pay their rents. As I said, the Government have brought forward an array of measures to support hard-pressed renters. We have introduced measures that will support those people. I believe my right hon. and learned Friend the Lord Chancellor is about to introduce a measure that will make it difficult for landlords who do not show “good cause” in bringing their application to court by describing what the effect on their tenants will be of an eviction—the courts will be able to adjourn those actions. That is practical support for people on the ground, not pie in the sky from the hon. Lady.
ParlaMint-GB_2020-07-20-commons.u44	What steps he is taking to support the safe reopening of high streets as covid-19 lockdown restrictions are eased.
ParlaMint-GB_2020-07-20-commons.u45	My Department has brought forward a range of measures to support the safe reopening of high streets across England, including providing flexibility for outdoor dining, which has helped to create an al fresco dining renaissance in this country; enabling business to operate on takeaways; making it easier to hold outdoor markets; and pedestrianising town centres and high streets to support local businesses. That is in addition to the Government’s VAT cut for hospitality, the eat out to help out scheme and the £50 million reopening high streets safely fund.
ParlaMint-GB_2020-07-20-commons.u46	The Secretary of State and his Housing Minister are welcome to come for a bit of al fresco dining in Bexhill and Battle whenever they are around. I give credit to both of them for the way in which they have helped to reform the planning system so that high streets can reopen. Will they take further steps, if required, particularly in respect of temporary structures, where help with permitted development rights could be given, if that were so needed?
ParlaMint-GB_2020-07-20-commons.u47	I am grateful to my hon. Friend for those kind words. We are certainly open to further measures that we can take to make the lives of small businesspeople across the country easier as they seek to recover their businesses and livelihoods after the pandemic. In particular, I can give him reassurance that the existing legal framework that enables one to put up a temporary structure for 28 days is being extended to 56 days during 2020 to enable, for example, a pub to put up a marquee, a restaurant to do the same, or a market to operate for longer than it would ordinarily do—all designed to help local businesses to prosper in the weeks and months to come.
ParlaMint-GB_2020-07-20-commons.u48	Question 16 has been withdrawn, so we come to the shadow Secretary of State, Steve Reed.
ParlaMint-GB_2020-07-20-commons.u49	I am grateful to you, Mr Speaker, for allowing me to ask the supplementary despite my hon. Friend the Member for Newport East (Jessica Morden) being held up Does the Minister recognise that after all Government funding is taken into account, including the emergency funding, councils still face a funding gap of between £6 billion and £10 billion, while they are of course required by law to balance their budgets in-year and take appropriate measures to ensure that that happens? How many jobs does he estimate will be lost as councils are forced to make severe cuts to plug this gap?
ParlaMint-GB_2020-07-20-commons.u50	Our engagement with councils has enabled us to understand pressures at a national and local level across England. To date, we have announced £4.3 billion-worth of additional resource to councils, including £3.7 billion of unring-fenced funding. We have also announced the sales fees and charges co-payment scheme to compensate for irrecoverable income loss that is designed to flex according to the extent of the losses as they crystallise. We will also extend the period over which councils must manage shortfalls in local tax income relating to this financial year from one year to three years. All those measures are intended to prevent councils from having to make difficult in-year decisions. I reiterate the message that I have now sent out countless times to individual authorities: any authority facing an unmanageable situation should make contact with my officials.
ParlaMint-GB_2020-07-20-commons.u51	What discussions he has had with the Secretary of State for Health and Social Care on the role of local authorities in helping to prevent local outbreaks of covid-19.
ParlaMint-GB_2020-07-20-commons.u52	My Department has been working closely with the Joint Biosecurity Centre and the Department of Health and Social Care to develop a framework for the local management of further outbreaks of coronavirus, and councils will play a crucial role in this process. All upper-tier local authorities have published their local outbreak control plans. I am in regular contact with my counterparts at DHSC. We gave new powers to councils to control local outbreaks of covid-19 that came into effect only this Saturday.
ParlaMint-GB_2020-07-20-commons.u53	Eighteen of 55 patients who tested positive for coronavirus were transferred from North Tees University Hospital into local care homes between 1 March and 15 April. That was directly in line with the Government advice that a negative test was not required before discharge. A further 266 were transferred without a test. The policy changed on 16 April, but does the Minister accept that many deaths on Teesside, and perhaps thousands across the country, could have been prevented if the Government had got it right in the first place?
ParlaMint-GB_2020-07-20-commons.u54	I pay enormous tribute to the care workers on Teesside and of course to our local NHS, which we share as Teesside MPs. This has been a constantly evolving and very complex situation, as Governments around the world, including our own, have obviously learned as matters have progressed. We have acted consistently and in good faith throughout. We have worked very hard with the care sector to protect patients. The £600 million infection control fund that we have instigated is designed to ensure that the care sector is safe, with a strong measure of containment against the disease for patients going forward.
ParlaMint-GB_2020-07-20-commons.u55	The Minister may not know this, but on 1 June, following the Prime Minister’s appearance at the Liaison Committee, I wrote to him about local authority involvement in tackling this virus. In particular, I asked him to “give an assurance that data will be shared fully with all partners…In particular…directors of public health.” I have not had a response to that letter, but I have heard from Greg Fell, the director of public health in Sheffield, and other directors that they are only getting generalised data—they are not getting, on a daily basis, the names, addresses and NHS numbers of those infected and those they have been in contact with. Does the Minister accept, therefore, that while this information is held by Public Health England, it needs to be passed on to directors of public health, and passed on quickly, and will he give an assurance that that will happen this week?
ParlaMint-GB_2020-07-20-commons.u56	Since 24 June, all local authorities have been able to access postcode-level testing data through their director of public health, and that is securely shared by PHE on a weekly basis. I understand that that has been going on pretty much from the moment that it became available. PHE also shares information with local directors of public health as part of the routine investigation of outbreaks and incidents. That includes information on individual cases and their contacts, as required, to support the public health response.
ParlaMint-GB_2020-07-20-commons.u57	The Health Secretary quite rightly praised my local council of Blackburn for its efforts to bring down infection rates. I quote: “On Blackburn, I think the council… are doing a fantastic job… they’ve taken… steps locally and I applaud that. This is exactly the sort of local action we want to see.” Although Councillor Khan welcomes the praise, as do the communities that have worked closely with the council through this difficult time, does the Minister recognise that they have been failed by the test and track system? I raised that in the House last week. Data made available to me over the weekend shows that only 43% of people from the national service have been contacted successfully. Does he accept that the additional burden on the council requires resources to help keep services running and keep our communities safe? They need the funding now. Finally, will Minister agree to meet me and Councillor Khan to discuss the challenges going forward?
ParlaMint-GB_2020-07-20-commons.u58	I thank the hon. Lady for her question. It is obviously very important we get control of the situation in Blackburn. Public Health England and NHS Test and Trace are actively working with Professor Harrison and his colleagues there to ensure a rapid solution is implemented to support their local work. Clearly, this is precisely why we have allocated £300 million to support the wider test and trace programme. We are also supporting Professor Harrison and his team with additional mobile testing capacity and a local visit in order to better understand how the needs of the community in Blackburn can be supported. I am obviously very happy to meet the hon. Lady and Councillor Khan to discuss how we take this forward, as I have with a number of other authorities in a similar situation.
ParlaMint-GB_2020-07-20-commons.u59	To ask the Secretary of State for Housing, Communities and Local Government, what steps he is taking to ensure that new housing is of the highest standard of environmental sustainability.
ParlaMint-GB_2020-07-20-commons.u60	Our proposed future homes standard will ensure all new homes from 2025 result in at least 75% lower carbon emissions than those built to the current standard. Earlier this month, the Chancellor announced £8.8 billion of new infrastructure, decarbonisation and maintenance projects, including a £3 billion green investment package, which could help support around 140,000 green jobs, and upgrade buildings and reduce emissions.
ParlaMint-GB_2020-07-20-commons.u61	Can I urge the Secretary of State to look at the letter from 18 conservation groups, deeply worried this morning by the fact that they believe that the planning system is going to be radically deregulated? Does he not agree that we want sustainably built homes in sustainable locations? Will he talk to the Secretary of State for Environment, Food and Rural Affairs and get his act together over this suggestion that there will be no more environmental impact assessments worthy of that name?
ParlaMint-GB_2020-07-20-commons.u62	I can give this assurance to the hon. Gentleman: the planning reforms that we intend to bring forward in the weeks ahead will not row back on any of our commitments to the environment. This Government want to bring forward homes that are truly fit for the future. We do not want to see homes being built in the years ahead that will need to be retrofitted at huge expense either to the state or to individuals in time. We want to ensure that we meet our obligations to the environment, to biodiversity and to the climate change challenge, and that is exactly what the proposals that I intend to publish later this month, or at the beginning of August, will do.
ParlaMint-GB_2020-07-20-commons.u63	What steps his Department is taking to ensure that dangerous cladding is removed from residential buildings of all heights.
ParlaMint-GB_2020-07-20-commons.u64	We are taking action with the biggest reforms of building and fire safety in nearly 40 years through the Building Safety Bill, which we are publishing in draft form today. To tackle the most urgent problems, we have made available £1.6 billion to remove unsafe cladding systems, so there should be no excuse for further delay. We have made progress. Over two thirds of high-rise buildings with the most dangerous Grenfell-type aluminium composite material, or ACM, cladding have either been completed or they have started their remediation.
ParlaMint-GB_2020-07-20-commons.u65	With applications for more than 1,000 buildings made to the building safety fund already, it is clear that £1.6 billion will not be anywhere near enough to remedy all high-risk residential buildings that still have dangerous cladding, more than three years after the Grenfell Tower fire. The Government are trying to find ways to fit a potential £15 billion liability into a £1.6 billion funding pot. Will the Minister commit to release more funding in line with the Select Committee recommendation to ensure that all fire safety defects in every high-risk residential building are addressed, allowing residents to live safely in their homes without fear of bankruptcy?
ParlaMint-GB_2020-07-20-commons.u66	I am obliged to the hon. Gentleman for his question. To date, we have received 1,378 completed registration forms for the building safety fund. We expect the money made available by the Chancellor in this fiscal year to be fully allocated by March, so that the buildings that most need remediation where the owners were not able to act quickly can be helped. We have always made it clear that we expect a significant proportion of remediation costs to fall on the shoulders of those responsible for the original work or the building owners, and certainly not on the leaseholders.
ParlaMint-GB_2020-07-20-commons.u67	Although we welcome the publication, finally, of the draft Building Safety Bill today, the Department’s own figures highlight the fact that 246 buildings are still wrapped in Grenfell-style cladding and thousands more are cladded in equally flammable materials. How will the measures outlined in the Bill speed up remediation while increasing the size and the scope of the building safety fund?
ParlaMint-GB_2020-07-20-commons.u68	Some 72% of buildings that had ACM cladding have had that cladding removed. I refer to the hon. Gentleman to the Adjournment debate secured by the hon. Member for Bethnal Green and Bow (Rushanara Ali) to which I replied. I said that tough enforcement action is on its way for those owners that are responsible but are not taking action to remediate their buildings. I look forward to working with the hon. Gentleman as the Building Safety Bill passes through this House and the other place to make sure that we have a good Bill that is fit for purpose. This Government are committed to doing so; I trust he is, too.
ParlaMint-GB_2020-07-20-commons.u69	What steps he is taking to support house building by housing associations.
ParlaMint-GB_2020-07-20-commons.u70	We have announced a £12 billion investment in affordable homes, the largest in a decade. That will deliver up to 180,000 new affordable homes across England, with the vast majority delivered by 2026. That is building on our previous £9 billion affordable homes programme, which delivered about 250,000 affordable homes. Figures published last week show the highest number of starts of affordable homes since records began in 2010, and a 91% increase in homes for social rent over the year. We have also extended the previous programme by one year to ensure delivery of homes that would otherwise, regrettably, have been lost because of covid disruption.
ParlaMint-GB_2020-07-20-commons.u71	The Prime Minister says that we need to build, build, build, and that is absolutely the right approach. Will my right hon. Friend the Minister for Housing join me in praising Bishop Llewellyn Graham and everyone at Nehemiah housing association for their amazing work in West Bromwich East, and work with them to ensure that local people are skilled up so that we can get the right homes built at affordable prices?
ParlaMint-GB_2020-07-20-commons.u72	I will join my hon. Friend in thanking Nehemiah housing association for its work on housing in the west midlands over the past 20 years. Compared with the start of the decade, the number of homes built in the west midlands last year had doubled. She is right to talk about skills; delivering the homes this country needs depends on having a skilled workforce. The Construction Industry Training Board estimates that we will need 688,000 skilled construction workers if we are to deliver our target of 300,000 new homes every year.
ParlaMint-GB_2020-07-20-commons.u73	What his timetable is for bringing forward legislative proposals on leasehold and commonhold reform. [R]
ParlaMint-GB_2020-07-20-commons.u74	We are committed to reforming the leasehold market and have already set out that we will reduce ground rents to zero on future leases and ban new leasehold houses. We are also working with the Law Commission on enfranchisement, commonhold and right to manage. Given the impact of covid-19 on the agenda and the Government’s wider work to restart the economy, we will bring forward legislation on leasehold as soon as parliamentary time allows.
ParlaMint-GB_2020-07-20-commons.u75	Mr Speaker, if you and the Minister came to Worthing station and walked from there to my flat, you would walk past a site where Homes England could help Worthing Borough Council to produce extra social housing and potentially more leasehold or commonhold homes. Six times a year, on average, over the last 10 years, Ministers have talked of progress on ending leasehold abuse and providing better homes for the future, as my right hon. Friend the Secretary of State said just now. This time, can we have action, and could Ministers also look at whether statutory instrument 2020/632, the Town and Country Planning (Permitted Development and Miscellaneous Amendments) (England) (Coronavirus) Regulations 2020, takes into account the disbenefits to leaseholders of people putting extra storeys on leasehold blocks?
ParlaMint-GB_2020-07-20-commons.u76	I know that my hon. Friend has raised issues about this particular statutory instrument. We believe we need to encourage the densification of our towns and cities to allow for additional homes. In the last four years, 60,000 additional homes have been delivered through permitted development rights for change of use. This new permitted development right could deliver an extra 800 homes a year for families across our cities and help to protect the countryside too. Of course, permitted development rights remain subject to prior approval by the local planning authority on a number of matters, including the amenity of neighbours and occupiers of the block.
ParlaMint-GB_2020-07-20-commons.u77	What assessment he has made of the effect on environmental standards of the Government’s proposed planning reforms.
ParlaMint-GB_2020-07-20-commons.u78	What assessment he has made of the effect on environmental standards of the Government’s proposed planning reforms.
ParlaMint-GB_2020-07-20-commons.u79	As my right hon. Friend the Secretary of State mentioned in response to the hon. Member for Huddersfield (Mr Sheerman), the Government are committed to building not just better and faster but greener. As we consider reforms to our planning system, we are committed to ensuring that they create better outcomes for the environment and that decision making is properly informed by the science. My right hon. Friend the Environment Secretary set out this morning our intention to develop a reform framework for environmental assessment and mitigation.
ParlaMint-GB_2020-07-20-commons.u80	In 1958, planning permission was granted for Droppingwell tip to open in my constituency. The local community managed to get the tip closed in the 1990s because of their serious environmental concerns. Now, with no consultation and the vagaries of the planning system, it has been given the go-ahead again. It is likely to reopen in the very near future and is an environmental timebomb. For the last four years, I have been raising this repeatedly with the Environment Agency and the Government but to no avail. Will the Minister please meet me to look into this disastrous plan and step in to stop this unwanted and environmentally damaging development?
ParlaMint-GB_2020-07-20-commons.u81	I have every sympathy for the hon. Lady and her concerns in championing her constituents. I would point out that in my quasi-judicial role I cannot discuss individual planning matters, but I will refer her concern to my right hon. Friend the Environment Secretary, and of course if she wants to talk to me about a broader range of issues, I would be very happy to do that.
ParlaMint-GB_2020-07-20-commons.u82	Hounslow Council’s new council housing will no longer have gas boilers installed, only the newest low-energy systems available. Both the leader of Hounslow, Councillor Steve Curran, and community organisation Brentford Voice have said they would like national planning policies to require all new developments to incorporate low-emission energy systems. Will the Housing Secretary’s reforms require all new homes to be zero-carbon and affordable to run, yet still to be warm in winter and cool in summer?
ParlaMint-GB_2020-07-20-commons.u83	We were the first Government in the world to legislate to be zero-carbon by 2050, and we intend to meet that pledge, which is why we have introduced the future homes standard to reduce carbon emissions from homes built after 2025 by between 75% and 80%. I am prepared to listen to and consider all proposals to make us greener and better, and I look forward to hearing those proposals from the hon. Lady.
ParlaMint-GB_2020-07-20-commons.u84	What recent assessment he has made of the effect of trends in the level of second home ownership on local communities.
ParlaMint-GB_2020-07-20-commons.u85	Second homes can bring significant benefits to local areas, including boosting tourism, consumer spending and investment in the local economy. However, we are aware of the need to balance this with the housing needs of local people. We have taken decisive action to address these challenges through the introduction of a stamp duty surcharge on second homes.
ParlaMint-GB_2020-07-20-commons.u86	Excessive second home ownership robs communities of life, schools and other services. Does the Minister understand, then, why people in the south Lakes are so appalled that the Government have chosen to give a £15,000 stamp duty bonus to those lucky enough to be able to afford a second home? When there are 3 million hard-working people excluded from Government support at the moment, are these not appalling priorities? Will he end the second homes bonus and instead support the 3 million excluded?
ParlaMint-GB_2020-07-20-commons.u87	Second home owners contribute significantly to the economy of many parts of our country, particularly those parts that rely on the tourist economy. I remind the hon. Gentleman that, in 2013, we removed the requirement to offer a council tax discount on second homes, and 95% of the 253,000 second home dwellings now have council tax applied to them. It is very important that we balance the needs of the local economy with the rights of local people. We think we have got that balance right as we try to get this country through a very difficult epidemic, and every penny spent locally matters to local businesses and people.
ParlaMint-GB_2020-07-20-commons.u88	If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2020-07-20-commons.u89	This week, we announced the most significant reforms to building safety legislation in 40 years, delivering new and enhanced regulatory regimes. I welcome the voices of all right hon. and hon. Members, on both sides of the House, as we move this critical legislation forwards Earlier this month, we set out our comprehensive financial plan to ensure that local councils can proceed with their crucial work with confidence, including a one-of-a-kind scheme reimbursing councils for lost income, measures to spread tax deficits, and an extra £500 million in un-ring-fenced funding. We are also making sure that as we recover from the pandemic, our communities can bounce back with investment in housing and infrastructure and for our town and city centres. Our announced reform of use classes will help to revitalise high streets and town centres, and the Chancellor’s stamp duty cut will help many to realise their dream of owning a home.
ParlaMint-GB_2020-07-20-commons.u90	Many councils have had to use emergency accommodation and hotels to house rough sleepers during coronavirus. As we look to winter, it will not be possible to build enough social housing within the timeframe required to ensure that people are able to stay off the streets, and many options will need to be considered: for example, social lettings agencies could be established to deal with private rental procurement for vulnerable people and homeless people to access accommodation. All options require funding, so what measures is my right hon. Friend considering to keep vulnerable people off the streets come winter?
