ParlaMint-GB_2020-03-03-lords.u1	To ask Her Majesty’s Government what assessment they have made of the costs of clinical negligence.
ParlaMint-GB_2020-03-03-lords.u31	My Lords, all terrorist offenders, and offenders of concern, are subject to specialist multiagency case management to support their disengagement and manage their risk. We have a network of counterterrorism prison and probation specialists, and we utilise tailored interventions—psychological, ideological and theological —to facilitate disengagement. The most high-risk radicalisers can be managed in specialist separation centres.
ParlaMint-GB_2020-03-03-lords.u32	I am grateful for the Minister’s reply, but there is increasing evidence that our overcrowded and understaffed prison system is failing to rehabilitate and deradicalise prisoners convicted of terrorist offences. There is also evidence that these prisoners are being further radicalised while serving their sentences. The Minister will know that the main deradicalisation programme is Healthy Identity Intervention, which has had some success, as we have heard. Can the Minister confirm that prisoners who are willing to go on this programme find they cannot get on to it before their release date? Can the Minister tell the House what impact cuts to the Prison Service are having on these rehabilitation and deradicalisation programmes, which keep the public safe on the prisoners’ release?
ParlaMint-GB_2020-03-03-lords.u33	My Lords, there are essentially three interventions: the theological and ideological interventions programme, the healthy identities programme, and the desistance and disengagement programme. To assist with the delivery of these, we have recruited 22 specially trained imams to engage with such prisoners during their period of custody. In addition, we have recently announced a major investment in counterterrorism resources, including doubling the number of counterterrorism specialist probation staff, to address these issues after release from custody.
ParlaMint-GB_2020-03-03-lords.u34	My Lords, can the Minister put some flesh on the bones of this? How many prisoners who are subject to these special programmes have in fact been able to attend them? On how many days in the last year have those programmes not taken place because the prisoner has not had an escort in the prison to take them to those services? If he does not have those statistics, can he tell us how on earth any Minister can come to this House or the other place and give us assurances about that without knowing how often those programmes are disrupted because of staff shortages in the prisons?
ParlaMint-GB_2020-03-03-lords.u35	My Lords, it will not surprise the noble Lord that I do not have the precise statistics he has asked for, in particular the number of days when escorts were not available, but I will take steps to secure the relevant statistics—in so far as they are available—and will write to the noble Lord and place a copy of the letter in the Library.
ParlaMint-GB_2020-03-03-lords.u36	My Lords, my noble and learned friend will be aware of the well-documented concerns around those who are radicalised in prison. Does he have the statistics for offenders serving time for non-terrorist-related offences who subsequently, on release, have been convicted of terrorist-related offences? If he does not have those figures today, will he agree to write to me and to place a copy of the answer in the Library?
ParlaMint-GB_2020-03-03-lords.u37	My Lords, I confess that I am not sure such figures will be available. I will take steps to identify whether they are but, as I say, I express doubts as to whether they are. In the event that such statistics are available, I undertake to write to the noble Baroness and to place a copy in the Library.
ParlaMint-GB_2020-03-03-lords.u38	My Lords, I declare my interest as director of the Sikh Prison Chaplaincy Service. Does the Minister agree that chaplains must be at the forefront of any move to tackle radicalisation in prisons? To do this, they have to place dated social and political norms embedded in religious texts in the context of today’s times. Will the Minister agree to meet me to discuss Sikh chaplaincy initiatives to do this and reduce reoffending rates, and how this experience might possibly be used to the benefit of other faiths?
ParlaMint-GB_2020-03-03-lords.u39	My Lords, I mentioned earlier that 22 imams were engaged in the chaplaincy intervention programme; there is also one Sikh chaplain engaged in that programme. Each of those chaplaincy employees has undergone specialist training with regard to intervention and counterterrorism work. They are subject to vetting and due diligence checks. I am content to meet the noble Lord in due course to discuss this further.
ParlaMint-GB_2020-03-03-lords.u40	My Lords, the Minister mentioned the enlightened separation units recommended by Ian Acheson for serious terrorist offenders, to assist their deradicalisation and prevent the radicalisation of other prisoners. The Government accepted the recommendation, the Prisons Minister describing it as “a crucial part of our wider strategy” Now, more than three years on, only one is open—at HMP Frankland—causing Mr Acheson to express his dismay on BBC radio in January. When will there be more, and why the delay?
ParlaMint-GB_2020-03-03-lords.u41	My Lords, there has been no delay in this matter. There are currently three separation centres available—at HMP Frankland, HMP Woodhill and HMP Full Sutton, which are all high-security prisons. They have capacity for 28 individuals. However, given the number of individuals selected for that separation, only one of those facilities is actually in use.
ParlaMint-GB_2020-03-03-lords.u42	My Lords, I am sure the Minister understands the seriousness of the issue, but I am concerned about two questions asked today—by the noble Baroness, Lady Warsi, and the noble Lord, Lord Harris of Haringey—specifically about what I think are very important statistics that are necessary to understand the scale of the problem if we are to properly tackle it. On both questions, the Minister was unable to give figures and, indeed, was unsure whether such figures were available. I ask that he meet noble Lords concerned about these issues to look at the kind of information we need in order to fully understand and tackle the problem. If his responses are going to be, “I haven’t got that information” and “I don’t know if it’s available”, there will be some concern about the seriousness with which the Government take this.
ParlaMint-GB_2020-03-03-lords.u43	My Lords, I do not accept that characterisation of my responses. The noble Lord, Lord Harris, asked for very specific statistics which I do not have to hand. That would hardly surprise anyone in this House. I undertook to determine what those statistics were and to write to him. A question of further statistics was raised. I am not certain that they even exist, but I will take steps to discover that. Regarding a meeting with concerned noble Lords, my door is always open. If they wish to contact my private office, they should, as they have in the past in some instances.
ParlaMint-GB_2020-03-03-lords.u44	To ask Her Majesty's Government, further to the report by the Competition and Markets Authority Leasehold housing: update report, published on 28 February, what plans they have to help homeowners who find themselves in unfair leasehold agreements.
ParlaMint-GB_2020-03-03-lords.u45	My Lords, we welcome the CMA’s report on its investigation into unfair terms and mis-selling in the leasehold market, and I commend on his work my noble friend Lord Tyrie, who led this report. The report underlines the problems caused by onerous ground rents. We have been clear that leaseholders should not pay a charge for which they have received no tangible benefit in return. That is why we have committed to legislating to reduce ground rents to zero for future leases and to banning the sale of new leasehold houses. We are pleased that the CMA is seeking to take forward enforcement cases, following the findings of its investigation.
ParlaMint-GB_2020-03-03-lords.u46	Does the Minister agree that the actions of some freeholders, property developers and service companies are scandalous? Leaseholders are ripped off with ever-escalating ground rents, service charges, commission fees and, frankly, dodgy sales practices, which effectively make home owners tenants in their own homes. Can she go further and commit that the Government will take immediate, firm action on these practices and stand up for leaseholders? Urgent action is needed now.
ParlaMint-GB_2020-03-03-lords.u47	The noble Lord is correct. These unfair practices in the leasehold market have absolutely no place in a modern housing market, and neither do excessive ground rents that exploit consumers who get nothing in return. That is why we are reforming the system so that it is fairer for leaseholders. In December 2019, we announced that we would move forward with legislation on leaseholder reform, reaffirming our commitment to making the system fairer for leaseholders. This will include measures to ban the sale of new leasehold houses, restrict ground rents to peppercorn for future leases, give freehold home owners equivalent rights to challenge unfair charges, and close loopholes to prevent unfair evictions. Regarding his question on what action we can take, the CMA has already announced enforcement action and said that this report is an interim report and that its research is ongoing.
ParlaMint-GB_2020-03-03-lords.u48	My Lords, does the Minister regret that the MHCLG ignored warnings about this crisis from the Leasehold Knowledge Partnership back in 2015? Does she accept that those victims of what the CMA now describes as “significant harm” cannot wait any longer for change? Can she explain to them what happened to Sajid Javid’s promise to change the law before summer 2018? Does she accept that leaseholders’ rights continue to be sold to speculators, with little government protection from everything from doubling of ground rents to extortionate fees for correcting issues such as dangerous cladding?
ParlaMint-GB_2020-03-03-lords.u49	I agree that the legislation has taken a long time in its gestation, but we have done a number of things since Javid’s report in the other place. For example, we have asked the Law Commission to undertake a series of reports, which it will start producing this spring, about standardising the enfranchisement process, so that buying and extending a lease is easier, cheaper and quicker. It is also going to make it easier for leaseholders jointly to obtain the right to manage and review how commonhold works, so that it may become a viable alternative for existing and new homes. Together with the leaseholders’ pledge that we put in place over a year ago in consultation with housebuilders, that has gone some way—but not nearly far enough—towards mitigating the effects of the actions of those housebuilders.
ParlaMint-GB_2020-03-03-lords.u50	My Lords, what are the Government doing to prevent house owners falling into the assured tenancy trap?
ParlaMint-GB_2020-03-03-lords.u51	I acknowledge my noble friend’s significant interest in and knowledge of this area from her position in Westminster Council. The assured tenancy trap relates to property sold as a lease but where the ground rents, due to escalation, exceed the £250 threshold outside London and £1,000 in London; in effect, it becomes an assured shorthold tenancy, meaning that the owner does not have the same rights as a normal owner and it can be repossessed if they fall into arrears. The Government are committed to addressing this issue via legislation, which will take long leases completely out of the assured shorthold tenancy regime and prevent leaseholders being affected by this issue completely.
ParlaMint-GB_2020-03-03-lords.u52	The Minister rightly condemned and regretted when home owners were ripped off; would she care to comment on Persimmon Homes? The average cost of a house it builds is £250,000, on which it makes a profit of £65,000, and a large number of its homes have already been declared unsafe in relation to fire and other matters, yet last year the chief executive received a bonus on top of his salary of £73 million. Is that not absolutely outrageous? What are the Government going to do about that?
ParlaMint-GB_2020-03-03-lords.u53	As I said in a previous answer, the Competition and Markets Authority report updating its investigation into the extent of mis-selling and onerous lease terms will address this issue—maybe not the profit motive but the consequences of past actions. I note that in an action of Cardiff Council v Persimmon, Persimmon was forced to give 55 properties sold as leasehold on the St Edeyrns estate back to freeholders in an out-of-court settlement, so they were given their leaseholds as freeholds for nothing. We would like to see more of this happening. Regrettably, it was settled out of court before it became a court case so we cannot use that settlement as a legal precedent.
ParlaMint-GB_2020-03-03-lords.u54	We recognise that the Government are taking action on a number of aspects, but there remains the problem of couples who have bought—particularly in the north and Midlands—and want to move home but find that their property is totally unsaleable. The noble Lord who raised this Question is absolutely right to do so. Will my noble friend have a closer look at this? We cannot have a situation where young couples buy what they think is a home and are stuck there unable to move.
ParlaMint-GB_2020-03-03-lords.u55	I agree with my noble friend. That is why we are working closely with the Law Commission and the CMA to inform future legislation. This has become a particular problem in the north of England. In answer to that question and that of the noble Lord, Lord Foulkes, I say that what is most disappointing is the governance of the housebuilders that have been escalating these charges. The non-executive directors of these companies should have taken a longer, harder look at their policies.
ParlaMint-GB_2020-03-03-lords.u56	That the Bill be now read a third time.
ParlaMint-GB_2020-03-03-lords.u57	My Lords, I take the opportunity to pay tribute to the Law Commission and parliamentary counsel for their work on this Bill, not least for their continuous efforts to ensure that it accurately reflects recent changes in the law. I wish to record the Government’s thanks to the noble Lords who served on the Bill’s Special Public Bill Committee in the last Parliament under the chairmanship of the noble and learned Lord, Lord Judge. I am sure that I speak for all members of the committee in thanking those who provided evidence on the Bill, but in particular Professor David Ormerod, who has done so much work in this field. We hope that the Bill marks the first step in cutting through the complexity of the law in this area, and I look forward to the imminent introduction of the sentencing code Bill.
ParlaMint-GB_2020-03-03-lords.u58	Perhaps I may say a brief word in acknowledging the debts of gratitude to which the Minister has referred. The Bill, when it is enacted, will vastly improve the administration of criminal justice. It is long overdue and thank goodness it is now nearly there.
ParlaMint-GB_2020-03-03-lords.u59	My Lords, before my noble friend repeats the Statement, I have been asked, in view of the importance of this subject, that Back-Benchers should have more time. I am pleased to say that I have agreed that they should have an extra 10 minutes, so there will therefore be 30 minutes available for Back-Benchers. However, I shall make the point—the Companion is quite clear on this—that this is an opportunity for questions, not speeches. My noble friend is very keen to answer as many questions as possible, so we would like short, focused and challenging questions— but, above all, short.
ParlaMint-GB_2020-03-03-lords.u60	My Lords, with the leave of the House, I shall now repeat a Statement made today by my right honourable friend Matt Hancock, the Secretary of State for the Department of Health and Social Care. The Statement is as follows: “Mr Speaker, with permission I would like to make a Statement on the Government’s coronavirus action plan. The situation facing the country is increasingly serious. Globally and at home, the number of cases continues to rise. As of 9 am today there were 51 confirmed cases in the UK and it is becoming more likely that we will see widespread transmission here in this country Our approach is to plan for the worst and work for the best. Yesterday I attended a COBRA meeting chaired by the Prime Minister, in which we finalised our four-part action plan to contain, delay, research and mitigate the virus. This plan has been jointly agreed between the UK Government and the devolved Administrations. Copies of the plan have been sent to Members of both Houses and made available in hard copy. The plan is driven by the science and guided by the expert recommendations of the four UK Chief Medical Officers and the Scientific Advisory Group for Emergencies Our plan sets out what we know so far about the virus and the disease it causes, what long-term planning we have undertaken to prepare for a pandemic, what actions we have taken so far in response to the coronavirus outbreak and, crucially, the role the public can play in supporting our response, both now and in the future The UK is well prepared for infectious disease outbreaks of this kind. The international data continue to indicate that for most people, this disease is mild and the vast majority recover in full. We have responded to a wide range of disease outbreaks in the recent past. The NHS has been preparing for a pandemic virus for over a decade. We have world-class expertise to make sense of the emerging data. We have a strong base on which to build While Covid-19 is a new virus, we have adapted our response to take account of that fact. Our plan sets out a phased response to the outbreak. Phase one is to contain—this is the phase we are currently in. Contain is about detecting the early cases, following up with close contacts and preventing the disease taking hold in this country for as long as is reasonably possible. This approach also buys time for the NHS to ramp up its preparations. If the number of global cases continues to rise, especially in Europe, the scientific advice is that we may not be able to contain the virus indefinitely At that point we will activate the delay phase of our plan. Delay is about slowing the spread, lowering the peak impact of the disease and pushing it away from the winter season. We are mindful of scientific advice that reacting too early or overreacting carries its own risks. So, subject to our primary goal of keeping people safe, we will seek to minimise social and economic disruption The third part of the plan is research. Research has been ongoing since we first identified Covid-19. I pay tribute to scientists at Public Health England, who were among the first in the world to sequence its genome. Research is not just about developing a vaccine—which we are actively pursuing but is many months away, at the earliest—but also about understanding what actions will lessen the impact of coronavirus, including what drugs and treatments, existing and new, will help those who are already sick. The fourth phase is to mitigate. We will move on to this phase if coronavirus becomes established in the UK population. At that point, it would be impossible to prevent widespread transmission, so the emphasis will be on caring for those who are most seriously ill and keeping essential services running at a time when large parts of the workforce may be off sick. Our plans include not just the most likely case, but the reasonable worst case. We will identify and support the most vulnerable and, if necessary, take some of the actions set out in today’s plan to reduce the impact of absentees and to lessen the impact on our economy and supply chains. We prepare for the worst and work for the best. We commit to ensuring that the agencies responsible for tackling this outbreak are properly resourced, have the people, equipment and medicine that they need, and that any new laws they need are brought forward as and when required This is a national effort. We need everyone to listen to and act on the official medical advice. We need employers to prioritise the welfare of their staff. The single most important thing everyone can do to help—and I make no apologies for repeating this—is to use tissues when coughing or sneezing and wash your hands more often. It is in your interests, in your family’s interests and in the national interest. We will get through this. Everyone has a part to play I commend this Statement to the House.”
ParlaMint-GB_2020-03-03-lords.u61	My Lords, I thank the noble Lord—the government spokesperson—for repeating this Statement. Our thoughts are always with those who have contracted the virus and we pay tribute, again, to the extraordinary efforts of the NHS and our public health staff. We, on these Benches, are clear: the public health interest must, at all times, be the priority. All the Government’s decisions must support this strategic aim and, where they follow the medical and scientific advice, they will have our support I start by raising the issue of the EU early warning and response system, of which, of course, until Brexit, the UK was a member. This early warning and response system has played a vital role in pandemic preparations in the past. It is rumoured that No. 10 overruled the Department of Health, which wished, quite rightly, to be part of the European Union’s safeguarding system at this time. The Prime Minister has said that keeping the public safe was the Government’s number one priority but has refused to seek to retain or apply for membership of the EWRS because of the negotiations taking place at the moment. I understand that the Secretary of State agrees with those of us who believe that tackling fast-moving, global outbreaks—including this virus—could become harder if the UK loses access to the EU’s early warning system for cross-border threats, so I urge the Government to urgently review this stance The PM says that there is significant risk of the virus becoming widespread, meaning further measures might be necessary, and that emergency legislation may be necessary to give the Government the powers they need to implement the action plan. I would be grateful if the Minister could set out some kind of timetable for emergency legislation. Will it be primary and secondary legislation, and which department will take the lead? The plan sets out what the Government could do to contain the virus on the basis of scientific evidence. Drastic steps, such as closing schools, would have major social and economic consequences, so can the Minister advise the House on how they plan to seek a balance We agree with the Government’s strategy to contain, delay, research and mitigate, and indeed it has our endorsement. However, can the Minister explain why we have not followed other nations by imposing a travel ban to the UK from higher-risk countries such as Italy, Iran, China and South Korea Are the Government undertaking workforce planning as a consequence of self-isolation? This has huge implications both for this stage and the peak stage, in which the Government recognise that up to a fifth of workers could be absent from work. The Prime Minister said today that workers who self-isolate will be considered to be on sick leave. Can he confirm that those who need to self-isolate will not need to visit a GP to receive a sick note Two million workers on low pay or insecure contracts in the gig economy do not even qualify for statutory sick pay. The GMB trade union points out that NHS trusts have a huge number of outsourced staff and that a large number of companies providing NHS services do not pay sick pay for the first three days. Therefore, we are looking at cleaners, porters and catering staff who might put their own health at risk when we need them to contain the coronavirus, because they will not be paid if they go off sick. Therefore, I ask that NHS trusts, for example, guarantee that all staff are given full sick pay if they have to self-isolate Equally, what action will be taken to reduce the requirements placed on those in receipt of benefits who will not physically be able to attend appointments if they need to self-isolate? Can the Minister guarantee that no financial sanctions will be imposed? No one should be faced with having to make a choice between their health and hardship. Therefore, when the Government consider emergency legislation, will they bring forward legislation to remove those barriers to self-isolation so that all workers can get the sick pay that they deserve We know that the elderly and those with chronic underlying long-term conditions such as diabetes or cardiovascular conditions are vulnerable. What is the Government’s latest advice to providers of social care for those in residential settings or staff visiting elderly and vulnerable people in their homes On the NHS more broadly through the mitigation phase, we know that last week 80% of critical care beds were occupied. Can the Minister clarify how many beds are available should we need them, and how quickly can ICU beds be opened up? Can we be assured about the extra resource that will be made available to health trusts? Every sample for testing will carry a cost, and that will soon build up. As people self-isolate, that will affect the NHS workforce, and trusts will be forced to take on more agency staff. If retired staff are encouraged to return to practice, the wage bill will increase. Can the Minister explain how retired staff returning will be engaged and protected, and what oversight will be put in place to ensure that they deliver safe care if the revalidation process is to be suspended for retired returnees Will the Government provide emergency funding to cover the NHS resource budget and support the NHS through this next challenging period? For example, it is possible that thousands of elective surgeries will have to be cancelled Directors of public health are preparing a local response to Covid-19, yet they still do not know what their public health allocation for the next financial year, starting next month, will be. It means that they will be cutting the nurse workloads that they are commissioning at a time when we need those nurses to cover these cases Finally, on global efforts to contain the virus, I have already mentioned the European Union EWRS. We will not contain the virus internationally, nor will we be able fully to protect ourselves if the outbreak becomes uncontrolled in countries with weaker health systems. What assistance are we offering the World Health Organization with the international response to Covid-19 We will continue to raise our concerns responsibly when we have them but, on these Benches, we also pledge to work constructively with the Government, because the public health interest must always come first.
