ParlaMint-GB_2020-10-13-commons.u1	What assessment he has made of the effect of the National Security Law on the people of Hong Kong.
ParlaMint-GB_2020-10-13-commons.u15	About 650 million girls were removed from primary and secondary education at the pandemic’s peak, and some risk dropping out of school permanently, so we must mobilise global investment and commitment to get education back on track and defeat the global learning crisis. The UK is proud to be co-hosting the Global Partnership for Education 2021 financing conference. We have adapted our education aid programming, and have committed new funding to UNICEF, Education Cannot Wait and the United Nations Population Fund to address the impacts of covid-19 on women and girls. We will use our presidency of the G7 next year to rally the international community for greater support for girls’ education.
ParlaMint-GB_2020-10-13-commons.u16	I certainly welcome the Prime Minister’s announcement yesterday about the summit on global education. One reason girls are prevented from receiving education is that they are forced into child marriage. A recent Save the Children report revealed that a further 2.5 million girls are at risk of being forced into marriage by 2025 because of the current pandemic. With that in mind, will the Minister assure me that the FCDO will ensure that programmes to end the heinous practice of child marriage are at the centre of international development strategy?
ParlaMint-GB_2020-10-13-commons.u17	My hon. Friend raises an important point, and ending child marriage is key to delivering the Prime Minister’s commitment of championing 12 years of quality education for girls. Since 2015, our £39 million flagship programme has helped to reach just under 40 million people with information designed to change attitudes towards child marriage. The UK will continue to use its development programmes and global leadership to end child marriage.
ParlaMint-GB_2020-10-13-commons.u18	Yesterday, the Prime Minister spoke about his manifesto commitment that every child should have the best possible chance to have an education, yet development spending on primary education has been cut by more than 27% this year, which is evidence of a Government without a strategic direction who cannot be trusted to deliver on their rhetoric. Will the Minister tell us whether the Prime Minister is aware that the Foreign Secretary is cancelling and postponing programmes that would enable girls to have a safe education, such as the one investing in adolescent girls in Rwanda?
ParlaMint-GB_2020-10-13-commons.u19	The UK is a world leader in both our educational expertise and our development spend, and during the official development assistance prioritisation process difficult but necessary decisions were made to meet our 0.7% ODA commitment. However, the process has ensured continued support and commitment to ODA priorities, including girls’ education. On Rwanda, the issue was raised with the Prime Minister at the Liaison Committee. A tough decision was taken, but the UK has protected schools and education spending across the world. We continue to support women and girls in Rwanda to have a decent education, and our spend in the country is expected to total approximately £13.6 million.
ParlaMint-GB_2020-10-13-commons.u20	With reference to the resolution of the House of 13 October 2014, what steps the Government are taking to recognise the state of Palestine alongside the state of Israel, as a contribution to securing a negotiated two-state solution.
ParlaMint-GB_2020-10-13-commons.u21	What diplomatic steps he is taking to help secure peace between Israel and the Palestinian people.
ParlaMint-GB_2020-10-13-commons.u22	The UK is a strong supporter of Palestinian state building efforts. In 2019, we spent £81 million in the Occupied Palestinian Territories. Part of that contribution is helping to build Palestinian state institutions; fostering private sector-led sustainable economic growth; and providing technical assistance to strengthen the Palestinian Authority’s financial management. However, such progress can never be a substitute for a political settlement, which is why the Foreign Secretary visited Israel and the Occupied Palestinian Territories in August actively to encourage Israel and the Palestinian leadership to renew co-operation and work together. I also discussed this matter with UN special co-ordinator Mladenov on 1 October.
ParlaMint-GB_2020-10-13-commons.u23	That is not an answer. Six years ago today, this House voted by 274 votes to 12 to recognise the state of Palestine. Three years ago, the Prime Minister, then Foreign Secretary, said that “you have to have a two-state solution or else you have some kind of apartheid system” How can there be a two-state solution without two states? The UK’s recognition of the state of Israel shows that we respect its non-negotiable rights. Why should our recognition of the state of Palestine be a matter for negotiation? Are Palestinians entitled to less respect and fewer rights than the Israelis?
ParlaMint-GB_2020-10-13-commons.u24	As I have said, the UK Government have supported the Palestinian Authority in putting in place the building blocks for a future Palestinian state, which we recognise. We have been very vocal that our preferred option is a safe, stable two-state solution, with a prosperous and peaceful Palestinian state neighbouring a prosperous and peaceful Israeli state.
ParlaMint-GB_2020-10-13-commons.u25	The middle east is changing before our eyes and the significance of Israel’s peace agreements with the UAE and Bahrain cannot be overstated. Does my right hon. Friend agree that this new development between Israel and her Arab neighbours changes the narrative, creates a new dynamic in the region, and gives rise to new hope for a peace deal?
ParlaMint-GB_2020-10-13-commons.u26	The normalisation of relations represents a move towards peace in the region, and the UK strongly welcomes that. We encourage other states to choose the same path, but, ultimately, there is no substitute for direct talks between the Palestinians and Israel, which is the only way to reach a two-state solution and a lasting peace. We do hope that normalisation can encourage dialogue between the parties and the UK stands ready to support such efforts.
ParlaMint-GB_2020-10-13-commons.u27	What the Government's policy is on promoting human rights, democracy building and the rule of law internationally, following the merger of his Department and the Department for International Development.
ParlaMint-GB_2020-10-13-commons.u28	The UK is committed to the promotion and protection of human rights, democracy and the rule of law acting as a force for good in the world. The UK is one of the longest standing members of the Human Rights Council, and we are aiming to maintain that record at today’s election. Another good example is our recent activity at the UN on China, which shows our commitment to defending human rights in Xinjiang.
ParlaMint-GB_2020-10-13-commons.u29	I welcome the Minister’s words, but may I refer him and his words to the situation in Colombia where, since the signing of the peace deal in 2016, we have seen hundreds of human rights defenders, civic leaders, trade unionists and former FARC—Fuerzas Armadas Revolucionarias de Colombia—members murdered, and where the fragile democratic process saw the FARC move from the armed struggle to the political process. Will the Minister commit to making Colombia a priority for this Government and will he or one of his colleagues commit to meeting a small delegation of MPs who are concerned about Colombia?
ParlaMint-GB_2020-10-13-commons.u30	I thank the hon. Gentleman for his question. He is absolutely right to raise this matter. We believe that democracy, human rights and the rule of law are the absolute foundations on which open, stable and prosperous societies thrive. I am more than happy to commit on behalf of the Under-Secretary of State for Foreign, Commonwealth and Development Affairs, my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton), to meet the hon. Gentleman to discuss this issue.
ParlaMint-GB_2020-10-13-commons.u31	The International Development Committee is currently holding an inquiry into sexual abuse and exploitation by aid workers of the beneficiaries, and I am ashamed to report that we are finding that it is rife. I welcome the fact that the new Department has brought forward a safeguarding document as one of its first publications. However, will the Minister please comment on why the FCDO’s terms and conditions for staff say: “Sexual relations with beneficiaries are strongly discouraged”? Why is this not gross misconduct when there is an obvious power imbalance, and what will the Minister do to remedy this immediately?
ParlaMint-GB_2020-10-13-commons.u32	I thank the hon. Lady for raising a very important issue. I do not have those terms and conditions in front of me, but I am more than happy to meet her to discuss what sounds like an incredibly serious point that she has raised.
ParlaMint-GB_2020-10-13-commons.u33	Of course, what the Minister forgets is that the reason we are getting a seat on the UN Human Rights Council today is that the seat is uncontested. We actually have no representatives—a historic low—on any of the main committees of the 10 United Nations human rights treaty bodies and we have already failed to get elected to the International Court of Justice for the first time since world war two. Human rights barrister Amal Clooney resigned as a UK envoy, saying that it was untenable for her to urge other states to respect and enforce international obligations when the UK declares that it does not intend to do so itself. With so many crucial human rights abuses that we should be rightly taking leadership on, does the Minister accept that we undermine our position when his fellow Ministers undermine the rule of law and our commitment to human rights?
ParlaMint-GB_2020-10-13-commons.u34	No, I do not accept that whatsoever. We have clearly set out our reasons for introducing the measures related to the Northern Ireland protocol. We need to create a legal safety net to protect the integrity of our internal market and ensure that we can deliver on our obligations. The UK Internal Market Bill is a defensive, precautionary and proportionate measure to safeguard the integrity of the United Kingdom.
ParlaMint-GB_2020-10-13-commons.u35	What recent representations he has made to his Brazilian counterpart on climate change and protection of the Amazon rain forest.
ParlaMint-GB_2020-10-13-commons.u36	On 7 October, the Foreign Secretary held a strategic dialogue with his Brazilian counterpart which covered a number of topics of mutual interest, including trade, security and human rights. The Foreign Secretary raised the issue of climate change and the need to protect the Amazon from further deforestation. We run major programmes on sustainable agriculture and deforestation with various stakeholders in Brazil that totalled £259 million between 2012 and 2020. Climate change is one of the most important global issues, and international co-operation is vital to tackling it. As COP26 president, the UK will continue to work in partnership with Brazil on this important issue.
ParlaMint-GB_2020-10-13-commons.u37	Some 58.4% of the Amazon rain forest sits within Brazilian borders. I am glad that the Foreign Secretary is raising the issue of climate change, but it is not one of the greatest issues facing the world; it is the biggest issue facing the world. Coronavirus is bad, but the longer-term problems of climate change could consume various countries around the world through flooding or deforestation. With COP26 now moved to next year, will the Minister make far more robust representations—not just to the Brazilian Government, but to many South American Governments—about the prioritisation of stopping illegal logging and the process of deforestation?
ParlaMint-GB_2020-10-13-commons.u38	As I said in my previous answer, the Foreign Secretary had a strategic dialogue with his Brazilian counterpart, and both countries have affirmed that they will work to ensure that the COP delivers substantial negotiated outcomes in the fight against climate change. We believe that climate change is one of the most important global issues, and will be working not just with Brazil but with other countries to tackle this important issue.
ParlaMint-GB_2020-10-13-commons.u39	What recent representations he has made to the Iranian authorities on the intimidation of BBC Persian journalists in that country.
ParlaMint-GB_2020-10-13-commons.u40	The attacks against BBC Persian employees and their families, and threats to an entirely legitimate media organisation, are unacceptable. We raise this harassment regularly with the Iranian Government, as well as at the Human Rights Council. We will continue to defend BBC Persian’s editorial independence. We most recently raised our concerns about media freedom in Iran in an E3 Foreign Ministers’ letter to Iranian Foreign Minister Zarif on 22 September.
ParlaMint-GB_2020-10-13-commons.u41	I thank the Minister for that reply and for sharing the concerns about this serious issue. Will he give us some information on what responses the Foreign Office has received from the Iranian authorities to such representations? The BBC journalists themselves get very little feedback on this issue.
ParlaMint-GB_2020-10-13-commons.u42	Sadly, the Iranian authorities have yet to provide any kind of justification for their actions that stand up to scrutiny. Their behaviour is indefensible, and we are confident that our Iranian contacts, including Foreign Minister Zarif, fully understand our concerns and our condemnation of such harassment.
ParlaMint-GB_2020-10-13-commons.u43	What proposals the Government have put forward to the UN Security Council on a resolution to the conflict over Nagorno-Karabakh.
ParlaMint-GB_2020-10-13-commons.u44	We remain deeply concerned about the conflict in Nagorno-Karabakh, and call on all parties to take every measure possible to protect civilians. That is why, on 29 September, the UK called for discussion at the UN Security Council. The day before that, on 28 September, I spoke to both the Azerbaijani and the Armenian Foreign Ministers to urge a return to dialogue under the OSCE Minsk group to ensure a peaceful and sustainable settlement.
ParlaMint-GB_2020-10-13-commons.u45	The Minister will know that there are more Azeris living in Iran than there are in Azerbaijan—some 50 million of them, who hold great sway and influence. Russia, on the other hand, is firmly committed to supporting Armenia in this conflict, and that could see the Russian and Iranian co-operation in the Syrian war come under severe strain. What concerns does the Minister have about the potential for Iran to become embroiled in the dispute, and what steps is her Department taking to avoid that situation?
ParlaMint-GB_2020-10-13-commons.u46	As I clearly indicated, we remain very concerned about this conflict, and the hon. Gentleman is right to raise it. That is why we are continuing to work to urge both parties back to the table to have dialogue, and to use the Minsk process to further that.
ParlaMint-GB_2020-10-13-commons.u47	I am grateful to the Minister for that answer. I have two very concrete points. We are all concerned about the risk of a proxy war within this, because there are more than two sides to the conflict. What steps are the UK Government taking to make sure that no UK-made armaments, or indeed UK citizens, are finding their way into this theatre?
ParlaMint-GB_2020-10-13-commons.u48	Again, the hon. Gentleman is right to raise this important point. On armaments, we have export licences in place and a very rigorous process to deal with applications with regard to any country, and that is always kept under careful and continual review. We are aware of many media reports that other countries are providing military support, for example, but we absolutely maintain a commitment to encouraging and urging both sides to come back to the table and have the dialogue that is needed.
ParlaMint-GB_2020-10-13-commons.u49	I gently suggest that there is something for us to follow up in that, because there is a great deal of concern that UK armaments and people are finding their way into this theatre On a wider point, does the Minister share my concern about Turkey’s increasingly belligerent statements in the wider region? She will be aware of yesterday’s statement by the EU High Representative, Josep Borrell, about the retaking of the Varosha settlement in northern Cyprus, which continues to be illegally occupied. What discussions is she having with Ankara in order to strongly stress our defence of international law?
ParlaMint-GB_2020-10-13-commons.u50	In terms of Turkey, the Defence Secretary discussed the conflict during a recent visit to Ankara and again agreed that de-escalation was the best option for all. I reiterate that, as the Foreign Secretary has said on previous occasions, we urge all external parties and friends of both states to redouble their efforts in support for an end to these hostilities and to refrain from taking actions that risk deepening the crisis. As co-chair of the Minsk group, Russia has a role in working to end the conflict too.
ParlaMint-GB_2020-10-13-commons.u51	Further to the question of Nagorno-Karabakh, obviously the ceasefire is very fragile, and with the use of foreign fighters from Iraq and Syria, there is a real risk of escalation. What steps are the Government taking to ensure a return to dialogue, as ultimately only through dialogue can this dreadful conflict come to an end? Specifically on Turkey and Russia, what urgent discussions are being carried out in order to try to get them to stop their arms sales so that that does not increase the militarisation and the number of civilians who are tragically being killed in the region?
ParlaMint-GB_2020-10-13-commons.u52	The hon. Lady makes a very important point reinforcing the need for dialogue. The Foreign Secretary issued two statements with Canadian Foreign Minister Champagne, most recently on 6 October, calling for an immediate ceasefire and a return to the negotiating table under the auspices of the OSCE group. On 28 September, the Prime Minister spoke to President Erdoğan and discussed the recent escalation. On 2 October, I spoke to Turkish Deputy Foreign Minister Önal to register concerns at the military escalation. We have been engaging with the co-chairs of the Minsk group—the French, the US and Russia. I will continue to reach out to my counterparts—both the Armenian and the Azerbaijani Foreign Ministers—to reinforce the UK’s support for de-escalation and a return to dialogue.
ParlaMint-GB_2020-10-13-commons.u53	What recent assessment he has made of the potential effect of the UK Internal Market Bill on the effectiveness of UK diplomacy.
ParlaMint-GB_2020-10-13-commons.u54	What recent assessment he has made of the potential effect of the UK Internal Market Bill on the effectiveness of UK diplomacy.
ParlaMint-GB_2020-10-13-commons.u55	What recent assessment he has made of the potential effect of the UK Internal Market Bill on the effectiveness of UK diplomacy.
ParlaMint-GB_2020-10-13-commons.u56	We continue to work with the EU in the Joint Committee to resolve outstanding issues in relation to the Northern Ireland protocol.
ParlaMint-GB_2020-10-13-commons.u57	Last week the Foreign Secretary told the Foreign Affairs Committee that no one he has met thinks that the UK is not a defender of international law. The reality is that a fellow Cabinet member has admitted that the United Kingdom Internal Market Bill breaks international law. The reality on the ground is that 27 EU countries have begun legal proceedings against the UK, and in the US both sides of Congress have said that they will not support a Bill that breaks the international rules-based order. When will the Foreign Secretary see reality and admit that the UK is acting like a rogue state?
ParlaMint-GB_2020-10-13-commons.u58	No, I do not agree with that. The measures in the United Kingdom Internal Market Bill are a defensive, precautionary and proportionate, to safeguard the integrity of the UK. I was in Washington recently and had very constructive conversations on both sides of the aisle on the hill.
ParlaMint-GB_2020-10-13-commons.u59	The way that the Government have used the United Kingdom Internal Market Bill to allow the United Kingdom to abrogate an international treaty in recent weeks has seen the UK take a step away from being a normative power committed to an international rules-based order. As my constituent Jagtar Singh Johal now faces his third anniversary in custody without charge in India, will the Secretary of State at least tell both my constituent and the House how he and his Government seek to remind the Republic of India of its obligations under international law, given that his own Government have so flagrantly disrespected it?
ParlaMint-GB_2020-10-13-commons.u60	I am afraid I just do not accept the assertion, and I do not accept the equivalence. We have very clear understandings in relation to the positions we take in terms of consular access and upholding human rights. We engage with the Indian Government and other Governments right across the world. I have never had the pushback the hon. Member describes.
ParlaMint-GB_2020-10-13-commons.u61	Further to the question asked by my hon. Friend the Member for Kilmarnock and Loudoun (Alan Brown), can the Secretary of State specifically outline how and in what ways he believes the United Kingdom International Market Bill strengthens the international credibility of the UK, given that it is in breach of international law?
ParlaMint-GB_2020-10-13-commons.u62	I thank the hon. Lady. As I have made clear, the Bill is a defensive, precautionary measure to safeguard the integrity of the UK. If the hon. Lady wants to know what people outside the United Kingdom and the EU say about the United Kingdom when it comes to upholding the international rule of law, perhaps she would like to listen to Svetlana Tikhanovskaya, the Belarusian opposition leader, who said on 5 October in an interview: “I am really grateful to the United Kingdom. For them to be so vocal, for them to be so brave, for them to be so strong in their position—it was all action. The United Kingdom has really shown itself as an example to the whole world.” That is what they say about the United Kingdom outside the EU.
ParlaMint-GB_2020-10-13-commons.u63	My right hon. Friend is rightly addressing the rule of law in a particular negotiation. Will he recognise, however, that the negotiations we are conducting around the world, including with the Japanese Government and the beginning of the conversation with the comprehensive and progressive agreement for trans-Pacific partnership will rely on the UK making deals that will endure the future? Those deals will only endure truly if the UK holds together and values all parts of this United Kingdom. Will he recognise, therefore, that his role is to promote the voices of Scotland, England, Wales and Northern Ireland together to make sure all those four nations achieve the best for the whole United Kingdom?
ParlaMint-GB_2020-10-13-commons.u64	My hon. Friend is absolutely right. We have just signed a deal with Japan, and we have signed a continuity deal with South Korea. We are looking at a second one, and we have ambitions for scoping talks in relation to that, so that we can improve in areas such as data. We are making good progress on Vietnam. That is precisely the way in trade negotiations we will represent the businesses and consumers of all four nations of the United Kingdom, and that is the way we will continue.
ParlaMint-GB_2020-10-13-commons.u65	What progress the Government have made through international co-operation on tackling climate change.
ParlaMint-GB_2020-10-13-commons.u66	What progress the Government have made through international co-operation on tackling climate change.
ParlaMint-GB_2020-10-13-commons.u67	The Government are fully committed to independent parliamentary scrutiny in this House. The Foreign Secretary has already announced our commitment to maintaining the Independent Commission for Aid Impact. He has also announced a departmental review to make ICAI even more effective, leveraging what works and producing more practical recommendations. This will make scrutiny stronger.
ParlaMint-GB_2020-10-13-commons.u68	I thank my hon. Friend for his answer. What steps is he is taking to deliver the COP 26 goals when he engages with foreign Governments around the world?
ParlaMint-GB_2020-10-13-commons.u69	May I apologise to the House? In my enthusiasm sharing a joke with you, Mr Speaker, I had the wrong page on my briefing and so answered in advance the question tabled by the hon. Member for Oxford West and Abingdon (Layla Moran). I apologise to the House for my enthusiasm I thank my constituency near neighbour, my hon. Friend the Member for South Basildon and East Thurrock (Stephen Metcalfe), for his question. We are committed to COP 26 through the presidency of G7 next year. We will be urging Governments to be bold in what they are hoping to achieve. Indeed, we are co-hosting events with the UN on 12 December to mark the fifth anniversary of the climate agreement.
ParlaMint-GB_2020-10-13-commons.u70	I will not be thrown off course With the United Kingdom being the fastest country in the G7 to decarbonise, it is quite apparent that this Government are leading the world in tackling climate change, but our efforts will pale into insignificance if other nations around the world do not face up to their own responsibilities. What efforts is my hon. Friend making to ensure that everybody plays their part?
ParlaMint-GB_2020-10-13-commons.u71	It is important that everybody plays their part and that there is collective action. My hon. Friend may be alluding, in part, to China. I warmly received China’s commitment—in particular, its intent to achieve carbon neutrality before 2060.
ParlaMint-GB_2020-10-13-commons.u72	What recent discussions he has had with Cabinet colleagues on progress in ensuring that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u73	What recent discussions he has had with Cabinet colleagues on progress in ensuring that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u74	What recent discussions he has had with Cabinet colleagues on progress in ensuring that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u75	What recent discussions he has had with Cabinet colleagues on progress in ensuring that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u76	What recent discussions he has had with Cabinet colleagues on progress in ensuring that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u77	It remains our intention and our hope to reach an agreement with the EU, but as a responsible Government, we continue to make extensive preparations for a wide range of scenarios. The two Cabinet Committees focused on EU exit strategy and operations meet regularly to discuss the Government’s work, to ensure that the UK is prepared for the end of the transition period.
ParlaMint-GB_2020-10-13-commons.u78	I thank the Minister for her response. The new Department will no doubt have a busy autumn, as it looks to seize the many opportunities that lay ahead. What discussions have been held with the Department for International Trade to ensure that the Government sing from the same hymn sheet in their future trade negotiations on food, animal welfare and environmental standards?
ParlaMint-GB_2020-10-13-commons.u79	I can assure my hon. Friend that FCDO Ministers are in regular contact with DIT colleagues on a range of trade-related issues. The UK Government have been consistently clear that we will never sign a trade deal that would compromise the UK’s high environmental protection, animal welfare and food safety standards. All existing food safety provisions will be retained.
ParlaMint-GB_2020-10-13-commons.u80	Two thirds of my constituents in Stourbridge voted to leave the EU—“Roll on 31 December” is the message I hear loud and clear. Does the Minister agree that we must strongly back the Government’s negotiating position to deliver a trade deal that takes back control of our money, laws and borders, but that we should not be afraid to fall back on an Australian-style arrangement if necessary?
ParlaMint-GB_2020-10-13-commons.u81	My hon. Friend asks an important question. We continue to work hard towards reaching an agreement with the EU. We want a deal with free trade provisions similar to those that the EU agreed with Canada, and if that is not possible, we will have a trading relationship similar to how Australia trades with the EU. Either way, we will be leaving the single market and the customs union.
ParlaMint-GB_2020-10-13-commons.u82	The United Kingdom has a proud history of defending human rights. Does the Minister agree that a key benefit of leaving the European Union for our foreign policy is the ability to put in place our own independent sanctions regime, allowing us to go further on human rights than the EU?
ParlaMint-GB_2020-10-13-commons.u83	Yes, the UK will indeed pursue an independent sanctions policy driven by our foreign policy objectives. We established a global human rights sanctions regime on 6 July, which gives us new powers to fight those involved in serious human rights abuses. The sanctions we recently imposed on individuals in Belarus are a good example. Sanctions are best delivered, though, through collective action, and we will continue to work with EU and other international partners.
ParlaMint-GB_2020-10-13-commons.u84	Does the Minister agree that the end of the transition period will herald a global Britain with more freedom to follow our own path in the world, to the benefit of my constituents in Clwyd South?
ParlaMint-GB_2020-10-13-commons.u85	Yes. At the end of this year, the process of transition will be complete, and we will recover our economic and political independence. That is why we did not extend the transition period. We need to be able to design our own rules in our best interests, without the constraints of following the EU.
ParlaMint-GB_2020-10-13-commons.u86	The UK now has a new role outside the EU as global Britain. Will my hon. Friend advise the people of Ashfield what the FCDO’s priorities should be in the future?
ParlaMint-GB_2020-10-13-commons.u87	The Government’s integrated review, which is ongoing, will define the UK’s role in the world and the longer-term strategic aims for our national security and foreign policy following our departure from the European Union. We are committed to the UK being a force for good in the world, defending open societies, free trade, democracy and human rights.
ParlaMint-GB_2020-10-13-commons.u88	What recent assessment he has made of the effect on regional security of China’s actions in the South China sea.
ParlaMint-GB_2020-10-13-commons.u89	On 3 September, I reiterated our concern about reports of militarisation, coercion and intimidation in the South China sea, and I called on all parties to refrain from activity likely to raise tensions. Given the importance we attach to the UN convention on the law of the sea, I also put our comprehensive legal position on the SCS on public record for the first time.
ParlaMint-GB_2020-10-13-commons.u90	China’s brazen human rights abuses and its increasingly assertive behaviour internationally are both deeply disturbing issues. In the light of this behaviour, what consideration has the Department given to the integrated review of security, defence, development and foreign policy to safeguard British friends and interests in south-east Asia?
ParlaMint-GB_2020-10-13-commons.u91	I am grateful to my hon. Friend for raising this. I would remind him that, on 6 October, 39 countries joined in a statement at the UN Third Committee expressing deep concern at the human rights situation in Xinjiang, Hong Kong and Tibet. This growing caucus willing to speak out reflects the UK’s diplomatic leadership. The tilt to the Indo-Pacific is a key ambition for our integrated review. It will outline the UK’s intention to become a long-term partner to south Asian and Asia-Pacific countries. We are already working to develop closer partnerships with the region through our bid to achieve Association of Southeast Asian Nations dialogue partnership status. The Foreign Secretary visited Hanoi recently, and that was high on our agenda. We are also keen to pursue our accession to the comprehensive and progressive agreement for trans-Pacific partnership.
ParlaMint-GB_2020-10-13-commons.u92	What comparative assessment he has made of the ability of the (a) UK and (b) EU to impose sanctions on the President of Belarus.
ParlaMint-GB_2020-10-13-commons.u93	The UK does not accept the results of the rigged presidential election in Belarus. We have worked with our international partners to promote a peaceful resolution. We have condemned the actions of the Belarusian authorities, and we hold those responsible for human rights abuses to account.
ParlaMint-GB_2020-10-13-commons.u94	Everybody’s favourite continental politician Guy Verhofstadt expressed his huge frustration with the European Union recently, surprisingly enough, when he said that unlike the United Kingdom and Canada, which have imposed sanctions on Belarus for the very reason that my right hon. Friend the Foreign Secretary has just said, the European Union has been unable to do so because of the unanimity rules. What assessment has my right hon. Friend made of the EU foreign policy ability to impose things such as sanctions, and does he share my relief that the United Kingdom has now left the EU?
ParlaMint-GB_2020-10-13-commons.u95	I thank my hon. Friend. He makes a powerful point about the agility and the autonomy that we have with our new Magnitsky sanctions regime, and also some of the latitude we will have now we have left the EU. Equally, I co-ordinate closely with our European partners. He is right to say that the UK, with Canada, proceeded first, on 29 September, to impose targeted sanctions on Lukashenko’s son and six other senior Belarusian officials. I can, though, reassure my hon. Friend that the EU has followed our lead and, at the latest Foreign Affairs Council, announced that it will now follow that lead and impose sanctions on Lukashenko.
ParlaMint-GB_2020-10-13-commons.u96	What diplomatic steps he is taking to strengthen UK relations with ASEAN countries.
