ParlaMint-GB_2020-09-15-commons.u1	What fiscal support he is providing to mitigate the economic effects of the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u12	That is woefully inadequate, as we head into the winter, for many of these industries that have already suffered with a low income. The Chancellor said that he would do “whatever it takes” and that “if the situation changed”, he “would not hesitate to take further action.” Those excluded from support schemes, the 700,000 made redundant since March and those losing their jobs because of the premature ending of the furlough scheme want to know whether the Chancellor will be true to that commitment or his words are worth nothing.
ParlaMint-GB_2020-09-15-commons.u13	The hon. Lady claims that it was woefully inadequate; the VAT reduction was the single biggest ask from the UK hospitality industry. Not only was that delivered, but it was delivered with an extra initiative, eat out to help out, which proved to provide an enormous fillip to the reopening of that part of the economy. It is also worth bearing in mind that all the businesses engaged in that industry are not paying any business rates at all until March next year.
ParlaMint-GB_2020-09-15-commons.u14	What estimate he has made of the level of financial support that has been provided to employees by businesses under the coronavirus job retention scheme.
ParlaMint-GB_2020-09-15-commons.u15	As of 16 August, 9.6 million jobs have been protected by the coronavirus job retention scheme, helping 1.2 million businesses with a total value of £35.4 billion.
ParlaMint-GB_2020-09-15-commons.u16	Thousands of jobs in my constituency of North West Durham have been protected by the Government over this period, but my constituents are aware that such levels of taxpayer support cannot go on indefinitely and also want to see new jobs being created. Will my right hon. Friend enlighten me as to how many jobs we are looking at getting through the kickstart scheme, which is now coming forward to help to get new jobs into the economy?
ParlaMint-GB_2020-09-15-commons.u17	The £2 billion kickstart scheme has the potential to support more than 250,000 young people and, as my hon. Friend is well aware, it is part of a comprehensive package of £30 billion of support that my right hon. Friend set out as part of his plan for jobs in the summer economic update.
ParlaMint-GB_2020-09-15-commons.u18	Despite countless warnings from these Benches, the Government are pulling away the job retention scheme just at the moment when infection rates are rising again right across our country. Businesses have said it, unions have said it, and even Tory Back Benchers are saying it: the one-size-fits-all withdrawal of wage support risks a jobs crisis this autumn. Will the Minister not listen and change course before it is too late?
ParlaMint-GB_2020-09-15-commons.u19	The hon. Lady is simply wrong. What she ignores is the fact that my right hon. Friend has put in place a furlough bonus as support that goes beyond October to retain that link for employees to come back. That is part of a wider package of measures that goes alongside the furlough and stands comparison with the most generous in the world.
ParlaMint-GB_2020-09-15-commons.u20	The Chief Secretary knows full well that the jobs retention bonus risks giving all the money to companies that simply do not need it. We would happily support the Government in developing a targeted, flexible wage support scheme for hard-hit sectors central to our country’s future. We have been saying this day in, day out for months now—the Government just have not been listening. Rather than stubbornly sticking to a decision made back in July, can he not accept that the situation has changed and that the Government must also change course?
ParlaMint-GB_2020-09-15-commons.u21	There seems to be some confusion because, just last week in the debate that we had in this House, the shadow Chancellor actually recognised that the Chancellor had indeed listened with regard to the design of the furlough. In fact, they claimed credit for the role, which I salute, of the trade unions and others. So we have listened, but the reality is that the furlough pays a higher rate of people’s wages than the scheme in Spain. It supports a wider range of businesses than the one in New Zealand and the scheme runs for twice as long as that in Denmark. That shows the flexibility and the willingness to listen on the part of my right hon. Friend.
ParlaMint-GB_2020-09-15-commons.u22	What fiscal steps his Department is taking to protect jobs during the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u23	What fiscal steps his Department is taking to protect jobs during the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u24	The Government have put in place a £190 billion plan to protect people’s jobs, incomes and businesses, one of the largest and most comprehensive economic responses in the world, and that includes the £30 billion made available under the plan for jobs.
ParlaMint-GB_2020-09-15-commons.u25	The Eat Out to Help Out scheme has been a phenomenal success in my constituency of the Cities of London and Westminster. More than 890,000 meals have been discounted—several eaten by myself, I hasten to add. Will my right hon. Friend comment on the amazing package of help that the Government have given to the retail and hospitality sectors? Moving forward, what policies can we hope to expect to support these vital sectors, which are responsible for hundreds of thousands of jobs in my constituency?
ParlaMint-GB_2020-09-15-commons.u26	My hon. Friend is right to recognise the effectiveness of that scheme in supporting demand. It was dismissed as a gimmick when my right hon. Friend the Chancellor launched it, but it has been warmly received by the hospitality industry. As she knows from her constituency and that of others, it is part of that wider package of support, including the cutting of the rate of VAT, which again has been a huge boost to that industry.
ParlaMint-GB_2020-09-15-commons.u27	I thank the Treasury team for the support that they have provided so far. My experience during the summer was that there was a great deal of support from local businesses for the variety of schemes, particularly those in the hospitality and tourism sectors, which are very important in my constituency. Turning to the future though, we must make sure that we provide the job opportunities that we are going to need. In Gloucestershire, we had a lift-off event last Friday, organised by my hon. Friend the Member for Gloucester (Richard Graham) and supported by all six Gloucestershire MPs, where we focused on skills and training and brought together a range of employers. That is the kind of thing that I would like my right hon. Friends in the Treasury to think about supporting. It is the future we need to focus on, not the past.
ParlaMint-GB_2020-09-15-commons.u28	I pay tribute to my right hon. Friend for that event. I saw the read out and how positive it had been. He is right to focus on that forward piece, using the package of measures that my right hon. Friend set out. That includes, for example, the payment to employers for each new apprenticeship—up to £2,000 for those over 25—the £2 billion kickstart scheme, but also other schemes such as the tripling in the number of traineeships. Events such as the one he mentioned are ones that I am sure other Members will wish to follow.
ParlaMint-GB_2020-09-15-commons.u29	What assessment he has made of the effectiveness of the eat out to help out scheme in supporting the hospitality industry.
ParlaMint-GB_2020-09-15-commons.u30	What assessment he has made of the effectiveness of the eat out to help out scheme in supporting the hospitality industry.
ParlaMint-GB_2020-09-15-commons.u31	What assessment he has made of the effectiveness of the eat out to help out scheme in supporting the hospitality industry.
ParlaMint-GB_2020-09-15-commons.u32	What assessment he has made of the effectiveness of the eat out to help out scheme in supporting the hospitality industry.
ParlaMint-GB_2020-09-15-commons.u33	By 31 August, over 84,000 UK businesses had registered for the eat out to help out scheme and more than 100 million meals had been claimed for. By getting people back into the habit of enjoying a meal out, the scheme has helped to support nearly 2 million jobs in the hospitality sector and has played an important part in the Chancellor’s wider plan for jobs.
ParlaMint-GB_2020-09-15-commons.u34	My right hon. Friend’s eat out to help out scheme was also hugely successful in Beaconsfield, where 88,000 discounted meals were enjoyed. I cannot say what percentage of those meals were enjoyed by me personally, but one can wager. What reassurances can my right hon. Friend provide to the House that he will continue to support the hospitality industry through reductions in VAT on food and attractions until next January?
ParlaMint-GB_2020-09-15-commons.u35	I am delighted that the eat out to help out scheme has been so enthusiastically taken up in Beaconsfield, as it has been around the country, and I thank my hon. Friend for her personal service in this important area. She will know that the Chancellor’s plan for jobs and support for over 150,000 businesses and the effort to protect 2.4 million jobs are all part of a package. To them, of course, as she will know, the Government have also added a reduced rate of VAT for tourist attractions, which will run through to 12 January next year. It all fits together as part of a wider picture of support for these very important sectors of the economy.
ParlaMint-GB_2020-09-15-commons.u36	In St Austell and Newquay, almost 250,000 meals were eaten—not all by me—as part of the eat out to help out scheme, which put around £1.3 million into our local economy, so on behalf of businesses in mid-Cornwall, I thank the Chancellor for his support. August has been incredibly busy in Cornwall, but the hospitality sector faces a big challenge as we head into winter. Will my right hon. Friend consider a similar scheme to be run in the winter to help as many businesses as possible survive the winter and be here next summer?
ParlaMint-GB_2020-09-15-commons.u37	There is a danger of a bidding contest between colleagues over the number of meals eaten under the eat out to help out scheme. I would dissuade them from that. In answer to my hon. Friend’s question, however, I would say that there is this wider package. Of course the Treasury keeps all its measures under review, but it is a pretty formidable combination of VAT reductions, business rates relief and billions in tax deferrals and loans.
ParlaMint-GB_2020-09-15-commons.u38	Given the great success of the eat out to help out scheme in Lincoln and Lincolnshire and across the country, which has led to higher spending in restaurants, will my right hon. Friend now consider further targeted support for struggling industries, such as the arts and tourism, which are drivers of the Lincoln and county economy of my constituency, not least the excellent Usher Gallery and under-pressure Drill Hall in Lincoln?
ParlaMint-GB_2020-09-15-commons.u39	I am delighted that my hon. Friend has highlighted the great work of the Usher Gallery and the Drill Hall. As he will be aware, the Government have announced a £1.57 billion package of support for the culture sectors, which is designed to support, and will support, thousands of cultural and arts organisations across the country, including theatres, galleries, museums, heritage sites, live music venues and independent cinemas. I think that he will also know that, within that scheme, priority is given not just to organisations with a national or international reputation but to those that are central to the cultural fabric of our towns and regions. That is a very important further component.
ParlaMint-GB_2020-09-15-commons.u40	Eat out to help out has been a massive lifeline for many pubs and restaurants in my Bridgend constituency. Some have told me that, because of it, they could remain afloat and keep people in work. What assessment has been made of the number of people and businesses in my constituency supported by the scheme?
ParlaMint-GB_2020-09-15-commons.u41	I can tell my hon. Friend that 67 local businesses registered for the scheme and that it was used 53,000 times in Bridgend, which, while not like the heroic figures we have seen elsewhere, will have provided a very important boost to the local economy. I am sure that he will have had the experience that Members across the House will have had of walking into a café or restaurant and having the proprietor say, “Thank you so much. It has made a vital difference at a critical time of year for us.”
ParlaMint-GB_2020-09-15-commons.u42	What fiscal steps his Department is taking to support businesses affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u43	What fiscal steps his Department is taking to support businesses affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u44	What fiscal steps his Department is taking to support businesses affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u45	The Government recognise the extreme disruption that the pandemic has caused businesses, which is why we have delivered a generous and comprehensive package of support, in line with best practices globally, totalling more than £190 billion. That has included grants, loans, the furlough scheme, the self-employment income support scheme, deferred VAT payments, business rate reliefs and protections for commercial tenants.
ParlaMint-GB_2020-09-15-commons.u46	I thank the Minister for his answer. Will he and the Treasury consider reviewing the rules of the furlough scheme to deal with cases where some small businesses, particularly one in my constituency, missed out on that scheme through administrative error and, in effect, paid staff when that could have been done through the furlough? Will he discuss that with me separately to see whether we could review the rules to deal with that sort of administrative mistake?
ParlaMint-GB_2020-09-15-commons.u47	Obviously, the scheme has helped 1.2 million employers, and that involves 9.6 million jobs. I am happy to engage with my hon. Friend on the specific example he raises. No appeal process is available for those who have made administrative errors, but if a mistake has been made by Her Majesty’s Revenue and Customs, a complaints procedure can be followed. I will follow up on this with him personally.
ParlaMint-GB_2020-09-15-commons.u48	This Government’s support for businesses throughout the pandemic has been wide-ranging and delivered at speed. Without the real-time information held by HMRC, it would have taken significantly longer for those grants to reach employers and many more jobs would have been lost. Digital tax administration not only helps HMRC, but cuts costs to businesses, so what is the Treasury doing to build on those successes and make the UK one of the most digitally advanced places in the world to run a business?
ParlaMint-GB_2020-09-15-commons.u49	My hon. Friend is right; it is incumbent on the Government, in all Departments, to look at how we can refine the way we operate, to be more effective. That is why in July my right hon. Friend the Chancellor published a 10-year tax administration strategy, setting out our vision for a modern system, which will involve extending making tax digital to more taxpayers. That is a first step, and we hope it will bring us to a world-leading situation in this country.
ParlaMint-GB_2020-09-15-commons.u50	I have been told by businesses in my constituency that the hospitality VAT cut was a lifeline to them and helped them to continue. Will my right hon. Friend consider extending that VAT cut beyond January next year, to help those businesses with that recovery?
ParlaMint-GB_2020-09-15-commons.u51	Clearly, every intervention has a cost, and that measure provided support for 150,000 businesses, protecting 2.4 million jobs. As we approach future fiscal events, all contributions and businesses cases for changes will be looked at carefully by my right hon. Friend the Chancellor. I am sure that he has heard my hon. Friend’s representations today.
ParlaMint-GB_2020-09-15-commons.u52	What fiscal steps he is taking to support retail and high street businesses affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u53	As the House will be aware, in recognition of the extreme disruption caused by the pandemic, the Government have delivered one of the most generous and most comprehensive packages of support around the world. That response is so far totalling close to £200 billion. In addition to affordable Government-backed loan finance, the job retention scheme and deferred VAT, retail businesses have also received specific support, including a 12-month business rates holiday for all eligible retail businesses in England and retail, hospitality and leisure grants worth £10,000 or £25,000.
ParlaMint-GB_2020-09-15-commons.u54	Since being elected, I have raised on many occasions the issue of the economic and social loss that online trading is having on our towns, cities and high streets, and the pandemic has accelerated that problem. Surely, must not the Government now start to consider a VAT-style online sales tax?
ParlaMint-GB_2020-09-15-commons.u55	As my hon. Friend will be aware, many offline businesses are also extremely effective online businesses; as Adam Smith almost said, we are a nation of virtual shopkeepers. As my hon. Friend will be aware, the Government are committed to a fundamental review of business rates. We published a call for evidence in July and invited views on reform and on potential alternative taxes, including an online sales tax. Our intention is carefully to consider the merits and risks of introducing such a tax, and I encourage all Members, including my hon. Friend, to contribute their views.
ParlaMint-GB_2020-09-15-commons.u56	While a number of wealthier inner-city areas have received over £100 million each in rate relief and small business grants, many constituencies in the midlands and the north have been left behind, with some receiving barely a fifth of that support or even less—Dudley North, Rother Valley, Blyth Valley, Don Valley, Penistone and Stocksbridge, Wolverhampton North East, Newcastle-under-Lyme, Redcar, Sedgefield; I could go on. Is that what the Government meant by levelling up?
ParlaMint-GB_2020-09-15-commons.u57	As the Chancellor has already highlighted, the Government’s intention has been to support vulnerable people, vulnerable businesses and vulnerable families across the country. As he has also pointed out, the evidence appears to be that we have been very successful, with the most targeted support being most heavily felt at the lower end of the income spectrum. If numbers in the aggregate do not please the hon. Gentleman, let me simply tell him the reaction of one chief executive of a retail business in this country, who said to me that without the furlough scheme, that company alone would have laid off 30,000 people. With the furlough scheme, it has been able to continue and recover.
ParlaMint-GB_2020-09-15-commons.u58	What assessment he has made of the potential effect on levels of unemployment of withdrawing the (a) coronavirus job retention and (b) self-employment income support schemes.
ParlaMint-GB_2020-09-15-commons.u59	What steps his Department is taking to support self-employed people affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u60	What assessment he has made of the financial effect of the covid-19 outbreak on people who were not eligible for either the coronavirus job retention scheme or the self-employment income support scheme; and if he will make a statement.
ParlaMint-GB_2020-09-15-commons.u61	What steps his Department is taking to support self-employed people affected by the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u62	What assessment he has made of the financial effect of the covid-19 outbreak on people who were not eligible for either the coronavirus job retention scheme or the self-employment income support scheme; and if he will make a statement.
ParlaMint-GB_2020-09-15-commons.u63	What assessment he has made of the financial effect of the covid-19 outbreak on people who were not eligible for either the coronavirus job retention scheme or the self-employment income support scheme; and if he will make a statement.
ParlaMint-GB_2020-09-15-commons.u64	The Government have put in place a broad set of policies to support businesses and individuals through this crisis. The coronavirus job retention scheme and self-employment income support scheme have supported more than 9 million and 2.7 million jobs and people respectively. As the economy reopens, we must adjust our support to ensure that people continue to get back to work, protecting the UK economy and people’s livelihoods.
ParlaMint-GB_2020-09-15-commons.u65	The Institute for Employment Studies is now predicting 450,000 redundancies over the three months to September and a further 200,000 by the end of the year—more than double the levels seen in the 2008-09 recession. Many of those whose jobs are at risk work in the creative industries, performing arts and hospitality, which would be thriving without coronavirus. Why is the Chancellor persisting with a cliff-edge approach, which will inflict the hardship and misery of unemployment on so many people, instead of taking a flexible approach to furlough to save good jobs for the long term?
ParlaMint-GB_2020-09-15-commons.u66	The furlough scheme, as it is currently constructed, is flexible. It was a key demand from business groups and unions, which we responded to. As the economy is slowly reopening over the late summer and autumn, the furlough scheme has adapted to that, allowing businesses to bring back their employees in a flexible fashion, and that is exactly what they are currently doing.
ParlaMint-GB_2020-09-15-commons.u67	I congratulate my right hon. Friend on the introduction of the self-employment income support scheme in particular, but does he recognise that it cannot continue indefinitely? Does he also agree that the self-employed are some of the most innovative individuals in our economy, and it is time to release their innovation to kick-start us?
ParlaMint-GB_2020-09-15-commons.u68	My right hon. Friend is absolutely right. Now that we have begun to reopen the economy, it is right that our support becomes differentiated and the focus shifts to getting people back to work. It is not possible to sustain this level of intervention. I fully agree with him: those who are entrepreneurial and self-employed deserve our support, and they will continue to get it as we drive our recovery out of this crisis.
ParlaMint-GB_2020-09-15-commons.u69	Hundreds of thousands of people across the country, including many in my constituency, have not been able to get support during this pandemic. The Government have repeatedly said that it is too difficult to get support to people who are not on the coronavirus job retention scheme or the self-employment income support scheme. The Government have had six months to put something in place, so will the Chancellor outline to the House what barriers exist now to getting support to the people who have so far been excluded?
ParlaMint-GB_2020-09-15-commons.u70	As I have said from this Dispatch Box, we have not been able to help absolutely everyone in the exact way that they would have liked, but that does not mean that support is not available. Through considerable increases to universal credit and local housing allowance, we have provided support to the most vulnerable. Through measures such as mortgage holidays, which one in six mortgage customers have taken up in the past few months, we have ensured that everyone, one way or another, can access some degree of Government support.
ParlaMint-GB_2020-09-15-commons.u71	Over £33 million of bounce back loans have been granted to businesses in Darlington, but many businesses in my constituency bank with new start-up, online and challenger banks and have faced some issues with accessing bounce back loans. What steps is the Treasury taking to assist with access to bounce back loans for those who need them?
ParlaMint-GB_2020-09-15-commons.u72	My hon. Friend raises an important point, and we recognise the vital role that alternative lenders can play in providing finance to SMEs. We continue to work with them and the sector to see what more we can do. As he recognises, the bounce back loan scheme has proved enormously successful, and so far we have accredited 28 bounce back lenders, who have provided loans to more than 1 million businesses. In the first instance, I urge businesses in my hon. Friend’s constituency to look online at one of those 28 lenders, and see whether they can provide the loans that that business requires.
ParlaMint-GB_2020-09-15-commons.u73	The Chancellor, and all of us whose salaries have been paid throughout the pandemic, may find it difficult to grasp the deep sense of unfairness felt by those who, through no fault of their own, are entirely excluded from any support. Perhaps they followed their entrepreneurial dream and left a good job to start their own business, as encouraged to do by this Government, but did not file their tax returns in time. Perhaps they have an event business that has been left to fend for itself without any events. There are thousands of such people in my constituency alone. How can the Chancellor expect the country to come together to fight the virus when so many have been excluded from all support?
ParlaMint-GB_2020-09-15-commons.u74	I respectfully disagree with the hon. Lady. Most people in the country recognise that the Government have provided unprecedented support at this difficult time to millions of people, as well as to hundreds of thousands, if not millions of businesses. Although people may not have been able to get support in the exact way they would have wanted, across the spectrum, whether through the welfare system and local authorities, or through banks and the provision of credit, we have ensured that some form of support is available to the vast majority of the British public.
ParlaMint-GB_2020-09-15-commons.u75	It is now been six months during which 3 million self-employed people have been excluded and locked out of the coronavirus support schemes, and it is no coincidence that this week the Trussell Trust announced an unprecedented need for support. Nearly half of those people are first-time users, and if the forecasts are right, the situation will only get worse, with six emergency food parcels being delivered every minute as we get to winter. I implore the Chancellor to tell hon. Members what he will do to support those who are excluded, so that this disaster does not turn into a catastrophe for families around the country.
ParlaMint-GB_2020-09-15-commons.u76	The hon. Lady is slightly confused. On one hand she speaks about people who were not eligible for the self-employment scheme, but those who were excluded earned more than £50,000 and were in the top 5% of all earners, with an average median salary of £200,000. In the same question she speaks about targeting support to those who cannot afford food. She should figure out which issue she cares about.
ParlaMint-GB_2020-09-15-commons.u77	When the circumstances change, policies should adapt. Infection rates are growing, local restrictions are becoming more common, and this morning’s figures show levels of unemployment at a two-year high, and rising, particularly among the young. France and Germany have extended their employment support for a further year. Is it time to reconsider the jobs cliff edge that is approaching at the end of next month, and at least to extend employment support to those sectors that cannot yet go back to work, and areas hit by local lockdowns, so that businesses and workers are not punished for doing the right thing?
ParlaMint-GB_2020-09-15-commons.u78	The right hon. Gentleman is right to highlight the increase in cases, which is why the Government have taken steps to ensure that we remain in control in suppressing the virus. He talks about local lockdowns, and he will have seen the announcement last week about extra business rates support for businesses that find themselves in those areas, with a payment of up to £1,500 per three weeks of lockdown. He mentioned other countries. He is right about Germany and its scheme, but it is worth bearing in mind that Germany has had such a scheme, in co-operation with businesses and through its social security system, for more than a decade.
ParlaMint-GB_2020-09-15-commons.u79	I call the Chair of the Public Accounts Committee.
ParlaMint-GB_2020-09-15-commons.u80	As you might expect, Mr Speaker, the Public Accounts Committee is already beginning the reckoning of costs, and there is a cost to the Exchequer from all those people who were self-employed, or employed on short-term contracts, and who received no support. Ultimately, the state still has to support those people, and no tax comes in from them. Will the Chancellor go back to the drawing board and consider the long-term issue of the cost to our country of not supporting people who have a good track record with HMRC and who could be supported? They have lived on fresh air for all these months.
ParlaMint-GB_2020-09-15-commons.u81	I hear what the hon. Lady says and will certainly reflect on it. I refer her to my response to the question from my hon. Friend the Member for Penistone and Stocksbridge (Miriam Cates) about the importance of a digital taxation system, which I know the hon. Lady’s Committee will have an interest in. As throughout this crisis, our ability to respond in the way that we would want to is often limited by the information that we hold. My right hon. Friend the Financial Secretary to the Treasury has put out a 10-year tax administration strategy that will ensure that our tax system collects in real time the information we need about people and businesses up and down this country, so that, should something like this happen again, the Government can respond in the way that they would want to, as quickly as possible.
ParlaMint-GB_2020-09-15-commons.u82	What discussions he has had with Cabinet colleagues on introducing an online sales tax.
ParlaMint-GB_2020-09-15-commons.u83	The Chancellor has regular discussions on a range of topics with Cabinet colleagues. As the right hon. Gentleman will know, the Government are committed to a fundamental review of the business rates system in England and have launched a call for evidence inviting views on reform. That review will also consider the merits and the risks of introducing an online sales tax.
ParlaMint-GB_2020-09-15-commons.u84	Online shopping offers a range of choice and opportunities for many of my constituents and other people throughout the highlands and islands that they simply cannot get from local shops, but it often comes with the whammy of delivery charges that make the purchase itself look small, or a refusal to deliver at all. An online sales tax could be an opportunity to give a small tax break to those making online sales who deliver as a universal service with a single price across the whole country. Will the Minister consider that along with his other considerations?
ParlaMint-GB_2020-09-15-commons.u85	I am very grateful for the suggestion. Now that the right hon. Gentleman has placed it on the public record, I will ask my officials to look more closely at it and to engage with him on it. He will know that we have already introduced, in a quite different context, a digital services tax. We are open to these potential ideas. We will be looking very carefully at this area. Intelligent and well thought through feedback is always of great interest to us.
ParlaMint-GB_2020-09-15-commons.u86	What discussions officials from (a) his Department and (b) HMRC have had with businesses in Northern Ireland on potential additional costs for exporting goods to Great Britain from Northern Ireland under the withdrawal agreement.
ParlaMint-GB_2020-09-15-commons.u87	The Government have been actively engaging with businesses and fully committed to providing them with the information and support needed to prepare for the end of the transition period in Northern Ireland. As was set out in the Command Paper, the Government’s position is that there should be no additional process, paperwork or restrictions on Northern Ireland goods arriving in the rest of the UK.
ParlaMint-GB_2020-09-15-commons.u88	While I welcome the provisions of the United Kingdom Internal Market Bill debated yesterday, they do not cover the issue that the EU is demanding that goods coming into Northern Ireland have tariffs imposed on them until it is proven that they have not left Northern Ireland and gone into the EU. This is damaging to business, because it requires additional paperwork, will affect cash flow, and will put up costs. Given that the Government are committed to keeping Northern Ireland in the UK customs union, that the Act of Union says that there should be no tariffs on trade between countries within the United Kingdom, and that 75% of goods do not leave Northern Ireland once they enter anyhow, will the Minister give a commitment to ensuring in the Finance Bill that the EU demand for those tariffs to be collected will be removed so that Northern Ireland businesses are not disadvantaged?
ParlaMint-GB_2020-09-15-commons.u89	As the right hon. Gentleman will know, these topics are currently very live matters of discussion between this country and the EU, and I am not going to comment on that. However, we are, as a Government, very engaged with this issue across a number of different Departments, and we will be looking to support the principles and positions set out in the protocol as we go forward.
ParlaMint-GB_2020-09-15-commons.u90	What financial support he is providing to upgrade the energy efficiency of homes.
ParlaMint-GB_2020-09-15-commons.u91	The Government recognise the importance of energy efficiency in achieving our climate change objectives and tackling fuel poverty. That is why in July my right hon. Friend the Chancellor announced over £2 billion of new funding to upgrade homes through the green homes grant scheme. In addition, we have a range of policies in place to support home energy efficiency improvements.
ParlaMint-GB_2020-09-15-commons.u92	What assessment has my hon. Friend made of the benefits of this ambitious £2 billion scheme for home insulation, and when will my constituents be able to access it to make those improvements to their homes?
ParlaMint-GB_2020-09-15-commons.u93	From the end of September, homeowners and landlords across England, including in my hon. Friend’s constituency, will be able to apply for vouchers to fund at least two thirds of the cost of upgrading the energy performance of their homes. In additional, Greater Manchester Combined Authority has the opportunity to bid for part of the £500 million being made available to local authorities to help low-income households directly.
ParlaMint-GB_2020-09-15-commons.u94	Whether he is responsible for the allocation of official development assistance to Government Departments other than the Foreign, Commonwealth and Development Office.
ParlaMint-GB_2020-09-15-commons.u95	Yes, Her Majesty’s Treasury is responsible for the allocation of ODA across all Government Departments. The comprehensive spending review will determine all ODA budgets.
ParlaMint-GB_2020-09-15-commons.u96	I thank my right hon. Friend for that answer, but how can we ensure that all money spent qualifies for ODA categorisation and is particularly focused on relieving poverty?
ParlaMint-GB_2020-09-15-commons.u97	I know my hon. Friend takes a close and expert interest in this issue, not least through her work on the relevant Select Committee. Individual Departments are responsible for ensuring that all money spent as ODA meets the criteria of the OECD Development Assistance Committee, and that it is spent through the powers of the International Development Act 2002, which requires funding likely to contribute to a reduction in poverty.
ParlaMint-GB_2020-09-15-commons.u98	What fiscal steps he is taking to help families on low incomes during the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u99	The Government are committed to all groups in society, including the most vulnerable, facing the challenges caused by covid-19. That is why we have put in place an unprecedented package of support, including the job retention scheme, the self-employed income support scheme and a package of welfare measures that the Office for Budget Responsibility estimates to be worth in excess of £9 billion.
ParlaMint-GB_2020-09-15-commons.u100	The commitment of this Government to ensuring that the most vulnerable in our society are protected through this crisis cannot be questioned. The scale of the intervention has been remarkable, but may I encourage the Chancellor and the Treasury team, as they begin making their plans for next year’s spending, to bear in mind the importance of the increase in universal credit that we made at the beginning of the pandemic, and to ensure that we keep it in place, because many more families will be relying on it in the months ahead?
ParlaMint-GB_2020-09-15-commons.u101	My right hon. Friend is a passionate champion of this issue. He will have seen from the answer given earlier by my right hon. Friend the Chancellor that the distribution analysis at the time of the summer update illustrated that the measures taken by the Chancellor had protected the poorest households the most as a proportion of income. I know that he will have listened closely to my right hon. Friend’s representations.
ParlaMint-GB_2020-09-15-commons.u102	What recent discussions he has had with the Secretary of State for Housing, Communities and Local Government on the adequacy of funding for local authorities during the covid-19 outbreak.
