ParlaMint-GB_2020-03-12-commons.u1	1. What steps he is taking to improve bus services in (a) rural and (b) other areas.
ParlaMint-GB_2020-03-12-commons.u84	I thank the Minister for that answer. She will know that 70% of the aircraft that arrive at Heathrow do so via what is known as westerly operations, involving a final approach over my constituency and others in south London. Given the concerns about noise on the part of those living under these flight paths, can the Minister tell the House whether the Bill on modernising our airspace that the Government have committed to will include provisions aimed at reducing the concentration of flight paths and mandating measures to reduce arrival noise?
ParlaMint-GB_2020-03-12-commons.u85	I thank the hon. Gentleman for his question, and I understand his concerns. Airspace modernisation is intended to reduce the amount of noise per flight for those living under concentrated flight paths. However, there is a risk that they may experience more noise than currently. Whether this is the case will depend on the final routes proposed by airports, including any respite routes, and on the outcomes of consultation with local people, and I expect he will be very vocal at that time.
ParlaMint-GB_2020-03-12-commons.u86	15. What steps his Department is taking to improve rail services in the north of England.
ParlaMint-GB_2020-03-12-commons.u87	We are working with Network Rail, operators and stakeholders to raise performance, and we are investing billions of pounds to improve services for passengers.
ParlaMint-GB_2020-03-12-commons.u88	I thank the Minister for that answer. Does he agree with me that, in addition to national rail projects, light rail projects such as extending the Metrolink to Middleton and Heywood in my constituency form a vital part of levelling up and increasing capacity?
ParlaMint-GB_2020-03-12-commons.u89	Under this Government, the Metrolink has been extended to reach new destinations right across Greater Manchester. The most recent extension to the Trafford centre is due to open later this month. While the development of light rail proposals is a matter for the Mayoral combined authority, we will work closely with them. I hope to see the Metrolink extended to my hon. Friend’s constituency. As the Chancellor said yesterday, we are getting investment done.
ParlaMint-GB_2020-03-12-commons.u90	16. What his policy is on the UK’s membership of the European Aviation Safety Agency after the end of the transition period.
ParlaMint-GB_2020-03-12-commons.u91	The UK will leave EASA at the end of the transition period.
ParlaMint-GB_2020-03-12-commons.u92	The Secretary of State will be aware that that news has not been well received by the aviation industry. The ADS, which represents over 1,100 UK companies, has noted that the UK and the EU could have an arrangement, in the same way that Switzerland does, giving us full membership of EASA without even having any jurisdiction of the European Court of Justice. Why would that be a problem for the Government?
ParlaMint-GB_2020-03-12-commons.u93	Because the EU said in its statement of negotiating parameters on 15 January that UK participation in EASA is not viable from its perspective. It would not be viable from a UK perspective either, because we would be subject to ECJ rulings in one form or another, and certainly, without any doubt, we would have to accept the European Commission creating the laws under which we would exist— and this country voted for Brexit. However, we will have a bilateral aviation safety agreement—a so-called BASA. We will also have a comprehensive air transport agreement—a so-called CATA—to enable smooth transport to continue.
ParlaMint-GB_2020-03-12-commons.u94	The aviation industry is in crisis and 84,000 UK jobs are potentially under threat, yet the Government plan to withdraw from EASA, despite the warnings from the industry and despite its costing 10 times as much money. Will the Transport Secretary put a stop to this reckless plan, stop this needless waste of public money and protect Britain’s impressive and world-leading role in aviation safety?
ParlaMint-GB_2020-03-12-commons.u95	The hon. Gentleman is right that the UK has the third largest aviation network, but the idea that we are there because of EASA is untrue. The reality is that we already have the expertise in this country. It is the Civil Aviation Authority that administers the entire system, so there is no particular role that we cannot step up and fill. In case the hon. Gentleman had not noticed, this country voted to leave Europe. I know the Labour party has struggled to understand this fundamental point about when we vote to do something, but people voted for it in a referendum and they voted for it again in a general election, and we are leaving.
ParlaMint-GB_2020-03-12-commons.u96	17. What steps he is taking to improve safety on the M66.
ParlaMint-GB_2020-03-12-commons.u97	Highways England has a programme of works under way, north of junction 2 of the M66, to resurface and renew road markings and studs. Once completed, those works will deliver safety benefits for all road users.
ParlaMint-GB_2020-03-12-commons.u98	In 2011, lighting on the M66 between junctions 1 and 3 was decommissioned. Many of my Bury North constituents have contacted me, expressing their concerns that that has created unsafe driving conditions, especially during heavy rainfall. Will my hon. Friend agree to meet me, and a number of local residents, to discuss those concerns, and investigate what actions can be taken to address them?
ParlaMint-GB_2020-03-12-commons.u99	I appreciate the concerns of my hon. Friend’s constituents about motorway driving without lighting. Highways England is working closely on that topic, and monitoring the safety situation on that section of the M66. Baroness Vere, the Minister responsible for roads—she is in the Gallery—will be happy to meet my hon. Friend to discuss the matter further.
ParlaMint-GB_2020-03-12-commons.u100	18. Whether he has made an estimate of the time it will take to review the Airports National Policy Statement. [R]
ParlaMint-GB_2020-03-12-commons.u101	The judgment by the Court of Appeal was complex, and the Government need time to consider it carefully. My right hon. Friend the Secretary of State issued a written statement on 27 February.
ParlaMint-GB_2020-03-12-commons.u102	I apologise for my earlier mistiming, Mr Speaker Does my hon. Friend agree that, as well as digesting what I agree are the complex implications of that judgment, she could take this opportunity to consider the report by the New Economic Foundation, entitled “Baggage Claim”? That report debunks many of the received wisdoms about the value to the UK economy of Heathrow expansion, and sets out in detail the economic opportunities created by regional expansion, especially in terms of levelling-up, which is a clear commitment of this Government.
ParlaMint-GB_2020-03-12-commons.u103	As my hon. Friend has outlined, just as I have a number of times today, the Court of Appeal judgment is complex. We are considering it, and we will set out our next steps in due course. On regional connectivity, we are committed to delivering airport expansion that is in line with our environmental obligations. We are also committed to levelling up, and ensuring that people are able to travel, whichever part of the country they live in, and that obviously relates to local and regional airports.
ParlaMint-GB_2020-03-12-commons.u104	19. What recent assessment he has made of the viability of the rail franchising system.
ParlaMint-GB_2020-03-12-commons.u105	Keith Williams has been tasked by the Government with leading a root and branch review into the rail industry, and he has confirmed that he will recommend scrapping the current franchising system. Full details will be set out in the White Paper which, all being well, will be published before summer.
ParlaMint-GB_2020-03-12-commons.u106	I thank the Minister for his comments. Passengers in my constituency and across northern England welcomed the decision to bring Northern Rail into public ownership on 1 March, following the collapse of Arriva Rail North. In the past decade, more than £178 million has been paid in dividends to Northern Rail shareholders, while simultaneously, there have been cuts to safety-critical staff on trains and stations. Research has shown that if our railway was in public ownership, we would save £1 billion a year—enough to fund an 18% cut in rail fares. Will the Minister assure Members that Northern Rail will be kept in public ownership, to rebuild the trust and confidence of rail users, and that it will not be privatised at the earliest opportunity?
ParlaMint-GB_2020-03-12-commons.u107	First, may I push back on the hon. Lady’s point about safety, which is completely incorrect? That issue is regulated by an independent body, and she is wrong. Since privatisation, we have seen the number of passenger journeys more than double, as well as more services and better trains. Northern Rail’s fleet is now being replaced with new trains, and that will be finished by the end of May. I very much hope that the new system will include a profuse and large group of private companies that want to run services for us.
ParlaMint-GB_2020-03-12-commons.u108	Problems with the franchising system mean that London North Eastern Railway is now under control of the Minister’s Department. He will be aware of my long-running campaign to get through trains from King’s Cross to Cleethorpes. Can he tell me when that will happen?
ParlaMint-GB_2020-03-12-commons.u109	I cannot answer my hon. Friend from the Dispatch Box today, but we are working to deliver the service that he has outlined, certainly at the beginning and end of each day to start with.
ParlaMint-GB_2020-03-12-commons.u110	20. If he will bring forward legislative proposals for the mandatory collection of bus accident data by bus companies for publication by local authorities.
ParlaMint-GB_2020-03-12-commons.u111	It is up to individual local transport authorities to determine which powers in the Bus Services Act 2017 are used to address issues of bus safety. Under a partnership or franchising scheme, bus operators could be required to provide bus safety data at specified intervals.
ParlaMint-GB_2020-03-12-commons.u112	While in London this data is collected, in all other areas of the country it is not. It is public transport we are talking about and the public should be made aware, or be allowed to be made aware, of this key data on the number of accidents and the causes of those accidents. Will the Minister agree to meet me and members of the family of Rowan Fitzgerald, who sadly died in 2015 in an unnecessary accident, to discuss the proposals in Rowan’s law?
ParlaMint-GB_2020-03-12-commons.u113	I know the hon. Gentleman has met a number of bus Ministers to discuss the fatal accident in Coventry in 2015. I offer my deepest condolences for this terrible tragedy. Collection of data could be considered within the national bus strategy. I, or one of my colleagues, would be happy to meet him to discuss that further.
ParlaMint-GB_2020-03-12-commons.u114	T1. If he will make a statement on his departmental responsibilities.
