ParlaMint-GB_2020-11-17-commons.u1	What steps his Department is taking to increase covid-19 testing capacity.
ParlaMint-GB_2020-11-17-commons.u29	The price of an FFP2 mask bought by the Government increased by 1,400% in just six weeks to the end of May and gowns by 350%. I welcome all efforts by the Government to procure PPE, but I have concerns that we may not be getting a fair price. One company, PPE Medpro Ltd, was given Government contracts worth over £190 million. PPE Medpro Ltd had no previous experience and coincidentally was only set up on 12 May 2020. Reports have suggested that the company has substantial links to Conservative party donors, so can the Secretary of State or the Minister categorically assure the country that no Conservative party donors are profiteering from the pandemic?
ParlaMint-GB_2020-11-17-commons.u30	Our plan on PPE has to be to stabilise the system and build resilience. That was outlined in the PPE strategy published on 28 September. [Interruption.] Children! Thank you.
ParlaMint-GB_2020-11-17-commons.u31	Minister Churchill, I think that is down to me; you carry on.
ParlaMint-GB_2020-11-17-commons.u32	I am sorry, Mr Speaker, but it is that old habit from being a mother of four We procure goods and services, as I have said, with extreme urgency in accordance with procurement rules and Cabinet Office guidance. We are confident of our supply, with four months’ worth of covid-critical PPE, over 70% of it now manufactured in the UK, providing UK businesses with jobs and ensuring that all health and care providers have access to critical protective equipment needed to keep patients and staff safe.
ParlaMint-GB_2020-11-17-commons.u33	What progress his Department has made on building new hospitals.
ParlaMint-GB_2020-11-17-commons.u34	What progress his Department has made on building new hospitals.
ParlaMint-GB_2020-11-17-commons.u35	On 2 October, £3.7 billion-worth of funding was confirmed for 40 new hospitals, with a further eight schemes invited to bid for future funding, to deliver a total of 48 hospitals by 2030. Four in the programme are already in construction, and three others have commenced early, enabling works on site. The hospital building programme is, of course, in addition to significant upgrades to 20 hospitals, which will be complete by March 2024, and is part of a wider programme of investment.
ParlaMint-GB_2020-11-17-commons.u36	I am grateful to the Minister for those clarifications, and I obviously welcome this programme, but before he came into office, in March 2018, his Department allocated £312 million for a major capital programme at the Royal Shrewsbury Hospital and the Princess Royal Hospital in Telford. Now that an independent reconfiguration panel has confirmed that these decisions were properly made and should proceed, the trust is seeking approval from his Department for advance of funds for enabling work by architects, structural engineers and others. Can he confirm when this requested £6.3 million will be forthcoming?
ParlaMint-GB_2020-11-17-commons.u37	I am pleased to confirm to my right hon. Friend, a distinguished predecessor of mine in this office, at this Dispatch Box that £6 million-worth of funding has been approved in principle, allowing Shrewsbury and Telford Hospital NHS Trust to develop its plans and produce a business case for this scheme. The Department will continue to work closely with the trust to understand how the right support can be provided centrally to develop an affordable case for the overall scheme and to maximise the impact of this funding, and I will be writing to my right hon. Friend with more detail later today.
ParlaMint-GB_2020-11-17-commons.u38	The independent reconfiguration panel overwhelmingly backed the plans for the development at the Epsom and St Helier trust; does my hon. Friend agree that the Labour party should take away the threat of a judicial review and allow this investment to take place so that my constituents and the constituents of south-west London can benefit from greater access and better-quality healthcare?
ParlaMint-GB_2020-11-17-commons.u39	I am delighted that my right hon. Friend the Secretary of State recently gave these plans the green light following independent advice from the IRP, and I am pleased that this will mean my hon. Friend’s constituents and, indeed, many others will benefit from a new state-of-the-art NHS hospital in Sutton. Patients and the public will now be engaged in shaping the detail of the new services; I encourage all local people to participate positively in that process and the council and others to get behind that scheme and that record investment by this Government in his area.
ParlaMint-GB_2020-11-17-commons.u40	What recent discussions he has had with the Chancellor of the Exchequer on reducing the economic effect of the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u41	I have regular discussions with the Chancellor of the Exchequer and others. The best strategy for both health and the economy is to suppress the virus, supporting the NHS and the economy, until a vaccine can make us safe.
ParlaMint-GB_2020-11-17-commons.u42	The economic effect of the lockdown on the hospitality sector in particular is severe. In large constituencies such as Thirsk and Malton, the infection rate can vary significantly across different districts. When my right hon. Friend moves us back to a tiered system on 3 December, will he look at allocating tiers by district rather than by county to keep the economy as open as possible?
ParlaMint-GB_2020-11-17-commons.u43	Throughout the process of the tiered system, we have always looked at a level of granular detail, whether at district council level or, indeed, ward level in some cases, to make sure that we have the appropriate measures in the appropriate places. While it is too early to say exactly how we will proceed from 3 December, that is a commitment that I can make to my hon. Friend.
ParlaMint-GB_2020-11-17-commons.u44	As I have highlighted previously, covid is spread not just by droplets but by airborne particles, so good ventilation is key to reducing the risk of spread indoors, such as in hospitality. On 20 October, the Secretary of State agreed to speak to the Chancellor about removing VAT from ventilation and air-purification systems to make them more affordable. Can the Secretary of State tell us what discussions he has had with the Chancellor and what the outcome was?
ParlaMint-GB_2020-11-17-commons.u45	There has been work on promoting ventilation in government. The hon. Lady is absolutely right that ventilation is important and that the scientific evidence on the aerosol transmission of coronavirus has strengthened over recent months.
ParlaMint-GB_2020-11-17-commons.u46	If that is the case, can the Secretary of State clarify whether we will hear an announcement from the Chancellor in the near future on supporting the installation of such systems? Even with the good news about potential vaccines, it will be a long time before most of the population are vaccinated, so what is the Secretary of State’s strategy to control covid over the coming year?
ParlaMint-GB_2020-11-17-commons.u47	Our strategy is to suppress the virus and support the NHS and the economy until a vaccine can make us safe. Increased ventilation can help to reduce transmission, so it is an important consideration, among many others, for how we tackle this disease.
ParlaMint-GB_2020-11-17-commons.u48	What recent assessment he has made of the effect of the covid-19 outbreak on (a) access to routine dental services and (b) early diagnoses of mouth cancers.
ParlaMint-GB_2020-11-17-commons.u49	This Mouth Cancer Action Month is a timely reminder that everybody should seek advice if they are worried. Early in the first wave, dental services were suspended, but rapidly, over 600 urgent dental centres were set up to deliver care. Since June, dentists have continued to prioritise urgent treatment and vulnerable groups and to provide routine care across the dental network. They have worked hard to restore dental activities, while keeping patients and staff safe, owing to some aerosol-generating procedures that mean we have to take particular care in the dental sector.
ParlaMint-GB_2020-11-17-commons.u50	I recognise the Minister’s comments that people are trying to get back to work in dentistry, but the reality is that there is massively reduced dental capacity; routine dental work is not going ahead as easily as people might imagine. Dentistry also plays a vital role in identifying mouth cancers. Following on from a previous question, I wonder what help the Minister can give dental surgeries to improve their capacity. Currently, they have to have an hour’s gap between patients. I understand that ventilation systems are available, which can help, but unfortunately they are very expensive. What help can Ministers give to enable dentists’ surgeries to purchase that equipment? Can grants be made available? This is a really urgent question.
ParlaMint-GB_2020-11-17-commons.u51	I recognise the hon. Lady’s concern in this area. I assure her that I am working closely with NHS Improvement and the chief dental officer. I have held several meetings over the past week alone, and tomorrow I am meeting the chair of the British Dental Association. Some areas of challenge that she articulates, such as fallow time and so on, are things that we are actively working on at pace, as well as looking at specific testing solutions for dentistry. We are also looking at the issue of ventilation. I am happy to report when further work has been achieved.
ParlaMint-GB_2020-11-17-commons.u52	What steps his Department is taking to support the development of covid-19 vaccines.
ParlaMint-GB_2020-11-17-commons.u53	What steps his Department is taking to support the development of covid-19 vaccines.
ParlaMint-GB_2020-11-17-commons.u54	Yesterday, the House will know that we secured 5 million doses of the Moderna vaccine, so we have now secured access to 355 million vaccine doses through agreements with seven separate vaccine developers. We have secured them for the whole UK.
ParlaMint-GB_2020-11-17-commons.u55	I thank my right hon. Friend for that answer. What assessment has he done of the logistics necessary to deliver a vaccine to more rural areas, such as Cornwall?
ParlaMint-GB_2020-11-17-commons.u56	We have done a huge amount of work. The deployment of the vaccine is, of course, being led by the NHS, which reaches into all parts of the UK. Our principled approach is that we will deploy the vaccine according to clinical need in every single part of the UK at the same time. That, of course, includes rural areas. A significant amount of work has gone into how best to deploy to rural areas, especially as some of the people who clinically will need to get the vaccine first are also those who might find it most difficult to travel. It is a very important question on which a huge amount of work is being done.
ParlaMint-GB_2020-11-17-commons.u57	I thank my right hon. Friend and fellow one nation Conservative for his hard work and that of his Department in impossible circumstances this year. Kate Bingham and the vaccine taskforce have done an amazing job in securing so many doses of vaccines, as and when they become available, which will be centrally procured by the UK Government and equally available across all parts of our United Kingdom. Does my right hon. Friend agree that that shows the power of all parts of the UK speaking with one voice and working together for the good of our entire Union?
ParlaMint-GB_2020-11-17-commons.u58	I feel very strongly about this, and I agree very strongly with my hon. Friend. We should take forward this vaccine and ensure it is available fairly and equally across all parts of our United Kingdom. Of course, it will be deployed in each of the devolved nations through the devolved NHS. I have been working closely with my counterparts, and the four NHS organisations have been working together. Ultimately, let us hope that should a vaccine become available—we still do not yet have one authorised—it will be a moment at which the whole country can come together in support of making sure that those who are clinically most vulnerable will get support first wherever they live.
ParlaMint-GB_2020-11-17-commons.u59	What recent discussions he has had with the Secretary of State for Digital, Culture, Media and Sport on tackling anti-vaccination disinformation online; and if he will make a statement.
ParlaMint-GB_2020-11-17-commons.u60	The Culture Secretary and I discuss regularly with social media platforms the action that is needed to tackle vaccination disinformation online. I am encouraged by the fact that social media companies who have attended meetings with us have agreed to commit to the principle that no user or company should directly profit from covid-19 vaccine disinformation and to ensure a timely response when we flag such content to them.
ParlaMint-GB_2020-11-17-commons.u61	It is obviously tremendous news that a vaccine will be available and that the people in the UK may be among some of the first in the world to receive it, but it is important that there is public confidence in the vaccine. The anti-vaccine movement is damaging: it is a threat to public health. Does my right hon. Friend agree that social media companies should not just be taking down anti-vaccine material when they are notified of it, but proactively looking for it on the internet and removing it themselves?
ParlaMint-GB_2020-11-17-commons.u62	Yes, absolutely. A critical part of tackling disinformation is providing accurate, fair and objective positive information, and my hon. Friend is absolutely right about this point. The social media companies are working—and we are providing content for them—to ensure that proper, accurate information that the public can trust from the NHS about the effectiveness of vaccines can be promoted, as well as taking action to remove information that is not accurate and not correct.
ParlaMint-GB_2020-11-17-commons.u63	What steps his Department is taking to help ensure that family members can safely visit relatives in care homes during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u64	Visits from loved ones are what makes life worth living for many care home residents, yet, sadly, these have been too few over the last few months. Unlike the first lockdown, during this period of national restrictions, we want visits to be able to continue. That is why we published new guidance on 5 November advising care homes of the steps that they can take to allow safe visiting while there are high rates of covid in the community. Yesterday, we launched our visitor testing trial and plan to offer visitor testing to care homes across the country by Christmas.
ParlaMint-GB_2020-11-17-commons.u65	There are almost 2,000 people living with dementia in Lewisham and for those in residential care, a lack of social interaction through visits can cause their condition to deteriorate. Testing for family and friends is the way forward, but the Government’s pilot for this was launched only this week and just 20 care homes are included. With the festive period rapidly approaching, why was this not done months ago, and is it not just another example of the Government delivering too little, too late?
ParlaMint-GB_2020-11-17-commons.u66	We have been testing and have prioritised testing in care homes going back as far as May, and we have been carrying out whole care home testing. We are now testing over 500,000 staff and residents in care homes every week. Now, as testing capacity increases, we are launching the visitor testing trial with 20 care homes across Hampshire, Devon and Cornwall. We will use the lessons from that trial to roll out testing more widely across the country as fast as we possibly can.
ParlaMint-GB_2020-11-17-commons.u67	I am afraid the Government’s pilot scheme simply fails to understand the scale or urgency of the task. The average time someone spends in a care home before they pass away is two years, so after eight months of not being able to visit, families do not have a moment to lose. If the Government believe that weekly tests make it safe for care home staff to go to work, why not just do the same for families? Will the Minister now agree that a proportion of the 157,000 tests that are currently spare capacity every day will be ring-fenced for family visits so that we can safely bring all families back together in time for Christmas?
ParlaMint-GB_2020-11-17-commons.u68	I absolutely want to enable relatives to go and visit their loved ones in care homes, but we have to remember that we are against a backdrop where covid is incredibly cruel to those living in care homes. We have seen outbreaks that have gone from one resident across to almost all residents within a few days, with staff also affected, so we have to get the balance right. We have to make sure that we do this in a way that is safe to residents and staff. That is why we are carrying out the trial to learn the lessons, so that we do it right and so we can then safely roll out testing and more visiting across the whole country.
ParlaMint-GB_2020-11-17-commons.u69	What assessment his Department has made of the effectiveness of the whole city covid-19 testing pilot in Liverpool.
ParlaMint-GB_2020-11-17-commons.u70	The Liverpool pilot will help to inform a blueprint of how mass testing can be achieved and how rapid testing can be delivered at scale. We are now making mass testing available right across the country.
ParlaMint-GB_2020-11-17-commons.u71	I thank my right hon. Friend for his reply. May I ask him to agree to extend the pilot for rapid testing to the whole of Derbyshire and Derby to give the pilot real work to compare our semi-rural area with the urban area of Liverpool?
ParlaMint-GB_2020-11-17-commons.u72	We are now issuing test kits to 84 directors of public health across the country. I am very happy to work with Derbyshire and Derby to make sure that my hon. Friend’s request is taken up and we can make this happen.
ParlaMint-GB_2020-11-17-commons.u73	What recent plans he has made for the distribution of covid-19 vaccines.
ParlaMint-GB_2020-11-17-commons.u74	On top of the positive news this week of two vaccines, a covid vaccine will be deployed only once it has met robust standards on safety, effectiveness and quality through clinical trials and been approved for use by the Medicines and Healthcare Products Regulatory Agency or an appropriate regulatory body. The Government have asked the NHS to be ready to deploy any safe, effective vaccine as soon as it is available. Distribution arrangements must be flexible and include the make-up of the workforce needed to rapidly deliver a vaccination programme, training requirements, consumables and any supporting infrastructure. The key point, though, is that the Government have been clear they will do everything they need to do to roll out a successful vaccine.
ParlaMint-GB_2020-11-17-commons.u75	Does the Minister agree that it is going to be a mammoth logistical effort, not only to do a vaccination-style thing as we do every year with flu, but to include everybody? Also, it looks as though, in order for the vaccine to be effective, people might have to have two injections rather than one, which doubles the number. Can she give any view at this stage, given the logistical efforts that are going in, of how long it will take us to safely vaccinate everybody in the country?
ParlaMint-GB_2020-11-17-commons.u76	First, I would like to place on record my enormous thanks to Liverpool and its local leadership for how it has helped us with repatriating from Wuhan and with the mass testing. I am sure that Liverpool will once again step to the fore with any help we might need with deploying the vaccine. We will deploy it as fast as possible, but there is a process. We have to know that it is safe, through the regulatory framework. We then have to know that as it arrives from the manufacturers, we can distribute it at pace. We are aiming to do that, and every sinew is being strained to ensure that we can deliver as swiftly as possible. The entire population wants to get on with living a normal, or more normal, life.
ParlaMint-GB_2020-11-17-commons.u77	What steps his Department is taking to protect care home residents during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u78	Sadly, covid is cruel to care home residents, and outbreaks are hard to prevent and control, especially when covid rates are high in the surrounding community. As we set out in our winter plan for adult social care, we have a regime of regular testing for staff and residents, we are supplying personal protective equipment to care homes, we have been offering training in infection prevention and control, backed up by Care Quality Commission inspections, and we are providing £1.1 billion to social care specifically to go towards the cost of infection prevention and control.
ParlaMint-GB_2020-11-17-commons.u79	I know that my hon. Friend has already touched on this subject, but she will be aware that since April, many people have not been able to visit relatives and loved ones in care homes, so will she please tell the House again what is being done to improve testing and to roll out the flu vaccine to ensure that these visits can resume safely after the latest lockdown?
ParlaMint-GB_2020-11-17-commons.u80	My hon. Friend is a great advocate for the care sector—for those who receive care and for the workforce—in Southend West. Yesterday we launched a trial of visitor testing, and we plan to offer this to care homes across the country during December. On his question about flu vaccinations, this year we are carrying out the biggest ever flu vaccination programme. So far, the majority of care home residents have been vaccinated, but there is further to go for care staff, and I urge any careworker who has yet to have their flu jab to ensure that they get it over the next few weeks.
ParlaMint-GB_2020-11-17-commons.u81	What steps his Department is taking to support the adult social care sector during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u82	Our winter plan sets out what we are doing to support adult social care during the second wave of the pandemic, including supplying free PPE to meet social care’s covid needs across domiciliary care, day care services and personal assistance as well as in care homes, and includes a further £546 million of funding for the infection control fund, bringing the total we have provided to social care for infection control to £1.1 billion.
ParlaMint-GB_2020-11-17-commons.u83	The new megalabs will open in 2021, one of which will be just down the road in Leamington Spa. This is very welcome news for the care sector in Stourbridge, which needs fast access to testing to carry out its amazing work, and let us not forget that these megalabs will bring thousands of jobs to the midlands. The UK is already No. 1 in Europe for testing capacity. With these new labs on stream, that capacity will double. Will my hon. Friend commit to prioritising the social care sector in this new capacity?
ParlaMint-GB_2020-11-17-commons.u84	The answer to my hon. Friend’s question is yes. Adult social care has already been at the front of the queue for testing. Care homes in Stourbridge and across the country have had whole care home testing since May. We have now sent out more than 13 million test kits to care homes. Every week we are testing more than half a million staff and residents, with nearly 90% of results back within 72 hours. I will continue to make sure that social care is a priority, going beyond care homes to include domiciliary care and supported living as we increase testing capacity.
ParlaMint-GB_2020-11-17-commons.u85	What steps his Department is taking to support the healthcare needs of newborn babies and their families during the autumn 2020 covid-19 lockdown.
ParlaMint-GB_2020-11-17-commons.u86	What steps he is taking to support the healthcare needs of babies and families during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u87	The indirect impact of covid-19 has been significant for pregnant women and their young families. Support for families is a priority, and it means short-term and long-term harms can be prevented. Health visiting teams have continued to support and prioritise high-need families. We have also gone to great lengths to ensure that informal support networks that have been there in the past to support mothers and younger babies can remain and provide the support they were unable to give during the first wave.
ParlaMint-GB_2020-11-17-commons.u88	I know that my hon. Friend is well aware of the desire of new families to return to face-to-face services as soon as is possible, but does she agree that the amazing work of so many in the early years sector to deliver online and digital services at this incredibly difficult time must not be lost? When we return to face-to-face services, we also therefore need to capture all the amazing learning on digital and make sure we can amplify support for new families in that way.
ParlaMint-GB_2020-11-17-commons.u89	I absolutely agree with my right hon. Friend on that. First, may I pay tribute to her for the work she has undertaken throughout her career with families, parents and young babies, and on early years, particularly the first years of a child’s life? I am sure Members on both sides of the House are hugely anticipating and excited about receiving her review on early years and young families. She is right to say that using digital technologies has enhanced so many areas during the first lockdown and throughout our time with covid, not only in mental health, but with young families and children. In a way, it has been a catalyst whereby we have embraced technology in all areas across health service delivery. We are making sure that we continue to do that and we do not lose the moment.
ParlaMint-GB_2020-11-17-commons.u90	Many low-income families have struggled to make ends meet during lockdown. Families with babies under one are entitled to Healthy Start vouchers of only £6.20 a week, which is not enough to buy any infant formula that I can find on the market. By contrast, Scotland’s equivalent provides £8.50 a week for Best Start foods. The all-party group on infant feeding and inequalities, which I chair, produced a report on the cost of infant formula in 2018. It recommended the uprating of Healthy Start vouchers, because the cost involved in buying formula means that families are watering down formula or feeding their babies unsafe alternatives. Will the Minister urgently consider uprating Healthy Start vouchers, to ensure that low-income families can claim their entitlement, because many do not?
ParlaMint-GB_2020-11-17-commons.u91	I will take away the hon. Lady’s comments and we will look at them.
ParlaMint-GB_2020-11-17-commons.u92	What steps his Department is taking to support the provision of non-covid-19 healthcare treatment.
ParlaMint-GB_2020-11-17-commons.u93	What steps his Department is taking to support the provision of non-covid-19 healthcare treatment.
ParlaMint-GB_2020-11-17-commons.u94	The Government are supporting the NHS’s ambition to continue to restore elective services for non-covid patients, while of course recognising the pressure on services from covid-19 infection control, with September statistics showing services already restored to about 80% of last year’s levels. Some £2.9 billion of additional funding has been made available from 1 October to manage ongoing covid-19 pressures, alongside recovering non-covid activity levels.
ParlaMint-GB_2020-11-17-commons.u95	I thank my hon. Friend for his response. Given the difficulties faced by the NHS because of covid-19, what considerations are being given to additional initiatives or the management of existing resources to address patient demand and break the backlog of non-covid-related treatments, such as diagnostic interventions for cancer?
ParlaMint-GB_2020-11-17-commons.u96	The NHS is working hard to maintain elective activity as far as possible during the second wave with extra funding, as has been set out. As shown in published September data, hospitals are carrying out more than 1 million routine appointments and operations per week, with around three times the levels of elective patients admitted to hospitals than in April, with many hospitals innovating to get through their lists. For example, Buckinghamshire, Oxfordshire and West Berkshire sustainability and transformation partnership has set up additional bespoke cataract units to deliver services. In addition, we have been making use of independent sector sites to assist the NHS with almost 1 million NHS patient appointments taking place within those facilities.
ParlaMint-GB_2020-11-17-commons.u97	One adverse consequence of the first lockdown was that many people failed to seek treatment because they were afraid of the virus, but due to good planning and hard work, the staff of the Norfolk and Norwich University Hospital are able to treat covid patients while still undertaking the normal work of the hospital. Does my hon. Friend agree that the people of Broadland should continue to seek medical assistance when they need it, confident in the knowledge that it will be provided in a covid-safe and effective manner?
ParlaMint-GB_2020-11-17-commons.u98	I share my hon. Friend’s fulsome praise of the staff at Norfolk and Norwich University Hospital and the work that they are doing. They have a strong champion in him. Indeed, I pay tribute to all the health and social care staff who have worked so magnificently throughout the pandemic. I can wholeheartedly agree with everything he says. My right hon. Friend the Secretary of State has been clear throughout this pandemic that anyone who needs medical help should continue to seek it in the knowledge that they will be treated in a safe and effective manner appropriate to their needs. To put it bluntly, it is a case of help us to help you.
ParlaMint-GB_2020-11-17-commons.u99	For cancer care, we are still dealing with the backlog from the first wave, but we are now hearing of treatments being cancelled during the second wave. Extremely vulnerable immuno-compromised cancer patients need covid-free wards and staff need regular testing. Similar backlogs to the first wave could be the difference between life and death. I ask this at every Health questions but am yet to receive a persuasive answer. What will the Government do differently in order to restore cancer services?
