ParlaMint-GB_2020-09-21-commons.u1	What steps he is taking to support the domestic manufacture of defence helicopters.
ParlaMint-GB_2020-09-21-commons.u15	The mistake of all the defence reviews—including the 1998 one, which was exceptionally good, and Lord Drayson’s review—was that they were not matched by funding. The Labour party had exactly the same problem at its last review, which is why in 2010 we inherited a black hole of billions of pounds, and indeed, there is a black hole now, identified by the National Audit Office. This is not unique to any political party. Selective picking of the last two reviews, when I could probably talk about the last five, makes no difference. The key is to ensure that our review is driven by threat. The threat defines what we need to do to keep us safe at home, and the ambition defines how far we wish to go. All that then needs to be matched with Treasury funding. If we are over-ambitious, underfunded or both, we will in a few years’ time end up in the position we are in today and have been in the past. It has been my determination to support the men and women of the armed forces the shadow Secretary of State talks about by making sure that we give them something we can afford and tailoring our ambition to match our pocket.
ParlaMint-GB_2020-09-21-commons.u16	Of course, the Labour Government invested in defence at a higher rate each year than that of the previous 10 years, but the Secretary of State is right about the big aims and challenges. He has previously described the 2015 review as over-ambitious and underfunded, and to over-promise and under-deliver has become something of a hallmark of this Government, but that most recent review left Britain with a £7 billion black hole for military equipment; 8,000 fewer soldiers than Ministers pledged as the minimum; and multibillion-pound contracts placed abroad when we could build in Britain. Of course, there is also a pandemic disease, which was confirmed as a tier 1 threat but no Government action was taken to prepare for it. For all the Secretary of State’s talk of the grand picture and grand strategy, does he accept that the British public and the Opposition will judge the Government by these tests?
ParlaMint-GB_2020-09-21-commons.u17	I think that I misheard. I thought the shadow Secretary of State was talking about the position that we inherited in 2010, which was underfunded and over-ambitious—indeed, there was an equipment hole so big that many of the tanks could be driven through it. He could also point out that our men and women in the armed forces have been ready: they have delivered an excellent covid response and have not been found wanting in any way. That is partly because of the investment we have put into them, but also because of expert leadership through the officers and the civil servants in the Department and across the Government I assure the shadow Secretary of State that the best way to avoid the pitfalls of the past is to make sure that our ambition is matched by our pockets and what we put into the review. That is fundamentally the best thing we can do for all our forces. I would be delighted to hear the Labour party’s ambition on foreign policy and security; the previous Labour party leadership’s ambition for foreign policy was surrender.
ParlaMint-GB_2020-09-21-commons.u18	I echo the comments of the shadow Secretary of State, the right hon. Member for Wentworth and Dearne (John Healey), about the armed forces and the job they are doing in the current crisis We in Scotland know all about over-ambition and under-delivery when it comes to the Ministry of Defence, because six years ago we were promised a frigate factory, but that promise was broken, and we were promised 12,500 regular troops in Scotland, but the number has never even come close to hitting 10,000. Is it not time, if we are to avoid this cycle of over-promising and under-delivery, to move towards multi-year defence agreements that bring together the Secretary of State’s Department, the Treasury and parties in this House to prevent the £13 billion equipment-plan black hole from growing ever further?
ParlaMint-GB_2020-09-21-commons.u19	I hear what the hon. Gentleman says. Of course, he may have missed the Type 31 frigate and the Type 26 ships that are being made in Scotland. He may have missed Faslane, although I know they do not want to talk about that in the Scottish National party. He may have missed the recent basing of the P-8s in Kinloss. There will be more investment and more units placed in Scotland, because we believe that the United Kingdom is the best union in this country to deliver security for all its citizens. We do not believe in separation; we do not believe in putting borders between our two countries; and we do not believe in trying to kid-on people in Scotland that they will get something for nothing with a Scottish navy or Scottish armed forces. We are stronger when we are together—that is the United Kingdom and that is what will continue to invest in. There are plenty of troops and plenty of navy in Scotland supporting the security of us all.
ParlaMint-GB_2020-09-21-commons.u20	The Government promised 12,500 and the Secretary of State has not once come close to delivering 10,000. He promised a frigate factory and his Department has never come close to delivering it. He must know the difference between the frigate itself and the frigate factory promised under the Conservative Government at the time Let us look at Denmark, a country that does use multi-year defence agreements. It does not have a £13.5 billion black hole in its equipment plan; it trebled its defence spending a little over one year ago. Why does the Secretary of State not answer the question? We can take the heat out of these exchanges if he takes our advice and moves to multi-year defence agreements. Will we see that progress, as we were repeatedly told we would, when the integrated review is published next month?
ParlaMint-GB_2020-09-21-commons.u21	We are going to have a multi-year integrated review that sets the course for the next few years so that we can settle down and face tomorrow’s threat, not yesterday’s threat. Scottish National party Members always resort to “Let’s save one regiment or the other” rather than discussing what the threat could be to Scotland and how they are going to deal with it. Fundamentally, all these reviews are supposed to happen not annually but over a number of years. The hon. Member will know that the Treasury has already talked about a four-year spending settlement in the next comprehensive spending review for capital and a three-year settlement for revenue, so it is based on multiple years. Instead of arguing about the difference between a frigate factory and a systems integrator, supplier, subcontractor or supply chain supporter, it would be nice if he would recognise that in Scotstoun and Govan, and in Glenrothes and Fife alone, there are thousands of jobs linked to defence, many of which would not exist if Scotland took a separatist path and abandoned the defence industry and the security of these isles.
ParlaMint-GB_2020-09-21-commons.u22	Could the Secretary of State say when this integrated review will actually be published? Following the briefings this morning in No. 10, arguably the biggest threat facing this nation is covid-19, with cases once again rising. We must learn lessons from the first spike. It is clear that the bandwidth—the capacity—of all Governments, including the UK’s, is being tested by this enduring emergency. I have said this before and I say it again: please will he encourage greater use of our senior armed forces to help to advance Whitehall’s strategic thinking, operational planning and delivery, as well as the clarity of the message? They are, after all, trained for crisis management and emergency planning; let us make full use of them.
ParlaMint-GB_2020-09-21-commons.u23	On the timing of the review, it will hopefully report in the autumn—in October/November time. To ensure that our pockets match our ambitions, it is timed to coincide with the comprehensive spending review. Therefore, between the two, we have to make sure that we get the timing right On the issue of covid and Defence, we did a fantastic job in the first phase, in my view, through our men and women of the armed forces. We helped to thicken the response across government by command and control, with senior officers and middle-ranking officers going in and helping people. We strengthened the logistics supply chain in the NHS. We provided mobile testing to make sure that testing went to where people were rather than expecting them to get in cars and go up and down motorways. Our response was excellently positioned. Because we were able to make that response, we have already, backed up by people like those in Defence Intelligence, started planning for any second eventuality, either a second wave or not a wave but an alternative challenge, whether that is winter pressures, floods or Brexit. All that is ongoing. I am confident that our men and women will be able to deliver, whatever demands are put on government. I offer them to government on a regular basis. I know that the Prime Minister is incredibly supportive of taking up that offer when the needs fit.
ParlaMint-GB_2020-09-21-commons.u24	We are going to have to speed up the answers.
ParlaMint-GB_2020-09-21-commons.u25	Operation Arbacia has exposed international terror links running from Iran to Ireland and from Hezbollah to the Real IRA. When will the Government be in a position to proscribe the framework operation of that organisation—namely, the Muslim Brotherhood—here in the United Kingdom, and when will they be able to put that organisation out of business?
ParlaMint-GB_2020-09-21-commons.u26	Hezbollah is proscribed—the political wing as well as the military wing. Real, New and Continuity IRA, and all the other dissident republican groups, are also proscribed. The point that the hon. Gentleman really highlights is that the malign activity of Iran has not stopped. People who think that that does not get back to us on our streets should look at that latest operation, which showed New IRA reaching out in Lebanon or working with Hezbollah and other actors potentially aligned to Iran to potentially inflict murder and death on these streets, either here or in Northern Ireland. We should not forget that. Old habits die hard. These people are now potentially subject to judicial trial, and I cannot do anything to threaten that, but we should point to the facts that he highlights and show that our adversaries link up around the world.
ParlaMint-GB_2020-09-21-commons.u27	What support his Department has provided to the humanitarian efforts in Beirut.
ParlaMint-GB_2020-09-21-commons.u28	Within days of the explosion, Defence deployed HMS Enterprise, the first foreign ship to reach Beirut, in order to survey the blast zone and share crucial data on hazardous material blocking the port approaches. In addition, Defence provided targeted support for Lebanese armed forces who have been co-ordinating the humanitarian response. This included a field kitchen and tents for 500 people, two medical cold storage containers, and a team of advisers.
ParlaMint-GB_2020-09-21-commons.u29	I welcome the MOD’s humanitarian response to the disaster in Beirut, but it is important that aid actually reaches the people who need it and is used for the benefit of the people. For example, a donation of tea by Sri Lanka for the victims of the blast was distributed to the families of presidential guards. Can my right hon. Friend tell me how he is going to ensure that aid reaches the people who need it, and also how important defence diplomacy has been in providing that support?
ParlaMint-GB_2020-09-21-commons.u30	Defence diplomacy is incredibly important in making sure that, as my hon. Friend says, the assistance delivered on the ground gets to where it needs to go. It is also incredibly important in making sure we smooth the way in many countries after a disaster or, indeed, just in countries with a different system. That is why we invest in our defence diplomacy network, including our defence attachés. They were first on the ground in Lebanon, and they managed to make way for a number of our advisers, who are in place now. He is absolutely right: we need to make sure that the aid is always targeted to the right place. The defence attaché network does just that, and it will continue to get our full support.
ParlaMint-GB_2020-09-21-commons.u31	What support his Department has provided to veterans during the covid-19 outbreak.
ParlaMint-GB_2020-09-21-commons.u32	The MOD has continued to provide a full range of veterans support services throughout the United Kingdom during the covid-19 pandemic. In conjunction with the £6 million provided to the armed forces charity sector, the Department has helped many veterans contribute to the response to the pandemic through veterans volunteering organisations or working alongside the military contribution in the national interest.
ParlaMint-GB_2020-09-21-commons.u33	Would my hon. Friend be able to tell me how the Ministry of Defence plans to continue to use the resources of the UK’s armed forces to help tackle the coronavirus pandemic?
ParlaMint-GB_2020-09-21-commons.u34	We have seen members of the armed forces working alongside our infrastructure across the United Kingdom, whether they have been inserted in local resilience forums or, indeed, the planners we stood up here in London. UK defence has made a significant contribution to the national effort to defeat this virus, and that will continue in the months ahead.
ParlaMint-GB_2020-09-21-commons.u35	What steps his Department is taking to provide an effective welfare service for veterans.
ParlaMint-GB_2020-09-21-commons.u36	What steps his Department is taking to provide an effective welfare service for veterans.
ParlaMint-GB_2020-09-21-commons.u37	What steps his Department is taking to provide an effective welfare service for veterans.
ParlaMint-GB_2020-09-21-commons.u38	What steps his Department is taking to provide an effective welfare service for veterans.
ParlaMint-GB_2020-09-21-commons.u39	The Veterans Welfare Service continues to provide the full range of support services to veterans during the covid-19 pandemic.
ParlaMint-GB_2020-09-21-commons.u40	Last year, the Crawley armed forces and veterans breakfast club was established, and I have enjoyed meeting it several times since then, most recently on the VJ75 anniversary. What specific support can be provided to such grassroots groups that support our armed forces and veterans personnel?
ParlaMint-GB_2020-09-21-commons.u41	When LIBOR funding came to an end two years ago, it was replaced by something called the Armed Forces Covenant Fund Trust. It is administered in a professional way, and all charities and such grassroots organisations can now bid into it for grants. I am happy to write to my hon. Friend with details of how we can pass that on to support the great work that those in Crawley do at their breakfast clubs.
ParlaMint-GB_2020-09-21-commons.u42	I would like to thank the Minister for his response. I am sure he will join me in welcoming the Royal Marines family centre at Lympstone, due to open in October, which will support serving Royal Marines, veterans and their families. The Commando Training Centre is a source of enormous pride for East Devon and the many former Marines who live nearby. Could the Minister outline what further support the Government have provided during the pandemic, particularly for those experiencing exacerbated challenges due to lockdown measures, such as mental ill health and alcohol addiction?
ParlaMint-GB_2020-09-21-commons.u43	I pay tribute to the Commando Training Centre Royal Marines. I was down there in March, and it really is at the cusp, as it were, of family welfare. We have seen under this Government a significant transition to looking after our people through a number of schemes that they are benefiting from. When it comes to extra support, we have moved a lot of our veterans UK services online. We provide an extra £6 million in funding to the charity sector, but of course there is always more to do.
ParlaMint-GB_2020-09-21-commons.u44	Captain Tom Moore’s fundraising was an inspiration to us all, reflecting the public’s continued strong support for our veterans. What additional welfare support is my hon. Friend’s Department providing to veterans in Havant and across the country to access vital services and to find work?
ParlaMint-GB_2020-09-21-commons.u45	There is an unprecedented number of options at the moment for two things that my hon. Friend mentions. One is dealing with mental health challenges and other is around work. On mental health, we brought online earlier this year the complex treatment service, which runs alongside our transition, intervention and liaison service. I am bringing the high intensity service online later this year, and when that is there, I am comfortable that we will have a world-class level of mental health support for our veterans. When it comes to getting people into work, there have never been more initiatives. I am clear that the single biggest factor that improves the life chances of our veterans is having a job. There are some extremely good examples around now, mirrored of course by the civil service with the guaranteed interview scheme.
ParlaMint-GB_2020-09-21-commons.u46	As a veteran and a member of the Defence Committee, I would like to highlight the work undertaken by female charities, particularly by Salute Her, which is part of Forward Assist. Salute Her is a unique charity that offers and provides support to all three services. Does the Minister agree that, to some degree, women service leavers are a hidden population with certain unmet needs? Will the Ministry commit to working with me to tackle the problems faced by women in the armed forces today?
ParlaMint-GB_2020-09-21-commons.u47	I thank my hon. Friend for her sterling work. I also thank groups such as Forward Assist for their work on this. I am clear that there are some very good veterans provisions in this country, but there are areas where we need to do a lot better. For example, the experiences of many females who serve are still not what I would like them to be and similarly with females who leave. I would be delighted to meet my hon. Friend to continue my work with Forward Assist. I have seen the work that it has done recently. We are absolutely determined to make this the best country in the world in which to be an armed forces veteran—both for females and males—and we are determined to continue our work on this.
ParlaMint-GB_2020-09-21-commons.u48	The Wigston review of inappropriate behaviours was published in July 2019 and estimated that it would take from five to 10 years to make a measurable difference. Why then is a review taking place of the Wigston review that was published just over a year ago? Why are charities, community interest companies and external stakeholders excluded from this review of a review?
ParlaMint-GB_2020-09-21-commons.u49	The reason we are doing that is very clear. I am aware that, within Government, we are very good at doing reviews, but seeing the impact of those reviews in the real world is something else. What I have asked to do with the Wigston review is to find out where we are with it one year on. The review was not for external organisations; it was an internal report that addressed some serious shortcomings. This review is very clearly shining a light on the Department, showing where we are doing well and where we are doing not so well, and I would be more than happy to share that with the hon. Lady.
ParlaMint-GB_2020-09-21-commons.u50	I believe that Sunderland recruits more people into the Army than any other city in the country, so consequently has a lot more issues and high demand for services to veterans. Will the Minister join me in thanking the excellent work of Veterans in Crisis in Sunderland, which does incredibly important work in this area? Will the Government pledge to look at providing more financial support from central Government for services to veterans?
ParlaMint-GB_2020-09-21-commons.u51	I pay tribute to Sunderland for the extraordinary commitment that it has made to this nation’s defence. We are undoubtedly going through a transition at this time in terms of veterans’ care. For too long we have over-relied on the third sector, and that responsibility is slowly shifting towards the state. I am comfortable that we are meeting that demand at the moment, but it is a dynamic process and I am more than happy to meet the hon. Lady to discuss the case in her constituency.
ParlaMint-GB_2020-09-21-commons.u52	In January this year, the Minister promised to meet Combat Stress and other organisations to assist with their funding that had been cut. What extra assessment has he made since the start of covid on the risks of serious mental health problems among our veterans?
ParlaMint-GB_2020-09-21-commons.u53	I thank the hon. Lady for her interest in this matter. I speak with the service charities on an almost daily basis, and, as I said in my previous answer, there is no doubt that, when it comes to veterans’ care, a shift is going on in this country at the moment from an over-reliance on the third sector to the state stepping up and assuming that responsibility, which is what I wanted. We have the transition liaison programme and the complex treatment service. There is a very small cohort of people who require a high-intensity service that will come on line later this year. I am absolutely determined to ensure that those three streams, as a pathway, are world leaders in veterans’ mental health care. I am monitoring the figures coming in on a daily basis. We are doing pretty well on meeting our timelines, but obviously there is always more work to do.
ParlaMint-GB_2020-09-21-commons.u54	In June, the Office for National Statistics reported that almost one in five adults is likely to be experiencing some form of depression during the covid-19 pandemic. Given that service and veterans charities have reported an increase in demand since lockdown, and building on the previous answer, what steps is the Department taking to ensure that every veteran, all serving personnel and every service family member receive the support they need during this very difficult time?
ParlaMint-GB_2020-09-21-commons.u55	I am acutely aware of the challenges around the denudation of the third sector at this time and the other challenges it faces. I have talked about the veterans mental health care programme, and it is worth mentioning as well that we are looking to launch a strategy with the NHS later this year that clearly highlights a care pathway for service personnel and their families as they go through life: before they join, when they are serving and, crucially, what to expect afterwards, so it is a seamless pathway that both veterans and their families and service personnel can understand, but also that I can use to hold the NHS to account. It provides some wonderful services and I am determined to make sure that continues.
ParlaMint-GB_2020-09-21-commons.u56	Wesley McDonnell, a 35-year-old veteran, decided to take his own life in the park opposite my home. This brave man served and defended our nation for almost 20 years and, sadly, there are still many others like him. Can the Minister please commit to further improve the spirit of the armed forces covenant by tasking the MOD to develop a health and wellbeing pathway, including the assessment, diagnosis and commissioning of the mental health needs of our brave men and women prior to discharge so that they have the treatment ready?
ParlaMint-GB_2020-09-21-commons.u57	I thank the hon. Lady for her question and let me be absolutely clear on veteran suicide: any veteran suicide is a tragedy for the individual and for their family, but also for us as an institution. We want people to go away from their time in service enhanced, not damaged, by it. We have got a job of work to do, and we have made significant progress over the past few years; by January, for example, mandatory mental health training will be delivered in every unit on an annual basis—that has never happened before. Through that, alongside a lot of our work with the Royal Foundation, we are changing the environment in which we find ourselves in delivering mental healthcare, resilience and fitness for our people. There is always more to do, but, working with partners, I am determined we will get there.
ParlaMint-GB_2020-09-21-commons.u58	What recent assessment he has made of the UK’s ability to tackle (a) hybrid and (b) cyber-enabled threats in the context of the covid-19 outbreak.
ParlaMint-GB_2020-09-21-commons.u59	The MOD is developing protective measures to rebut, contest and respond to foreign hostile state activity against UK interests at home and abroad. We continue to work with others in Her Majesty’s Government, including the National Cyber Security Centre, to ensure a fused approach. We take the threat seriously, as demonstrated by the £1.9 billion of cyber spending announced alongside the national cyber security strategy.
ParlaMint-GB_2020-09-21-commons.u60	A second wave of coronavirus could be accompanied by a second wave of covid-19 disinformation, which, if not properly dealt with, could lead to an impact on the uptake in vaccine and ultimately endanger life. What steps are the Government taking to improve the UK’s preparedness against further disinformation and are they co-operating with online platforms to curb the distribution of this material in such circumstances?
ParlaMint-GB_2020-09-21-commons.u61	The Government take disinformation incredibly seriously; that is to say that we focus on disinformation, not misinformation. Disinformation is deliberately laid, often by hostile states, to subvert us or undermine our policy. It is, however, a difficult subject to deal with given how it often uses its agents to deliver that into the mainstream, or indeed through the deep web and into the surface web. That is a challenge; it is not easy for either local government or national Government, and I am sure that the Scottish Government find that similarly challenging. Where we find there to be disinformation, we will of course use all measures that we can to ensure that it is disrupted or that it is pointed out to the audience that it is disinformation. However, I must be very clear that it is not for us to take a view on mainstream media, or on any other type of media’s slant on Government policy. That is the freedom of the press that we enjoy and we are here to protect.
ParlaMint-GB_2020-09-21-commons.u62	What steps his Department is taking to (a) recruit and (b) retain armed forces personnel.
ParlaMint-GB_2020-09-21-commons.u63	During the 2019-20 recruiting year the armed forces hit 93% of our inflow target despite covid disrupting the end of the year; recruitment was, however, 31% up from 2018-19. While the armed forces are doing excellent work to continue that success, covid has had an initial impact on training throughflow this year. In the short term, therefore, we expect to see lower throughflow, but early signs are that this will be mitigated by improved retention and, very encouragingly, a good flow of rejoiners.
ParlaMint-GB_2020-09-21-commons.u64	As a response to covid, we have seen the unemployment figures start to rise, and that is particularly reflected in the 18 to 24-year-old demographic. Do the Government agree that this is an opportunity to recruit, and perhaps even to meet our full-time trained requirement for the first time since the year 2000? Does the Minister agree that a career in the armed forces represents an excellent career life choice, and that now is a better time than ever to sign up?
ParlaMint-GB_2020-09-21-commons.u65	Emphatically, yes.
ParlaMint-GB_2020-09-21-commons.u66	The Secretary of State recently said that “the greatest asset we have is not our tanks or our aeroplanes, it’s people.” Yet under the last 10 years of Conservative Government, the numbers of personnel in each of the tri-services have declined. With this in mind, will the Minister make it a priority under the integrated review to address the failure to maintain the strength of our armed forces?
ParlaMint-GB_2020-09-21-commons.u67	The hon. Gentleman tempts me to pre-empt the decisions of the Prime Minister and the integrated review. However, I can assure him that recruiting targets remain as they were, and that while the sun is shining we will be making hay.
ParlaMint-GB_2020-09-21-commons.u68	What steps his Department has taken to support Government procurement during the covid-19 outbreak.
ParlaMint-GB_2020-09-21-commons.u69	Throughout the pandemic, orders have continued to be made and placed and suppliers paid. The MOD has to date paid £123 million in interim payments to ensure that critical defence outputs can continue uninterrupted, and engaged directly with 600 of its critical suppliers. In addition, as part of the Treasury fiscal stimulus programme, an additional £200 million of funding has been allocated to improve the defence estate accommodation.
ParlaMint-GB_2020-09-21-commons.u70	Short-term support is great, but companies such as Leonardo in my constituency need long-term certainty on programmes as they fight back from covid. What can the Minister do to provide such certainty?
ParlaMint-GB_2020-09-21-commons.u71	My hon. Friend is a great advocate for Leonardo and for military helicopters. The publication of the integrated review and, in particular, the defence and security industrial strategy will provide a great deal of certainty. In addition, in the case of Leonardo, through our strategic partnering arrangement we are establishing a joint working group to support future capability and understanding.
ParlaMint-GB_2020-09-21-commons.u72	What recent assessment he has made of the level of threat of private and mercenary military forces to (a) the UK and (b) the UK’s allies.
ParlaMint-GB_2020-09-21-commons.u73	The Department keeps all threats to the UK and its allies under regular review, including those from private and mercenary forces.
ParlaMint-GB_2020-09-21-commons.u74	My right hon. Friend will agree that many of our adversaries deploy mercenaries and private contractors as cartels to achieve their nefarious goals around the world, particularly in Libya, where the Wagner group acts as a proxy for the Russian state. What steps are being taken in the integrated review, and also multilaterally, to assess and combat this threat?
ParlaMint-GB_2020-09-21-commons.u75	Our adversaries’ use of mercenaries and proxies is growing and undermining stability in the middle east, north Africa and more widely. It is not just Russia’s widely reported use of the Wagner proxy military group in Libya, which of course we condemn, that is causing this instability. We see other actors such as Iran behaving in this way. The UK condemns all destabilising mercenary and proxy military activity. I am afraid I cannot comment on the individual actions we take to counter this threat, as to do so would prejudice their effectiveness.
ParlaMint-GB_2020-09-21-commons.u76	What support his Department has provided to the overseas territories during the covid-19 pandemic.
ParlaMint-GB_2020-09-21-commons.u77	Since the start of the pandemic, Defence has provided a range of support to Gibraltar, the Falkland Islands, Ascension, Saint Helena and our overseas territories in the Caribbean. HMS Medway and RFA Argus remain in theatre and are standing by to provide logistical and medical support, whether in relation to covid-19 or to providing disaster relief during the hurricane season.
ParlaMint-GB_2020-09-21-commons.u78	Afghan interpreters have provided an invaluable service to our armed forces, saving the lives of many British soldiers. Will my right hon. Friend update the House on the Government’s progress on their commitments to the Afghan interpreters?
ParlaMint-GB_2020-09-21-commons.u79	The Home Secretary and I announced at the weekend that the criteria for interpreters to relocate to the UK will be expanded to include those who resigned on or after 1 May 2006 with 18 months or more service on the frontline in Helmand, so that more may come with their families to build a new life in the UK. In addition, the Home Secretary and I committed to look even further at those criteria, and to look at where people suffer intimidation, to see whether those thresholds are in the right place as the peace deal progresses in Afghanistan. Standing by these people is an honourable thing to do. They helped to keep our men and women safe, and this is long overdue.
ParlaMint-GB_2020-09-21-commons.u80	If he will make an assessment of the potential merits of establishing an independent body to oversee the operations of the UK’s Special Forces.
ParlaMint-GB_2020-09-21-commons.u81	If he will make an assessment of the potential merits of establishing an independent body to oversee the operations of the UK’s Special Forces.
ParlaMint-GB_2020-09-21-commons.u82	It has been the longstanding position of successive Governments not to comment on the operations activity of the UK special forces, as to do so would put personnel and operations at risk. All military operations are overseen and scrutinised by Ministers, who are accountable to this Parliament.
ParlaMint-GB_2020-09-21-commons.u83	Special forces deserve the very best technological support. Swedish technology company Saab announced in July that it intends to establish a centre in the UK for forward combat air systems. The optimal location for that facility is in east-central Scotland, where Saab can benefit not only from clustering with leading industrial partners, such as Leonardo, Babcock and Raytheon, but from our world-class universities and more widely with BAE and Thales in Glasgow. What steps will the Secretary of State take to work with Saab to help it establish in Scotland?
ParlaMint-GB_2020-09-21-commons.u84	An interesting angle for special forces. I am not sure we are going to put a special forces base in Angus. We absolutely want the best technology. We recognise that international partners can also bring that technology, and when we work together in partnership, recognising that British prosperity is as important as anything else, we can get a good result for our forces, who get the best kit. It is also good for our economy, so that we get the good jobs and skills that we desperately need around the UK and ensure that the science base is strong and able to compete post Brexit.
ParlaMint-GB_2020-09-21-commons.u85	The current Government’s adoption of a “no comment” policy prevents any parliamentary scrutiny of the role of UK special forces in defence and security strategy, even when their involvement in operations becomes the subject of media coverage. Will the Secretary of State commit to a review of the “no comment” policy for UK special forces, and enable parliamentary oversight of their activities, placing them on a similar footing to MI5, MI6 and GCHQ?
ParlaMint-GB_2020-09-21-commons.u86	As I say, it is a long-held policy of many Governments not to comment on special forces. They are accountable to me and to the law, and where we see any issues, Ministers will of course intervene. I will not commit to a further review; that is a longstanding policy. Our special forces do an absolutely amazing job saving lives around the world and protecting our citizens. They operate in the covert world to achieve that effect and make sure their lives are not put at risk.
ParlaMint-GB_2020-09-21-commons.u87	What support the Army reserves have provided in tackling the covid-19 pandemic.
ParlaMint-GB_2020-09-21-commons.u88	Some 1,800 Army reserves were mobilised as part of Operation Rescript, the MOD’s contribution to the covid response. From distributing personal protective equipment in the NHS to delivering mobile testing units and helping build the Nightingale hospitals, our fantastic reservists and the unique skills that they bring have been invaluable in helping the country manage the covid pandemic.
ParlaMint-GB_2020-09-21-commons.u89	I want to begin by thanking my constituent Josh Grant and others from Crewe and Nantwich who were mobilised as part of the Mercian regiment and were willing to step up and help our country at a time of crisis. What can we learn from the use of remote mobilisation as part of our efforts, and what more can we do to support employers and reservists whose deployment time is reduced from what they have already agreed with their employers?
ParlaMint-GB_2020-09-21-commons.u90	I join my hon. Friend in paying tribute to his constituent, and I thank him for his service. As my hon. Friend will appreciate, there is a balance between making the reserve as easily deployable as possible and reservists’ not unreasonable expectation to have some certainty about the duration of their mobilisation. My fantastic predecessor has now accessorised some ermine with his combats. Lord Brigadier Lancaster will be conducting a reserve forces review over the coming months, in which exactly these sorts of issues will receive his attention.
ParlaMint-GB_2020-09-21-commons.u91	What steps his Department is taking to protect veterans from vexatious claims.
