ParlaMint-GB_2016-02-23-commons.u1	1. What steps the Government are taking to support the global abolition of the death penalty.
ParlaMint-GB_2016-02-23-commons.u18	My hon. Friend is right that the Syrian Kurds are an important part of the equation and they have to be brought into any enduring solution in Syria, but Turkey has a problem with links between PKK—a terrorist group that is designated as such in both Turkey and the UK—and Syrian Kurdish groups. There are overlaying conflicts here, and the Turkish-Kurdish conflict is a major complicating factor. What we have seen over the past weeks is very disturbing evidence of co-ordination between Syrian Kurdish forces, the Syrian regime and the Russian Air Force, which is making us distinctly uneasy about the Kurds’ role in all of this.
ParlaMint-GB_2016-02-23-commons.u19	With the Russian indiscriminate bombing of civilians in Syria driving the refugee crisis in a deliberate foreign policy tool to destabilise and weaken Europe, does the Secretary of State agree that now is not the time even to talk about weakening EU sanctions against the Putin regime?
ParlaMint-GB_2016-02-23-commons.u20	I very strongly agree with the right hon. Gentleman that now is not the time to send Russia any signals of compromise or of pulling back. The only language that Mr Putin understands is the language of strength and, I am afraid, the language of confrontation. When unacceptable behaviour on the scale that we have seen in Syria occurs, we have to stand up to be counted, however inconvenient that may be for some who have to be counted.
ParlaMint-GB_2016-02-23-commons.u21	Whether we like it or not, Russia is an essential prerequisite to any successful talks. The American Secretary of State has a close working relationship with the Russian Foreign Minister, talking to him nearly every week. When did the Foreign Secretary last talk to the Russian Foreign Minister and what is he doing to improve his personal relationship with him?
ParlaMint-GB_2016-02-23-commons.u22	Our relationships with our Russian counterparts are difficult. I last spoke to Sergei Lavrov on 11 February during the Munich International Syria Support Group meeting where he and I had some prolonged and robust exchanges around the table. I do speak very regularly with the US Secretary of State, most recently meeting him on Saturday morning, so I am very much aware of the discussions that he is having with our mutual Russian counterpart. The problem is that Russian policy on Syria is made not in the Russian Foreign Ministry, but inside a tiny cabal around President Putin at the heart of the Kremlin.
ParlaMint-GB_2016-02-23-commons.u23	What dialogue has the Minister had with our French counterparts as a result of the Syrian crisis regarding the safety and child protection arrangements for unaccompanied child refugees who are at grave risk and who are due to be dispersed from the jungle camp in Calais?
ParlaMint-GB_2016-02-23-commons.u24	I have had discussions about the situation in Syria with my former French counterpart who retired the week before last and with my new French counterpart, Jean-Marc Ayrault, on a regular basis. The issues relating to would-be migrants accumulated around Calais are for the Home Secretary, and she has very regular discussions with her counterpart, Bernard Cazeneuve.
ParlaMint-GB_2016-02-23-commons.u25	My hon. Friend the Member for Gainsborough (Sir Edward Leigh) is absolutely right that the Russians are a key part to establishing a meaningful political settlement in Syria. Does my right hon. Friend agree that that does not mean that we give in to the Russians across the rest of Europe and that the NATO commitment in the Baltic states is just as important to counterbalance whatever partnerships we use the Russians for in Syria?
ParlaMint-GB_2016-02-23-commons.u26	My hon. Friend is right. We are dealing with a raised level of Russian assertiveness—indeed, aggression—in many areas: in the Baltic, in Ukraine, and now in the middle east, and we have to be robust in all areas. He is also right—and our hon. Friend the Member for Gainsborough (Sir Edward Leigh) was right—that Russia holds the key to the situation in Syria. I have said in the House before, and I shall say again today, that there is one person in the world who has the power to bring the misery in Syria to an end by picking up the phone and making one phone call, and that person is Vladimir Putin.
ParlaMint-GB_2016-02-23-commons.u27	The whole House will welcome the ceasefire agreement, which is badly needed, but there have been promises from Russia before. The Russians have repeatedly claimed to attack terrorist groups when, in fact, they have attacked moderate opposition forces and civilians, so can the Foreign Secretary set out how breaches of the ceasefire agreement will be assessed?
ParlaMint-GB_2016-02-23-commons.u28	The hon. Lady has put her finger on the problem. The ceasefire agreement will allow continued operations against Daesh, al-Nusra and associated terrorist groups designated by the UN Security Council, and no one would disagree with that. The problem is that the Russians claim that all their action to date has been against those groups. On the face of it, the Russians could be entering into this arrangement on the basis that they will not change their behaviour at all. Clearly, the cessation of hostilities will fail before it has even got off the ground if that is their intention, so everything hinges on Russian good intentions.
ParlaMint-GB_2016-02-23-commons.u29	So can the Foreign Secretary explain what consideration has been given to a UN resolution to strengthen the ceasefire agreement and support the peace talks?
ParlaMint-GB_2016-02-23-commons.u30	First, an arrangement has been agreed between the Russians and Americans for investigating alleged breaches of the ceasefire, and there is a commitment on both sides to working up a co-ordination cell to try to identify legitimate targets that can be struck during the ceasefire. As for the UN dimension, we are looking at that, and we would very much welcome a UN resolution behind the ceasefire. We already have UN resolution 2254, which we agreed on 18 December in New York, but we welcome further UN resolutions. That can only happen if the Russians are prepared to work with us, because they have a veto.
ParlaMint-GB_2016-02-23-commons.u31	3. What diplomatic support the Government are providing in Kurdistan to tackle ISIL/Daesh.
ParlaMint-GB_2016-02-23-commons.u32	Daesh is progressively being defeated in Iraq as the competence of Iraqi security forces improves. Specifically on Kurdistan, we are providing the Peshmerga with air power, logistical support, weapons and training.
ParlaMint-GB_2016-02-23-commons.u33	Reports suggest that 45% of Kurdish forces are composed of women. Nesrîn Abdalla, a unit commander in the Syrian Kurds women’s protection units, recently said: “We do this not just to protect ourselves, but also to change the way of thinking in the army, not only to gain power, but to change society, to develop it.” What particular steps have the Government taken to ensure women’s participation in regional diplomatic talks, post-Daesh?
ParlaMint-GB_2016-02-23-commons.u34	May I pay tribute to my hon. Friend for that quote and for the work that she has done in pioneering the role that women can play? That is something that Staffan de Mistura, the UN envoy, recognises, and he is trying to include women’s voices in the peace talks that are taking place at the UN. On our front, British training is taking place in northern Iraq, and UK training teams will train female units in the Peshmerga.
ParlaMint-GB_2016-02-23-commons.u35	Further to the question from the hon. Member for Reigate (Crispin Blunt), who chairs the Select Committee on Foreign Affairs, what is the Minister’s current assessment of relations between the Turkish Government and the Kurdistan Regional Government?
ParlaMint-GB_2016-02-23-commons.u36	It is an important relationship that the two are developing, not least because there are economic benefits for both from the sale and movement of oil. As my right hon. Friend the Foreign Secretary has outlined, there are concerns in Turkey because of the role, involvement and influence of the PKK, and we will monitor that carefully.
ParlaMint-GB_2016-02-23-commons.u37	Since the breakdown of the peace process last summer, there have been reports of an escalation in violence and of breaches of human rights in south-eastern Turkey in Kurdish areas such as Diyarbakir and Cizre, with the deaths of hundreds of innocent civilians, curfews, the imprisonment of democratically elected politicians who would be key interlocutors in any future peace process, the imprisonment of academics, and lack of access for journalists to key areas. Will the Minister assure me that that will form part of the peace talks on Syria?
ParlaMint-GB_2016-02-23-commons.u38	I am grateful for the hon. Lady’s question. I was able to raise the matter during my visit to the north of Iraq at the end of last year. We are concerned about the reports of alleged human rights abuses and we need to make sure that those are not overlooked.
ParlaMint-GB_2016-02-23-commons.u39	4. If he will take steps to support self-determination for the people of Kashmir.
ParlaMint-GB_2016-02-23-commons.u40	rose—
ParlaMint-GB_2016-02-23-commons.u41	Aah!
ParlaMint-GB_2016-02-23-commons.u42	The pleasure is entirely mutual, Mr Speaker.
ParlaMint-GB_2016-02-23-commons.u43	I much appreciate the right hon. Gentleman’s courtesy in notifying me of his travel plans. I know that he has only relatively recently got off a plane, so we are delighted to have him here, especially in view of the fact, of which he has previously informed the House, that he is responsible for three quarters of the world.
ParlaMint-GB_2016-02-23-commons.u44	Mr Speaker, you have just stolen my first line again On this important subject, it is, I repeat, for India and Pakistan to find a lasting resolution to the situation in Kashmir, taking into account the wishes of the Kashmiri people. It is not for the UK to prescribe a solution or to act as a mediator.
ParlaMint-GB_2016-02-23-commons.u45	Undoubtedly, this House has a great deal of respect for UN resolutions, and I am sure the Minister is aware that in 1948 the UN Security Council passed resolution 47 instructing the Governments of India and Pakistan to prepare for a plebiscite to determine the future of Kashmir. Almost 70 years have passed, thousands of Kashmiri men, women and children have been slaughtered, atrocities are committed daily, yet there is still no sign of any action to allow these people to vote on this most important issue. Does the Minister agree that the people of Kashmir should have the right to self-determination, and will he give an assurance—
ParlaMint-GB_2016-02-23-commons.u46	I am extremely grateful to the hon. Lady. I hope she is near the end of the sentence.
ParlaMint-GB_2016-02-23-commons.u47	Will the Minister assure us that the British Government will do everything in their power to make that happen?
ParlaMint-GB_2016-02-23-commons.u48	We do not intend to support an international conference or plebiscite on Kashmir. Our long-standing position is that it is for India and Pakistan to find a lasting resolution. We are acutely aware of the allegations of human rights abuses in Kashmir. This was discussed with my right hon. Friend the Prime Minister when Prime Minister Modi was here in November 2015, and we continue to monitor the situation closely.
ParlaMint-GB_2016-02-23-commons.u49	Many of my constituents who are of Kashmiri origin and heritage take the view that this entire problem was left behind by the UK when we ruled that area. Does the Minister not feel that there is an obligation on the UK to take a more proactive role and to do something positive to bring about a resolution to this long-running problem?
ParlaMint-GB_2016-02-23-commons.u50	My hon. Friend will be aware that we are talking about two sovereign countries, India and Pakistan. It is not for the United Kingdom to come between them, other than to urge them to talk. There are some good moves and communications between the leaders of Pakistan and India and they are discussing the subject, among other things, which we very much welcome.
ParlaMint-GB_2016-02-23-commons.u51	But I would say to the Minister that the situation has been going on for decades, and the UK has some expertise in building more peaceful settlements. Is there not a bit more that the UK could do to promote confidence-building measures between India and Pakistan, and at the very least raise this as a priority with the EU special representative so that some of our other allies know that this is more of a priority?
ParlaMint-GB_2016-02-23-commons.u52	We do things as best we can without getting directly involved, and we welcome the fact that on 25 December Prime Minister Modi visited Prime Minister Nawaz Sharif in Pakistan, the first such visit for 11 years. That must be good news, but the hon. Gentleman knows full well the long-standing position of the Government—and when he was in government the position was no different—that this is a matter for the Indians and the Pakistanis to resolve, not the United Kingdom.
ParlaMint-GB_2016-02-23-commons.u53	5. What steps the Government is taking to promote trade and diplomatic connections between the UK and other Commonwealth countries.
ParlaMint-GB_2016-02-23-commons.u54	The United Kingdom is committed to strengthening the engagement with the Commonwealth. My right hon. Friend the Prime Minister led a strong delegation to the Commonwealth summit in November, where my noble Friend Lord Maude, then the Minister for Trade and Investment, and I promoted trade opportunities within the Commonwealth.
ParlaMint-GB_2016-02-23-commons.u55	The renaissance in British manufacturing and engineering is not only testament to the Government’s determination to rebalance our country’s economy, but has greatly contributed to a record 62% fall in unemployment in my constituency since 2010. Does my right hon. Friend agree that our historical links—especially trade links—with other Commonwealth countries are vital to the continued success of those sectors and to the jobs they support?
ParlaMint-GB_2016-02-23-commons.u56	I am pleased to hear the figures from my hon. Friend’s constituency, and they can be echoed around the country as a result of the Government’s economic policies. We are an open, free-trading state, and we trade around the world. Trade within the Commonwealth is extremely important, and we need to do more to promote it. Trading between two Commonwealth countries is, on the whole, 19% or 20% cheaper than trading outside the Commonwealth. That is something we need to do, and we need to involve Commonwealth Trade Ministers more formally in working out how we can increase intra-Commonwealth trade.
ParlaMint-GB_2016-02-23-commons.u57	Last year, Prime Minister Modi and our Prime Minister designated next year as the year of culture between India and the United Kingdom. Will the Minister join me in welcoming the British curry festival, which is taking place in New Delhi in March? British chefs from Leicester, London and Reading will be going to Delhi to make curry. Does he not agree that that is a real example of good relations between Commonwealth countries?
ParlaMint-GB_2016-02-23-commons.u58	At the risk of currying favour with the right hon. Gentleman, let me say that we must all wish our curry chefs every success when they travel to India. We must hope that they make a speedy return, because we would all miss our curry were they not home in our country.
ParlaMint-GB_2016-02-23-commons.u59	Characteristically—or maybe uncharacteristically—the Minister has more or less answered the question I was going to ask. Leaving aside trade between the UK and Commonwealth countries, the functioning of the Commonwealth will surely be enhanced if there is more trade between all Commonwealth countries. To what extent can the UK play a role in enhancing that intra-Commonwealth trade, particularly in areas where we have substantial Department for International Development, as well as Foreign Office, representation?
ParlaMint-GB_2016-02-23-commons.u60	It is as well to remember that we are an equal partner in the Commonwealth; we do not run the Commonwealth, and we wish Baroness Scotland every success in so doing. [Hon. Members: “Hear, hear.”] She clearly has the universal support of the House, which is manifestly a good thing. We want her to refocus the Commonwealth, and we want to spend much more time—similar issues are being discussed elsewhere in the world—discussing boosting trade, getting rid of tariffs and promoting intra-Commonwealth trade. That we can do. My noble Friend Lord Marland is doing a great job at the Commonwealth Enterprise and Investment Council, and he had a great collection of 2,000 businesses at Valletta. We are hosting the Commonwealth Heads of Government meeting here in 2018, and business will play a large role in that Commonwealth conference.
ParlaMint-GB_2016-02-23-commons.u61	May I ask a more serious question about the Commonwealth and diplomatic relations? How many members of the Commonwealth do not have an extradition agreement with this country? Increasingly, people who commit ghastly crimes flee to Pakistan, and we cannot bring them back to face justice. What is he doing about that?
ParlaMint-GB_2016-02-23-commons.u62	That is a very wide-ranging accusation. If the hon. Gentleman will write to me, or come to see me, about a specific case, I will be happy to look at it. We deal with things case by case.
ParlaMint-GB_2016-02-23-commons.u63	6. What progress the Government have made on preparations for the EU referendum.
ParlaMint-GB_2016-02-23-commons.u64	14. What progress the Government have made on preparations for the EU referendum.
ParlaMint-GB_2016-02-23-commons.u65	The conduct regulations that set out the detailed framework of how the referendum poll will be administered have now been agreed by both Houses of Parliament. The date of the referendum must now be agreed by Parliament in a further statutory instrument, which was laid before both Houses in draft yesterday.
ParlaMint-GB_2016-02-23-commons.u66	A record number of people registered to vote in the Scottish independence referendum— 97% of the adult population. What efforts are the UK Government making to match that success?
ParlaMint-GB_2016-02-23-commons.u67	This is, as the hon. Gentleman will know, the responsibility of the Electoral Commission, which is planning a campaign to raise awareness of the need to register in good time for the referendum.
ParlaMint-GB_2016-02-23-commons.u68	Will the Minister give comfort to the Scottish students who are studying through Erasmus across Europe by providing details of what contingency plans are in place should there be a no vote in the EU referendum?
ParlaMint-GB_2016-02-23-commons.u69	My advice to Scottish students studying in universities elsewhere in the EU would be to ensure that they are registered to vote so that their votes in the referendum count along with everybody else’s. The hon. Lady puts her finger on one of the uncertainties about a potential British exit from the European Union, because, after all, it is European law and the treaties that give British citizens the right to live, study and work in other EU countries.
ParlaMint-GB_2016-02-23-commons.u70	The Minister may recall that in response to my amendment to the Finance Bill last year, the Government promised to negotiate with the European Commission for a zero rate of VAT on women’s sanitary products, and the Chancellor repeated that pledge in his autumn statement. It is time the tampon tax was ended, so did the Prime Minister use his recent negotiations to raise this issue and, if so, what progress has been made?
ParlaMint-GB_2016-02-23-commons.u71	As I think the hon. Lady knows, value added tax was already part of the EU system before the United Kingdom joined the European Community in the 1970s. A review of the current EU directives on value added tax is due to take place this year, and that is the appropriate forum in which to raise this issue, where the Government very much hope to secure the reforms about which she speaks.
ParlaMint-GB_2016-02-23-commons.u72	Successive UK Governments have signed up to a range of EU agreements vital in protecting our environment, upholding workers’ rights, and ensuring an EU-wide energy market. The removal of such environmental controls and statutory maternity pay, for example, would be a backward step. I am sure, therefore, that the Minister will agree that our membership of the EU is vital in promoting the interests of the people of Scotland and across the UK. However, he will be aware that the Justice Secretary said last week that “our membership of the European Union prevents us being able to change huge swathes of law and stops us being able to choose who makes critical decisions which affect all our lives.” Can the Minister therefore confirm specifically—[Interruption.]
ParlaMint-GB_2016-02-23-commons.u73	Order. Finish the sentence, very quickly.
ParlaMint-GB_2016-02-23-commons.u74	Can the Minister therefore confirm specifically how his Government’s plans have been constrained by European legislation or regulation?
ParlaMint-GB_2016-02-23-commons.u75	As with every member state of the EU, particular issues will come up—particular legislative measures—where we find some of the rulings irksome. On balance, however, as my right hon. Friend the Prime Minister set out very clearly yesterday, the Government are convinced that membership of a reformed European Union will make the British people more prosperous, more secure, and more influential in the world than any of the alternatives so far proposed.
ParlaMint-GB_2016-02-23-commons.u76	It is therefore important that voters have the full facts at their disposal when making a choice in June. Have the Government calculated the cost of implementing the proposals agreed at the EU Council last week, particularly those relating to the administration of the new benefits rules? What will the net saving to the Treasury be?
ParlaMint-GB_2016-02-23-commons.u77	Some of this will be a matter for the implementing regulations that will now follow, both at European level and at national level. The answer to the hon. Lady’s question will depend in large part on the level of benefits and tax credits in the United Kingdom at the appropriate time. These matters will therefore become clear as time goes on.
ParlaMint-GB_2016-02-23-commons.u78	I wish the Minister great success in trying to alter the level of VAT on sanitary towels. If the British people decide in the referendum to leave the European Union, would it then be up to the British Government to decide the level of VAT on sanitary towels and other products?
ParlaMint-GB_2016-02-23-commons.u79	That would depend on the nature of the subsequent relationship. The reason that value added tax has, since before our membership of the EU, been dealt with, to an extent, at EU level is that the price at which goods are sold has a direct impact on the notion of a single market and free trade within Europe. The issues that my hon. Friend raises would have to be tackled in the course of negotiations about such a future relationship.
ParlaMint-GB_2016-02-23-commons.u80	7. What assessment his Department has made of the effects of high oil supply and low oil and gas prices on (a) Russia and (b) countries of the Gulf Cooperation Council.
ParlaMint-GB_2016-02-23-commons.u81	Brent oil prices are hovering around $30 a barrel—the lowest in 13 years—as a consequence of lower global demand, continued high OPEC production and the resilient production in the USA. GCC countries are taking action. They are, in fact, diversifying their economies and removing subsidies. Historically, about half of the Russian Government’s revenues have come from oil and gas, and Russia’s GDP declined by just under 4% last year.
ParlaMint-GB_2016-02-23-commons.u82	Falling oil prices are clearly having a dramatic effect on the economies of many oil-producing countries. I was part of a delegation that visited Saudi Arabia last week, where we heard about what its Government are doing to diversify. What encouragement are our Government giving to other countries to help and support them to diversify, and what opportunities are available to British companies to provide assistance?
ParlaMint-GB_2016-02-23-commons.u83	As my hon. Friend outlines, there are enormous opportunities not just in Saudi Arabia but across the Gulf. We are working on diversification with countries that produce and export hydrocarbons, and helping them with renewables and green energy. Saudi Arabia has also expressed an interest in opening up tourism. Those are important aspects in which Britain can play an important role.
ParlaMint-GB_2016-02-23-commons.u84	8. What discussions he has had with other members of the international coalition on improving diplomatic co- ordination against Daesh.
ParlaMint-GB_2016-02-23-commons.u85	9. What discussions he has had with other members of the international coalition on improving diplomatic co-ordination against Daesh.
ParlaMint-GB_2016-02-23-commons.u86	Britain was a driving force behind the creation of the global coalition. We hosted the first coalition meeting in London in January 2015. I frequently discuss the campaign against Daesh with coalition and other international partners, including at a coalition small group meeting in Rome earlier this month.
ParlaMint-GB_2016-02-23-commons.u87	The Kurdistan Regional Government army has been valiantly battling against Daesh over a 1,000 km frontline since summer 2014. Will my right hon. Friend pay tribute to the peshmerga and say more about the role they may play in the liberation of Mosul?
ParlaMint-GB_2016-02-23-commons.u88	I am very happy to pay tribute to the Peshmerga. They have proved themselves to be an extraordinarily resilient fighting force and perhaps the most effective force operating against Daesh. The UK is training and providing equipment to the Peshmerga. I had an opportunity a couple of weeks ago to meet President Barzani of the KRG, to talk about the liberation of Mosul and the role that the Peshmerga might play. I am pleased to be able to report two things. First, the KRG appear to have become more open to the idea that the Peshmerga will play a role in the liberation of Mosul. That will be very important. They have also agreed to Iraqi Government security forces being based in the KRG to prepare for the assault on Mosul. Those two things make it much more likely that we will see a successful assault on Mosul earlier rather than later.
ParlaMint-GB_2016-02-23-commons.u89	Seeking a diplomatic solution in Syria has gone hand in hand with our humanitarian aid in the region. Will the Secretary of State set out how increased diplomatic co-operation will improve and assist our humanitarian aid in the region, specifically in neighbouring countries such as Jordan and Lebanon?
ParlaMint-GB_2016-02-23-commons.u90	As the whole House will know, we hosted in London on 4 February a very successful conference on Syria and the region, raising $11 billion in a single day. The real significance of that meeting, however, was that we moved on from the idea of simply collecting money and distributing it to working with the host countries in the region to ensure that refugees are able to access the labour market, get education for their children and access healthcare, making them less likely to feel the need to decamp and become irregular migrants heading towards Europe.
ParlaMint-GB_2016-02-23-commons.u91	Daesh moves into areas of conflict and ungoverned spaces. King Abdullah of Jordan has asked that we reach out to areas such as Bosnia and Herzegovina, Albania and Kosovo, as he regards them to be among the next potential trouble spots. Are we making any progress?
ParlaMint-GB_2016-02-23-commons.u92	Yes. The right hon. Lady is right. We should be very much focused not only on the countries that already face that challenge, but on the countries that are next in line for the challenge, and we should seek to reinforce them. I am happy to tell her, if she was not aware of this, that the Prime Ministers of all the western Balkan countries were in London yesterday, and I had the opportunity to meet the Prime Ministers of Bosnia and Herzegovina, Kosovo, Serbia, Albania, and Montenegro. We are working closely with them to ensure the resilience and the European trajectory of that region.
ParlaMint-GB_2016-02-23-commons.u93	On the issue of Daesh fighters returning home to countries here in Europe, what diplomatic co-ordination efforts have been made to develop a common response among countries in Europe to ensure that we keep our citizens safe and prevent those people from coming back to wreak havoc, through terrorism, on towns and cities in the UK?
ParlaMint-GB_2016-02-23-commons.u94	Different countries in Europe have different domestic legislation around that issue. We in the UK have some of the most robust measures available to us to deal with returning fighters. It is precisely because of the importance of the exchange of information between European partners that the Prime Minister was able to confirm yesterday that we believe that Britain is safer and more resilient against the threat of terrorism because of its co-operation within the European Union.
ParlaMint-GB_2016-02-23-commons.u95	As operations against Daesh in Iraq are successful—[Interruption.]
ParlaMint-GB_2016-02-23-commons.u96	Order. The hon. Gentleman must be heard. There is some chuntering from a sedentary position, by which he should not remotely be deflected. Stick to your course, man.
ParlaMint-GB_2016-02-23-commons.u97	You are very kind, Mr Speaker. As operations against Daesh in Iraq are successful, what is the threat of Daesh’s moving to Libya? Has the Foreign Secretary made an assessment of that eventuality?
ParlaMint-GB_2016-02-23-commons.u98	There is clearly a risk that as Daesh is militarily defeated in Iraq and then in Syria, the embryonic Daesh presence in Libya, particularly around Sirte, could become a new base for operations just 100 miles off the coast of Europe. That is why we are working with our partners and allies to encourage the formation of a Libyan Government of national accord that we can work with to start stabilising the country and pushing back on the Daesh footholds in Libya.
ParlaMint-GB_2016-02-23-commons.u99	Further to the last question, can the Foreign Secretary say how far ahead we are in bringing about that co-ordination and establishing a stable authority in Libya to take on Daesh? We have seen recently an increase in Daesh activity, and there is still a lot of disconnect between the different bodies in Libya. Will he give us a bit more information about what progress is being made?
ParlaMint-GB_2016-02-23-commons.u100	There is progress being made among European partners and with the US on preparing the kind of support we could give to a Government of national accord in Libya when and if one is formed. The problem is that several months after we first expected that to happen, the Government have still not been formed. We are working very closely with the parties in Libya and with the regional powers who have influence, particularly Egypt, to encourage Prime Minister Siraj to take the necessary steps to get that Government formed and approved so that we can engage. There is a strong commitment by the European partners to engage once that Government have been created.
ParlaMint-GB_2016-02-23-commons.u101	10. What assessment he has made of the effect of the outcome of the March 2015 election in Israel on the peace process in that region.
ParlaMint-GB_2016-02-23-commons.u102	Much gets said, as we know, during election cycles, and we were concerned by some of the statements that were made during the Israeli election. I was in Israel last week, and I can confirm that I had meetings with Prime Minister Netanyahu. He has made it very clear that he remains committed to the two-state solution.
ParlaMint-GB_2016-02-23-commons.u103	It is more than 20 years since Oslo. There are now more than 350,000 illegal Israeli settlers in the occupied west bank and 300,000 illegal Israeli settlers in occupied East Jerusalem, and the Netanyahu Government continue to announce the building of more illegal settlements. Does the Minister believe that that will aid the peace process? If not, what is he doing about it?
ParlaMint-GB_2016-02-23-commons.u104	The Prime Minister, the Foreign Secretary and I have made it very clear on the record that that is unhelpful and takes us in the wrong direction. During my visit last week, I visited some of the settlements that are developing. Although announcements of new settlements have slowed, the existing settlements are starting to grow, and that happens without people seeing it. There is an area to the north of Jerusalem called the Ariel finger, which, if it continues to grow as it is doing, will eventually link up towards the north of Jericho. That will essentially mean that there will be no two-state solution. We need Israel to show that it is committed to the process and stop the settlements.
ParlaMint-GB_2016-02-23-commons.u105	13. On the issue of words, something that is regularly rubbished is the issue of incitement. We are seeing increasing incitement from the Palestinian Authority and on media such as Palestinian TV, some of which has been referenced by those committing knife attacks on civilians. Last week I visited a Jewish school in Brussels, where I heard some appalling stories of anti-Semitism being perpetrated in Europe, with people deliberately conflating Jews and Israel. Will the Minister condemn not only the incitement coming out of the Palestinian Authority, but the sort of attacks we are seeing in Europe as a result?
ParlaMint-GB_2016-02-23-commons.u106	I absolutely agree with my hon. Friend that it is unacceptable for Israelis going about their business to be subject to some of the brutality and the murder we are seeing. Israel has the right—in fact, I would go further and say it has the obligation—to defend its citizens. We are seeing the anti-Semitism there, or such reactions, then reappearing, often through websites such as Facebook and so forth, in Europe or closer to home. We have been working hard with our international colleagues—the Prime Minister is very committed to this—to make sure that we stamp out anti-Semitism no matter where it is.
ParlaMint-GB_2016-02-23-commons.u107	A clear majority of Israelis consistently support setting up a Palestinian state alongside Israel. Does the Minister agree that actions such as Hamas’s rebuilding the terror tunnels to mount attacks on Israeli civilians from Gaza make that less and less obtainable?
ParlaMint-GB_2016-02-23-commons.u108	The hon. Lady is absolutely right. With some of the developments, it seems like déjà vu in the sense that we are going round this buoy again—rebuilding the tunnels, the aggravations, and then the missiles start to fly. Where does that actually take us? It is not a confidence-building measure, in the same way that building settlements is not a confidence-building measure. We need to make sure that we empower the Palestinian Authority to look after and take responsibility for the governance of Gaza. That is the way forward.
