ParlaMint-GB_2016-12-15-commons.u1	1. What progress has been made on rolling out broadband to rural communities.
ParlaMint-GB_2016-12-15-commons.u19	I want to see the great British countryside used as the location for great British films. It is fantastic that Kettering has been such a hotbed. I am pleased that a number of films have been made in the Peak district, including in the Staffordshire moorlands. I want to see more of them; they are very welcome.
ParlaMint-GB_2016-12-15-commons.u20	Surely the decision for the filming to take place in the constituency of the hon. Member for Kettering (Mr Hollobone) was quite deliberate, on account of his prodigious efforts.
ParlaMint-GB_2016-12-15-commons.u21	Northern Ireland’s film commission, Northern Ireland Screen, has invested some £14 million in the US cable network to enable “Game of Thrones” to be delivered, and some £115 million has come back into the economy of Northern Ireland as a result. Industry-wide speculation certainly brings great accumulation. What discussions has the Secretary of State had with the Northern Ireland Assembly to ensure that the Northern Ireland film commission brings even more business into the United Kingdom of Great Britain and Northern Ireland?
ParlaMint-GB_2016-12-15-commons.u22	“Game of Thrones” is another fantastic example of a global franchise that is made in the United Kingdom, this time in Northern Ireland. That is something we are incredibly proud of and we need to make sure that there is as much support as possible. I continue to work with colleagues across all the devolved nations to ensure that film companies understand the diverse breadth of opportunities in the whole United Kingdom.
ParlaMint-GB_2016-12-15-commons.u23	3. What steps her Department is taking to deal with historical allegations of child abuse in sport.
ParlaMint-GB_2016-12-15-commons.u24	The Government take these matters very seriously. Yesterday, I co-chaired a meeting with my right hon. Friend the Home Secretary of sports bodies, law enforcement and the National Society for the Prevention of Cruelty to Children to ensure that sports are able to deal effectively with allegations of non-recent abuse and have the most robust possible child protection processes in place today.
ParlaMint-GB_2016-12-15-commons.u25	The allegations that are under investigation, which involve more than 100 clubs, are truly shocking, but does the Secretary of State agree that the vast majority of coaches and volunteers in local sports clubs play a crucial role in our constituencies? Does she also agree that it is vital that we do not put off or discourage potential volunteers who would never dream of betraying the trust that was placed in them?
ParlaMint-GB_2016-12-15-commons.u26	I agree with my hon. Friend. We want to ensure that parents and young people have the confidence to participate in sport. We need to know what happened. We need to make sure that the victims come forward, that the police have time to carry out the investigations and that there is confidence in the system. The roundtable that I co-chaired yesterday was incredibly helpful in flushing out where we can do more, because we can always do more, and in giving reassurance that much is being done.
ParlaMint-GB_2016-12-15-commons.u27	11. I am sure that we are all appalled by the allegations of horrific abuse that have come out in recent weeks, which have besmirched the game that many of us love so much. We are aware of the helpline that is available so that people can phone up and relate what happened to them. Has the Secretary of State had conversations with the football authorities about what more can be done proactively to identify people who had contact with the abusers in the past and assist them in every way to make the difficult decision to come forward and relate what happened to them?
ParlaMint-GB_2016-12-15-commons.u28	I confirm that I have had exactly those conversations with the Football Association, the premier league, the English football league and the Professional Footballers Association to make sure that we are identifying people who may have been victims, but who have not yet had the confidence to come forward.
ParlaMint-GB_2016-12-15-commons.u29	Does the Secretary of State agree that there should be a mandatory requirement for the reporting of known or suspected abuse for everyone who works in regulated activities, including sport?
ParlaMint-GB_2016-12-15-commons.u30	My hon. Friend will know that the Department for Education and the Home Office have carried out a joint consultation on mandatory reporting. I understand that the responses are being considered at the moment and that a response will be forthcoming shortly.
ParlaMint-GB_2016-12-15-commons.u31	My contempt is reserved almost solely for the predators and abusers who carried out the crimes rather than the institutions, but the Secretary of State is right that there has to be a reflection on what went wrong and how we can maximise the robustness of safeguarding. Which individual sporting bodies has she met recently to have those discussions?
ParlaMint-GB_2016-12-15-commons.u32	I do not wish to detain the House with a long list, so perhaps it would be helpful if I wrote to the hon. Gentleman with the full list of the bodies that my hon. Friend the sports Minister and I have spoken to.
ParlaMint-GB_2016-12-15-commons.u33	Is it not remarkable that the people who are making statements went to football clubs among the 92 teams in the football leagues of Britain, whereas most people like me, working at the pit, were coached at the miners’ welfare, and nobody who helped at the 700 miners’ welfares all over Britain has been brought forward? The truth is that it is about the money as well. When the Government are digging into this, they should remember that there is a class argument about it. It is about people making money, and the Tories know a lot about that.
ParlaMint-GB_2016-12-15-commons.u34	I am sorry, but I do not think that trying to bring party politics into the matters is at all appropriate. Vulnerable young people have been abused by predatory individuals from all walks of life. Even suggesting that party politics is involved belittles the House.
ParlaMint-GB_2016-12-15-commons.u35	4. What discussions she has had with the Football Association on its governance arrangements.
ParlaMint-GB_2016-12-15-commons.u36	You will be unsurprised, Mr Speaker, to learn that I have had several discussions with the Football Association on this subject. As recently as Monday, I spoke to the chairman, Greg Clarke, and I was clear that I wanted reform and that the clear mechanism for achieving that is through compliance with the new code of governance for sport, which was published in October.
ParlaMint-GB_2016-12-15-commons.u37	I have always been a great admirer of the Minister’s optimism, especially when we played on the same five-a-side team. Unfortunately, her optimism about the future of the FA is not shared by three of its previous chairmen, who said earlier this week that legislation was needed to address the deficiencies in the organisation. Will she therefore give an undertaking that, before the end of April, she will come to the House either to announce her agreement with the FA about future governance arrangements, or with proposals for legislation?
ParlaMint-GB_2016-12-15-commons.u38	On the five-a-side pitch, it was never optimism, just skill I assure the hon. Gentleman that I take this matter incredibly seriously. We believe that the FA has heard the warnings from all parts of the House and all levels in Parliament that it needs to reform quickly. We strongly believe that the incentive of removing public funding will achieve that. I would be happy to update the House on progress in April.
ParlaMint-GB_2016-12-15-commons.u39	5. When she plans to make an announcement on the future status of Channel 4.
ParlaMint-GB_2016-12-15-commons.u40	We will make an announcement on the future status of Channel 4 in due course.
ParlaMint-GB_2016-12-15-commons.u41	The Minister knows that Channel 4 not only supports a thriving independent production sector through commissioning, but has proven time and again to be a sustainable and successful business model. We know that the Government like to create uncertainty, but will the Minister take it away from Channel 4, its advertisers and the independent production companies that it supports, and make a decision which has been delayed for far too long?
ParlaMint-GB_2016-12-15-commons.u42	As the hon. Gentleman well knows, we are looking at all the options to ensure that we have a strong and sustainable future for Channel 4. I am a great supporter of Channel 4. A Conservative Government in the 1980s put it in place, and we will do what is necessary to sustain its future.
ParlaMint-GB_2016-12-15-commons.u43	I am completely open-minded about the ownership of Channel 4 as long as we ensure that the programming standards are maintained, but may I remind my right hon. Friend that ITV, Sky and many others produce great documentaries and wonderful dramas, and they are privately owned?
ParlaMint-GB_2016-12-15-commons.u44	Of course that is an important thing to remember. We are looking at how we can have the most sustainable, vibrant future for our brilliant Channel 4.
ParlaMint-GB_2016-12-15-commons.u45	Is the Minister comfortable with the fact that currently Channel 4 has no one from a diverse background on its board, and will he explain the process by which he or the Secretary of State made a decision that excluded the deputy chief executive of the Arts Council from that board?
ParlaMint-GB_2016-12-15-commons.u46	We have recently made some appointments to the Channel 4 board. Those appointments were all made on merit. I remind the right hon. Gentleman that public appointments must be made on merit, and give him this statistic: since this team has been in place in the Department for Culture, Media and Sport, 24% of all public appointments have gone to people from minority ethnic backgrounds—which is far higher than the proportion in the economy. We are passionately devoted to making sure that our great institutions are represented by people from all backgrounds, and will continue to do that, based on merit.
ParlaMint-GB_2016-12-15-commons.u47	The right hon. Member for Tottenham (Mr Lammy) is absolutely right that Channel 4 is not diverse, so will the Minister make sure that there are not as many politically correct left wingers at Channel 4 in the interests of diversity? As he does so, will he set out why it is in the taxpayers’ interest for the Government to own a left-wing broadcaster?
ParlaMint-GB_2016-12-15-commons.u48	Of course, Channel 4 pays its way and pays for itself—it is not subsidised; it is just owned by the taxpayer. I am sure, with contributions such as that, my hon. Friend will bring great insight and entertainment to the Women and Equalities Committee.
ParlaMint-GB_2016-12-15-commons.u49	The Minister talks of merit. Channel 4 has 13 board members. Ten of them are men. All of them are white. Will he explain to the House why he and the Secretary of State blocked the sole black candidate, who was described as outstanding by Ofcom?
ParlaMint-GB_2016-12-15-commons.u50	In this case, there were four vacancies and we chose the four best candidates. I will have no truck with the argument that we should have tokenism. I support appointment on merit. I also support making sure that we reach into all communities. The fact that this ministerial team has appointed 24% of people from black and minority ethnic backgrounds demonstrates how much we care about—
ParlaMint-GB_2016-12-15-commons.u51	Order. We are not as slow as all that. The right hon. Gentleman has made that point with force and eloquence, but it does not improve by being repeated.
ParlaMint-GB_2016-12-15-commons.u52	I am afraid that the Minister’s laconic attitude towards this is not helpful at all. He has just said that the appointments were made on merit and that had he gone through with the recommended appointment it would have been an example of tokenism. That is an absolute insult to the candidate, who, as he well knows, was perfectly well qualified and was recommended for appointment on merit When are we going to get an end to the uncertainty about Channel 4? The Secretary of State has been in place for 150 days. The sector is in absolute despair about the lack of a decision from the Government. When will we get an answer?
ParlaMint-GB_2016-12-15-commons.u53	The sector is going from strength to strength. I strongly support it in doing so. We will continue our support for Channel 4, for appointments based on merit and for the great British TV sector.
ParlaMint-GB_2016-12-15-commons.u54	6. What assessment she has made of the potential effect on the UK’s creative industries of the UK leaving the EU.
ParlaMint-GB_2016-12-15-commons.u55	The Government want to ensure the best possible deal for Britain on leaving the European Union. The creative industries are one of the UK’s greatest success stories, contributing more than £87 billion to the economy and more than £19 billion in exports. We are working closely with the industry to assess both the impacts and the opportunities that our departure presents, and I am hosting a series of round-tables with industry about that.
ParlaMint-GB_2016-12-15-commons.u56	The Secretary of State is, I hope, aware of the concerns of the world’s biggest festival of the arts that Brexit and hostile immigration policies pose a serious threat to its ongoing success. What assurances can she give the Edinburgh festivals that they will remain truly international in a post-Brexit Britain?
ParlaMint-GB_2016-12-15-commons.u57	I visited the Edinburgh festival this summer. It was a fantastic experience, and I loved the big signs of welcome, which were very clear that it was a global festival. The Edinburgh festival existed before the United Kingdom joined the European Union, and I want to make sure that it continues going from strength to strength in its anniversary year next year.
ParlaMint-GB_2016-12-15-commons.u58	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2016-12-15-commons.u59	Last week I visited China, along with the largest cultural delegation ever to accompany a Minister from the Department for Culture, Media and Sport abroad. We made key partnerships with Chinese travel companies, the Chinese television sector and the Beijing Winter Olympics, as well as announcing the forthcoming terracotta warriors exhibition in Liverpool The BBC royal charter has been approved by Her Majesty in Council, and printed and sealed. I laid copies of the royal charter and associated framework agreement in both Houses today, with an accompanying written statement Mr Speaker, I hope you will not mind my promoting the MP4 single—the hon. Member for Cardiff West (Kevin Brennan) is part of the band—that is supporting the Jo Cox Foundation. I hope we all download that single and get it to No. 1 for Christmas.
ParlaMint-GB_2016-12-15-commons.u60	Splendid.
ParlaMint-GB_2016-12-15-commons.u61	My right hon. Friend will be aware that, under its commercial expansion through Project Lightning, Virgin Media is committed to rolling out fibre to 2 million premises across the UK, including in my constituency, thereby helping the Secretary of State to meet her vision of a fibre future. Will she clarify whether the fibre fund will be limited to areas of market failure?
ParlaMint-GB_2016-12-15-commons.u62	My hon. Friend represents a constituency with 97% superfast coverage, which I am sure he welcomes. He is right to highlight our announcement in the autumn statement of additional funding to boost the UK’s digital infrastructure. We will announce further details about the fund in due course.
ParlaMint-GB_2016-12-15-commons.u63	Happy Christmas to you and your family, Mr Speaker, and to the staff of the House. In the light of recent data security breaches, does the Secretary of State have confidence in the operational security of the National Lottery, and that Camelot is operating within its regulatory obligations?
ParlaMint-GB_2016-12-15-commons.u64	The hon. Gentleman is right to highlight that we should all be very aware and alert to our cyber-security, and that we should take advice issued by cyber-security experts with regard to updating passwords and so on. I met the National Lottery and continue to work with it to ensure that it is cyber-secure.
ParlaMint-GB_2016-12-15-commons.u65	Can the Secretary of State give the House her absolute assurance that Britain’s national lottery is safe? Will she commit to come back to the Dispatch Box if there are any further revelations of security breaches at Camelot?
ParlaMint-GB_2016-12-15-commons.u66	I repeat that I met Camelot and am working with it to ensure that it is as secure as it possibly can be, and that it takes all possible cyber-security measures. I am sure the hon. Gentleman and I will discuss these matters over the Dispatch Box. I wish him—and you, Mr Speaker—a very happy Christmas.
ParlaMint-GB_2016-12-15-commons.u67	T3. The respected independent media monitoring organisation News-watch published research showing that over the past 10 years just 3% of the 4,000 people interviewed about the EU on the BBC’s “Today” programme were supporters of Brexit. Given this demonstrable bias, which since the referendum is now conflated with almost daily doom and gloom from the show’s business section, how can the licence fee payer funded BBC be held to account to deliver the impartial news service its charter requires?
ParlaMint-GB_2016-12-15-commons.u68	I am sure my hon. Friend welcomes the charter, which sees a new regulatory regime for the BBC and includes Ofcom having regulatory responsibility, that is being laid today. I am sure he will support the Digital Economy Bill, which is making its passage through the other place, to ensure that the regulatory regime comes into force.
ParlaMint-GB_2016-12-15-commons.u69	T2. BT owns a massive 42% of the UK’s useable mobile spectrum, meaning that challenger companies suffer capacity constraints. Will the Minister ask Ofcom to include a cap considerably below 42% in the forthcoming spectrum auction?
ParlaMint-GB_2016-12-15-commons.u70	Making sure we have a fully competitive mobile market is very important. Ofcom will take a view to ensure that that continues. That is in its remit. We will ensure that the spectrum is auctioned in such a way to get the broadest possible coverage.
ParlaMint-GB_2016-12-15-commons.u71	T6. The National Citizen Service has done a great deal to encourage young people in north-east Lincolnshire, and in Cleethorpes in particular, to broaden their horizons. What further action is the Minister taking to promote participation in the scheme, and will he commit to visit some of the projects in Cleethorpes?
ParlaMint-GB_2016-12-15-commons.u72	My hon. Friend is a big supporter of the NCS and I am aware that coastal areas face significant challenges. The NCS can and does have a significant impact on helping those areas. It is therefore great news that there is a place in the NCS for every young person who wants one. This summer alone, 285 young people in north-east Lincolnshire have taken part. Subject to my diary, I am very happy to visit the schemes in his area.
ParlaMint-GB_2016-12-15-commons.u73	T4. The Minister says he is considering all options on Channel 4. Does that include privatisation and part-privatisation?
ParlaMint-GB_2016-12-15-commons.u74	We will set out our plans for the future of Channel 4 in due course.
ParlaMint-GB_2016-12-15-commons.u75	What possible justification is there for the Government owning both the BBC and Channel 4?
ParlaMint-GB_2016-12-15-commons.u76	Channel 4 is not paid for but is owned by the Government. It was set up under Government ownership, but it pays for itself through its advertising, and delivers brilliantly—I think—within its remit.
ParlaMint-GB_2016-12-15-commons.u77	T5. I have arranged for Sport England to attend my constituency in January to meet local sports clubs, many of which are struggling to stay afloat because of a decrease in grants and huge cuts to local authority funding. In the light of the child obesity strategy, does the Minister agree that the Government should make it a priority to engage with and promote these small sports clubs?
ParlaMint-GB_2016-12-15-commons.u78	I congratulate the hon. Lady on her initiative, and I hope that others in the House will do something similar, because getting Sport England funding involves a lot of work and paperwork. We would encourage all local sports clubs to do it, however, and I congratulate her on her initiative.
ParlaMint-GB_2016-12-15-commons.u79	Her Majesty’s Revenue and Customs says it is investigating 43 premier league players and 12 clubs, including, it is believed, Manchester United, for image rights tax dodging. Does the Minister agree that fans are right to be angry that big clubs and players, including England captain, Wayne Rooney, stand accused of dirtying the beautiful game with a culture of excessive greed and tax dodging?
ParlaMint-GB_2016-12-15-commons.u80	I agree with my hon. Friend that those in football should protect the reputation of football, but he is asking me to comment on a matter that HMRC is still investigating. Football players, clubs and managers are treated no differently from others and are expected to adhere to the same principles.
ParlaMint-GB_2016-12-15-commons.u81	T7. I welcome the Government’s announcement yesterday of a review into volunteering, but will the Minister confirm that the Government will provide a full response to each of the review’s eventual recommendations, particularly on the question of the legal status of full-time volunteers?
ParlaMint-GB_2016-12-15-commons.u82	May I begin by saying how proud I am of the fantastic work already being done by the NCS and the I Will campaign, which is making a dramatic difference to young people and volunteering? I announced a review yesterday, and of course we will respond in detail to the report’s findings.
ParlaMint-GB_2016-12-15-commons.u83	It is widely acknowledged that the BBC is institutionally biased in favour of the EU. Will the Secretary of State explain why the BBC does not acknowledge that itself?
ParlaMint-GB_2016-12-15-commons.u84	I repeat the answer I gave to my hon. Friend the Member for Kettering (Mr Hollobone): not only does the new charter require impartiality, but we have Ofcom to regulate that, a new unitary board with management responsibilities for the BBC and the National Audit Office looking at value for money. I think that that package of regulation and value-for-money auditing should give my hon. Friend the Member for Wellingborough (Mr Bone) the comfort he needs.
ParlaMint-GB_2016-12-15-commons.u85	Will the Secretary of State speak to the BBC about the role it can play in the future of Gaelic language broadcasting? It currently spends less than 0.25% on Gaelic programming, and as a result the otherwise excellent BBC Alba is left with a 74% repeat rate.
ParlaMint-GB_2016-12-15-commons.u86	I am sure that the right hon. Gentleman will welcome the fact that this is an 11-year settlement that will guarantee Gaelic language broadcasting. I would be happy to discuss the matter further with the BBC, but I am sure that he welcomes the fact that this is a long-term sustainable settlement.
ParlaMint-GB_2016-12-15-commons.u87	Our community libraries could be places of study and multi-media use and real community hubs. What steps will my hon. Friend take to encourage local authorities to develop our libraries so that they become such community hubs?
ParlaMint-GB_2016-12-15-commons.u88	We recently published a report, the “ambition” document, which highlighted how libraries are an important part of local communities able to act as community hubs and providing a range of activities in respect of support for reading, digital skills, culture, health, employment and learning. I urge local authorities to think innovatively and to use their libraries to deliver services to their communities so that they are sustainable and can thrive in the future.
ParlaMint-GB_2016-12-15-commons.u89	1. What steps his Department is taking to support foreign direct investment into the UK.
ParlaMint-GB_2016-12-15-commons.u90	My Department is working globally to attract foreign firms to set up or expand their businesses in the UK and to generate new jobs and contribute to national wealth creation. We are promoting the UK as a prime destination for inward investment from across our global network, with dedicated support for investors in 50 overseas markets. With the support of sector specialists, we are ensuring that the UK has the best opportunities to attract higher-quality foreign direct investment.
ParlaMint-GB_2016-12-15-commons.u91	Latest gross value added figures show that Wales is the fastest growing area outside London, and Cardiff is unabashedly the engine room of the Welsh economy. What positive steps is the Department taking to ensure that Welsh businesses and Cardiff businesses get the help they expect to get?
ParlaMint-GB_2016-12-15-commons.u92	Let me say that my hon. Friend, given that his constituency is Cardiff North, is the engine-room of the Cardiff economy. The Department for International Trade works for the whole of the UK, but I stress that my right hon. Friend the Secretary of State has already visited Wales, and I am working with the Wales Office to see what more we can do. We also support the Welsh Government by offering them support in posts overseas. We see the opportunities presented by Wales as very exciting.
ParlaMint-GB_2016-12-15-commons.u93	Today we are told that it could take up to 10 years to reach a trade agreement with the EU after we leave, while research from the National Institute of Economic and Social Research suggests a drop in trade of up to 60% if we are outside the customs union. Foreign investors are vital for the British economy, so will the Minister give those investors some of the certainty they so desperately need—and that we need, as well? Will he tell them whether he wants Britain to be inside the customs union and whether he wants tariff-free access to the single market or not?
ParlaMint-GB_2016-12-15-commons.u94	It has been made very clear that the Government are not going to give a running commentary on what we are proposing to do. I also stress that the comments of Ivan Rogers are opinions and words taken from interlocutors and do not necessarily define how long it will take to create a trade deal. It is worth bearing in mind, if we look at various trade deals around the world, that while the Trans-Pacific Partnership has taken potentially eight years, the US-Jordan trade deal took just four months. It is very difficult to establish exactly how long any trade deal will take.
ParlaMint-GB_2016-12-15-commons.u95	As the UK becomes a world leader in the fourth industrial revolution—new technology—will the Minister update the House on what steps his Department is taking to secure foreign direct investment in this vital new sector?
ParlaMint-GB_2016-12-15-commons.u96	I congratulate my hon. Friend on launching the all-party parliamentary group on the fourth industrial revolution. This type of innovative approach by businesses moving forward is incredibly important to the success of this country’s economy. We are working extraordinarily hard to make sure that this innovative approach is being transmitted around the world through our posts overseas, and that we can secure foreign direct investment to support it.
ParlaMint-GB_2016-12-15-commons.u97	What is the Minister’s best estimate on when an EU trade deal will be completed?
ParlaMint-GB_2016-12-15-commons.u98	I refer the hon. Gentleman to my earlier answer.
ParlaMint-GB_2016-12-15-commons.u99	2. What discussions he has had with the World Trade Organisation on the approval of new schedules for the UK after the UK has left the EU.
ParlaMint-GB_2016-12-15-commons.u100	I have had a number of constructive discussions with the director-general of the World Trade Organisation, Roberto Azevêdo. We have made clear to the WTO membership the UK’s intention to replicate as far as possible our current obligations in order to avoid disrupting our trading relationships or those of our trading partners across the world. The UK will need its own schedules in the WTO regardless of the nature of our future trading relationship with the EU.
ParlaMint-GB_2016-12-15-commons.u101	Given that the list of countries offended by the Foreign Secretary grows longer by the day, what contingencies are being put in place should there be some opposition to the renegotiation of the UK schedule?
ParlaMint-GB_2016-12-15-commons.u102	The contingency that the hon. Gentleman asks for is in place, because until new schedules are negotiated and agreed, current schedules will apply. It is worth noting that the European Union itself, having failed to negotiate EU28 schedules, is still operating successfully under the EU15 of 1995.
ParlaMint-GB_2016-12-15-commons.u103	Civitas has estimated that if we were to go to World Trade Organisation terms with the EU, EU businesses would have to pay £12 billion to access the UK market, and UK businesses will have to pay £5 billion to access the EU market. Does the Secretary of State accept those figures? If the Government do not accept them, will he tell us what the Government’s figures are?
ParlaMint-GB_2016-12-15-commons.u104	Whatever the actual figures are, there is one point that is more important—the introduction of any impediments to trade and investment in intra-European trade would be disadvantageous to producers and consumers alike. Of course, the Government have made it very clear that we will try to get maximum access to European markets in order to avoid a disruption of trade.
ParlaMint-GB_2016-12-15-commons.u105	Are not these WTO schedules of concessions just one of many examples of the mammoth bureaucratic task that has to be conducted, and should we not be thanking our ambassador to the European Union for the reality check he has given about the decade-long period it will take to extricate ourselves from this process? Does the Secretary of State agree we should not be rushing so headlong into this timetable?
ParlaMint-GB_2016-12-15-commons.u106	Yes, we face a number of bureaucratic challenges, but the people we should be thanking are the British people for giving us such clear instructions to leave the EU.
ParlaMint-GB_2016-12-15-commons.u107	The UK has high standards in the workplace and for its products and animal welfare. Does the Secretary of State agree that a free trade deal with zero tariffs with countries that have much lower standards could have a significant commercial disadvantage for many of our companies?
ParlaMint-GB_2016-12-15-commons.u108	The whole point of reaching an agreement is because it is beneficial to both parties, otherwise an agreement would not be reached, and regulatory and compliance standards will always be an important part of that.
ParlaMint-GB_2016-12-15-commons.u109	3. What steps he is taking to expand UK global trade.
ParlaMint-GB_2016-12-15-commons.u110	With the current slowdown in the growth of global trade, the UK must be a world leader in championing free trade worldwide and banging a drum for British business. Our measures to support UK business trading globally include a network of advisers in 109 markets, online advice at GREAT.gov.uk and support through UK Export Finance. Both myself and ministerial colleagues have continued to meet businesses in the UK and abroad, including 50 ministerial visits to 34 markets overseas.
ParlaMint-GB_2016-12-15-commons.u111	I thank the Secretary of State for that answer. Professor Patrick Minford has estimated that UK trade liberalisation would cut consumer prices by 8%. Does the Secretary of State agree that forging our own free trade arrangements outside the EU presents huge opportunities to ease the cost of living for low-income families?
ParlaMint-GB_2016-12-15-commons.u112	I am grateful to my hon. Friend for that question, and he is right to highlight the potential of free trade to reduce the cost of living in this country. Free trade ensures that more people can access more goods at better value, making their incomes go further, whereas protectionism tends to hurt the poorest the most.
ParlaMint-GB_2016-12-15-commons.u113	It has been two years since the then Environment Secretary announced with great fanfare plans to sell pigs’ trotters to China. As my written question this week revealed, we are still no closer to signing the pigs’ trotters protocol. If it takes this long to reach an agreement to sell pigs’ trotters, what does that say about our ability to make all the other trade deals we need in the wake of Brexit?
ParlaMint-GB_2016-12-15-commons.u114	I am very intent that our agricultural exports continue apace. I shall continue to push pigs’ trotters as fast as they can possibly go.
ParlaMint-GB_2016-12-15-commons.u115	A very alluring prospect, to be accomplished by the right hon. Gentleman probably not without sweat or emotion.
ParlaMint-GB_2016-12-15-commons.u116	Many countries are using non-tariff barriers to block global trade. However, as the Secretary of State is well aware, in countries such as Brazil we are now seeing real progress in the removal of local content regulations. What more can be done to encourage other countries to follow this example?
ParlaMint-GB_2016-12-15-commons.u117	I thank my hon. Friend for his work as our trade envoy to Brazil. I was extremely impressed in the meetings I had last week in that country that we are now seeing major attempts not only to open up markets, but to deal with endemic corruption. That corruption is one of the biggest single barriers to trade, and, as the World Bank has made clear, improved governance is a major improvement in the potential for trade.
ParlaMint-GB_2016-12-15-commons.u118	The Secretary of State recently reaffirmed the Government’s target to double exports by 2020, but at the autumn statement the Office for Budget Responsibility contradicted this, stating that it expects UK trade to reduce as a result of the UK leaving the EU and the single market. So who is right: does he accept the assessment of the experts of the OBR, yes or no?
ParlaMint-GB_2016-12-15-commons.u119	I am tempted to ask the hon. Lady if she would like Santa to bring her a dictionary, because expectations and targets are not the same thing.
ParlaMint-GB_2016-12-15-commons.u120	Will my right hon. Friend seek to unblock the global trading system by adopting a new open anti-distortions agreement that can deliver free trade and self-government, fight crony capitalism at home and defend against predatory practice abroad, like the one proposed by the Legatum Institute special trade commission?
