ParlaMint-GB_2016-01-26-commons.u1	1. What his policy is on the autonomy of prison governors; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u89	I could not agree more with my hon. Friend. I have to say that the capacity of cadet forces and military involvement to turn around the lives of young men who find themselves in trouble has been attested to over the years. Everything that we can do to support the Education Secretary in extending the work of cadet forces or to support General Sir Rupert Smith, a man who is a hero in my eyes, in helping to rescue the lives of young people we should do.
ParlaMint-GB_2016-01-26-commons.u90	The allegations in the “Panorama” programme on 11 January about Medway secure training centre were truly appalling. I am glad that the Secretary of State has listened to the chief inspector of prisons and to us, and will appoint an independent improvement board. I also note that the director of Medway has just resigned The three STCs in England—Medway, Oakhill and Rainsbrook—are run by G4S. Following a damning inspection report last year, the Rainsbrook contract was taken away from G4S. This has nothing to do with ideology, but on the basis of the evidence before us, will the Government now take away G4S’s Medway contract and ensure that G4S is not awarded any future contracts?
ParlaMint-GB_2016-01-26-commons.u91	The hon. Gentleman is absolutely right: it is because the allegations are so serious that we have to investigate them properly. The independent improvement board will both investigate what went on and ensure that children are safe. When any organisation fails in the delivery of public services, as G4S did at Rainsbrook, we will take steps to remove the contract, and a new organisation has been given that contract. Of course, if G4S has failed in this regard, then we will take all steps necessary to keep children safe.
ParlaMint-GB_2016-01-26-commons.u92	10. What steps his Department is taking to improve safety in prisons; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u93	15. What is his Department doing to improve safety in prisons; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u94	Violence in prisons has increased in recent years. The nature of the offenders who are currently in custody and the widespread availability of novel psychoactive substances have contributed to prisons becoming less safe. There is no simple single solution that will improve safety in prisons, but we are making progress. We are trialling the use of body-worn cameras and training sniffer dogs to detect NPS, but ultimately the only way to reduce violence is to give governors the tools to more effectively reform and rehabilitate prisoners.
ParlaMint-GB_2016-01-26-commons.u95	One threat to safety inside and outside prisons is the ability of inmates to access mobile phones. On Friday, a serving prisoner at Rochester prison was sentenced to 12 years for arranging the supply of reactivated firearms via a mobile phone from his prison cell. Random checks are only so good and prison officers do their best, but I think it is time to cut off the head of the snake and go for mobile phone jamming devices.
ParlaMint-GB_2016-01-26-commons.u96	We already employ a number of measures. We have body orifice scanning chairs, metal detecting wands, signal detectors and blockers, and specially trained dogs. My hon. Friend is right that we need to refocus and redouble our efforts in this area, particularly in respect of the use of blockers and detectors. I assure him that the Secretary of State and I are fully engaged in this area.
ParlaMint-GB_2016-01-26-commons.u97	The safety of young people in our prison estate was, as we have heard, called into question by the “Panorama” programme about Medway secure training centre. What assurances can be provided that the safety of young people across the prison estate, not just in Medway, is being prioritised?
ParlaMint-GB_2016-01-26-commons.u98	My hon. Friend will have heard the answer that the Secretary of State gave to a previous question on this issue. I will not repeat that, save to say that we take this issue extremely seriously. That is why the Secretary of State commissioned Charlie Taylor, the former chief executive of the National College for Teaching and Leadership, to conduct a review of youth justice and youth custody across the piece. That will have not only safety at its heart, but improved outcomes for young people in custody.
ParlaMint-GB_2016-01-26-commons.u99	The example of Medway shows that the use of restraint for good order and discipline can be exploited. Will the inquiry look into that issue across all prisons, because I do not think it is appropriate in this day and age?
ParlaMint-GB_2016-01-26-commons.u100	There are occasions in custody when, for the safety of the young person and others, we have to use restraint. The chief inspector has acknowledged that the new process of minimising and managing physical restraint is an improvement, but that is the case only if it is used properly and appropriately, and not if it is abused. We are very mindful of that.
ParlaMint-GB_2016-01-26-commons.u101	The report by the outgoing chief inspector of prisons quoted a member of staff at HMP Wormwood Scrubs as saying that one cell was so unsafe, “I wouldn’t keep a dog in there.” I know that you can’t teach an old dog new tricks, but will the Minister tell us what is being done to deal with the Tory prisons crisis?
ParlaMint-GB_2016-01-26-commons.u102	I hope that the hon. Lady would be fair enough to recognise that this Government have accepted that much of our prison estate is simply not good enough. It is too old, it is inappropriate and we cannot provide the education or work that we need to provide. That is why the Chancellor has provided £1.3 billion to build nine new prisons, in addition to the new prison that we are building in north Wales, the new house blocks that we have delivered and the two further house blocks that we are going to deliver. We want a fit-for-purpose estate where we can rehabilitate people properly.
ParlaMint-GB_2016-01-26-commons.u103	12. What representations he has received from (a) international bodies, (b) the Council of Europe and (c) the UN on the UK’s membership of the European Convention on Human Rights.
ParlaMint-GB_2016-01-26-commons.u104	16. What representations he has received from (a) international bodies, (b) the Council of Europe and (c) the UN on the UK’s membership of the European Convention on Human Rights.
ParlaMint-GB_2016-01-26-commons.u105	I have met many of our international partners, from the Council of Europe Commissioner for Human Rights, Nils Muižnieks, to the United Nations High Commissioner for Human Rights, Prince Zeid. The Secretary of State for Justice has met many others, including Secretary-General Jagland of the Council of Europe. Those meetings are important opportunities to reinforce Britain’s proud tradition of promoting freedom and discuss how the Government intend to strengthen it both at home and abroad.
