ParlaMint-GB_2016-06-28-commons.u1	1. What steps he is taking to support innovation in industry.
ParlaMint-GB_2016-06-28-commons.u49	I am surprised that you have shortened my name today, Mr Speaker The traineeship programme grew by more than 85% in 2014-15. Our first year evaluation showed positive progression rates with 50% of trainees moving on to apprenticeships and work, and a further 17% going on to further learning.
ParlaMint-GB_2016-06-28-commons.u50	I am sorry to disappoint the hon. Gentleman. Perhaps the world should know that his full name is Mr Nicholas Edward Coleridge Boles.
ParlaMint-GB_2016-06-28-commons.u51	Well played, Mr Speaker There is still a perception, I am afraid, that traineeships and apprenticeships are somehow second class compared with other career routes. As a former apprentice, I know just how rewarding they can be. This summer, I will be running a skilled trades summer school in my constituency to help young people to realise the advantages of electrical and mechanical engineering, the motor trades and joinery, for instance. Will the Minister meet me and members of Oldham College to talk about how we can raise the profile of those very important trades?
ParlaMint-GB_2016-06-28-commons.u52	I congratulate the hon. Gentleman on his fantastic initiative, which is particularly powerful given his history as an apprentice—he can preach the reality of it. I have to confess to him that I have never been to Oldham, so I would love to come for the first time to join him.
ParlaMint-GB_2016-06-28-commons.u53	Traineeships ought to be a route to good-quality apprenticeships, but we know that there remains a substantial gender pay gap for apprentices of more than £1 an hour. Will the Minister suggest how traineeships can be developed to encourage girls and young women into career routes that pay good salaries and have good prospects?
ParlaMint-GB_2016-06-28-commons.u54	The hon. Lady identifies an important challenge that has been long in existence, and we have a long way to go to correct it. The key thing is to try to persuade young women to go for the kinds of jobs that are open to them and would pay them much better rates: STEM-related careers and engineering-related jobs. Traineeships are often a good way for people to get a taste for a profession but, equally, we need to attack the problem much earlier—at primary school—to shape the attitudes of young girls and make them understand that, like the shadow Minister, the hon. Member for Newcastle upon Tyne Central (Chi Onwurah), they have a career in technology open to them.
ParlaMint-GB_2016-06-28-commons.u55	Peter Cheese, chief executive of CIPD, has said that if the Government are serious about improving the quality of apprenticeships and skills, as well as the quantity, they need completely to overhaul the apprenticeship levy. Is he right?
ParlaMint-GB_2016-06-28-commons.u56	He is right, to the extent that we want massively to improve the quality of apprenticeships, as well as the quantity, and they are not in conflict. But of course, if we are going to do both, we have to have more money to spend. That is why the apprenticeship levy is absolutely critical. It will enable us to take Government spending on apprenticeship training from £1.5 billion a year at the moment to £2.5 billion a year in England by the end of this Parliament, which is essential if we are to get the quality as well as the numbers up.
ParlaMint-GB_2016-06-28-commons.u57	The Minister has tried to construct a reassurance on traineeships, but the facts that have been dragged from the Government tell a different story. Freedom of information figures published in FE Week show that just 9% of 19 to 24-year-olds and just one in five of all 16 to 24-year-olds went from traineeships to apprenticeships. The Labour party has consistently supported traineeships for getting many more young people into quality apprenticeships, so why have the Government wasted three years, failing properly to promote, explain or target them? Ten days ago, the Minister warned about Brexit uncertainties threatening apprenticeship growth and the levy, so will he now spell out new initiatives to tackle the necessary increase in traineeships, including support to further education colleges and providers who are desperate to press ahead with them; or else risk failing the young generation?
ParlaMint-GB_2016-06-28-commons.u58	I congratulate the hon. Gentleman on being one of the few people to resist the temptation to resign in the past 48 hours. He and the shadow Home Secretary, the right hon. Member for Leigh (Andy Burnham), will go down in the history books as brave champions of modern opposition. I am delighted that the hon. Gentleman is an avid reader of FE Week; it is an interesting publication. He will know that traineeships are not only about pre-apprenticeship programmes. The whole point of traineeships is to take people into apprenticeships, jobs or further training—whatever is best for them—and he would seek to narrow this programme, the great strength of which is its versatility.
ParlaMint-GB_2016-06-28-commons.u59	8. What steps he is taking to address skills shortages in the workforce.
ParlaMint-GB_2016-06-28-commons.u60	As has been often discussed, we are introducing an apprenticeship levy, which will have two main outcomes. First, we will dramatically increase spending on apprenticeships. It will also require large employers either to invest in apprenticeships or to see their money used by someone else.
ParlaMint-GB_2016-06-28-commons.u61	I think that the hon. Gentleman is seeking to group this with Question 12.
ParlaMint-GB_2016-06-28-commons.u62	indicated assent.
ParlaMint-GB_2016-06-28-commons.u63	Very good. Grouping agreed.
ParlaMint-GB_2016-06-28-commons.u64	12. What steps he is taking to address skills shortages in the workforce.
ParlaMint-GB_2016-06-28-commons.u65	I am grateful to my hon. Friend for his answer. He will be very aware, as I am, that certain employers have said that they are not happy with the apprenticeship levy and have asked the Government to rethink, but does he agree that the levy is the best way to ensure that businesses invest in their employees’ skills and for the Government to put apprenticeship funding on a sustainable footing?
ParlaMint-GB_2016-06-28-commons.u66	Forgive me, Mr Speaker; we are all somewhat discombobulated at the moment. I should have mentioned that I am seeking to group this question with a later one My hon. Friend is absolutely right. What we are trying to design with the apprenticeship levy is actually something of an innovation in government: it is a new tax, but the companies that pay the tax will be able to spend it on training that directly benefits them, so it creates a huge incentive for those employers who pay the levy to get maximum benefit from it by creating more apprenticeships, and I believe that it will have a powerful impact in her constituency.
ParlaMint-GB_2016-06-28-commons.u67	The importance of home-grown skills is clearly now even more important, given the result of the referendum last week. Considering the importance of EU funding to British universities, what steps is the Minister taking to ensure that universities and other major providers of skills in the UK are equipped and supported, following last Thursday’s vote?
ParlaMint-GB_2016-06-28-commons.u68	I agree with my hon. Friend. One of the results of the decision to leave the European Union is that we as a nation will have to do what we have done for hundreds of years, which is live by our wits and our talents, and we need to develop those talents by investing in education, in science, in research and in skills training. He is absolutely right about the crucial role that universities play—obviously, my hon. Friend the Minister for Universities and Science is leading on that—but we are working closely together to get more universities involved in providing degree apprenticeships, so that people can get degrees and rise to high positions through apprenticeships.
ParlaMint-GB_2016-06-28-commons.u69	One of the messages that has clearly come across to me from my experience campaigning in the referendum is that the free movement of people between this country and the rest of the European Union is no longer acceptable to the people I represent. What contingency plans has the Department got for what it will mean for the British economy to end the free movement of people?
ParlaMint-GB_2016-06-28-commons.u70	The hon. Gentleman will know that no changes are going to take place any time soon in any of the arrangements with the European Union. We have made a decision that we are going to leave the European Union, but there will be a lengthy process of negotiation to establish exactly what new arrangements will be put in place. However, he is right that one of the chief sources of concern in our communities is the free movement of people, and I am sure he is also right that in his constituency, as in my own, that will have been a motive for many people to vote. That does not alter the fact that whether we are inside the single market or not, whether we have free movement of people or not, investment in the skills of our own people so that British people can get the best British jobs is what we need.
ParlaMint-GB_2016-06-28-commons.u71	The most recent employment skills survey conducted by the UK Commission for Employment and Skills found that 2 million staff had skills not currently being utilised in the workplace. Can the Minister detail the steps that he is taking to work with businesses to utilise those skills more productively?
ParlaMint-GB_2016-06-28-commons.u72	I feel as though I hardly use any of the skills that I have acquired during my long life—certainly not in this job. The hon. Lady is right that that applies to many people. It is one of the key reasons why we have resisted pressure to make apprenticeships something only for young people and only for new recruits, because for someone of 45, for example, who is returning to work after a career break or who has suddenly discovered in themselves an interest and a potential that they did not know about, it is right that there is Government support through apprenticeship training to enable them to develop those new skills and go on to a rewarding career.
ParlaMint-GB_2016-06-28-commons.u73	19. Local businesses in Worcester tell me that they worry about skills shortages and they want to invest in young people. In order for them to do so, it is crucial that young people coming out of school have information about apprenticeships. Does the Minister agree that we need to keep on making sure that inspiring apprentices and their employers get into our schools to talk about the opportunities that apprenticeships can offer?
ParlaMint-GB_2016-06-28-commons.u74	My hon. Friend is right. I know that he will be playing a vital role in shepherding through Parliament the Bill that will require all schools to allow other providers of opportunity post-16, whether FE colleges or apprenticeship employers, to come into the school to talk to young people during school hours, so that they are aware of the full range of opportunities out there, including apprenticeships.
ParlaMint-GB_2016-06-28-commons.u75	One of the ways in which skills gaps in the economy have been filled is with EU nationals. That opportunity could now be lost to Scotland, especially in particular sectors and in rural areas. Can the Minister give an assurance to EU nationals currently filling skills gaps in the Scottish economy that their skills are valued and that they will be able to stay?
ParlaMint-GB_2016-06-28-commons.u76	I am very happy to do that and I am grateful to the hon. Lady for giving me the opportunity to do so, not just in relation to Scotland but elsewhere in our country. In my Lincolnshire constituency there are certain industries, such as food growing and processing, and the NHS, which would find it very hard to operate without the skills brought in by highly valued migrant workers, not just from the European Union, though importantly also from the European Union. The Prime Minister was very clear yesterday that those people’s position in our country is secure, their working rights are secure, and we remain a member of the European Union. Not only are they secure, but they are valued. We welcome them and we want them to stay here and help us make our society great.
ParlaMint-GB_2016-06-28-commons.u77	9. What steps he is taking to improve the quality of higher education.
ParlaMint-GB_2016-06-28-commons.u78	The higher education and research White Paper, and now the Bill before Parliament, set out the steps that we are taking to raise the quality of higher education and to help ensure that all students get the teaching experience that they expect and the employment outcomes that they expect from their time at university.
ParlaMint-GB_2016-06-28-commons.u79	The University of Winchester is exceptionally strong in degree apprenticeships. It performs consistently well in student satisfaction surveys and regularly tops 90% in graduate prospects figures. Does the Minister agree that these are all key drivers for young people in deciding to make what is a significant investment in higher education, and that Winchester seems well placed for that?
ParlaMint-GB_2016-06-28-commons.u80	The University of Winchester is leading the way in degree apprenticeships, as in so many other areas. I was delighted, on Friday, to meet its excellent vice-chancellor, Professor Joy Carter, and I will meet her again shortly. Winchester is a good example of a university whose students have excellent satisfaction ratings and excellent employment outcomes, with 95% going on to employment, graduate employment or further study in a very short time.
ParlaMint-GB_2016-06-28-commons.u81	The University of Sussex down in Brighton gets £9 million of funding from the European Union. The leave campaign was very clear that that funding would be replaced by British Government funding after Brexit. Will the Minister get to his feet and guarantee that that funding will continue? If not, will he bring his brother down to Brighton to explain directly to students why the door of education is going to be slammed in their faces?
ParlaMint-GB_2016-06-28-commons.u82	This Government, more than any other, understand the importance of science funding. That is why we have protected science spending until the end of the Parliament—a decade of real-terms protection. Our universities and institutes can continue today to apply for EU competitive funding streams under Horizon 2020, and I am sure they will continue to be successful in the future.[Official Report, 5 July 2016, Vol. 612, c. 4MC.]
ParlaMint-GB_2016-06-28-commons.u83	I praise the Catapult programme run by the Department, but can the Minister give us any indication of the opportunities for it to be rolled out more widely and to be available to people in areas such as Northern Ireland?
ParlaMint-GB_2016-06-28-commons.u84	Certainly. In our manifesto we committed to rolling out our very successful catapult network, which provides shared facilities that companies, on their own, could not afford to construct. That enables our businesses to maximise the value of research coming out of our university system. In this Parliament, we have already delivered new catapults at Alderley Park in Cheshire and in Cambridge, with the precision medicine catapult. This is an expanding and very successful network, and it will continue to be so.
ParlaMint-GB_2016-06-28-commons.u85	The Minister’s higher education White Paper rightly bangs on about how important high-level skills are, but the imminent skills White Paper is not even part of his new Higher Education and Research Bill. With those who teach, manage and work in HE fearful of the consequences of Brexit, should he not be prioritising skills strategies for both our community-based and internationally focused universities and using FE colleges as key HE providers? Why is he instead gambling the bank on allowing unknown, brand-new providers to get degree-awarding powers from day one—probationary degrees from probationary providers—risking our universities’ brand reputation overseas, as well as jobs and productivity at home?
ParlaMint-GB_2016-06-28-commons.u86	I am working closely with my colleague the Skills Minister, whose forthcoming White Paper will have many of the answers to the questions the hon. Gentleman has posed. We are surprised by the tone of scepticism about the potential for new higher education providers to lift quality and enhance the range of high-quality higher education on offer in this country. I am afraid, though, that that is of a piece with the Labour party’s previous opposition to the conversion of polytechnics and to new universities in the 1960s.
ParlaMint-GB_2016-06-28-commons.u87	10. What steps he is taking to promote take-up of STEM subjects in higher education.
ParlaMint-GB_2016-06-28-commons.u88	I call Minister Johnson—the only Johnson who matters today.
ParlaMint-GB_2016-06-28-commons.u89	Thank you, Mr Speaker. The Government are fully committed to making the UK the best place in the world to do science. The number of full-time students accepted to study STEM subjects in England is up 17% since 2010. Initiatives such as the STEM ambassadors programme and the new Polar Explorer programme are providing inspiration for young people to consider STEM careers.
ParlaMint-GB_2016-06-28-commons.u90	To what extent can studio schools, such as the excellent Space Studio in Banbury and the new Bicester Technology Studio school, be used to promote the take-up of STEM subjects later in a student’s career, whether that is at university or as part of an apprenticeship?
ParlaMint-GB_2016-06-28-commons.u91	That is right: studio schools are pioneering a new and valuable approach to learning and are focusing on equipping students with a wide range of employability skills and academic qualifications. Schools such as the ones my hon. Friend mentioned in Banbury and the one in Bicester that will open in September give students the opportunity to work with specialist employers such as the UK and European space agencies and those in the fields of technology, sustainable construction, engineering and computing.
ParlaMint-GB_2016-06-28-commons.u92	As vice-chair of the all-party parliamentary group on nuclear energy, I am extremely keen to get more women into the nuclear industry and into studying STEM subjects at school and university, because we cannot meet the skills shortage without attracting more women and girls into engineering. I was therefore really pleased to hear the Minister agree with my hon. Friend the Member for Stretford and Urmston (Kate Green) about the need to get in much earlier, at primary school level, if girls are going to take that subject right the way through to higher education. What specific action are the Government taking to achieve that aim, and how will they take into account the good work that we are already carrying out in west Cumbria?
ParlaMint-GB_2016-06-28-commons.u93	The Government continue to work with all partners to raise awareness and interest in STEM careers. Initiatives such as the Inspiring Science Capital Fund, a £30 million programme that we launched with the Wellcome Trust, STEM Ambassadors, which is a £5 million-a-year programme, the Polar Explorer programme I have already mentioned, and the industry-led Your Life campaign are providing inspiration for young people to consider STEM careers. I am pleased to say that over 50% of STEM undergraduates are now women.
ParlaMint-GB_2016-06-28-commons.u94	The Minister will know how important EU research funding is to our universities, particularly in relation to STEM subjects. He will also know that those leading the leave campaign promised that no sector would lose out as a result of Brexit. Forget about the next two years—if I could push him on his earlier answer, what will he be doing to ensure that UK Government funds replace European funding, pound for pound, in supporting research in our universities?
ParlaMint-GB_2016-06-28-commons.u95	We remain members of the European Union. Our institutions are fully able to apply for and win European competitive funding schemes, and they will continue to be able to do so until such time as we change the basis of our relationship with Horizon 2020.
ParlaMint-GB_2016-06-28-commons.u96	I call another, equally important, Johnson—Diana Johnson.
ParlaMint-GB_2016-06-28-commons.u97	11. What his plans are for the future of the Land Registry.
ParlaMint-GB_2016-06-28-commons.u98	We recently consulted on options for the Land Registry. The consultation closed on 26 May and we are currently reviewing the responses. Until this is completed, no decision will be made.
ParlaMint-GB_2016-06-28-commons.u99	Having a Land Registry office in Hull, I note that in the consultation of July 2014, when the coalition scrapped plans to sell off the Land Registry, only 5% of people consulted said that it would be more efficient and effective to do so, and the Government admitted that the case for change had not been made. So what has changed since then?
ParlaMint-GB_2016-06-28-commons.u100	As I said, no decision has been made. It is clear, however, that the Land Registry has been moving increasingly from the use of paper to electronic means, and these modernisation and efficiency changes need to carry on. Regardless of ownership, this is just the kind of change we want to see.
ParlaMint-GB_2016-06-28-commons.u101	One of the strengths of the Land Registry is its transparency and independence, but those proposing to buy it have links to offshore tax havens—places that do everything to avoid such transparency and independence. The sale to firms with links to tax havens will undermine the trust of homeowners and mortgage lenders. Is not the truth that this sale of family silver makes a complete mockery of Government claims to be tackling tax avoidance and tax evasion?
ParlaMint-GB_2016-06-28-commons.u102	It would be entirely wrong to comment on any press speculation, but, as I said, no decision has been made.
ParlaMint-GB_2016-06-28-commons.u103	13. What steps the Government are taking to promote apprenticeships in the arboriculture, forestry, horticulture and landscape sector.
ParlaMint-GB_2016-06-28-commons.u104	We are working with employer groups to develop new apprenticeship standards such as arborist and forest operative. If I am ever seeking a new career, I can hardly think of a better one. We are also working on a pilot between the Department for Environment, Food and Rural Affairs and BIS to support a boost in the number of apprenticeships available in the national parks.
ParlaMint-GB_2016-06-28-commons.u105	I am delighted that the Government are addressing the skills shortage in this important area with their horticulture and landscape trailblazer apprenticeships. However, what talks has the Minister had with the Department for Education to make sure that courses offered to students provide what businesses actually need so that apprenticeships really work? I am going to welcome him to my constituency to talk about this so that perhaps he can assure me a little more.
ParlaMint-GB_2016-06-28-commons.u106	That is an excellent question. The advantage I have is that I am also a Minister in the Department for Education; I talk to myself worryingly often. My hon. Friend makes a very important point. When the skills plan is published, which will be soon, we will be guided very heavily by the review recently completed by Lord Sainsbury, who is looking at how we can ensure that the courses that people are offered in college are genuinely the courses that employers want because they provide the skills they need for modern jobs.
ParlaMint-GB_2016-06-28-commons.u107	I am sure that the people of Taunton Deane are in a state of eager anticipation and high excitement at the prospect of a visit from the Minister.
ParlaMint-GB_2016-06-28-commons.u108	Wales also offers opportunities for apprenticeships in forestry and horticulture, but employers and colleges in Wales are very concerned about how the apprenticeship levy will work. What recent discussions has the Minister had with Julie James, the Welsh Government Minister, and when does he expect the scheme details to be finalised?
