ParlaMint-GB_2016-02-29-commons.u1	Object Bill to be considered on Monday 7 March.
ParlaMint-GB_2016-02-29-commons.u29	The UK is playing probably the second most important part in coalition air activity in the strikes, in surveillance and in intelligence. As I have said to the House, Daesh is being pushed back in Iraq. There is no doubt about that. It is being pushed up the Tigris and it is being pushed back west along the Euphrates. In Syria, the position is much more complicated. We are concerned at some of the more recent reports that may suggest co-ordination between Syrian democratic forces and the Assad regime, which is not helpful to the long-term aim of defeating Daesh.
ParlaMint-GB_2016-02-29-commons.u30	2. What steps his Department is taking to support British jobs and industry through its procurement process.
ParlaMint-GB_2016-02-29-commons.u31	16. What steps his Department is taking to support British jobs and industry through its procurement process.
ParlaMint-GB_2016-02-29-commons.u32	In the strategic defence and security review published last November, the Ministry of Defence agreed a new strategic objective of contributing to the nation’s prosperity. We do that in many ways, not least through our procurement spend of some £20 billion a year with UK industry, around half of which is in the manufacturing sector. The British defence and security industry is the largest in Europe, and it plays a vital role in delivering battle-winning capabilities for our armed forces. As a Department, we are driving greater innovation into defence procurement, maximising opportunities for small and medium-sized businesses, investing in skills and contributing to a more prosperous economy.
ParlaMint-GB_2016-02-29-commons.u33	That sounded good, and I am glad that the Department has such an objective, but the manufacturing industry in my constituency tells me that the Government have taken far too little action in favour of manufacturing, not least on business rates. In pursuit of those objectives, will the Minister tell me when he last spoke to the Department for Business, Innovation and Skills about refreshing and improving its industrial strategy?
ParlaMint-GB_2016-02-29-commons.u34	I can tell the hon. Lady that I have meetings with colleagues in the Department for Business, Innovation and Skills on a monthly basis. In fact, I was in its offices earlier this month. We are constantly looking for better ways to encourage medium-sized and small businesses, in particular, to engage in the Ministry of Defence supply chain, and I am pleased to tell the House that we have confirmed with the Cabinet Office a target of 25% of MOD spend through SMEs, both direct and indirect.
ParlaMint-GB_2016-02-29-commons.u35	I am genuinely interested in the Minister’s approach. I would like him to explain to the House why, for example, 60% of the steel for the new Royal Navy offshore patrol boats is being procured from Sweden, when in my part of the world, Wales, we have a real crisis on our hands with the steel industry.
ParlaMint-GB_2016-02-29-commons.u36	I am happy to try to respond to the right hon. Gentleman, particularly in relation to the specifics that he has raised. About 20% of the steel used in the three offshore patrol vessels has been sourced from UK steel mills. As the prime contractor, BAE Systems issued invitations to 24 companies to tender for the steel contract. Only four were returned, of which only one was from a British contractor. It won the contract to provide steel, which was then sourced from a wide range of suppliers.
ParlaMint-GB_2016-02-29-commons.u37	On Friday, I visited BAE Systems at Samlesbury, where I saw not only the skills that help it to manufacture parts for the Typhoon and the joint strike fighter, but the results of the millions of pounds it is investing in the training academy for 112 apprentices, which will open later this year, and in 3D printing, which means that it will be able to make parts and prototypes both in plastic and in metals. Does the Minister agree that such investments will help to keep BAE Systems at the forefront of its field in the world?
ParlaMint-GB_2016-02-29-commons.u38	My hon. Friend speaks magnificently not only for his constituents, but for the largest UK defence contractor, whose main centre of engineering innovation is in his constituency. I congratulate him on that and applaud him for it.
ParlaMint-GB_2016-02-29-commons.u39	Given that Ministry of Defence procurement operates under European law, what assessment has the Minister made of a potential exit from the European Union on UK SMEs that rely on MOD contracts?
ParlaMint-GB_2016-02-29-commons.u40	As my hon. Friend knows, the UK defence and security industry is the largest in Europe. As the default position, we continue to place contracts on the basis of open competition. EU procurement directives apply to our procurement, which means that EU contractors are eligible to compete for our contracts in the same way as UK and other international companies, other than when we declare an article 346 exemption for warlike stores, which accounts for about 45% of our procurement.[Official Report, 2 March 2016, Vol. 606, c. 5MC.]
ParlaMint-GB_2016-02-29-commons.u41	On procurement, I hope that the remarks about Europe made by my hon. Friend the Member for Bath (Ben Howlett) also apply in relation to our overseas territories. During the last recess, I had the chance to visit our servicemen and women in the Falklands. Will the Minister join me in paying tribute to the 1,200 personnel there? Will he confirm that this Government will work closely with the Falkland Islands Government to improve the accommodation there and will procure such improvements through British providers?
ParlaMint-GB_2016-02-29-commons.u42	My hon. Friend might have preferred to put that question to the Secretary of State, who has just visited the Falkland Islands. He is the first United Kingdom Defence Secretary to do so for over a decade. I can confirm to my hon. Friend that, as part of the SDSR conclusions, the Ministry of Defence has committed to investing £180 million in the Falkland Islands, including the improvements he seeks to the accommodation.
ParlaMint-GB_2016-02-29-commons.u43	18. There are more than 15,000 high-skill, high-value jobs in the defence sector in the north-west alone, with earnings that are more than 40% higher than the national average. We have heard previously about the lack of a proper industrial strategy for defence with respect to steel, so when will the Government look at the wider economic benefits when it comes to protecting those high-skill, high-value jobs and to creating new ones in the context of defence procurement?
ParlaMint-GB_2016-02-29-commons.u44	The hon. Gentleman should have a word with the leader of his party. Government Members care about both security and prosperity, and the hon. Gentleman may like to remind his leader that grandstanding on a Saturday places at risk not only the ultimate security of the nation, but the tens of thousands of jobs and the hundreds of companies in the submarine industry in this country.
ParlaMint-GB_2016-02-29-commons.u45	Perhaps the Minister should listen to the questions, stop throwing out allegations of grandstanding and take the issue of the steel industry in this country seriously. The chronic under-investment in steel in this country by this Government is nothing less than a national disgrace. As my right hon. Friend the Member for Delyn (Mr Hanson) said, 60% of the steel required for the Royal Navy’s offshore patrol vessels has been sourced from Sweden, to name but one example. Does the Minister not agree that the MOD should consider wider employment, industrial and economic factors in its procurement policy? Its policy is obviously not working given that, as he has said, such a low level, in truth, comes from British companies.
ParlaMint-GB_2016-02-29-commons.u46	UK suppliers make a significant contribution to the supply of steel for our defence programmes, including some 94% of the steel in the aircraft carriers—77,000 tonnes—being sourced from UK mills. The Government and I recognise that there is an issue that is affecting steel production in this country. That is why we established the steel procurement working group, on which the Ministry of Defence is represented. I instructed the Department and wrote to our major defence prime contractors last December to ensure that the guidance on steel procurement was implemented across defence. That will enable proactive engagement with the UK steel market on procurement pipelines through the supply chain and ensure that cost calculations can be taken into account over the whole life, and not just at the initial price.
ParlaMint-GB_2016-02-29-commons.u47	The exchanges today are, to put it mildly, a tad long-winded. There are a lot of questions to get through. What is required is a pithy question and a pithy answer. It is not very difficult.
ParlaMint-GB_2016-02-29-commons.u48	3. What assessment he has made of the potential effect of the planned 30% reduction in his Department’s civilian workforce on front-line service personnel.
ParlaMint-GB_2016-02-29-commons.u49	10. What assessment he has made of the potential effect of the planned 30% reduction in his Department’s civilian workforce on front-line service personnel.
ParlaMint-GB_2016-02-29-commons.u50	Our civilian workers do an excellent job. I recognise that reductions in our workforce will require the Ministry of Defence to look strategically at the way in which we operate. The majority of the planned reductions are under way and there is an opportunity to identify further efficiencies across defence. Our priority is to deliver a smaller, more productive workforce that will ultimately generate savings for reinvestment in front-line capability.
ParlaMint-GB_2016-02-29-commons.u51	Does the Minister acknowledge that further cuts to the civilian workforce will inevitably shift the burden on to armed forces personnel? How does he think that will affect the retention, recruitment and morale of our troops, which, according to servicemen and women in my constituency, are already worryingly low?
ParlaMint-GB_2016-02-29-commons.u52	No, I do not, because the savings of approximately £300 million that we will be able to make will ultimately be reinvested in front-line capability.
ParlaMint-GB_2016-02-29-commons.u53	Does the Minister think that expertise may be lost as a result of the cuts to the civilian force?
ParlaMint-GB_2016-02-29-commons.u54	Under the “whole force” approach, we have tried to find the balance both between regular and reserve service personnel, and between MOD civilians and contractors. This is a mix that successive Governments have followed. We try to use the right people in the right place at the right time.
ParlaMint-GB_2016-02-29-commons.u55	Civilians at Defence Equipment and Support fulfil one of the MOD’s most important responsibilities—making sure that our troops have the right kit—yet they, along with the rest of the MOD’s civilians staff, face 30% cuts. DE&S requires highly specialist expertise, for example to make sure that our aircraft are safe, so will the Minister explain how he can impose 30% cuts without losing such vital skills?
ParlaMint-GB_2016-02-29-commons.u56	I am afraid that the hon. Lady may be misinformed. DE&S does not face 30% cuts. We are not imposing a blanket 30% cut across the whole of defence. If anything, she is slightly scaremongering and should perhaps reflect on her comments.
ParlaMint-GB_2016-02-29-commons.u57	The Minister is telling us that although there will be 30% cuts across the civilian staff, some areas will face cuts to civilian staff higher than 30% and other areas will face 20% cuts. It is in the strategic defence review that there will be 30% cuts to civilian staff, but he tells me that they will not be at DE&S, so where will they be instead? In the last two years alone, DE&S has lost 5,000 staff. At the same time, the cost of contractors has spiralled. We are in the ludicrous position where the Public Accounts Committee says that we are spending £250 million on contractors who are advising us on how to reduce our reliance on contractors. Surely the Minister ought to learn from experience and make these cuts in a strategic way, as opposed to introducing arbitrary cuts.
ParlaMint-GB_2016-02-29-commons.u58	I am grateful for the pithy question. There is a basic misunderstanding here. The hon. Lady needs to understand that many of these programmes are already in place. For example, the footprint strategy, which will see our footprint reduced by some 30%, will naturally mean that there is less need for civilians in certain parts of the estate. Some of the measures are already under way, so we do not simply have to impose a blanket 30% cut in DE&S.
ParlaMint-GB_2016-02-29-commons.u59	4. What recent assessment he has made of the effect of EU membership on the UK’s national security.
ParlaMint-GB_2016-02-29-commons.u60	NATO is the cornerstone of the United Kingdom’s defence. The European Union plays an important complementary role in supporting NATO’s response to international crises, by applying economic, humanitarian and diplomatic levers that NATO does not have. The Government therefore believe that the United Kingdom’s continued membership of a reformed European Union will make us safer and stronger.
ParlaMint-GB_2016-02-29-commons.u61	Cyber threats pose a significant risk to the defence of the UK, and that issue was identified as one of four security challenges in the 2015 defence review. The EU network information and security directive was created in 2014 to enhance data security throughout EU member states, and it is vital that cyber security continues to be a priority for the MOD. Does the Minister agree that remaining a member of the European Union greatly enhances our ability to respond to future cyber threats?
ParlaMint-GB_2016-02-29-commons.u62	Our recent strategic defence and security review identified cyber as one of the key threats facing this country. My Department has now taken overall responsibility for cyber security, and we are spending more than £2 billion to ensure that we keep the institutions of government properly protected and do our best to spread good practice in our industry.
ParlaMint-GB_2016-02-29-commons.u63	17. On a scale of one to 10, and in terms of preserving our national security, how would the Secretary of State rate and compare our membership of NATO with our membership of the EU?
ParlaMint-GB_2016-02-29-commons.u64	As I have said, NATO is the cornerstone of our defence and the EU plays a complementary role. I have not yet come across any NATO Defence Minister who thinks that we should leave the European Union or that we would be safer and stronger outside it. Taken together, membership of those two organisations—the alliance and the union—keeps us stronger and safer in an uncertain world.
ParlaMint-GB_2016-02-29-commons.u65	Does the Secretary of State think that President Putin would shed a tear if the UK left the European Union? Is it not clear that we are better off being part of that collaboration and sitting round the table with France, Germany and Italy, and thinking about all those security issues? Are we not better off and safer remaining part of the European Union?
ParlaMint-GB_2016-02-29-commons.u66	The European Union was able to impose sanctions on President Putin for what he did in annexing Crimea and his aggression in eastern Ukraine. I think that President Putin would certainly welcome any fracturing of either NATO or the European Union.
ParlaMint-GB_2016-02-29-commons.u67	Does my right hon. Friend accept that by advancing the rather quaint idea that somehow our membership of the EU enhances our national security, he is merely playing into the hands of people such as Mr Juncker and Chancellor Merkel who, if Britain votes to remain in the EU, would advance towards a European army and permanent structured co-operation, the result of which would be to undermine NATO—the very organisation that the Secretary of State says is the cornerstone of our national defence?
ParlaMint-GB_2016-02-29-commons.u68	We have made it absolutely clear that we would not support any move towards a European Union army of the kind that my hon. Friend suggests. These two organisations have different memberships and slightly different objectives. As I have said, NATO is the key part and cornerstone of our defence, but legal, economic, diplomatic and humanitarian levers are available to the European Union that NATO does not have. Being a member of both gives us the best of both worlds.
ParlaMint-GB_2016-02-29-commons.u69	When the Secretary of State talks to fellow European Defence Ministers, he must acknowledge that some would prefer a European defence force ultimately to replace NATO. What is his view on that, and will he acknowledge that most of our European security successes are bilateral and not as part of the EU?
ParlaMint-GB_2016-02-29-commons.u70	I have not heard a fellow European Defence Minister call on us to help to create any kind of European defence force. At the last NATO meeting I attended in Brussels last month, it was interesting that Germany specifically asked for NATO to help police the Aegean sea and deal with the migrant pressure. There is a role for NATO in some of these operations, and a role in other areas for the European Union. We are fortunate in being members of both.
ParlaMint-GB_2016-02-29-commons.u71	Does the Secretary of State agree that it is essential that all members of our armed forces serving away from home are able to vote in the June referendum?
ParlaMint-GB_2016-02-29-commons.u72	Yes. The arrangements for voting in the referendum, as I understand it, are exactly the same as in a general election. Following my hon. Friend’s reminder, we will of course make every effort to ensure as high a turnout by the armed forces as possible.
ParlaMint-GB_2016-02-29-commons.u73	5. What plans he has to reform compensation for armed forces veterans affected by mesothelioma.
ParlaMint-GB_2016-02-29-commons.u74	When I announced to the House on 16 December that veterans diagnosed on or after that date with diffuse mesothelioma as a result of their service would have the option of receiving a lump sum of £140,000, I also committed to looking at whether it could be extended to veterans diagnosed before that date. We have kept our word and I am delighted to confirm that the option of a lump sum payment will be extended to veterans in receipt of a war pension for mesothelioma diagnosed before 16 December 2015.
ParlaMint-GB_2016-02-29-commons.u75	That is thoroughly good news. Following the campaigns of many in this House, including my hon. Friend the Member for Northampton South (David Mackintosh) and my friend the hon. Member for Wythenshawe and Sale East (Mike Kane), this announcement will be very, very welcome. How will people affected be able to claim the money?
ParlaMint-GB_2016-02-29-commons.u76	I am grateful for my hon. Friend’s kind comments. I have instructed the Veterans Agency to contact all those we know of with immediate effect. I hope the payments will be made on or shortly after 11 April.[Official Report, 2 March 2016, Vol. 606, c. 6MC.]
ParlaMint-GB_2016-02-29-commons.u77	Will the Minister join me in paying tribute to Members, such as the hon. Member for Daventry (Chris Heaton-Harris) and others, who have campaigned on this issue? I welcome the direction of travel. Will he also pay tribute to Rhod Palmer, a third generation Royal Navy sailor who has just recently been diagnosed and stands to benefit, who thought of the wider issue that more research needs to be done into this devastating disease?
ParlaMint-GB_2016-02-29-commons.u78	I recognise the actions of Members on both sides of the House who have campaigned to ensure that change comes forward. I am delighted to be able to stand here today to make this announcement. It is absolutely the right thing to do.
ParlaMint-GB_2016-02-29-commons.u79	I have recently been contacted by my constituent, George, whose father sadly passed away from this rare cancer. He is concerned that research is not being properly funded. Does the Ministry of Defence currently fund such research and will the Minister commit to looking at funding levels for mesothelioma research?
ParlaMint-GB_2016-02-29-commons.u80	It is, rightly, a matter for the Department of Health, but I am more than happy to take it up with my colleagues in the Department to see what can be done.
ParlaMint-GB_2016-02-29-commons.u81	I am delighted to welcome today’s announcement to the House, but I would just like to add a little word of caution. We must make sure that when people are given the option—specifically, widows who may survive by many years servicemen who die from this deadly disease—there are no unintended consequences. We must make sure that if widows choose the option of a lump sum, it will not have the impact of their losing benefits over the years.
ParlaMint-GB_2016-02-29-commons.u82	I pay tribute to the hon. Gentleman, who has been one of the campaigners ensuring that this change has come forward. He is absolutely right to make that point. I emphasise to the House that this is very much an option and I will ensure that when recipients are notified they are fully informed about what the options actually mean.
ParlaMint-GB_2016-02-29-commons.u83	8. When he expects work to deal with radiation contamination at Dalgety Bay to be completed.
ParlaMint-GB_2016-02-29-commons.u84	The Ministry of Defence has been actively undertaking site monitoring and removal since 2011. We are keen to move to the next stage of investigation when the other three parties involved agree to site access. Discussions around that have already taken place and it is anticipated that an agreement will be signed shortly. We will continue to work closely with all parties to ensure that the matter is resolved as quickly as possible.
ParlaMint-GB_2016-02-29-commons.u85	After 26 years, this non-action is just not good enough. In recent weeks, Defence Infrastructure Organisation officials have cancelled meetings with landowners to discuss access arrangements, have failed to turn up to meetings with local elected officials, and are treating the local community with contempt. When I meet the Minister on Wednesday, I hope I can get a detailed timeline for when action will be taken.
ParlaMint-GB_2016-02-29-commons.u86	I do not entirely accept what the hon. Gentleman says. My understanding is that we have been making positive progress, and that action has been taken through monitoring and removal on the beach since 2011. I am absolutely clear what the MOD’s responsibilities are in this matter. I look forward to meeting the hon. Gentleman later this week. I hope we can have a constructive approach to moving this issue forward.
ParlaMint-GB_2016-02-29-commons.u87	9. Where he expects the Type 31 general purpose frigate to be built.
ParlaMint-GB_2016-02-29-commons.u88	The new light general purpose frigate will be crucial to the longer-term future of the UK’s warship-building industry and will form a central part of the national shipbuilding strategy, which is due to be published later this year. No decision is expected to be made on the build location until the programme has further matured.
ParlaMint-GB_2016-02-29-commons.u89	Given the expectations raised by the Government following the strategic defence and security review, that answer is most unwelcome. Does the Minister not agree with me—I may be biased as a Glasgow MP—that, given that the finest ships anywhere in the world were built on the Clyde, it would be the perfect location for this building to take place?
ParlaMint-GB_2016-02-29-commons.u90	To date, £3.5 billion has been spent on the aircraft carrier programme in Scotland. In 2014, we placed a £348 million contract for three offshore patrol vessels, helping to sustain 800 Scottish jobs, and helping, too, to secure the skills for the eight Type 26 global combat ships planned to be constructed on the Clyde. The general purpose frigates may also be built on the Clyde, but it is too early to commit to a decision.
ParlaMint-GB_2016-02-29-commons.u91	In making decisions on the general purpose frigate, will the Minister keep in mind the need to avoid the difficulties that the Type 45s have had in their electrical and mechanical propulsion systems?
ParlaMint-GB_2016-02-29-commons.u92	Yes; they are fine ships, but mistakes were made under the last Government.
ParlaMint-GB_2016-02-29-commons.u93	We have already heard today how the patrol vessels have been made with Swedish steel, and the Ministry has admitted to me that the Tide class tankers are being made in Korea with Korean steel but cannot tell me where the steel will come from for the Type 26, so what assurances will we have that British steel will be used in the manufacture of the Type 31?
ParlaMint-GB_2016-02-29-commons.u94	My hon. Friend the Minister for Defence Procurement has already given a comprehensive answer on the use of steel. There will be an opportunity to bid, as has always been the case, but we clearly cannot commit in advance. We do not even know for certain that British companies will bid. We cannot commit at this stage.
ParlaMint-GB_2016-02-29-commons.u95	12. What plans he has to change the number of Ministry of Defence police officers.
ParlaMint-GB_2016-02-29-commons.u96	As part of the Defence efficiencies programme, we are reviewing a series of options that are expected to change the way we police or guard some of our establishments. It is too early to say what the impact will be on the numbers of the MOD police.
ParlaMint-GB_2016-02-29-commons.u97	What legal advice has the Minister sought or received in relation potentially to removing armed MOD police from civilian establishments and replacing them with armed forces personnel?
ParlaMint-GB_2016-02-29-commons.u98	We are looking at a number of options on how to make the best use of our MOD police and to move them away from simply static guarding towards taking a more proactive role in the communities and our service communities. A number of discussions have taken place, but these options are yet to be fully explored. I shall come back to the House in due course.
ParlaMint-GB_2016-02-29-commons.u99	Ah, get in there—I call Michael Fabricant.
ParlaMint-GB_2016-02-29-commons.u100	Thank you, Mr Speaker. I shall indeed try to get in there While I do not wish to detract in any way from the wonderful work done by MOD police, will the Minister take this opportunity to praise the work of the Royal Marines who police our nuclear facilities in Scotland?
ParlaMint-GB_2016-02-29-commons.u101	I am of course delighted to join my hon. Friend in praising the work of the Royal Marines up in Scotland. I have seen their work first hand in recent years.
ParlaMint-GB_2016-02-29-commons.u102	13. What support his Department provides to members of the armed forces who are subject to legal claims relating to their service.
ParlaMint-GB_2016-02-29-commons.u103	Where there are allegations of serious wrongdoing, they need to be investigated, but we are very aware of the stress this places on our service personnel and we must honour our duty of care to them. This will involve funding independent legal advice and pastoral support. We are also aware, however, that a great many allegations are being made on grounds of malice or by some law firms for profit. We will shortly bring forward measures to close down this shameless and shoddy racket.
ParlaMint-GB_2016-02-29-commons.u104	The allegations that British soldiers murdered innocent Iraqis were found by the al-Sweady inquiry to be wholly false. Does my hon. Friend therefore agree that we should do all we can to reclaim costs from law firms that shamefully promoted these allegations and that anyone who received financial backing from them would be well advised either to return it or to make a donation to Help for Heroes
ParlaMint-GB_2016-02-29-commons.u105	I thank my hon. Friend for raising that important point. The defence in the case that he mentioned cost the British taxpayer £31 million, and the law firm involved, Leigh Day, has been referred to the Solicitors Disciplinary Tribunal. We are looking at ways in which we can recoup costs, in that case and in others. Those who have their own associations with Leigh Day will need to make their own judgments.
ParlaMint-GB_2016-02-29-commons.u106	May I ask the Minister to speak more clearly, over the heads of the current brave soldiers and other servicemen, to those who might wish to join the Army, the Air Force or the Navy? It is very worrying for young people to think that, in serving their country, they might end up being accused of dreadful crimes.
ParlaMint-GB_2016-02-29-commons.u107	I thank the hon. Gentleman for giving me an opportunity to send that clear message about a matter that obviously causes huge stress to individual service personnel. It corrupts their operations, and it undermines human rights by undermining international humanitarian law. I fully understand why someone who wanted to join the armed forces would be concerned about all three of those issues, and we shall be introducing a number of measures to address them.
