ParlaMint-GB_2016-01-20-commons.u1	1. What recent discussions she has had with the Northern Ireland Executive on economic development.
ParlaMint-GB_2016-01-20-commons.u12	I join the Minister in welcoming that news, and I certainly pay tribute to colleagues on the Northern Ireland Executive for their excellent work on the economy and the new First Minister’s commitment to making economic growth her first priority At the last Northern Ireland questions, the Secretary of State undertook to speak to the Chancellor about linking Northern Ireland to the northern powerhouse. This is a very important initiative, and I would welcome any news of progress on that front. Will the Minister update the House?
ParlaMint-GB_2016-01-20-commons.u13	My right hon. Friend the Secretary of State has spoken to the Chancellor, who I think is considering the matter as we speak. I fully support the initiative. As a Lancashire MP, I certainly know the importance of our links with the west, including the Isle of Man and Belfast, via the ferry at Heysham, for example. I think we can both work to our mutual advantage on the northern powerhouse.
ParlaMint-GB_2016-01-20-commons.u14	Further to the question from the hon. Member for South Down (Ms Ritchie) about EU membership, would the Minister care to comment on a study by an Irish think-tank last year that said: “Estimates…suggest that a Brexit could reduce bilateral trade flows between Ireland and the UK by 20 per cent.” and that “the expected impact of Brexit is likely to be more significant for Northern Irish exporters to Ireland”?
ParlaMint-GB_2016-01-20-commons.u15	The hon. Lady asks if I would like to comment. The answer is no.
ParlaMint-GB_2016-01-20-commons.u16	The Minister will know that there is very real concern in Northern Ireland about the impact of withdrawal from the EU on trade, investment and funding for various projects, as other Members have already mentioned. An Economic and Social Research Institute report at the end of 2015 said that a Brexit would have “very serious consequences” for the Northern Ireland economy. Has he discussed this matter with the Northern Ireland Executive?
ParlaMint-GB_2016-01-20-commons.u17	Obviously I have regular discussions with Ministers in the Executive and the south of Ireland. Of course, an economic free zone in the EU, which we are part of, is important to our trade, not only for England but in Northern Ireland. The ability of the 34,000 businesses in Northern Ireland to trade without barriers across the border to the south is very important to its economy. That is why the Prime Minister wants Britain to remain in a reformed EU. The first thing we can do is wait to see what those reforms are.
ParlaMint-GB_2016-01-20-commons.u18	Notwithstanding that, the Minister will know there are very serious concerns in Northern Ireland about a possible Brexit, particularly because it is the only part of the UK with a land border with another EU country. Will he reassure the Executive and the people of Northern Ireland on this matter, in view of the mixed messages on Brexit emanating from the ministerial team? In particular, I am talking about his views, as opposed to the Secretary of State’s.
ParlaMint-GB_2016-01-20-commons.u19	There is no mixed message. Both I and my right hon. Friend are keen for the EU to produce some reforms, as is the Prime Minister in his strategy. Perhaps the hon. Gentleman knows—perhaps he has a special hotline—what reforms the EU will agree. When those reforms are presented to the House, we will be able to make a decision. For my part, I believe that in the past membership of the EU has been good for Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u20	2. What steps the Government are taking to deal with the legacy of Northern Ireland’s past.
ParlaMint-GB_2016-01-20-commons.u21	The cross-party talks in 2014 and 2015 have brought us closer than ever to a consensus on the best way to deal with the legacy of Northern Ireland’s past. I will work with the Northern Ireland parties, representatives of victims and survivors and the Irish Government to try to build the support needed to enable legislation to be brought forward to establish the bodies envisaged in the Stormont House agreement.
ParlaMint-GB_2016-01-20-commons.u22	Former Eastbourne MP Ian Gow, who was murdered by the Provisional IRA, was remembered last year at a public speaking competition organised in my constituency to remember and celebrate his life and legacy, his courage and his conviction. What steps is my right hon. Friend taking with schools in Northern Ireland to deal with the legacy of the past and bring about change in community relations?
ParlaMint-GB_2016-01-20-commons.u23	My hon. Friend’s predecessor was a great parliamentarian, and I am sure the whole House will join her in thinking sadly of the atrocity that led to his death. The UK Government strongly support the programmes in Northern Ireland designed to build a shared society, many of which impact on schools and colleges. As a way of addressing the remaining difficulties, it is vital that we do all we can to break down past divisions so that sectarianism becomes entirely a thing of the past in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u24	The Secretary of State will be aware that, sadly, there was no agreement on how to move the legacy issue forward, but money has been set aside, particularly for the proposed historical investigations unit. We have 3,000 unsolved murders in Northern Ireland. Will the Secretary of State at least make some of that extra resource available to the PSNI’s legacy unit to enable it to re-examine some of the pressing cases? People are getting older and they deserve justice.
ParlaMint-GB_2016-01-20-commons.u25	As the right hon. Gentleman points out, the UK Government have committed significant sums to support dealing with the legacy of the past as we have in relation to shared society projects, to which I referred earlier. Our starting point is that the £150 million for bodies to deal with the past is intended for new bodies such as the historical investigations unit or the Independent Commission on Information Retrieval, but we remain open to a dialogue with the Executive on whether it would be possible to use any of those moneys in advance of those new bodies being set up. It is vital that they are set up.
ParlaMint-GB_2016-01-20-commons.u26	Will my right hon. Friend update us on what is happening to Soldier J and other former soldiers who were involved in the events in Londonderry on 30 January 1972, and tell us whether they continue to face prosecution? Let me impress it on my right hon. Friend that this is not simply a matter for the judicial authorities; it is a matter for her, and it is a matter of public policy for it is contrary to the interests of natural justice that men who have served their country should still, 44 years on, be facing possible prosecution.
ParlaMint-GB_2016-01-20-commons.u27	I fully appreciate my hon. Friend’s grave concerns about this case. He will appreciate, however, that matters relating to police investigations and prosecutions are taken independently of Government and independently of politicians. My understanding is that that investigation continues.
ParlaMint-GB_2016-01-20-commons.u28	Referring to the Secretary of State’s earlier answer, I have to say that it is all very well—I do not for a minute doubt her good intentions; nor would any other Member—but when will we actually hear some dates and some details? When will the legislation she mentions be brought to the Floor of the House, particularly in respect of those aspects of fresh start where there is agreement? How long must the victims continue to wait?
ParlaMint-GB_2016-01-20-commons.u29	We hope to bring forward legislation fairly soon on those aspects of the fresh start and Stormont House agreements that have been agreed. The timing is less certain in respect of the legacy bodies because we were not able to build the consensus necessary for legislation. We did, however, close the gap on many issues. A key issue still to resolve is how the veto relating to national security will operate. I am determined to work with all sides to find a way forward. We have to protect our national security interests, but we will do all we can to ensure that that veto is exercised fairly in all circumstances.
ParlaMint-GB_2016-01-20-commons.u30	As well as asking the Secretary of State to recalibrate her fixation on the national security issues, may I also ask her to consider using the current delay at least to allow for qualitative pre-legislative scrutiny of what will be sensitive legislation when it comes forward?
ParlaMint-GB_2016-01-20-commons.u31	It is important to use this period constructively to engage with victims groups in particular. I had very useful discussions with the Victims’ Commissioner and with the Victims and Survivors Forum. We will consider in due course whether publication of documentation is appropriate. It is vital that we press ahead and build consensus to get these bodies set up and running.
ParlaMint-GB_2016-01-20-commons.u32	3. What progress has been made on implementation of the proposed reduction in corporation tax in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u33	The fresh start agreement reaffirmed the Government’s support for devolution of corporation tax powers, so long as the Executive are able to demonstrate that their finances are on a long-term sustainable footing.
ParlaMint-GB_2016-01-20-commons.u34	Does my right hon. Friend agree that when tens of thousands of additional jobs and increased productivity and economic output over the medium and long term are at stake, we must not squander that opportunity?
ParlaMint-GB_2016-01-20-commons.u35	I fully agree that the devolution of corporation tax to Northern Ireland provides huge opportunities to attract new business and inward investment and to boost the economy. My hon. Friend is right, however, that it needs to be accompanied by broader economic reform, such as a focus on skills, universities and infrastructure.
ParlaMint-GB_2016-01-20-commons.u36	While the devolution of corporation tax will be important in growing the Northern Ireland economy, does the Secretary of State agree that a vote to leave the EU would help the Northern Ireland economy insofar as it would release £18 billion every year for expenditure on public services, enable us to enter a trade agreement with growing parts of the world and release us from the stifling bureaucracies of Europe?
ParlaMint-GB_2016-01-20-commons.u37	I am afraid that the hon. Gentleman is tempting me to engage in arguments which will rightly be a matter for everyone in the country when they have an opportunity to vote in the referendum. We promised a referendum in our manifesto, and that is what we are going to deliver.
ParlaMint-GB_2016-01-20-commons.u38	Does the Secretary of State agree that existing cuts in university funding, followed by further cuts, and a consequent significant reduction in the number of graduates who are suitably qualified to become employees of the inward investment companies that we are trying to attract, will frustrate much of the benefit that is expected from the reduction in corporation tax?
ParlaMint-GB_2016-01-20-commons.u39	There is no doubt that the Northern Ireland Executive face difficult decisions, as do all Governments at a time when budgets are constrained. I believe it is important to focus on crucial economic areas such as skills, university and infrastructure. Perhaps there is a debate to be had about the way in which higher education is funded in Northern Ireland, but that, of course, is a devolved matter for devolved representatives.
ParlaMint-GB_2016-01-20-commons.u40	4. What steps the Government are taking to reduce cross-border crime in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u41	5. What steps the Government are taking to reduce cross-border crime in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u42	Along with the Irish Government and the Northern Ireland Executive, the United Kingdom Government recently announced the creation of a joint agency taskforce to tackle cross-jurisdictional organised crime. It will enhance law enforcement co-operation in relation to, for instance, crime linked to paramilitaries.
ParlaMint-GB_2016-01-20-commons.u43	I welcome my right hon. Friend’s announcement about the taskforce, but will she confirm that the fresh start agreement provides for additional funds from the United Kingdom Government to help to tackle continuing paramilitary activity?
ParlaMint-GB_2016-01-20-commons.u44	It does. The fresh start agreement allocates £25 million for tackling paramilitary-related crime and £3 million for a new monitoring body, but it provides substantial additional funds for more widely based shared society initiatives, which are also crucial to ending the influence of paramilitary groups in Northern Ireland once and for all.
ParlaMint-GB_2016-01-20-commons.u45	We all know that, unfortunately, many organised crime groups on the island take advantage of the land border and commit the classic cross-border crimes of smuggling and excise evasion. The proceeds of those activities often go towards funding dissident groups. What efforts are my right hon. Friend and her ministerial team making to introduce preventive measures to eradicate such activities?
ParlaMint-GB_2016-01-20-commons.u46	In Northern Ireland, huge efforts are being made by the PSNI to prevent the border from being exploited by criminals, and those efforts will be enhanced by the new joint agency taskforce, building on the excellent work already done by the police services both north and south of the border in recent years.
ParlaMint-GB_2016-01-20-commons.u47	How concerned is the Secretary of State about the lack of convictions for fuel smuggling and, in particular, fuel laundering in Northern Ireland and the border regions?
ParlaMint-GB_2016-01-20-commons.u48	Obviously, everyone would like to see more convictions. A crucial aspect of the fresh start agreement is the Executive’s commitment to measures that will reduce the time that it takes to bring people to trial, because convictions are more likely to be secured if trials take place in a timely manner. I am sure the Executive will take the implementation of that crucial part of the agreement very seriously.
ParlaMint-GB_2016-01-20-commons.u49	Order. This is a very serious discussion of cross-border crime in Northern Ireland. We must hear Lady Hermon.
ParlaMint-GB_2016-01-20-commons.u50	Thank you very much, Mr Speaker The Secretary of State will know that the Treasury has already announced the closure of a number of HMRC offices throughout Northern Ireland. Given that HMRC does a very valiant job in tackling cross-border crime, what guarantees can the Secretary of State give the people of Northern Ireland that those efforts will not be reduced if the offices are closed?
ParlaMint-GB_2016-01-20-commons.u51	I am entirely confident that the changes relating to HMRC offices will not affect HMRC’s ability to tackle cross-border crime. Indeed, we will see an enhanced effort, not least because, as was pointed out by my hon. Friend the Member for North Dorset (Simon Hoare), the proceeds of that kind of crime can end up in the hands of terrorists.
ParlaMint-GB_2016-01-20-commons.u52	6. What discussions she has had with the Chancellor of the Exchequer on the potential effect of a reduction in rate of VAT on the tourism and hospitality sector in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u53	The Secretary of State and I have regular discussions with Treasury Ministers, including the Chancellor. The Government have concluded that a VAT cut for the tourism and hospitality sectors could not produce sufficient economic growth to outweigh the revenue shortfall. It would need to be funded either by additional borrowing or by the raising of other taxes, both of which are likely to have a negative effect on the economy.
ParlaMint-GB_2016-01-20-commons.u54	The case was successfully made for corporation tax, and rightly so, to attract investment into Northern Ireland. Surely a case could be made, for tourism and hospitality in Northern Ireland, to reduce VAT, especially in respect of the golf clubs, where there is an anomaly across the board?
ParlaMint-GB_2016-01-20-commons.u55	I do not think there are many Members who would not like to see a reduction of the tax burden. Because of our long-term economic plan and the lifting of burdens on businesses elsewhere—the small business rate relief that is also available in Northern Ireland, the corporation tax cut, the freezing of national insurance contributions and employer contributions—we hope that, at least for tourism businesses and the hospitality sector, the cost of employing people and the other burdens can be lifted. That would help businesses to make their prices more competitive to encourage more people to take up the great offering of tourism in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u56	I would also—[Interruption.]. I would also like to ask about VAT. Will he perhaps look at the thresholds—[Interruption.]
ParlaMint-GB_2016-01-20-commons.u57	Order. I wanted to hear Mr Foster’s thoughts on VAT on tourism and hospitality, and it is very difficult to hear them. I hope the Minister heard; if not, blurt it out again man.
ParlaMint-GB_2016-01-20-commons.u58	We will try again, Mr Speaker; thank you. I have heard what the Minister said about the rate of VAT. Does he agree that it might be worth having discussions about the thresholds, which may help smaller businesses in the hospitality and tourism sector in Northern Ireland and across the rest of the UK?
ParlaMint-GB_2016-01-20-commons.u59	My hon. Friend makes a good point. I will write to the Chancellor and make his points clear to him.
ParlaMint-GB_2016-01-20-commons.u60	7. What recent discussions she has had with the Northern Ireland Executive on the adequacy of women’s access to sexual health and family planning services.
ParlaMint-GB_2016-01-20-commons.u61	Northern Ireland Office Ministers have had no discussions with the Northern Ireland Executive on the adequacy of women’s access to sexual health and family planning services. However, Department of Health officials discuss sexual health matters with their counterparts in the Northern Ireland Departments as appropriate. Sexual health advice and services in Northern Ireland is a devolved matter.
ParlaMint-GB_2016-01-20-commons.u62	The Minister will be aware that women in Northern Ireland can, and do, travel to England for abortions on the NHS. However, they cannot access NHS abortions; they have to pay to go privately. Does he agree that this is an inequality issue between women in Northern Ireland and women who live in, say, England?
ParlaMint-GB_2016-01-20-commons.u63	The hon. Lady points out an interesting anomaly, and in advance of today I have asked my officials to provide clarity. I do know that there is a court case pending—or before the courts—in Northern Ireland on that very issue. It is important that we get to the bottom of the differences between living in one part of the UK and another and what NHS services are available.
ParlaMint-GB_2016-01-20-commons.u64	In the 11 years since 2004 Northern Ireland has seen a 47% increase in new cases of HIV while on the mainland it has fallen by 20%. The same situation applies to other sexually transmitted diseases. What discussions has the Minister had—or what discussions will he have—with Health Ministers here on the mainland and in Northern Ireland to ensure that there is an overall regional strategy to address this?
ParlaMint-GB_2016-01-20-commons.u65	I am very happy to have discussions with UK Ministers on that subject and certainly will write to my counterpart in the Executive to make sure that both we and the Executive are doing our fair share to make sure that we prevent the spread of sexually transmitted diseases.
ParlaMint-GB_2016-01-20-commons.u66	8. What recent discussions she has had with the Northern Ireland Executive on increasing exports.
ParlaMint-GB_2016-01-20-commons.u67	The Government continue to work with the Executive towards rebalancing the Northern Ireland economy, including through collaboration on increasing exports and trade co-operation. Northern Ireland exports were valued at £1.62 billion in the third quarter of 2015, the highest quarterly value since 2008.
ParlaMint-GB_2016-01-20-commons.u68	I thank the Secretary of State for her answer. Can she confirm that the Government will continue supporting stronger trade links between Hampshire and Northern Ireland, particularly given both regions’ strong manufacturing and maritime traditions?
ParlaMint-GB_2016-01-20-commons.u69	We will certainly do that. Our long-term economic plan is working to boost trade within and outside the UK, as illustrated by the fact that the claimant count is down again in Northern Ireland in figures announced today. In total, since February 2013 there has been a fall of 40.2% in the claimant count in Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u70	This morning the Enterprise, Trade and Investment Minister in Northern Ireland announced over 50 jobs in my constituency, which is a start in an area of high unemployment. Will the Secretary of State use her influence in the Cabinet to ensure that, when there are overseas development and trade visits, Northern Ireland companies are included, to bring inward investment to Northern Ireland?
ParlaMint-GB_2016-01-20-commons.u71	I can certainly do that. It is vital that UK Trade & Investment, in its work overseas to bring investment to the UK, champions the benefits of investing in Northern Ireland. It is a great place in which to invest, it has a tremendous record on inward investment and the UK Government are determined to see that continue.
ParlaMint-GB_2016-01-20-commons.u72	10. How the Government plan to commemorate in Northern Ireland the centenary of the battle of the Somme.
ParlaMint-GB_2016-01-20-commons.u73	The Government’s events to mark the centenary of the battle of the Somme will be held in Thiepval, France and in Manchester on 1 July 2016. Other regional events, including in Northern Ireland, are a matter for the local authorities and local communities. [Interruption.]
ParlaMint-GB_2016-01-20-commons.u74	Order. We are discussing an important centenary of the battle of the Somme. The question from the hon. Lady must be heard and so must the answer.
ParlaMint-GB_2016-01-20-commons.u75	Thank you, Mr Speaker. In 1916, men from the 36th (Ulster) Division and the 16th (Irish) Division displayed great courage at the Somme, despite suffering huge casualties, with almost 2,000 men killed in the first hours of 1 July. Does the Secretary of State have any plans to liaise with the Government of the Republic of Ireland to commemorate the sacrifice made by those from both sides of the border?
ParlaMint-GB_2016-01-20-commons.u76	My right hon. Friend the Prime Minister is committed, along with the Taoiseach, to commemorating our past with mutual respect and understanding. The Secretary of State and I are working with Ministers in the Irish Government to mark the events of this decade. I have discussed these issues with a number of officials, and I regularly meet the culture Minister, Heather Humphreys; we often attend events together, as representatives of both Governments, in remembrance of those people who died. I know that my right hon. Friend the Prime Minister has visited the Somme to remember what happened there, and it is important to note that both the south and the north had a shared experience and a shared history in the first world war, with both suffering while fighting for the cause of defeating the Kaiser.
ParlaMint-GB_2016-01-20-commons.u77	The Minister has treated the matter very comprehensively, and we are most grateful to him.
ParlaMint-GB_2016-01-20-commons.u78	I am grateful to the Minister for his response. As we reflect on the Somme and move towards the centenary of the conclusion of the first world war, will the Secretary of State or the Minister engage across government with the Prime Minister to think of a suitable national memorial restoration fund to allow us fittingly to bring our cenotaphs and memorials across this country up to standard for the centenary?
ParlaMint-GB_2016-01-20-commons.u79	The hon. Gentleman makes a good point and collectively the whole of the Government have heard his suggestion. It is important to remember the end as well as the beginning of the tragedy that was the first world war.
ParlaMint-GB_2016-01-20-commons.u80	Q1. If he will list his official engagements for Wednesday 20 January.
ParlaMint-GB_2016-01-20-commons.u81	This morning, I had meetings with ministerial colleagues and others, and in addition to my duties in this House I shall have further such meetings later today.
ParlaMint-GB_2016-01-20-commons.u82	If you have worked hard for a company and helped it succeed, surely you should be allowed to benefit a little from the profits that the company makes. Does the Prime Minister therefore think it is now time for companies such as Sports Direct to follow the example of the best British businesses and allow people to benefit from a small percentage of the profits?
ParlaMint-GB_2016-01-20-commons.u83	We have encouraged companies to have profit-sharing arrangements, and we took action in previous Budgets to do that. But we are going further than that, of course, by making sure that there is, for the first time in our country, a national living wage, which will come in in April of this year. That means the lowest-paid people in our country—people on the minimum wage—will have a 7.5% pay rise coming this April, under a Conservative Government.
ParlaMint-GB_2016-01-20-commons.u84	Q3. With mounting global economic uncertainty, it was comforting to see this morning’s figures showing record UK employment. In this new age of kinder, consensual politics, does my right hon. Friend agree that every Member of this House should welcome the news that from North Yorkshire to north London, Britain is back in work?
ParlaMint-GB_2016-01-20-commons.u85	My hon. Friend is absolutely right; over the past year, we have seen more people in work in every region in our country, and that is welcome. This morning’s unemployment figures, which the House might not have had time to see, are very welcome. The unemployment rate is now the lowest in nearly a decade, at 5.1%; the unemployment rate is now lower than it was at the start of the recession; the latest figures show unemployment falling by another 99,000; and we have today in our country the record number of people in work ever in our history and a record number of women in work. Since I became Prime Minister we have 2.3 million more people in work, and I am sure that is something the whole House can welcome.
ParlaMint-GB_2016-01-20-commons.u86	I call Mr Corbyn. [Interruption.]
ParlaMint-GB_2016-01-20-commons.u87	It is nice to get such a warm welcome. [Interruption.] If Members will allow me for one moment, let me ask the Prime Minister this question. Where in his election manifesto did he put his plan to abolish maintenance grants for all students?
ParlaMint-GB_2016-01-20-commons.u88	First of all, people will recognise that there is no welcome for the thousands of people who have found work in our country. What a depressing spectacle. In our manifesto, we said that we would cut the deficit and uncap student numbers, and we have done both.
ParlaMint-GB_2016-01-20-commons.u89	There is not such joy in Port Talbot and other places that have lost steel jobs. They want a Government who are prepared to support their industries. The Prime Minister has form when it comes to student maintenance grants because, in the Conservative manifesto, there was no mention—[Interruption.] Are you done?
ParlaMint-GB_2016-01-20-commons.u90	I gently say to the Prime Minister’s dedicated Parliamentary Private Secretary, the right hon. Member for South Staffordshire (Gavin Williamson)—[Interruption.] Calm yourself, man. Auditioning to be a statesman does not include chuntering from a sedentary position.
ParlaMint-GB_2016-01-20-commons.u91	As I was saying, the Prime Minister has form here, because there was no mention of tax credit cuts in the manifesto either. This proposal will affect half a million students, which is not mentioned anywhere in his manifesto. I have a question from a student by the name of Liam, who says: “I’m training to be a mathematics teacher, and will now come out at the end of my course to debts in excess of £50,000, which is roughly twice as much as what my annual income would be” Why is Liam being put into such debt?
ParlaMint-GB_2016-01-20-commons.u92	What I say to Liam is that he is now in a country with a university system that has more people going to university than ever before, and more people from low income backgrounds going to university than ever before. In addition, I say to Liam—and I wish him well—that he will not pay back a penny of his loan until he is earning £21,000. He will not start paying back in full until he is earning £35,000. Our policy will put more money in the hands of students such as him, which is why we are implementing it. By contrast, the Labour policy, which is to scrap the loans and the fees, would cost £10 billion and mean going back to a situation where people went out and worked hard and paid their taxes for an elite to go to university. We are uncapping aspiration; the Leader of the Opposition wants to put a cap on it.
ParlaMint-GB_2016-01-20-commons.u93	I am pleased to say that Liam is trying to be a maths teacher, and that might help the Prime Minister as Liam did say that he was earning £25,000, which is more than £21,000—if that is a help. In 2010, the Prime Minister’s Government trebled tuition fees to £9,000, and defended it by saying that they would increase maintenance grants for students from less well-off backgrounds. They are now scrapping those very same grants that they used to boast about increasing. Where is the sense in doing that? Why are they abolishing those maintenance grants?
ParlaMint-GB_2016-01-20-commons.u94	The sense in doing that is that we want to uncap university places, so that as many young people in our country who want to go to university can go to university. That is what we are doing. Before we have too much shouting from the Opposition, let me say that when they were in government, they introduced the fees and loans system. Given that this is the week that we are meant to be learning the lessons of the past election, let me read a lesson from somebody whom I rather miss. In the Times Higher Education, Mr Ed Balls wrote that “we clearly didn’t find a sustainable way forward for the financing of higher education… If they”— the electorate— “think you’ve got the answers for the future, they’ll support you.” In all honesty I say to the Labour party that, when it was in government, it supported fees and loans. When we were in opposition, we made the mistake that they did. If we want to be on the side of aspiration and of more university students, and if we want to help people make the most of their lives, the system that we have is working and the numbers prove it.
ParlaMint-GB_2016-01-20-commons.u95	That is from the very same Prime Minister who is taking away the grants that are designed to help the poorest in our society to access higher education. I want to ask him about one particular group who are now being targeted by this Government: student nurses. They were not mentioned in the Government’s manifesto. The repayments that student nurses will now have to make when qualified amount to an effective pay cut of £900 for each nurse. Why is he punishing those nurses when we need them in our NHS?
ParlaMint-GB_2016-01-20-commons.u96	First of all, there are now 6,700 more nurses than there were when I became Prime Minister. I know that the Labour party does not want to face up to difficult decisions, but let me just give the right hon. Gentleman one statistic. Two out of three people today who want to become a nurse cannot do so because of the bursary system. By introducing the loans, nurses will get more money and we will train more nurses and bring in fewer from overseas. It is good for nurses, good for the NHS and good for our country, and it is only a Labour party that is so short-sighted and anti-aspiration that cannot see it.
ParlaMint-GB_2016-01-20-commons.u97	The Prime Minister and I would probably agree that we need to spend more and direct more resources towards dealing with the mental health crisis in this country. I have a question from somebody who wants to help us get through that crisis by becoming a mental health nurse. Vicky from York has a very real problem. She says: “I would not have been able, or chosen, to study to be a mental health nurse without the bursary for the following reasons… I am a single mum and need support for childcare costs. I have debts from a previous degree. I am a mature student at 33. I would not take on further debts which would be impossible to pay back, and would not be fair on my daughter” She is somebody we need as a mental health nurse in our NHS. We are losing her skills, her dedication and her aspiration to help the entire community.
ParlaMint-GB_2016-01-20-commons.u98	But two out of three Vickys who turn up wanting to be nurses are sent away by our current system, which means we are bringing in people from Bulgaria, Romania and the other side of the world to do nursing jobs for which we should be training British people. The British people want to train as nurses, the NHS wants more nurses, and this Government will fund those nurses, so let us help them train and improve our health service.
ParlaMint-GB_2016-01-20-commons.u99	The problem is that the Prime Minister is expecting Vicky and others like her to fund themselves by paying back a debt or paying back from their wages in the future. I do not think that she will have been very reassured by his answers today; they will have been unconvincing to her. He was not very good at convincing the hon. Member for Lewes (Maria Caulfield), a nurse herself, who said: “I would struggle to undertake my nurse training given the proposed changes to the bursary scheme.”—[Official Report, 5 January 2016; Vol. 604, c. 15.] The Prime Minister will be aware that nine out of 10 hospitals currently have a shortage of nurses. Is not what he is proposing for the nurse bursary scheme going to exacerbate the crisis, make it worse for everybody and make our NHS less effective? What is his answer to that point?
ParlaMint-GB_2016-01-20-commons.u100	I will give the right hon. Gentleman a very direct answer: we are going to see 10,000 extra nurse degree places as a result of this policy, because we are effectively uncapping the number of people who can go into nursing. I have to say that this week has all been of a piece, with a retreat by the Labour party into the past. We have seen it with the idea of bringing back secondary picketing and flying pickets, with the idea of stopping businesses paying dividends, and with the absurd idea that nuclear submarines should go to sea without their missiles. Anyone watching this Labour party—and it is not just the leader, but the whole party now—will see that it is a risk to our national security, a risk to our economic security, a risk to our health service and a risk to the security of every family in our country.
ParlaMint-GB_2016-01-20-commons.u101	Q5. Leicestershire and the east midlands continue to be a powerhouse of jobs and growth, attracting investment from the UK and beyond, and we are rightly proud of the success of our local businesses in Charnwood. Does my right hon. Friend believe that their continued ability to attract external and foreign investment would be helped or hindered were secondary picketing to be reintroduced?
ParlaMint-GB_2016-01-20-commons.u102	First of all, let me say that the east midlands is a powerhouse of our economy, and in the last year we have seen employment in the east midlands go up by 17,000. I think that when businesses look at whether to invest in Britain, whether they are overseas businesses or indeed British businesses, they want to know that we are going to have good labour relations and not a return to the 1970s of secondary strikes and flying pickets. It is extraordinary that a party that spent so long trying to cast off the image of being in favour of these appalling industrial practices has now elected a leader and is backing a leader who would take us right back to the 1970s.
