ParlaMint-GB_2016-01-29-lords.u1	That the order of commitment be discharged
ParlaMint-GB_2016-01-29-lords.u23	My Lords, I wish to repeat a Statement given as an Answer to an Urgent Question in another place by my honourable friend Shailesh Vara. The Statement is as follows “As the Secretary of State announced yesterday, the Ministry of Justice has had to play its part in reducing the budget deficit. Economies have had to be made in every area of expenditure. In the last Parliament, spending on legal aid was reduced from £2.4 billion to £1.6 billion. Further changes to the legal aid system were due to be implemented in this Parliament, with a second reduction to litigation fees in July 2015 At the time the fee reduction was proposed, the market was made up of around 1,600 legal aid firms. After careful negotiation, the then Justice Secretary decided to adopt a system of ‘dual contracting’ to drive greater efficiency and consolidation within the market. But over time, opposition to this model has increased. Solicitors’ firms feared that it would lead to a less competitive market; barristers that choice and quality would diminish. In addition, a process of natural consolidation was already taking place in the market Although we recognised these arguments, we also needed to deliver reductions in expenditure. Since July 2015, however, two significant developments have occurred. HM Treasury has given us a settlement which allows greater flexibility in the allocation of funds for legal aid, and it has become clear that there are real problems in pressing ahead. We currently face 99 legal challenges and a judicial review of the entire process. Litigation will be time-consuming and costly for all We have therefore decided not to go ahead with the introduction of the dual contracting. We have also decided to suspend the second fee cut for a period of 12 months. The Legal Aid Agency will extend current contracts to ensure continuing service until replacement contracts come into force. We will review progress on joint work with the profession to improve efficiency and quality, before returning to any decisions on the second fee reduction and market consolidation”.
ParlaMint-GB_2016-01-29-lords.u24	My Lords, I start by thanking the Minister for repeating the Answer given in another place. I hope the Minister will acknowledge that, although the announcement made by the Lord Chancellor yesterday is of course welcome to criminal law practitioners and others, it represents something of a disaster for his department. It was not only Her Majesty’s Opposition who opposed the two-tier contracting scheme when it was first mooted, way back in 2013 by the coalition Government, but practitioners, experts and many others. We all pointed out that it could not work, that it would mean the closure of too many solicitors’ firms and that it would result, seriously, in legal deserts where those facing criminal charges would not always be able to find advice and representation. That is why we welcome the U-turn However, now the scheme has been abandoned, it leaves behind it enormous costs for the Government, for many solicitors’ firms—whether successful or unsuccessful in their tenders—and, of course, for those involved in the litigation. Just think of all those wasted hours worked by civil servants, solicitors’ firms and others—and all for what? What do Her Majesty’s Government intend should happen next? Sometimes in government it is right to say sorry. Does the Minister agree that this is one of those times?
ParlaMint-GB_2016-01-29-lords.u25	A Government should always say sorry when they make a mistake. This is a response to a difficult situation which confronted the Government. As I indicated, contractions were taking place within the market. There has also, fortunately, been a drop in the crime rate generally, and the need for consolidation was overtly acknowledged by the Law Society. So these changes were not, as was suggested by the noble Lord, going wholly against the grain, true though it was that many objected to those changes It is easy to say that this was a disaster for the department, but the noble Lord is not himself unfamiliar with changes in policy. In 2009, as he may well remember, the Labour Government altered their approach to criminal legal aid. Governments of all colours will, from time to time, in reviewing these difficult situations and in trying to balance the need for access to justice and the need to control public expenditure, adjust their plans What we have done has been welcomed by the profession. We have considerable regard and respect for the profession, particularly those criminal legal aid solicitors who go to the police station at highly inconvenient hours and provide valuable assistance to their clients. The profession has welcomed the abandonment of dual contracting, the suspension of the second fee cut and the Government’s intention to work with the professions, as we have indicated, to try to ensure that changes that will have to be made in due course are made with maximum co-operation from both solicitors and barristers Although we have not yet calculated the overall cost, this will certainly have been expensive, which is of course a matter of regret. However, if it results in stabilisation of the legal profession and continued maintenance of high standards, then that is not a matter of regret. We will of course have to accept the characterisation of this as a U-turn. I am not sure that U-turns are always quite the disasters they are depicted as in the newspapers. If a responsible government department thinks again, that may be characterised as a U-turn or it may be considered an appropriate response to changed circumstances.
ParlaMint-GB_2016-01-29-lords.u26	My Lords, whether we regard this as a U-turn, a breath of fresh air from a new Secretary of State or simply a dose of realism in the department, it is welcome. But does the Minister recognise that a number of factors were reducing the number of solicitors doing criminal work in most towns and many rural areas, and that he will still have to address the danger that no one will be available, particularly if there is more than one defendant? While he is looking at that, will he also look at the fact that, since the scope changes, the number of claims on the exceptional cases fund has been surprisingly small, perhaps because people have never consulted a solicitor in the first place? Does that not need looking at as well?
ParlaMint-GB_2016-01-29-lords.u27	The noble Lord is right that whatever the change in policy, it is important that we are satisfied that there are firms of solicitors that can represent people in whatever part of the country they are needed. When the replacement contracts come to be considered, that is clearly one of the factors that will be taken into account. The noble Lord also asked about the scope of legal aid generally and the exceptional funding provisions. They have been the subject of litigation and further clarification. One of the difficulties was that the forms that had to be filled in were perhaps not as clear as they might be. There has been considerable improvement in that regard, and the percentage of cases where exceptional funding has been obtained as a result of an application has increased considerably As a Back-Bencher looking at the LASPO Bill as it went through, I found the provisions on exceptional funding somewhat opaque, referring, as they did, to the Human Rights Act and Article 6. It was not always easy to know quite what the coalition Government were driving at. I think there is increased clarification of that. There has been a decision, although it is subject to appeal, but the noble Lord is right to draw our attention to exceptional funding.
ParlaMint-GB_2016-01-29-lords.u28	Does my noble friend accept that it is extremely refreshing and encouraging when a Secretary of State listens, not least to the voice of this House, and makes an adjustment and a change of policy? None of us should be churlish in welcoming this very real change. Not the least of its advantages is that it has produced a situation where we have a legal profession that is in tune with the Secretary of State and a Secretary of State who is in tune with the legal profession.
ParlaMint-GB_2016-01-29-lords.u29	I am grateful to my noble friend for that intervention. He is right that this House has always held the Ministry of Justice, in particular, to account with the galaxy of legal talent that is available around the Benches. I am certainly aware that any policy change is subject to great and close examination by all those here, not least this particular policy, which I have been asked about a number times in specific debates and in the course of Question and Answers. I reassure my noble friend and the House that the Secretary of State listens to what is said in this House and will continue to do so.
ParlaMint-GB_2016-01-29-lords.u30	The amount of complacency about changes in legal aid is absolutely bewildering. I speak as somebody who, in earlier life, was much involved with criminal legal aid. At the moment, there will be immense difficulties in recruiting young solicitors to do this work. I hold the view that it is desperately unsatisfactory. I hope the Minister will not again get up and say that economies have to made in legal aid. The economies that have already been made are devastating.
ParlaMint-GB_2016-01-29-lords.u31	There is no complacency on the part of this Government. This Government value the contribution that solicitors make to the system as a whole, particularly those who work in criminal legal aid. The noble Lord is quite right: rates are not what they were and, as a profession, it has considerably fewer attractions than it once had. It is important that we continue to encourage able practitioners to go into areas where legal aid is the main source of funding. However, we have to bear in mind the interests of the taxpayer. We have constraints put on us by the Treasury. I particularly pay tribute to those who, despite the difficulties that are encountered, nevertheless pursue careers in this less profitable area of the profession. Our profession is often characterised as being full of ambulance chasers and fat-cat lawyers. These lawyers are very much not in that category.
ParlaMint-GB_2016-01-29-lords.u32	That the Bill be read a second time.
ParlaMint-GB_2016-01-29-lords.u33	My Lords, my Bill is designed to raise this country’s unusually low age of criminal responsibility from 10 to 12. At present in England and Wales, children are deemed to be criminally response from the age of 10. This means that children who are too young to attend secondary school can be prosecuted and receive a criminal record. A 10 year-old who commits a grave crime—which includes serious violent and sexual crimes but can also include burglary—will be tried in the adult Crown Court. A child of 10 or 11 who is accused with an adult will also be tried in the Crown Court At 10 years old, the age of criminal responsibility in England, Wales and Northern Ireland is the lowest in Europe. In Ireland in 2006, the age was raised to 12, with exceptions for homicide, rape or aggravated sexual assault. The Minister will be aware from his experience that in Scotland in 2010 legislation provided that children cannot be prosecuted below the age of 12. Outside the British Isles, the age of criminal responsibility is invariably higher. In France, Greece and Poland it is 13. In Germany, Spain, Italy, Austria, Belgium, Hungary, Bulgaria and Romania it is 14. In the rest of Europe, it ranges between 14 and 18. The United Nations Committee on the Rights of the Child has repeatedly stated that our minimum age of criminal responsibility is not compatible with our obligations under international standards on juvenile justice and the UN Convention on the Rights of the Child. In a statement in 1997, the committee said: “States parties are encouraged to increase their lower minimum age of criminal responsibility to the age of 12 years as the absolute minimum age and to continue to increase it to a higher age level” Taking 10 and 11 year-olds out of the criminal justice system would not mean doing nothing with children who offend. It would mean doing what other countries do with 10 and 11 year-old offenders. It would mean doing what we do with delinquent nine year-olds—in other words, it would mean dealing with the causes of these children’s offending through intervention by children’s services teams. In the minority of cases where court proceedings are necessary, it would mean bringing children before family proceedings courts, which can impose compulsory measures of supervision and care. In the most serious cases, it could mean long-term detention in secure accommodation, but this would be arranged as part of care proceedings rather than as a custodial punishment imposed in criminal proceedings Those who oppose increasing the age of criminal responsibility often argue that children of 10 and 11 are capable of telling right from wrong, as though it automatically follows that they should therefore be dealt with in criminal courts. That does not logically follow at all. Most six year-olds have a sense of right and wrong but no one suggests that they should be subject to criminal prosecution. The point was made very well in 2012 in a report from the Centre for Social Justice, which was set up by the Secretary of State for Work and Pensions, Iain Duncan Smith. In 2012 the centre produced a report on the youth justice system entitled Rules of Engagement: Changing the Heart of Youth Justice. It said: “There is now a significant body of research evidence indicating that early adolescence (under 13-14 years of age) is a period of marked neurodevelopmental immaturity, during which children’s capacity is not equivalent to that of an older adolescent or adult. Such findings cast doubt on the culpability and competency of early adolescents to participate in the criminal process and this raises the question of whether the current”, minimum age of criminal responsibility, “at 10 is appropriate” The evidence from international research is overwhelming, showing that children of 10 and 11 have less ability to think through the consequences of their actions, empathise with other people’s feelings and control impulsive behaviour. This does not mean that children aged 10 or 11 are not responsible for their actions, but that on any reasonable interpretation of the evidence they must be regarded as less responsible than an older adolescent or an adult. It cannot be right to deal with such young children in a criminal process based on ideas of culpability that assume a capacity for mature, adult-like decision-making In all other areas of law, whether it is the age for buying a pet, the age for paid employment, the age of consent to sexual activity or the age of smoking and drinking, children are not regarded as fully competent to take informed decisions until later in adolescence. The age of criminal responsibility is an anomalous exception. Ironically, a 30 year-old who had a mental age of a 10 year-old child would probably be regarded as unfit to plead and yet, by a strange twist of logic, a child of 10 is seen as capable of participating in the criminal justice process. I simply cannot accept that It is sometimes argued that there is no need to raise the age of criminal responsibility because the number of 10 and 11 year-olds who receive a youth justice disposal is small. “Small” is not necessarily the right argument. We are talking about normally fewer than 300 a year who are prosecuted and sentenced in court. Even though this represents a small proportion of those going through the criminal justice system, what happens to up to 300 vulnerable children can hardly be regarded as a matter of little importance. The fact that the numbers involved are relatively small is a strong argument for the Bill; it means that it would not be a huge burden in terms of resources to make alternative provision through welfare interventions and, where necessary, family court proceedings for the children who would otherwise have been charged and prosecuted Nor can it be argued that dealing with these children through non-criminal processes would put the public at risk. On the contrary, dealing with 10 and 11 year-old children through non-criminal procedures would be more effective than using the criminal justice process. The evidence shows that children who are dealt with through the criminal justice process are more likely to reoffend than those who are diverted from the criminal justice system and dealt with in other ways. Children who are officially labelled as offenders often react by trying to live up to the label and acting in increasingly delinquent ways to achieve status in front of their friends. Again I quote the Centre for Social Justice report, which says that, “raising the minimum age of criminal responsibility would achieve important changes. Young children would not be tarred with the stigmatising ‘offender’ label which the evidence shows can exacerbate delinquency and would more likely have their victim status and welfare needs addressed, which the evidence suggests are currently often neglected” This is a particularly important point, as children who go through the criminal justice process at a young age are often young people from chaotic, dysfunctional and traumatic backgrounds involving a combination of poor parenting, physical or sexual abuse, conflict within families, substance abuse or mental health problems. The prospects for diverting the child from offending will be far better if these problems are tackled through welfare interventions than by imposing punishments in a criminal court. A welfare approach would avoid unnecessarily giving children a criminal record, which can make it harder for them to gain employment when they reach working age. As unemployment increases the chances of reoffending, this is another way in which criminalising children can increase rather than reduce the likelihood of future crime Of the 10 and 11 year-olds who are charged and prosecuted each year, very few receive a custodial sentence, and in some years none do. However, although the number of serious child offenders is small, the public will of course want to be assured that raising the age of criminal responsibility will not increase the risk from these young people. Some people who generally support raising the age of criminal responsibility argue that an exception should be made for the most extreme cases, such as homicide or serious sexual offences. I am willing to consider this point in Committee but my inclination at this stage is to resist making exceptions. The most serious child offenders invariably have the most complex welfare needs. Their backgrounds include experiences of serious physical abuse, sexual abuse, emotional abuse and neglect, parental mental illness, rejection and abandonment by adults, traumatic loss, conduct disorder and serious emotional disturbance. They need a welfare-based approach, in secure care if necessary, to help them to face their unresolved trauma, to develop and mature emotionally, to reach an appropriate sense of guilt and to learn to control their emotional and aggressive impulses Noble Lords will recall the trial of the boys who killed James Bulger, who were aged 10 at the time of the killing and 11 when they were tried. Most foreign commentators were amazed that children of that age should be dealt with by a trial in an adult Crown Court. They questioned whether such young children could really understand the complexities of a lengthy criminal prosecution and trial, whether they should have appeared in the full glare of media coverage, whether they understood all the issues and language of the trial, whether they could give sensible instructions to their lawyers and whether their decision not to give evidence was simply because they were frightened of speaking in such a setting Exposing such young children to a criminal trial is no way to achieve justice. Moreover, the case took nine months to come to trial, during which time the defendants received no treatment or therapeutic help in case it prejudiced their pleas. That is a completely unacceptable way to deal with young defendants and one which would be unthinkable anywhere else in Europe. It should be equally unthinkable here. The two boys should have been dealt with in family proceedings and detained in secure accommodation, without all the ill effects which resulted from a public Crown Court trial I commend the Bill to the House. The simple proposition that it contains, if enacted, would be an important step towards dealing with vulnerable, difficult and disturbed children in a way that befitted our civilised society. I beg to move.
ParlaMint-GB_2016-01-29-lords.u34	My Lords, I support the noble Lord in his call for a Second Reading of this important Bill and I wholly endorse and support every word that he has said. I hope particularly that what he said about the pitiable experience of 10, 11 and 12 year-old children going through a criminal court process—he mentioned a court process of nine months—will speak particularly to the Minister’s experience As vice-chair of the all-party group on children and young people in care and leaving care, I know only too well the background of many of these young people. Of course, 45% of children—55% of girls—in the criminal justice system have had an experience of foster care or children’s homes, so in my experience the noble Lord’s assessment is absolutely right. I thank the Government for the efforts they have made to reduce the numbers of children in the criminal justice system over recent years. The Government have reduced it to one-third of what it last stood at, so from 3,000 to about 1,000. That is helpful in this area because it has reduced down to 300 the number of children we are talking about today That need not necessarily continue. Listening to the scientific evidence, many of us might assume that in the course of time, this will come about—we will have the same age of criminal responsibility as civilised countries have. However, this cannot be taken for granted and we need to act urgently on this matter. It takes only one ambitious unscrupulous politician to come along and say, “Look, we must be tough on crime and on the causes of crime”. We saw that in the past— I certainly saw in this House what happened then. We saw the numbers of children being criminalised shoot up and more and more children incarcerated because of a policy which is wholly counterproductive and which all the evidence speaks against. However, there is always that risk that an unscrupulous politician will choose to make political capital out of these young people I am very pleased to see the noble Baroness, Lady Massey of Darwen, in her place and to see that she will speak later. Of course she has for many years chaired the All-Party Group on Children and chaired our children and the police inquiry. I have no doubt that she will refer to our finding and recommendation that the age of criminal responsibility should be raised to at least 12 years of age Many of us will be sending a cheque to the taxman today or this week. I am very happy to pay for state services—I know how important they are. However, I rue sending a single penny that is not spent effectively. To incarcerate 10, 11 and 12 year-olds is an ineffective, wasteful use of public money. I think that the Government will particularly understand that. At a time when we are seeking to pay down the deficit and the Government are making very tough decisions, we cannot afford to indulge in policy which is counterproductive and wasteful for the public purse. No hard-working taxpayer wants to pay money to sustain legislation which is clearly counterproductive, and all the professional evidence points to that I recently had the opportunity to speak to parents who lost their children as victims of violence. Last year, I communicated with a number of parents whose children had, very sadly, taken their own lives, having been incarcerated in police cells. I spoke to one mother whose very troubled daughter had ended up in a police cell over the weekend. She had been very distressed and took her life shortly afterwards. Thanks to the work of those parents, the work of Just for Kids Law, which represented them, and the hard work of the Minister, we managed to change the PACE Act, and now it is not permitted for such children to be incarcerated My sense from talking to those parents was that they were not out to punish the state for what had happened—they were not pursuing it for criminal negligence—but they wanted to see that no other mother experienced the loss of a child as a result of incarceration. Generally crimes committed by children are physical crimes against other children. In that situation, many parents would want to be assured that the state was doing all it could to prevent such things happening again. That would be a primary consideration for them. We know that if we bring children into the criminal justice system, a third of them will reoffend within a year, and they receive, as it were, a schooling in crime by going through various institutions. As adults, they may well have a criminal record and it will then become harder for them to get a job. They are labelled as criminals and they may be confirmed in a career of crime. They may well go on to have children, who may follow in their footsteps If one says to a parent whose child has been harmed by another child or who has lost a child through violence from another child, “We are going to try our best to stop this happening to another child”, then the right, and effective, approach is a welfare one, with all the protections and the secure accommodation that the noble Lord referred to, rather than the wasteful, ineffective approach that we currently take I hope that institutions such as Mumsnet and the Mothers’ Union will look at this debate and seek to take up with the Government concerns about the welfare of these children and about protecting children from each other. Often, we are talking about very troubled children and we need to do something about them, but simply maintaining the status quo fails to protect our children in the most effective way. It is time to act. It would be the right thing to do to pass the noble Lord’s Bill. It would be the right thing for our children and for our hard-working taxpayers. None of us wants our tax to be wasted in the way that it currently is There is always the risk that we will go backwards. Towards the end of his career in the House, Lord Onslow learnt how many children we were incarcerating in this country, and I remember how passionately he advocated reducing the numbers. We could go back to increasing the number of children in that situation. Therefore, I ask the Minister—he may prefer to write to me—how much the youth justice system costs and how much would be saved if we raised the age of criminal responsibility to 14. That age is much more the norm in civilised countries, and I hope that this Bill will be a step towards that. If he could do some modelling, looking at the longer-term impact of a reduction in the number of children having a career of crime and coming back into the criminal justice system again and again, that, too, would be helpful Finally, I commend the noble Lord for his perseverance and for bringing this issue back again and again. It is, ultimately, a question of children’s rights. Here we are, in this country, punishing the very children who often we as a nation most let down. The noble Lord is absolutely right to keep persevering, and I am very glad that he has brought this to the House.
ParlaMint-GB_2016-01-29-lords.u35	My Lords, it is always an enormous pleasure to listen to and follow the noble Earl, Lord Listowel, on any subject linked to the welfare of the child, not simply because he keeps a close interest in these matters but because, when he speaks to the House, he speaks from direct experience of talking to children and those who work with children, who give us a message of the reality at the sharp end of this. We are always in his debt for these contributions. Likewise, as I have put on record before, I am grateful to my mentor, my noble friend Lord Dholakia—I was going to say “old mentor”, but he gets sensitive about the term “old”—who, over 20 years or so, has been a constant prod to me on reforming the criminal justice system As is on the register, I am the chairman of the Youth Justice Board, but I am not speaking today in that capacity Another thanks must go to the noble Earl, Lord Listowel, because what he said feeds into what I want to say, on his proposal to move the age of criminal responsibility into a wider context. If we are going to have a rational debate about that, we have got to put it in a wider context It is interesting that when we had the debate earlier today about drink-driving, the Minister was urged to look at Scotland as an example. Next month, the Scottish Government will receive the report of an advisory panel on raising the age of criminal responsibility in Scotland. That is something that Ministers, and all in this House who are interested in the matter, will be very keen to read. The Scots have gone for a slightly hybrid model so far; they have kept the age of criminal responsibility at eight, but no child can be brought before a court until the age of 12. The advisory panel has been looking at that and the suspicion is that it will advise a common age for both, but we will have to wait and see As my noble friend Lord Dholakia indicated, the long shadow of James Bulger’s murder on 12 February 1993 lies across any debate about the age of criminal responsibility. When I was appointed chair of the Youth Justice Board 18 months ago, I was interviewed by the magazine Children & Young People Now about how I saw the job, and I was asked what I thought about the age of criminal responsibility. I said that I was aware that the Scots were looking into the matter and thinking of raising it to 12 and that we could do likewise. The next day, a national newspaper rang James Bulger’s mother to ask her what she thought about changing the law so that James’s killers would have “got away with it”. It was a monstrous crime, but I think it intimidates proper debate about the age of criminal responsibility. The two boys who killed James would not have got away with it. However, the full trial, which began in Preston Crown Court on 1 November 1993, would not have been conducted as an adult trial, as it was, with the accused in the dock away from their parents and the judge and court officials in legal regalia I am well aware that since that time changes have been made to make trials involving young persons more child friendly. However, I spoke to a senior judge who visited Preston Crown Court recently and he told me that it had not changed in appearance since 1993. It remains virtually unchanged and, as he said, it is almost unbelievable that two 10 year-olds should face trial in such a place and in such a way. I know that it is Mrs Bulger who has received the life sentence, and I do not sympathise with the perpetrators at her expense, but much has happened in the past 20 years which has increased our understanding of crimes committed by children and our responses to it, as the noble Earl, Lord Listowel, so eloquently explained The Youth Justice Board was set up in 2000 following the Crime and Disorder Act 1998, which in itself followed the ground-breaking report of 1996, Misspent Youth, to address the specific challenges of offending by under-18s—children in the eyes of our law. The clear statutory aim of the YJB was to prevent offending by young people. For that reason, the continuing fall in the number of children entering into the justice system—statistics yesterday show another 9% fall last year—and the secure estate, which, as the noble Earl, Lord Listowel, said, is now down to about 1,000, only 50 of them girls, all points to the right direction of travel under successive Governments These outcomes are not the result of the work of the Youth Justice Board alone but the work of many hands. It is still work in progress, and the noble Earl, Lord Listowel, referred to the very high reoffending rate of those who have been in the secure estate. Progress certainly owes much to the work of the holistic, locally-based, cross-disciplinary approach of the youth offending teams, which the Youth Justice Board established. It also owes much to the police “buy in” at national and local level of programmes and protocols aimed at diverting young people from crime and the criminal justice system. The liaison and diversion services championed by the noble Lord, Lord Bradley, in his ground-breaking report mean that mental health needs are detected and dealt with sooner The Magistrates’ Association has shown vigour in looking at how best youth courts can adapt, and Mr Gove has recently expressed his interest in problem-solving courts. The Government’s Troubled Families initiative moves action upstream to tackle the multifaceted dysfunctionalities which are often the precursor of criminal behaviour, again as the noble Earl, Lord Listowel, explained Work by the Disabilities Trust Foundation at the Keppel unit at YOI Wetherby has shown the benefit of identifying and treating brain injury among young offenders. Research by University College London, among others, has shown that the brain evolves and matures over a long period after the age of 10. That is why, as we have heard, most European countries have ages of criminal responsibility higher than ours. Most continental jurisdictions espouse a welfare approach to offences by the young. Over the past 20 years, a lot of the undercurrent of the approach to youth justice in England and Wales has been, as I have illustrated, to use welfare rather than criminal sanctions in dealing with young offenders. I was pleased that during my time in government the Transforming Youth Custody initiative was taken forward to double to 30 the number of hours of education. It is significant that Mr Gove has asked an educationalist, Mr Charlie Taylor, to conduct an inquiry for him into youth justice services. I put on record my appreciation for the thorough and comprehensive way in which Mr Taylor has carried out his inquiry. I have already discovered that youth justice is a field well populated with strong opinions, but I do not think anyone will be able to say that they have not been able to bend his ear by the time his report is published On the eve of this debate, I came across a report by Dr Di Hart, working through a Churchill Fellowship award and supported by the Prison Reform Trust, entitled Correction or Care? The Use of Custody for Children in Trouble. I intend to invite Dr Hart to the House to present her report more fully. I shall briefly run through her recommendations, because they tie into the wider debate on welfare or punishment in our criminal justice system, which I think Mr Gove is ideally positioned to undertake because of the confidence that he has won in all areas. The recommendations in the report include: “Reconsider the separation of justice, welfare (and psychiatric?) placement models … Develop a shared understanding of the best model for meeting children’s needs … Regional commissioning … Pilot a new model of residential care”— something that I think has a certain urgency to it— “Develop a shared data set to measure experiences and outcomes … Establish an expert panel to advise on good practice … Maintain the involvement of sentencers in tracking children’s progress”, which is something that I know the Magistrates’ Association is interested in taking forward This debate is taking place in that wider context. I think that we are moving towards a system of looking after young people and children, in particular the very young, from the age of 10 upwards, in a more welfare-based way, precisely because of the point made by the noble Earl, Lord Listowel. The present system does not work; reoffending is far too high, and it is expensive. Even the most hardened “lock ’em up and throw away the key” people have to concede that we are wasting public money. A new, broader look at the context of this may achieve a national consensus, but we need to do it in a rational manner in the light of research, of experiences in other countries, of advances in medical and other scientific understanding, and of other changes recommended when the Taylor report is produced. This Bill is before us at an opportune moment, and I commend it to the House.
ParlaMint-GB_2016-01-29-lords.u36	My Lords, I am glad to add my support and congratulations to the noble Lord, Lord Dholakia, on his persistence and for the calm and moderate way in which he has introduced the Bill, and for recognising in his speech that amendments might have to be made. My own inclinations march with his; nevertheless, these issues will have to be examined in detail in Committee. But the broad thrust of his argument is one with which I can closely identify myself We had a debate in your Lordships’ House last Thursday, introduced by my noble friend Lord Fowler, on the subject of prison reform. It was a good debate and a number of us who are here today took part in it. I think there was universal admiration for the way my noble friend introduced it and for the proposals he made. Another theme ran through the debate, which I would categorise as a collective sigh of relief at the change of direction of the Ministry of Justice since the present Secretary of State took over. He has already shown himself to be a sensible and sensitive man, and indeed we have had further evidence of that this very day in the Statement made by my noble friend on the Front Bench just before this debate started. So I hope that we are to some degree pushing at an open door. Although I do not expect, because I am fairly case hardened, my noble friend on the Front Bench to get up and metaphorically embrace the noble Lord, Lord Dholakia, I hope he will be able to give us some indication that the powerful points made in the noble Lord’s speech will be reflected upon I do not think anyone is saying that young children who commit wicked acts—and some do—should not be adequately dealt with, which of course involves a degree of punishment. The punishment is separating those young people from the environment which has perhaps inculcated, or certainly increased, that wickedness. No one is suggesting that it would be sensible to have sent the killers of James Bulger immediately back into the community. That would be utterly absurd. But was the paraphernalia of a full trial wise? I think not. What is important is that young people who do wicked things should be adequately dealt with. I agree with the advance to the age of 12. It is important to note that, if they are under the age of 12, putting them into the criminal justice system is not very sensible or even cost-effective One of the points that came up time and again in last week’s debate was reoffending. I have personal experience because I had a young offenders’ institution, Brinsford in South Staffordshire, in my constituency. If we had suffered from the same sort of background and lack of upbringing that many of the young men in that institution had had, we might have gone the same way. When once they become institutionalised, those young people tend to reoffend again and again. The noble Lord, Lord McNally, is nodding. How glad I am that he has his present role, because he understands these things. If young people under the age of 12 commit crimes, the whole thrust and emphasis of their treatment —I used that word advisedly—should be to try to ensure that they do not offend again Several times in last week’s debate, the famous remarks of Churchill when he was Home Secretary were quoted. He said that within every person there is some spark of goodness. You judge a civilised society by the way in which it treats offenders. The punishment is being sent to prison. The whole purpose of prison is to rehabilitate. Children should be sent somewhere where they can be nurtured as well as rehabilitated. Many who commit these dreadful crimes have no home to speak of. It is not being soft to say that one supports the proposition of the noble Lord, Lord Dholakia. One is being realistic. One is recognising that the age of criminal responsibility, which is determined by the state, must be determined with real regard for what children under the age of 12 can properly be able to answer for In a sense, I am thinking aloud in making these points. As one who has children and grandchildren, spent 10 years as a schoolmaster and 40 years as a Member of the other place, and over 30 years with prisons in my constituency, I really believe that Churchill was right when he said that in almost everybody there is a spark of goodness. If a child goes astray, the whole emphasis must be on trying to ensure that that child does not grow up into a hardened criminal. As I see it, that is at the root of the Bill of the noble Lord, Lord Dholakia, and his crusade—it has become that, as he has come back to this issue again and again I hope that when my noble friend—he is a man of real sensitivity and understanding—answers the debate, he will say that he will discuss the matter with the Justice Secretary. I hope he will indicate that he understands what exercises those of us who believe that the age has been set far too low. I slightly dissent from the noble Earl, Lord Listowel, for whom I have great admiration. In a throwaway line, he referred to other countries as being civilised without suggesting this one is. We are a civilised country and we are all proud to live in it, but every civilised country can make itself better and more civilised. This would be a small step in that direction.
