ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u76	As my right hon. Friend the Secretary of State said earlier, NATO is the cornerstone of our defence, and we are leading players in influencing fellow NATO members to meet the spending commitment. Allies have made welcome progress since 2014; five now spend 2% of GDP on defence, eight spend 20% of their defence budgets on major equipment and research, 16 have increased defence spending in real terms and 24 are now spending more of their defence budgets on equipment.
ParlaMint-GB_2016-06-27-commons.u77	With the increasing budget comes increasing responsibility for ensuring value for money for taxpayers. Has my hon. Friend learned the lessons of failed procurement under Labour of maritime patrol aircraft, which had to be cancelled because the programme was 10 years behind and £800 million over budget?
ParlaMint-GB_2016-06-27-commons.u78	My hon. Friend and constituency neighbour is right that the Nimrod programme suffered repeated and unacceptable delays and cost overruns. The decision in 2010 to cancel it was difficult but the planned purchase of nine P-8 Poseidon aircraft for maritime patrol will give us the capability we need in the timeframe we want, and at best value for the taxpayer.
ParlaMint-GB_2016-06-27-commons.u79	Part of making sure defence spending is adequate is making sure that we get value for money. The Public Accounts Committee was very disturbed when we looked recently at housing management for service families, which seems to be woeful. The contractor, Carillion, has not stepped up to the job. Will the Minister tell me how he will ensure that we get value for money and, more importantly, a better service for our service families?
ParlaMint-GB_2016-06-27-commons.u80	I am pleased to confirm to the right hon. Lady that in the area of defence equipment procurement, for which I am responsible, the Public Accounts Committee has found that we have consistently brought programmes in within budget and with minimal time overruns. I accept we have more to do on housing.
ParlaMint-GB_2016-06-27-commons.u81	Where the defence budget is spent is absolutely crucial. Given the gross uncertainty for the British steel industry as a result of the EU referendum vote, what assurances on defence spending can the Minister give to steel manufacturers in this country to boost them at this crucial time?
ParlaMint-GB_2016-06-27-commons.u82	We have adopted the Government’s policy to ensure that defence contractors make all steel procurement opportunities available to UK producers. The amount of steel expected to be available for tender for future work is much reduced, because the most substantial amounts have been in the aircraft carrier programme and we will not be building vessels as big as that for the foreseeable future.
ParlaMint-GB_2016-06-27-commons.u83	I warmly welcome the Government’s commitment to spend at least 2% of GDP on defence, but will my hon. Friend confirm that this year and next there will be no increase in cash terms, and assure me that we will not find ourselves in the same situation as we did this year, where in order to meet our 2% commitment money was transferred to the Ministry of Defence from other Departments?
ParlaMint-GB_2016-06-27-commons.u84	As was made clear in last year’s comprehensive spending review at the same time as the strategic defence and security review, and as I have already said this afternoon, the defence budget is going up in real terms in each year of this Parliament.
ParlaMint-GB_2016-06-27-commons.u85	There has been much loose talk about the increase in the defence budget, but to be able to hit the target of 2% of GDP we now have to be very careful, as there may well be a recession given the Brexit vote. Will the Minister reassure the House, the public and the armed forces that the Government’s commitment on defence spending will be maintained not just in terms of GDP but in cash terms?
ParlaMint-GB_2016-06-27-commons.u86	I am not going to join those in the Opposition who seek to talk the economy down. We have a clear commitment to meet the NATO defence spending pledge and that is what we will do.
ParlaMint-GB_2016-06-27-commons.u87	8. What progress has been made on his Department’s naval procurement plans.
ParlaMint-GB_2016-06-27-commons.u88	The Department continues to develop our naval force structure, as we set out in the defence review. That will include completion of two new Queen Elizabeth class aircraft carriers, eight Type 26 global combat ships, new solid support ships and two new offshore patrol vessels.
ParlaMint-GB_2016-06-27-commons.u89	Can the Minister confirm press reports today that leaked correspondence shows that the Ministry of Defence is looking for savings of £500 million in the Type 26 programme, and has refused an offer from BAE Systems that would bring savings of £270 million while starting the programme on time?
ParlaMint-GB_2016-06-27-commons.u90	As I said in answer to other questions on the Type 26 programme, we will enter into a contract once we have established best value for the taxpayer, and a delivery schedule that can be met by the contractor.
ParlaMint-GB_2016-06-27-commons.u91	After last week’s vote, these are uncertain times for UK manufacturing. One thing that the Government could do now to boost manufacturing and protect British jobs and skills would be to make a decision on Successor and bring it forward. Will the Minister say when that vote will be?
ParlaMint-GB_2016-06-27-commons.u92	The hon. Gentleman will have heard the Secretary of State confirm that that will not take too long.
ParlaMint-GB_2016-06-27-commons.u93	9. What discussions he has had with his Cabinet colleagues on preparations for the NATO Warsaw summit.
ParlaMint-GB_2016-06-27-commons.u94	The National Security Council has considered the UK’s preparations for the Warsaw summit next week, which is an opportunity to build on the success of the summit that we hosted in Wales in 2014. Our intention at Warsaw is to demonstrate a united alliance that is adaptable, transparent, and capable of planning for and responding to the full range of threats that we face today.
ParlaMint-GB_2016-06-27-commons.u95	Today the United Kingdom is seen as an ineffective, unreliable partner in global affairs, as highlighted not by Opposition Members, but by a former general and supreme commander of NATO, Admiral Stavridis. Reflecting on the admiral’s words, what does the Secretary of State think that his Government can achieve in Warsaw?
ParlaMint-GB_2016-06-27-commons.u96	I hope that we can further reassure NATO members on the eastern flank that we stand by our commitment in the face of Russian aggression. I hope that we continue to make the alliance more flexible to deal with the new threats we face, particularly from cyber and hybrid warfare, and that through British leadership we will encourage other allies to meet the 2% commitment that we are already meeting this year.
ParlaMint-GB_2016-06-27-commons.u97	I hope the Secretary of State is aware that we cannot hide behind the fig leaf of a percentage of GDP, and that we need NATO membership and partnership more than ever before, given last Thursday’s dreadful result in the referendum. We have only 100,000 people in our defence forces—we could get them all in Wembley. Let us have a stronger NATO and a greater partnership against Russia with Europe.
ParlaMint-GB_2016-06-27-commons.u98	We have more than 100,000 members in our armed forces, but I agree with the hon. Gentleman about the importance of NATO. Because we are withdrawing from the European Union, it will be all the more important to reinforce our commitment to NATO and the obligations of NATO membership. That is why we lead in complying with the 2% commitment, and he will hear from the Warsaw summit about additional deployments that we are now likely to make to the eastern flank.
ParlaMint-GB_2016-06-27-commons.u99	10. What recent assessment his Department has made of the security situation in Libya.
ParlaMint-GB_2016-06-27-commons.u100	Forces aligned to the Libyan Government of National Accord are making progress against Daesh, but while Daesh may have suffered setbacks in its stronghold in Sirte and in the east, it has not yet been defeated and may look to re-establish itself elsewhere in Libya. In Tripoli, the security situation is relatively calm but fragile, with increasing support for the Presidency Council from militias.
ParlaMint-GB_2016-06-27-commons.u101	Before last Friday morning, Libya was seen as this Government’s worst foreign policy disaster. In light of that, will the Secretary of State say what discussions he has had with EU counterparts about continued involvement in Operation Sophia off the coast of Libya?
ParlaMint-GB_2016-06-27-commons.u102	I continue to discuss Operation Sophia with my European counterparts, and we have agreed to deploy an additional vessel, a Royal Navy ship, as part of that. We are working with the new Libyan Government —I recently spoke to the Defence Minister there—to support them in their fight against Daesh. It is vital that we continue to work with other allies along the coastline, and we are extending the counter-IED training that we provide to Tunisian forces for a further year.
ParlaMint-GB_2016-06-27-commons.u103	13. What steps he is taking to increase the proportion of defence spending that goes to small firms.
ParlaMint-GB_2016-06-27-commons.u104	Small businesses are a crucial engine for growth and innovation in this country, and we are determined that they should play an increasing part in supplying defence. We are committed to achieving 25% of our procurement spend with small and medium-sized enterprises by 2020, and that target is 10% higher than the one set during the last Parliament. We recently refreshed our SME policy to show how we will work to achieve that
ParlaMint-GB_2016-06-27-commons.u105	What steps is my hon. Friend taking to make it as simple as possible for small firms to benefit from this increased spend?
ParlaMint-GB_2016-06-27-commons.u106	We have already appointed a new network of supply chain advocates to provide a named point of contact for potential suppliers. We are providing a new online tool for suppliers to highlight opportunities, and we are simplifying our standard terms and conditions.
ParlaMint-GB_2016-06-27-commons.u107	I call Ian Murray.
ParlaMint-GB_2016-06-27-commons.u108	Hear, hear.
ParlaMint-GB_2016-06-27-commons.u109	I should maybe come to questions more often A former First Sea Lord told the Defence Committee that the delay in the Type 26 frigate programme was due to money problems in the Ministry of Defence budget. Will the Minister tell the House, and more importantly tell the workers on the Clyde, how many jobs will be lost and what the impact will be on its world-class apprenticeship programme?
ParlaMint-GB_2016-06-27-commons.u110	Apprentices are very important to maintain the skills on the Clyde to complete the Type 26 programme. The intention is that once we have signed the contract we will have clarity on the best value for money for the taxpayer. That is our priority.
ParlaMint-GB_2016-06-27-commons.u111	15. Whether the Government plan to publish a policy on the use of drones for targeted killing.
ParlaMint-GB_2016-06-27-commons.u112	With regard to targeting or other rules of engagement, the use of remotely piloted air systems is no different to that of any other aircraft. Therefore, there is no separate policy for their use in this respect.
ParlaMint-GB_2016-06-27-commons.u113	With respect, it is evident that the Government intend to use lethal force outside armed conflict for counter-terrorism purposes, despite the legal basis for that being unclear. Will the Government clarify the legal basis on the use of drones for targeted killing outside of armed conflict?
ParlaMint-GB_2016-06-27-commons.u114	We have been very clear that this is guided by international law. Where there is an identified, direct and immediate threat to the United Kingdom, and where we have no other means of dealing with it, we reserve the right to use force.
ParlaMint-GB_2016-06-27-commons.u115	The hon. Member for Sittingbourne and Sheppey (Gordon Henderson) has a question on the Order Paper on this very same subject. Does he wish to intervene and give the House the benefit of his thoughts?
ParlaMint-GB_2016-06-27-commons.u116	No.
ParlaMint-GB_2016-06-27-commons.u117	Very helpful!
ParlaMint-GB_2016-06-27-commons.u118	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2016-06-27-commons.u119	My immediate priorities remain success in our operations against Daesh, and implementing our strategic defence and security review commitments. On Friday week, I will join the Prime Minister for the NATO summit in Warsaw, where we will review progress since the Wales summit, agree further reassurance to our eastern allies, and take further steps to demonstrate the alliance’s strength and unity.
