ParlaMint-GB_2016-12-09-lords.u1	That the House do now resolve itself into Committee.
ParlaMint-GB_2016-12-09-lords.u12	My Lords, I wonder if I might follow the noble Lord, Lord Cormack, because he spoke a great deal of sense, in terms both of the debate that we had about retirements and the impact of the noble Lord’s amendment today. I remind the noble Lord, Lord Trefgarne, that I was the Government Whip on the 1999 House of Lords Bill and I well recall our debates. Like the noble Lord, Lord Cormack, I accept that the noble Lord has raised a point of principle which it is quite right for us to debate. Of course, we are nearly 18 years on from that Bill and much has happened in the meantime The noble Lord is a very distinguished Member of your Lordships’ House. It is clear that he disagrees with the principle of my noble friend’s Bill. Why on earth did he not challenge at Second Reading or put a Motion down and let the House come to a view? Why is he engaging in a clear filibuster not just in the context of the point that the noble Lord, Lord Cormack, has made about this House but at a time when we are very likely, depending on events, to be debating hugely important issues around Brexit? Does he really think it sensible to set a precedent that filibustering is to be allowed in your Lordships’ House? I would caution him against that activity. I hope that when he comes to wind up he will explain what he is doing, why he has not allowed his amendments to be grouped and why he is not allowing the House essentially to come to a view on the principle.
ParlaMint-GB_2016-12-09-lords.u13	My Lords, I support the two previous interjections. I thank the noble Lord, Lord Cormack, for many years of toil, with others, in the modernisation and reform group which he has led. I came into this House in 2004. I have always regarded myself as a friend of the noble Lord, Lord Trefgarne, and he of me—we know each other well. I regard the noble Earl, Lord Caithness, as a man of great wisdom and as a hard-working and diligent Peer—in fact, we are all effectively full-time working Peers nowadays, which counts for a lot. However, I beg the noble Lord, Lord Trefgarne, as a friend, to reconsider pressing these amendments, with the damage that they will do to the reputation of this House. I ask him to think again and to bear in mind the suggestions that have been made already by people with more authority than me in these matters, hoping that he and the noble Earl, Lord Caithness, will have the courage and wisdom to respond.
ParlaMint-GB_2016-12-09-lords.u14	My Lords, I apologise for intervening, but I had a small walk-on part—not as distinguished as that of the noble Lord, Lord Hunt—in 1999 and remember well the statesmanlike endeavour undertaken by the noble and learned Lord, Lord Irvine, and the then Lord Cranborne, now the noble Marquess, Lord Salisbury. They effected an extremely difficult compromise, which did not give satisfaction on all sides, to enable an important piece of constitutional reform to go forward. It was a distinguished piece of statesmanship, a compromise was made and the noble and learned Lord, Lord Irvine, said at the time in this House that it would remain “binding in honour” on all those who had taken any part in it. When I first came to this House, I was told that the one thing that a Member of your Lordships’ House had to do was to stand on his or her honour. I would therefore find it extremely difficult, short of the final reform of this House, to accept the removal and breaking of that compromise which enabled a great piece of legislation to be passed by the party opposite It is disappointing that a mugging party has arisen attacking my noble friend even before we have entered fully into the debate on this subject. It is not much of a filibuster by my noble friend, who spoke for just two minutes. I have heard more effective filibusters in my time I would hope that a sensible spirit of compromise could emerge. I discussed these matters with the noble Lord, Lord Grocott, and I understand that people opposed to the hereditary principle want to see it removed from the House. Most hereditary Peers I speak to—I should make it clear to those who are not aware that I am certainly not a hereditary Peer— do not object to the principle being removed from the House. The question is how, when and in what circumstances I concede that another reason why you might wish to remove hereditary Peers—I know that the noble Lord, Lord Grocott, does not have this purpose—is to secure some party advantage. Clearly, these Benches and the Cross-Benches have more to lose from the removal of the hereditary Peers than the Labour Party or the Liberals. There is a party political issue that needs to be discussed. I know that the noble Lord, Lord Grocott, would consider that, but it is another matter to be considered I am pleased that the Government said—if it is what they said—that this Bill should not go forward. This chip needs to remain on the table. Of course, the ultimate intention of the noble and learned Lord, Lord Irvine, and my noble friend Lord Salisbury at the time was that we would get to a place where the House would be reformed. My noble friend Lord Cormack is a rather more regular speaker than I am, so perhaps he will allow me some comment on this subject. He said what a scandal it is that some Peers are here on only three votes but I am here on the vote of one person, by patronage. We should be a bit more cautious in being high and mighty about the methods by which certain noble Lords get here, when each one of us was happy enough to catch the eye of a selector, be it Tony Blair, Mr Ashdown, Mr Cameron or whoever it might have been The hereditary system we have now is a funny one but I have only one amendment tabled and that is to draw attention to the disproportionate representation of the very Benches that said, “Hear, hear”, when my noble friend Lord Cormack said that it was pretty odd that the hereditary Peers are here. I think it is pretty odd that there are a hundred of those chaps over there.
ParlaMint-GB_2016-12-09-lords.u15	I said no such thing. I did not say that it was odd that they were here. I paid particular tribute to what they do. The Bill of the noble Lord, Lord Grocott, does not make any of them leave. I am concerned about the reputation of the House and the method by which they are selected. Also, I made it quite plain that the Government said the Bill would not pass, so why the worry?
ParlaMint-GB_2016-12-09-lords.u16	My Lords, I am responding to three speeches that said it was quite unnecessary for my noble friend Lord Trefgarne to do what he is doing. I will bring my remarks to a conclusion. I will leave the point of honour before the House. I will leave the point of selection by patronage before the House. I will leave the point that by pushing hereditary Peers out of the House, you will not end the House of Lords question. All that will happen is that we lose the successors of some very effective people in this House I just add one other thing. I have here before me what the noble and learned Lord, Lord Irvine, said on 30 March 1999. I agreed strongly with it then and agree with it now. One of the things we discussed in the official group was how the hereditary Peers should be replaced while this compromise continued. The noble and learned Lord, and the Government, said they were not prepared to accept a system whereby Members of this House would choose who stayed and who came in, in what he described as “rather invidious” club rules. In fact, he spoke of, “The rather invidious proposition that life Peers should have a vote in these elections and pass judgment on the comparative merits of their … colleagues”.—[Official Report, 30/3/1999; col. 207.] Many of those who wish to end the election of hereditary Peers under the system we have now are the very same people who want a system where life Peers in this place pass judgment on who should stay—where the awkward squad and those who are independent minded might be pushed out. As this debate goes forward, that proposition deserves every bit as much scrutiny as the role and place of hereditary Peers in this House To conclude, I will stand on the point of honour. I have only one amendment and have not made a filibuster but made points that I believe are of great importance and which remain as valid today as they did in 1999.
ParlaMint-GB_2016-12-09-lords.u17	My Lords, the noble Lord, Lord True, said that the hereditary Peers are part of the awkward squad—difficult people. I would have thought that there were enough of that category all around in any event He said that there has not been a filibuster but how else should we construe virtually overnight putting down 59 amendments in an attempt to swamp this Bill and prevent it making any progress? Perhaps the noble Lord’s speech was short but the plethora of amendments speaks eloquently in a different direction. I wholly endorse and adopt what has been said before, particularly by the noble Lord, Lord Cormack, about reputation. There is an old legal maxim or principle—perhaps no longer said in that way—that if one seeks to define intent it is the natural consequence of one’s acts. What other intent can there be from the plethora of amendments than to effectively destroy this Bill and the reputation of the House I will let your Lordships into a secret. Once upon a time, I was in Whitehall for a brief and somewhat inglorious period. I recall a little department, somewhere stuck in Whitehall, the aim of which was to devise means of blocking Bills with an attempt at faint praise. Ministers were told and speeches were written on this basis: “We believe in the principle of what has been put down but now is not the time”, “Rome was not built in a day”, “We should not deal in little steps”, or “We should look at all these matters comprehensively”. I suspect that the noble Lord, Lord Trefgarne, and his friends delved into this same bran tub and will bring out a series of statements of that sort Yes, they are clearly against the principle of the Bill. I simply put this question to him: is he happy for this absurdity to continue indefinitely? It is an absurdity and anyone looking from outside must accept it as such. Is he content that by these spurious by-elections, the hereditaries are here by what is, of course, a game of chance—succession? On the other hand, the rest of us are here by—yes—patronage but at least there is an attempt in that patronage to choose people who in principle have a degree of merit. Many of the hereditaries indeed have merit but they may not; it is a game of chance. In my judgment, to continue with this system makes us a laughing stock. If we are serious about the reputation of the House we should wholly endorse this proposal by my noble friend Lord Grocott.
ParlaMint-GB_2016-12-09-lords.u18	My Lords, I associate these Benches with the opening remarks of the noble Lords, Lord Cormack, Lord Hunt of Kings Heath and Lord Dykes, and many others who want to see progress on this Bill. We should not repeat all the arguments we had at Second Reading. Any noble Lord speaking today should endeavour to be brief—I will certainly be In addressing the remarks made so far, first, many of those noble Lords who speak about Lords reform accept the principle of the primacy of the House of Commons. The principle of this Bill was approved in 2010 in the then Labour Government’s Constitutional Reform and Governance Act. That received a majority in the Commons and those who are sincere in their belief in the primacy of the Commons should allow this Bill to go forward for Commons consideration. Secondly, there was the principle about what was said in 1999 and for how many decades or centuries that should be deemed to be binding. There was a principle, which we often refer to and agree with, that no Prime Minister and no Parliament can bind their successors. So I challenge those who are trying to prevent the Bill being properly considered to say whether or not they accept that principle. There is little point in the legislative process unless you accept that you can change a previous decision of a Prime Minister or a Parliament The noble Lord, Lord True, suggested that this is about trying to pack the House of Lords or change its composition. He is perhaps a little sore at the moment about the position of the Liberal Democrats after the by-election in the area for which he is the council leader. But it is not realistic to suggest that the Bill is about changing the composition of the House since the power of patronage remains with the Prime Minister to appoint more Peers. On Monday a very strong will was expressed across the House that we must do something to improve our credibility and reduce our numbers overall, but there is no point taking such action unless we prevent top-ups. The first way of preventing such top-ups is by supporting the Bill.
ParlaMint-GB_2016-12-09-lords.u19	The noble Lord referred to my speech. He said that we have to prevent top-ups. A few sentences before, he said that of course the Prime Minister could appoint others to replace those who go. By his own words, the question of size is not relevant. He also said that no Parliament can bind its successors. Perhaps that is why the Liberal Democrats have been so quick to remember their policy that numbers here should reflect votes cast in the previous general election.
ParlaMint-GB_2016-12-09-lords.u20	If the noble Lord accepts the principle that representation here should be reflective of votes cast in the past election, I would welcome his support for that principle in the House of Commons also.
ParlaMint-GB_2016-12-09-lords.u21	My Lords, I apologise to the Committee for being unable to take part at Second Reading. I believe the Bill is unnecessary unless part of a full stage two reform, and breaches the undertaking that has already been referred to Contrary to the words of the noble Lord, Lord Anderson of Swansea, I maintain that by-elections produce very capable replacement Peers, such as the noble Lords, Lord Grantchester, Lord De Mauley and Lord Ashton of Hyde, the noble Earl, Lord Cathcart, and the noble Viscount, Lord Younger, all of whom are or have been on the Front Bench of their respective parties. In addition, the number of hereditaries is capped, unlike the number of life Peers. Surely it is this that needs attention, to be included in a total package of reform, which may indeed incorporate a change to the by-election system, but that should not happen until then The Campaign for an Effective Second Chamber does a lot of good work but the Bill makes the Chamber much less effective.
ParlaMint-GB_2016-12-09-lords.u22	My Lords, I, too, support the amendment in the name of my noble friend Lord Trefgarne. I apologise to the Committee for not having spoken at Second Reading but I was unable to be here because I had to attend a memorial service. I entirely agree with my noble friend Lord Trefgarne. My understanding in 1999 was that this was a deal that would enable the important piece of constitutional legislation to pass, which would be honoured by all sides of the House—that 92 hereditary Peers would remain in the House until substantive reform were to take place. It was clearly understood at that time that the intention was that the House should be reformed on to a largely elected basis Most of those who now support the Bill of the noble Lord, Lord Grocott, believe that to end the principle of hereditary by-elections and therefore eventually end the right to sit in this House by any hereditary Peer will actually strengthen their own tenure under the appointed system. They believe that the least acceptable part of the composition of your Lordships’ House is the hereditary Peers. I beg to differ. I have no wish to defend the hereditary principle as having any particular legitimacy but I do not think that the practice of appointment by patronage has very much legitimacy either. I do not believe that in the country at large it is regarded as having such. Rather, I believe that the presence of 92 hereditary Peers in your Lordships’ House actually makes this House, in the minds of the public at large, more interesting and more legitimate. The link with history is regarded by many people as having legitimacy. There are many means by which members of any institution in the country gain legitimacy. To argue that any Peer who sits in your Lordships’ House by succession is not there legitimately would not be supported by the public at large.
ParlaMint-GB_2016-12-09-lords.u23	Oh!
ParlaMint-GB_2016-12-09-lords.u24	Noble Lords opposite tend to disagree but when I discuss this with people—with taxi drivers, people in shops, people on the Underground—I find that the presence of the hereditaries in this House is seen as a continuation of a great tradition. It is a link with history. Therefore, I think that those who wish to end the hereditary principle for topping up the 92 hereditary Peers are mistaken The noble Lord, Lord Anderson, stated that the hereditary by-elections are absurd. They are no more absurd than any other elections in many bodies around the country. Very often a small group of people decides between one, two or several candidates. Indeed, I think Her Majesty the Queen still chooses between two candidates for the position of Archbishop of York or Canterbury. I am not sure whether that system still exists but it certainly did so I disagree with part of my noble friend Lord Cormack’s speech but I agree with his proposal that the by-elections could be made rather less arcane—I think that is a better word than absurd—simply by stating that the electoral college for each group should be amended to include all the Peers of that party grouping. I have always thought that there was not much logic in the Standing Orders as established in 1999 which provided that those originally elected as Deputy Speakers should be replaced by hereditary Peers elected by the whole House rather than by only the survivors of the electoral college I have spoken on this for long enough. I earnestly support the amendment in the name of my noble friend Lord Trefgarne.
ParlaMint-GB_2016-12-09-lords.u25	I hope that those who were joshing and jeering at my noble friend Lord Trenchard will think very carefully about what they have done. He is entirely entitled to his view, whatever it is. We have had some rather pious expressions about the reputation of the House. What is the reputation of this House if my noble friend cannot say what he strongly believes without being jeered by Members of the Opposition? They should reflect very carefully as we continue the debate On the question of the reputation of the House, the noble Lord, Lord Grocott, was not to know, when he agreed to this Friday being an opportunity for Committee on the Bill, that it would bookend a week in which it might appear to many outside that we spent a great deal of time talking about ourselves. We spent Monday talking about ourselves. We are going to spend today talking about ourselves. Noble Lords around the House have pleaded that we should try to finish today’s proceedings as quickly as possible The Government have made it utterly clear that the Bill is not going to become law. The noble Lord, Lord Grocott, knows that. I know that. The rest of the Committee knows that. Would not the easiest thing be for the noble Lord to say that he was not going to continue with these proceedings? The reputation of the House would then be saved and we could continue to discuss some of the real and serious issues that face this country and the rest of the world, which are the issues that shine a light on this House in the brightest and most sensible possible way Some noble Lords have asked why we are where we now are. Perhaps next to the noble and learned Lord, Lord Irvine of Lairg, I know more about this anybody else. When at the end of 1998 I became Leader of the Opposition it was for me to close the final agreement, if I can call it that, with the noble and learned Lord, who was responsible for the Bill that removed two-thirds of the Conservative Party from this House at a stroke and left patronage intact with the Prime Minister. My then noble friends—in fact, noble Lords from all round the House—were not very keen on that. They were not prepared to go unless some sort of signal was made about the seriousness of a stage two reform, which was to move towards a democratic House I will now cut a very long story short. On the final afternoon, the noble and learned Lord and I made the agreement on what came to be known as the Weatherill amendment—although perhaps it should now be called the Irvine compromise; they are two great servants of Parliament who acted seriously to help the governance of this country. The noble and learned Lord then said to me, “You know, these by-elections will never happen because we intend to come forward with a reform”. We had built in a fail-safe that no by-election would take place until the year after the following general election, which would have given the Labour Party three or four years to come forward with a proper reform My noble friend Lord Wakeham, who sadly is not here today, was invited to set up a royal commission to look at all these things, which would form the basis of new legislation. This was well understood and I said to the noble and learned Lord, Lord Irvine, that I, too, was happy to make this agreement because if that reform did not take place, then we would have the by-elections. It was a small price to pay to get the Bill, which became the House of Lords Act 1999, through this House as quickly and sensibly as possible, thus retaining the reputation of this House—and we have been waiting all this time My noble friend Lord Cormack reflected that we were bringing an end to this system but in doing so, we would also create something new: the only way into this House would now be by party or prime ministerial patronage, and many of us object to that. In the very good debate that took place on Monday, there seemed to be the start of a consensus that there should be a better way of getting into this House. Should we not then work together? Should the noble Lord, Lord Grocott, with all his experience, knowledge and time in both Houses, and I and others not come forward with a proposal for a proper and serious independent Appointments Commission, with all the other things that are required? As part of that, we could remove these by-elections The other thing that the noble Lord, Lord Grocott, was not to know when he wrote and introduced this Bill and agreed to today’s Committee was that the House of Commons would now take an interest in these issues. We have recently had an email from the chairman of the Public Administration and Constitutional Affairs Committee, Bernard Jenkin, saying that he will carry out an investigation into all aspects of how people get into this House. If we were to pass the Bill and send it to the House of Commons, it would immediately be thrown out because the Government would quite rightly say, “We’ve got an important committee of the House of Commons looking at these things. Let us wait until then before we come to a decision” The noble Lord, Lord Grocott, had a good debate at Second Reading. We had an excellent debate earlier in the week and have had a short debate today. I urge him: would it not be better, for all our sakes, to pull back from the Bill now and work together on a proper consensus that unites government and opposition in providing a proper, long-lasting reform to the House of Lords?
ParlaMint-GB_2016-12-09-lords.u26	My Lords, as I have my name to this amendment I would like to say a few words and follow up the closing words of my noble friend Lord Strathclyde—and this was not planned. I say to the noble Lord, Lord Grocott, that if he withdraws the Bill we will be very happy not to move any further amendments at all.
ParlaMint-GB_2016-12-09-lords.u27	Oh!
ParlaMint-GB_2016-12-09-lords.u28	My Lords, the whole situation in which we were going to discuss the Bill has changed as a result of the useful debate that we had on Monday. We did not all agree but at least we were able to express our views without some of the intolerance that is creeping into the Chamber today. Indeed, as my noble friend Lord Strathclyde said, there is a committee looking at this in the other place Mention has been made of the system of appointing hereditary Peers, and we have tabled amendments. The noble Lord, Lord Grocott, said at Second Reading—I apologise to him and to the House for not being able to be here for that—that the appointments system was beyond ludicrous. There is a very good argument for saying that, but we have amendments to make it considerably less ludicrous.
ParlaMint-GB_2016-12-09-lords.u29	My Lords, the noble Earl was not here at Second Reading and he may not have read Hansard. I did not say that the appointments system was beyond ludicrous, I said that the current system of by-elections for hereditary Peers was beyond ludicrous.
ParlaMint-GB_2016-12-09-lords.u30	My Lords, I did read Hansard, and in fact I have it beside me—which is no surprise to the noble Lord because he knew that I would. Yes, he said that the succession system was beyond ludicrous. We have amendments down to make it less so and I hope that he will be able to accept them I am also against what the noble Lord, Lord Grocott, proposes because of what happened in 1999. I have spoken and written to the noble and learned Lord, Lord Irvine of Lairg, who was Lord Chancellor at the time—it was really his amendment rather than Weatherill’s. He had said: “The amendment reflects a compromise negotiated between Privy Councillors on Privy Council terms and binding in honour on all those who have come to give it their assent”.—[Official Report, 30/3/1999; col. 207.] My last letter to the noble and learned Lord was on 31 March 2014, when I wrote seeking elucidation as to what those words meant. I spoke to him afterwards and he said, “You’re not going to get an answer from me”, so I had to interpret them myself. I believe that those words “binding in honour” apply to all the 308 Peers who are still in the Chamber and were here during the debate in 1999, and they also apply to the 109 former MPs who were in the House of Commons when that debate took place and are now in this House. I believe that because they are binding in honour and the agreement was on Privy Council terms, it is not for me to break that agreement. Others may—that is up to them and their consciences—but for me it is a point of principle. What the noble Lord, Lord Grocott, wishes to do is a major constitutional change and I believe that major constitutional change should be undertaken by the Government, not by Back-Benchers This House has had an elected element for 273 out of the last 309 years. There was a gap between 1963 and 1999. Removing the hereditaries, which is the inevitable result of removing the succession to them, would leave a solely appointed House. That is not what the public want. The latest opinion poll that I could find shows that 60% of the public want an elected House. Those figures replicate earlier opinion polls An appointed House is not what the House of Commons wants either. It voted against it on 4 February 2003 by a majority of 78. There was an even larger majority on 7 March 2007 of 179. The Commons also voted for an elected Chamber. I know that did not come to pass in the 2012 Bill, but if that Bill had come to this House, I would have supported it because I have said in this House before that I am a firm believer in having an elected second Chamber and have voted for that. I support what the House of Commons said. Yes, let us remove all us hereditaries, but only on the condition that all the life Peers go too. Do not remove one without the other. I believe that keeping the hereditaries will help us to achieve a democratic, elected House sooner rather than later I discussed this with the noble Lord, Lord Grocott, over breakfast downstairs. He is entitled to his view, and he has been a firm and totally consistent advocate of an appointed House. I take a different view. I want an elected House, and I think that the retention of the hereditaries will bring that about sooner rather than later The appointment system has been criticised. If we remove the hereditaries with this Bill, we will be left with an appointment system. In 1999, my now noble friend Lord Cormack said: “We are witnessing a crude exercise of patronage”.—[Official Report, Commons, 10/11/1999; col. 1200.] If that was true in 1999, how much more true is it today The appointment system was condemned by many during our debate on Monday. Since 1997, 25% of those appointed to this House have been ex-MPs, and a further 7% have been affiliated to parties either by working in them or by taking party positions. That is more than 30%. I have tabled Amendment 45A, which seeks to draw attention to this. In order to help the House, I shall speak to it now I do not think that the noble Lord, Lord Grocott, would ever accept an amendment that restricted the appointment system to such a disproportionate percentage of former MPs. We have become the dumping ground for MPs.
ParlaMint-GB_2016-12-09-lords.u31	Oh!
ParlaMint-GB_2016-12-09-lords.u32	It is true, my Lords. Some 33% or 34% of those appointed are ex-politicians. We are a pretty good dumping ground. The appointment system has also failed us in that only 22% of appointments were women I am sorry that my noble friend Lord Cormack is going—I need to refer to him again. He is coming back; wonderful. Our average age now is 69 to 70. I took my seat here when I was 21. Where are the youth represented in this House? We have only two Members under 39, and 29 under 50. I do not think that is a good recommendation for an appointment system It seems to me that the best chance of getting into this House in future will be to become an MP. You could possibly increase your chances if you change party as an MP. I have a friend in Scotland who changed from the Conservative Party to the SDP-Liberal party; he was promised a peerage. He did not get it so he changed to the Labour Party. He was promised a peerage, but he did not get it. He is disillusioned with politics now. There is a serious point in there which we need to consider, and I hope it will come up as a result of Monday’s debate These words were spoken in 1999: the hereditaries are, “the ones who sit in the second Chamber not as a result of patronage”.
ParlaMint-GB_2016-12-09-lords.u33	My Lords, will the noble Earl tell the House how hereditaries got here in the first place? Were they elected or appointed by the monarch?
ParlaMint-GB_2016-12-09-lords.u34	My ancestor was given a title. I cannot remember quite what it was for; I did not talk to him about it. It was 500 or so years ago. That is why I want to get rid of us—but I also want to get rid of the life Peers as well Let me continue. The important quote from 1999 is that, “the House … will be the stronger, the more independent of patronage and the better”, and: “I believe without equivocation … that the House of Lords will be better for the 92”.—[Official Report, Commons, 10/11/99; cols. 1200-01.] Those words were spoken by my now noble friend Lord Cormack, who clearly does not now believe that He is not the only former MP to change his mind about this House. On Monday, we heard a very good speech from the noble Lord, Lord Rooker, who admitted that when he was in the House of Commons he was totally ignorant about this House and did not pay any attention to it. I totally concur with that. When I was a Minister in the 1980s, I found that my Secretaries of State were not very conversant with the procedures of this House and found us an irritation—there were then far more hereditaries—but subsequently changed their mind.
ParlaMint-GB_2016-12-09-lords.u35	Will the noble Earl assist me? I wish to listen to all the arguments. Has he just regrouped the amendments in front of us? He has spoken to a later amendment. It would be helpful to the House if such groupings were made more formal.
ParlaMint-GB_2016-12-09-lords.u36	I certainly apologise to the House for not grouping the amendment. I put the amendment down yesterday, which was rather later than I should have put it down. It came to my mind as a result of the debate we had on Monday As I said, my noble friend Lord Cormack is not the only one to have changed his mind about this House. The noble Lord, Lord Steel, when he was leader of the Liberal Party, carried the Asquith banner for the abolition of the House of Lords. When he came here, he had the chance to fulfil that, and we all hoped he would. The next leader, Mr Clegg, scuppered the next attempt to reform the House almost single-handedly. It was a great shame. I warned the Lord Speaker—he is no longer my noble friend because he is the Lord Speaker—that I would refer to him. He quite rightly suggested when he took his position that the House of Lords was a little large. He was in favour of an elected House in 1999. He said so in the debate. He also voted for and against the amendment in the same year. It was at different times: one was February or March of 1999 and the other was in November. My noble friend Lord Hailsham voted against the amendment in 1999—but he stood for election as a hereditary Peer, so he obviously thought it was quite a good idea As my noble friend Lord Strathclyde said, the debate on Monday has brought a sort of consensus that all these areas need to be looked at. I remain of the opinion that keeping the hereditaries here will bring about a speedier and more radical reform of the House of Lords, which I firmly believe is needed.
ParlaMint-GB_2016-12-09-lords.u37	My Lords, I am the beneficiary of one of these by-elections, and that has made me very shy about participating in our debate today—even more shy than I normally am. I was in two minds right up to this morning as to whether I should do so. I know that a good number of others in my position are not here, partly because they are too anxious of being branded reactionary, whatever their actual position on House of Lords reform may be. Some of the barracking we are hearing probably means they were right. On balance, I have decided that, as a beneficiary of such a system, I ought to be able to stand here and debate it. There are certainly some points I would like to make, and we may get to those, but beyond that I would like to emphasise one thing: I am going to be guided by what emerges in the debate. That is how we should do things. I am not here as a wrecker; I am here to participate in a debate, as I hope we all are.
