ParlaMint-GB_2016-03-23-commons.u1	1. If he will estimate the contribution of golf to the economy in Scotland in the last 12 months.
ParlaMint-GB_2016-03-23-commons.u22	The Government do all they can to support businesses the length and breadth of the United Kingdom in all sectors. My point is that we are able to take action and support the oil and gas sector because we are the United Kingdom. Had Scotland become independent, it would be facing a very substantial loss of revenue and have great difficulties absorbing that.
ParlaMint-GB_2016-03-23-commons.u23	3. What recent discussions he has had with the Secretary of State for Work and Pensions on the effects of the Government’s welfare programme on social and economic inequalities in Scotland.
ParlaMint-GB_2016-03-23-commons.u24	I meet my right hon. Friend the Secretary of State for Scotland and counterpart Ministers in the Scottish Government on a regular basis to discuss devolution of welfare programmes to the Scottish Government.
ParlaMint-GB_2016-03-23-commons.u25	Last week’s Budget saw one of the most iniquitous measures proposed by this Government, which was to cut the personal independence payment for 40,000 disabled people in Scotland. When did the Secretary of State for Scotland, and Ministers, first realise that that was the wrong thing to do? Was it around the Cabinet table, during the Budget statement or on Sunday when the Prime Minister was forced to backtrack?
ParlaMint-GB_2016-03-23-commons.u26	The Government’s position on PIP and disability reforms is clear, and was announced by my right hon. Friends the Secretary of State for Work and Pensions and the Chancellor.
ParlaMint-GB_2016-03-23-commons.u27	Will the Secretary of State tell the House and the people of Scotland when he realised that those cuts were wrong, or was he planning a resignation over the weekend?
ParlaMint-GB_2016-03-23-commons.u28	As I have said, the Government’s position has been made abundantly clear. If the hon. Gentleman missed the statement by the Secretary of State for Work and Pensions on Monday, I will be more than happy to share it with him again.
ParlaMint-GB_2016-03-23-commons.u29	I start by echoing the comments of the Secretary of State and the leader of the Scottish National party, and pass on my heartfelt condolences to all those involved in the events in Brussels. We will defeat terrorism, but, as the Secretary of State said, it will take solidarity and resolve Last night, the House passed a Budget that was unprecedented. It contained a £4.4 billion black hole after the Chancellor was forced to reverse his decision to cut personal independence payments. The Government’s long-term economic plan is turning into a long-term economic scam. These savage cuts, following the £1,500 a year reduction in the employment and support allowance work-related activity group, affect over 60,000 Scots. Those cuts would have gone through had it not been for the resignation of the right hon. Member for Chingford and Woodford Green (Mr Duncan Smith). Will the Minister guarantee that, when the Chancellor returns with revised public spending, no cuts will fall on the disabled and the most vulnerable?
ParlaMint-GB_2016-03-23-commons.u30	I thank the hon. Gentleman for his comments. I welcome his comments with regard to my right hon. Friend the Member for Chingford and Woodford Green (Mr Duncan Smith). The Government have been very clear that we are not proceeding with the changes and we will not be seeking an alternative offset in savings.
ParlaMint-GB_2016-03-23-commons.u31	It is clear from that answer, and from the previous answer, that the Government now have absolutely no idea what to do. They are creating untold anxiety for the people in Scotland who are affected. Let me remind the House what the former Secretary of State said: that the cuts in the Budget risked dividing society, put pounds ahead of people and were distinctly political rather than in the national economic interest. Does the Minister agree with her former Cabinet colleague, and many on her own side, that the cuts to disabled people in Scotland are not defensible? Does she want to take this opportunity to apologise, on behalf of the Scottish Conservative party, to the tens of thousands of vulnerable and disabled Scots affected by this shambles?
ParlaMint-GB_2016-03-23-commons.u32	I reiterate that the Government’s position is fundamentally clear: there will be no further changes to disability payments. The hon. Gentleman will have realised that last night the Budget was passed by the House. That was right and proper. He, of all people, should recognise that the Government are delivering on the Smith commission and devolving powers to the Scottish Government. We look forward to working with the Scottish Government on welfare reform and the delivery of employment and support programmes for the benefit and the betterment of the Scottish people.
ParlaMint-GB_2016-03-23-commons.u33	4. What recent discussions he has had with business groups on economic trends in Scotland.
ParlaMint-GB_2016-03-23-commons.u34	I regularly meet a wide range of business organisations to discuss economic issues in Scotland. As I alluded to, last week I shared a platform with the First Minister of Scotland at the annual forum of the Scottish Council for Development and Industry, where we discussed the important issue of productivity.
ParlaMint-GB_2016-03-23-commons.u35	Given that businesses in Redditch have welcomed the devolution deal for Birmingham, what representations have business groups in Scotland made to my right hon. Friend about city deals there?
ParlaMint-GB_2016-03-23-commons.u36	I have been particularly delighted at the welcome from business groups in Scotland for the announcement yesterday of the Inverness and Highland city deal. The Scottish Government, UK Government and Highland Council will deliver a £315 million package. I welcome in particular the early-day motion from the hon. Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry) and his colleagues. I pay tribute to him for his part in bringing the deal about.
ParlaMint-GB_2016-03-23-commons.u37	The Secretary of State will be aware that about 400,000 workers in Scotland earn less than the living wage. The Government claim to be on the side of working people, so why have his Scottish Tory colleagues voted repeatedly alongside the SNP Government to thwart Scottish Labour proposals to extend the living wage?
ParlaMint-GB_2016-03-23-commons.u38	I will resist the temptation to give the hon. Lady a lecture on the Scottish Labour party’s woes and the fact that it has not been a credible opposition to the SNP in Scotland. This Government are very, very clear on our proposals to increase the wages of the poorest in society by the introduction of the national living wage
ParlaMint-GB_2016-03-23-commons.u39	13. Local government clearly has a role to play in economic development. Does the Secretary of State agree that it is important that the Scottish Parliament also devolves power to local government? Might it look to England for a lead—on elected mayors, for example?
ParlaMint-GB_2016-03-23-commons.u40	I very much take my hon. Friend’s comments. When I spoke with the First Minister of Scotland at the Scottish Council for Development and Industry forum last week, I was particularly encouraged by what she said about her support for city deals. I hope that the city deals we see emerging in Scotland will not just include financial packages but go on to include greater devolution within Scotland.
ParlaMint-GB_2016-03-23-commons.u41	People in my constituency are extremely concerned about the perceived impact on the local economy and local jobs of the proposed closure of HMRC sites. What impact assessment is being made of these closures on the local economy and jobs?
ParlaMint-GB_2016-03-23-commons.u42	Initial proposals have been set out for the future shape of HMRC. We hear repeatedly in the House about the wish to make HMRC more efficient and effective, but no steps will be taken in the hon. Lady’s constituency or elsewhere without full consultation with all those involved.
ParlaMint-GB_2016-03-23-commons.u43	5. What recent discussions he has had with Ministers of the Scottish Government on UK membership of the EU.
ParlaMint-GB_2016-03-23-commons.u44	As the First Minister and I both confirmed last week when we shared a platform in St Andrews, in the hon. Gentleman’s own constituency, the official position of both the UK and Scottish Governments is that the UK is better off in a reformed EU.
ParlaMint-GB_2016-03-23-commons.u45	First, may I associate myself with the remarks about Brussels, having spent many happy years in that wonderful city? Secondly, the Secretary of State will be aware of the benefits that EU membership has brought us, such as paternal rights and holiday entitlement. Does he agree that we should focus on those benefits, not a rerun of “Project Fear”?
ParlaMint-GB_2016-03-23-commons.u46	I do not know whether the hon. Gentleman saw the details of my speech yesterday, in which I made a positive case setting out the benefits to Scotland of our remaining in the EU, but I look forward to sharing platforms over the coming weeks with him and his colleagues to make that case.
ParlaMint-GB_2016-03-23-commons.u47	Given that we have a £62 billion a year trade deficit with the EU, does the Secretary of State think that, were we to leave the EU, the Prime Minister would have the ability to negotiate a free trade deal with the EU?
ParlaMint-GB_2016-03-23-commons.u48	My position is clear: I believe that Scotland and the UK are better off in the EU under the reformed arrangement that the Prime Minister has already negotiated.
ParlaMint-GB_2016-03-23-commons.u49	14. Will the right hon. Gentleman recognise that a recent survey confirmed that the Scottish Government were one of the most trusted Governments in Europe? Does he look forward to the re-election of Nicola Sturgeon and her team so that we can continue being the most trusted Government in Europe, including beyond 23 June?
ParlaMint-GB_2016-03-23-commons.u50	I want to ensure that Nicola Sturgeon and her team are held properly to account in the Scottish Parliament, which is why I am encouraging people to vote for Ruth Davidson and the Scottish Conservatives.
ParlaMint-GB_2016-03-23-commons.u51	6. What discussions he has had with the Secretary of State for Energy and Climate Change and Ministers of the Scottish Government on withdrawal of funding for the carbon capture and storage scheme at Peterhead.
ParlaMint-GB_2016-03-23-commons.u52	I have regular discussions with the Secretary of State for Energy and Climate Change and Ministers of the Scottish Government on a number of important energy issues affecting Scotland. The most recent was last night.
ParlaMint-GB_2016-03-23-commons.u53	The Government’s own advisers on energy and climate change have warned that the cost of meeting our climate change targets could double without Peterhead and CCS. Given that the Government are having a good run on U-turns when it comes to saving the Chancellor, perhaps they would also like to make a U-turn when it comes to saving the planet—something that people feel is far more worth while.
ParlaMint-GB_2016-03-23-commons.u54	We are looking carefully at all options in developing our approach to CCS, informed by Lord Oxburgh’s CCS advisory group. In parallel, the Government continue to engage with the CCS industry—including Shell, which is leading the proposed Peterhead project.
ParlaMint-GB_2016-03-23-commons.u55	At the time of the announcement of £1 billion of funding for the CCS scheme at Peterhead, the Energy Secretary was forced to deny that it was a bribe prior to the independence referendum. Now that the withdrawal of this supposedly ring-fenced capital investment exposes it as just that, will the Secretary of State take this opportunity to apologise today to the people of Scotland?
ParlaMint-GB_2016-03-23-commons.u56	If anybody should apologise to the people of Scotland, it is the hon. Lady and her friends for suggesting that oil tomorrow would have a price of $103 a barrel. What is clear in relation to CCS is that the costs are high and must come down. We have not ruled CCS out, and we are committed to working with the industry to bring forward innovative ideas for reducing the cost of this potentially important industry.
ParlaMint-GB_2016-03-23-commons.u57	I am reluctant to refer to the Budget because we cannot be absolutely sure what is in and what is out. For example, the Chancellor’s support for the oil and gas industry is welcome, but it does not take us very far forward. Unfortunately, it appears that the Government here in London are taking their cue from the Government in Holyrood. There, the SNP Government recently axed £10 million of tax breaks for renewable firms, yet they like to see themselves as a green Administration. Are we not seeing two Governments who are confused, pursuing contradictory policies, and not knowing whether they are coming or going?
ParlaMint-GB_2016-03-23-commons.u58	I can point out one distinct difference between this Government and any Labour Scottish Government, or indeed SNP Scottish Government—and that is that we are not putting up tax for ordinary people as both those parties propose. We have made it very clear that the door is not closed on CCS, but the costs must come down.
ParlaMint-GB_2016-03-23-commons.u59	7. What discussions he has had with the Scottish Government on commencement of the fiscal powers in the Scotland Bill.
ParlaMint-GB_2016-03-23-commons.u60	The UK and Scottish Governments have met 10 times under the Joint Exchequer Committee since the election last year. These discussions resulted last month in the agreement of a new fiscal framework for the Scottish Government. Agreement on the fiscal framework enables us to deliver on the vow we made to the Scottish people and delivers one of the most powerful and accountable devolved Parliaments in the world, with the economic and national security that comes from being part of the UK.
ParlaMint-GB_2016-03-23-commons.u61	Does the Minister agree that it would be bad news for Scotland if it became the highest taxed part of the United Kingdom? Does he agree with Ruth Davidson MSP that Scottish taxpayers should not have to pay any more in tax than fellow Britons in England, Wales and Northern Ireland?
ParlaMint-GB_2016-03-23-commons.u62	The Scottish people have essentially three choices in their elections. Two of them—voting Labour or SNP—would involve paying more in income tax.
ParlaMint-GB_2016-03-23-commons.u63	Does the Minister agree with me about the Chancellor’s reckless, last-minute intervention to tweak the fiscal framework after it had been agreed by the Treasury and the Scottish Government? Is the Minister aware that the Chancellor’s brinkmanship intentions endangered the framework at the very last moment?
ParlaMint-GB_2016-03-23-commons.u64	The answer is no. An agreement has been reached. We are pleased that we have that agreement, and now it is for the Scottish Government to be held accountable by the Scottish people.
ParlaMint-GB_2016-03-23-commons.u65	8. What discussions he has had with the Chancellor of the Exchequer on the effect on Scotland of measures announced in the Budget.
ParlaMint-GB_2016-03-23-commons.u66	The Chancellor has delivered a budget that delivers for Scotland. This will be the last Budget where a UK Chancellor sets out income tax rates and thresholds for Scottish earners. The changes to the income tax personal allowance will benefit 2.6 million taxpayers in Scotland. The Budget delivers on our plans to build a stronger Scottish economy as part of the UK and put the next generation first.
ParlaMint-GB_2016-03-23-commons.u67	I congratulate the Minister on finding the Chancellor to have those discussions—earlier this week, we thought he had gone walkabout! The Budget had £1 billion-worth of cuts to the Scottish budget and £650 million-worth of cuts to the English NHS. Given the volte-face on social security cuts, does he think he could persuade the Chancellor to reverse Scotland’s cuts and put in a good word for the English NHS as well?
ParlaMint-GB_2016-03-23-commons.u68	Let me remind the House that there were three asks from the SNP: a freeze in whisky fuel duty, a freeze in fuel duty, and help for the oil and gas industry. That is exactly what the Chancellor delivered.
ParlaMint-GB_2016-03-23-commons.u69	12. Did the Secretary of State discuss with the Chancellor the merits of an £8.5 billion corporation tax cut and a £6 billion giveaway in capital gains and inheritance tax versus those of a proposed £4 billion cut in payments to the disabled, and how that would affect people in Scotland, or did he sit there and do what he was telt yet again?
ParlaMint-GB_2016-03-23-commons.u70	I remind the hon. Gentleman that 73,000 businesses in Scotland will benefit from the cut in corporation tax. Is he saying that he opposes that
ParlaMint-GB_2016-03-23-commons.u71	Q1. If he will list his official engagements for Wednesday 23 March.
ParlaMint-GB_2016-03-23-commons.u72	Adrian Ismay, a Belfast prison officer, died last week as a result of injuries caused by a bomb placed under his vehicle. A murder investigation is under way, and one man has been charged in connection with the attack, but we should today offer our condolences to the family and friends of Mr Ismay Let me also update the House on yesterday’s terrorist attacks in Brussels. Details are still emerging, but our understanding is that at least 34 people were killed and many others injured. Daesh claimed responsibility for the attacks, which follow the horrific suicide bombing that they carried out in Istanbul on 19 March. We are aware of four British nationals who were injured in the attack, and we are concerned about one missing British national We face a common terrorist threat, and I am sure that the whole House will join me in expressing our full solidarity with the people of Belgium following these terrible attacks. I spoke to the Belgian Prime Minister, Charles Michel, yesterday to pass on our condolences. Our police and agencies are doing everything they can to support the investigation. In this country, we have increased police patrols and border screening. My right hon. Friend the Home Secretary will make a statement later setting out all the steps that we are taking Britain and Belgium share the same values of liberty and democracy. The terrorists want to destroy everything that our two great countries stand for, but we will never let them Mr Speaker, this morning I had meetings with ministerial colleagues and others. In addition to my duties in the House, I shall have further such meetings later today.
ParlaMint-GB_2016-03-23-commons.u73	Bombers, everywhere and every time, aim for publicity, public reaction, and disunity. Can we disappoint them by uniting for hope, not hate?
ParlaMint-GB_2016-03-23-commons.u74	My hon. Friend is absolutely right to say that. These people packed their explosives with nails in order to kill as many innocent people, including women and children, as they possibly could. We should unite in condemnation of them, and we should stand with the people and the Government of Belgium and with all countries that are being afflicted by this appalling terrorist menace, and say that they shall never win.
ParlaMint-GB_2016-03-23-commons.u75	I support the words that have just been said by the hon. Member for Worthing West (Sir Peter Bottomley) and the Prime Minister, in solidarity with the people of Belgium and the victims of the horrific attacks that have taken place in Brussels, and also in Ankara, in the last few days. We pay respect and tribute to all their families and friends, and we pay enormous respect to the emergency services of all denominations for the huge amount of work that they have done to try to save life. We must defend our security and values in the face of such terrorist outrages, and refuse to be drawn into a cycle of violence and hatred. We take pride in our societies of diverse faiths, races and creeds, and will not allow those who seek to divide us to succeed My right hon. Friend the Member for Leigh (Andy Burnham) will respond, on behalf of the Labour party, to the statement that the Home Secretary will make at 12.30 pm. I also join the Prime Minister in sending my deepest condolences to Mr Ismay’s wife, Sharon, and his three daughters. The people of Northern Ireland made a profound choice to follow the path of peace when they widely adopted the Good Friday agreement. The actions of an unrepresentative few should not be allowed to change a course that is supported by the overwhelming majority of people in Northern Ireland Let me now raise a different subject altogether. Last week, I received a letter from Adrian. He wrote: “I’m disabled and I live in constant fear of my benefits being reassessed and stopped…and being forced onto the streets” Will the Prime Minister do what the Chancellor failed to do yesterday, and apologise to those who went through such anguish and upset while there was a threat of cuts to their personal independence payments?
ParlaMint-GB_2016-03-23-commons.u76	Let me first thank the right hon. Gentleman for what he said about the terrorist attacks in Belgium, and about Northern Ireland and the fact that we have achieved so much peace and progress in that valuable part of our United Kingdom Turning to the issue of disability benefits, as I said in this House on Monday, when you are faced with having to take very many very difficult decisions—including many spending reductions—as we were after becoming the Government in 2010, you do not always get every decision right. I am the first to accept and admit that, and on every occasion that that happens it is very important that you learn the lessons, but as we do so, we will continue to increase spending on disability benefits, which will be more than £46 billion a year by the end of this Parliament, compared with £42 billion when I became Prime Minister.
ParlaMint-GB_2016-03-23-commons.u77	Government figures published only this morning show that the number of people with disabilities and who are homeless is now up by 39% since 2010, and that 300,000 more disabled people are living in absolute poverty. That is why people like Adrian are very worried. There has been big disarray in the Cabinet over the last few days, so can the Prime Minister now absolutely and categorically rule out any further cuts to welfare spending in the lifetime of this Parliament? Simply: yes or no?
ParlaMint-GB_2016-03-23-commons.u78	Let me respond to all the points that the right hon. Gentleman has just made. First, he talked about the number of people in poverty. We have actually seen poverty fall during this Parliament. The second thing he referred to was the regrettable rise in homelessness, with figures out today, but homelessness is still 58% below the peak that it reached under Labour. That is important. He talked about the number of disabled people. This is a Government committed to supporting the disabled, but it is worth making the point that in the last two years an extra 293,000 disabled people have got into work. We want to continue to close the disability gap, as we have set out in our manifesto As for the question about further welfare reductions, let me repeat the statement that the new Welfare Secretary made on Monday and that the Chancellor made on Tuesday. I am happy to make it again. I dealt with these issues on Monday. I turned up and gave the answers even though the Leader of the Opposition had not asked the questions. We are very clear that we are not planning additional welfare savings other than the ones that we set out in our manifesto and that are in train.
ParlaMint-GB_2016-03-23-commons.u79	My question was actually about the poverty of people with disabilities, which the Prime Minister did not answer. In his failure to explain how he would fill the hole in his Budget left by the change of heart on personal independence payments, the Chancellor said: “We can afford to absorb such changes”.—[Official Report, 22 March 2016; Vol. 607, c. 1394.] If it is so easy to absorb changes of this nature, why did the Chancellor and the Prime Minister ever announce them in the first place? Will the Prime Minister now listen and learn, and withdraw the £30 per week cut to disabled employment and support allowance claimants that his Government are pursuing?
ParlaMint-GB_2016-03-23-commons.u80	The changes to employment and support allowance have been through both Houses of Parliament. It is important to note that employment and support allowance for the most disabled—that is, those in the support group—is up by almost £650 a year under this Government. We have increased the higher rate of attendance allowance, we have increased carers allowance, and we have increased the enhanced rate of PIP because we believe that a strong economy should support the most disabled people in our country, and that is exactly what we have legislated to do If the right hon. Gentleman wants to get on to discussing black holes, I say bring on the argument. We inherited an 11% budget deficit from the Labour party, and under this team of Ministers and this Chancellor of the Exchequer we have cut that deficit by two thirds since we became the Government. From Labour, all we have had is more proposals for more spending, more welfare, more taxes and more debt—all the things that got us into the biggest mess with the biggest black hole in the first place.
ParlaMint-GB_2016-03-23-commons.u81	If it is all so fine and dandy, the question has to be asked: why did the right hon. Member for Chingford and Woodford Green (Mr Duncan Smith) feel it necessary to resign as Work and Pensions Secretary, complaining that the cuts being announced were to fit arbitrary fiscal targets? He said that they were “distinctly political rather than in the national economic interest” In the initial announcement, he proposed cuts to PIPs then changed his mind. Is not the right hon. Member for Chingford and Woodford Green right when he says that this was a political decision rather than one made in the interests of people in this country?
ParlaMint-GB_2016-03-23-commons.u82	I believe that after seven or eight years of economic growth it is right to be targeting a surplus, because a responsible Government put aside money for a rainy day. I do not want to be part of a Government that do not have the courage to pay off our debts and leave them instead to our children and grandchildren. That is the truth. What is dressed up as compassion from the party opposite just means putting off difficult decisions and asking our children to pay the debts that we were not prepared to pay ourselves. [Interruption.] I do not know why the shadow Leader of the House, the hon. Member for Wallasey (Ms Eagle), is shouting at me. We have a very interesting document today: the spreadsheet showing which Labour MPs are on which side. The hon. Lady is shouting, but it says here—[Interruption.] No, no, it says she is “neutral but not hostile”. On the other hand, the Opposition Chief Whip is being a bit quiet. There are five categories. We have “core” support—[Interruption.] I’ve got all day, Mr Speaker. We have “core” support—I think you can include me in that lot very strongly. We have “core plus”. The Opposition Chief Whip is being a bit quiet because she is in “hostile”. And I thought I had problems!
ParlaMint-GB_2016-03-23-commons.u83	Let me invite the Prime Minister to leave the theatre and return to reality. The reality is that he has presided over a Budget that unravelled in two days and now contains a £4.4 billion black hole. He may wish to consult the Chancellor on yet another change of heart on this matter. Will he now consult the Chancellor and tell the country who is going to pay for the black hole? Will it be through cuts or tax rises? Where will the cuts fall? Where will the tax rises take place, as £4.4 billion has to be found from somewhere?
ParlaMint-GB_2016-03-23-commons.u84	Suddenly the king of fiscal rectitude speaks. The right hon. Gentleman may have noticed that the Budget passed last night. It is a Budget that cuts the deficit in every year of this Parliament. It is a Budget that delivers a surplus by the end of this Parliament. None of that is going to change. He talks about this Budget—[Interruption.] The “hostile” shout, but the “neutral but not hostile” have to be quiet, I think. I want to know: hands up, who is “core plus” I will tell you what this Budget did. It took a million people out of income tax. It saw more money for our schools. It helped the poorest people in our country to save. It cut taxes for small businesses. It cut taxes for the self-employed. It made our economy stronger. It made our country fairer. It is a Budget that will help this country do better.
ParlaMint-GB_2016-03-23-commons.u85	The truth is that it was a Budget that fell apart in two days. The truth is that many people with disabilities went through the most unbelievable levels of stress and trauma after the PIP announcement was made. There are many people who are still going through stress and trauma in our society. There are still—[Interruption.] I am not sure that the Government Members who are shouting so loudly have any idea what it is like to try to balance a budget at home when you do not have enough money coming in, the rent is going up and the children need clothes.
ParlaMint-GB_2016-03-23-commons.u86	Order. There is too much shouting on both sides of the House. Stop it. The public are bored stiff by it. The right hon. Gentleman will finish his question and we will have an answer. There will be no shouting from Members of any grouping. That is the message.
ParlaMint-GB_2016-03-23-commons.u87	The Budget has to mean something for everybody in our society, however poor and however precarious their lives are. This Budget downgraded growth, downgraded wage growth and downgraded investment. The Chancellor has failed on debt targets and failed on deficit targets, as the official figures have shown. The fiscal rule is quite simply failing. The Treasury Committee scrutinised the Government’s fiscal rule and could not find any credible economist who backed it. Can the Prime Minister find anybody who backs a policy and a Budget with a big hole in it which downgrades every single forecast the Government set themselves before the Budget was made?
ParlaMint-GB_2016-03-23-commons.u88	The right hon. Gentleman is just a bit late, because the Budget passed through this House with large majorities on every single vote. Let me remind him: this Government are spending more on the disabled than in any year under the last Labour Government. We are spending more on the most disabled, including the most disabled children in our country. We have got more disabled people into work than ever happened under Labour. What we see with this Budget is the background of an economy that is growing, where employment is at a record high, investment is rising and businesses are creating jobs in Britain, which is the envy of other European economies. It is because we have a strong economy that we are able to provide this support. That is what we see: Britain getting stronger and the Labour party a threat to the economic security of every family in our country.
ParlaMint-GB_2016-03-23-commons.u89	Q2. I am sure the Prime Minister is as appalled as I am that incidents involving anti-Semitism are on the rise. Does he agree that all organisations, public and private, should root out anti-Semitism, without hesitation?
ParlaMint-GB_2016-03-23-commons.u90	I completely agree with my hon. Friend; anti-Semitism is an absolute cancer in our societies and we should know that when it grows it is the signal of many even worse things happening to ethnic groups and different groups all over our country. There is, sadly, a growth of anti-Semitism in our country and we see it in attacks on Jewish people and Jewish students—it absolutely has to be stamped out. We should all, whatever organisation we are responsible for, make sure that happens. I have to say that we do see a growth in support for segregation and indeed for anti-Semitism in part of the Labour party, and I say to its leader that it is his party and he should sort it out. [Interruption.]
ParlaMint-GB_2016-03-23-commons.u91	Order. This sort of gesticulation across the Chamber is way below the level and the dignity of senior Members on the Front Bench on either side. It is terribly tedious—cut it out.
ParlaMint-GB_2016-03-23-commons.u92	When terrorists attack Brussels or Paris or London or Glasgow, we are as one in our condemnation of the atrocities, as we equally condemn the killings of Yazidis, of Kurds, of Syrians and of Iraqis by Daesh and others extremists. We owe a huge debt of gratitude to those who work here and abroad to protect us in the face of the ongoing terrorist threat, so will the Prime Minister confirm that absolutely everything is being done to help the Belgian authorities and the people of Belgium in the wake of the Brussels attacks?
ParlaMint-GB_2016-03-23-commons.u93	I can certainly confirm that. In my conversations with the Belgian Prime Minister I made a number of offers of policing and intelligence assistance that we could give, particularly on high-end, expert and technical capabilities. There are already some intelligence officers embedded with the Belgian authorities and there is strong police-to-police co-operation. Clearly, the Belgians are coping with an unprecedented situation in their country. We stand ready to do anything more we can and we are also, clearly, examining all the capabilities and things that we have here to see what more we can do to safeguard our own country.
