ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u23	I am grateful for the question, because the hon. Gentleman is absolutely right to point out that there is no symmetry whatever between the actions of the Russians and the Assad regime, and the Americans and others on the other side. Just in the last 11 months, Russian bombing alone has been responsible for the deaths of 3,189 civilians, of whom 763 were children. In those circumstances, it is absolutely right that we should be keeping up the sanctions regime not just on Russia but on key members—key associates—of the Putin regime.
ParlaMint-GB_2016-10-18-commons.u24	Does my right hon. Friend agree that the particularly vile activities, which he has so eloquently described, of Russia in Syria have been allowed to happen because of several years of weakness and inconsistency in western policy towards that area? Does he further agree that if we want to hold the ring, the importance of being seen to be absolutely solidly behind NATO has never been stronger?
ParlaMint-GB_2016-10-18-commons.u25	My hon. Friend is of course absolutely right to say that the vacuum left by the decision of, I am afraid, this House and, indeed, the Obama Administration in 2013 not to oppose the Assad regime has allowed the Russians to move into that space. It is vital that we keep up the pressure not just with sanctions but with the threat of justice in the International Criminal Court.
ParlaMint-GB_2016-10-18-commons.u26	Is it not unfortunate that, in Russia itself, print and social media are being gagged? Hence the reason I have little sympathy for the complaints made today by Russia Today, which is undoubtedly a form of propaganda constantly used by Putin and his gang. What is now happening as far as the media are concerned is surely the same as happened under communism and, before that, tsarism: repression at home, and hostility and aggression abroad.
ParlaMint-GB_2016-10-18-commons.u27	I am afraid that the hon. Gentleman is absolutely right. I noted the decision of NatWest bank to withdraw support for RT. That was a wholly independently taken decision, I wish to assure the House, in spite of what we may have heard this morning from Moscow. One of the things we are doing to promote free and fair information in Russia is, of course, to support the BBC World Service.
ParlaMint-GB_2016-10-18-commons.u28	Oleg Sentsov is a Ukrainian film maker imprisoned for 20 years in Russia for his pro-Ukrainian views. Will the Government send a strong message to the Russian Government condemning Sentsov’s imprisonment and demanding his immediate release?
ParlaMint-GB_2016-10-18-commons.u29	We are indeed concerned by the number of Ukrainian nationals who have voiced their opposition to what has happened—the illegal annexation of Crimea—and who face lengthy jail sentences, including Mr Sentsov and Mr Oleksandr Kolchenko. We are appealing to the Russian authorities to release them immediately.
ParlaMint-GB_2016-10-18-commons.u30	Last March, President Putin was praised for his ruthless clarity in retaking Palmyra. By August, the Foreign Secretary had said that he wanted to normalise relationships with Russia, and last week he called for the people to demonstrate outside the Russian embassy in London. Where is the political consistency, and how does this approach build trust in the diplomatic community?
ParlaMint-GB_2016-10-18-commons.u31	I think the House will have heard very clearly that on matters where we can co-operate with Russia it is absolutely vital that we do so. On the point about demonstrations outside the Russian embassy, I merely draw attention to the paradox and the peculiarity that the Stop the War Coalition has never seen fit to demonstrate against the barbarism taking place in Aleppo.
ParlaMint-GB_2016-10-18-commons.u32	Will the Foreign Secretary take this opportunity to welcome the visit this week of Patriarch Kirill, the head of the Russian Orthodox Church, who is meeting the Queen? I know a bit about Russian Orthodoxy, having been married within the Church. The Russian Orthodox Church has suffered appallingly, particularly in Soviet times, but it is growing now. This is an opportunity for the Foreign Secretary to make it clear that whatever our differences with the Russian Government at the moment, we have absolutely nothing but support for the Russian people and her faith, and their perseverance in times of trial.
ParlaMint-GB_2016-10-18-commons.u33	I defer to my hon. Friend’s knowledge of the Russian Orthodox Church. It is important that we keep open all lines of communication. Archbishop Kirill may have some interesting points to make. It would be even more important if he took back a message from the UK that we do not tolerate what is happening in Crimea, in eastern Ukraine, and, above all, in Syria. I hope that his visit will be a factor for change in the Kremlin.
ParlaMint-GB_2016-10-18-commons.u34	3. What recent discussions he has had with his international counterparts on the outcome of the EU referendum.
ParlaMint-GB_2016-10-18-commons.u35	8. What recent discussions he has had with his counterparts in other European countries on the timetable for the UK leaving the EU.
ParlaMint-GB_2016-10-18-commons.u36	10. What recent discussions he has had with his international counterparts on the outcome of the EU referendum.
ParlaMint-GB_2016-10-18-commons.u37	Since becoming Foreign Secretary, I have engaged with many of my counterparts across Europe and beyond, including partners as far afield as Turkey and Japan. Those discussions have of course touched on the outcome of the referendum and the Government’s plans to enact the result.
ParlaMint-GB_2016-10-18-commons.u38	My right hon. Friend kindly visited my constituency last year, so he will know that there are many Japanese employers in Telford. Will he please tell the House what assurances he has given to his Japanese counterpart that post-Brexit global Britain is still a great place to do business?
ParlaMint-GB_2016-10-18-commons.u39	My hon. Friend will know that since the referendum result there has been a £24 billion investment from Japan in this country from SoftBank alone, and Japanese investment continues to come into this country. I think that all Japanese investors, and indeed investors around the world, can be secure in the knowledge that we will get the best possible deal for goods and services that will allow their companies to flourish and to prosper in this country as never before.
ParlaMint-GB_2016-10-18-commons.u40	The Secretary of State will be aware that the timetable for leaving is triggering instability and uncertainty in the economy, so much so that the Cabinet is considering spending billions to keep single market access for the City of London. What is the timetable for the same support to be applied to Scotland, where 62% of us voted to remain?
ParlaMint-GB_2016-10-18-commons.u41	The people of Scotland obviously had a referendum in 2014 and voted convincingly to remain in the United Kingdom. This was a United Kingdom decision. We will continue the negotiations as a United Kingdom, and we will get a fantastic deal for this country and a strong deal for the EU—both a strong UK and a strong EU.
ParlaMint-GB_2016-10-18-commons.u42	The Honourable Luigi Di Maio, the deputy speaker of the Italian chamber of deputies, whom my hon. Friend the Member for Gainsborough (Sir Edward Leigh) and I met three weeks ago, confirmed in yesterday’s edition of The Times that Britain should retain access to the single market and control its migrants. Will the Foreign Secretary reciprocate by confirming on Italian media the welcome comments made by the Honourable Luigi Di Maio? Will he also confirm that Italians continue to be welcome across the United Kingdom?
ParlaMint-GB_2016-10-18-commons.u43	Tutti gli Italiani sono benvenuti a Londra.
ParlaMint-GB_2016-10-18-commons.u44	Not allowed!
ParlaMint-GB_2016-10-18-commons.u45	I am sorry—forgive me I am very grateful to my hon. Friend for his question. I think that Rai TV has been requesting an interview with me for some time on this matter, and that is the most ingenious interview application I have yet heard. I will certainly do what I can to assist. Italians and all nationals from EU member states can have the assurance that their status here will of course be protected, provided that there is symmetry and reciprocity on the other side.
ParlaMint-GB_2016-10-18-commons.u46	When the Secretary of State met John Kerry recently, did he have the opportunity to discuss the American chamber of commerce report, which will apparently land in the Cabinet Office this week and which warns that American companies with $600 billion-worth of investment in Britain are currently reviewing the situation because of uncertainty about our future unfettered access to the single market? Next time the Brexit Sub-Committee of the Cabinet meets, will the Secretary of State support the Chancellor in standing up to the hard Brexiteers, who seem to want to do such untold damage to our economy?
ParlaMint-GB_2016-10-18-commons.u47	I have not yet seen the American chamber of commerce report because, by the right hon. Gentleman’s own account, it has not yet been published. I have no doubt that American companies, in common with all companies around the world outside the UK and the EU, will find the UK in future an even better place to invest in and to bring their corporations to, because of the natural advantages of time zone, language and skills that this country enjoys.
ParlaMint-GB_2016-10-18-commons.u48	Given that the 170-odd countries outside the EU successfully trade with it—some have trade deals and some do not—what does the Secretary of State have to say to those pessimists and remoaners who continue to believe that we, with the fifth largest economy in the world, cannot thrive outside the EU, particularly given his additional list of suggestions and the fact that business costs are relative and it costs a lot more to do business on the continent?
ParlaMint-GB_2016-10-18-commons.u49	I am grateful to my hon. Friend. I deprecate the terms “pessimists”, “gloomadon-poppers” and “remoaners”. We are all in this together and everybody wants to make a great success of Brexit. I have no doubt at all that this country will be able to do a fantastic deal with our friends and partners in the European Union, and simultaneously become even more attractive to investors from around the world, with a new series of stunning free trade agreements.
ParlaMint-GB_2016-10-18-commons.u50	How does the Foreign Secretary explain to his counterparts his support for Turkey’s accession to the European Union, since that was used by the Brexiteers as a reason for getting the UK out? Did he campaign for Turkey’s accession in order to get the UK out, or did he campaign for the UK to get out in order to support Turkey’s accession?
ParlaMint-GB_2016-10-18-commons.u51	The right hon. Gentleman will know, because we had a debate on this very subject during the course of the referendum campaign, that I am a passionate advocate of Turkish membership of the EU, if that is indeed what the Turks want—sometimes they seem to change their minds these days—always provided that the UK has left before that day.
ParlaMint-GB_2016-10-18-commons.u52	I have here an article written by the Foreign Secretary—I think there is only one of this one—in which he argues, immediately after the referendum campaign, for full participation in the single marketplace. If it was okay for the leader of the Brexiteers to argue for full participation in the single marketplace after the referendum, why is it not okay for people on this side of the House to try to force that issue to a vote in the House of Commons?
ParlaMint-GB_2016-10-18-commons.u53	The right hon. Gentleman will know full well that it is completely unrealistic to expect the Government to put their negotiating position to a vote in this House before those negotiations are concluded. That has never happened before. I remember all sorts of negotiations on Maastricht and other European treaties, and they were never put to this House before they were concluded, as he knows full well.
ParlaMint-GB_2016-10-18-commons.u54	There has been reference to the draft newspaper column in favour of remain that the Secretary of State wrote in February. He wrote: “This is a market on our doorstep, ready for further exploitation by British firms…Why are we so determined to turn our back on it?” The argument he made back then is exactly why we on this side of the House are so concerned about a hard Brexit that would put our access to the market at risk and risk the jobs of British people. Why does the Secretary of State no longer agree with himself?
ParlaMint-GB_2016-10-18-commons.u55	Most people will understand that the arguments have moved on and that the people have spoken overwhelmingly. Indeed, one of the most powerful cases that could possibly have been made for leave was to be found in the article that I wrote for remain. Everybody who has read it has told me that they emerged from it feeling a profound sense of obligation to leave the European Union, and they were quite right. That analysis, I am afraid, is absolutely justified and I am delighted that the people voted accordingly.
ParlaMint-GB_2016-10-18-commons.u56	4. What progress he has made on diplomatic negotiations with his counterparts in countries bordering Syria to allow (a) aid to reach refugees and (b) refugees to leave safely.
ParlaMint-GB_2016-10-18-commons.u57	We support the UN’s response to the Syria crisis and its regional impact. We have allocated £1.1 billion to Syria’s neighbours to help them to meet their humanitarian obligations, while maintaining border security. We work closely with them to provide humanitarian aid, as well as job and education opportunities for refugees.
ParlaMint-GB_2016-10-18-commons.u58	An estimated 75,000 to 100,000 refugees, mostly women and children, are trapped without food and with little aid in the Berm, an area of no man’s land on the Syrian-Jordanian border. Given that Jordan already has thousands of refugees, if the next military target is to be Raqqa, the capital of ISIS, with an inevitable further flow of refugees towards the Jordanian border, what will the Foreign Secretary do to assist Jordan now and in the future?
ParlaMint-GB_2016-10-18-commons.u59	We are in regular contact with the Jordanian authorities to assist the humanitarian situation in the Berm. We are one of the biggest deliverers of aid to the area. In recent months we have had meetings on several occasions with the Government of Jordan to try to address growing concerns about conditions, and I know that the Prime Minister has raised that.
ParlaMint-GB_2016-10-18-commons.u60	One of the many barriers to creating safe routes out of Syria is the Syrian Government’s practice of declaring stolen passports belonging to those who oppose them. Will the Foreign Secretary, as a matter of some urgency, speak to his colleague the Home Secretary about the position of Zaina Erhaim, an award-winning Syrian journalist who recently had her passport confiscated as she came into Heathrow?
ParlaMint-GB_2016-10-18-commons.u61	I am aware of the case. It is very difficult, because we must, in law, confiscate passports that have been stolen, but we are doing what we can to assist the lady in question.[Official Report, 8 November 2016, Vol. 616, c. 4MC.]
ParlaMint-GB_2016-10-18-commons.u62	I thank the Secretary of State for that update. As he knows, the United Nations envoy to Syria, Staffan de Mistura, has described the presence of some 1,000 jihadi fighters in eastern Aleppo as an “easy alibi” for the Russian and Syrian forces to justify their bombardment. Will the Secretary of State today support de Mistura’s proposals to offer the jihadi fighters some sort of passage out of the city so that they can be dealt with in an international criminal court?
ParlaMint-GB_2016-10-18-commons.u63	The reality is that no such proposal can conceivably be made to work in the absence of a cessation of hostilities by the Russians and the Assad regime. That is the precondition. A durable and convincing ceasefire must be delivered by the Assad regime before any such proposal can conceivably be made to work.
ParlaMint-GB_2016-10-18-commons.u64	5. What recent assessment he has made of the security situation in Somalia; and if he will make a statement.
ParlaMint-GB_2016-10-18-commons.u65	I visited Mogadishu in August and was pleased to see that after decades of civil war and transitional governance, Somalia is now making significant and remarkable progress. However, security and governance need to improve, and al-Shabaab is far from defeated.
ParlaMint-GB_2016-10-18-commons.u66	The Foreign Office deserves great credit for making us the only EU country to reopen its embassy in Mogadishu, as announced in the Anglo-Somali summit in February 2012 at Lancaster House. Does the Minister agree that now that al-Shabaab has been pushed out of Mogadishu and other cities such as Kismayo and Baidoa, it is essential that local government structures are built up so that communities can be properly represented? What is the Foreign Office doing to help that?
ParlaMint-GB_2016-10-18-commons.u67	First, I pay tribute to my hon. Friend for organising, as former Africa Minister, the very conference that he mentioned on Somalia in 2012, which helped to galvanise international support for Somalia. He is absolutely right. We need to work on the governance structures, and a federated model has come to the fore. We need to support the AMISOM troops as well. There is much work to be done. Although al-Shabaab has been pushed out of the capital cities, it is still in the south of the country.
ParlaMint-GB_2016-10-18-commons.u68	While considering the security situation in Somalia, how does the Minister assess the role of Ethiopa, and what impact is the continued detention of British citizen Andy Tsege having on our relations with the Ethiopian regime?
ParlaMint-GB_2016-10-18-commons.u69	I am aware of the state of emergency that Ethiopia has introduced, and I will certainly look at the consular case that the hon. Gentleman raises and perhaps write to him with more details. However, I would pass on congratulations to Ethiopia, Kenya, Uganda and the other countries that are providing forces and making an important contribution to the support and stability of Somalia.
ParlaMint-GB_2016-10-18-commons.u70	6. What representations he has made to his Russian counterparts on the bombings of civilian areas and humanitarian aid convoys in Aleppo.
ParlaMint-GB_2016-10-18-commons.u71	I met Russian Foreign Minister Lavrov in New York on 21 September, which was two days after the bombing of the aid convoy, and we obviously focused on Syria in those discussions. As I have told the House already, I pressed him to do what I think the world wants Russia to do, which is to bring pressure to bear on the Assad regime to have a ceasefire.
ParlaMint-GB_2016-10-18-commons.u72	The Foreign Secretary may not be its biggest fan, but even the European Council yesterday found that Russia’s use of chemical weapons and its targeting of civilians are war crimes. Having now distanced himself from demos at the embassy, will he make sure that the UK leads in advocating UN veto restraint, because as long as Russia has such a “get out of jail free” card, resolutions will be ignored and an appalling situation will get worse?
ParlaMint-GB_2016-10-18-commons.u73	The hon. Lady will be interested to know that at that European Council—I participated in it fully and, if I may say so, happily, because we are still fully paid-up members—the UK delegation introduced language specifically targeting Russia and took out language seeking to create a false equivalence between Russia and the US.
ParlaMint-GB_2016-10-18-commons.u74	Does my right hon. Friend remember that in 2005, Her Majesty’s Government, along with every other member of the General Assembly of the United Nations, signed up to the responsibility to protect? Having just voted to take back control in this country, is it not appalling that we are bowing down to a bully in the middle east who, instead of taking seriously their responsibility to protect, is brutalising and murdering millions of people in Syria?
ParlaMint-GB_2016-10-18-commons.u75	My hon. Friend is quite right. As you will appreciate, Mr Speaker, the UK has been in the lead in the UN Security Council in bringing pressure to bear on Russia not just on its use of chemical weapons, but on its continuing refusal to get the Syrian regime to have a ceasefire. Furthermore, we are in the lead in trying to bring all responsible parties to the International Criminal Court.
ParlaMint-GB_2016-10-18-commons.u76	In response to this and other atrocities, the Foreign Secretary said in the Commons last week that “more kinetic options” should be considered, but then only the day before yesterday, emerging from his talks, he said there was little interest, to say the least. Please will he reassure the House that the UK will play its full role in urging other nations to accept that that may be the only way to make Russia back down?
ParlaMint-GB_2016-10-18-commons.u77	I am grateful to the hon. Gentleman, and I have to say that I admire his spirit and the urgency that he has brought to this debate. I think the mood is certainly changing in this country. I do not yet detect a sufficient appetite in the capitals of the west, and certainly not yet in the White House, for the kind of action that I think could be useful, but, as Secretary Kerry said, nothing is “off the table”.
ParlaMint-GB_2016-10-18-commons.u78	7. What discussions he has had with the Secretary of State for International Trade on promoting trade with Africa during and after the process of the UK leaving the EU.
ParlaMint-GB_2016-10-18-commons.u79	Following the EU referendum result and the formation of the Department for International Trade, both the Foreign Secretary and the Secretary of State for International Trade have been engaged in positioning us as a partner of choice for countries across Africa.
ParlaMint-GB_2016-10-18-commons.u80	As chair of the all-party group on Africa, I recently led a delegation to Namibia and South Africa to look at trade and economic development. There is huge concern there and across Africa about the impact of Brexit, particularly on the European economic partnership agreements that currently govern trade agreements. This is undermining developing economies. Will the Minister confirm that leaving the single market will mean abandoning these agreements, and will he estimate how long it will take to negotiate agreements with each of the 54 African countries?
ParlaMint-GB_2016-10-18-commons.u81	May I first pay tribute to the work the hon. Lady does on the all-party group on Africa, and indeed to the work of all such all-party groups and of the Prime Minister’s trade envoys, many of whom are in the Chamber? That work reflects our desire to do more business post-Brexit. We are trusted, we are engaged and indeed we are committed to doing more in those countries, and South Africa is just one example of that. She raises the very important point that a number of countries have signed deals or are about to sign deals with the European Union on trade; some of them are now bowing out, saying, “Let’s wait to see what happens with Brexit.” It is important that we strike the necessary bilateral deals as we move forward.
ParlaMint-GB_2016-10-18-commons.u82	As well as encouraging trade with Africa, what can Her Majesty’s Government do to increase trade between African countries, particularly in the Great Lakes area?
ParlaMint-GB_2016-10-18-commons.u83	I pay tribute to my predecessor as Minister for Africa for the superb work he did in pioneering and strengthening Britain’s relationship with this important continent. These countries want to do business with us: we want to do business with them. It is important that they are also encouraged to do business with each other. The Great Lakes is a great example of that—a massive infrastructure project is being carried out to get oil out of the country through a number of other countries. It will also assist countries such as South Sudan, which could do with the revenue. Britain can come forward with our expertise in that area.
ParlaMint-GB_2016-10-18-commons.u84	It took the European Union 12 years to negotiate the economic partnership agreement between itself and Botswana, Lesotho, Mozambique, Namibia, South Africa and Swaziland, which was finally signed in June. Will the UK Government seriously have to begin that process all over again?
ParlaMint-GB_2016-10-18-commons.u85	I suggest to the SNP that they understand where we are now. The result is there and Brexit is where we are—that has been made clear already. We now have an opportunity to embrace it and go to those countries and sign deals. That is where we should be, not looking through the small print to ask why we cannot do any of those things.
ParlaMint-GB_2016-10-18-commons.u86	From the Gambia to South Africa, the Commonwealth offers great potential for expanding trade with Africa. Will the Minister make sure that we make full use of those opportunities to secure trade deals and get exporting to those emerging economies?
ParlaMint-GB_2016-10-18-commons.u87	When trade opportunities arise, it is not simply just having companies that want to work there, it is also the element of trust that exists between the two nations. Our legacy, heritage and history—and the trust that exists—are exactly what we need to leverage, as well as the wonderful companies that we have to provide support across a wide range of sectors.
ParlaMint-GB_2016-10-18-commons.u88	9. What recent discussions he has had with his (a) Iraqi and (b) other international counterparts on the political situation in Iraq.
ParlaMint-GB_2016-10-18-commons.u89	I met the Iraqi Foreign Minister, Dr Ibrahim al-Jaafari, last week here in London at the Iraq-UK bilateral forum. The Foreign Secretary and I met other Foreign and Defence Ministers at the Washington conference on defeating Daesh held in the summer.
ParlaMint-GB_2016-10-18-commons.u90	As my hon. Friend will know, the Kurdistan regional government has, for a long time, been short-changed—if not cut off completely—by the Government in Baghdad. Although there are some promising signs, Iraqi federalism needs to be genuine, with reliable revenue sharing. Will my hon. Friend convey that to his Iraqi counterparts and remind them of the contribution that the Kurds and the peshmerga are making in pushing back the advances of Daesh?
ParlaMint-GB_2016-10-18-commons.u91	I join my hon. Friend in paying tribute to the incredible work and bravery of the peshmerga. They are one of the toughest fighting forces in Iraq, and it is important that they are working with the newly trained Iraqi forces in the liberation of the city of Mosul, which has now begun. He is also right to raise concerns about the relationship between Kurdistan and the rest of Iraq. We have long maintained that it is important, and in our interests, to see a united Iraq, but recognising the federated models. It is in the constitution and, to that end, I was pleased that the bilateral forum that we had last week also included Falah Mustafa, the spokesman on foreign affairs for Kurdistan.
ParlaMint-GB_2016-10-18-commons.u92	When I visited Iraq earlier this year with the Defence Committee, it was clear that we were moving much more slowly politically than we were militarily. What support is the Minister providing to Iraqi politicians more broadly to help to keep up with the military solutions as we progress in Mosul?
ParlaMint-GB_2016-10-18-commons.u93	I welcome visits such as that conducted by the Defence Committee. The more engagement we have to see what is happening on the ground, the better we can understand the challenges that are faced. The hon. Lady is right to highlight one challenge that Iraq faces. As Daesh is pushed out of the country, more and more focus will be on the domestic matters that will then start to plague it. Sectarian tensions remain, the de-Ba’athification process still needs to come through, and we still need to look at counter-terrorism laws and accountability laws that must be pushed through. I can guarantee, however, that our embassy and our ambassador, Frank Baker, are doing excellent work to support the Government of Iraq.
ParlaMint-GB_2016-10-18-commons.u94	I know the good work that Ambassador Frank Baker and his colleagues are doing in Baghdad and Erbil to make progress move along, and we should be very appreciative of their efforts On political developments in particular, what are the Minister’s observations on whether lessons have been learned on the issue of Sunni exclusion, which has so bedevilled political development in Iraq in recent years, and does he have greater hopes that the current Government will address that issue as the country moves forward?
ParlaMint-GB_2016-10-18-commons.u95	This is quite a collection, as my right hon. Friend is now the third former Minister for either the middle east or Africa whom I have addressed. It is an honour that they are here providing their wisdom to the Chamber—[Interruption.] I will watch my back My right hon. Friend is absolutely right to focus on the sectarian tensions I mentioned. We got it wrong, or rather Iraq got it wrong under the Malaki Government back in 2013. The absence of including Sunnis in Iraqi society led to the creation of the space for Daesh in the first place. The United Nations Development Programme and the Iraqi Government are working extremely hard to make sure that we get this right. The day after the guns fall silent in Mosul, what happens next? There must be a Sunni-led approach to ensuring that there is peace in Mosul.
ParlaMint-GB_2016-10-18-commons.u96	No one can dispute the comprehensiveness of the Minister’s answers, for which we are grateful, but we do have time constraints.
ParlaMint-GB_2016-10-18-commons.u97	The hon. Member for South Basildon and East Thurrock (Stephen Metcalfe) mentioned the Kurdistan Regional Government, and the Minister will be aware that the KRG is hosting not just hundreds of thousands of refugees from Syria, but potentially 1 million internally displaced Iraqis. As they are not refugees, they do not receive the support or recognition that they need. If the conflict in Mosul leads to hundreds of thousands more refugees, will the Minister provide more support from our Government to the KRG?
ParlaMint-GB_2016-10-18-commons.u98	The hon. Gentleman touches on a very serious matter that is challenging, to say the least. The UNDP recognises that once the liberation of Mosul takes place, refugees will flood out of the capital city in different directions, including into Kurdistan. When I visited, the camps were not in place. The refugees were in schools, preventing the beginning of the school curriculum in September. We pay tribute to the work of Kurdistan. Indeed, much in our DFID programmes has gone to support refugees in that part of Iraq.
ParlaMint-GB_2016-10-18-commons.u99	The effort to free all areas of Iraq from Daesh control is fully supported on the Labour Benches. The ongoing effort to retake Mosul will play a vital role in that strategy. How does the Minister plan to ensure that the civilian population will be protected from the fighting and that civilians fleeing Mosul will receive the humanitarian help that they need?
ParlaMint-GB_2016-10-18-commons.u100	As I mentioned, the UNDP is co-ordinating all aspects of the UN. Working with the Iraqis, it is taking the lead on the stabilisation and reconstruction of the city. Prime Minister Abadi has made it clear that no peshmerga—no Kurdish forces—or Shi’ite mobilisation forces should enter the city. This is a predominantly Sunni city and it should be liberated initially by Sunni Iraqi forces. A civilian-trained police force will provide important security after that.
ParlaMint-GB_2016-10-18-commons.u101	11. What recent discussions he has had with the Syrian opposition.
ParlaMint-GB_2016-10-18-commons.u102	I spoke to Dr Riad Hijab, the general co-ordinator of the Syrian High Negotiations Committee, on 6 October and again on 13 October. We discussed the importance of the Syrian opposition’s continued commitment to the political process.
ParlaMint-GB_2016-10-18-commons.u103	What importance does my right hon. Friend attach to countries in the region in bringing together the Syrian opposition?
ParlaMint-GB_2016-10-18-commons.u104	I am most grateful to my right hon. Friend. As the House may know, on 7 September we had a meeting in London, together with the High Negotiations Committee led by Dr Riad Hijab, of the interested parties in the region. He set out what I think was a very compelling case for a post-Assad Syria with a broad-based Government and pluralist democracy. I think they have a plan for 30% female representation in their politics, which is perhaps better even than the Labour party. He answers one of the key questions: is there a future for Syria after Assad? There most certainly is—and a great one, too.
ParlaMint-GB_2016-10-18-commons.u105	Order. I am saving the hon. Member for Huddersfield (Mr Sheerman) up. I call Alison McGovern.
