ParlaMint-GB_2016-01-21-commons.u1	1. What steps his Department is taking to support small production companies based in Cornwall.
ParlaMint-GB_2016-01-21-commons.u64	Good progress is being made on the BBC charter review programme. The consultation launched in July received 192,000 responses. We are, of course, committed to reading and analysing all of them, and we reached 150,000 earlier this month. In addition, I have commissioned further reviews and research, including an independent review of governance and regulation led by Sir David Clementi. In the coming months, my Department will work towards publishing proposals for the future of the BBC.
ParlaMint-GB_2016-01-21-commons.u65	Does the Minister not accept that the huge number of responses to the consultation—the second largest response to any Government consultation—shows the concern for and interest in the BBC? In the interests of full transparency, will the Secretary of State now give, as my constituents are demanding, a specific timetable for the Government publishing their full response to the BBC consultation?
ParlaMint-GB_2016-01-21-commons.u66	As I say, I am very pleased about the volume of responses we have had, although approaching 150,000 of them came in within 48 hours; 38 Degrees has boasted of its success in generating all those responses. That does not mean they are not valid expressions of opinion; it just means that perhaps they are not wholly representative of public opinion at large. However, we are committed to reading every one. That is proving a logistical challenge and it has taken longer than we anticipated, but we will be publishing both a summary of the consultations and our proposals as soon as we are able.
ParlaMint-GB_2016-01-21-commons.u67	There have been persistent reports that, as a part of cost-cutting, the BBC will downgrade news coverage and its parliamentary coverage. Does the Secretary of State agree that the public reasonably expect a news channel and comprehensive parliamentary reports to be essential parts of a public service broadcaster’s remit?
ParlaMint-GB_2016-01-21-commons.u68	My hon. Friend will understand that it is not for me to tell the BBC how to spend its resources. However, I agree with him that a core part of the BBC is that it should provide news, and that includes coverage of the proceedings of this House.
ParlaMint-GB_2016-01-21-commons.u69	My constituents tell me that they do not want the BBC dismantled or diminished, and they certainly do not want its remit narrowed. This Government have flogged off more of our national assets than almost any other, so can we really trust them with the BBC?
ParlaMint-GB_2016-01-21-commons.u70	The BBC charter expires at the end of this year, and that provides an opportunity to look at all aspects of the BBC in what is a very fast-changing media landscape. That is the purpose of the charter review. We have not reached any decisions yet and we are listening to all expressions of opinion about the future of the BBC, of which there are very many.
ParlaMint-GB_2016-01-21-commons.u71	13. How does the Secretary of State explain the worrying discrepancy between the amount raised via licence fees and the amount spent in Scotland? There is a mismatch between the £335 million in income for the BBC from Scotland and the £190 million spent there. Does he not agree that a fairer share of that income would boost our broadcasting sector and provide funding for the restructuring of BBC Scotland?
ParlaMint-GB_2016-01-21-commons.u72	Of course, viewers in Scotland, just as elsewhere in the United Kingdom, benefit from the national programming of the BBC. She will be aware that the director general recently gave evidence to the Scottish Education and Culture Committee, in which he pointed out that in 2014 £108 million was spent on local content and that that rose to more than £200 million when central support and distribution costs were included.
ParlaMint-GB_2016-01-21-commons.u73	Ninety-seven per cent. of the adult population of the UK use the BBC services for an average of 18 hours every week, and their perceptions of the BBC have improved over the past 10 years. According to the BBC Trust, 85% of the public support the BBC’s main mission to inform, educate and entertain. Those figures are a remarkable endorsement of the public service ethos of the BBC. The consultation on charter renewal of the Secretary of State’s Department closed on 8 October last year, and he has now spent more time considering the responses to that consultation than he allowed for the public to respond. When will he get his act together and publish the results? Can he just give us a date today, please?
ParlaMint-GB_2016-01-21-commons.u74	May I begin by welcoming the hon. Lady to her new position? I have been doing this job for a relatively short time—just eight months—and she is now the third Opposition spokesman I have faced. I do hope that she survives a little longer than her immediate predecessors. In relation to her question, I am keen that we should publish our proposals, but we did not anticipate 192,000 responses. She will understand that, if I were to get up and publish our conclusions, she would quickly be at the Dispatch Box claiming that we had not properly analysed them and that this was a cosmetic exercise. It is not a cosmetic exercise and we are reading the responses carefully.
ParlaMint-GB_2016-01-21-commons.u75	I am afraid that the right hon. Gentleman sounds as if he is procrastinating. The BBC charter expires at the end of this year, but he has not even got around to publishing his White Paper because the consultation is taking so long. Will he guarantee that his Department’s time wasting will not result in some kind of debilitating short-term charter extension beyond the end of the year? Will he be clear today that the next charter will be for a minimum of 10 years?
ParlaMint-GB_2016-01-21-commons.u76	Charter review comes round once every 10 years and I am determined that we should get it right. We will take however long it takes to ensure that we fully consult and consider the options, and we will publish as soon as we are ready. We are currently considering the length of the next charter, which was one of the questions in the Green Paper, and it will form part of our conclusions when we come to publish them.
ParlaMint-GB_2016-01-21-commons.u77	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2016-01-21-commons.u78	Since the House last met for these questions, the Minister for sport, my hon. Friend the Member for Chatham and Aylesford (Tracey Crouch), has launched the first Government sports strategy in more than a decade and the Minister for Culture and the Digital Economy, my hon. Friend the Member for Wantage (Mr Vaizey), has become the longest serving arts Minister in history. We have also seen the sad passing of some of our great cultural icons. I am sure the whole Chamber will join me in extending our sympathies to the families, and indeed the fans, of David Bowie, Jimmy Hill, Alan Rickman and Lemmy, and also in celebrating the enormous contribution that each made to the sporting and cultural life of our country.
ParlaMint-GB_2016-01-21-commons.u79	The success in attracting the “Star Wars” trilogy to the UK underlines the terrific talent available in our creative industries as well as the incredible variety of filming locations. What assessment has my right hon. Friend made of the impact of tax credits on the film and other creative industries?
ParlaMint-GB_2016-01-21-commons.u80	My hon. Friend is absolutely right to highlight the success we have had in attracting international investment in film to this country not just in “Star Wars”, but in a huge proportion of the major films now being made. Part of the reason for that is indeed our creative industry’s tax credits. In 2013, the creative industries accounted for 5% of the economy, and our tax credits are one way of our supporting them. The film tax credit has been responsible for nearly £7 billion of investment in the UK, and our high-end TV tax credit has helped to support more than £800 million of investment.
ParlaMint-GB_2016-01-21-commons.u81	T5. What assistance will the Department give to local authorities to keep their regional museums open following the recent Museums Association report, which stated that one in five regional museums has closed in part or in full and that one in 10 expect to introduce entrance charges to cover reductions in local authority funding?
ParlaMint-GB_2016-01-21-commons.u82	I read the Museums Association report, and I welcome the fact that 60% of museums have seen their visitor numbers increase and that 40% of museums have seen their museum outreach increase. We want to work with local authorities and to work through the Arts Council with local authorities. I urge Labour authorities such as Lancashire to look again at their horrific plans to close their museums.
ParlaMint-GB_2016-01-21-commons.u83	T2. Nuisance phone calls—[Interruption.]
ParlaMint-GB_2016-01-21-commons.u84	Order. I have never known a situation in which Mr Nuttall has not been fully heard, and he will be fully heard.
ParlaMint-GB_2016-01-21-commons.u85	Thank you, Mr Speaker. Nuisance phone calls continue to blight the lives of many of my constituents. Will the Minister explain how quickly the latest proposed action on caller line identification will be introduced and enforced?
ParlaMint-GB_2016-01-21-commons.u86	I am very pleased that we have now issued a consultation on caller line identification which will, we hope, allow receivers of nuisance calls to screen the calls so that they take only calls from people from whom they want to hear.
ParlaMint-GB_2016-01-21-commons.u87	T7. What progress has been made in securing at least 5% of the Premier League TV deal for grassroots football? Children’s football is virtually unplayable at this time of year, yet the Premier League continues to throw money around as though it is going out of fashion.
ParlaMint-GB_2016-01-21-commons.u88	The hon. Gentleman will be pleased to know that through negotiations and discussions with the Premier League I have managed to secure at least double what it currently invests in grassroots football. That will be more than £100 million per annum from the domestic TV rights, which equates to about 6.5% of the total.
ParlaMint-GB_2016-01-21-commons.u89	T3. The long-serving Minister responsible for arts and broadband will share my disappointment that despite his welcome promise to ensure that no home in the country has broadband speeds of less than 2 megabits per second, there are apparently parts of my constituency in Gloucester that have still not reached that speed. I have raised one particular area and problem with BT since 2013. First BT promised to upgrade the cabinet, then it failed to do so, and now it says that it is commercially unviable. Will the Minister meet me and celebrate his long tenure by resolving this problem?
ParlaMint-GB_2016-01-21-commons.u90	I will happily meet my hon. Friend at any point. I am pleased that at least 93% or 94% of his constituents have superfast broadband. Of course, it is more difficult because of state aid rules to subsidise broadband in cities, but I will certainly meet my hon. Friend and discuss the particular issues he faces.
ParlaMint-GB_2016-01-21-commons.u91	I, too, wish the Minister well on maternity leave. I hope that it all goes well and that we see her back in her role A recent response from the Gambling Commission to a freedom of information request has revealed 633 possible incidents of money laundering in betting shops in the past 12 months alone. Not only that, but online we are seeing videos of fixed odds betting terminals being smashed up with chairs and hammers. What are the Government going to do to protect lone staff and vulnerable people in betting shops?
ParlaMint-GB_2016-01-21-commons.u92	I take the issue of money laundering in gambling very seriously and the Gambling Commission is currently consulting on proposed regulatory changes to strengthen the fight against that crime. I understand that the Treasury will be consulting on the EU directive on money laundering, which will include gambling. On the issue of violence in betting shops, there has of course been an increase in the number of police callouts to high street shops. Whether the callout is related to FOBT machines is not recorded, but as a keen campaigner on BT machines I am sure that the hon. Gentleman will be interested to know that today I have published on the gov.uk website the evaluation of the £50 regulations introduced last April, and I expect a triennial review of stakes and prizes to begin soon.
ParlaMint-GB_2016-01-21-commons.u93	T4. Will the Secretary of State join me in congratulating the many towns across the UK that will be laying on cultural experiences in the coming year? In Horsham, that varies from a brand new cultural festival we are putting on in the summer to pancake racing next month. The Secretary of State would be very welcome to join me at either.
ParlaMint-GB_2016-01-21-commons.u94	I am very happy to join my hon. Friend in congratulating all those towns holding arts festivals, which include not just Horsham but Maldon. I am particularly pleased that there are plans in my hon. Friend’s constituency, as part of a festival, to commemorate the 400th anniversary of Shakespeare’s death, which will be marked not just across the country but around the world. I would be very happy to visit an event in my hon. Friend’s constituency, although I cannot promise to participate in the pancake race.
ParlaMint-GB_2016-01-21-commons.u95	Despite the Secretary of State’s earlier bluster about national programming, people in Scotland were shocked by the £145 million differential between income and expenditure as regards the BBC licence fee. That could free up £100 million for direct production in Scotland, which would support 1,500 jobs and add a boost of £60 million to the economy. Will he commit to full devolution of broadcasting to make that happen?
ParlaMint-GB_2016-01-21-commons.u96	I am aware of the concerns in Scotland about this, and, as I said earlier to the hon. Member for Edinburgh North and Leith (Deidre Brock), it is something that the director-general discussed with the Select Committee last week. I shall be seeing the director -general later. It is important that the BBC should serve all parts of the country, but I do not think that we can simply sit down and allocate spending precisely in proportion to the licence fee. It is a national broadcaster
ParlaMint-GB_2016-01-21-commons.u97	T6. I, too, wish my hon. Friend well in her imminent personal sporting challenge. As she knows, Faversham and Mid Kent is rich in fascinating tourist destinations, such as Leeds castle and the historic market town of Faversham itself, so I welcomed the recently announced £40 million Visit England fund. Will organisations such as Visit Kent have a chance to bid for a share of this fund?
