ParlaMint-GB_2016-03-22-commons.u1	1. What progress has been made on improving cancer survival rates.
ParlaMint-GB_2016-03-22-commons.u41	The Government are committed to delivering the vision set out in “Future in mind” and are driving forward a major system-wide transformation programme, working alongside our partners in Government and arm’s length bodies to improve access to high-quality support across the country.
ParlaMint-GB_2016-03-22-commons.u42	I thank my right hon. Friend for the steps he has set out. Will he join me in congratulating the charity YoungMinds on the important work it does in highlighting the mental health challenges young people face, not least from the so-called dark net and social media. Does he agree that we must ensure that the internet is a positive and not a negative force in tackling young people’s mental health challenges?
ParlaMint-GB_2016-03-22-commons.u43	Yes, the work that YoungMinds and a range of other partners have done and continue to do to ensure that children and young people can access information safely is commendable. Children, young people and their parents have expressed the need to access both high-quality and reliable information and support online. That was reflected in the “Future in mind” report on children’s and young people’s mental health. We are investing with MindEd and a number of groups and organisations to work on apps for young people. It is important that they have access to safe material to exclude that which is rather darker.
ParlaMint-GB_2016-03-22-commons.u44	The Minister will recognise that walk-in centres run by experienced GPs can offer important support to children with mental health problems, yet popular walk-in centres that were established by local GPs in my constituency are being put out to tender, putting at risk the leadership and involvement of those experienced GPs in the centres. Will the Minister give guidance to the NHS Procurement Authority that walk-in centres should be led by local GPs with experience of that area?
ParlaMint-GB_2016-03-22-commons.u45	I will look at what the hon. Gentleman says. As he will appreciate, I am not responsible for individual commissioning decisions. The commissioners will have full regard to the needs of the local population when they are putting those services out. It is important that access is increasingly available at GP and primary level, as well as in other areas where the Government are investing further money. I will have a look at what he says.
ParlaMint-GB_2016-03-22-commons.u46	20. Will the Minister inform the House of what dialogue is maintained between his Department and the Department for Education to ensure that those issues are picked up and that help is signposted as early as possible?
ParlaMint-GB_2016-03-22-commons.u47	There is a growing relationship with the Department for Education—it is better than it has ever been. For the first time, there is a Minister responsible for mental health in the Department, and there is a schools champion for mental health, whom I met the other day at a conference in Cambridge. The Departments work closely together to deliver the vision set out in “Future in mind”. For example, there is a £1 million pilot project, working across 22 schools, to find the right people in schools to deal with mental health issues. There is much greater recognition that, the earlier we pick up these things, the better it is for youngsters and their future mental health.
ParlaMint-GB_2016-03-22-commons.u48	Eating disorders among children and teenagers cause life-threatening health problems and even death. What steps is the Minister taking to enable early detection and intervention, which result in better prognoses and support closer to home?
ParlaMint-GB_2016-03-22-commons.u49	There are two things that can help the hon. Lady. The first is the commitment to build £30 million a year into budgets over the next five years to support those with eating disorders, about which I spoke at a conference last week. The second is the earlier detection of eating disorders. We reckon that, by 2020, 95% of urgent eating disorder cases will be seen within a week, with routine cases seen within four weeks. There is recognition of the real danger now posed by eating disorders.
ParlaMint-GB_2016-03-22-commons.u50	Earlier this month, school and college leaders reported a large rise in the number of students suffering from anxiety. Two thirds said that they struggle to get mental health services for their pupils, and of those who had referred a student to child and adolescent mental health services—CAMHS—most rated them as “poor” or “very poor”. Despite the Minister’s warm words, things are getting worse, not better. Will he confirm that every single penny promised to children’s mental health will reach those services and that none of this money will be used to plug the gap in hospital budgets?
ParlaMint-GB_2016-03-22-commons.u51	Following long and frank conversations between me, the NHS and the Treasury, I can give the hon. Lady that assurance—every penny of the £1.4 billion pledged in the 2015 Budget for CAMHS and for eating disorders will be spent on children’s mental health by the end of this Parliament. It is not fair continually to say that nothing is going on. The first tranche of money—£173 million—is being spent: £75 million to the clinical commissioning groups; £30 million to tackle eating disorders; £28 million for the expansion of children’s IAPT—improving access to psychological therapies—services; £15 million for perinatal services; and £25 million to address other issues involving training. That is money already committed and it is being spent now. The problems that she mentions are a high priority and are being dealt with.
ParlaMint-GB_2016-03-22-commons.u52	I listened carefully to the Minister, but by his own admission—in response to parliamentary questions—he is going to underspend this year by £77 million on his pledge to spend £250 million on CAMHS, and by £11 million on his £15 million pledge regarding perinatal mental health. He talks about the importance of intervening earlier. Does he agree with Labour that every child should receive personal, social, health and economic education so that young people are equipped with the resilience better to support their mental health?
ParlaMint-GB_2016-03-22-commons.u53	We cannot have it both ways, it would seem. I have given a pledge, which the hon. Lady asked for in her first question, that the £1.4 billion committed to CAMHS will be spent by the end of this Parliament—and it will be. It is known that the first tranche has not been fully committed, but this is the first year and some money has to roll over. However, I have made absolutely sure that that money will be spent, including on perinatal services, which will reach a much better place than when we came into office, and that is very important. The work will be done. PSHE is not a matter for this Department, but I fully agree that it is important that children have such information. The pressure caused through social media, sexting and the like means that children these days need to have a very up-to-date, modern understanding of issues associated with personal health and social education, which I fully support.
ParlaMint-GB_2016-03-22-commons.u54	May I gently point out to colleagues that, very useful and comprehensive though these exchanges have been, as usual at this stage we have got a lot to get through and we need to speed up a bit? There is a long waiting list of colleagues and we must get through that list.
ParlaMint-GB_2016-03-22-commons.u55	6. What progress the 100,000 Genomes Project has made on providing UK leadership for international developments in precision medicine.
ParlaMint-GB_2016-03-22-commons.u56	Our groundbreaking 100,000 Genomes Project, which was announced by my right hon. Friend the Prime Minister as part of our 10-year life sciences strategy, represents the moonshot of medicine in making the UK the first nation on earth to sequence the entire genetic sequence of 100,000 genomes from NHS patients. Through our precision medicine strategy, the launch of 13 genomics medicine centres in the NHS, funding from Government and the precision medicine catapult, we are winning international plaudits and attracting inward investment, as a sign of our commitment to a 21st century NHS.
ParlaMint-GB_2016-03-22-commons.u57	I recently visited the medical school in Nottingham where I saw the great work being carried out, including groundbreaking genomics work on identifying Alzheimer’s risk genes. What support is the Department providing to ensure that work is fully funded and expanded, so that the east midlands and the UK continue to be world leaders in the search for treatments and ultimately a cure for Alzheimer’s, based on our research?
ParlaMint-GB_2016-03-22-commons.u58	I pay tribute to my hon. Friend, who had a distinguished career in the life science sector, including through setting up her own business. She is right to highlight the work at Nottingham University which, along with Leicester and Birmingham, represents something of an east midlands powerhouse. The Nottingham University Hospitals NHS Trust is part of the East of England NHS Genomic Medicine Centre, recruiting patients and becoming one of our hubs for NHS genomics medicine. In addition, we are actively supporting research into Alzheimer’s through our £1 billion a year National Institute for Health Research budget, the £150 million Dementia Research Institute and our dementia plan. I continue to lead conversations with dementia charities.
ParlaMint-GB_2016-03-22-commons.u59	7. What progress the Government have made on achieving parity of esteem for physical and mental health services.
ParlaMint-GB_2016-03-22-commons.u60	We remain committed to achieving parity of esteem between mental and physical health, and we are investing more than ever in mental health. We welcomed the publication of the Mental Health Taskforce report last month and will work to embed its recommendations in our policies.
ParlaMint-GB_2016-03-22-commons.u61	Steph Cater, a 17-year-old at Pate’s Grammar School in my constituency, is concerned that mental health in-patient services are distributed unevenly, meaning that those needing treatment can end up being cared for hundreds of miles away from their families. What more can be done to ensure that those in crisis are treated closer to home?
ParlaMint-GB_2016-03-22-commons.u62	A review of beds in 2014 partly redressed that uneven distribution. In my hon. Friend’s area, an analysis of the impact of the new beds shows that the average distance travelled to child and adolescent mental health services units in the south-west has improved from 114 miles in 2014 to 39.9 miles in 2016. It is not enough simply to provide more beds, however. We have to provide more community-based support and treatment—that is at the heart of “Future in mind”. The number of out-of-area treatments also has to be reduced.
ParlaMint-GB_2016-03-22-commons.u63	I was delighted that Paul Farmer’s taskforce report endorsed the plan first proposed by the Secretary of State and myself in 2014 to have comprehensive maximum waiting times in mental health by 2020 so that people with mental ill health have exactly the same right to treatment on time as others. I was delighted that the Government endorsed the whole plan, but dismayed that Simon Stevens then confirmed that there was no money to implement it. How will the Minister ensure that the comprehensive waiting time standards are implemented by 2020?
ParlaMint-GB_2016-03-22-commons.u64	If anything, questions are getting longer, not shorter. I say with great courtesy to the right hon. Gentleman, whom I hold in the highest esteem and whose track record is greatly respected across the House, that his question was far too long.
ParlaMint-GB_2016-03-22-commons.u65	Two things: the first set of waiting time standards—the first ever by a Government—are already in place from April 2015, with 50% of people experiencing an episode of psychosis treated within two weeks and improved waiting times for talking therapies; and, secondly, we have to get the database right. The right hon. Gentleman will know that we are doing an extensive and much greater data trawl to find a base on which those waiting times can be set, but it remains our determination to get them introduced by 2020.
ParlaMint-GB_2016-03-22-commons.u66	8. What improvements have been made to child and adolescent mental health services since the publication of the Government’s strategy, “Future in mind”, in March 2015.
ParlaMint-GB_2016-03-22-commons.u67	Progress has been made on many of the key ambitions set out in “Future in mind”. Of greatest significance is the development of local transformation plans that cover the full spectrum of children and young people’s mental health issues, from prevention to intervention for emerging or existing mental health problems, for every clinical commissioning group in the country.
ParlaMint-GB_2016-03-22-commons.u68	This month, the Mental Health Network, representing NHS providers, said that very little, if any, of the money promised for child and adolescent mental health has yet materialised and that some services are experiencing cuts in-year. The Minister must accept, despite his assurances to my hon. Friend the Member for Liverpool, Wavertree (Luciana Berger), that the Department’s efforts in getting this money out the door has been woeful. What will he change?
ParlaMint-GB_2016-03-22-commons.u69	I do not necessarily, despite the energy of the hon. Member for Liverpool, Wavertree, accept everything that she says. I gave a list of where the money is being spent. However, I think I can help both the hon. Gentleman and the hon. Lady. Much more is being done to ensure that CCGs deliver what they need to deliver in relation to mental health. This year’s figures will show that, whereas there has been a 3.7% uplift for CCGs, there has been an uplift of 5.4% in mental health spending. With more transparency and more determination by the NHS on CCG spending, hopefully what people are saying and feeling will become less justified in the future.
ParlaMint-GB_2016-03-22-commons.u70	9. How much was spent on healthcare as a proportion of GDP in (a) 2009-10 and (b) 2014-15; and what estimate he has made of the amount that will be spent on healthcare as a proportion of GDP in 2020-21.
ParlaMint-GB_2016-03-22-commons.u71	Because in 2010 the country faced a deficit that constituted 11% of GDP, all major political parties committed to plans that reduced Government spending, including on health, as a proportion of GDP. However, because of this Government’s commitment to the NHS, health spending as a proportion of Government spending will increase from 14.2% to 15.8% over the decade.
ParlaMint-GB_2016-03-22-commons.u72	Former coalition Minister David Laws has recently written that under the previous Government the NHS chief executive told Ministers that the health service required an additional £30 billion, and that he was forced to cut that figure and squeeze it down to £15 billion, but was allocated only £8 billion by the Treasury. That was a savage cut of £22 billion to what the NHS really needed. Is that not the root cause of all the NHS’s problems, and does it not make utter nonsense of the Government’s claim to be protecting NHS funding?
ParlaMint-GB_2016-03-22-commons.u73	What the hon. Gentleman describes as a “savage cut” was a real-terms increase of £10 billion a year, which was £5.5 billion more than his party proposed as part of the platform he stood on at the last election.
ParlaMint-GB_2016-03-22-commons.u74	16. Does my right hon. Friend agree that as well as focusing on health inputs and how much we spend on the NHS, it is also important that we focus on health outcomes?
ParlaMint-GB_2016-03-22-commons.u75	My hon. Friend is absolutely right, which is why I am so proud that under this Conservative Government we have put 27 hospitals into special measures, 11 of which have now come out of special measures. We are improving the standard and quality of care, and increasing the number of people being treated across the board. Outputs matters, and that is what this Conservative Government will deliver.
ParlaMint-GB_2016-03-22-commons.u76	The Health Secretary may talk a good game on funding, but the reality in A&E departments and GP surgeries tells a very different story. The whole system is on its knees, and the revelations of the former Chief Secretary to the Treasury this weekend confirmed what everyone in the NHS already knew—making £22 billion of efficiency savings over the next four years is pure fantasy. In the interests of transparency, therefore, will he now publish the full analysis explaining how NHS England arrived at the figure of £22 billion?
ParlaMint-GB_2016-03-22-commons.u77	Let us look at what the chief executive of NHS England, Simon Stevens, actually said, and not what he is alleged to have done, which he denies. He said that, when it came to the spending review, the Government had listened to and actively supported the NHS’s case for spending and that he could kick-start his plan for the NHS. But it is rather academic—is it not?—because Labour refused to fund his plan at all, which all goes to show, when it comes to the NHS, that Labour writes the speeches but Conservatives write the cheques.
ParlaMint-GB_2016-03-22-commons.u78	I did not ask the Health Secretary what the chief executive of the NHS said. I asked the right hon. Gentleman to publish the analysis behind the £22 billion figure, but he will not do so because he knows that the only way to achieve these politically motivated efficiencies is by making cuts to staff and pay. The truth is that the NHS survives on the good will of its staff, yet he has pushed that good will to breaking point. How does he expect to improve current services, let alone deliver a seven-day NHS, with fewer staff and a demoralised workforce?
ParlaMint-GB_2016-03-22-commons.u79	Under this Government, staff levels have actually risen: we have 11,000 more doctors and 12,000 more nurses. If the hon. Lady is worried about NHS funding, perhaps she might look in the mirror, because in 2010 her party wanted to cut funding to the NHS—in Wales, it actually did cut it—and in 2015 it wanted £5.5 billion less than the Conservatives. The NHS does not need Labour rhetoric; it needs more doctors and more nurses, which we can have only on the back of the strong economy that only the Conservatives can deliver.
ParlaMint-GB_2016-03-22-commons.u80	10. What recent assessment he has made of staff morale in the NHS.
ParlaMint-GB_2016-03-22-commons.u81	The Department assesses staff morale in the NHS using engagement scores from the annual NHS staff survey. I am delighted to say that the engagement score currently runs at 3.78 out of 5, which is a rise from the position in 2012, when the survey began, when it was at 3.68.
ParlaMint-GB_2016-03-22-commons.u82	On top of the junior doctors debacle, the staff survey shows that midwives are stressed, with 90% of them working extra shifts unnecessarily. I have raised before the case of the radiographer Sharmila Chowdhury, who was sacked for exposing bribes at Ealing hospital, but has yet to get a practical response, other than the words, “Francis review”, which has yet to be implemented. When will the Government get a grip on plummeting morale in the NHS?
ParlaMint-GB_2016-03-22-commons.u83	The hon. Lady asked a number of questions. On the specific issue about this particular member of staff, I know that my right hon. Friend the Secretary of State has met her, and I would be happy to discuss this further. The hon. Lady is wrong about the Francis recommendations, which are being implemented in full. She should look at the balanced results from the staff survey, with more staff saying that their motivation at work is going up, with the number recommending their trust as a place of work and as a place to receive treatment going up, and with the number able to contribute to improvements at work also going up. There are issues in the staff survey that we would like to address—it is unfortunate to see reports of bullying and harassment going up—but we are addressing the problem through the staff partnership forum, which I chair. Overall, however, this is a balanced and positive return from the staff survey.
ParlaMint-GB_2016-03-22-commons.u84	Will my hon. Friend confirm that, as well as the importance of staff morale, we should note that in hospitals where seven-day working has been implemented, patient morale is also improving considerably?
ParlaMint-GB_2016-03-22-commons.u85	My hon. Friend is right, and the returns from the friends and family tests across the country show increasing patient satisfaction with the NHS.
ParlaMint-GB_2016-03-22-commons.u86	22. How does the Minister think that staff morale is affected when people hear the Government’s constant refrain of “implementing seven-day working”, particularly among pathology staff and others who have for decades provided a 24/7 service?
ParlaMint-GB_2016-03-22-commons.u87	Despite the best efforts of Labour Members, staff morale has gone up over the past few years. The situation is not helped when the nature of the junior doctors contract is misrepresented, as it continually is by Labour Members. If they were to give a fair account of the contract to their constituents, I am sure we would see further improvements in staff morale in years to come.
ParlaMint-GB_2016-03-22-commons.u88	Staff morale at Uckfield community hospital is exceptionally high, partly owing to its receiving 100% in a recent friends and family survey. Will the Minister join me in congratulating all the nurses, volunteers and front-office staff in Uckfield community hospital?
ParlaMint-GB_2016-03-22-commons.u89	I happily congratulate the staff at my hon. Friend’s local hospital. This shows where good constituency representation, reinforcing the efforts of local people working in local hospitals, can produce improvements in staff morale and therefore in the experience of patients, which is something from which Labour Members would do well to learn.
ParlaMint-GB_2016-03-22-commons.u90	In a recent survey, 70% of GPs warned that their workloads were becoming unmanageable, and 55% said that the quality of the service they provided had deteriorated, with too few patients getting appointments, treatment and the range of services needed. We now hear reports of a large decrease in applications for GP training places, and this is one of the last cohorts to be fully trained by 2020. Unless the Minister takes urgent action to address these issues affecting GP morale, workload and recruitment, patient care will just get worse. What is he going to do about it?
ParlaMint-GB_2016-03-22-commons.u91	The hon. Lady raises the issue of GPs. We are ensuring that there will be 5,000 additional GPs by the end of this Parliament, which addresses precisely the issues that she raises.
ParlaMint-GB_2016-03-22-commons.u92	indicated dissent.
ParlaMint-GB_2016-03-22-commons.u93	I do not know why the hon. Lady is shaking her head. She asked what I am doing, and 5,000 additional GPs will help to solve her problem. Secondly, we are putting a greater proportion of funding into general practice, by comparison with the proportion of the NHS budget as a whole, than any previous Government. Thirdly, we are increasing the number of GP training places. I am pleased to report that we are doing well in ensuring that more people in training positions are choosing to become general practitioners.
ParlaMint-GB_2016-03-22-commons.u94	12. What progress his Department has made on improving the performance of hospitals in special measures.
ParlaMint-GB_2016-03-22-commons.u95	Trusts put into special measures have recruited 1,363 more doctors and 4,190 more nurses, with one estimate saying that this has reduced mortality rates by up to 450 a year.
