ParlaMint-GB_2016-01-07-commons.u1	2. What steps she is taking to reduce the level of fuel poverty.
ParlaMint-GB_2016-01-07-commons.u39	7. What steps her Department is taking in response to the outcome of the COP 21 climate conference in Paris.
ParlaMint-GB_2016-01-07-commons.u40	13. What the outcomes for the UK were of the COP 21 climate conference in Paris.
ParlaMint-GB_2016-01-07-commons.u41	My hon. Friends will be aware that the agreement reached in Paris in December was an historic step forward. Almost 200 countries committed to climate action, which, for the first time ever, they all agreed to review every five years and to be held accountable for. There will now be follow-up work in the UN to agree the detailed rules and prepare for the five-year reviews.
ParlaMint-GB_2016-01-07-commons.u42	Does my right hon. Friend agree that the deal in Paris sees the world signing up to the approach to tackling climate change adopted by the UK? Is she confident that her approach will ensure that we meet the goals agreed in Paris?
ParlaMint-GB_2016-01-07-commons.u43	My hon. Friend is right. The UK can take pride in the structure that was put together in Paris because it mimics in some ways the Climate Change Act that we put in place so many years ago. The five-year review, the transparency and the need to come back all the time with an improved offer are the right way to go, and I am confident that we will be able to deliver on that. I am excited about the prospect of talking further to my international partners to make sure that we have in place the right system for delivering that over the next few years.
ParlaMint-GB_2016-01-07-commons.u44	Does my right hon. Friend agree that ensuring that all countries which have signed up to the agreements submit regular and full updates, and that data on progress are crucial so that we can see which countries are sticking to the agreement?
ParlaMint-GB_2016-01-07-commons.u45	My hon. Friend raises an important point. Transparency in these reviews is essential and it is something that the UK fought hard for during the Paris negotiations to ensure that when other countries come back with their five-year reviews, they have made them clear in a way that we can examine so that we can be certain that the carbon emissions are being reduced.
ParlaMint-GB_2016-01-07-commons.u46	New figures from the Department have shown that renewables were the biggest source of electricity in Scotland last year. The industry is a real Scottish success story and will play a significant part in helping to meet the targets set in Paris. Will the Secretary of State show her Department’s own commitment to this vital sector by accepting the case for the inclusion in the grace period for the renewables obligation of projects which have attracted significant investment and achieved all the technical requirements to meet the Government’s cut-off date of 18 June 2015, including the Binn eco farm in my constituency?
ParlaMint-GB_2016-01-07-commons.u47	The renewables industry, the solar industry and onshore and offshore wind are indeed a great British success story, and other countries wanted to talk to us about them. There is a great opportunity for exports for business. I am happy to say that a number of Ministers spoke to me about this in Paris and I think there will be great opportunities. As regards individual wind farms or proposals, I must ask the hon. Lady to write to me separately so that I can look at those, but I gently remind her that the Government are committed to making sure that we deliver on our renewables target while ensuring that we keep bills down. That will always drive us to make sure that we get that balance.
ParlaMint-GB_2016-01-07-commons.u48	8. What steps she has taken to support the anaerobic digestion and biogas sector.
ParlaMint-GB_2016-01-07-commons.u49	First, may I say how delighted I am to see my hon. Friend fully recovered and back in his place We support AD and biogas through the feed-in tariff scheme, the renewables obligation and the renewable heat incentive. The Government have provided £124 million of support under the renewables obligation, £53 million under the renewable heat incentive, and enough support under the feed-in tariff scheme to deploy 161 MW since 2010. These technologies can make a valuable contribution to our decarbonisation targets and we will continue to support them.
ParlaMint-GB_2016-01-07-commons.u50	I thank my hon. Friend for her kind remarks. I recently met Salterforth resident Peter King, along with representatives of Kirk Environmental, at my Earby advice surgery to discuss anaerobic digestion and biogas. Does my hon. Friend agree that, compared with wind or solar, biogas has significant benefits in delivering predictable and consistent amounts of renewable energy into the network?
ParlaMint-GB_2016-01-07-commons.u51	Indeed. There are real benefits for the UK in having a wide range of renewable energy sources, but my hon. Friend is right to point out that as the sector develops in the UK, biogas technologies could bring additional benefits, including providing baseload energy, injection into the gas grid and potential use as transport biofuels.
ParlaMint-GB_2016-01-07-commons.u52	In her letter to other Departments on 29 October the Secretary of State—whom I congratulate on stressing in her letter the importance of reaching EU renewables targets in perhaps more recalcitrant Departments—she indicated that the highest potential for additional renewable heat is from biomethane injection into the grid, but she also said that we will face a shortfall against the part of that target that is related to the heat sector, even if support for her proposed measures was agreed by the Chancellor in the comprehensive spending review. Now that she has a reduced amount of money for the renewable heat incentive up to 2020, does she consider that that amount will enable us to reach our heat targets by 2020 and, if not, what new proposals will she bring forward to make sure that there is investment in this sector that can enable us to reach that target?
ParlaMint-GB_2016-01-07-commons.u53	The hon. Gentleman is right to point out that we had a good settlement in the comprehensive spending review. We were very pleased with the commitment to enhancing—increasing—the renewable heat incentive each year between now and 2021, and we are making good progress towards that. He will realise that the fourth carbon budget is for 2023 to 2027. He would not expect us to be meeting it today, but we are putting plans in place and working towards that progress as we speak, and we will continue to set out plans during this year.
ParlaMint-GB_2016-01-07-commons.u54	Despite more effective use of packaging, better date labelling and programmes by the supermarkets to distribute and sell food, we still generate substantial quantities of food waste. Does the Minister agree that using this resource to generate electricity is better than sending it to landfill?
ParlaMint-GB_2016-01-07-commons.u55	I completely agree. In fact, just recently I went to see a proposed new project in my own county of Northamptonshire that is looking to use landfill to create a renewable heat scheme. Some fantastic new ideas are coming forward, and my officials and I are always very keen to hear about them and support them where we can.
ParlaMint-GB_2016-01-07-commons.u56	9. What steps she is taking to prevent shale gas drilling at the surface in areas of the greatest environmental value.
ParlaMint-GB_2016-01-07-commons.u57	First, I commend my hon. Friend for the personal commitment he has shown to researching best practice in this area. I can assure him that the Government are committed to protecting our most valuable spaces from surface drilling of wells for fracking. On 4 November, we set out how we plan to do this via petroleum exploration and development licences. We will issue a response to our industry consultation as soon as possible.
ParlaMint-GB_2016-01-07-commons.u58	I very much welcome the Minister’s comments. The Task Force on Shale Gas has called for a single regulator and increased levels of independent monitoring. Does the Minister agree that this would improve public confidence and provide further protection, particularly for our most sensitive areas?
ParlaMint-GB_2016-01-07-commons.u59	The task force’s 2015 report says that the regulatory regime is currently fit for purpose, but my hon. Friend rightly points to its proposal that if the shale gas industry does develop the Government should consider creating a bespoke regulator. I can absolutely assure him that we will keep the regulatory regime under review to make sure that it remains fit for purpose. On his second point about independent monitoring, I entirely agree, and that is why we are already grant-funding baseline monitoring in North Yorkshire and Lancashire.
ParlaMint-GB_2016-01-07-commons.u60	Does the Minister accept that there is widespread opposition to fracking in all parts of Britain? Will she congratulate, as I have, the residents of Calow in Bolsover for refusing to allow a drilling operation and getting it stopped not only by the local authority but by her own inspectorate?
ParlaMint-GB_2016-01-07-commons.u61	It is quite extraordinary that Opposition Members continually talk about the potential for shale gas as if it is some kind of disaster. The hon. Gentleman comes from a very honourable and long-standing mining area. Mining has a legacy that we will be dealing with for many years to come. The shale industry, on the other hand, offers the opportunity to create a new home-grown energy source that is vital for our energy security into the next decades.
ParlaMint-GB_2016-01-07-commons.u62	When will the Secretary of State produce some legally enforceable protection against surface-level fracking in our national parks and sites of special scientific interest?
ParlaMint-GB_2016-01-07-commons.u63	I hope that the hon. Lady heard my initial comment, which was that we have been able to put forward our proposal to restrict surface drilling in any of our most protected areas, not limited to national parks but including many other valuable spaces, through licensing. As things stand, we are waiting for our report in response to the industry consultation that closed on 16 December, and we will make our announcements very soon.
ParlaMint-GB_2016-01-07-commons.u64	10. What assessment she has made of the effect of increased energy generation on the national grid.
ParlaMint-GB_2016-01-07-commons.u65	As more domestic, community and business generators come on stream, the demand for grid connection is increasing, as the hon. Lady rightly points out. Accommodating this is the responsibility of the network companies, overseen by Ofgem. Network companies publish long-term plans setting out how new generation and demand will be managed. She might like to take a look at National Grid’s annual electricity 10-year statement as a good example of this.
ParlaMint-GB_2016-01-07-commons.u66	Let us face it: National Grid is notorious for stifling new energy projects at birth in rural Wales. Given that the draft Wales Bill proposes devolving generating stations up to 350 MW but not transmission, how will the Minister work with the Welsh Government to ensure that that is not an empty promise?
ParlaMint-GB_2016-01-07-commons.u67	I can absolutely assure the hon. Lady that the Government are committed to the Welsh devolution Bill, as set out in the Silk commission, and that is going through. Specifically, Ofgem, through the electricity distribution network price control, has approved about £24 billion of investment in the distribution network for between 2015 and 2023, and about £1.7 billion of that is for the distribution company responsible for north Wales, including the hon. Lady’s constituency.
ParlaMint-GB_2016-01-07-commons.u68	Does the Minister share my concerns that, in the short to medium term, our energy security may be put at risk if the capacity market that is being put in place to bring forward new gas capacity not only fails to do that, but makes current gas capacity, such as that provided by the Glanford Brigg power station in my constituency, no longer worthwhile and results in it coming off-stream?
ParlaMint-GB_2016-01-07-commons.u69	We have just completed the second capacity market auction and achieved a very competitive price for consumers; as the hon. Gentleman will know, it is a top priority for this Government to keep the bills down. At the same time, we have ensured that National Grid has the tools at its disposal to be able to ensure energy security, which is our overriding concern. I do not share his concerns. We are reviewing the capacity market to make sure we bring on new gas, but there are no concerns about energy security.
ParlaMint-GB_2016-01-07-commons.u70	11. What recent steps she has taken to support the small-scale solar sector.
ParlaMint-GB_2016-01-07-commons.u71	Solar is an enormous UK success story that this Government continue to support. As my right hon. Friend the Prime Minister said yesterday, 98% of all solar deployment has taken place since 2010. In December, we announced that the feed-in tariff scheme would remain open and continue to support small-scale solar up to a value of £35 million of subsidy, potentially delivering an additional 1.2 GW across 220,000 installations by 2019.
ParlaMint-GB_2016-01-07-commons.u72	I thank my hon. Friend for that answer. I had the opportunity recently to meet a company in the solar sector industry in my constituency, ESP Energy in Dorrington, and I was very impressed with its technology, innovation and job creation. Will my hon. Friend assure me that the Government will do everything possible to continue supporting this very important energy source?
ParlaMint-GB_2016-01-07-commons.u73	As my hon. Friend will know, it is a key priority to keep consumer bills down, so there must always be a balance between supporting a superb UK industry and making sure that consumer bills remain affordable. We will continue to support the further growth of the sector, but not at any price. The changes we have made to the feed-in tariffs seek to maintain the solar industry, which in the medium term can continue to reduce its costs and therefore move towards a subsidy free deployment.
ParlaMint-GB_2016-01-07-commons.u74	Will the Minister update the House on what steps she is taking to ensure that the rate of VAT on solar installations does not rise, as proposed, from 5% to 20%, which could add £900 to an average solar installation?
ParlaMint-GB_2016-01-07-commons.u75	The right hon. Gentleman is exactly right to raise that very important point. He will know that it is the result of proceedings by the European Commission, which believes that our VAT rates on solar installation should be higher. Her Majesty’s Revenue and Customs is looking closely into the issue and consulting on it. Once we have taken into account the outcome of that consultation, we will have to look further at the regime.
ParlaMint-GB_2016-01-07-commons.u76	20. My constituency has a number of thriving solar businesses, some of which I have worked with during the recent changes to feed-in tariffs. As the Government look to the industry to expand, and in response to a query from Solar UK in Battle, will the Minister explain how she will support the development of energy storage solutions for existing and future solar systems?
ParlaMint-GB_2016-01-07-commons.u77	My hon. Friend is exactly right to point out the huge potential for energy storage to enhance the value of solar PV installations. My Department has provided more than £18 million of innovation support since 2012, to develop and demonstrate a range of energy storage technologies. We are also investigating the potential barriers to the deployment of energy storage, focusing in the first instance on removing regulatory barriers, and we plan to hold a call for evidence on that specific area this spring.
ParlaMint-GB_2016-01-07-commons.u78	The Minister is in danger of sounding complacent on this subject. Many small and medium-sized enterprises in my constituency fear the end of solar. Has she had a chance to consider the Solar Trade Association’s £1 rescue scheme, and what is her response to it?
ParlaMint-GB_2016-01-07-commons.u79	As my right hon. Friend the Secretary of State and I have made clear on so many occasions, there is a fine balance. As the costs of a new technology come down, as they very much have in the excellent UK solar industry, so we must focus on the need for people in this country to be able to afford their energy bills. Fuel poverty is an enormous problem, but we do not want to over-subsidise, so it is a fine balance. We think that our response to the consultation in December provides that fine balance: giving a 5% investment return to solar installations is fair to consumers and fair to the industry.
ParlaMint-GB_2016-01-07-commons.u80	24. EU minimum import prices on Chinese, Taiwanese and Malaysian photovoltaic cells inflate the cost of an average solar installation by £385. The Minister is working to extract the UK from that, but will she update the House on her progress and set a date by which she hopes to end these price controls?
ParlaMint-GB_2016-01-07-commons.u81	I certainly agree with my hon. Friend that the MIP is an unwelcome drain on the UK solar industry. My right hon. Friend the Secretary of State made that point in her letter to the Trade Commissioner in November. I also agree that it would be fairer and simpler to remove the MIP while the current expiry review is under way. Unfortunately, however, the decision to launch an expiry review is one for the Commission, not for member states. Anti-dumping and anti-subsidy regulations require the Commission to maintain existing trade defence measures while the expiry review takes place, so it could be some months yet.
ParlaMint-GB_2016-01-07-commons.u82	Last year, the Solar Trade Association estimated that 27,000 workers would lose their jobs as a result of the Government’s proposed 87% cut to the feed-in tariff. Following a public outcry, including from Members on both sides of this House, the Department reduced the cut to 64%, saving about 8,000 jobs. I am sure the Minister would like to take the credit for that, but what is her message to the remaining 19,000 solar workers who face redundancy this coming year as a result of the tariff cut?
ParlaMint-GB_2016-01-07-commons.u83	UK solar is a huge success story. It has grown rapidly since 2010, with enormous support from energy consumers in the UK. As we have said time and again, there is a balance. We absolutely welcome the jobs and growth that have been provided in the sector, but we cannot continue to support jobs just through bill payer subsidies. That would not be fair. Our measures will ensure that there is good potential for the industry to continue to grow and for jobs to continue to be supported, while at the same time making sure bills remain affordable.
ParlaMint-GB_2016-01-07-commons.u84	12. What steps the Government are taking to ensure that energy consumers are on the best-value tariffs.
ParlaMint-GB_2016-01-07-commons.u85	The Government are making it quicker and easier for energy consumers to switch supplier and move to the best-value tariffs. We have delivered a national switching campaign and worked with industry to cut the time it takes to switch to 17 days, and we are now working with Ofgem to move to reliable next day switching. We are also working with industry to develop an energy-switching guarantee, which will be launched later this year.
ParlaMint-GB_2016-01-07-commons.u86	Does my right hon. Friend agree that it is particularly important for vulnerable customers to be able to find the best-value tariffs? Will she say a little more about what the Government are doing to spread that message and to ensure that such consumers get the best deals available? Does she agree that carers’ organisations and children’s centres, which support vulnerable younger families, may have a role to play?
ParlaMint-GB_2016-01-07-commons.u87	Yes, I do agree with my hon. and learned Friend. It is absolutely essential that we improve access for vulnerable people to the switching that can provide such great benefits. It is no good people being able to benefit from a saving of about £200 on their energy bills unless they can actually access it. We launched the big energy saving network and put in £2 million to make sure that vulnerable people, who particularly need the improvement that this can deliver to their energy bills, can access it. One of the ways in which that can be done is through citizens advice bureaux, but in addition we will look at his other suggestions.
ParlaMint-GB_2016-01-07-commons.u88	But the Competition and Markets Authority has identified something I have been speaking about for quite a long time: that that sticky customer base is not being served well by energy suppliers. The CMA has said that about 70% of customers on the standard variable tariff are paying over the odds, so has the Secretary of State looked into the suggestion I have made in the past year and previously that we need to protect those customers as well, and that a default or protection tariff could ensure that suppliers provide tariffs that are fair to their customers, and particularly those ones?
ParlaMint-GB_2016-01-07-commons.u89	The right hon. Lady makes an important point and the suggestion about the CMA is helpful—it has just begun to include in its consideration vulnerable customers on pre-payment meters. We are interested in the recommendations it will make—we hope—in the next few months, to ensure that we look after those vulnerable customers who are unable to switch. We have said previously that we will take seriously and act on the CMA recommendations to ensure that we look after those customers who have not engaged in switching but should do so. We look forward to seeing the CMA suggestions for remedies.
ParlaMint-GB_2016-01-07-commons.u90	I welcome the concern expressed by Members on both sides of the House for consumers and best value. Last month, the Secretary of State agreed to hand out hundreds of millions of pounds in new public subsidies to diesel and coal power generators through her capacity market scheme. Will she tell the House by how much family energy bills will rise as a consequence?
ParlaMint-GB_2016-01-07-commons.u91	The capacity market is specifically designed to ensure that energy security is not negotiable. The Government take energy security very seriously. Because of the lack of investment in energy infrastructure over the past decades, we needed to ensure that the capacity market is in place to ensure that we do not have any problem at all with energy security. Diesel will form a part of the future, but only in very small amounts. Let us remember that it is there as back-up and will be switched on occasionally when it is needed. The addition of the capacity market to people’s bills will be a matter of a few pounds.
ParlaMint-GB_2016-01-07-commons.u92	It is astonishing that the Secretary of State comes to the House and repeatedly says that the Government want to put as little pressure as possible on hard-pressed households, and yet is spectacularly unable to answer a very simple question about how much that will put on family energy bills. In just one day in December, she agreed to subsidise high-polluting diesel generators to the tune of £175 million, paid for by increasing family energy bills. Will she answer this question: are those companies expected to make returns of more than 20% at the expense of bill payers?
ParlaMint-GB_2016-01-07-commons.u93	What is astonishing is the hon. Lady’s lack of understanding of the fact that the capacity market is needed because of the Labour Government’s woeful under-investment in infrastructure. We are left with the consequences and need to ensure that energy security is completely reliable. The capacity market is essential to ensuring that that hole is filled. We are proud of the way in which it has delivered—the second auction has just completed. As I have said, it will cost a few pounds—under £10—and we will ensure that energy security will never be in question under this Government.
ParlaMint-GB_2016-01-07-commons.u94	14. What progress is being made on the roll- out of smart meters.
ParlaMint-GB_2016-01-07-commons.u95	I can assure the hon. Lady that good progress is being made. Energy suppliers have now installed over 2 million meters in homes and small businesses across Britain, ahead of the main installation stage starting later this year.
ParlaMint-GB_2016-01-07-commons.u96	In September 2014, the Public Accounts Committee raised concerns about the roll-out of smart meters, but very recently, Alex Henney, a former Conservative energy adviser, warned the Secretary of State that the roll-out would at best be regarded as a waste of money and that it is “a ghastly mess”. Does she agree with Mr Henney, and what is she doing to resolve those problems?
ParlaMint-GB_2016-01-07-commons.u97	I can say very clearly to the hon. Lady that I do not agree with that position. Smart meters will have a great future in this country. We discussed in earlier questions energy security and fuel poverty. Smart meters will be a very good way for people to reduce their bills and use less energy, therefore creating fewer carbon emissions. Smart meters are an important part of that.
ParlaMint-GB_2016-01-07-commons.u98	I have no doubt that the introduction of smart meters will help customers to control their energy bills, but, just so that they are aware of the background, will the Secretary of State confirm that the UK is rolling out smart meters because of European Union directive 2009/72/EC?
ParlaMint-GB_2016-01-07-commons.u99	My hon. Friend is right that the European Union has directives that give us guidance on this matter, but there is no question but that the initiative of smart meters is of huge advantage to UK customers. UK customers and consumers will always be put first.
ParlaMint-GB_2016-01-07-commons.u100	15. If she will take steps to encourage companies associated with the Neart Na Gaoithe offshore wind farm to base their operations at Dundee port.
ParlaMint-GB_2016-01-07-commons.u101	As my right hon. Friend the Secretary of State announced in her November speech, we are committed to the continued growth of UK offshore wind. Britain is already the world leader. This industry is a huge potential source of jobs and growth, and we will always focus on maximising UK content in the supply chain. The hon. Gentleman will appreciate that the decision on where one company’s operations will be based is a commercial decision for that company. However, my officials are working closely with the developer and the Scottish Government to maximise the use of UK content in this wind farm.
ParlaMint-GB_2016-01-07-commons.u102	Does the Minister agree that, should the outstanding legal challenge be overcome, Dundee and its deep port are ideally placed to provide operations, maintenance and suppliers?
