ParlaMint-GB_2016-09-06-commons.u1	1. What steps she is taking to reform the Human Rights Act 1998.
ParlaMint-GB_2016-09-06-commons.u62	Victims of crime want to see the perpetrators of that crime properly punished. Is the Minister happy that prisoners are automatically released halfway through their prison sentence no matter how disruptive they are or how much of a threat they still pose to the public, or does he agree with me that prisoners should serve the sentences handed down by the courts in full?
ParlaMint-GB_2016-09-06-commons.u63	The purpose of justice and the primary goal of the justice system must be to reduce reoffending. If somebody in prison has been assessed, is deemed not to be a risk to society and has been properly rehabilitated, it is in the best interests of that individual and of society for that person to be released.
ParlaMint-GB_2016-09-06-commons.u64	Too often the victims of criminal driving and their families are not actually treated as victims of crime, but told that they have been involved in an accident. How can that culture be changed, and when, finally, will we get the review of sentencing for these types of offences?
ParlaMint-GB_2016-09-06-commons.u65	I do not believe that that is in my purview, but if the hon. Gentleman writes to me I will by all means reply to him on the issue. I agree that victims in such situations need more protection and that the culture needs to change.
ParlaMint-GB_2016-09-06-commons.u66	One of the best ways to ensure that justice is served is to ensure that victims have the chance to make a victim impact statement to the court, but that does not always happen. What can the Minister do to ensure that it happens in every case?
ParlaMint-GB_2016-09-06-commons.u67	As I understand it, victims are now getting more of an opportunity to make a victim impact statement because they can do so online. I agree with my hon. Friend that that should be possible.
ParlaMint-GB_2016-09-06-commons.u68	As has been mentioned, today’s report on violence against women and girls shows an increase in prosecutions. However, victims charities remain concerned about their futures, as was stated by the chair of the Association of Police and Crime Commissioners Supporting Victims Group when asking the Ministry earlier this year to clarify what funding is available to PCCs. The Minister told my hon. Friend the Member for Wigan (Lisa Nandy) that he will be “keeping an eye on this matter”. With respect, keeping an eye on the matter is not good enough. Will the Secretary of State now confirm that victims services will receive the full funding that they require?
ParlaMint-GB_2016-09-06-commons.u69	The victims services budget has increased significantly from £48 million in 2010-11 to about £95 million in the current financial year. In 2016-17, for example, we have allocated about £7 million to 99 rape support centres to provide therapeutic and practical help to male and female victims of rape and child sexual abuse. I do not recognise the description given by the shadow Secretary of State. The Government are committed to protecting victims, particularly women who have been victims of crime.
ParlaMint-GB_2016-09-06-commons.u70	6. What steps her Department is taking to prevent the use of mobile phones in prisons.
ParlaMint-GB_2016-09-06-commons.u71	The illicit use of mobile phones in prison undermines security, order and control, and has been linked to many forms of criminality. The Government are determined to take action to stop it.
ParlaMint-GB_2016-09-06-commons.u72	The connection between technology and radicalisation by the dissemination of extremism in prisons is one of the most critical challenges we face. Will my hon. Friend continue to do everything possible to ensure that prisoners, who already face difficulties re-engaging with society, do not have that difficult task made impossible by those who would use technology such as mobile phones to spread extremist poison?
ParlaMint-GB_2016-09-06-commons.u73	My hon. Friend will no doubt have seen the Government’s response to the review on extremism. I assure him that we will continue to work tirelessly to ensure that extremist ideologies are not spread by any means, including mobile phones.
ParlaMint-GB_2016-09-06-commons.u74	There have been reports from Swansea prison of people throwing mobile phones over the wall, which provides anonymity that allows prisoners to indulge in all sorts of criminal activity. What is the Minister doing about that sort of thing?
ParlaMint-GB_2016-09-06-commons.u75	The hon. Gentleman makes an important point. Every governor I have spoken to in the last six weeks has mentioned the growing problem of illegal mobile phones in prison. I believe that technology is vital to detecting and blocking such phones. That is why, in addition to the range of technologies that have already been deployed across the prison estate, we have held a high-level meeting with mobile network operators and asked them to use their expertise to develop new technological solutions to deny mobile phone signals in prisons. As responsible businesses, I expect those operators to co-operate fully.
ParlaMint-GB_2016-09-06-commons.u76	7. What assessment she has made of the adequacy of court provision in Bury.
ParlaMint-GB_2016-09-06-commons.u77	There is, and there will be, an appropriate level of court provision for the people of Bury.
ParlaMint-GB_2016-09-06-commons.u78	I warmly welcome my hon. and learned Friend to his new role and thank him for that brief reply. Although court provision might be regarded as adequate now, it is important that it continues to be adequate in the future. I ask the new Lord Chancellor and ministerial team to look again at the proposals for north Manchester and, in particular, at the consequential effects on the police budget, given that the police will be faced with longer journey times when they attend court.
ParlaMint-GB_2016-09-06-commons.u79	We might be faced with longer questions as well, but we are immensely indebted to the hon. Gentleman nevertheless.
ParlaMint-GB_2016-09-06-commons.u80	May I start by paying tribute to the work that my hon. Friend has done and the proposals he has made for his local courts? He will know, as a lawyer, that we are investing a huge amount of money—a good £1 billion—to transform our courts and tribunals. Modern technology improves efficiency and means that fewer people need to attend court in person. Excellent facilities are available to the people of Bury and Manchester, which have some of the best courts in the country.
ParlaMint-GB_2016-09-06-commons.u81	The Minister will know that the proposals across the whole of Greater Manchester are far-reaching and that they are controversial in parts of the city region. Will he explain to the House precisely what was agreed with Greater Manchester combined authority in the memorandum of understanding that his Department signed with it? Does it mean that the combined authority can look again at some of the court closures?
ParlaMint-GB_2016-09-06-commons.u82	The hon. Gentleman will realise that none of these decisions is taken lightly. It is important to work closely with local government, and that is exactly what has been happening. To give him an impression of the tremendous improvement the court modernisation programme is making, it has been going for four months and 6 million pieces of paper have been avoided as a result.
ParlaMint-GB_2016-09-06-commons.u83	Avoided?
ParlaMint-GB_2016-09-06-commons.u84	Yes, 6 million pieces of paper have been avoided by using digital case files. That is a pile of paper as high as the Shard—the largest building in London.
ParlaMint-GB_2016-09-06-commons.u85	rose—
ParlaMint-GB_2016-09-06-commons.u86	Order. Huntingdon is a splendid part of the world that deserves to be represented effectively by the hon. Gentleman, whom I have known for a quarter of a century, but it is a long way from Bury, to which this question exclusively relates. [Interruption.] Order. The question is about Bury, I say to the young fellow. He can come in later—we look forward to hearing from him.
ParlaMint-GB_2016-09-06-commons.u87	8. What information her Department holds on the level of social mobility and social diversity within the legal professions.
ParlaMint-GB_2016-09-06-commons.u88	That information is published by the legal professions. For example, 13% of QCs are women, and 6% declare themselves as coming from a black, Asian and minority ethnic background.
ParlaMint-GB_2016-09-06-commons.u89	Available data show very limited progress, particularly with only 13% of QCs and only a third of the people practising at the Bar being women. What can the Government do to improve that and rattle up the profession a bit?
ParlaMint-GB_2016-09-06-commons.u90	We want a justice system that works for everyone and a legal services industry that uses all the talent in our country. I have already had very positive conversations with the Lord Chief Justice, who is keen to improve diversity figures in the judiciary, and I am due to meet the Bar Council shortly to talk specifically about the Bar.
ParlaMint-GB_2016-09-06-commons.u91	What assessment has my right hon. Friend made of opportunities to increase apprenticeship-based routes into the legal professions and prison services to increase social mobility?
ParlaMint-GB_2016-09-06-commons.u92	I am a huge fan of apprenticeships. The new apprenticeship levy brings a big opportunity for some of our large legal services firms, and right across the board, to increase the number of apprenticeships. I will certainly be talking to those firms about that over the coming months.
ParlaMint-GB_2016-09-06-commons.u93	At one London provider of legal education, fees for the academic year ahead are as follows: nearly £11,000 for the graduate diploma in law; more than £15,000 for the legal practice course; and near to £19,000 for the Bar professional training course. That is on top of the cost of university education. Such fees are beyond the reach of many people from ordinary backgrounds. Given that reality, how will the Minister ensure a diverse legal profession?
ParlaMint-GB_2016-09-06-commons.u94	I have been discussing this matter right across the legal profession. At the younger end we are seeing a lot more diversity; the question is how people progress through the pipeline. I would like more transparency so that we can look at people moving through the system. I have no doubt that the Lord Chief Justice and leading judges want to see more diversity. They are very keen to work with me on this agenda.
ParlaMint-GB_2016-09-06-commons.u95	9. What steps the Government plan to take to tackle mental health issues in prisons.
ParlaMint-GB_2016-09-06-commons.u96	15. What steps the Government plan to take to tackle mental health issues in prisons.
ParlaMint-GB_2016-09-06-commons.u97	Prisons must become places of rehabilitation where offenders can change their lives and turn away from crime. Addressing health needs, including mental health, is key to creating a safe and rehabilitative environment for prisoners. We are committed to meeting the mental health needs of prisoners. All prisons have procedures in place to identify, manage and support people with mental health illness.
ParlaMint-GB_2016-09-06-commons.u98	Will the Minister confirm that governors will have new powers and abilities to run their own mental health and health budgets, and will that include co-commissioning of mental health services with local clinical commissioning groups?
ParlaMint-GB_2016-09-06-commons.u99	The approach going forward is under consideration at present. Governors have an important part to play in helping to structure healthcare services within their prisons.
ParlaMint-GB_2016-09-06-commons.u100	Does the Department have a precise figure for the number of people in prison at the moment who have mental health issues? Will my hon. Friend reassure me that prison staff are adequately trained to deal with people who exhibit mental health issues?
ParlaMint-GB_2016-09-06-commons.u101	Based on a Ministry of Justice survey, 49% of prisoners were assessed as being at risk from anxiety and/or depression and 16% reported symptoms indicative of psychosis. Department of Health figures, however, are somewhat different; north of 90% of prisoners have a mental health problem if substance misuse is included. I am seeking more data on this area. We are committed to meeting the mental health needs of prisoners, which is why all new intake prison officers receive mental health awareness training as part of their entry-level training.
ParlaMint-GB_2016-09-06-commons.u102	One hundred people have taken their lives in our prisons in the past year. That is the highest level for over 25 years. More than 9,000 people have self-harmed in our prisons. That is an increase of over 25% in the past year alone. The Government should be ashamed: it is a dereliction of their duty of care. I want to know, having listened to the answer from the Government, what they are actually going to do to look after the thousands of prisoners who have serious mental health conditions and are not being looked after.
ParlaMint-GB_2016-09-06-commons.u103	The aetiology of mental health is pretty complex. The genesis of problems do not just occur over the term of a Parliament. The system in place for mental healthcare and the continuity of care for people before, during and post their stay in prison is clearly not where it should be. I would argue that that has been the case for many decades. I have been asked to look at this matter and will be doing so, but it is a huge and complex area. As a consequence, I am not about to make any commitments at the Dispatch Box.
ParlaMint-GB_2016-09-06-commons.u104	There is a particular risk for women in prison. Some 30% of women prisoners have had a previous admission for a psychiatric problem before they went into prison. In the past year, 11 women have killed themselves. My impression is that that is because the previous Secretary of State did not focus on the recommendations of the Corston report, which would have ensured a better level of mental health for women in prison. What is this Minister going to do on the Corston report and on women in prison?
ParlaMint-GB_2016-09-06-commons.u105	I have read the Corston report and it is a good report. It was published in 2007 and it is still relevant today; it has intellectual coherence with the Charlie Taylor report on youth offenders. I will be looking at it and I am personally persuaded by some of the arguments in it, but I see no evidence that the former Secretary of State was not in any way keeping a close eye on the matter.
ParlaMint-GB_2016-09-06-commons.u106	10. What steps her Department is taking to provide additional support for prisons with increased numbers of inmates who are detained for sexual offences.
ParlaMint-GB_2016-09-06-commons.u107	We will always have prison places to fulfil the orders of the courts. Those convicted of sexual offences are just one cohort of a range we manage daily across the estate. In doing so, we will make sure that estate capacity is realigned to meet the demand for places, including for those convicted of sexual offences.
ParlaMint-GB_2016-09-06-commons.u108	Her Majesty’s prison Lewes in my constituency has seen a huge surge in prisoners either on remand or serving a sentence for sexual offences. This is putting massive pressure not just on staffing but on space and resources. What specific help can the Minister give HMP Lewes?
ParlaMint-GB_2016-09-06-commons.u109	My hon. Friend makes a very valid point. Those at HMP Lewes who are charged with sexual offences are generally held in separate units that provide suitable accommodation for their offending behaviours. Perhaps I can reassure her that the prison received £153,000 of the Government’s £12 million fund for safety, and that it plans to spend that on staff, focusing on safety and on violence reduction. There is a recruitment drive going on at the moment. Staff are being vetted and a number of staff will be starting imminently.
ParlaMint-GB_2016-09-06-commons.u110	Surely the Minister understands that, whether it is prisoners who have been tried and convicted for crimes of a sexual nature or prisoners with mental health and other problems, it is the quality of the management of our prisons that must give us all great concern. When my Select Committee looked at education in prisons, we kept coming back to the fact that the culture of the prison comes from the top and is supported by well trained and well educated prison officers.
ParlaMint-GB_2016-09-06-commons.u111	On this rare occasion, I agree entirely with the hon. Gentleman—the quality of leadership in a prison makes a huge difference to the regime. It makes a huge difference to how staff are inspired and to the rehabilitation of offenders. That is why Government Members are arguing for prison reform to empower governors, give them control of budgets and enable them to get local resources to meet the needs of offenders.
ParlaMint-GB_2016-09-06-commons.u112	11. What steps the Government are taking to ensure that offenders find employment on release.
ParlaMint-GB_2016-09-06-commons.u113	16. What progress her Department is making on ensuring that offenders find employment on release.
ParlaMint-GB_2016-09-06-commons.u114	Most offenders arrive in prison with very low levels of educational attainment, very high levels of substance misuse and a very poor employment history. I believe that the purpose of modern prisons is to keep the public safe and to tackle each of those issues, so that prisoners have the foundations to secure and hold down a job on release.
ParlaMint-GB_2016-09-06-commons.u115	I thank my hon. Friend, but I have recently visited prisoners from my constituency who told me that offenders do not have access immediately on their release to national insurance numbers, bank accounts or unemployment benefits. Will the Minister let me know what steps the Government are taking to improve this situation?
ParlaMint-GB_2016-09-06-commons.u116	I agree with my hon. Friend that if “through the gate services”, as we call them, are to work and to stop reoffending, national insurance numbers, bank accounts and so forth need to be in place. There is a series of programmes in place to tackle this problem, including an offender banking programme, which opens about 5,000 new bank accounts every year.
ParlaMint-GB_2016-09-06-commons.u117	The Minister has rightly identified the fact that research shows that employment after custody greatly reduces the chances of reoffending, so what work is his Department doing with the Department for Work and Pensions to make sure that offenders not only find work after they leave prison, but stay in work?
ParlaMint-GB_2016-09-06-commons.u118	As my hon. Friend has rightly identified, tackling the challenge—and it is a challenge—of getting prisoners work when they leave requires a concerted effort across government and locally across the community. Every prisoner has the opportunity to meet a DWP work coach before release, and the work coach’s role is to guide them towards employment. Work coaches can also ensure that prisoners know their national insurance numbers and get the other services they need to be able to make an appropriate transition into the community.
ParlaMint-GB_2016-09-06-commons.u119	Many prisoners are already on short-term sentences of under nine months and are often in prison for very short periods. Will the Minister give us some advice on how governors will be judged on placing such prisoners into employment when the challenges are very difficult?
