ParlaMint-GB_2016-03-10-commons.u1	1. What steps his Department is taking to implement its road investment strategy.
ParlaMint-GB_2016-03-10-commons.u22	It is particularly important that we co-ordinate rail and road systems, particularly in regard to freight, and HS2 will open up a large number of additional freight paths that will take pressure off the roads. Co-ordination will be absolutely vital and we are working with Transport for the North and the leaders of the great cities of the north, including Liverpool, to make sure that that happens. Indeed, I shall be in Liverpool later today.
ParlaMint-GB_2016-03-10-commons.u23	18. My hon. Friend will be aware of the absurd situation on Canvey where, although residents can virtually kick a football at the new DP World container port, it is easier to access the tens of thousands of jobs there by travelling from the east end of London. What support can he give my residents on Canvey Island who have been campaigning for a third road for many decades?
ParlaMint-GB_2016-03-10-commons.u24	I very much agree that new road infrastructure can transform local economies and boost access to jobs, which is why we have given significant funding and freedoms to local areas to take forward schemes such as this. We will be announcing further funding opportunities very soon. I hope that my hon. Friend will continue to make the case for that project with Essex County Council and the South East local enterprise partnership. The port facilities in her constituency are absolutely superb, and it is important that we give them the infrastructure that they need to back them up.
ParlaMint-GB_2016-03-10-commons.u25	Large local infrastructure projects have been the hallmark of the Scottish Government since they came to power in 2007. There have been too many to list here, but they include the Borders rail link, the Tarbert to Campbelltown trunk link road and, in my own constituency, the dualling of the A9 between Perth and Inverness. According to independent analysis, Scotland is investing twice as much per person in transport as England. That includes active travel projects such as cycling, on which we are already way ahead of the UK. Last year, this Government announced a new £680 million access fund up to 2021. Can they clear up the confusion about when that fund is going to go ahead?
ParlaMint-GB_2016-03-10-commons.u26	It is interesting that the hon. Gentleman did not mention the high-speed rail line between Edinburgh and Glasgow, which has been conveniently shelved. He may be aware that SNP-controlled Perth and Kinross Council has decided that potholes now have to be at least 60 mm deep—that is nearly 2 and a half inches—before it will consider filling them in. That indicates what its priorities might be in some cases.
ParlaMint-GB_2016-03-10-commons.u27	The Minister and I may disagree on many things, but one thing that we do agree on is the benefits of cycling. The cycle-to-work scheme has been a popular and progressive policy, and credit is due to the Government for continuing with it. However, in the summer Budget, the Treasury said that it was actively monitoring salary sacrifice arrangements because they were becoming increasingly popular. In Scotland, progressive policies that work and are popular are something that the Government there support. Will he confirm that he is working to ensure that the Chancellor will protect cycle-to-work schemes in the forthcoming Budget?
ParlaMint-GB_2016-03-10-commons.u28	The hon. Gentleman may have to be patient and wait for the Budget, but certainly schemes such as the cycle-to-work scheme are very good. Large numbers of people who have bicycles are using them to get to work and it is a great way of getting people fit and active, as well as reducing congestion on our roads.
ParlaMint-GB_2016-03-10-commons.u29	3. What recent assessment he has made of trends in the level of the cost of public transport to passengers.
ParlaMint-GB_2016-03-10-commons.u30	The Government understand the importance of affordable transport and we have capped regulated rail fares at the level of RPI for two years running, and will do so for the life of this Parliament. The bus market outside London is deregulated and decisions regarding setting the level of fares is therefore primarily a decision for commercial bus operators. Almost £1 billion is provided each year to fund concessionary travel, ensuring free bus travel for the elderly and disabled.
ParlaMint-GB_2016-03-10-commons.u31	More than 2,500 people commute into Bradford, and more than 7,000 commute out of Bradford by rail, so fast, cheap and efficient connections with the rest of the region are vital for jobs and our local economy. What is the Minister doing to ensure fast, cheap and efficient connections in the region, considering that rail fares across the country have gone up by 25% and punctuality has deteriorated?
ParlaMint-GB_2016-03-10-commons.u32	I know the city of Bradford very well, having gone to school there and lived just outside it for many years. I would have expected the hon. Gentleman to welcome the investment that we are seeing in rail. Appley Bridge railway station has only just opened in his constituency, and he has had investment in Frizinghall as well. We are seeing investment across the north, including in West Yorkshire, and there is the ability to keep fares down in the Metro region. I repeat my point about how we have capped regulated rail fares and removed the fare “flex”.
ParlaMint-GB_2016-03-10-commons.u33	One of the problems for local bus passengers is congestion and delays. People in Kettering always say that, when the traffic lights stop working, the traffic flows much better. Given that the Minister is responsible for local roads, will he consider undertaking a pilot whereby we can switch traffic lights off and get traffic and buses flowing more freely?
ParlaMint-GB_2016-03-10-commons.u34	My hon. Friend makes an ingenious link to the cost of public transport. I am aware, because I hear it quite regularly in my own area as well, that traffic is said to flow more freely when traffic lights do not work. I have major reservations about that argument. At the same time, initiatives are being put in place to keep traffic flowing. I will have a look at what my hon. Friend says, but we should be very cautious about removing traffic lights, as they are a key ingredient in road safety.
ParlaMint-GB_2016-03-10-commons.u35	No one in Yorkshire would mind paying the fares on a good trans-Pennine link. Indeed, Ministers have already said that they will be using that sort of transport tomorrow—I hope that they will stop off in Huddersfield to celebrate the centennial of Harold Wilson’s birth, which is tomorrow. We would not mind paying the fares if the delivery of the service were fast, efficient and comfortable.
ParlaMint-GB_2016-03-10-commons.u36	The hon. Gentleman has forgotten the investment that is being made, the improvements that are coming through the franchise for the east coast main line and for the trans-Pennine line, and the significant enhancements for Huddersfield, including the London connections.
ParlaMint-GB_2016-03-10-commons.u37	Will the Minister join me in welcoming the fact that, thanks to the Government’s action to cap rail fare increases, wages are now rising faster than fares for the first time since 2003?
ParlaMint-GB_2016-03-10-commons.u38	My hon. Friend makes as wise a point as ever. We are trying to ensure that regulated rail fares are affordable. What we are seeing is a wide range of tickets on offer, including some very low-priced fares, which can be bought in advance. That allows more people to travel by rail. We only have to look at the growth in passenger numbers to see how that is working.
ParlaMint-GB_2016-03-10-commons.u39	The number of bus and rail passengers in Northern Ireland has fallen. I know that London is the exception, but outside London, numbers have fallen as well. Fifty-seven per cent. of commuters travel by car. What steps can the Minister take to encourage more people to cycle or walk to work, where possible, promoting healthier lifestyles and reducing the carbon footprint?
ParlaMint-GB_2016-03-10-commons.u40	An element of the road investment strategy is to promote cycling and we also have the cycling and walking investment strategy, which has already been mentioned.
ParlaMint-GB_2016-03-10-commons.u41	I call Bob Blackman. Not here. Where is the chappie?
ParlaMint-GB_2016-03-10-commons.u42	5. What steps his Department is taking to increase the frequency of trains between Birmingham and Telford.
ParlaMint-GB_2016-03-10-commons.u43	Telford serves more than 1 million passengers each year, and I was pleased to negotiate services with Virgin Trains in 2014 from Shrewsbury to London via Telford and Birmingham We are currently running a public consultation to help to specify the next west midlands franchise and will launch a public consultation on the new west coast franchise in June. I encourage my hon. Friend and her constituents to make their views known through that process.
ParlaMint-GB_2016-03-10-commons.u44	I thank the Secretary of State for his reply, for which my constituents will be grateful. Telford is a rapidly growing new town that is 26 miles from Birmingham, yet it takes 51 minutes to get there. Will he continue to work with me to ensure that we have a 21st century rail system for Telford?
ParlaMint-GB_2016-03-10-commons.u45	I most certainly will. I recognise the growing importance of connectivity between cities. My hon. Friend’s point about Telford and its relationship with Birmingham is important.
ParlaMint-GB_2016-03-10-commons.u46	The Secretary of State knows Wolverhampton well because of his youth and his fighting a parliamentary seat there, so he will know that trains from Telford to Wolverhampton to Birmingham to London are far slower than trains from Stafford to London because of the bottleneck in the urban west midlands. When will the Government get around to quad-tracking the Coventry to Stafford corridor?
ParlaMint-GB_2016-03-10-commons.u47	The hon. Gentleman is right that I know the area incredibly well, but we have seen major investment in the west midlands, including the re-establishment of the service from Shrewsbury via Telford, to which I referred in answer to my hon. Friend the Member for Telford (Lucy Allan), which has been welcomed. He is right that there is always demand for extra investment, but that must be measured against the record investment that we are putting into our railways.
ParlaMint-GB_2016-03-10-commons.u48	Cannock Chase, like Telford, is connected to Birmingham via a local line. It is a service that my right hon. Friend knows incredibly well. Unfortunately, users of the Chase line report multiple issues, such as late, overcrowded and cancelled trains. Will he confirm that the electrification project, which will mean that users will have a much better and frequent service, is on track for completion by the end of 2017?
ParlaMint-GB_2016-03-10-commons.u49	I am grateful to my hon. Friend for her question. I was in her constituency just a few weeks ago and noticed that electrification work had already started on the line that runs through Hednesford to Cannock, not least at Stafford Lane and down by Brindley Heath where new bridges have been put up. I happen to know the area very well; it is where I grew up.
ParlaMint-GB_2016-03-10-commons.u50	6. When the Government plan to make a decision on the location of a UK spaceport.
ParlaMint-GB_2016-03-10-commons.u51	The Government’s ambition is for the UK to have the facilities and regulatory environment in place for commercial spaceflight during this Parliament. My Department is currently working closely with the Department for Business, Innovation and Skills to assess and understand the technical requirements, with the aim of announcing the process for spaceport selection later this year.
ParlaMint-GB_2016-03-10-commons.u52	As the Member for Argyll and Bute, I have championed and will continue to champion the Machrihanish bid to become the UK’s spaceport. The community-owned facility has considerable advantages, including a 3 km runway and the overwhelming backing of the community. When will the next stage criteria be announced by the Department for Transport? Can the Minister assure all those who are working hard to bring the project to Machrihanish that the Government are still 100% committed to the creation of a UK spaceport?
ParlaMint-GB_2016-03-10-commons.u53	I can certainly confirm that. In fact, the Department for Transport has provided £5 million to fund initial phases of work. It is also important that we work with potential operators to check out the facilities that they might want to ensure that they can be provided. It is a great opportunity. With companies such an Inmarsat, Clyde Space north of the border, and Surrey Satellite Technology, we are already world leaders in space technology, so this will be a further step towards pushing against the barriers to British involvement in the space race.
ParlaMint-GB_2016-03-10-commons.u54	I thank the Minister for his recent visit to Cornwall Newquay airport where he saw the excellent facilities we have there to host the spaceport. Will he confirm that he went away with the very clear message that Cornwall not only can accommodate but is ambitious to be the English bid for the spaceport?
ParlaMint-GB_2016-03-10-commons.u55	I certainly did get a very clear message and was taken up by the enthusiasm of the people in Newquay. I was recently at Prestwick, as well, so I know that other airports are interested. I did notice when I was at Prestwick that there was no shortage of slots to use; it seemed quite quiet when I was there.
ParlaMint-GB_2016-03-10-commons.u56	7. What steps he plans to take to ensure that rural communities have access to regular bus services.
ParlaMint-GB_2016-03-10-commons.u57	We are very aware of the importance of bus services to rural communities and, in recognition of that, we were able to protect the bus service operators grant funding as part of the spending review last year. The Government paid out some £250 million last year to support bus services in England through BSOG, of which around £40 million is paid directly to local authorities.
ParlaMint-GB_2016-03-10-commons.u58	Will the Minister agree to look into the provision of buses in the rural part of my constituency for local students travelling to school compared with national averages, and advise on how we can improve that?
ParlaMint-GB_2016-03-10-commons.u59	All children aged between five and 16 qualify for free school transport if they attend their nearest school and it is sufficiently far from their home. The decision to provide additional services will be a matter for the local authority and some do, such as the Staffordshire scheme for those aged between 11 and 19. There is obviously an issue that concerns my hon. Friend and I will be happy to meet him to explore the issue further and to try to help.
ParlaMint-GB_2016-03-10-commons.u60	One section of our population that is particularly disadvantaged by poor bus services, both rural and urban, is young people, who are also hit by the cost of travelling. What are the Government doing to help young people access transport and to help them with the cost?
ParlaMint-GB_2016-03-10-commons.u61	There is a mixture of support through national and local government. Individual local authorities decide their funding priorities, but local authorities in England have spent an average of £330 million a year over the past three years supporting bus services, and 42% of bus income comes from public funds. I have already talked about BSOG support nationally.
ParlaMint-GB_2016-03-10-commons.u62	Will the Minister consider rural bus service provision in Eddisbury, where cuts to bus services have meant that apprentices cannot access apprenticeships and college students cannot get to the local college without having to take two buses? May I invite the Minister to meet me to discuss that?
ParlaMint-GB_2016-03-10-commons.u63	I will be happy to meet my hon. Friend. Access to bus services is very important, and that is especially true when it facilitates people’s access to work.
ParlaMint-GB_2016-03-10-commons.u64	Government tax makes up 70% of the cost of fuel. Does the Minister agree with the Scottish National party that there should be a continued freeze on fuel duty and that that will help to control the cost of bus services in rural areas?
ParlaMint-GB_2016-03-10-commons.u65	Fuel duty might well be something for the Chancellor to consider rather than me, but I can highlight the bus service operators grant, which used to be called the fuel duty rebate and provides a 34.57p subsidy per litre of fuel used. We are supporting bus companies and local authorities through that mechanism.
ParlaMint-GB_2016-03-10-commons.u66	Subsidy for all 118 supported bus routes in Oxfordshire is being withdrawn and, earlier this week, I travelled on the popular 215 service along with the excellent Labour and Co-operative councillors for Witney and Chipping Norton, who are campaigning to protect their local bus networks. Will the Minister join me in welcoming the fact that some additional funding has now been secured for local transport on a cross-party basis and does he agree that when the buses Bill is published, it must address the severe challenges facing rural bus services, including in the Prime Minister’s constituency?
ParlaMint-GB_2016-03-10-commons.u67	I remind the hon. Lady that she was busy saying that we were going to completely cut and lose BSOG, but it has been protected. I am always pleased to hear that local authorities are supporting their bus services, because I value the role that buses play in local communities. We should be supporting local authorities in deciding their funding priorities.
ParlaMint-GB_2016-03-10-commons.u68	8. What funding his Department is providing to help refurbish railway stations.
ParlaMint-GB_2016-03-10-commons.u69	I am proud that under Conservative-led Governments since 2010, my Department has made almost £400 million pounds available for station improvements through programmes such as the national stations improvement programme, the station commercial project facility, the new stations fund and the Access for All scheme. In addition, we have many improvements delivered by operators through franchise commitments or through substantial local growth funding.
ParlaMint-GB_2016-03-10-commons.u70	What effort is the Minister making to ensure that the rail franchise holders pay their fair share to maintain the railway structure? Will she look at how the Nuckle project in Coventry is working out, in relation to the frequency of train stops at the Ricoh Arena? I believe that there are some problems there.
ParlaMint-GB_2016-03-10-commons.u71	We are clear in our franchising agreements that improvements to stations are absolutely part of those projects. The hon. Gentleman has benefited locally, with Virgin West Coast installation of automatic ticket machines at Coventry station. I was pleased to participate in the opening of the Coventry Arena and Bermuda Park stations, to which the Department contributed almost £5 million, the first stage of the vital Nuckle scheme. That scheme was 14 years on paper under Labour; delivered under this Government thanks to the amazing efforts of the Under-Secretary of State for Communities and Local Government, my hon. Friend the Member for Nuneaton (Mr Jones).
ParlaMint-GB_2016-03-10-commons.u72	Sounds very exciting indeed, I am bound to say.
ParlaMint-GB_2016-03-10-commons.u73	When we consider rail station refurbishments, one of the things that we should prioritise is disabled access. On the Chessington branch in my constituency there is not a single accessible station. In the renewal of the South Western route franchise, will the Minister therefore consider prioritising improvements to disabled access on our train stations?
ParlaMint-GB_2016-03-10-commons.u74	Mr Speaker, I am glad that you share my excitement about the improvements in the rail networks. We have set up the £400 million Access for All scheme, which has been wisely and well spent. I am always happy to look at additional station improvements and to meet with my hon. Friend to discuss.
ParlaMint-GB_2016-03-10-commons.u75	I rise to support the point made by the hon. Member for Kingston and Surbiton (James Berry). I have nine train stations in my constituency. Unfortunately, about half are inaccessible for people in wheelchairs or with prams. We were using Access for All to improve those stations. The funding has been cut in half. Are we really doing enough?
ParlaMint-GB_2016-03-10-commons.u76	I am afraid I dispute the statement that funding has been cut in half. The first phase of the programme—£400 million—was delivered, but I am always keen to look at cost-effective ways to improve access for disabled people and young mothers with buggies, for whom a flight of stairs, as I know, and dads like the hon. Gentleman with his daughter know, can be a real problem. I am happy to meet further to discuss.
ParlaMint-GB_2016-03-10-commons.u77	Residents in Torbay have welcomed some of the investment that we have seen to improve Torquay station, but Paignton station is a relic of the Beeching era. It is the old goods shed, which was converted into a station. Will she meet me and a delegation from the bay to discuss how we can make Paignton a terminus for the 21st century?
ParlaMint-GB_2016-03-10-commons.u78	Of course. The best way to deliver station improvements is to get together the local group, the local enterprise partnership, local businesses and local communities. The record Government investment in the railways is best spent when it is pulled through to support local needs.
ParlaMint-GB_2016-03-10-commons.u79	What assurance can the Minister give that full accessibility for passengers with disabilities is made a priority in the refurbishment of railway stations? Will she ensure that the needs of passengers are central to the refurbishment or renovation of stations without any access provisions or stations that need upgrading? How can that be achieved, given the 40% cut to Access for All funding?
ParlaMint-GB_2016-03-10-commons.u80	I sometimes wonder whether we are reading the same papers. The Government are spending more on the railways—£38 billion—than has been spent at any time since the Victorian era. The hon. Gentleman is right to point out that disability access is hugely important. It is also important on the trains. All the train fleet will be disability compliant in the next few years. It is important, but we have a limited amount of money to spend on upgrading the railways, which were woefully neglected under his Government.
ParlaMint-GB_2016-03-10-commons.u81	9. What steps he is taking to tackle the use of laser pens to target aircraft.
ParlaMint-GB_2016-03-10-commons.u82	There is already legislation prohibiting the use of lasers on aircraft. It is an offence to direct or shine any light at any aircraft in flight so as to dazzle or distract the pilot of the aircraft. Anyone found guilty of this offence could be liable to a fine, up to a maximum of £2,500. Anyone found guilty of endangering an aircraft, could be liable to up to five years imprisonment. We will keep this under review.
ParlaMint-GB_2016-03-10-commons.u83	I welcome the previous changes, which I backed, but more needs to be done. Half of pilots have reported a laser pen attack in the past 12 months, and it is a particular problem around Leeds-Bradford airport. What measures such as licensing or classification of laser pens as offensive weapons could be considered to put a stop to this dangerous practice?
ParlaMint-GB_2016-03-10-commons.u84	A number of measures are being considered across Government Departments. I take the matter very seriously, particularly in the light of certain recent events that have been reported.
ParlaMint-GB_2016-03-10-commons.u85	Following my conversation with the Secretary of State for Justice, I tabled a private Member’s Bill to prohibit certain high-powered laser pens. Will my right hon. Friend speak to the Secretary of State for Justice to see whether the Bill can be taken forward? As the hon. Member for Leeds North West (Greg Mulholland) says, access to certain types of laser pens needs to be controlled.
ParlaMint-GB_2016-03-10-commons.u86	I am aware of my hon. Friend’s Bill. I can assure him that not only will I talk to the Secretary of State for Justice, but we are talking across other Government Departments as well. As I say, the issue is taken extremely seriously. I will also listen to the representations that have been made to the Department by the British Airline Pilots Association and the Civil Aviation Authority.
ParlaMint-GB_2016-03-10-commons.u87	As we have just heard, the issue has had much coverage in the media over the past few months. The number of incidents has rocketed, no more so than in Glasgow, the area neighbouring my constituency, where more aircraft were targeted in the first two months of this year than in the whole of last year. Has the Minister made any representations on the matter to the Scottish Government and, if so, can he share those with the House?
ParlaMint-GB_2016-03-10-commons.u88	I am more than happy to ensure that the Scottish Government are consulted if it is decided to take any further measures. The matter is taken seriously in all parts of the House and I welcome the points that the hon. Lady makes.
ParlaMint-GB_2016-03-10-commons.u89	10. What his policy is on privatisation of Network Rail.
ParlaMint-GB_2016-03-10-commons.u90	I have no plans.
ParlaMint-GB_2016-03-10-commons.u91	The Secretary of State will be aware that the Treasury-backed Shaw report, the final version of which is due to be published next week and which looks at the future financing of railways, has made it clear that full privatisation of Network Rail is on the table. I am sure the Minister would agree that we do not want to go back to the dark and chaotic days of the private management of our rail system under Railtrack. Beyond having no plans, will he commit himself today to rejecting any recommendations that lead to the privatisation of Network Rail?
ParlaMint-GB_2016-03-10-commons.u92	I congratulate the hon. Gentleman on seeing a report which I do not think has been published yet. How he knows what the contents are is beyond me. I am very proud of what we have achieved with the railway industry. It has been a fantastic success, with the franchising that takes place. I am sorry that that is being put at risk, not by the Government, but by the Opposition.
ParlaMint-GB_2016-03-10-commons.u93	Does my right hon. Friend agree that the evidence from other sectors shows that privatisation has the potential to increase efficiency and improve performance?
ParlaMint-GB_2016-03-10-commons.u94	I do agree, but there is obviously responsibility for a system of railway maintenance and improvement, which is very important. Through the private sector we have seen vast improvements in our railway service. At the time of privatisation of our railways, there were 750 million people a year using trains; last year there were 1.6 billion and that figure is growing year on year. So I do not have to be convinced about the advantages of a system that has evolved over a number of years, using the private sector. I will consider any other ways in which we can involve the private sector in providing better railway services for our constituents.
ParlaMint-GB_2016-03-10-commons.u95	22. Network Rail has confirmed that it has considered selling up to 18 major stations and a number of other assets as it struggles to plug a £2.5 billion budget black hole. Would the Secretary of State like to comment on that?
ParlaMint-GB_2016-03-10-commons.u96	The hon. Lady talks about a £2.5 billion black hole. We are investing over this railway period some £38 billion in Network Rail. If Network Rail is sitting on certain assets, should it consider disposing of some of them so that we can carry on improving the overall system? Yes, it should. I do not see anything wrong with that. Indeed, a number of asset sales took place under the previous Government too.
ParlaMint-GB_2016-03-10-commons.u97	When the Secretary of State reads the Shaw report, I hope he will recognise the relevance of the words of the great rail manager Gerry Fiennes, who said that “when you reorganise you bleed. For many months the few top people who keep the momentum up are distracted from their proper job. Punctuality goes to hell. Safety starts to slip. Don’t reorganise. Don’t. Don’t. Don’t.” There is broad cross-party support for investment in the railways, for maintaining our outstanding safety record, and for delivering major projects such as HS2, so will the right hon. Gentleman give me an assurance that the progress that has been made will not be jeopardised by pursuing unneeded, unwanted and dangerous plans to privatise Network Rail?
ParlaMint-GB_2016-03-10-commons.u98	I can tell the hon. Lady with absolute certainty that there are no plans to continue a disastrous policy of nationalising the railways, which is one that she and her party leader put forward. She just talked about all the investment that is going on, and, indeed, she has seen quite a bit of it in her own constituency, not least in Nottingham station. She welcomed that investment—of course she welcomed that investment, and I welcome investment in our railways too. However, it is worth asking how we carry on that level of investment—investment at a level she would only ever have dreamed of when Labour were in government.
ParlaMint-GB_2016-03-10-commons.u99	11. What assessment he has made of progress on the rail electrification programme.
ParlaMint-GB_2016-03-10-commons.u100	In the north-west, the first ever electric trains are now running between Liverpool and Manchester, and between Liverpool and Wigan, and the Farnworth tunnel is now open, further proof of this Government’s commitment to electrification—part of the biggest rail investment since Victorian times Last month, Network Rail marked a significant milestone in the introduction of the brand-new IEP trains by completing all 1,377 foundations needed for the overhead line electrification between Tilehurst and Didcot.
ParlaMint-GB_2016-03-10-commons.u101	I thank the Secretary of State for that answer, but I have to note that, in the Transport for the North document, all the focus is on the large cities. To ensure that the fast-growing regions of Cheshire and, indeed, north Wales are not to be squeezed out by the large cities, will the Secretary of State look again at the possibility of better east-west electrification programmes that include parts of those areas, which he has not mentioned?
ParlaMint-GB_2016-03-10-commons.u102	I thought I had mentioned quite a few areas. The truth is that the investment taking place in the northern hub, including the redevelopment of Manchester Victoria station, does a lot to increase connectivity right across the north-west. That links a number of the places the hon. Gentleman mentions directly into our northern cities.
ParlaMint-GB_2016-03-10-commons.u103	20. Rail commuters in my constituency have been putting up with severe overcrowding for many years. The electrification of part of Bolton’s network is welcome news, but it has been delayed by a year. Will the Government therefore examine whether rolling stock is available to alleviate that overcrowding?
ParlaMint-GB_2016-03-10-commons.u104	We are looking at all problems with rolling stock as a result of any delays in the finalisation of electrification. There is a large amount of new rolling stock coming on to our railways over the next five years, not least the new IEP trains, but also the new trains on Thameslink—the Siemens contract, which is being developed at the moment and coming into operation later this year.
ParlaMint-GB_2016-03-10-commons.u105	There is still an awful lot of engineering work to be carried out around Manchester Piccadilly and Oxford Road, and that work will almost certainly require the re-routeing of trains through to Victoria while it takes place. When that happens, can we please consider using the line through Reddish South and Denton stations, which are currently served by one train a week in one direction only? If trains can be re-routed on to that line, can they please stop at those stations so that we can start to assess the passenger demand that there really is there?
ParlaMint-GB_2016-03-10-commons.u106	If it is such a bad experience, I am sorry that the hon. Gentleman and his predecessor have been so bad at getting better services, but I am always willing to look at any suggestions. However, the hon. Gentleman’s first point, about the problems with major re-engineering work being carried out on the railways, was actually very serious. That work does lead to inconvenience while it is being carried out, and that is something that we do try to address. It is also something that I regularly talk to the chief executive and the chairman of Network Rail about.
ParlaMint-GB_2016-03-10-commons.u107	Clearly, good work is being done throughout the network, although I have to report that no progress is being made on electrification in northern Lincolnshire, which is probably one reason why the recent edition of Rail Magazine had a headline saying, “Rail service is truly grim for Grimsby”. Added to that, the Transport for the North publication this week does not even include northern Lincolnshire routes on its map. Will the Secretary of State assure me that more will be done to improve services to my constituency?
ParlaMint-GB_2016-03-10-commons.u108	After my hon. Friend’s very successful campaign, we managed to protect the services in his area when we renegotiated the franchises. He has always pressed for greater services to his constituency. I will look at the issue, particularly when the new franchise starts operating later this year.
ParlaMint-GB_2016-03-10-commons.u109	12. When construction of High Speed 2 is planned to begin.
ParlaMint-GB_2016-03-10-commons.u110	A great deal of work has already been completed, and actual construction will start next year.
