ParlaMint-GB_2016-11-01-commons.u1	1. What steps her Department is taking to improve safety in prisons.
ParlaMint-GB_2016-11-01-commons.u21	2. How many deaths have occurred in (a) custody suites operated by G4S and (b) other custody suites in the last three years.
ParlaMint-GB_2016-11-01-commons.u22	G4S has not operated court custody suites in England and Wales since 2011.
ParlaMint-GB_2016-11-01-commons.u23	Very vulnerable people are held in custody suites, and many have committed suicide. That translates into the presence of such people in prisons, where, as the Secretary of State has just acknowledged, there have been more deaths in custody than there have been for many years. More women are killing themselves than at any time since the Corston report. When we know what has gone wrong from the reports of coroners’ courts or the Corston report, which have given us real advice on what ought to happen, why is it not happening? Has the Minister read those coroners’ reports?
ParlaMint-GB_2016-11-01-commons.u24	Order. We really do need to make progress. This is very slow.
ParlaMint-GB_2016-11-01-commons.u25	All deaths in custody are a tragedy. They are fully investigated by the independent prisons and probation ombudsman and are subject to coroners’ inquests. As the Secretary of State pointed out, a number of women in prison have been victims of crime themselves and are incredibly vulnerable members of society. As well as modernising the women’s prison estate, we are looking into diversion tactics to ensure that those women do not end up in the criminal justice system in the first place.
ParlaMint-GB_2016-11-01-commons.u26	Which country in the world has the fewest deaths in custody, and what lessons are we learning from that country?
ParlaMint-GB_2016-11-01-commons.u27	I am afraid I cannot name the country with the fewest deaths in custody, but what I can say is that we in this country work to create decent and humane prisons, and we are a signatory to the relevant United Nations protocols. As the Secretary of State has rightly pointed out, the rise in the number of deaths in custody is too high, and for that reason we shall shortly be publishing a safety and reform plan in our White Paper.
ParlaMint-GB_2016-11-01-commons.u28	3. What steps she is taking to tackle bullying and drug abuse at HMP Chelmsford; and if she will make a statement.
ParlaMint-GB_2016-11-01-commons.u29	I share my right hon. Friend’s concerns about what has happened at HMP Chelmsford. I can confirm that it is one of the 10 prisons for which we are training up additional officers. This will provide a 30% increase in officer numbers to help tackle the scourges of bullying and drug abuse.
ParlaMint-GB_2016-11-01-commons.u30	I welcome that answer. It is crucial that more is done to eliminate bullying in the prison. On drug abuse, can the Secretary of State confirm whether sniffer dogs are being used on a regular basis on not only the prison inmates but all types of people entering and leaving prison?
ParlaMint-GB_2016-11-01-commons.u31	I can confirm that that is happening. We have trained 300 sniffer dogs to be able to detect new dangerous psychoactive substances, and that testing was being rolled out across the prison estate in September. [Interruption.]
ParlaMint-GB_2016-11-01-commons.u32	Order. I say very gently to the hon. Member for Dumfries and Galloway (Richard Arkless) that I am sure his constituency has many magnificent merits but it is a long way from Chelmsford.
ParlaMint-GB_2016-11-01-commons.u33	4. What steps she is taking to assess the effect of the Legal Aid, Sentencing and Punishment of Offenders Act 2012 on access to justice.
ParlaMint-GB_2016-11-01-commons.u34	The coalition Government promised to review parts 1 and 2 of the Act and we remain committed to undertaking that review.
ParlaMint-GB_2016-11-01-commons.u35	We are grateful to the Minister for that reply, but I think he may want to take question 15 with question 4.
ParlaMint-GB_2016-11-01-commons.u36	I would be very happy to do that, Mr Speaker.
ParlaMint-GB_2016-11-01-commons.u37	It is very good of the right hon. and learned Gentleman the Minister to be willing to do what he asked me for permission to do; that is extraordinarily gracious of him.
ParlaMint-GB_2016-11-01-commons.u38	15. What assessment she has made of the effect on people on low incomes of changes made to the legal aid system by the Legal Aid, Sentencing and Punishment of Offenders Act 2012.
ParlaMint-GB_2016-11-01-commons.u39	I thank the Minister for his answer to my question, but a TUC report of this October raised concerns that the Act is a barrier to access to justice for victims of domestic violence. The regulations concerning the provision of evidence of domestic violence are restrictive and narrow and have led to a 16% drop in applications and a 17% drop in applications granted. Is it not time the Secretary of State admitted that the Act is denying access to justice for thousands and must be amended?
ParlaMint-GB_2016-11-01-commons.u40	It is of course important that legal aid is available for victims of domestic violence, particularly those seeking protective injunctions. On the evidence requirements, in April we more than doubled the time limit on evidence from two to five years, and we have introduced a provision that allows the Legal Aid Agency to grant legal aid if it is satisfied that an application demonstrates financial abuse. This is important and it has been varied in the light of experience over the last two or three years, and we will continue to monitor it.
ParlaMint-GB_2016-11-01-commons.u41	Access to justice and legal aid are pillars of the welfare state, yet almost one third of legal aid areas in England and Wales have one or no housing advice providers, including the legal aid area covering my constituency. One provider is not enough, so what steps will the Government take to ensure there are at least two providers for each area?
ParlaMint-GB_2016-11-01-commons.u42	It is important to recognise that housing cases where a person’s home is at risk fall within the scope of legal aid. The Law Society has raised concerns, as the hon. Gentleman will know. There are a lot of these cases in some parts of the country, but very few in other parts. What we have done is, through the Legal Aid Agency, taken active steps to ensure that there is adequate provision of housing advice around the country.
ParlaMint-GB_2016-11-01-commons.u43	Two!
ParlaMint-GB_2016-11-01-commons.u44	On the point about one or two providers, there are some places where one firm is providing a range of offices and functions across a number of clients, and other areas where the circumstances only really require that there should be something like a telephone hotline, which there is. The provision that is being made is what is needed.
ParlaMint-GB_2016-11-01-commons.u45	There seem to be conflicting reports on the Government’s position on raising the cost bar for personal injury claims from £1,000 to £5,000. I would be grateful to hear what the Government’s position is.
ParlaMint-GB_2016-11-01-commons.u46	I am grateful to my hon. Friend for raising that important point. The Government have been looking at this issue. I do not think we have made a formal announcement on it yet, and therefore I will write to him giving him the absolute latest position.
ParlaMint-GB_2016-11-01-commons.u47	What assessment has the Minister made of the recent report by Amnesty International, which has found that insufficient resources for legal aid are creating a two-tier judicial system?
ParlaMint-GB_2016-11-01-commons.u48	It is important that legal aid is available in the most serious cases, such as those in which life or liberty is involved, a person’s home is at risk, domestic violence is involved, or children are being taken away from their families. That is the legal aid provision that we have here. The hon. Lady claims that that is a two-tier system, but we claim that it is one that is targeted on need.
ParlaMint-GB_2016-11-01-commons.u49	I should declare an indirect interest, in that my wife is a legal aid solicitor and part-time judge. The previous Lord Chancellor promised a review of LASPO. The legislation has not worked. It is a complete and utter shambles, and it urgently needs a review. When will it be properly reviewed?
ParlaMint-GB_2016-11-01-commons.u50	As the hon. Gentleman knows, a promise was made that the Act would be reviewed within three years and five years of implementation—[Interruption.] Yes, within the period starting at three years and going up to five years. That period has just started, and an announcement will be made in due course.
ParlaMint-GB_2016-11-01-commons.u51	Exceptional case funding was introduced as part of LASPO with the aim of ensuring that out-of-scope cases with exceptional circumstances would have access to legal aid. Between 2013 and 2016, 4,032 applications were made but, due to the stringency of the criteria, a staggering 3,081 of those applications were not granted. Will the Minister commit to broadening the criteria for exceptional case funding to allow more people to become eligible for this safety net and to increase access to justice for those who need it most?
ParlaMint-GB_2016-11-01-commons.u52	The hon. Lady raises an important point. The number of cases being applied for and granted is rising, but there is also the question of ensuring that people who might need this funding are aware of it. That is an important part of the picture. Exceptional needs funding is a vital part of the picture and we will certainly keep it under review. If she wants to raise a detailed point with me about how it is operating, I would be more than happy either to discuss it with her or to enter into correspondence about it.
ParlaMint-GB_2016-11-01-commons.u53	5. What recent progress has been made on the Government’s plans to replace the Human Rights Act 1998.
ParlaMint-GB_2016-11-01-commons.u54	We will set out our proposals for a Bill of Rights in due course. We will consult fully on our proposals.
ParlaMint-GB_2016-11-01-commons.u55	This question is to be taken with No. 7. There is something missing from the right hon. and learned Gentleman’s briefing today.
ParlaMint-GB_2016-11-01-commons.u56	I am so sorry, Mr Speaker. Perhaps with your leave I could also answer question 7 in the same way.
ParlaMint-GB_2016-11-01-commons.u57	7. What recent progress has been made on the Government’s plans to replace the Human Rights Act 1998.
ParlaMint-GB_2016-11-01-commons.u58	We are no closer to a timeframe, a plan or a common theme in regard to how the Human Rights Act is to be replaced. Earlier this year, Nils Muižnieks, the Council of Europe commissioner for human rights, said that the “repeatedly delayed launch of the consultation process” was “creating an atmosphere of anxiety and concern in civil society and within the devolved administrations” Will the Minister tell us exactly when the consultation on this matter will be brought forward?
ParlaMint-GB_2016-11-01-commons.u59	The Government were elected with a mandate to reform and modernise the UK human rights framework, and there are good reasons for that. We have a proud tradition in respect of human rights. The Government are also considering the overall constitutional landscape and how this will fit it following Brexit, but this is something that we are committed to.
ParlaMint-GB_2016-11-01-commons.u60	The Council of Europe commissioner for human rights has also said of the consultation on the Human Rights Act: “My impression is that the debate over the HRA in Westminster is not a true reflection of concerns outside England” Does the Minister appreciate that there is no support in Scotland for the plans, and that the impact of any attempt to repeal the Act would be to provoke a constitutional crisis?
ParlaMint-GB_2016-11-01-commons.u61	The issue of human rights is important in all parts of the United Kingdom, and we accept that. We will fully engage with the devolved Administrations on this question. Many people feel that there is a need for a British jurisprudence to emerge on the European convention on human rights and a need to assert certain ancient rights that we have in Britain, such as that relating to jury trial.
ParlaMint-GB_2016-11-01-commons.u62	I welcome that statement from my right hon. and learned Friend, but I urge him to look particularly hard at the military aspects. The efforts of those who currently risk their lives for us on operations are being overshadowed by what is going on with IHAT—the Iraq Historic Allegations Team—and the pursuit of human rights cases under British law by people who were our enemies.
ParlaMint-GB_2016-11-01-commons.u63	My hon. Friend makes an important point. He will be aware of the announcement about derogation. Previously, there have been occasions when industrial-scale allegations could be made, many of which were later proved to be false, but that will change once the derogation process is in place.
ParlaMint-GB_2016-11-01-commons.u64	It has been reported that 28 terrorists have used the Human Rights Act to avoid deportation—no doubt using legal aid as well. Is it not time to scrap the Act and to start thinking less about the human rights of terrorists and foreign-born criminals and more about the human rights of law-abiding members of the British public?
ParlaMint-GB_2016-11-01-commons.u65	The House will be aware that there are concerns among the British public about the barriers to the deportation of criminals that should not have been there. There is also a need for British conditions and British jurisprudence in this area, something which the Conservative party has been calling for over many years and which the Government are alive to.
ParlaMint-GB_2016-11-01-commons.u66	6. What steps her Department is taking to address the specific needs of women in the justice system.
ParlaMint-GB_2016-11-01-commons.u67	Crime is falling and fewer women are entering the justice system, and the female prison population is now consistently under 4,000. Women who commit crimes are often some of the most vulnerable in our society, which is why we are developing a strategy for women to be set out in the new year. We want to see fewer women in custody and to promote a greater focus on early intervention, diversion and multi-agency approaches to ensure that the justice system can take proper account of the specific needs of women.
ParlaMint-GB_2016-11-01-commons.u68	There are many victims of domestic violence within the justice system with multiple complex needs—mostly women. What are the Government doing to address the concerns of Women’s Aid about the perverse impact of gender-neutral commissioning cutting women-only specialist services?
ParlaMint-GB_2016-11-01-commons.u69	I am committed to ensuring that victims of crime get the support they need. Specialist services for victims of domestic abuse are commissioned both locally by police and crime commissioners and nationally. It is important that a range of provisions are in place to meet the diverse needs of domestic abuse victims. The Government’s new strategy on ending violence against women and girls sets out an ambition that by the end of this Parliament all victims of abuse will get the support they need. We have pledged increased funding of £80 million for that between now and 2020.
ParlaMint-GB_2016-11-01-commons.u70	Some 82% of women who are sentenced to prison are convicted of non-violent crimes. Is it not about time that the Government had a cross-Department agenda that focuses on early intervention, so that we avoid locking women up?
ParlaMint-GB_2016-11-01-commons.u71	I am aware of the complex problems often exhibited by women offenders—mental health and substance misuse problems—and I am actively engaged with other Departments to bring forward such a strategy in the new year.
ParlaMint-GB_2016-11-01-commons.u72	Both boys and girls have to wear uniforms at school. Both men and women have to wear uniforms in the workplace. However, convicted men have to wear uniforms in prison while convicted women do not. Does the Minister agree with that? If so, what does the word “equality” mean to him?
ParlaMint-GB_2016-11-01-commons.u73	My hon. Friend has a rich track record in this area. Women are twice as likely to report experiences of abuse as a child. They are more likely than men to be primary or sole carers of their children. They are more likely to display mental health problems and, indeed, class A drug use. It is important that we have a gender-specific approach for women and if that involves different uniforms, so be it.
ParlaMint-GB_2016-11-01-commons.u74	At the last Justice questions in September, the Under-Secretary of State for Justice, the hon. Member for Bracknell (Dr Lee), said that he was not going to “make any commitments” about what he or the Department were going to do to provide adequate support to the thousands of people in our prisons with mental health conditions, including so many women. The latest figures show another increase in suicide in our prisons. Since the new Secretary of State took office, one person takes their own life every three days—the highest level in 25 years. Is the Parliamentary Under-Secretary of State for Justice ashamed of the figures? Will he now commit to ensure that paying for crime in this country will never mean paying with one’s life?
ParlaMint-GB_2016-11-01-commons.u75	I recall answering the hon. Lady’s question at the last Justice Question Time, and my point was that the cause of this is very complex. I am very much aware of the suicide list, and we know that we have had an increase in the number of suicides this year, particularly in the women’s system. One case in the north-east, that of Michelle Barnes, is particularly shocking. The hon. Lady can be assured that I am looking closely at it, but there have been others. In dealing with this, I am not only trying to work on a women’s strategy that can be brought forward in the new year, but looking at offender mental health across the entire prisons system.
ParlaMint-GB_2016-11-01-commons.u76	Will the Minister commit to work with devolved Governments to ensure funding for third sector organisations such as the North Wales Women’s Centre, which supports women in the criminal justice system as an alternative to prison?
ParlaMint-GB_2016-11-01-commons.u77	I have already met Claire Sugden, Northern Ireland’s Justice Minister, and I intend to meet Justice Ministers from the other devolved regions. I am very happy to discuss those issues with them.
ParlaMint-GB_2016-11-01-commons.u78	The continued cuts to legal aid funding mean that there is a rising number of litigants in person. Many women have to face their abusive partner in court, with no assistance on how to navigate the complexities of the law. More needs to be done to protect women during the legal process. What steps is the Minister taking to increase legal assistance for women and ensure that justice can truly be done?
ParlaMint-GB_2016-11-01-commons.u79	Women do need additional support, not just in going through the legal process, but in housing and on many different issues, before, during and after their time in prison. I have already visited the Pause project in Hackney, where I was struck by how effective its approach has been in helping these vulnerable women. On the specific questions, we are working on this, but I would be happy to write to the hon. Lady with a more detailed response.
ParlaMint-GB_2016-11-01-commons.u80	8. What steps her Department is taking to improve access to justice.
ParlaMint-GB_2016-11-01-commons.u81	The Government’s reform programme is intended to deliver a simpler, fairer justice system that works for everyone. We are reforming our courts to make them more modern, open, swift and accountable. Since January 2015, we have invested £3.5 million to provide more support to litigants in person.
ParlaMint-GB_2016-11-01-commons.u82	The Government have utterly undermined access to justice for EU citizens and other migrants with their incredible 500% increase in immigration tribunal fees. Will the Minister at least closely monitor the drastic impact that that ridiculous increase is going to have and respond accordingly when everything the Government were warned about during their consultation actually comes to pass?
ParlaMint-GB_2016-11-01-commons.u83	The Government take a markedly different view from the hon. Gentleman about this. The fact is that these tribunals cost money and there are people making applications to them who are not in the category of needing help with fees. Where people need help with fees, we of course have a remissions scheme, but where they do not need help, how can it be wrong that they should pay for the costs of the system? It is only right that they do so.
ParlaMint-GB_2016-11-01-commons.u84	21. As the Minister has mentioned, an important element of improving access to justice is reform of the courts system. Would he like to say a little more about the modernisation of that system and, in particular, whether Lord Justice Briggs’s concept of an online court will be introduced?
ParlaMint-GB_2016-11-01-commons.u85	Lord Justice Briggs has prepared a report that has been not only revolutionary, but extremely helpful in the modernisation process, and I pay tribute to his work. We do intend to introduce a new online procedure for lower-value civil money claims. This procedure will be a mix of new technology, conciliation and judicial resolution, and will provide a simple dispute resolution process. We intend also to create a new rules committee to design the simpler rules this will require.
ParlaMint-GB_2016-11-01-commons.u86	The Minister says that the Government take a “markedly different” view on tribunal fees from my hon. Friend the Member for Cumbernauld, Kilsyth and Kirkintilloch East (Stuart C. McDonald). However, when the Justice Committee published its review of court and tribunal fees earlier this year, its excellent chairperson, the hon. Member for Bromley and Chislehurst (Robert Neill)—a Government Back Bencher—stated: “Where there is conflict between the objectives of achieving full cost recovery and preserving access to justice, the latter must prevail.” Does the Minister agree with that statement?
ParlaMint-GB_2016-11-01-commons.u87	Yes, and I pay tribute to my hon. Friend the Member for Bromley and Chislehurst (Robert Neill) for the work that he does, chairing the Committee so ably. There is no question but that we do need a mitigation system, as we have for fees, but having said that I welcome the Justice Committee’s report, which goes into a wide range of issues and we will respond to it shortly.
ParlaMint-GB_2016-11-01-commons.u88	Employment tribunal fees are an additional pressure on people who have been relieved of their employment in inappropriate circumstances, and they create a very real restriction on access to justice for those who are vulnerable. The group Maternity Action has said that, since the introduction of employment tribunal fees, there has been a 40% drop in claims for pregnancy-related detriment or dismissal. Why do the Government not follow the example of the Scottish Government and commit to scrapping employment tribunal fees?
ParlaMint-GB_2016-11-01-commons.u89	The principle should be that if someone cannot pay and mitigation is required, then there should be a system of mitigation of fees. If someone is able to pay, given that this costs the country a huge amount of money, why should they not make a contribution if they are using these facilities?
ParlaMint-GB_2016-11-01-commons.u90	In our country, it is a cornerstone of access to justice that there should be equality of arms in court. I was therefore shocked last week to hear the Minister of State for Courts and Justice tell us in an Adjournment debate on the Birmingham pub bombings that only “an element of equality of arms”—[Official Report, 26 October 2016; Vol. 616, c. 400.]— is necessary. Will the Minister come to the Dispatch Box and either reassure us that this was a mere slip of his well-trained legal tongue, or, alternatively, admit that his Government are reducing, not defending, access to justice?
ParlaMint-GB_2016-11-01-commons.u91	That is a bit rich when, at that debate, I was able to announce that the families had got a legal aid certificate through the Legal Aid Agency. The hon. Gentleman is now talking semantics. I was saying that the element that was needed of equality of arms was being met in accordance with the rules of the agency. When it comes to Labour politicians talking about cuts and concerns about legal aid, it is worth remembering why it was necessary to make those cuts—it was because of the mismanagement of the economy, which the Government inherited in 2010.
ParlaMint-GB_2016-11-01-commons.u92	On the subject of that Adjournment debate of last Wednesday, Lynn Bennett died—[Interruption.] I will not give it up. Lynn Bennett died aged 18 in the Birmingham pub bombings in 1974. Her father, Stanley Bennett, and her sister, Claire Luckman, are still searching for the truth. On principle, they refuse to fill in means-testing forms for legal aid representation in the inquest into Lynn’s death. They believe that the state is forcing them effectively to beg for access to justice. Will the Justice Secretary today agree to go back to the Home Secretary and ask her to reconsider this, so that Stanley and Claire can have access to justice on behalf of Lynn?
ParlaMint-GB_2016-11-01-commons.u93	As the hon. Gentleman knows, the Legal Aid Agency, which is independent, has considered two applications for legal aid. One has been granted, and on the other, as was pointed out in the debate, a way has been described and set out in which it would be possible for those families to have legal aid, too. There is no question but that the families can be, and will be, represented. I accept that the Birmingham pub bombings were the most dreadful incident of a generation. I said in the debate that I remembered, as a young student, the powerful effect on the whole country of the worst bombing incident since the second world war, in which 21 people died and 222 were injured. All our thoughts in this House are with the families, their loved ones, and those who had their lives affected. On how we deal with these very difficult inquests in a very special category of cases, I made it clear in the debate that the Home Office and the Ministry of Justice are working on that matter, looking at the precedents of what happened with Hillsborough and waiting for Bishop James Jones’s report. We will also look at all the matters that were discussed in that debate.
ParlaMint-GB_2016-11-01-commons.u94	9. What steps her Department is taking to help offenders find employment on release.
ParlaMint-GB_2016-11-01-commons.u95	We know that getting prisoners into employment is key to reducing reoffending. While there are some excellent initiatives in the Prison Service, there is still no coherent system that links work inside with education and training, and employment opportunities on the outside. That is why I will be bringing forward a plan, early in the new year, to boost offender employment.
ParlaMint-GB_2016-11-01-commons.u96	Despite undergoing training in prison, some offenders are still struggling to secure employment on their release, as highlighted recently by one of my constituents. What more is being done, and can be done, to ensure that the qualifications undertaken by inmates while in prison are both relevant and acceptable to potential employers?
ParlaMint-GB_2016-11-01-commons.u97	My hon. Friend describes a situation that is all too familiar in our Prison Service where prisoners undertake courses in prison that bear no relation to the outside world or the ability to get a job. In our White Paper, which will be published shortly, we will be saying how we can improve that education system—we have already accepted the reforms announced by Dame Sally Coates in her review—and how we can help governors work with prisoners in the local labour market to boost employment for inmates.
ParlaMint-GB_2016-11-01-commons.u98	There is a well-established link between unemployment and reoffending, and we are now five years on from the Government’s rehabilitation revolution. Will the Minister let us know whether the latest reoffending statistics show an increase or a decrease in reoffending rates?
ParlaMint-GB_2016-11-01-commons.u99	It is still the case, as it has been for decades in the UK, that roughly a third of people who leave our prison system reoffend. The hon. Lady mentions the Government’s record. I do not recollect the last Labour Government ever talking about rehabilitation and reform in our prisons. My right hon. Friend the Secretary of State will introduce plans that will give governors real power on the frontline, so that they can act as the ringmasters working locally to deliver real reform.
ParlaMint-GB_2016-11-01-commons.u100	Will the Minister agree to visit Jobs, Friends & Houses, which not only gets ex-offenders into construction jobs, but helps to find them somewhere to live, gets them off drugs and provides them with a supportive group of friends. That is such a good project; I am hoping to set it up in Bedfordshire as well.
ParlaMint-GB_2016-11-01-commons.u101	My hon. Friend the former Minister mentions an excellent scheme that I definitely support, along with a number of other schemes that are going on in the Prison Service and with some great employers such as Timpson’s, Greggs and Halfords. In our employment strategy, we will make sure that that works throughout the system, rather than having a few bright spots here and there.
ParlaMint-GB_2016-11-01-commons.u102	An important follow-on to that is the impediment that insurance premiums caused for employers who wished to engage somebody who had left prison. The former Minister, the hon. Member for South West Bedfordshire (Andrew Selous), was seized of the issue and pursuing good work in that regard. Will the Minister give an update on the progress with insurers and continue the hon. Gentleman’s good work?
ParlaMint-GB_2016-11-01-commons.u103	I agree with the hon. Gentleman that there are a number of barriers for employers in taking ex-offenders—some around trust, some around stigma—and some real hard issues such as insurance. We will be looking at all those issues and reducing those barriers, so that employers are incentivised to take on ex-offenders. Interestingly, those who do so, such as Timpson’s, say that some of their most loyal employees are those who have come out of the prison system. We want that to continue.
ParlaMint-GB_2016-11-01-commons.u104	19. Some 15% of young people in custody are autistic. With yesterday’s publication of the Government’s excellent Green Paper on halving the disability employment gap and the recognition that autistic people need specific personal help, what contribution will the Department make to ensuring that autistic offenders find employment on release?
ParlaMint-GB_2016-11-01-commons.u105	The issue is not just autistic offenders. We know that many people in the youth justice system, as well as in the prison population as a whole, have special educational needs and low levels of literacy. A key step that the Government have taken is moving the relevant education budgets from the Department for Education to the Ministry of Justice. We will be delegating those budgets to prison governors, so that they can spend appropriately on the needs of each prisoner to help them to get the right education so they can get employment.
ParlaMint-GB_2016-11-01-commons.u106	10. What discussions she has had with the Secretary of State for Northern Ireland on the future of the separated prison regime at HMP Maghaberry.
ParlaMint-GB_2016-11-01-commons.u107	I have had no such discussions on this issue. Prisons are a devolved matter and responsibility for HMP Maghaberry lies with the Northern Ireland Department of Justice.
ParlaMint-GB_2016-11-01-commons.u108	I was hoping that we would not hear about devolved matters now that we are all pulling together more as a Union. This is a vital matter and we must move on. Will the Minister discuss with the Secretary of State for Northern Ireland and the Justice Minister how we achieve a level playing field, change the present system and, more importantly, make sure that there are no on-the-run letters in the system?
ParlaMint-GB_2016-11-01-commons.u109	The hon. Gentleman refers to on-the-run letters, which is a vital issue. This is normally an issue for the Northern Ireland Office, and as the previous Secretary of State for Northern Ireland set out in her statement to the Commons in 2014, the so-called on-the-run administrative scheme established by the previous Labour Government is at an end.
ParlaMint-GB_2016-11-01-commons.u110	11. What recent assessment she has made of the effectiveness of sentencing policy for criminal driving offences.
ParlaMint-GB_2016-11-01-commons.u111	The Government are very much aware of the concerns expressed about sentencing for driving offences. We are committed to making sure that the courts have sufficient powers to deal with driving offences appropriately and proportionately. We will consult by the end of the year on those offences and penalties.
