ParlaMint-GB_2016-11-15-commons.u1	1. What plans he has to prevent excess deaths in the winter of 2016-17.
ParlaMint-GB_2016-11-15-commons.u27	While welcome, that creative response does not answer the question. The fall in GDP spent on health is worrying. To mitigate that fall, when can my constituency expect its share of the Brexit NHS bonus to be injected into its health economy, which would bring in £30 million a year?
ParlaMint-GB_2016-11-15-commons.u28	No one would be more delighted than the Health Secretary if we had a Brexit bonus for the NHS, which is why we are getting on with negotiating the best possible Brexit deal for this country, including by invoking article 50 as soon as possible.
ParlaMint-GB_2016-11-15-commons.u29	I thank the Secretary of State for taking time last week to visit the Peterborough City hospital and to praise the magnificent staff there, who are labouring under a £35 million annual private finance initiative millstone. Is the wider context not that we would have a lot more money to spend on front-line care if we did not have to deal with a poisonous legacy from Labour of £64 billion of appalling PFI contracts in the NHS?
ParlaMint-GB_2016-11-15-commons.u30	My hon. Friend is absolutely right. I was incredibly impressed with the staff I met at Peterborough hospital—there was incredible commitment to patients and some fantastic work going on in the oncology and renal departments, which I visited. He is right: PFI was a disastrous mistake, saddling hospitals up and down the country with huge amounts of debt, which cannot now be put into front-line patient care. We are doing everything we can to sort that out and not repeat those mistakes.
ParlaMint-GB_2016-11-15-commons.u31	My right hon. Friend will be aware that the NHS spends only about £400 million a year on homeopathic medicine and treatments through the 400 doctors who have trained in homeopathy and are members of the faculty. If he wants to reduce antibiotic prescribing, may I suggest that he increases that budget, because there are very good scientific trials now showing that upper respiratory tract infections can be treated using homeopathic medicine? May I write to him about that?
ParlaMint-GB_2016-11-15-commons.u32	May I commend my hon. Friend for his great persistence in flying the flag for homeopathic medicine? While we must always follow the science in the way we spend our money on medicines, as I know he agrees, he is right to highlight the threat of antibiotic resistance and the need to be open to every possible way of reducing it.
ParlaMint-GB_2016-11-15-commons.u33	Today I publish my first annual report as Chair of the Public Accounts Committee, in which I conclude that there is a sustainability crisis in the funding of the NHS. Surely the Secretary of State will agree—he has made some comments in the media that suggest he is becoming aware of this—that he will need to lobby the Chancellor for a better settlement in the autumn statement. Will he update the House on his negotiations?
ParlaMint-GB_2016-11-15-commons.u34	I am sorry to disappoint the hon. Lady but I do not update the House on Government discussions which happen in the run-up to every Budget and autumn statement. What I would say to the hon. Lady is that I am not someone who believes that the financial pressures that undoubtedly exist in the NHS and social care system threaten the fundamental model of the NHS. What they remind us all of is that what we need in this country is a strong economy that will allow us to continue funding the NHS and social care systems as we cope with the pressures of an elderly population. That, for me, is the most important challenge—the economic challenge that will allow us to fund the NHS.
ParlaMint-GB_2016-11-15-commons.u35	Will my right hon. Friend confirm that, under his tenure as the Minister, there has been a real-terms increase in spending on the NHS in England, unlike in Wales, where, over the last few years, we have seen real-terms cuts under the Labour party?
ParlaMint-GB_2016-11-15-commons.u36	As ever, my hon. Friend speaks wisely. Thanks to this Government, health spending in England is up by 10.1% in cash terms—4.6% in real terms—since 2010. That is double the cash increase in Scotland and three times the cash increase in Wales. Other parties talk about funding the NHS, but Conservatives say that actions speak louder than words.
ParlaMint-GB_2016-11-15-commons.u37	But we have seen public health budgets cut and social care budgets cut, and I can now tell the House that the maintenance budgets have been cut. In fact, the backlog of high-risk maintenance facing the NHS has soared by 69% in the past year. In London alone, the high-risk backlog has grown by £338 million; across the country the figure is nearly £5 billion. NHS finances are so stretched that even the most urgent repairs are being left undone. Is this what the Secretary of State meant when he said that he is giving the NHS the money it asked for?
ParlaMint-GB_2016-11-15-commons.u38	I know that the hon. Gentleman has only been shadow Health Secretary for a while, but may I ask him to cast his mind back to 2010, when the party that wanted to cut the NHS budget was not the Conservative party but Labour? In 2015, his party turned its back on the five year forward view and said it would increase funding not by £8 billion but by just £2.5 billion. It is not enough to found the NHS—you have got to fund it.
ParlaMint-GB_2016-11-15-commons.u39	Order. These exchanges, not untypically, are taking far too long, and part of the reason for that is that the Secretary of State keeps dilating on the policies of the Labour party. If he does so again, I will sit him down straight away. [Interruption.] Order. There are a lot of colleagues who want to ask questions. We want to hear about Government policy, not that of the Opposition. I have said it, it is clear— please heed it.
ParlaMint-GB_2016-11-15-commons.u40	Thank you, Mr Speaker If everything is so rosy with the NHS’s finances, why did Simon Stevens say just a couple of weeks ago that “2018-19 will be the most pressurised year for us, where we will actually have negative per-person NHS funding growth in England”— in other words, that NHS spending per head will be falling? The number of patients waiting longer than four hours in A&Es has increased. The number of days lost to delayed discharge has increased. The number of people waiting more than 62 days to start cancer treatment following referral has increased. Should not the Secretary of State do his job and make sure that next week’s autumn statement delivers the money that the NHS urgently needs?
ParlaMint-GB_2016-11-15-commons.u41	Unlike other parties in this House, we have been increasing funding for the NHS. Thanks to that, we are now funding the NHS in England at a 10% higher proportion of GDP than the OECD average, and we are in line with the western European average because of our commitment. These are difficult financial times and there is financial pressure, but this Government have been saying that despite that financial pressure we must make sure that the NHS continues to offer safe, high-quality care—and that is our focus.
ParlaMint-GB_2016-11-15-commons.u42	4. What the average time taken is between referral and treatment for patients with (a) ovarian and (b) bowel cancer; and if he will make a statement.
ParlaMint-GB_2016-11-15-commons.u43	The figures for times between referral and treatment are published against the standard whereby 85% of patients should begin treatment within 62 days of GP referral. The September 2016 figures were 69% for bowel cancer and 75% for ovarian cancer.
ParlaMint-GB_2016-11-15-commons.u44	Is it not the case that only skin cancer and breast cancer referrals are meeting that 62-day target? Is it not unsurprising that the survival rate over 10 years is 78% for breast cancer and 89% for skin cancer, whereas it is 35% for ovarian cancer and 57% for bowel cancer? How does the Minister feel about these excess deaths, and what is he going to do to ensure that people with these cancers are treated in time?
ParlaMint-GB_2016-11-15-commons.u45	There are eight cancer standards for waiting times and we are consistently meeting seven of them, as we did in September. The right hon. Lady is right to say that the 62-day waiting time has been challenging, and that has an impact on bowel cancer and ovarian cancer. It is also true, though, that one-year, five-year and 10-year survival rates for bowel and ovarian cancer are improving significantly. However, we do need to go further. That is why all 96 recommendations of the Cancer Taskforce have been accepted—we are investing up to £300 million to make that happen—and there is going to be a new test whereby all patients will be either diagnosed or given the all-clear within 28 days.
ParlaMint-GB_2016-11-15-commons.u46	I refer to my entry in the register. Does my hon. Friend agree that research will defeat bowel and gastrointestinal tract cancer, and may I invite him to congratulate Bowel and Cancer Research on its fundraising and support for the cancer research community?
ParlaMint-GB_2016-11-15-commons.u47	My hon. Friend is quite right: research, in the end, is the way we will beat cancer. This country is ahead of all countries in the world in terms of the number of trials going on, including the US. The voluntary sector, including the charity to which he refers, makes a big impact and I congratulate it.
ParlaMint-GB_2016-11-15-commons.u48	I lost my mum to ovarian cancer just a few years ago. She received outstanding treatment at the Rosemere centre in Preston. That is the centre that my constituents need to travel to for radiotherapy for all forms of cancer, but an average round trip to receive treatment takes about two hours. Does the Minister agree that that is not acceptable, and will he support the Rosemere centre in setting up a satellite unit at Kendal hospital, so that people in south Cumbria can get treatment quickly?
ParlaMint-GB_2016-11-15-commons.u49	I certainly agree with the hon. Gentleman that two hours is a long time. His is a large constituency and I am very happy to look at his specific point and to revert to the House.
ParlaMint-GB_2016-11-15-commons.u50	Like the hon. Member for Westmorland and Lonsdale (Tim Farron), I lost my mother to ovarian cancer. One of the reasons is late diagnosis and it has been suggested that cervical smear results should state that it is not a test for ovarian cancer. Will the excellent Minister update the House on his research on that proposal?
ParlaMint-GB_2016-11-15-commons.u51	My hon. Friend is right to say that one of the big issues with ovarian cancer—we talked about this earlier—is that early diagnosis does not happen as quickly as it should. It is true that the cervical cancer test could raise awareness of ovarian cancer. We are looking at the issue and will revert to the House.
ParlaMint-GB_2016-11-15-commons.u52	Ovarian cancer accounts for some 12% of all new cases, and early diagnosis is critical. What discussions has the Minister had with the devolved Assemblies to co-ordinate and make available better treatment options, to provide a truly UK-wide NHS?
ParlaMint-GB_2016-11-15-commons.u53	This is a reserved matter, but the hon. Gentleman is right to say that early diagnosis is the single most important thing that we need to do better in order to improve our cancer out-turn rates, and that dialogue continues.
ParlaMint-GB_2016-11-15-commons.u54	Is it not rather unfair to compare outcome rates for skin cancer, with which I was diagnosed, with those for other types of cancer, because it is easier to diagnose skin cancer at an early stage, which means that the outcomes are usually very good?
ParlaMint-GB_2016-11-15-commons.u55	If it is treated in time.
ParlaMint-GB_2016-11-15-commons.u56	Yes, because it is easier to diagnose at an early stage—that is the point I am making. Compared with 2010, are we not seeing more than 26,000 extra outpatients a day?
ParlaMint-GB_2016-11-15-commons.u57	Compared with 2010, we are referring an average of 800,000 more people urgently for cancer treatment. My hon. Friend is also right to say that both skin and lung cancer have more straightforward pathways than ovarian and bowel cancer, but that is not to say that we should not focus on continually improving in relation to the points made by the right hon. Member for Slough (Fiona Mactaggart).
ParlaMint-GB_2016-11-15-commons.u58	5. What steps he is taking to implement his Department’s childhood obesity strategy.
ParlaMint-GB_2016-11-15-commons.u59	8. What steps he is taking to implement his Department’s childhood obesity strategy.
ParlaMint-GB_2016-11-15-commons.u60	The Department is working closely with Public Health England, the national health service, local authorities, schools and other partners as we implement the childhood obesity strategy. We have already taken firm action, including consulting on the soft drinks industry levy and launching a broad sugar reduction programme.
ParlaMint-GB_2016-11-15-commons.u61	Channel 4’s “Dispatches” programme has comprehensively demonstrated how the former Prime Minister’s obesity strategy was drastically watered down by the time of the final publication. Both Public Health England and the Health Committee agree that control of in-store promotions of unhealthy food is absolutely vital. Why was regulation of such promotions ditched from the Government strategy?
ParlaMint-GB_2016-11-15-commons.u62	We have made no secret of the fact that we considered a range of policies before publishing the childhood obesity strategy, which is a world-leading strategy and one of the most ambitious in the world. It will cut childhood obesity by one fifth in the next 10 years, and I am determined that we do not get lost in a debate about what it could or should have been, but instead get on with implementing it. Our children deserve no less.
ParlaMint-GB_2016-11-15-commons.u63	A few weeks ago, I hosted a Westminster forum on the implementation of the strategy, at which there was much consternation about why another important recommendation—the creation of a 9 pm watershed to reduce children’s exposure to junk food advertising—was cut. Does the Minister not realise the seriousness of the obesity crisis, and can she explain why that important measure was dumped?
ParlaMint-GB_2016-11-15-commons.u64	Current restrictions on the advertising of less healthy food and drink in the UK are among the toughest in the world, so I am pleased to reassure the hon. Gentleman and his constituents on that fact.
ParlaMint-GB_2016-11-15-commons.u65	May I draw the Minister’s attention to some excellent leadership from the private sector? Lucozade Ribena Suntory, which is based in my constituency, announced last week —rather buried in the news from the United States of America, I am afraid—that it was going to take 50% of sugar out of its soft drinks by reformulating all its new and existing products. That demonstrates really good leadership and is an example to other companies.
ParlaMint-GB_2016-11-15-commons.u66	I welcome my right hon. Friend’s question. He is absolutely right. We very much welcome the actions of not only Lucozade but Tesco in cutting the sugar in their drinks. It is proof that doing so is possible and meets the expectations of many consumers.
ParlaMint-GB_2016-11-15-commons.u67	Recent data from the national childhood measurement programme shows that obesity rates have risen for the second consecutive year. With that in mind, will the Minister outline what further steps she has taken to make the childhood obesity plan for action into a true strategy?
ParlaMint-GB_2016-11-15-commons.u68	As I have been saying during this Question Time, I am absolutely determined to focus on implementing the plan that we have. It is one of the most ambitious in the world, and it will deliver a reduction of a fifth in childhood obesity over the next decade. However, we have been clear that this is not the final word; it is just the beginning of the conversation. I would welcome contributions from my hon. Friend, who is a dogged campaigner on this issue.
ParlaMint-GB_2016-11-15-commons.u69	Yesterday, on World Diabetes Day, the Prime Minister opened the new headquarters of Diabetes UK and said that the number of cases of diabetes increased by 75% in the last decade. The Minister and I attended the launch of the Food Foundation’s declaration on how to tackle obesity. Which of the 10 measures put forward by the foundation has she decided to accept?
ParlaMint-GB_2016-11-15-commons.u70	The right hon. Gentleman is absolutely right to raise this issue, and we are considering the contributions from the Food Foundation, which are very important. He is right about the role that obesity plays in triggering diabetes. That is why we are focusing on preventing type 2 diabetes through the world’s first national diabetes prevention programme, which aims to deliver at-scale, evidence-based behavioural change to support people to reduce their risk of developing type 2 diabetes.
ParlaMint-GB_2016-11-15-commons.u71	May I urge the Minister, in tackling childhood obesity, not to go down the line of nanny-state proposal after nanny-state proposal, but instead to look at Active Movement, which is in operation in a number of areas around the country? It builds exercise into the average day of children in schools, and it is already making a great difference to childhood obesity levels.
ParlaMint-GB_2016-11-15-commons.u72	I very much welcome the hon. Gentleman’s support for a key plank of the childhood obesity strategy, which is helping all children to enjoy an hour of physical activity every day and which will include physical movement as well as specific physical education.
ParlaMint-GB_2016-11-15-commons.u73	Another target that “Dispatches” uncovered was to be scrapped was the target to halve childhood obesity by 2026. This was compounded by recent national childhood measurement data showing that obesity is on the rise and that obesity rates are more than double in deprived areas compared with more affluent ones. Instead of squandering this opportunity, the Government should be pushing ahead with a comprehensive and preventive strategy. Can the Minister explain, therefore, why this significant target was dropped from the Government’s plans to tackle childhood obesity?
ParlaMint-GB_2016-11-15-commons.u74	The hon. Lady is right to say that the childhood obesity strategy is one of our key priorities for tackling health inequalities in the UK. Obesity prevalence for children living in the most deprived areas is double that for those living in the least deprived areas, and the gap continues to widen. That is exactly why we will press ahead with the plan, but, as she has said, this is just the beginning of the conversation and we will continue to fight obesity as a government priority.
ParlaMint-GB_2016-11-15-commons.u75	6. What discussions he has had with local government representatives on the sustainability and transformation plan process.
ParlaMint-GB_2016-11-15-commons.u76	The STPs are a collaborative local effort, involving providers and commissioners coming together with other stakeholders to produce place-based plans. The vast majority of plans have been developed jointly between the health sector and local authorities. Several plans have been led by local government.
ParlaMint-GB_2016-11-15-commons.u77	Yesterday, the King’s Fund rightly characterised what is euphemistically called the sustainability and transformation project as being planned in secret, behind the backs of patients and the public. In Merseyside and Wirral, we know from leaks that the Government are going to cut £1 billion from our local national health service, which, despite rising demand, will close hospitals, downgrade many accident and emergency departments and possibly leave the whole of Wirral without an acute hospital. Will the Minister now come clean and publish these plans in full, and will he undertake to visit Wirral so that my constituents in Wallasey can come and have a word with him about his plans for their NHS?
ParlaMint-GB_2016-11-15-commons.u78	To be clear, every single STP will be published by Christmas. About 12 have been published so far, and the Cheshire and Merseyside STP will be published tomorrow. When the hon. Lady has access to it, she will see that some of the statements she is making are just scaremongering. She mentioned the King’s Fund, so let me quote it: “The King’s Fund continues to believe that STPs offer the best hope of delivering long term improvements to health and care services.” That is what the King’s Fund says.
ParlaMint-GB_2016-11-15-commons.u79	20. Will the Minister ensure that NHS managers undertaking the STP process affecting North Devon are fully aware of my constituents’ concerns, especially in relation to our geographical isolation? In particular, will he ensure that they are aware of their concerns in Ilfracombe, which has suffered from decades of health inequality because of its location?
ParlaMint-GB_2016-11-15-commons.u80	It is vital that every STP engages with all stakeholders, and that includes North Devon. The public and, indeed, MPs should engage in the process as critical friends to try to make these plans better.
ParlaMint-GB_2016-11-15-commons.u81	Despite reassurances, there are still concerns that mental health remains peripheral to STPs in many areas. Will the Minister provide some further reassurance, because unless the Government absolutely insist that mental health is central and that resources are focused on prevention in mental health, these plans will simply fail?
ParlaMint-GB_2016-11-15-commons.u82	I give the right hon. Gentleman the categorical assurance that better mental health is a fundamental part of what the STPs are trying to achieve, as are better cancer outcomes and better integration of adult social care. If an STP does not include those things, it will have to continue to evolve until it does.
ParlaMint-GB_2016-11-15-commons.u83	The Mayor of Bedford, Dave Hodgson, and I have a common approach to the STP in Bedford—it is ably led by Pauline Philip, the chief executive officer of Luton and Dunstable hospital—but he is frustrated that he is not being involved and that his voice is not being heard in the process. Will my hon. Friend ensure, when he reviews all the STPs, that he gets a guarantee in every single case that the local authorities have bought into the plan, and, if not, that they will not proceed?
ParlaMint-GB_2016-11-15-commons.u84	I give my hon. Friend the categorical assurance that if local authorities and the NHS managers doing the planning work have not engaged properly, the plan will not be considered to be complete. That does not mean that every local authority has a veto on its STP.
ParlaMint-GB_2016-11-15-commons.u85	Following on from that point, the Minister has previously said that STPs will “not go ahead if councils believe they have been marginalised.” Given that seven councils in London and west Yorkshire have already rejected their STPs and, as we have heard, that council leaders from both main parties have expressed concerns about the Cheshire and Merseyside proposals, does the Minister have a plan B when it comes to rejected STPs?
ParlaMint-GB_2016-11-15-commons.u86	In a previous answer, I made the point that every local authority should be engaging with its STP, and the NHS must ensure that that happens. That is not the same as saying that every local authority has a veto on the STP, which was the implication of the hon. Gentleman’s point.
ParlaMint-GB_2016-11-15-commons.u87	7. What assessment he has made of the effect of changes to local authority social care budgets on the level of delayed discharges from hospital.
ParlaMint-GB_2016-11-15-commons.u88	The Government are giving councils access to a further £3.5 billion for social care by 2019, which will mean a real-terms increase over the lifetime of this Parliament. The causes of delayed transfers of care are complex and, frankly, vary considerably by local council.
ParlaMint-GB_2016-11-15-commons.u89	The Care Quality Commission has commented that social care is on the verge of collapse. The Government have had six years of warnings in relation to this matter, yet they have cut £4 billion from the social care budget. Will the Secretary of State for Health be talking to his colleague the Chancellor of the Exchequer to ensure that the £4 billion is replaced in the autumn statement?
ParlaMint-GB_2016-11-15-commons.u90	The system is under pressure but we also know that the best way to achieve the best results is faster integration, and not just money. I will give the hon. Gentleman an example. There is a massive disparity between councils. The best 10% of councils have 20 times fewer delayed transfers of care than the worst 10%. It is not just about money, as the budgets are not 20 times different. Indeed, many councils have been able to increase their budgets, including Middlesbrough.
ParlaMint-GB_2016-11-15-commons.u91	The Minister is aware of the Health Committee’s concerns about the effect of underfunding of social care on the NHS. He may also be aware that there are particular concerns in my area and in the constituency of my hon. Friend the Member for Torbay (Kevin Foster) because of the recent Care Quality Commission rating of Mears Care as inadequate. Coming on the back of community hospital closures in Paignton, that gives grave concern to all our constituents. Will the Minister meet me and my hon. Friend the Member for Torbay to discuss this further?
ParlaMint-GB_2016-11-15-commons.u92	My hon. Friend is right that there was an inadequate CQC rating for that care home. It is therefore right that the care home must either improve or go out of business. That is what the CQC regulatory environment will ensure. She makes a point about the issue with the hospital in Paignton; that is out for consultation at the moment, and I would expect the local care situation to be part of that consultation.
ParlaMint-GB_2016-11-15-commons.u93	The National Audit Office report “Discharging older patients from hospital” said that “there are…far too many older people in hospitals who do not need to be there” Delayed discharges reached a record level in September. The Minister says that this is complex, but I can tell him that the main drivers for that increase were patients waiting for home care or for a nursing home place; those issues are both related to the underfunding of social care. Does he agree with NHS England chief executive Simon Stevens that any extra funding from Government should go into social care?
ParlaMint-GB_2016-11-15-commons.u94	As I said earlier, we accept that the system is under pressure, but we also make the point that there is a massive disparity between different councils. Some 13% of local authorities cause 50% of the delayed transfers of care—DTOCs. The real point is that those local authorities that go furthest and fastest in integration, with trusted assessors, early discharge planning and discharge to assess, have the most success.
ParlaMint-GB_2016-11-15-commons.u95	Northern, Eastern and Western Devon clinical commissioning group is already consulting on the possible closure of community beds across Devon. The social care budget in East Devon, an area of elderly people, and the rest of the county is already under severe pressure. That pressure will inevitably increase if community beds are closed. Will the Secretary of State therefore commit to putting those points to the Chancellor of the Exchequer in the run-up to the autumn statement?
ParlaMint-GB_2016-11-15-commons.u96	The Secretary of State has already made the point that we do not give a running commentary on the status of discussions with the Treasury, but I accept my right hon. Friend’s point about his local issue.
ParlaMint-GB_2016-11-15-commons.u97	9. What assessment he has made of the performance of NHS England in meeting A&E waiting time targets in the last 12 months.
ParlaMint-GB_2016-11-15-commons.u98	Last year, the NHS in England handled 2.4 million more A&E attendances than when this Government took office. There has been a 4.6% increase in attendances, compared with only a 1.2% increase in Scotland. Despite that significant increase in demand the NHS has coped well, with nine out of 10 patients still seen within four hours.
ParlaMint-GB_2016-11-15-commons.u99	I thank the Minister for that answer, but the truth is it must do better and needs more support. In September, only 86% of patients were treated within the four hour target time in English A&E departments; by contrast, in Scotland it was 95%, for a record consecutive period. Given that winter is coming, what will the Minister do to ensure the service copes?
ParlaMint-GB_2016-11-15-commons.u100	The hon. Gentleman should know that, according to figures for the most recent month available, 90.6% of A&E attendances were seen within the four hours. We are aware that the system remains under pressure, and are putting efforts into identifying steps through the A&E improvement plan, with five specific measures to improve front-door streaming, back-door discharge and patient pathways through hospitals to improve that performance.
ParlaMint-GB_2016-11-15-commons.u101	19. Rural areas have high demand for primary and social care that increases the pressure on A&E if it is not met. Given the relationship between primary, secondary, A&E and social care, does the Minister also measure waiting times in primary and social care in the same way? That would give him a fuller picture of the demands on the system that need addressing.
ParlaMint-GB_2016-11-15-commons.u102	The short answer is that at present we do not record waiting times in the same way. Tests are being undertaken in relation to waiting times for GPs, but at this point I do not have access to the data.
ParlaMint-GB_2016-11-15-commons.u103	22. As we are unlikely to reach my question on the Order Paper, perhaps the Minister could now direct his attention to the east midlands where we have problems with A&E, particularly for people in rural areas. For those of us who rely completely on the NHS, this is obviously a matter of vital concern. I just wonder whether we should not have an honest debate about this and recognise that we have an ageing population. Our A&E times are stressed and we may have to either tax people more or even think the unthinkable and charge people for—[Interruption.] See, it is unthinkable, but we have to concentrate on the essentials. Let us have an honest debate about the finances of the NHS.
