ParlaMint-GB_2016-10-17-commons.u1	1. What steps his Department is taking to help disabled people to access Government support.
ParlaMint-GB_2016-10-17-commons.u15	I thought I was being quite restrained. The other thing the Government have got badly wrong in recent times is the decision to cut financial support to ESA claimants in the work-related activity group—people assessed as currently unfit for work. At the time, that decision caused huge disquiet on both sides of the House, and deep anger and concern outside it. With those changes due to come into effect shortly, will the Secretary of State make representations to the Chancellor ahead of the autumn statement to reinstate that support, which sick and disabled people need so badly?
ParlaMint-GB_2016-10-17-commons.u16	As I am sure the hon. Lady knows, no one who is already claiming ESA in that group will see a cash loss. What we are seeking to do is to make it as easy as possible for as many people as possible to get into work, because doing a job is, for most people, the best route out of poverty. The various changes announced by my predecessors were all aiming at that end, which is the best one for the vast majority of people receiving these benefits.
ParlaMint-GB_2016-10-17-commons.u17	The Government’s climbdown regarding their discredited work capability assessment is welcome, but given that 60% of people who appeal against their WCA decision are successful, that academics estimate that between 2010 and 2013 an additional 590 suicides were associated with WCA and that the Government’s data show that the people who have been found fit for work are four times more likely to die than the general population, why will the Work and Pensions Secretary not scrap the WCA process immediately and completely?
ParlaMint-GB_2016-10-17-commons.u18	Because the work capability assessment, which was, of course, introduced by a Labour Government, has been reviewed five times since 2010, and each time we have improved it. I am glad that the hon. Lady has welcomed the recent improvements that we have introduced. [Interruption.] I would be grateful if she waited for her next question before she asks it. One thing I would particularly take issue with her over is her implied link between suicides and the work capability assessment. I do think that that is an unhelpful use of what is always clearly a deeply tragic situation for political ends. I think she will have known that there is no direct evidence to support that, and I do not think it is a very constructive way to seek to improve the work capability assessment.
ParlaMint-GB_2016-10-17-commons.u19	Just as a point of fact, these are academic estimates, and the Government’s data show that people have died Unlike with the work capability assessment, the Government plan continually to assess all disabled people for the personal independence payment, regardless of their disability or condition, regardless of the fact that 59% of PIP appeals are successful and regardless of the wholly inappropriate process. After the outcry over proposed cuts to PIP in the Budget, and having had to abandon proposals to restrict access to PIP by changing eligibility to the daily living component, the Government are looking for alternative ways to make cuts to PIP—this time by changing the guidance and making it harder for disabled people successfully to appeal PIP decisions. Are the Government not ashamed that they are putting disabled people in such dire circumstances?
ParlaMint-GB_2016-10-17-commons.u20	I am not at all ashamed of the introduction of PIP or the fact that many more people are eligible to receive PIP than were eligible to receive disability living allowance. It is a better benefit, and most of the disability support groups recognise that it is a better benefit, so I simply do not recognise the hon. Lady’s characterisation of PIP.
ParlaMint-GB_2016-10-17-commons.u21	2. What assessment his Department has made of the effect of the introduction of personal independence payment on benefit claimants with autism.
ParlaMint-GB_2016-10-17-commons.u22	The personal independence payment assessment is designed with all health conditions and impairments in mind, including autism. About 38% of those with autism are currently receiving higher rates of PIP.
ParlaMint-GB_2016-10-17-commons.u23	Autism is a complex medical condition, and there is a fundamental failure in the personal independence payment system in that assessments are being made by people who have no detailed knowledge of the medical condition involved. Will the new Secretary of State and the Minister assess whether it is possible to have real medics and people with professional medical opinions carrying out assessments, so that these people can be looked after?
ParlaMint-GB_2016-10-17-commons.u24	I thank the hon. Gentleman for raising the important fact that the assessment and the person’s experience of it are appropriate. He is quite wrong to say that these are not healthcare professionals. Both our assessment providers’ training covers autism. Capital and Atos give their health professionals specific information that has been developed by the National Autistic Society.
ParlaMint-GB_2016-10-17-commons.u25	3. What steps his Department is taking to reduce child poverty.
ParlaMint-GB_2016-10-17-commons.u26	11. What steps he plans to take to reduce levels of child poverty.
ParlaMint-GB_2016-10-17-commons.u27	Work is the best route out of poverty. There are 557,000 fewer children in workless households than in 2010. The Prime Minister is clear that tackling poverty and disadvantage, and delivering real social reform, is a priority for this Government. To that end, I will be returning to the House with a number of announcements over the coming months.
ParlaMint-GB_2016-10-17-commons.u28	The latest OECD figures show the that the risk of income poverty is growing for young people, and that was before the impact of the coming into force of benefit cuts hitting children. Will the Secretary of State accept the warnings from the Institute for Fiscal Studies that child poverty will increase by 50% in the next few years and abandon the cuts to universal credit, which will punish low-paid workers, especially single parents?
ParlaMint-GB_2016-10-17-commons.u29	I simply point out to the hon. Lady that since 2010 there are 100,000 fewer children in poverty in this country, and, overall, 300,000 fewer people in poverty. I have already said that work is the best route out of poverty. I am sure that she, like me, will welcome the fact that we have far more people in work in this country than most other advanced countries. That is the best long-term way to ensure that children do not suffer poverty.
ParlaMint-GB_2016-10-17-commons.u30	I very much welcome the change of tone since the Secretary of State took up his new position, but what I would really like to see now is a change in policy. He should be ashamed that the IFS is predicting a staggering 50% increase in child poverty over the course of this Parliament under his Government, who are still committed to a policy where a living wage does not pay enough to live on and where tax and benefit changes will be directly responsible for that increase in child poverty. When will the 2.5 million children who currently go without enough food to eat—who go hungry in this country—see some real action from this Government?
ParlaMint-GB_2016-10-17-commons.u31	I disagree with the hon. Lady on the points that she makes on income and on tax. On income, the introduction of the national living wage means that a full-time worker who was previously on the national minimum wage is now £900 a year better off, and many children will benefit from that. On tax, over the course of the previous Parliament, we took 4 million of the lowest paid out of income tax altogether. Those are practical measures that help people on low incomes and help children in low-income households.
ParlaMint-GB_2016-10-17-commons.u32	As the Secretary of State will know from his recent visit to my constituency, earlier this year I worked with local Bath charity St John’s Hospital to set up the Action Against Child Poverty group in Bath, bringing together over 50 charities and £100,000 of funding to tackle the issue of the one in five children who live in poverty in my constituency. Will he agree to meet Action Against Child Poverty in Bath, this time in London—don’t worry!—to learn about the group’s work and extend his congratulations on its work?
ParlaMint-GB_2016-10-17-commons.u33	I am delighted to join my hon. Friend in congratulating the group in his constituency. It is exactly the sort of thing that one wants to hear that the third sector is doing, and I am happy to meet the group. I am grateful that he is depriving me of yet another trip to Bath. I am always happy to go there, but I quite like to spread myself around the country a bit.
ParlaMint-GB_2016-10-17-commons.u34	Helping parents on jobseeker’s allowance or income support to start their own business is one way of reducing child poverty. Will the Secretary of State support the new enterprise allowance, which helps unemployed people to start their own business and raise household incomes?
ParlaMint-GB_2016-10-17-commons.u35	The new enterprise allowance is indeed an extremely helpful tool in our armoury of ways to help disabled people. We have seen 20,000 firms started up—20,000 disabled people helped—through the new enterprise allowance. I intend to continue and expand the scheme, which is so good for disabled people.
ParlaMint-GB_2016-10-17-commons.u36	The right hon. Member for Chingford and Woodford Green (Mr Duncan Smith) said in March 2014 that he believed the Government would eradicate child poverty by 2020, yet, as has already been mentioned, the Child Poverty Action Group highlighted last week that child poverty is set to rise by 50% by 2020. Does the Secretary of State agree with the former Secretary of State or with the Child Poverty Action Group, and are the Government still committed to eradicating child poverty by 2020?
ParlaMint-GB_2016-10-17-commons.u37	The Government are certainly committed to reducing child poverty. The Child Poverty Action Group made a number of specific demands. One demand was to expand childcare support, which the Government have done, extending the 15-hour offer to the most disadvantaged two-year-olds. Universal credit now reimburses up to 85% of childcare costs, up from 70%. CPAG also demanded support to progress in low-paid work—it is absolutely right about that—and we are undertaking a number of trials to deliver evidence on in-work progression, which will be delivered by Jobcentre Plus, because I agree with CPAG that that is an extremely good step forward.
ParlaMint-GB_2016-10-17-commons.u38	In 2011, the Government said that universal credit would lift 350,000 people out of poverty. By 2013, that had been downgraded to just 150,000. The Office for Budget Responsibility published its report on welfare trends last week and made it clear that the cuts going ahead under universal credit will mean that it will be less generous than tax credits. How many children, if any, do the Government expect universal credit to lift out of poverty?
ParlaMint-GB_2016-10-17-commons.u39	Universal credit, which is now being paid to more than 300,000 people, has already shown that people will get into work and progress in work faster and that they are more likely to seek work. If the Opposition accept, as I think they do, that work is the best route out of poverty, they will welcome universal credit because, when it is paid to more parents it helps children in those families to be in households where there is work. That will be the best way to get them out of poverty.
ParlaMint-GB_2016-10-17-commons.u40	4. Whether his Department plans to take steps to introduce transitional protection for women adversely affected by the acceleration of increases in the state pension age.
ParlaMint-GB_2016-10-17-commons.u41	14. Whether his Department plans to take steps to introduce transitional protection for women adversely affected by the acceleration of increases in the state pension age.
ParlaMint-GB_2016-10-17-commons.u42	16. Whether his Department plans to take steps to introduce transitional protection for women adversely affected by the acceleration of increases in the state pension age.
ParlaMint-GB_2016-10-17-commons.u43	Transitional arrangements are already in place. We committed £1 billion to lessen the impact of the state pension age changes on those who were affected, so that no one would experience a change of more than 18 months. In fact, 81% of women’s state pension ages will increase by no more than 12 months, compared with the previous timetable.
ParlaMint-GB_2016-10-17-commons.u44	Last week, I and more than 100 cross- party colleagues presented petitions in support of the Women Against State Pension Inequality campaign. Will the Minister acknowledge that those women have been subject to a grave injustice and that now is the time for the Government to introduce appropriate transitional payments for the women most affected by the pension changes?
ParlaMint-GB_2016-10-17-commons.u45	I can only reiterate to the hon. Lady what has been said many times before. The Government made transitional arrangements that came to more than £1 billion. [Interruption.] She is chuntering at me from a sedentary position. I could not hear, but will try to imagine what she was saying. The Government have made the transitional arrangements, and no further moves will be made to assist those women, all of whom will benefit in time from the significant increase in the new state pension.
ParlaMint-GB_2016-10-17-commons.u46	There are shocking reports of women affected by the changes introduced last April being left destitute. Many of them who have been on low pay all their lives where occupational pension schemes were not open to them have taken on caring responsibilities, saving this country lots of money. What immediate measures will the Government take to address this appalling situation and put these wrongs right?
ParlaMint-GB_2016-10-17-commons.u47	Those women, or indeed those men, under the state pension age who are in the position of destitution the hon. Lady mentions are fully entitled to a comprehensive benefits system, of which I am sure she is aware.
ParlaMint-GB_2016-10-17-commons.u48	I pay tribute to Rosemary Jordan and the north Lincolnshire WASPI group. The Minister is better than the answers he has just given. These women are being badly affected. The Prime Minister has given a commitment to this nation to look after those people who are just managing, and the women I have seen in my surgery are just managing as a result of these pension changes. The transitional arrangements that were made back in 2011 are not good enough. I urge the Minister to go back to the Department and improve the offer.
ParlaMint-GB_2016-10-17-commons.u49	As the hon. Gentleman is aware, I have said many times, as have other Ministers, that the transitional arrangements have cost more than £1 billion and there are arrangements in place for those people in destitution. It becomes a question of the public money that is spent. At the moment, the new state pensions are costing £89 billion a year, plus pension credit and everything else, and there is no further money available.
ParlaMint-GB_2016-10-17-commons.u50	I am very surprised that no Government Members want to ask questions about this topic. The Prime Minister celebrated her 60th birthday earlier this month, making her part of that sisterhood of 1950s-born women who have been so shabbily treated by her predecessor’s Government. My hon. Friends the Members for Swansea East (Carolyn Harris) and for Scunthorpe (Nic Dakin) have already referred to the mass petitions organised by WASPI, and we have heard about the amazing change of mind of not one but two previous pensions Ministers, who have acknowledged that the whole thing was wrong and a bit of a mess. Unlike other members of the special sisterhood, the Prime Minister will probably not have to rely on the state pension, but will the Minister appeal to his boss to use the power she has and to compensate some of the most needy women in our society?
ParlaMint-GB_2016-10-17-commons.u51	I find it strange that the hon. Gentleman and his party were in the House when the Pensions Act 2011 was passed, yet their 2015 manifesto made no mention whatsoever of negating it.
ParlaMint-GB_2016-10-17-commons.u52	5. What support is available for people who require assistance to complete personal independence payment application forms.
ParlaMint-GB_2016-10-17-commons.u53	Department for Work and Pensions visiting officers can assist people with the completion of their PIP forms in their own homes, as can family and friends. Claimants can also authorise another person or organisation to help them handle their PIP claim.
ParlaMint-GB_2016-10-17-commons.u54	I am grateful to the Minister for that answer, but completing the forms can be a particularly difficult experience for those with mental health conditions. I was pleased to hear what the Secretary of State said earlier about reassessments, but what specific help and support is provided to that particular group of applicants?
ParlaMint-GB_2016-10-17-commons.u55	We want to help people with the form as much as possible. That is why we give them up to a month to complete the return form, as well as additional time if they require it. We provide guidance online so that friends and family can look at it and go on to assist the person with the completion of the form. We also allow them to use their own words to describe their condition and to provide as much detail as they would like, or as much as their condition allows.
ParlaMint-GB_2016-10-17-commons.u56	22. As chair of the all-party parliamentary groups on Parkinson’s and on motor neurone disease, I met the Minister’s predecessor, the hon. Member for North Swindon (Justin Tomlinson), many times. The problems of people with motor neurone disease and Parkinson’s are such that, often, by the time the form is in, their condition has progressed excessively. Will the Minister meet me and the charities associated with those conditions to discuss the issue?
ParlaMint-GB_2016-10-17-commons.u57	There are opportunities in the Green Paper for exactly that sort of information to be fed back, and my hon. Friend the Minister for Disabled People, Health and Work will be delighted to provide as much support as is needed.
ParlaMint-GB_2016-10-17-commons.u58	My constituent John Mullen had been working abroad for two years when he fell ill earlier this year with relapsing-remitting multiple sclerosis. When he came back to this country, he was told that he would not qualify for personal independence payments until January 2018. Given what the Secretary of State has said about relaxing the cuts in welfare payments, will the Minister look at his case personally and make sure that my constituent has the money that he needs right now?
ParlaMint-GB_2016-10-17-commons.u59	As the hon. Gentleman knows, we cannot intervene in individual cases, but if he sends the detail of the specific problem with regard to those who have lived abroad and moved back, my hon. Friend the Minister for Disabled People, Health and Work will be delighted to look at it.
ParlaMint-GB_2016-10-17-commons.u60	7. What steps his Department is taking to improve the benefit eligibility assessment process for people with disabilities.
ParlaMint-GB_2016-10-17-commons.u61	The Department is committed to improving continuously assessments for all our benefits, and we have responded to a range of recommendations from a number of independent reviews. As part of our continuous review of the work capability assessment, we will be consulting on further possible improvements in the forthcoming Green Paper.
ParlaMint-GB_2016-10-17-commons.u62	I welcome the Government’s recent announcement. May I ask the Department to consider creating an individual health statement for each disability claimant to give every local and national agency that is responsible for paying benefits access to the relevant information, so that we can end the practice of repetitive form-filling and evidence gathering? That would reduce individual stress on the vulnerable and reduce bureaucracy in our essential public services.
ParlaMint-GB_2016-10-17-commons.u63	That is a sensible suggestion, and I thank my hon. Friend for making it. If we can use all the data that Government hold—for example, care plans or evidence for someone’s war pension—better to reduce stress and bureaucracy for individuals and arrive more quickly at a good result on the assessment, we should do so.
ParlaMint-GB_2016-10-17-commons.u64	How confident is the Minister of the robustness of emergency payments for disabled people who lose their ESA or PIP? What would she say to my constituent who suffers from chronic lymphoedema? He wrote to me two weeks ago, having lost his benefit: “I can’t seem to concentrate on what I should do. I have no money at all. My electricity and my gas have run out. As for food I don’t know what to do.” How can we have a system in which people are left in such a predicament?
ParlaMint-GB_2016-10-17-commons.u65	I am sorry to hear of the circumstances of the hon. Lady’s constituent. Enormous numbers of decisions are made on ESA, PIP and on all sorts of other benefits. In some cases, the wrong decision is taken and it is overturned on appeal. We need to concentrate on ensuring that we arrive at the right decision in the first place. That has been our focus over the last few weeks, and we are doing a lot of work to ensure that medical and other evidence is submitted earlier in the process so that such circumstances do not arise. I would be very happy to look at the situation of the hon. Lady’s constituent.
ParlaMint-GB_2016-10-17-commons.u66	8. What steps his Department is taking to ensure that personal independence payment assessments are undertaken fairly and appropriately.
ParlaMint-GB_2016-10-17-commons.u67	10. What steps his Department is taking to ensure that personal independence payment assessments are undertaken fairly and appropriately.
ParlaMint-GB_2016-10-17-commons.u68	21. What steps his Department is taking to ensure that personal independence payment assessments are undertaken fairly.
ParlaMint-GB_2016-10-17-commons.u69	Our policy is developed by utilising service user panels. Provision is strictly monitored and measured by independent audit, and the provider is held to account through the contract that we have with them.
ParlaMint-GB_2016-10-17-commons.u70	For the fourth year in a row, the Infrastructure and Projects Authority has said that the roll-out of the personal independence payment project is “in doubt with major risks…apparent in a number of key areas.” What action is the Minister taking to address the urgent problems with the PIP assessment, which is causing further hardship to disabled people trying to access vital support?
ParlaMint-GB_2016-10-17-commons.u71	I start by pointing out that PIP is a vast improvement on what went before. It is a more targeted benefit and it takes into account a whole raft of other conditions, such as mental health and sensory conditions, not just physical disability. It is a vast step forward in that respect. We cannot rest on our laurels, however. We must continually improve, and there is a robust improvement process, based on user and claimant feedback, which looks at the assessment and also at record keeping and a raft of other areas.
ParlaMint-GB_2016-10-17-commons.u72	Let us examine that claim. My constituent Leila Kennedy lives with dwarfism, and her Motability car was removed from her after a PIP assessment. She had to use public transport, which she was unable to do, and she lost her job as a result. Does the Minister really think that Government policy is delivering compassionate outcomes in such cases?
ParlaMint-GB_2016-10-17-commons.u73	I hope that the hon. Gentleman will write to me with further details of that case. Under PIP, more people are entitled to use the Motability scheme, but clearly we want to make sure that any decision taken on a PIP assessment is the right one. A key part of that, as we know from looking at cases that have been overturned on appeal, is getting the evidence submitted earlier in the process.
ParlaMint-GB_2016-10-17-commons.u74	Reports suggest that Capita rewards its assessors on the basis of how many assessments they complete every month, which leads to rushed assessments where applicants are not given enough time to describe how their condition affects them daily. What is the Minister doing to ensure that applicants are given enough time and that such a reward system is not operating?
ParlaMint-GB_2016-10-17-commons.u75	I thank the hon. Lady for her question because it gets to the heart of what I have just described. If we do not have a good-quality assessment and good quality in all the evidence needed early in the process, we will end up causing distress to an individual who has to go to mandatory reconsideration or an appeal. We are doing work in the Department to address this, including giving a bit more flexibility for certain cases at that early stage, with the hope that the evidence we need will then be submitted at that stage. That is recent work, and we are rolling it out at the moment.
ParlaMint-GB_2016-10-17-commons.u76	For those with a mental health condition, the PIP assessment has transformed opportunities. Under disability living allowance, only 22% accessed the highest rate of benefit; yet under PIP, the figure is 68%. With more people with mental health conditions being identified, what more can be done to signpost them to the wider support of the NHS, charities and the Government’s pilots?
ParlaMint-GB_2016-10-17-commons.u77	I thank my hon. Friend for the work he did at the Department on these issues. He is absolutely right that mental health now has the priority it needs, and that PIP is delivering for such people. I would give him one example, which is the work we are doing to build on the excellent work that he did with the Disability Confident scheme. We have further beefed up the scheme, which will give employers a general grounding in these matters, and act as a platform for organisations such as Mind and others that can offer bespoke advice.
ParlaMint-GB_2016-10-17-commons.u78	Most Members in this House will have someone come along to their advice surgery every week with a problem about PIP. The area that worries me most is Motability, because people come to my surgery who are clearly going to win at the tribunal stage, but their Motability is removed right at the beginning of the process. Can we not look at a change of policy, whereby the Motability stays until all the appeal processes have been concluded, which would be a great help to many people?
ParlaMint-GB_2016-10-17-commons.u79	I thank my hon. Friend for that question. Historically, we have not paid benefit during an appeal. The key to cracking this is to ensure that the assessment is done correctly. I would point out to him that the mandatory reconsideration process would be over before the person had to return the vehicle.
ParlaMint-GB_2016-10-17-commons.u80	9. What steps the Government are taking to increase awareness among employers of the value of recruiting and retaining disabled people.
ParlaMint-GB_2016-10-17-commons.u81	Building on the work of my predecessor, we have introduced a new Disability Confident scheme to identify the value that disabled people bring to businesses and to give employers the tools and techniques they need to recruit, retain and develop them. The new scheme went live in July, and it will be formally launched soon. I must thank my hon. Friend for being an early adopter.
ParlaMint-GB_2016-10-17-commons.u82	I thank my hon. Friend for that answer, and I pay tribute to her predecessor. Earlier this year, I held my fifth annual jobs and apprenticeship fair at Mid Cheshire College in Weaver Vale. In July, I undertook my first Disability Confident fair, where I signed up 19 Cheshire businesses to become Disability Confident employers. Will my hon. Friend tell the House what steps the Government are taking to encourage more small and medium-sized enterprises to take up this very important role?
ParlaMint-GB_2016-10-17-commons.u83	In addition to the Disability Confident scheme, we are trialling the small employer offer, which will provide some additional support to those who may have less capacity within their own organisation. We are also working closely with the Health and Safety Executive, with its reach to SMEs, to target our services better.
ParlaMint-GB_2016-10-17-commons.u84	Recent analysis suggests that as well as an employment gap, there is a wage gap of about 13% between disabled workers and their non-disabled counterparts. What is the Minister going to do to raise employers’ awareness of this abuse?
ParlaMint-GB_2016-10-17-commons.u85	I thank the hon. Gentleman for raising that important point. We quite often talk about getting people into work, but we clearly also want them to have a career: we want them to develop, reach their full potential and pursue all their talents. The Green Paper, which we will publish shortly, will look at some of these issues, but the beefed-up Disability Confident scheme will also be very effective in doing that.
ParlaMint-GB_2016-10-17-commons.u86	18. Scope’s research shows that 85% of disabled people feel that employers’ attitudes to employing them have not improved during the past four years. Should not more employers follow the lead of employers such as Waitrose, John Lewis, Morrisons and Marks & Spencer in my constituency and put practical support in place to help disabled people, particularly when they are applying for jobs in the first place?
ParlaMint-GB_2016-10-17-commons.u87	I agree with my right hon. Friend. We need to do more to ensure that the support we offer is understood by employers. Disability Confident will help with that. We also need to raise employers’ awareness of what they are missing: huge talent and huge insight in their workforce. We will shortly bring forward schemes which will do just that.
ParlaMint-GB_2016-10-17-commons.u88	The Minister may be aware there is a massive pool of talent among people who suffer from neurolinguistic difficulties and challenges, and autism and dyslexia. What more can the Government do to show that, if we recognise their challenges, these young and old people make very good employees?
ParlaMint-GB_2016-10-17-commons.u89	Absolutely; part of the solution is ensuring that our own staff are fully aware and able to encourage employers to take on these people. There are many other things we can do to highlight the positive contribution they have made. We are doing a huge amount of work with Hidden Impairment, including training our staff and our ongoing communication with employers.
ParlaMint-GB_2016-10-17-commons.u90	12. What steps he is taking to increase financial literacy and money management skills among people in receipt of benefits who are in debt.
ParlaMint-GB_2016-10-17-commons.u91	We are committed to battling financial exclusion. Under universal credit, through universal support, we are working with partners to help claimants manage their finances and avoid debt.
ParlaMint-GB_2016-10-17-commons.u92	Sixteen million adults have less than £100 in savings, with younger adults, larger families and single parents most at risk of struggling with their personal finances. The all-party group on financial education for young people, which I chair, has, supported by Young Enterprise, concluded that people need better money management skills in life. What steps is my hon. Friend taking to increase financial education and money management skills for young people and those in receipt of benefits?
ParlaMint-GB_2016-10-17-commons.u93	I commend my hon. Friend for her work with the all-party group, which has been particularly effective. In jobcentres, the first work search interview provides the opportunity to identify barriers, including financial capability. Under universal credit, personal budgeting support can be offered in partnership with jobcentres, local authorities and other local service providers.
ParlaMint-GB_2016-10-17-commons.u94	I thank the hon. Member for Fareham (Suella Fernandes) for asking that very important question. The new Money and Mental Health Policy Institute, of which I am a member, highlighted that it is so much harder to recover from mental illness if one is in debt. Adults with mental health conditions are three times more likely to be in debt than adults without mental health conditions. What specifically is the Minister doing to ensure that people with a mental condition who are in receipt of benefits and in debt are supported appropriately?
ParlaMint-GB_2016-10-17-commons.u95	The most important thing we do is work in partnership at a local level with mental health organisations such as Mind to increase understanding of jobcentre operations on these issues, as well as to extend help to individual claimants. It is very important to understand the full range of barriers and challenges that somebody may face.
ParlaMint-GB_2016-10-17-commons.u96	13. What plans his Department has to help ensure long-term, sustainable and predictable funding for the supported housing sector.
ParlaMint-GB_2016-10-17-commons.u97	19. What progress his Department is making on its proposal for a new supported accommodation funding model.
ParlaMint-GB_2016-10-17-commons.u98	25. What plans his Department has to help ensure long-term, sustainable and predictable funding for the supported housing sector.
ParlaMint-GB_2016-10-17-commons.u99	The Secretary of State announced in a written ministerial statement on 15 September 2016 that we will be deferring the application of local housing allowance rates for supported housing until 2019-20. At that point, we will bring in a new funding model.
ParlaMint-GB_2016-10-17-commons.u100	In Lewisham, funding for supported accommodation has fallen by more than half since 2010. My constituent Winston Morris suffers from multiple sclerosis and is wholly reliant on his wheelchair. He was made homeless and had to move into his sister’s living room, where he sleeps, eats, uses the commode and bathes. More than a year later, he is still there. Despite being on the housing waiting list, there is no clear timeframe for when he will be rehoused. This is completely unacceptable. Will the Minister meet me to discuss his case to prevent other vulnerable people from falling into similar situations?
ParlaMint-GB_2016-10-17-commons.u101	Local authorities are absolutely best placed to make decisions on supporting vulnerable people in their own areas and commissioning supported services that are needed locally, which is why I would be very happy to meet the hon. Lady to discuss the specific issues she raises. It is important that we work to establish the best funding model for supported housing.
ParlaMint-GB_2016-10-17-commons.u102	First, I very much welcome the Government’s announcement to exempt specialist providers such as women’s refuges from changes to housing benefit. I know that the Government have a plan to help refuges and women’s refuges remain sustainable in the future, so I would like to hear what they plan to do for all other sorts of supported living accommodation for elderly people, people with learning difficulties and some of our ex-servicemen and women who, as I heard on the radio today, are having their services shut.
ParlaMint-GB_2016-10-17-commons.u103	I commend the hon. Lady for the sterling work she has done on refuges. What we know is that there is a massive variety of types of providers of supported housing, and it is critical that in the consultation process we find a solution that works for all of them.
ParlaMint-GB_2016-10-17-commons.u104	How many supported housing starts have been stalled by the Secretary of State’s decision to delay a framework for supported housing?
ParlaMint-GB_2016-10-17-commons.u105	What is critical is that we get the solution right, which is why we are bringing forward the consultation and why we deferred the local housing allowance cap for supported housing until 2019-20.
ParlaMint-GB_2016-10-17-commons.u106	15. What steps the Government are taking to help protect the pensions of long-serving employees.
ParlaMint-GB_2016-10-17-commons.u107	We have a well-established regime of checks and balances in place, for example the Pension Protection Fund and the Pensions Regulator. The Government keep this framework for pensions under constant review, and amend it when evidence demonstrates that such change is needed.
